time,Houston,pts.away,score,pts.home,LA Lakers
1:40.0,,,47-37,,Offensive rebound by L. Nance
1:39.0,,,47-39,2,L. Nance makes 2-pt shot at rim
1:19.0,J. Harden makes 2-pt shot from 18 ft (assist by D. Motiejunas),2,49-39,,
1:09.0,,,49-39,,Shooting foul by D. Howard (drawn by K. Bryant)
1:09.0,,,49-39,,K. Bryant misses free throw 1 of 2
1:09.0,,,49-39,,Offensive rebound by Team
1:09.0,,,49-39,,K. Bryant misses free throw 2 of 2
1:07.0,Defensive rebound by D. Howard,,49-39,,
0:49.0,J. Harden misses 2-pt shot from 17 ft,,49-39,,
0:49.0,Offensive rebound by T. Ariza,,49-39,,
0:35.0,P. Beverley misses 2-pt shot from 5 ft,,49-39,,
0:33.0,Offensive rebound by D. Motiejunas,,49-39,,
0:30.0,T. Ariza misses 3-pt shot from 28 ft,,49-39,,
0:30.0,Offensive rebound by Team,,49-39,,
0:30.0,,,49-39,,Personal foul by R. Hibbert (drawn by D. Howard)
0:30.0,Personal foul by D. Howard,,49-39,,
0:30.0,C. Capela enters the game for D. Howard,,49-39,,
0:30.0,Jump ball: R. Hibbert vs. D. Motiejunas (P. Beverley gains possession),,,,Jump ball: R. Hibbert vs. D. Motiejunas (P. Beverley gains possession)
0:10.0,Shooting foul by J. Clarkson (drawn by J. Harden),,49-39,,
0:10.0,J. Harden makes free throw 1 of 3,1,50-39,,
0:10.0,J. Harden makes free throw 2 of 3,1,51-39,,
0:10.0,,,51-39,,R. Sacre enters the game for R. Hibbert
0:10.0,T. Jones enters the game for D. Motiejunas,,51-39,,
0:10.0,J. Harden makes free throw 3 of 3,1,52-39,,
0:02.0,,,52-39,,L. Williams misses 3-pt shot from 25 ft
0:00.0,,,52-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,52-39,,Turnover by L. Williams (bad pass; steal by T. Ariza)
11:48.0,T. Ariza makes 2-pt shot from 2 ft,2,54-39,,
11:24.0,,,54-39,,K. Bryant misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by C. Capela,,54-39,,
11:18.0,Turnover by P. Beverley (bad pass; steal by L. Nance),,54-39,,
11:17.0,Personal foul by P. Beverley,,54-39,,
11:04.0,,,54-39,,Shooting foul by D. Howard (drawn by L. Nance)
11:04.0,,,54-40,1,L. Nance makes free throw 1 of 2
11:04.0,T. Jones enters the game for D. Howard,,54-40,,
11:04.0,,,54-40,,L. Nance misses free throw 2 of 2
11:02.0,Defensive rebound by T. Jones,,54-40,,
11:00.0,Turnover by T. Jones (bad pass),,54-40,,
10:49.0,,,54-42,2,K. Bryant makes 2-pt shot from 1 ft
10:36.0,T. Ariza misses 2-pt shot from 14 ft,,54-42,,
10:34.0,,,54-42,,Defensive rebound by L. Nance
10:23.0,,,54-44,2,L. Williams makes 2-pt shot from 2 ft (assist by K. Bryant)
10:23.0,Houston full timeout,,54-44,,
10:00.0,P. Beverley misses 3-pt shot from 25 ft,,54-44,,
10:00.0,,,54-44,,Defensive rebound by K. Bryant
9:41.0,,,54-44,,R. Hibbert misses 2-pt shot from 2 ft (block by C. Capela)
9:38.0,Defensive rebound by T. Ariza,,54-44,,
9:34.0,J. Harden misses 3-pt shot from 25 ft,,54-44,,
9:33.0,,,54-44,,Defensive rebound by J. Clarkson
9:25.0,,,54-46,2,K. Bryant makes 2-pt shot at rim (assist by J. Clarkson)
9:18.0,,,54-46,,Technical foul by D. Russell
9:18.0,J. Harden makes technical free throw,1,55-46,,
9:00.0,J. Harden misses 2-pt shot from 16 ft,,55-46,,
8:57.0,,,55-46,,Defensive rebound by K. Bryant
8:49.0,,,55-48,2,K. Bryant makes 2-pt shot from 5 ft
8:33.0,T. Jones makes 3-pt shot from 28 ft (assist by C. Capela),3,58-48,,
8:17.0,,,58-48,,Turnover by L. Nance (bad pass; steal by T. Ariza)
8:05.0,Shooting foul by R. Hibbert (drawn by C. Capela),,58-48,,
8:05.0,C. Capela makes free throw 1 of 2,1,59-48,,
8:05.0,C. Capela misses free throw 2 of 2,,59-48,,
8:03.0,,,59-48,,Defensive rebound by R. Hibbert
7:44.0,,,59-50,2,J. Clarkson makes 2-pt shot from 3 ft
7:36.0,T. Jones makes 2-pt shot from 9 ft (assist by T. Ariza),2,61-50,,
7:36.0,Shooting foul by L. Nance (drawn by T. Jones),,61-50,,
7:36.0,T. Jones makes free throw 1 of 1,1,62-50,,
7:25.0,,,62-53,3,L. Williams makes 3-pt shot from 26 ft (assist by J. Clarkson)
7:11.0,T. Jones misses 2-pt shot from 13 ft (block by R. Hibbert),,62-53,,
7:11.0,,,62-53,,Offensive rebound by R. Hibbert
7:11.0,Jump ball: R. Hibbert vs. T. Jones (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. T. Jones (J. Clarkson gains possession)
7:00.0,,,62-53,,Turnover by K. Bryant (bad pass; steal by C. Capela)
6:54.0,T. Jones makes 2-pt shot from 7 ft (assist by T. Ariza),2,64-53,,
6:34.0,,,64-55,2,L. Williams makes 2-pt shot from 17 ft
6:19.0,,,64-55,,R. Sacre enters the game for R. Hibbert
6:08.0,P. Beverley makes 3-pt shot from 26 ft,3,67-55,,
5:40.0,,,67-57,2,K. Bryant makes 2-pt shot from 21 ft (assist by R. Sacre)
5:26.0,T. Jones misses 3-pt shot from 26 ft,,67-57,,
5:25.0,Offensive rebound by C. Capela,,67-57,,
5:21.0,J. Harden misses 3-pt shot from 24 ft,,67-57,,
5:20.0,,,67-57,,Defensive rebound by L. Williams
5:11.0,,,67-59,2,K. Bryant makes 2-pt shot from 1 ft
5:06.0,Shooting foul by L. Nance (drawn by T. Jones),,67-59,,
5:06.0,T. Jones makes free throw 1 of 2,1,68-59,,
5:06.0,D. Motiejunas enters the game for C. Capela,,68-59,,
5:06.0,T. Jones makes free throw 2 of 2,1,69-59,,
4:53.0,,,69-59,,L. Williams misses 3-pt shot from 28 ft
4:53.0,Defensive rebound by P. Beverley,,69-59,,
4:48.0,,,69-59,,Personal foul by L. Williams
4:48.0,,,69-59,,N. Young enters the game for K. Bryant
4:39.0,T. Jones makes 2-pt shot at rim (assist by J. Harden),2,71-59,,
4:19.0,,,71-61,2,L. Nance makes 2-pt shot from 3 ft (assist by L. Williams)
4:00.0,P. Beverley misses 2-pt shot from 12 ft,,71-61,,
4:00.0,,,71-61,,Defensive rebound by L. Nance
3:50.0,,,71-63,2,J. Clarkson makes 2-pt shot from 14 ft
3:26.0,J. Harden misses 3-pt shot from 24 ft,,71-63,,
3:26.0,Offensive rebound by Team,,71-63,,
3:26.0,,,71-63,,Loose ball foul by L. Nance (drawn by T. Jones)
3:26.0,T. Jones misses free throw 1 of 2,,71-63,,
3:26.0,Offensive rebound by Team,,71-63,,
3:26.0,C. Brewer enters the game for T. Ariza,,71-63,,
3:26.0,T. Lawson enters the game for P. Beverley,,71-63,,
3:26.0,,,71-63,,D. Russell enters the game for J. Clarkson
3:26.0,T. Jones makes free throw 2 of 2,1,72-63,,
3:16.0,Personal foul by C. Brewer,,72-63,,
3:04.0,,,72-65,2,R. Sacre makes 2-pt shot from 3 ft (assist by D. Russell)
2:49.0,Shooting foul by N. Young (drawn by J. Harden),,72-65,,
2:49.0,,,72-65,,LA Lakers full timeout
2:49.0,,,72-65,,J. Randle enters the game for L. Nance
2:49.0,J. Harden makes free throw 1 of 2,1,73-65,,
2:49.0,J. Harden misses free throw 2 of 2,,73-65,,
2:48.0,,,73-65,,Defensive rebound by J. Randle
2:24.0,,,73-67,2,L. Williams makes 2-pt shot from 5 ft
2:02.0,C. Brewer makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,76-67,,
1:45.0,,,76-67,,D. Russell misses 2-pt shot from 20 ft
1:43.0,Defensive rebound by C. Brewer,,76-67,,
1:38.0,J. Harden misses 2-pt shot from 1 ft,,76-67,,
1:37.0,Offensive rebound by J. Harden,,76-67,,
1:37.0,J. Harden makes 2-pt shot from 1 ft,2,78-67,,
1:19.0,,,78-67,,N. Young misses 3-pt shot from 22 ft
1:18.0,Defensive rebound by T. Jones,,78-67,,
1:07.0,C. Brewer misses 2-pt shot from 11 ft,,78-67,,
1:05.0,,,78-67,,Defensive rebound by R. Sacre
0:52.0,,,78-67,,Turnover by L. Williams (bad pass)
0:33.0,T. Lawson misses 2-pt shot from 16 ft,,78-67,,
0:32.0,,,78-67,,Defensive rebound by J. Randle
0:29.0,Shooting block foul by D. Motiejunas (drawn by J. Randle),,78-67,,
0:29.0,,,78-67,,J. Randle misses free throw 1 of 2
0:29.0,,,78-67,,Offensive rebound by Team
0:29.0,,,78-68,1,J. Randle makes free throw 2 of 2
0:05.0,D. Motiejunas misses 2-pt shot from 8 ft,,78-68,,
0:05.0,Offensive rebound by Team,,78-68,,
0:05.0,Turnover by Team (shot clock),,78-68,,
0:02.0,,,78-68,,D. Russell misses 3-pt shot from 49 ft
0:00.0,,,78-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,D. Motiejunas misses 2-pt shot from 7 ft,,78-68,,
11:48.0,Offensive rebound by D. Howard,,78-68,,
11:48.0,,,78-68,,Loose ball foul by R. Sacre (drawn by D. Howard)
11:38.0,C. Brewer makes 3-pt shot from 25 ft (assist by T. Lawson),3,81-68,,
11:24.0,,,81-70,2,N. Young makes 2-pt shot from 15 ft (assist by D. Russell)
11:14.0,Turnover by T. Lawson (bad pass; steal by J. Randle),,81-70,,
11:10.0,,,81-70,,Shooting foul by T. Lawson (drawn by J. Randle)
11:10.0,,,81-71,1,J. Randle makes free throw 1 of 2
11:10.0,,,81-71,,J. Clarkson enters the game for L. Williams
11:10.0,,,81-72,1,J. Randle makes free throw 2 of 2
11:09.0,Turnover by D. Motiejunas (bad pass; steal by D. Russell),,81-72,,
11:03.0,,,81-74,2,J. Randle makes 2-pt shot from 3 ft (assist by D. Russell)
10:51.0,D. Howard misses 2-pt shot from 3 ft,,81-74,,
10:50.0,,,81-74,,Defensive rebound by J. Randle
10:28.0,,,81-74,,J. Randle misses 2-pt shot from 4 ft
10:26.0,Defensive rebound by D. Howard,,81-74,,
10:19.0,,,81-74,,Personal foul by J. Randle (drawn by D. Howard)
10:13.0,C. Brewer misses 2-pt shot from 18 ft,,81-74,,
10:10.0,,,81-74,,Defensive rebound by R. Sacre
9:54.0,,,81-74,,Turnover by R. Sacre (3 sec)
9:39.0,Shooting foul by J. Randle (drawn by D. Motiejunas),,81-74,,
9:39.0,D. Motiejunas misses free throw 1 of 2,,81-74,,
9:39.0,Offensive rebound by Team,,81-74,,
9:39.0,D. Motiejunas misses free throw 2 of 2,,81-74,,
9:37.0,,,81-74,,Defensive rebound by J. Randle
9:29.0,,,81-74,,Turnover by D. Russell (lost ball)
9:29.0,C. Capela enters the game for D. Motiejunas,,81-74,,
9:10.0,C. Brewer misses 3-pt shot from 22 ft,,81-74,,
9:09.0,Offensive rebound by C. Capela,,81-74,,
9:07.0,Turnover by C. Capela (lost ball; steal by J. Clarkson),,81-74,,
9:02.0,,,81-76,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
8:46.0,T. Ariza misses 3-pt shot from 25 ft,,81-76,,
8:46.0,Offensive rebound by D. Howard,,81-76,,
8:40.0,T. Lawson misses 3-pt shot from 25 ft,,81-76,,
8:37.0,,,81-76,,Defensive rebound by N. Young
8:26.0,,,81-76,,J. Clarkson misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by T. Lawson,,81-76,,
8:21.0,T. Ariza makes 3-pt shot from 27 ft (assist by T. Lawson),3,84-76,,
8:21.0,,,84-76,,LA Lakers full timeout
8:21.0,,,84-76,,R. Hibbert enters the game for R. Sacre
8:21.0,,,84-76,,K. Bryant enters the game for N. Young
8:21.0,J. Harden enters the game for T. Lawson,,84-76,,
8:21.0,P. Beverley enters the game for C. Brewer,,84-76,,
7:59.0,,,84-76,,Turnover by J. Randle (lost ball; steal by J. Harden)
7:57.0,Shooting foul by J. Clarkson (drawn by J. Harden),,84-76,,
7:57.0,J. Harden makes free throw 1 of 2,1,85-76,,
7:57.0,J. Harden makes free throw 2 of 2,1,86-76,,
7:45.0,,,86-76,,Turnover by J. Clarkson (bad pass; steal by T. Ariza)
7:39.0,J. Harden misses 3-pt shot from 24 ft,,86-76,,
7:39.0,Offensive rebound by Team,,86-76,,
7:33.0,Offensive foul by J. Harden,,86-76,,
7:33.0,Turnover by J. Harden (offensive foul),,86-76,,
7:20.0,,,86-76,,J. Randle misses 2-pt shot from 3 ft
7:19.0,Defensive rebound by J. Harden,,86-76,,
7:04.0,J. Harden makes 2-pt shot from 18 ft,2,88-76,,
6:48.0,,,88-76,,Turnover by J. Clarkson (bad pass; steal by P. Beverley)
6:43.0,P. Beverley makes 2-pt shot from 1 ft (assist by T. Ariza),2,90-76,,
6:43.0,,,90-76,,LA Lakers full timeout
6:32.0,,,90-76,,Offensive foul by K. Bryant
6:32.0,,,90-76,,Turnover by K. Bryant (offensive foul)
6:20.0,T. Ariza misses 2-pt shot from 7 ft,,90-76,,
6:20.0,Offensive rebound by D. Howard,,90-76,,
6:20.0,Shooting foul by R. Hibbert (drawn by D. Howard),,90-76,,
6:20.0,D. Howard misses free throw 1 of 2,,90-76,,
6:20.0,Offensive rebound by Team,,90-76,,
6:20.0,D. Howard makes free throw 2 of 2,1,91-76,,
6:01.0,,,91-76,,L. Nance enters the game for J. Randle
5:54.0,,,91-76,,D. Russell misses 2-pt shot from 22 ft
5:54.0,Defensive rebound by C. Capela,,91-76,,
5:39.0,J. Harden misses 3-pt shot from 26 ft,,91-76,,
5:38.0,Offensive rebound by C. Capela,,91-76,,
5:34.0,P. Beverley misses 3-pt shot from 24 ft,,91-76,,
5:33.0,,,91-76,,Defensive rebound by D. Russell
5:27.0,,,91-76,,Turnover by D. Russell (lost ball; steal by C. Capela)
