time,Memphis,pts.away,score,pts.home,Houston
8:18.0,A. Stepheson misses free throw 2 of 2,,28-43,,
8:18.0,,,28-43,,Defensive rebound by D. Motiejunas
8:03.0,,,28-45,2,D. Motiejunas makes 2-pt shot from 4 ft (assist by P. Beverley)
8:03.0,,,28-45,,Shooting foul by B. Weber (drawn by D. Motiejunas)
8:03.0,,,28-46,1,D. Motiejunas makes free throw 1 of 1
7:46.0,Turnover by P. Hairston (lost ball; steal by D. Motiejunas),,28-46,,
7:42.0,,,28-46,,Shooting foul by T. Allen (drawn by D. Motiejunas)
7:42.0,,,28-46,,D. Motiejunas misses free throw 1 of 2
7:42.0,,,28-46,,Offensive rebound by Team
7:42.0,,,28-46,,D. Motiejunas misses free throw 2 of 2
7:38.0,,,28-46,,Offensive rebound by C. Capela
7:38.0,,,28-46,,C. Capela misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by T. Allen,,28-46,,
7:27.0,T. Allen misses 2-pt shot from 4 ft,,28-46,,
7:26.0,,,28-46,,Defensive rebound by D. Motiejunas
7:19.0,,,28-46,,P. Beverley misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by P. Hairston,,28-46,,
7:06.0,T. Allen makes 2-pt shot from 9 ft (assist by P. Hairston),2,30-46,,
6:55.0,,,30-46,,Shooting foul by A. Stepheson (drawn by C. Capela)
6:55.0,,,30-46,,C. Capela misses free throw 1 of 2
6:55.0,,,30-46,,Offensive rebound by Team
6:55.0,,,30-46,,T. Ariza enters the game for C. Brewer
6:55.0,,,30-46,,J. Harden enters the game for J. Terry
6:55.0,,,30-46,,C. Capela misses free throw 2 of 2
6:55.0,Defensive rebound by T. Allen,,30-46,,
6:42.0,J. Martin makes 2-pt shot from 3 ft,2,32-46,,
6:26.0,,,32-46,,C. Capela misses 2-pt shot from 2 ft
6:25.0,,,32-46,,Offensive rebound by D. Motiejunas
6:22.0,,,32-48,2,D. Motiejunas makes 2-pt shot from 9 ft
6:07.0,Turnover by B. Weber (lost ball; steal by P. Beverley),,32-48,,
5:59.0,,,32-48,,T. Ariza misses 3-pt shot from 24 ft
5:58.0,,,32-48,,Offensive rebound by P. Beverley
5:58.0,,,32-48,,J. Harden misses 2-pt shot from 1 ft
5:58.0,,,32-48,,Offensive rebound by Team
5:58.0,,,32-48,,Houston full timeout
5:58.0,M. Barnes enters the game for P. Hairston,,32-48,,
5:58.0,R. Hollins enters the game for A. Stepheson,,32-48,,
5:52.0,,,32-48,,Turnover by J. Harden (lost ball)
5:31.0,J. Martin misses 2-pt shot from 6 ft (block by P. Beverley),,32-48,,
5:31.0,Offensive rebound by Team,,32-48,,
5:30.0,Turnover by T. Allen (lost ball; steal by P. Beverley),,32-48,,
5:16.0,,,32-50,2,C. Capela makes 2-pt shot at rim (assist by D. Motiejunas)
5:06.0,Turnover by B. Weber (lost ball; steal by T. Ariza),,32-50,,
5:02.0,,,32-52,2,T. Ariza makes 2-pt shot from 1 ft
4:49.0,,,32-52,,Personal block foul by D. Motiejunas
4:49.0,J. Green enters the game for J. Martin,,32-52,,
4:44.0,Turnover by J. Green (offensive foul),,32-52,,
4:44.0,Offensive foul by J. Green,,32-52,,
4:31.0,,,32-55,3,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley)
4:22.0,Offensive foul by R. Hollins,,32-55,,
4:22.0,Turnover by R. Hollins (offensive foul),,32-55,,
4:22.0,Violation by Team (delay of game),,32-55,,
4:22.0,Technical foul by M. Barnes,,32-55,,
4:22.0,,,32-56,1,J. Harden makes technical free throw
4:11.0,Personal foul by T. Allen,,32-56,,
4:11.0,R. McCallum enters the game for B. Weber,,32-56,,
3:55.0,,,32-56,,J. Harden misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by R. Hollins,,32-56,,
3:35.0,J. Green misses 2-pt shot from 3 ft,,32-56,,
3:34.0,Offensive rebound by R. Hollins,,32-56,,
3:34.0,R. Hollins makes 2-pt shot at rim,2,34-56,,
3:24.0,,,34-56,,Turnover by P. Beverley (lost ball; steal by T. Allen)
3:20.0,Turnover by T. Allen (bad pass),,34-56,,
3:00.0,,,34-56,,D. Motiejunas misses 2-pt shot from 12 ft
2:59.0,Defensive rebound by R. Hollins,,34-56,,
2:56.0,Memphis full timeout,,34-56,,
2:56.0,A. Stepheson enters the game for J. Green,,34-56,,
2:56.0,,,34-56,,M. Beasley enters the game for D. Motiejunas
2:56.0,,,34-56,,J. Terry enters the game for P. Beverley
2:53.0,R. McCallum misses 2-pt shot from 21 ft,,34-56,,
2:52.0,Offensive rebound by M. Barnes,,34-56,,
2:51.0,Memphis full timeout,,34-56,,
2:36.0,R. McCallum misses 2-pt shot from 21 ft,,34-56,,
2:35.0,,,34-56,,Defensive rebound by M. Beasley
2:31.0,,,34-56,,Shooting foul by A. Stepheson (drawn by C. Capela)
2:31.0,,,34-56,,C. Capela misses free throw 1 of 2
2:31.0,,,34-56,,Offensive rebound by Team
2:31.0,J. Martin enters the game for R. Hollins,,34-56,,
2:31.0,,,34-57,1,C. Capela makes free throw 2 of 2
2:16.0,,,34-57,,Personal foul by C. Capela
2:16.0,A. Stepheson misses free throw 1 of 2,,34-57,,
2:16.0,Offensive rebound by Team,,34-57,,
2:16.0,A. Stepheson misses free throw 2 of 2,,34-57,,
2:16.0,,,34-57,,Defensive rebound by J. Harden
1:55.0,,,34-57,,J. Harden misses 2-pt shot from 12 ft
1:54.0,Defensive rebound by T. Allen,,34-57,,
1:41.0,A. Stepheson misses 2-pt shot from 5 ft,,34-57,,
1:39.0,Offensive rebound by A. Stepheson,,34-57,,
