time,LA Clippers,pts.away,score,pts.home,Washington
7:37.0,,,11-2,,Washington full timeout
7:16.0,,,11-2,,K. Oubre misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by D. Jordan,,11-2,,
6:58.0,J. Redick makes 2-pt shot from 16 ft,2,13-2,,
6:41.0,,,13-4,2,M. Gortat makes 2-pt shot from 4 ft (assist by G. Temple)
6:31.0,W. Johnson enters the game for P. Pierce,,13-4,,
6:31.0,,,13-4,,O. Porter enters the game for K. Oubre
6:23.0,W. Johnson makes 3-pt shot from 26 ft (assist by C. Paul),3,16-4,,
6:06.0,,,16-6,2,M. Gortat makes 2-pt shot from 10 ft (assist by O. Porter)
5:48.0,C. Paul makes 3-pt shot from 27 ft,3,19-6,,
5:37.0,,,19-6,,M. Gortat misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by D. Jordan,,19-6,,
5:27.0,C. Paul misses 2-pt shot from 2 ft,,19-6,,
5:26.0,,,19-6,,Defensive rebound by M. Gortat
5:22.0,,,19-6,,Turnover by J. Wall (bad pass; steal by L. Mbah a Moute)
5:17.0,C. Paul makes 2-pt shot at rim (assist by L. Mbah a Moute),2,21-6,,
4:53.0,,,21-6,,M. Gortat misses 2-pt shot from 16 ft
4:52.0,,,21-6,,Offensive rebound by G. Temple
4:45.0,,,21-6,,J. Wall misses 2-pt shot from 10 ft
4:44.0,Defensive rebound by D. Jordan,,21-6,,
4:33.0,Turnover by D. Jordan (bad pass),,21-6,,
4:33.0,J. Crawford enters the game for J. Redick,,21-6,,
4:33.0,,,21-6,,R. Sessions enters the game for J. Dudley
4:19.0,,,21-6,,G. Temple misses 3-pt shot from 24 ft
4:18.0,,,21-6,,Offensive rebound by J. Wall
4:15.0,,,21-6,,J. Wall misses 2-pt shot at rim
4:14.0,,,21-6,,Offensive rebound by G. Temple
4:11.0,,,21-8,2,J. Wall makes 2-pt shot from 1 ft
4:02.0,Turnover by C. Paul (bad pass; steal by R. Sessions),,21-8,,
3:59.0,Shooting block foul by J. Crawford (drawn by R. Sessions),,21-8,,
3:59.0,,,21-9,1,R. Sessions makes free throw 1 of 2
3:59.0,,,21-9,,R. Sessions misses free throw 2 of 2
3:58.0,Defensive rebound by D. Jordan,,21-9,,
3:44.0,C. Paul makes 2-pt shot from 1 ft,2,23-9,,
3:38.0,,,23-11,2,J. Wall makes 2-pt shot at rim (assist by R. Sessions)
3:38.0,,,23-11,,Shooting foul by L. Mbah a Moute (drawn by J. Wall)
3:38.0,Technical foul by C. Paul,,23-11,,
3:38.0,,,23-11,,J. Wall misses technical free throw
3:38.0,,,23-11,,Offensive rebound by Team
3:38.0,,,23-11,,J. Eddie enters the game for G. Temple
3:38.0,A. Rivers enters the game for L. Mbah a Moute,,23-11,,
3:38.0,,,23-12,1,J. Wall makes free throw 1 of 1
3:22.0,C. Paul misses 2-pt shot from 16 ft,,23-12,,
3:21.0,,,23-12,,Defensive rebound by M. Gortat
3:14.0,,,23-12,,R. Sessions misses 2-pt shot at rim
3:13.0,,,23-12,,Offensive rebound by Team
3:13.0,P. Prigioni enters the game for C. Paul,,23-12,,
3:06.0,,,23-15,3,J. Eddie makes 3-pt shot from 27 ft (assist by J. Wall)
2:53.0,Turnover by D. Jordan (bad pass; steal by M. Gortat),,23-15,,
2:49.0,,,23-15,,Shooting foul by D. Jordan (drawn by O. Porter)
2:49.0,LA Clippers full timeout,,23-15,,
2:49.0,C. Aldrich enters the game for D. Jordan,,23-15,,
2:49.0,,,23-16,1,O. Porter makes free throw 1 of 2
2:49.0,,,23-16,,O. Porter misses free throw 2 of 2
2:48.0,Defensive rebound by W. Johnson,,23-16,,
2:33.0,J. Crawford makes 2-pt shot from 16 ft,2,25-16,,
2:19.0,,,25-16,,Turnover by J. Wall (bad pass; steal by C. Aldrich)
2:12.0,J. Crawford misses 3-pt shot from 27 ft,,25-16,,
2:11.0,,,25-16,,Defensive rebound by R. Sessions
2:02.0,,,25-16,,J. Wall misses 2-pt shot from 8 ft
2:01.0,,,25-16,,Offensive rebound by J. Wall
1:58.0,,,25-16,,R. Sessions misses 3-pt shot from 27 ft
1:57.0,Defensive rebound by Team,,25-16,,
1:57.0,,,25-16,,Loose ball foul by M. Gortat (drawn by C. Aldrich)
1:57.0,,,25-16,,K. Humphries enters the game for M. Gortat
1:57.0,,,25-16,,K. Oubre enters the game for J. Wall
1:39.0,J. Crawford makes 2-pt shot from 1 ft,2,27-16,,
1:24.0,,,27-16,,R. Sessions misses 2-pt shot from 3 ft (block by C. Aldrich)
1:22.0,Defensive rebound by P. Prigioni,,27-16,,
1:20.0,Shooting foul by K. Humphries (drawn by W. Johnson),,27-16,,
1:20.0,W. Johnson makes free throw 1 of 2,1,28-16,,
1:20.0,W. Johnson makes free throw 2 of 2,1,29-16,,
1:05.0,,,29-16,,K. Humphries misses 2-pt shot from 18 ft
1:04.0,,,29-16,,Offensive rebound by O. Porter
1:04.0,,,29-18,2,O. Porter makes 2-pt shot from 1 ft
0:56.0,C. Aldrich makes 2-pt shot from 2 ft (assist by J. Crawford),2,31-18,,
0:42.0,,,31-18,,Shooting foul by C. Aldrich (drawn by O. Porter)
0:42.0,,,31-18,,O. Porter misses free throw 1 of 2
0:42.0,,,31-18,,Offensive rebound by Team
0:42.0,,,31-19,1,O. Porter makes free throw 2 of 2
0:35.0,A. Rivers makes 2-pt shot at rim,2,33-19,,
0:35.0,Shooting foul by K. Oubre (drawn by A. Rivers),,33-19,,
0:35.0,A. Rivers makes free throw 1 of 1,1,34-19,,
0:25.0,,,34-19,,Shooting foul by C. Aldrich (drawn by R. Sessions)
0:25.0,,,34-19,,R. Sessions misses free throw 1 of 2
0:25.0,,,34-19,,Offensive rebound by Team
0:25.0,,,34-19,,G. Temple enters the game for J. Eddie
0:25.0,,,34-20,1,R. Sessions makes free throw 2 of 2
0:06.0,Turnover by J. Crawford (bad pass; steal by R. Sessions),,34-20,,
0:02.0,,,34-20,,Turnover by R. Sessions (bad pass)
0:01.0,J. Crawford misses 3-pt shot from 65 ft,,34-20,,
0:00.0,Offensive rebound by Team,,34-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by K. Humphries (drawn by C. Aldrich),,34-20,,
11:48.0,C. Aldrich makes free throw 1 of 2,1,35-20,,
11:48.0,C. Aldrich misses free throw 2 of 2,,35-20,,
11:47.0,,,35-20,,Defensive rebound by O. Porter
11:35.0,,,35-20,,Turnover by K. Humphries (step out of bounds)
11:17.0,A. Rivers misses 3-pt shot from 28 ft,,35-20,,
11:16.0,,,35-20,,Defensive rebound by J. Eddie
11:09.0,,,35-20,,J. Eddie misses 3-pt shot from 29 ft
11:08.0,Defensive rebound by C. Aldrich,,35-20,,
10:50.0,Shooting foul by O. Porter (drawn by C. Aldrich),,35-20,,
10:50.0,C. Aldrich makes free throw 1 of 2,1,36-20,,
10:50.0,,,36-20,,M. Gortat enters the game for K. Humphries
10:50.0,,,36-20,,J. Wall enters the game for J. Eddie
10:50.0,C. Aldrich makes free throw 2 of 2,1,37-20,,
10:45.0,Personal block foul by A. Rivers (drawn by J. Wall),,37-20,,
10:36.0,,,37-22,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Wall)
10:26.0,C. Aldrich misses 2-pt shot at rim,,37-22,,
10:25.0,,,37-22,,Defensive rebound by M. Gortat
10:14.0,,,37-22,,Turnover by O. Porter (lost ball)
10:14.0,C. Paul enters the game for A. Rivers,,37-22,,
10:14.0,P. Pierce enters the game for W. Johnson,,37-22,,
10:03.0,,,37-22,,J. Dudley enters the game for O. Porter
10:03.0,J. Redick enters the game for P. Prigioni,,37-22,,
9:54.0,Turnover by J. Redick (lost ball),,37-22,,
9:43.0,,,37-24,2,J. Wall makes 2-pt shot from 17 ft
9:26.0,,,37-24,,Personal foul by G. Temple (drawn by J. Redick)
9:26.0,D. Jordan enters the game for C. Aldrich,,37-24,,
9:18.0,P. Pierce makes 2-pt shot from 17 ft (assist by J. Redick),2,39-24,,
9:02.0,,,39-24,,Turnover by G. Temple (lost ball; steal by J. Redick)
8:57.0,J. Crawford makes 2-pt shot from 10 ft (assist by J. Redick),2,41-24,,
8:45.0,,,41-24,,M. Gortat misses 2-pt shot from 5 ft
8:44.0,Defensive rebound by D. Jordan,,41-24,,
8:36.0,C. Paul misses 2-pt shot from 1 ft,,41-24,,
8:35.0,,,41-24,,Defensive rebound by Team
8:35.0,Official timeout,,41-24,,
8:21.0,,,41-24,,Turnover by J. Dudley (lost ball; steal by P. Pierce)
8:00.0,Turnover by P. Pierce (bad pass),,41-24,,
7:41.0,,,41-26,2,J. Wall makes 2-pt shot from 19 ft
7:16.0,P. Pierce misses 2-pt shot from 16 ft,,41-26,,
7:15.0,,,41-26,,Defensive rebound by M. Gortat
7:03.0,,,41-26,,J. Wall misses 2-pt shot from 12 ft
7:01.0,Defensive rebound by P. Pierce,,41-26,,
6:42.0,C. Paul misses 2-pt shot from 4 ft (block by J. Wall),,41-26,,
6:40.0,,,41-26,,Defensive rebound by M. Gortat
6:40.0,Personal take foul by P. Pierce (drawn by R. Sessions),,41-26,,
6:40.0,L. Mbah a Moute enters the game for J. Crawford,,41-26,,
6:40.0,,,41-26,,K. Oubre enters the game for R. Sessions
6:25.0,,,41-26,,K. Oubre misses 2-pt shot from 2 ft (block by D. Jordan)
6:24.0,Defensive rebound by P. Pierce,,41-26,,
6:18.0,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute),2,43-26,,
6:11.0,,,43-26,,Washington full timeout
6:11.0,,,43-26,,O. Porter enters the game for J. Dudley
6:04.0,,,43-26,,Turnover by J. Wall (bad pass; steal by L. Mbah a Moute)
5:55.0,P. Pierce makes 2-pt shot from 18 ft,2,45-26,,
5:42.0,,,45-29,3,K. Oubre makes 3-pt shot from 26 ft (assist by J. Wall)
5:25.0,J. Redick misses 2-pt shot from 21 ft,,45-29,,
5:24.0,,,45-29,,Defensive rebound by M. Gortat
5:14.0,,,45-29,,J. Wall misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by D. Jordan,,45-29,,
5:07.0,P. Pierce misses 3-pt shot from 26 ft,,45-29,,
5:05.0,Offensive rebound by L. Mbah a Moute,,45-29,,
5:00.0,P. Pierce makes 3-pt shot from 26 ft (assist by D. Jordan),3,48-29,,
4:45.0,,,48-32,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
4:20.0,C. Paul misses 3-pt shot from 32 ft,,48-32,,
4:18.0,,,48-32,,Defensive rebound by M. Gortat
4:02.0,,,48-32,,J. Wall misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by D. Jordan,,48-32,,
3:54.0,LA Clippers full timeout,,48-32,,
3:54.0,W. Johnson enters the game for P. Pierce,,48-32,,
3:47.0,C. Paul makes 2-pt shot from 3 ft (assist by D. Jordan),2,50-32,,
3:31.0,,,50-34,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:14.0,C. Paul makes 2-pt shot at rim,2,52-34,,
3:14.0,Shooting foul by K. Oubre (drawn by C. Paul),,52-34,,
3:14.0,C. Paul makes free throw 1 of 1,1,53-34,,
3:06.0,,,53-34,,Shooting foul by W. Johnson (drawn by M. Gortat)
3:06.0,,,53-35,1,M. Gortat makes free throw 1 of 2
3:06.0,,,53-36,1,M. Gortat makes free throw 2 of 2
2:51.0,J. Redick misses 3-pt shot from 27 ft,,53-36,,
2:50.0,Offensive rebound by Team,,53-36,,
2:50.0,,,53-36,,Loose ball foul by M. Gortat (drawn by D. Jordan)
2:50.0,D. Jordan misses free throw 1 of 2,,53-36,,
2:50.0,Offensive rebound by Team,,53-36,,
2:50.0,D. Jordan misses free throw 2 of 2,,53-36,,
2:49.0,,,53-36,,Defensive rebound by O. Porter
2:36.0,,,53-36,,M. Gortat misses 2-pt shot from 9 ft
2:35.0,Defensive rebound by L. Mbah a Moute,,53-36,,
2:24.0,C. Paul misses 3-pt shot from 29 ft,,53-36,,
2:23.0,,,53-36,,Defensive rebound by O. Porter
2:17.0,,,53-36,,G. Temple misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by Team,,53-36,,
2:15.0,,,53-36,,J. Eddie enters the game for G. Temple
2:00.0,C. Paul misses 2-pt shot from 18 ft,,53-36,,
1:58.0,Offensive rebound by D. Jordan,,53-36,,
1:56.0,Turnover by D. Jordan (bad pass; steal by O. Porter),,53-36,,
1:54.0,Personal foul by C. Paul (drawn by J. Wall),,53-36,,
1:54.0,,,53-36,,K. Humphries enters the game for M. Gortat
1:44.0,,,53-38,2,J. Wall makes 2-pt shot from 18 ft
1:26.0,J. Redick misses 2-pt shot from 17 ft,,53-38,,
1:25.0,,,53-38,,Defensive rebound by O. Porter
1:16.0,,,53-41,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Eddie)
0:51.0,W. Johnson makes 2-pt shot from 22 ft,2,55-41,,
0:42.0,,,55-41,,K. Humphries misses 3-pt shot from 27 ft
0:41.0,Defensive rebound by C. Paul,,55-41,,
0:41.0,,,55-41,,Personal foul by J. Wall (drawn by C. Paul)
0:41.0,C. Paul makes free throw 1 of 2,1,56-41,,
0:41.0,,,56-41,,R. Sessions enters the game for K. Oubre
0:41.0,C. Paul makes free throw 2 of 2,1,57-41,,
0:17.0,,,57-43,2,J. Wall makes 2-pt shot from 18 ft
0:17.0,LA Clippers full timeout,,57-43,,
0:17.0,J. Crawford enters the game for L. Mbah a Moute,,57-43,,
0:17.0,,,57-43,,K. Oubre enters the game for K. Humphries
0:13.0,,,57-43,,Personal take foul by J. Eddie (drawn by D. Jordan)
0:13.0,D. Jordan makes free throw 1 of 2,1,58-43,,
0:13.0,,,58-43,,K. Humphries enters the game for K. Oubre
0:13.0,A. Rivers enters the game for J. Crawford,,58-43,,
0:13.0,L. Mbah a Moute enters the game for J. Redick,,58-43,,
0:13.0,D. Jordan makes free throw 2 of 2,1,59-43,,
0:01.0,,,59-46,3,J. Eddie makes 3-pt shot from 27 ft (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Violation by Team (delay of game),,59-46,,
11:47.0,L. Mbah a Moute misses 2-pt shot from 17 ft,,59-46,,
11:45.0,,,59-46,,Defensive rebound by M. Gortat
11:30.0,,,59-46,,G. Temple misses 3-pt shot from 26 ft
11:28.0,,,59-46,,Offensive rebound by J. Wall
11:24.0,,,59-46,,J. Wall misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by D. Jordan,,59-46,,
11:15.0,C. Paul makes 2-pt shot from 2 ft,2,61-46,,
11:02.0,,,61-48,2,G. Temple makes 2-pt shot from 19 ft (assist by J. Wall)
10:47.0,J. Redick makes 2-pt shot from 5 ft (assist by C. Paul),2,63-48,,
10:38.0,,,63-48,,J. Dudley misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by C. Paul,,63-48,,
10:28.0,C. Paul makes 2-pt shot from 18 ft,2,65-48,,
10:16.0,,,65-48,,M. Gortat misses 2-pt shot from 12 ft
10:15.0,Defensive rebound by D. Jordan,,65-48,,
10:05.0,C. Paul makes 2-pt shot from 14 ft,2,67-48,,
10:04.0,,,67-48,,Washington full timeout
10:04.0,,,67-48,,O. Porter enters the game for J. Dudley
9:45.0,,,67-50,2,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall)
9:27.0,P. Pierce misses 3-pt shot from 28 ft,,67-50,,
9:26.0,,,67-50,,Defensive rebound by M. Gortat
9:21.0,,,67-50,,O. Porter misses 2-pt shot at rim
9:19.0,,,67-50,,Offensive rebound by O. Porter
9:19.0,,,67-52,2,O. Porter makes 2-pt shot at rim
8:59.0,C. Paul misses 3-pt shot from 27 ft,,67-52,,
8:57.0,,,67-52,,Defensive rebound by K. Oubre
8:54.0,,,67-54,2,J. Wall makes 2-pt shot from 1 ft (assist by K. Oubre)
8:29.0,Turnover by L. Mbah a Moute (lost ball; steal by G. Temple),,67-54,,
8:19.0,Def 3 sec tech foul by D. Jordan,,67-54,,
8:19.0,,,67-55,1,J. Wall makes technical free throw
8:19.0,J. Crawford enters the game for L. Mbah a Moute,,67-55,,
8:07.0,,,67-57,2,J. Wall makes 2-pt shot from 17 ft
7:39.0,J. Redick makes 3-pt shot from 23 ft (assist by P. Pierce),3,70-57,,
7:28.0,,,70-57,,G. Temple misses 2-pt shot from 4 ft
7:27.0,Defensive rebound by Team,,70-57,,
7:03.0,J. Crawford makes 3-pt shot from 26 ft (assist by C. Paul),3,73-57,,
6:40.0,,,73-57,,M. Gortat misses 2-pt shot from 8 ft
6:39.0,Defensive rebound by P. Pierce,,73-57,,
6:29.0,Shooting foul by G. Temple (drawn by D. Jordan),,73-57,,
6:29.0,D. Jordan misses free throw 1 of 2,,73-57,,
6:29.0,Offensive rebound by Team,,73-57,,
6:29.0,W. Johnson enters the game for P. Pierce,,73-57,,
6:29.0,,,73-57,,R. Sessions enters the game for K. Oubre
6:29.0,D. Jordan makes free throw 2 of 2,1,74-57,,
6:14.0,,,74-57,,O. Porter misses 3-pt shot from 26 ft
6:12.0,,,74-57,,Offensive rebound by Team
6:02.0,,,74-59,2,J. Wall makes 2-pt shot from 18 ft
5:43.0,J. Crawford misses 2-pt shot from 15 ft,,74-59,,
5:42.0,,,74-59,,Defensive rebound by M. Gortat
5:33.0,,,74-59,,J. Wall misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by D. Jordan,,74-59,,
5:27.0,Shooting foul by O. Porter (drawn by W. Johnson),,74-59,,
5:27.0,W. Johnson makes free throw 1 of 2,1,75-59,,
5:27.0,W. Johnson misses free throw 2 of 2,,75-59,,
5:26.0,,,75-59,,Defensive rebound by M. Gortat
5:10.0,,,75-59,,Shooting foul by W. Johnson (drawn by R. Sessions)
5:10.0,,,75-59,,R. Sessions misses free throw 1 of 2
5:10.0,,,75-59,,Offensive rebound by Team
5:10.0,,,75-60,1,R. Sessions makes free throw 2 of 2
4:58.0,Turnover by C. Paul (bad pass; steal by O. Porter),,75-60,,
4:55.0,Violation by J. Crawford (kicked ball),,75-60,,
4:55.0,A. Rivers enters the game for J. Redick,,75-60,,
4:40.0,,,75-63,3,J. Wall makes 3-pt shot from 27 ft (assist by G. Temple)
4:11.0,C. Paul misses 3-pt shot from 26 ft,,75-63,,
4:10.0,,,75-63,,Defensive rebound by R. Sessions
4:00.0,,,75-63,,M. Gortat misses 2-pt shot from 13 ft
3:59.0,Defensive rebound by D. Jordan,,75-63,,
3:45.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,77-63,,
3:34.0,,,77-63,,Washington full timeout
3:34.0,P. Prigioni enters the game for C. Paul,,77-63,,
3:17.0,,,77-63,,J. Wall misses 2-pt shot from 16 ft
3:16.0,,,77-63,,Offensive rebound by M. Gortat
3:15.0,,,77-65,2,M. Gortat makes 2-pt shot at rim
3:00.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,79-65,,
2:45.0,,,79-65,,O. Porter misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by W. Johnson,,79-65,,
2:34.0,W. Johnson misses 3-pt shot from 24 ft,,79-65,,
2:33.0,,,79-65,,Defensive rebound by R. Sessions
2:32.0,Personal take foul by P. Prigioni (drawn by R. Sessions),,79-65,,
2:32.0,,,79-65,,J. Eddie enters the game for J. Wall
2:32.0,,,79-65,,K. Humphries enters the game for M. Gortat
2:32.0,C. Aldrich enters the game for D. Jordan,,79-65,,
2:16.0,,,79-67,2,R. Sessions makes 2-pt shot from 6 ft
2:00.0,A. Rivers misses 3-pt shot from 24 ft,,79-67,,
1:59.0,Offensive rebound by Team,,79-67,,
1:56.0,W. Johnson makes 2-pt shot from 18 ft (assist by P. Prigioni),2,81-67,,
1:47.0,,,81-67,,Shooting foul by C. Aldrich (drawn by K. Humphries)
1:47.0,,,81-68,1,K. Humphries makes free throw 1 of 2
1:47.0,,,81-69,1,K. Humphries makes free throw 2 of 2
1:31.0,A. Rivers misses 2-pt shot from 1 ft,,81-69,,
1:30.0,,,81-69,,Defensive rebound by J. Eddie
1:20.0,,,81-69,,R. Sessions misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by C. Aldrich,,81-69,,
1:07.0,C. Aldrich misses 2-pt shot from 4 ft,,81-69,,
1:06.0,,,81-69,,Defensive rebound by K. Humphries
0:59.0,,,81-69,,K. Humphries misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by W. Johnson,,81-69,,
0:40.0,J. Crawford makes 3-pt shot from 23 ft (assist by C. Aldrich),3,84-69,,
0:30.0,,,84-71,2,R. Sessions makes 2-pt shot from 3 ft
0:11.0,J. Crawford makes 2-pt shot from 21 ft,2,86-71,,
0:01.0,,,86-71,,Turnover by R. Sessions (bad pass; steal by A. Rivers)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,86-71,,J. Eddie misses 3-pt shot from 23 ft
11:38.0,,,86-71,,Offensive rebound by O. Porter
11:36.0,,,86-73,2,O. Porter makes 2-pt shot from 7 ft
11:11.0,Shooting foul by O. Porter (drawn by C. Aldrich),,86-73,,
11:11.0,C. Aldrich makes free throw 1 of 2,1,87-73,,
11:11.0,C. Aldrich makes free throw 2 of 2,1,88-73,,
10:47.0,,,88-73,,J. Eddie misses 3-pt shot from 23 ft
10:46.0,,,88-73,,Offensive rebound by O. Porter
10:42.0,,,88-75,2,K. Humphries makes 2-pt shot from 1 ft (assist by O. Porter)
10:22.0,Shooting foul by K. Humphries (drawn by C. Aldrich),,88-75,,
10:22.0,C. Aldrich makes free throw 1 of 2,1,89-75,,
10:22.0,C. Aldrich makes free throw 2 of 2,1,90-75,,
10:07.0,,,90-75,,Turnover by K. Humphries (bad pass; steal by A. Rivers)
10:04.0,,,90-75,,Flagrant foul type 1 by R. Sessions (drawn by A. Rivers)
10:04.0,A. Rivers misses flagrant free throw 1 of 2,,90-75,,
10:04.0,Offensive rebound by Team,,90-75,,
10:04.0,A. Rivers makes flagrant free throw 2 of 2,1,91-75,,
9:54.0,J. Crawford makes 3-pt shot from 27 ft (assist by C. Aldrich),3,94-75,,
9:41.0,Personal foul by P. Prigioni (drawn by R. Sessions),,94-75,,
9:41.0,,,94-75,,J. Wall enters the game for K. Oubre
9:41.0,,,94-75,,M. Gortat enters the game for K. Humphries
9:28.0,,,94-75,,J. Wall misses 2-pt shot from 2 ft
9:27.0,,,94-75,,Offensive rebound by M. Gortat
9:26.0,,,94-75,,Turnover by Team (shot clock)
9:17.0,Turnover by J. Crawford (lost ball; steal by J. Eddie),,94-75,,
9:10.0,,,94-75,,J. Eddie misses 3-pt shot from 27 ft
9:09.0,Defensive rebound by C. Aldrich,,94-75,,
8:53.0,C. Aldrich makes 2-pt shot from 3 ft,2,96-75,,
8:42.0,Official timeout,,96-75,,
8:42.0,,,96-75,,G. Temple enters the game for J. Eddie
8:35.0,,,96-75,,Turnover by M. Gortat (lost ball; steal by C. Aldrich)
8:30.0,Turnover by A. Rivers (lost ball),,96-75,,
8:22.0,,,96-75,,Turnover by J. Wall (bad pass; steal by C. Aldrich)
8:15.0,Turnover by A. Rivers (bad pass; steal by J. Wall),,96-75,,
8:07.0,,,96-75,,J. Wall misses 2-pt shot from 18 ft
8:06.0,Defensive rebound by Team,,96-75,,
7:52.0,C. Aldrich misses 2-pt shot from 7 ft,,96-75,,
7:51.0,,,96-75,,Defensive rebound by M. Gortat
7:38.0,,,96-75,,R. Sessions misses 2-pt shot from 12 ft
7:37.0,Defensive rebound by Team,,96-75,,
7:23.0,C. Aldrich makes 2-pt shot from 4 ft (assist by A. Rivers),2,98-75,,
7:09.0,,,98-78,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
6:50.0,W. Johnson misses 3-pt shot from 24 ft,,98-78,,
6:49.0,,,98-78,,Defensive rebound by J. Wall
6:43.0,,,98-78,,O. Porter misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by C. Aldrich,,98-78,,
6:26.0,Turnover by A. Rivers (lost ball),,98-78,,
6:12.0,,,98-78,,M. Gortat misses 2-pt shot from 5 ft
6:11.0,Defensive rebound by C. Aldrich,,98-78,,
6:04.0,J. Crawford makes 2-pt shot from 14 ft,2,100-78,,
5:57.0,,,100-80,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
5:50.0,LA Clippers full timeout,,100-80,,
5:50.0,,,100-80,,J. Eddie enters the game for R. Sessions
5:40.0,W. Johnson makes 2-pt shot from 20 ft (assist by C. Aldrich),2,102-80,,
5:23.0,,,102-80,,Turnover by J. Wall (bad pass; steal by C. Aldrich)
5:05.0,P. Prigioni makes 2-pt shot at rim,2,104-80,,
4:59.0,,,104-80,,G. Temple misses 2-pt shot at rim
4:56.0,Defensive rebound by W. Johnson,,104-80,,
4:42.0,W. Johnson misses 3-pt shot from 24 ft,,104-80,,
4:40.0,,,104-80,,Defensive rebound by M. Gortat
4:33.0,,,104-80,,Turnover by G. Temple (bad pass; steal by P. Prigioni)
4:15.0,J. Crawford makes 2-pt shot from 16 ft (assist by A. Rivers),2,106-80,,
4:03.0,,,106-80,,J. Eddie misses 3-pt shot from 27 ft
4:02.0,Defensive rebound by P. Prigioni,,106-80,,
3:56.0,,,106-80,,Personal foul by G. Temple (drawn by P. Prigioni)
