time,Sacramento,pts.away,score,pts.home,LA Clippers
4:41.0,,,19-17,,Defensive rebound by D. Jordan
4:27.0,,,19-17,,Offensive charge foul by B. Griffin
4:27.0,,,19-17,,Turnover by B. Griffin (offensive foul)
4:27.0,,,19-17,,P. Pierce enters the game for L. Stephenson
4:09.0,R. Rondo makes 3-pt shot from 24 ft,3,22-17,,
3:55.0,,,22-19,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
3:43.0,R. Rondo misses 2-pt shot from 8 ft,,22-19,,
3:42.0,Offensive rebound by K. Koufos,,22-19,,
3:37.0,D. Cousins misses 3-pt shot from 25 ft,,22-19,,
3:36.0,,,22-19,,Defensive rebound by B. Griffin
3:21.0,,,22-19,,C. Paul misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by D. Cousins,,22-19,,
3:14.0,D. Collison makes 2-pt shot from 2 ft,2,24-19,,
3:01.0,,,24-22,3,P. Pierce makes 3-pt shot from 25 ft (assist by B. Griffin)
2:56.0,Offensive charge foul by D. Collison,,24-22,,
2:56.0,Turnover by D. Collison (offensive foul),,24-22,,
2:56.0,Sacramento full timeout,,24-22,,
2:56.0,,,24-22,,J. Crawford enters the game for J. Redick
2:56.0,,,24-22,,J. Smith enters the game for B. Griffin
2:56.0,,,24-22,,A. Rivers enters the game for C. Paul
2:56.0,M. Belinelli enters the game for D. Cousins,,24-22,,
2:56.0,W. Cauley-Stein enters the game for R. Rondo,,24-22,,
2:42.0,,,24-24,2,J. Crawford makes 2-pt shot from 7 ft
2:26.0,M. Belinelli misses 2-pt shot from 18 ft,,24-24,,
2:25.0,,,24-24,,Defensive rebound by D. Jordan
2:15.0,,,24-24,,J. Smith misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by Team,,24-24,,
2:14.0,,,24-24,,W. Johnson enters the game for D. Jordan
1:58.0,O. Casspi misses 2-pt shot from 6 ft,,24-24,,
1:58.0,Offensive rebound by K. Koufos,,24-24,,
1:53.0,K. Koufos misses 2-pt shot at rim,,24-24,,
1:51.0,Offensive rebound by O. Casspi,,24-24,,
1:48.0,O. Casspi makes 2-pt shot from 1 ft,2,26-24,,
1:32.0,,,26-24,,J. Crawford misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by W. Cauley-Stein,,26-24,,
1:11.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,26-24,,
1:09.0,Offensive rebound by W. Cauley-Stein,,26-24,,
1:07.0,W. Cauley-Stein misses 2-pt shot at rim,,26-24,,
1:07.0,,,26-24,,Defensive rebound by W. Johnson
1:07.0,,,26-24,,Turnover by P. Pierce (traveling)
0:55.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison),3,29-24,,
0:47.0,,,29-24,,Turnover by J. Smith (bad pass; steal by W. Cauley-Stein)
0:35.0,M. Belinelli misses 2-pt shot from 3 ft (block by J. Smith),,29-24,,
0:35.0,Offensive rebound by Team,,29-24,,
0:35.0,Turnover by O. Casspi (bad pass),,29-24,,
0:27.0,,,29-24,,Turnover by A. Rivers (bad pass; steal by W. Cauley-Stein)
0:12.0,,,29-24,,Personal take foul by A. Rivers (drawn by D. Collison)
0:12.0,R. Gay enters the game for W. Cauley-Stein,,29-24,,
0:01.0,R. Gay makes 2-pt shot from 19 ft (assist by D. Collison),2,31-24,,
0:01.0,,,31-24,,A. Rivers misses 3-pt shot from 52 ft
0:00.0,,,31-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,K. Koufos misses 2-pt shot from 11 ft,,31-24,,
11:41.0,Offensive rebound by R. Gay,,31-24,,
11:41.0,R. Gay misses 2-pt shot from 1 ft,,31-24,,
11:40.0,Offensive rebound by R. Gay,,31-24,,
11:38.0,R. Gay misses 2-pt shot from 2 ft,,31-24,,
11:34.0,,,31-24,,Defensive rebound by Team
11:32.0,,,31-24,,Turnover by J. Smith (bad pass; steal by M. Belinelli)
11:21.0,O. Casspi misses 2-pt shot from 4 ft,,31-24,,
11:21.0,,,31-24,,Defensive rebound by P. Pierce
11:02.0,,,31-24,,J. Smith misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by R. Gay,,31-24,,
10:42.0,D. Collison makes 2-pt shot from 7 ft,2,33-24,,
10:26.0,,,33-24,,A. Rivers misses 2-pt shot from 21 ft
10:25.0,Defensive rebound by M. Belinelli,,33-24,,
10:21.0,,,33-24,,Personal foul by A. Rivers (drawn by D. Collison)
10:04.0,R. Gay makes 2-pt shot from 9 ft,2,35-24,,
9:49.0,,,35-24,,W. Johnson misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by O. Casspi,,35-24,,
9:46.0,Turnover by O. Casspi (bad pass),,35-24,,
9:46.0,,,35-24,,B. Griffin enters the game for J. Smith
9:33.0,,,35-24,,W. Johnson misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by O. Casspi,,35-24,,
9:21.0,D. Collison misses 2-pt shot from 17 ft,,35-24,,
9:19.0,,,35-24,,Defensive rebound by B. Griffin
9:11.0,,,35-24,,J. Crawford misses 2-pt shot from 16 ft
9:09.0,Defensive rebound by K. Koufos,,35-24,,
9:00.0,C. Butler enters the game for O. Casspi,,35-24,,
9:00.0,,,35-24,,C. Paul enters the game for A. Rivers
9:00.0,,,35-24,,D. Jordan enters the game for P. Pierce
8:48.0,Turnover by R. Gay (lost ball; steal by B. Griffin),,35-24,,
8:46.0,,,35-26,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
8:46.0,,,35-26,,Shooting foul by D. Collison (drawn by B. Griffin)
8:46.0,Official timeout,,35-26,,
8:46.0,,,35-27,1,B. Griffin makes free throw 1 of 1
8:35.0,M. Belinelli misses 3-pt shot from 25 ft,,35-27,,
8:34.0,Offensive rebound by D. Collison,,35-27,,
8:27.0,R. Gay makes 2-pt shot from 1 ft (assist by D. Collison),2,37-27,,
8:16.0,,,37-27,,B. Griffin misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by D. Collison,,37-27,,
8:15.0,Shooting foul by W. Johnson (drawn by M. Belinelli),,37-27,,
8:15.0,M. Belinelli makes free throw 1 of 2,1,38-27,,
8:15.0,,,38-27,,L. Stephenson enters the game for W. Johnson
8:15.0,M. Belinelli makes free throw 2 of 2,1,39-27,,
7:57.0,,,39-27,,B. Griffin misses 2-pt shot from 6 ft
7:57.0,,,39-27,,Offensive rebound by Team
7:57.0,Loose ball foul by M. Belinelli (drawn by D. Jordan),,39-27,,
7:44.0,,,39-29,2,C. Paul makes 2-pt shot from 2 ft
7:37.0,D. Collison misses 2-pt shot from 3 ft (block by D. Jordan),,39-29,,
7:35.0,,,39-29,,Defensive rebound by D. Jordan
7:28.0,,,39-29,,J. Crawford misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by M. Belinelli,,39-29,,
7:20.0,K. Koufos misses 2-pt shot from 5 ft,,39-29,,
7:16.0,,,39-29,,Defensive rebound by D. Jordan
7:06.0,,,39-31,2,C. Paul makes 2-pt shot from 12 ft
7:03.0,Sacramento full timeout,,39-31,,
7:03.0,,,39-31,,J. Redick enters the game for J. Crawford
7:03.0,D. Cousins enters the game for K. Koufos,,39-31,,
6:57.0,Shooting foul by D. Jordan (drawn by D. Cousins),,39-31,,
6:57.0,D. Cousins misses free throw 1 of 2,,39-31,,
6:57.0,Offensive rebound by Team,,39-31,,
6:57.0,D. Cousins makes free throw 2 of 2,1,40-31,,
6:48.0,,,40-33,2,J. Redick makes 2-pt shot from 14 ft (assist by C. Paul)
6:48.0,,,40-33,,Shooting foul by M. Belinelli (drawn by J. Redick)
6:48.0,R. Rondo enters the game for M. Belinelli,,40-33,,
6:48.0,,,40-34,1,J. Redick makes free throw 1 of 1
6:31.0,R. Gay makes 2-pt shot from 1 ft,2,42-34,,
6:24.0,Personal foul by R. Rondo (drawn by C. Paul),,42-34,,
6:16.0,Personal block foul by R. Gay (drawn by B. Griffin),,42-34,,
6:16.0,,,42-34,,B. Griffin misses free throw 1 of 2
6:16.0,,,42-34,,Offensive rebound by Team
6:16.0,W. Cauley-Stein enters the game for R. Gay,,42-34,,
6:16.0,,,42-35,1,B. Griffin makes free throw 2 of 2
5:57.0,R. Rondo misses 3-pt shot from 23 ft,,42-35,,
5:57.0,Offensive rebound by D. Cousins,,42-35,,
5:54.0,D. Cousins makes 2-pt shot from 1 ft,2,44-35,,
5:46.0,,,44-37,2,L. Stephenson makes 2-pt shot at rim (assist by C. Paul)
5:31.0,R. Rondo makes 2-pt shot from 2 ft,2,46-37,,
5:21.0,,,46-37,,C. Paul misses 2-pt shot from 20 ft
5:21.0,Defensive rebound by D. Cousins,,46-37,,
5:16.0,Turnover by D. Cousins (lost ball),,46-37,,
4:42.0,,,46-37,,Turnover by L. Stephenson (illegal screen)
4:42.0,R. Rondo makes 2-pt shot from 18 ft,2,48-37,,
4:38.0,Personal foul by W. Cauley-Stein (drawn by B. Griffin),,48-37,,
4:38.0,,,48-38,1,B. Griffin makes free throw 1 of 2
4:38.0,,,48-38,,B. Griffin misses free throw 2 of 2
4:37.0,Defensive rebound by D. Cousins,,48-38,,
4:22.0,D. Cousins misses 2-pt shot from 20 ft,,48-38,,
4:22.0,,,48-38,,Defensive rebound by Team
4:11.0,,,48-38,,C. Paul misses 2-pt shot from 8 ft
4:10.0,,,48-38,,Offensive rebound by D. Jordan
4:06.0,,,48-40,2,D. Jordan makes 2-pt shot at rim
3:54.0,R. Rondo misses 2-pt shot from 1 ft,,48-40,,
3:53.0,,,48-40,,Defensive rebound by L. Stephenson
3:49.0,,,48-42,2,J. Redick makes 2-pt shot from 1 ft (assist by L. Stephenson)
3:30.0,D. Cousins makes 2-pt shot from 13 ft (assist by R. Rondo),2,50-42,,
3:22.0,Personal foul by R. Rondo (drawn by D. Jordan),,50-42,,
3:22.0,,,50-42,,D. Jordan misses free throw 1 of 2
3:22.0,,,50-42,,Offensive rebound by Team
3:22.0,B. McLemore enters the game for D. Collison,,50-42,,
3:22.0,,,50-43,1,D. Jordan makes free throw 2 of 2
3:06.0,D. Cousins misses 2-pt shot from 17 ft,,50-43,,
3:04.0,,,50-43,,Defensive rebound by B. Griffin
3:03.0,,,50-43,,Shooting foul by D. Cousins (drawn by B. Griffin)
3:03.0,,,50-44,1,B. Griffin makes free throw 1 of 2
3:03.0,M. Belinelli enters the game for C. Butler,,50-44,,
3:03.0,,,50-45,1,B. Griffin makes free throw 2 of 2
2:46.0,D. Cousins misses 3-pt shot from 24 ft,,50-45,,
2:45.0,,,50-45,,Defensive rebound by C. Paul
2:31.0,,,50-47,2,D. Jordan makes 2-pt shot at rim (assist by L. Stephenson)
2:12.0,M. Belinelli misses 2-pt shot from 10 ft,,50-47,,
2:12.0,Offensive rebound by W. Cauley-Stein,,50-47,,
2:12.0,Shooting foul by B. Griffin (drawn by W. Cauley-Stein),,50-47,,
2:12.0,,,50-47,,LA Clippers full timeout
2:12.0,W. Cauley-Stein makes free throw 1 of 2,1,51-47,,
2:12.0,W. Cauley-Stein misses free throw 2 of 2,,51-47,,
2:11.0,,,51-47,,Defensive rebound by Team
2:11.0,Loose ball foul by D. Cousins (drawn by B. Griffin),,51-47,,
2:11.0,,,51-48,1,B. Griffin makes free throw 1 of 2
2:11.0,,,51-48,,B. Griffin misses free throw 2 of 2
2:09.0,,,51-48,,Offensive rebound by D. Jordan
2:06.0,Personal block foul by W. Cauley-Stein (drawn by L. Stephenson),,51-48,,
2:06.0,Violation by Team (delay of game),,51-48,,
2:06.0,,,51-49,1,L. Stephenson makes free throw 1 of 2
2:06.0,K. Koufos enters the game for W. Cauley-Stein,,51-49,,
2:06.0,,,51-49,,L. Stephenson misses free throw 2 of 2
2:03.0,Defensive rebound by D. Cousins,,51-49,,
1:54.0,Turnover by R. Rondo (traveling),,51-49,,
1:48.0,Personal foul by R. Rondo (drawn by C. Paul),,51-49,,
1:48.0,,,51-50,1,C. Paul makes free throw 1 of 2
1:48.0,D. Collison enters the game for R. Rondo,,51-50,,
1:48.0,,,51-50,,C. Paul misses free throw 2 of 2
1:45.0,Defensive rebound by D. Cousins,,51-50,,
1:33.0,B. McLemore misses 2-pt shot from 1 ft,,51-50,,
1:32.0,,,51-50,,Defensive rebound by B. Griffin
1:26.0,,,51-53,3,C. Paul makes 3-pt shot from 25 ft
1:13.0,,,51-53,,Personal foul by J. Redick (drawn by M. Belinelli)
1:13.0,M. Belinelli makes free throw 1 of 2,1,52-53,,
1:13.0,M. Belinelli makes free throw 2 of 2,1,53-53,,
1:02.0,,,53-56,3,J. Redick makes 3-pt shot from 25 ft
0:49.0,D. Cousins misses 2-pt shot from 5 ft (block by D. Jordan),,53-56,,
0:48.0,,,53-56,,Defensive rebound by C. Paul
0:48.0,Loose ball foul by D. Cousins (drawn by C. Paul),,53-56,,
0:48.0,,,53-57,1,C. Paul makes free throw 1 of 2
0:48.0,O. Casspi enters the game for D. Cousins,,53-57,,
0:48.0,,,53-57,,P. Pierce enters the game for B. Griffin
0:48.0,,,53-58,1,C. Paul makes free throw 2 of 2
0:27.0,K. Koufos makes 2-pt shot at rim (assist by O. Casspi),2,55-58,,
0:17.0,,,55-58,,LA Clippers full timeout
0:17.0,,,55-58,,J. Crawford enters the game for L. Stephenson
0:17.0,,,55-58,,Shooting foul by K. Koufos (drawn by D. Jordan)
0:17.0,,,55-58,,D. Jordan misses free throw 1 of 3
0:17.0,,,55-58,,Offensive rebound by Team
0:17.0,,,55-58,,D. Jordan misses free throw 2 of 3
0:17.0,,,55-58,,Offensive rebound by Team
0:17.0,R. Gay enters the game for K. Koufos,,55-58,,
0:17.0,,,55-58,,W. Johnson enters the game for J. Redick
0:17.0,,,55-58,,L. Mbah a Moute enters the game for P. Pierce
0:17.0,,,55-58,,A. Rivers enters the game for J. Crawford
0:17.0,,,55-59,1,D. Jordan makes free throw 3 of 3
0:03.0,R. Gay misses 3-pt shot from 26 ft,,55-59,,
0:01.0,,,55-59,,Defensive rebound by D. Jordan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Collison misses 3-pt shot from 25 ft,,55-59,,
11:40.0,Offensive rebound by W. Cauley-Stein,,55-59,,
11:37.0,R. Gay misses 2-pt shot from 2 ft (block by D. Jordan),,55-59,,
11:37.0,Offensive rebound by Team,,55-59,,
11:25.0,D. Collison misses 2-pt shot from 2 ft (block by D. Jordan),,55-59,,
11:22.0,Offensive rebound by W. Cauley-Stein,,55-59,,
11:21.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,57-59,,
10:56.0,,,57-61,2,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Griffin)
10:39.0,Shooting foul by B. Griffin (drawn by W. Cauley-Stein),,57-61,,
10:39.0,,,57-61,,Violation by B. Griffin (lane)
10:39.0,W. Cauley-Stein makes free throw 1 of 2,1,58-61,,
10:39.0,W. Cauley-Stein misses free throw 2 of 2,,58-61,,
10:37.0,,,58-61,,Defensive rebound by D. Jordan
10:20.0,,,58-61,,B. Griffin misses 2-pt shot from 6 ft (block by W. Cauley-Stein)
10:20.0,,,58-61,,Offensive rebound by Team
10:15.0,,,58-63,2,J. Redick makes 2-pt shot at rim (assist by C. Paul)
10:12.0,Turnover by D. Collison (lost ball),,58-63,,
9:53.0,,,58-65,2,L. Stephenson makes 2-pt shot from 13 ft (assist by B. Griffin)
9:43.0,R. Rondo makes 2-pt shot from 19 ft,2,60-65,,
9:20.0,,,60-67,2,J. Redick makes 2-pt shot from 16 ft (assist by D. Jordan)
9:18.0,,,60-67,,Personal foul by L. Stephenson (drawn by R. Gay)
9:09.0,R. Gay makes 2-pt shot from 9 ft (assist by D. Collison),2,62-67,,
8:47.0,,,62-69,2,C. Paul makes 2-pt shot from 15 ft
8:32.0,D. Collison misses 2-pt shot from 15 ft,,62-69,,
8:32.0,Offensive rebound by K. Koufos,,62-69,,
8:16.0,R. Rondo misses 2-pt shot from 18 ft,,62-69,,
8:15.0,,,62-69,,Defensive rebound by D. Jordan
8:08.0,,,62-69,,B. Griffin misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by R. Gay,,62-69,,
7:56.0,R. Gay misses 2-pt shot from 18 ft,,62-69,,
7:55.0,,,62-69,,Defensive rebound by D. Jordan
7:46.0,,,62-69,,C. Paul misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by W. Cauley-Stein,,62-69,,
7:45.0,,,62-69,,Personal foul by L. Stephenson (drawn by R. Rondo)
7:31.0,D. Collison misses 2-pt shot from 19 ft,,62-69,,
7:25.0,,,62-69,,Defensive rebound by D. Jordan
7:20.0,Personal foul by K. Koufos (drawn by C. Paul),,62-69,,
7:20.0,O. Casspi enters the game for W. Cauley-Stein,,62-69,,
7:11.0,,,62-71,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick)
7:11.0,Sacramento full timeout,,62-71,,
6:59.0,Turnover by R. Gay (bad pass; steal by B. Griffin),,62-71,,
6:53.0,,,62-71,,L. Stephenson misses 2-pt shot at rim
6:49.0,Defensive rebound by R. Rondo,,62-71,,
6:43.0,O. Casspi makes 2-pt shot from 8 ft (assist by R. Gay),2,64-71,,
6:28.0,,,64-73,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:12.0,R. Gay misses 3-pt shot from 25 ft,,64-73,,
6:11.0,,,64-73,,Defensive rebound by C. Paul
6:09.0,Personal foul by R. Rondo (drawn by C. Paul),,64-73,,
6:02.0,,,64-73,,L. Stephenson misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by R. Rondo,,64-73,,
5:52.0,R. Rondo makes 2-pt shot from 5 ft,2,66-73,,
5:33.0,,,66-75,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
5:21.0,R. Gay misses 2-pt shot from 7 ft,,66-75,,
5:21.0,,,66-75,,Defensive rebound by D. Jordan
5:04.0,,,66-77,2,D. Jordan makes 2-pt shot at rim (assist by L. Stephenson)
4:53.0,R. Rondo makes 2-pt shot from 1 ft,2,68-77,,
4:53.0,Technical foul by Team,,68-77,,
4:53.0,,,68-78,1,J. Redick makes technical free throw
4:53.0,M. Belinelli enters the game for D. Collison,,68-78,,
4:41.0,,,68-80,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
4:15.0,R. Gay misses 2-pt shot from 4 ft (block by D. Jordan),,68-80,,
4:13.0,,,68-80,,Defensive rebound by B. Griffin
4:06.0,,,68-80,,Turnover by L. Stephenson (bad pass)
4:06.0,,,68-80,,J. Smith enters the game for D. Jordan
3:48.0,R. Rondo misses 3-pt shot from 25 ft,,68-80,,
3:47.0,Offensive rebound by R. Rondo,,68-80,,
3:38.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo),2,70-80,,
3:23.0,,,70-80,,B. Griffin misses 2-pt shot from 18 ft
3:22.0,,,70-80,,Offensive rebound by J. Smith
3:14.0,,,70-80,,Shooting foul by K. Koufos (drawn by C. Paul)
3:14.0,,,70-80,,C. Paul misses free throw 1 of 2
3:14.0,,,70-80,,Offensive rebound by Team
3:14.0,C. Butler enters the game for R. Gay,,70-80,,
3:14.0,,,70-80,,J. Crawford enters the game for L. Stephenson
3:14.0,W. Cauley-Stein enters the game for K. Koufos,,70-80,,
3:14.0,,,70-81,1,C. Paul makes free throw 2 of 2
3:05.0,Shooting foul by J. Redick (drawn by R. Rondo),,70-81,,
3:05.0,R. Rondo misses free throw 1 of 2,,70-81,,
3:05.0,Offensive rebound by Team,,70-81,,
3:05.0,R. Rondo misses free throw 2 of 2,,70-81,,
3:04.0,,,70-81,,Defensive rebound by B. Griffin
2:44.0,,,70-81,,B. Griffin misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by R. Rondo,,70-81,,
2:32.0,C. Butler misses 2-pt shot from 21 ft,,70-81,,
2:31.0,Offensive rebound by Team,,70-81,,
2:31.0,,,70-81,,Loose ball foul by B. Griffin (drawn by R. Rondo)
2:31.0,,,70-81,,LA Clippers full timeout
2:31.0,,,70-81,,P. Pierce enters the game for B. Griffin
2:31.0,,,70-81,,A. Rivers enters the game for J. Redick
2:31.0,R. Rondo misses free throw 1 of 2,,70-81,,
2:31.0,Offensive rebound by Team,,70-81,,
2:31.0,R. Rondo makes free throw 2 of 2,1,71-81,,
2:09.0,,,71-81,,C. Paul misses 3-pt shot from 26 ft
2:09.0,,,71-81,,Offensive rebound by J. Smith
2:09.0,Loose ball foul by C. Butler (drawn by J. Smith),,71-81,,
1:57.0,,,71-81,,A. Rivers misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by Team,,71-81,,
1:38.0,W. Cauley-Stein makes 2-pt shot at rim (assist by O. Casspi),2,73-81,,
1:16.0,,,73-81,,J. Smith misses 2-pt shot from 6 ft
1:13.0,Defensive rebound by O. Casspi,,73-81,,
1:05.0,R. Rondo makes 2-pt shot from 6 ft,2,75-81,,
0:43.0,,,75-83,2,J. Crawford makes 2-pt shot from 17 ft (assist by J. Smith)
0:30.0,,,75-83,,Personal foul by C. Paul (drawn by O. Casspi)
0:30.0,O. Casspi makes free throw 1 of 2,1,76-83,,
0:30.0,,,76-83,,W. Johnson enters the game for C. Paul
0:30.0,D. Collison enters the game for R. Rondo,,76-83,,
0:30.0,O. Casspi misses free throw 2 of 2,,76-83,,
0:29.0,,,76-83,,Defensive rebound by P. Pierce
0:09.0,,,76-83,,J. Crawford misses 2-pt shot from 13 ft
0:08.0,Defensive rebound by W. Cauley-Stein,,76-83,,
0:03.0,M. Belinelli makes 3-pt shot from 27 ft (assist by D. Collison),3,79-83,,
0:01.0,,,79-83,,J. Crawford misses 3-pt shot from 47 ft
0:00.0,,,79-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,79-83,,Turnover by P. Pierce (lost ball)
11:43.0,,,79-83,,Loose ball foul by P. Pierce (drawn by W. Cauley-Stein)
11:31.0,M. Belinelli misses 2-pt shot from 20 ft,,79-83,,
11:31.0,,,79-83,,Defensive rebound by Team
11:31.0,Loose ball foul by W. Cauley-Stein (drawn by J. Smith),,79-83,,
11:18.0,,,79-83,,Turnover by A. Rivers (traveling)
11:07.0,D. Collison makes 2-pt shot from 7 ft,2,81-83,,
11:00.0,,,81-83,,Shooting foul by C. Butler (drawn by J. Crawford)
11:00.0,,,81-84,1,J. Crawford makes free throw 1 of 2
11:00.0,,,81-85,1,J. Crawford makes free throw 2 of 2
10:35.0,C. Butler makes 2-pt shot from 10 ft (assist by D. Collison),2,83-85,,
