time,Phoenix,pts.away,score,pts.home,Boston
6:04.0,,,12-16,2,J. Crowder makes 2-pt shot from 21 ft (assist by A. Johnson)
5:51.0,,,12-16,,Def 3 sec tech foul by A. Johnson
5:51.0,,,12-16,,Boston full timeout
5:51.0,M. Morris makes technical free throw,1,13-16,,
5:41.0,M. Morris makes 2-pt shot from 17 ft (assist by A. Goodwin),2,15-16,,
5:24.0,,,15-19,3,A. Bradley makes 3-pt shot from 23 ft (assist by J. Crowder)
5:14.0,T. Chandler misses 2-pt shot from 1 ft,,15-19,,
5:13.0,,,15-19,,Defensive rebound by J. Sullinger
5:03.0,,,15-22,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
4:50.0,L. Brown makes 2-pt shot from 16 ft (assist by T. Chandler),2,17-22,,
4:35.0,,,17-25,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Crowder)
4:13.0,A. Goodwin misses 2-pt shot from 1 ft,,17-25,,
4:12.0,Offensive rebound by A. Goodwin,,17-25,,
4:12.0,A. Goodwin makes 2-pt shot from 1 ft,2,19-25,,
3:59.0,,,19-25,,A. Johnson misses 2-pt shot from 2 ft
3:58.0,,,19-25,,Offensive rebound by A. Johnson
3:56.0,,,19-27,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Johnson)
3:33.0,M. Morris misses 2-pt shot from 13 ft,,19-27,,
3:32.0,,,19-27,,Defensive rebound by J. Sullinger
3:25.0,,,19-27,,I. Thomas misses 3-pt shot from 25 ft
3:24.0,,,19-27,,Offensive rebound by A. Bradley
3:19.0,,,19-27,,A. Bradley misses 2-pt shot from 18 ft
3:18.0,,,19-27,,Offensive rebound by Team
3:18.0,,,19-27,,E. Turner enters the game for A. Bradley
3:18.0,,,19-27,,M. Smart enters the game for J. Sullinger
3:18.0,B. Knight enters the game for P. Tucker,,19-27,,
3:18.0,T. Warren enters the game for A. Goodwin,,19-27,,
3:05.0,,,19-27,,M. Smart misses 2-pt shot from 3 ft
3:04.0,Defensive rebound by T. Warren,,19-27,,
2:55.0,Phoenix full timeout,,19-27,,
2:55.0,S. Weems enters the game for T. Chandler,,19-27,,
2:55.0,J. Leuer enters the game for L. Brown,,19-27,,
2:49.0,B. Knight misses 3-pt shot from 24 ft,,19-27,,
2:48.0,Offensive rebound by Team,,19-27,,
2:48.0,,,19-27,,Loose ball foul by J. Crowder (drawn by M. Morris)
2:43.0,J. Leuer misses 2-pt shot from 19 ft,,19-27,,
2:43.0,,,19-27,,Defensive rebound by M. Smart
2:25.0,,,19-27,,Shooting foul by T. Warren (drawn by I. Thomas)
2:25.0,,,19-28,1,I. Thomas makes free throw 1 of 2
2:25.0,,,19-29,1,I. Thomas makes free throw 2 of 2
2:12.0,M. Morris makes 2-pt shot from 1 ft (assist by S. Weems),2,21-29,,
2:01.0,,,21-32,3,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart)
1:49.0,Turnover by S. Weems (bad pass; steal by M. Smart),,21-32,,
1:44.0,,,21-32,,I. Thomas misses 2-pt shot from 2 ft
1:42.0,,,21-32,,Offensive rebound by A. Johnson
1:42.0,,,21-32,,A. Johnson misses 2-pt shot from 1 ft
1:39.0,,,21-32,,Offensive rebound by J. Crowder
1:30.0,,,21-32,,Turnover by I. Thomas (bad pass; steal by M. Morris)
1:24.0,T. Warren misses 2-pt shot from 3 ft,,21-32,,
1:23.0,Offensive rebound by M. Morris,,21-32,,
1:23.0,M. Morris misses 2-pt shot from 1 ft,,21-32,,
1:20.0,Offensive rebound by J. Leuer,,21-32,,
1:20.0,J. Leuer makes 2-pt shot from 1 ft,2,23-32,,
1:17.0,,,23-32,,I. Thomas misses 2-pt shot from 2 ft
1:16.0,,,23-32,,Offensive rebound by Team
1:16.0,Loose ball foul by J. Leuer (drawn by A. Johnson),,23-32,,
1:16.0,,,23-32,,A. Johnson misses free throw 1 of 2
1:16.0,,,23-32,,Offensive rebound by Team
1:16.0,,,23-32,,J. Jerebko enters the game for J. Crowder
1:16.0,M. Teletovic enters the game for M. Morris,,23-32,,
1:16.0,,,23-32,,A. Johnson misses free throw 2 of 2
1:16.0,Defensive rebound by T. Warren,,23-32,,
1:02.0,T. Warren makes 2-pt shot from 8 ft (assist by B. Knight),2,25-32,,
0:53.0,,,25-32,,Turnover by I. Thomas (bad pass)
0:43.0,B. Knight makes 2-pt shot from 1 ft,2,27-32,,
0:29.0,,,27-34,2,A. Johnson makes 2-pt shot from 2 ft
0:20.0,T. Warren makes 2-pt shot from 16 ft,2,29-34,,
0:03.0,,,29-36,2,I. Thomas makes 2-pt shot from 1 ft
0:00.0,M. Teletovic misses 3-pt shot from 38 ft,,29-36,,
0:00.0,Offensive rebound by Team,,29-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-36,,A. Bradley misses 2-pt shot from 20 ft
11:39.0,,,29-36,,Offensive rebound by Team
11:24.0,,,29-36,,A. Bradley misses 2-pt shot from 2 ft (block by B. Knight)
11:23.0,Defensive rebound by S. Weems,,29-36,,
11:18.0,T. Warren misses 3-pt shot from 25 ft,,29-36,,
11:16.0,,,29-36,,Defensive rebound by J. Jerebko
11:06.0,,,29-36,,Turnover by M. Smart (bad pass; steal by S. Weems)
11:03.0,Turnover by S. Weems (bad pass; steal by K. Olynyk),,29-36,,
10:57.0,,,29-36,,M. Smart misses 2-pt shot from 3 ft
10:56.0,,,29-36,,Offensive rebound by A. Bradley
10:56.0,,,29-38,2,A. Bradley makes 2-pt shot at rim
10:46.0,Turnover by B. Knight (bad pass; steal by M. Smart),,29-38,,
10:42.0,,,29-40,2,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart)
10:25.0,J. Leuer makes 2-pt shot from 13 ft (assist by B. Knight),2,31-40,,
10:15.0,,,31-40,,Turnover by E. Turner (lost ball; steal by T. Warren)
9:56.0,Turnover by J. Leuer (bad pass; steal by E. Turner),,31-40,,
9:47.0,,,31-40,,J. Jerebko misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by J. Leuer,,31-40,,
9:35.0,B. Knight makes 2-pt shot at rim,2,33-40,,
9:20.0,,,33-40,,Shooting foul by B. Knight (drawn by A. Bradley)
9:20.0,,,33-40,,A. Bradley misses free throw 1 of 2
9:20.0,,,33-40,,Offensive rebound by Team
9:20.0,,,33-41,1,A. Bradley makes free throw 2 of 2
9:10.0,B. Knight misses 2-pt shot from 14 ft,,33-41,,
9:09.0,,,33-41,,Defensive rebound by E. Turner
9:00.0,,,33-41,,K. Olynyk misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by S. Weems,,33-41,,
8:43.0,M. Teletovic makes 2-pt shot from 9 ft,2,35-41,,
8:31.0,,,35-43,2,M. Smart makes 2-pt shot from 4 ft (assist by K. Olynyk)
8:22.0,Official timeout,,35-43,,
8:22.0,Turnover by Team (5 sec inbounds),,35-43,,
8:03.0,,,35-43,,Turnover by A. Bradley (bad pass; steal by J. Leuer)
7:52.0,B. Knight makes 3-pt shot from 23 ft (assist by J. Leuer),3,38-43,,
7:32.0,,,38-45,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
7:20.0,J. Leuer misses 3-pt shot from 24 ft,,38-45,,
7:19.0,,,38-45,,Defensive rebound by A. Bradley
7:12.0,,,38-45,,Shooting foul by T. Warren (drawn by J. Jerebko)
7:12.0,,,38-46,1,J. Jerebko makes free throw 1 of 2
7:12.0,P. Tucker enters the game for M. Teletovic,,38-46,,
7:12.0,M. Morris enters the game for J. Leuer,,38-46,,
7:12.0,,,38-46,,J. Jerebko misses free throw 2 of 2
7:12.0,Defensive rebound by P. Tucker,,38-46,,
6:53.0,T. Warren makes 2-pt shot from 1 ft (assist by P. Tucker),2,40-46,,
6:40.0,,,40-46,,K. Olynyk misses 2-pt shot from 18 ft
6:39.0,Defensive rebound by T. Warren,,40-46,,
6:28.0,M. Morris misses 2-pt shot from 13 ft,,40-46,,
6:26.0,Offensive rebound by S. Weems,,40-46,,
6:26.0,S. Weems makes 2-pt shot from 2 ft,2,42-46,,
6:25.0,,,42-46,,Boston full timeout
6:25.0,,,42-46,,J. Crowder enters the game for E. Turner
6:13.0,,,42-46,,J. Crowder misses 3-pt shot from 24 ft
6:12.0,,,42-46,,Offensive rebound by J. Jerebko
5:59.0,,,42-46,,M. Smart misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by M. Morris,,42-46,,
5:47.0,,,42-46,,J. Sullinger enters the game for J. Jerebko
5:44.0,T. Warren misses 2-pt shot from 1 ft (block by J. Crowder),,42-46,,
5:43.0,,,42-46,,Defensive rebound by J. Crowder
5:40.0,,,42-46,,Turnover by J. Crowder (bad pass; steal by B. Knight)
5:39.0,Shooting foul by J. Sullinger (drawn by T. Warren),,42-46,,
5:39.0,T. Warren misses free throw 1 of 2,,42-46,,
5:39.0,Offensive rebound by Team,,42-46,,
5:39.0,T. Warren misses free throw 2 of 2,,42-46,,
5:39.0,,,42-46,,Defensive rebound by K. Olynyk
5:26.0,,,42-48,2,A. Bradley makes 2-pt shot from 4 ft
5:14.0,,,42-48,,Violation by Team (delay of game)
5:12.0,M. Morris misses 2-pt shot from 1 ft (block by J. Crowder),,42-48,,
5:11.0,Offensive rebound by Team,,42-48,,
5:06.0,Turnover by M. Morris (bad pass; steal by K. Olynyk),,42-48,,
4:58.0,,,42-48,,J. Sullinger misses 2-pt shot from 2 ft (block by P. Tucker)
4:57.0,,,42-48,,Offensive rebound by J. Sullinger
4:55.0,Violation by M. Morris (def goaltending),,42-48,,
4:55.0,,,42-50,2,J. Sullinger makes 2-pt shot from 1 ft
4:42.0,M. Morris misses 2-pt shot from 2 ft,,42-50,,
4:41.0,,,42-50,,Defensive rebound by J. Sullinger
4:30.0,,,42-50,,J. Crowder misses 2-pt shot from 1 ft
4:29.0,,,42-50,,Offensive rebound by J. Crowder
4:29.0,,,42-52,2,J. Crowder makes 2-pt shot from 1 ft
4:22.0,Phoenix full timeout,,42-52,,
4:22.0,T. Chandler enters the game for T. Warren,,42-52,,
4:22.0,A. Goodwin enters the game for S. Weems,,42-52,,
4:09.0,B. Knight makes 3-pt shot from 24 ft (assist by M. Morris),3,45-52,,
3:52.0,,,45-52,,A. Bradley misses 2-pt shot from 16 ft
3:51.0,Defensive rebound by M. Morris,,45-52,,
3:36.0,Turnover by P. Tucker (lost ball; steal by K. Olynyk),,45-52,,
3:30.0,,,45-52,,M. Smart misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by T. Chandler,,45-52,,
3:23.0,A. Goodwin misses 2-pt shot from 2 ft,,45-52,,
3:21.0,Offensive rebound by P. Tucker,,45-52,,
3:20.0,P. Tucker misses 2-pt shot from 1 ft,,45-52,,
3:18.0,,,45-52,,Defensive rebound by J. Sullinger
3:07.0,,,45-55,3,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart)
2:43.0,A. Goodwin misses 2-pt shot from 2 ft,,45-55,,
2:42.0,,,45-55,,Defensive rebound by K. Olynyk
2:37.0,,,45-55,,Turnover by M. Smart (bad pass; steal by P. Tucker)
2:32.0,M. Morris misses 2-pt shot from 2 ft,,45-55,,
2:31.0,,,45-55,,Defensive rebound by M. Smart
2:25.0,,,45-58,3,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart)
2:10.0,A. Goodwin misses 3-pt shot from 24 ft,,45-58,,
2:09.0,,,45-58,,Defensive rebound by M. Smart
2:03.0,,,45-58,,J. Crowder misses 2-pt shot from 22 ft
2:02.0,Defensive rebound by M. Morris,,45-58,,
1:51.0,B. Knight misses 3-pt shot from 24 ft,,45-58,,
1:50.0,,,45-58,,Defensive rebound by K. Olynyk
1:40.0,,,45-61,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Crowder)
1:20.0,P. Tucker misses 3-pt shot from 23 ft,,45-61,,
1:19.0,,,45-61,,Defensive rebound by M. Smart
1:13.0,,,45-63,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
1:06.0,Phoenix full timeout,,45-63,,
0:58.0,A. Goodwin misses 2-pt shot from 2 ft,,45-63,,
0:57.0,Offensive rebound by P. Tucker,,45-63,,
0:57.0,P. Tucker makes 2-pt shot from 1 ft,2,47-63,,
0:43.0,,,47-65,2,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart)
0:33.0,B. Knight misses 2-pt shot from 19 ft,,47-65,,
0:32.0,,,47-65,,Defensive rebound by M. Smart
0:21.0,,,47-68,3,J. Sullinger makes 3-pt shot from 24 ft (assist by M. Smart)
0:04.0,Turnover by B. Knight (bad pass; steal by J. Crowder),,47-68,,
0:01.0,,,47-68,,J. Crowder misses 2-pt shot from 2 ft
0:01.0,,,47-68,,Offensive rebound by A. Bradley
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:55.0,Personal foul by P. Tucker (drawn by I. Thomas),,47-68,,
11:44.0,,,47-70,2,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas)
11:24.0,Turnover by D. Booker (bad pass; steal by A. Johnson),,47-70,,
11:19.0,,,47-70,,I. Thomas misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by T. Chandler,,47-70,,
10:56.0,Shooting foul by A. Johnson (drawn by M. Morris),,47-70,,
10:56.0,M. Morris makes free throw 1 of 2,1,48-70,,
10:56.0,M. Morris makes free throw 2 of 2,1,49-70,,
10:42.0,,,49-70,,A. Bradley misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by T. Chandler,,49-70,,
10:40.0,,,49-70,,Personal foul by J. Sullinger (drawn by T. Chandler)
10:30.0,D. Booker misses 2-pt shot from 22 ft,,49-70,,
10:29.0,,,49-70,,Defensive rebound by A. Johnson
10:20.0,,,49-72,2,A. Bradley makes 2-pt shot from 18 ft (assist by J. Crowder)
9:55.0,D. Booker makes 2-pt shot from 17 ft (assist by M. Morris),2,51-72,,
9:44.0,,,51-75,3,I. Thomas makes 3-pt shot from 24 ft
9:26.0,M. Morris misses 2-pt shot from 17 ft,,51-75,,
9:25.0,,,51-75,,Defensive rebound by A. Johnson
9:18.0,,,51-75,,A. Bradley misses 2-pt shot from 3 ft
9:17.0,Defensive rebound by M. Morris,,51-75,,
9:09.0,P. Tucker misses 2-pt shot from 2 ft,,51-75,,
9:08.0,,,51-75,,Defensive rebound by J. Crowder
9:00.0,,,51-75,,J. Crowder misses 2-pt shot from 13 ft
8:59.0,Defensive rebound by M. Morris,,51-75,,
8:50.0,B. Knight misses 2-pt shot from 1 ft,,51-75,,
8:49.0,,,51-75,,Defensive rebound by J. Sullinger
8:46.0,,,51-75,,Shooting foul by M. Morris (drawn by J. Crowder)
8:46.0,,,51-76,1,J. Crowder makes free throw 1 of 2
8:46.0,,,51-76,,J. Crowder misses free throw 2 of 2
8:46.0,Defensive rebound by M. Morris,,51-76,,
8:36.0,D. Booker misses 2-pt shot from 16 ft,,51-76,,
8:35.0,,,51-76,,Defensive rebound by I. Thomas
8:28.0,,,51-76,,J. Sullinger misses 2-pt shot from 5 ft
8:27.0,,,51-76,,Offensive rebound by J. Sullinger
8:22.0,,,51-76,,A. Bradley misses 3-pt shot from 24 ft
8:21.0,,,51-76,,Offensive rebound by I. Thomas
8:16.0,,,51-76,,J. Sullinger misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by T. Chandler,,51-76,,
8:07.0,,,51-76,,Personal foul by I. Thomas (drawn by D. Booker)
8:07.0,M. Teletovic enters the game for M. Morris,,51-76,,
7:51.0,B. Knight misses 3-pt shot from 24 ft,,51-76,,
7:48.0,Offensive rebound by T. Chandler,,51-76,,
7:45.0,M. Teletovic makes 3-pt shot from 24 ft (assist by T. Chandler),3,54-76,,
7:30.0,Personal foul by M. Teletovic (drawn by J. Sullinger),,54-76,,
7:30.0,S. Weems enters the game for P. Tucker,,54-76,,
7:22.0,,,54-76,,Shooting foul by B. Knight (drawn by J. Sullinger)
7:22.0,,,54-77,1,J. Sullinger makes free throw 1 of 2
7:22.0,,,54-78,1,J. Sullinger makes free throw 2 of 2
7:04.0,B. Knight makes 2-pt shot from 1 ft (assist by S. Weems),2,56-78,,
6:47.0,,,56-78,,A. Johnson misses 2-pt shot from 16 ft
6:46.0,Defensive rebound by D. Booker,,56-78,,
6:27.0,B. Knight misses 3-pt shot from 23 ft,,56-78,,
6:25.0,Offensive rebound by M. Teletovic,,56-78,,
6:22.0,M. Teletovic makes 3-pt shot from 25 ft (assist by S. Weems),3,59-78,,
6:22.0,,,59-78,,Boston full timeout
6:06.0,,,59-80,2,A. Johnson makes 2-pt shot at rim (assist by J. Sullinger)
5:47.0,M. Teletovic makes 3-pt shot from 24 ft (assist by S. Weems),3,62-80,,
5:29.0,,,62-80,,A. Bradley misses 3-pt shot from 23 ft
5:28.0,Defensive rebound by T. Chandler,,62-80,,
5:22.0,Turnover by B. Knight (bad pass; steal by J. Crowder),,62-80,,
5:21.0,Personal foul by M. Teletovic (drawn by J. Sullinger),,62-80,,
5:21.0,,,62-80,,J. Sullinger misses free throw 1 of 2
5:21.0,,,62-80,,Offensive rebound by Team
5:21.0,,,62-80,,E. Turner enters the game for A. Johnson
5:21.0,,,62-80,,M. Smart enters the game for A. Bradley
5:21.0,,,62-80,,J. Sullinger misses free throw 2 of 2
5:21.0,Defensive rebound by T. Chandler,,62-80,,
5:09.0,M. Teletovic misses 2-pt shot from 13 ft,,62-80,,
5:08.0,,,62-80,,Defensive rebound by J. Sullinger
4:59.0,,,62-80,,Shooting foul by S. Weems (drawn by J. Crowder)
4:59.0,,,62-81,1,J. Crowder makes free throw 1 of 2
4:59.0,,,62-82,1,J. Crowder makes free throw 2 of 2
4:45.0,Shooting foul by M. Smart (drawn by M. Teletovic),,62-82,,
4:45.0,M. Teletovic makes free throw 1 of 3,1,63-82,,
4:45.0,M. Teletovic makes free throw 2 of 3,1,64-82,,
4:45.0,M. Teletovic makes free throw 3 of 3,1,65-82,,
4:33.0,,,65-82,,Shooting foul by B. Knight (drawn by I. Thomas)
4:33.0,,,65-83,1,I. Thomas makes free throw 1 of 2
4:33.0,,,65-84,1,I. Thomas makes free throw 2 of 2
4:24.0,,,65-84,,Personal foul by E. Turner (drawn by D. Booker)
4:24.0,D. Booker misses free throw 1 of 2,,65-84,,
4:24.0,Offensive rebound by Team,,65-84,,
4:24.0,D. Booker makes free throw 2 of 2,1,66-84,,
4:09.0,,,66-84,,J. Crowder misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by S. Weems,,66-84,,
3:55.0,,,66-84,,Personal foul by I. Thomas (drawn by S. Weems)
3:55.0,S. Weems misses free throw 1 of 2,,66-84,,
3:55.0,Offensive rebound by Team,,66-84,,
3:55.0,S. Weems makes free throw 2 of 2,1,67-84,,
3:43.0,,,67-84,,J. Sullinger misses 2-pt shot from 21 ft
3:42.0,Defensive rebound by S. Weems,,67-84,,
3:32.0,B. Knight makes 2-pt shot from 1 ft (assist by M. Teletovic),2,69-84,,
3:15.0,,,69-84,,J. Crowder misses 2-pt shot from 23 ft
3:14.0,Defensive rebound by D. Booker,,69-84,,
3:11.0,Turnover by D. Booker (bad pass; steal by J. Crowder),,69-84,,
3:05.0,,,69-86,2,J. Crowder makes 2-pt shot from 18 ft (assist by M. Smart)
2:49.0,D. Booker misses 3-pt shot from 24 ft,,69-86,,
2:48.0,,,69-86,,Defensive rebound by J. Sullinger
2:40.0,,,69-86,,Shooting foul by S. Weems (drawn by I. Thomas)
2:40.0,Phoenix full timeout,,69-86,,
2:40.0,,,69-86,,K. Olynyk enters the game for J. Sullinger
2:40.0,,,69-87,1,I. Thomas makes free throw 1 of 2
2:40.0,,,69-88,1,I. Thomas makes free throw 2 of 2
2:28.0,S. Weems makes 2-pt shot from 9 ft,2,71-88,,
2:13.0,,,71-91,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Crowder)
1:55.0,M. Teletovic misses 2-pt shot from 6 ft (block by M. Smart),,71-91,,
1:54.0,Offensive rebound by Team,,71-91,,
1:50.0,B. Knight misses 3-pt shot from 24 ft,,71-91,,
1:49.0,,,71-91,,Defensive rebound by Team
1:49.0,Loose ball foul by T. Chandler (drawn by M. Smart),,71-91,,
1:49.0,,,71-91,,M. Smart misses free throw 1 of 2
1:49.0,,,71-91,,Offensive rebound by Team
1:49.0,T. Warren enters the game for T. Chandler,,71-91,,
1:49.0,,,71-92,1,M. Smart makes free throw 2 of 2
1:31.0,M. Teletovic misses 2-pt shot from 2 ft,,71-92,,
1:30.0,Offensive rebound by Team,,71-92,,
1:30.0,Shooting foul by K. Olynyk (drawn by M. Teletovic),,71-92,,
1:30.0,M. Teletovic makes free throw 1 of 2,1,72-92,,
1:30.0,M. Teletovic makes free throw 2 of 2,1,73-92,,
1:18.0,,,73-94,2,M. Smart makes 2-pt shot from 1 ft
1:11.0,M. Teletovic misses 2-pt shot from 12 ft (block by M. Smart),,73-94,,
1:10.0,,,73-94,,Defensive rebound by J. Crowder
1:00.0,,,73-94,,Turnover by J. Crowder (bad pass; steal by S. Weems)
0:55.0,Shooting foul by I. Thomas (drawn by D. Booker),,73-94,,
0:55.0,D. Booker makes free throw 1 of 2,1,74-94,,
0:55.0,D. Booker makes free throw 2 of 2,1,75-94,,
0:46.0,,,75-94,,I. Thomas misses 2-pt shot from 17 ft
0:45.0,Defensive rebound by Team,,75-94,,
0:45.0,,,75-94,,Loose ball foul by K. Olynyk (drawn by M. Teletovic)
0:45.0,M. Teletovic makes free throw 1 of 2,1,76-94,,
0:45.0,M. Teletovic misses free throw 2 of 2,,76-94,,
0:45.0,,,76-94,,Defensive rebound by K. Olynyk
0:27.0,,,76-94,,K. Olynyk misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by M. Teletovic,,76-94,,
0:19.0,Shooting foul by J. Crowder (drawn by T. Warren),,76-94,,
0:19.0,T. Warren makes free throw 1 of 2,1,77-94,,
0:19.0,T. Warren makes free throw 2 of 2,1,78-94,,
0:08.0,Personal foul by T. Warren (drawn by J. Crowder),,78-94,,
0:08.0,,,78-95,1,J. Crowder makes free throw 1 of 2
0:08.0,,,78-95,,J. Jerebko enters the game for M. Smart
0:08.0,,,78-95,,A. Bradley enters the game for K. Olynyk
0:08.0,,,78-96,1,J. Crowder makes free throw 2 of 2
0:00.0,M. Teletovic misses 3-pt shot from 27 ft,,78-96,,
0:00.0,Offensive rebound by Team,,78-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by S. Weems (step out of bounds),,78-96,,
11:32.0,,,78-96,,K. Olynyk misses 2-pt shot from 2 ft (block by J. Leuer)
11:31.0,Defensive rebound by D. Booker,,78-96,,
11:28.0,,,78-96,,Personal foul by M. Smart (drawn by D. Booker)
11:12.0,T. Warren makes 2-pt shot from 17 ft,2,80-96,,
10:56.0,,,80-98,2,M. Smart makes 2-pt shot from 2 ft
10:49.0,,,80-98,,Personal foul by A. Bradley (drawn by D. Booker)
10:38.0,S. Weems makes 2-pt shot from 18 ft (assist by T. Warren),2,82-98,,
10:18.0,,,82-100,2,A. Bradley makes 2-pt shot from 2 ft
10:12.0,Turnover by D. Booker (lost ball; steal by A. Bradley),,82-100,,
9:56.0,,,82-100,,A. Bradley misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by A. Goodwin,,82-100,,
9:47.0,A. Goodwin misses 2-pt shot from 1 ft,,82-100,,
9:46.0,,,82-100,,Defensive rebound by K. Olynyk
9:29.0,,,82-100,,M. Smart misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by A. Goodwin,,82-100,,
9:22.0,D. Booker makes 2-pt shot from 2 ft (assist by A. Goodwin),2,84-100,,
9:07.0,,,84-100,,K. Olynyk misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by S. Weems,,84-100,,
8:58.0,S. Weems makes 3-pt shot from 22 ft (assist by J. Leuer),3,87-100,,
8:58.0,,,87-100,,Boston full timeout
8:58.0,B. Knight enters the game for D. Booker,,87-100,,
8:38.0,,,87-103,3,M. Smart makes 3-pt shot from 24 ft
8:22.0,J. Leuer makes 3-pt shot from 24 ft (assist by S. Weems),3,90-103,,
8:04.0,,,90-106,3,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart)
7:42.0,S. Weems misses 2-pt shot from 17 ft,,90-106,,
