time,Philadelphia,pts.away,score,pts.home,Milwaukee
6:08.0,Turnover by H. Thompson (bad pass),,12-10,,
5:57.0,,,12-13,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Monroe)
5:33.0,T. McConnell makes 2-pt shot from 4 ft,2,14-13,,
5:29.0,,,14-13,,Turnover by G. Antetokounmpo (bad pass)
5:13.0,Turnover by J. Sampson (traveling),,14-13,,
5:13.0,N. Noel enters the game for J. Okafor,,14-13,,
5:05.0,Personal foul by J. Sampson (drawn by K. Middleton),,14-13,,
5:05.0,I. Canaan enters the game for J. Sampson,,14-13,,
5:00.0,Shooting block foul by R. Holmes (drawn by G. Antetokounmpo),,14-13,,
5:00.0,,,14-13,,G. Antetokounmpo misses free throw 1 of 2
5:00.0,,,14-13,,Offensive rebound by Team
5:00.0,,,14-14,1,G. Antetokounmpo makes free throw 2 of 2
4:35.0,N. Noel misses 2-pt shot from 5 ft,,14-14,,
4:34.0,,,14-14,,Defensive rebound by J. O'Bryant
4:25.0,,,14-16,2,G. Monroe makes 2-pt shot from 4 ft
4:25.0,,,14-16,,Shooting foul by N. Noel (drawn by G. Monroe)
4:25.0,,,14-17,1,G. Monroe makes free throw 1 of 1
4:11.0,,,14-17,,Personal foul by K. Middleton (drawn by H. Thompson)
4:01.0,I. Canaan misses 3-pt shot from 25 ft,,14-17,,
4:00.0,Offensive rebound by T. McConnell,,14-17,,
3:52.0,N. Noel makes 2-pt shot from 3 ft (assist by T. McConnell),2,16-17,,
3:39.0,,,16-17,,Shooting foul by I. Canaan (drawn by K. Middleton)
3:39.0,,,16-18,1,K. Middleton makes free throw 1 of 2
3:39.0,,,16-18,,R. Vaughn enters the game for G. Antetokounmpo
3:39.0,,,16-19,1,K. Middleton makes free throw 2 of 2
3:18.0,H. Thompson makes 3-pt shot from 27 ft (assist by T. McConnell),3,19-19,,
3:02.0,,,19-19,,Turnover by K. Middleton (bad pass; steal by H. Thompson)
2:47.0,R. Holmes misses 2-pt shot from 11 ft,,19-19,,
2:46.0,Offensive rebound by N. Noel,,19-19,,
2:46.0,N. Noel misses 2-pt shot from 1 ft,,19-19,,
2:44.0,,,19-19,,Defensive rebound by G. Monroe
2:34.0,,,19-19,,K. Middleton misses 2-pt shot from 12 ft (block by H. Thompson)
2:34.0,,,19-19,,Offensive rebound by Team
2:34.0,,,19-19,,Milwaukee full timeout
2:34.0,,,19-19,,G. Vasquez enters the game for J. Bayless
2:34.0,J. Sampson enters the game for T. McConnell,,19-19,,
2:31.0,,,19-22,3,R. Vaughn makes 3-pt shot from 23 ft (assist by K. Middleton)
2:09.0,Turnover by R. Holmes (step out of bounds),,19-22,,
1:59.0,,,19-24,2,G. Monroe makes 2-pt shot from 3 ft (assist by J. O'Bryant)
1:51.0,H. Thompson misses 2-pt shot at rim,,19-24,,
1:48.0,,,19-24,,Defensive rebound by G. Monroe
1:38.0,,,19-24,,K. Middleton misses 3-pt shot from 27 ft
1:37.0,,,19-24,,Offensive rebound by J. O'Bryant
1:22.0,,,19-24,,G. Monroe misses 2-pt shot from 5 ft
1:21.0,,,19-24,,Offensive rebound by J. O'Bryant
1:21.0,,,19-26,2,J. O'Bryant makes 2-pt shot from 1 ft
1:21.0,,,19-26,,Shooting foul by J. Sampson (drawn by J. O'Bryant)
1:21.0,J. Grant enters the game for J. Sampson,,19-26,,
1:21.0,N. Stauskas enters the game for H. Thompson,,19-26,,
1:21.0,,,19-26,,J. O'Bryant misses free throw 1 of 1
1:20.0,Defensive rebound by N. Noel,,19-26,,
1:03.0,R. Holmes misses 3-pt shot from 28 ft,,19-26,,
1:02.0,,,19-26,,Defensive rebound by R. Vaughn
0:51.0,,,19-26,,G. Monroe misses 2-pt shot from 4 ft
0:50.0,,,19-26,,Offensive rebound by J. O'Bryant
0:36.0,,,19-26,,G. Vasquez misses 2-pt shot from 4 ft
0:35.0,Defensive rebound by Team,,19-26,,
0:35.0,,,19-26,,M. Plumlee enters the game for G. Monroe
0:27.0,J. Grant misses 3-pt shot from 25 ft,,19-26,,
0:26.0,,,19-26,,Defensive rebound by M. Plumlee
0:09.0,,,19-29,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Vasquez)
0:04.0,,,19-29,,Personal take foul by G. Vasquez (drawn by I. Canaan)
0:01.0,,,19-29,,Violation by M. Plumlee (def goaltending)
0:01.0,N. Noel makes 2-pt shot from 1 ft,2,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-29,,G. Vasquez misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by Team,,21-29,,
11:27.0,N. Stauskas misses 3-pt shot from 22 ft,,21-29,,
11:26.0,,,21-29,,Defensive rebound by G. Antetokounmpo
11:19.0,,,21-31,2,G. Antetokounmpo makes 2-pt shot from 18 ft
10:59.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,23-31,,
10:45.0,,,23-31,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by J. Grant)
10:41.0,Defensive rebound by J. Grant,,23-31,,
10:40.0,N. Stauskas makes 2-pt shot from 1 ft (assist by T. McConnell),2,25-31,,
10:40.0,Shooting foul by G. Vasquez (drawn by N. Stauskas),,25-31,,
10:40.0,N. Stauskas makes free throw 1 of 1,1,26-31,,
10:26.0,,,26-31,,R. Vaughn misses 2-pt shot from 3 ft
10:26.0,,,26-31,,Offensive rebound by R. Vaughn
10:26.0,Loose ball foul by J. Okafor (drawn by R. Vaughn),,26-31,,
10:25.0,Personal foul by H. Thompson (drawn by G. Antetokounmpo),,26-31,,
10:20.0,,,26-33,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:03.0,N. Stauskas misses 2-pt shot from 3 ft,,26-33,,
10:02.0,Offensive rebound by N. Stauskas,,26-33,,
9:56.0,T. McConnell makes 3-pt shot from 25 ft (assist by J. Grant),3,29-33,,
9:42.0,,,29-35,2,G. Vasquez makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
9:42.0,,,29-35,,Shooting foul by H. Thompson (drawn by G. Vasquez)
9:42.0,N. Noel enters the game for H. Thompson,,29-35,,
9:42.0,,,29-35,,G. Vasquez misses free throw 1 of 1
9:41.0,Defensive rebound by J. Okafor,,29-35,,
9:26.0,J. Okafor misses 2-pt shot from 2 ft (block by M. Plumlee),,29-35,,
9:26.0,Offensive rebound by J. Okafor,,29-35,,
9:26.0,J. Okafor makes 2-pt shot from 2 ft,2,31-35,,
9:26.0,Shooting foul by J. O'Bryant (drawn by J. Okafor),,31-35,,
9:26.0,,,31-35,,J. Parker enters the game for J. O'Bryant
9:26.0,J. Okafor makes free throw 1 of 1,1,32-35,,
9:10.0,,,32-35,,R. Vaughn misses 3-pt shot from 22 ft
9:08.0,Defensive rebound by J. Okafor,,32-35,,
8:58.0,J. Grant misses 2-pt shot at rim (block by G. Antetokounmpo),,32-35,,
8:55.0,Offensive rebound by J. Grant,,32-35,,
8:55.0,Philadelphia full timeout,,32-35,,
8:50.0,N. Stauskas misses 3-pt shot from 26 ft,,32-35,,
8:49.0,Offensive rebound by Team,,32-35,,
8:26.0,N. Noel makes 2-pt shot from 16 ft (assist by J. Grant),2,34-35,,
8:12.0,,,34-35,,J. Parker misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by T. McConnell,,34-35,,
7:58.0,N. Stauskas misses 2-pt shot at rim (block by M. Plumlee),,34-35,,
7:56.0,,,34-35,,Defensive rebound by J. Parker
7:44.0,,,34-35,,G. Vasquez misses 2-pt shot from 1 ft (block by J. Grant)
7:41.0,Defensive rebound by J. Okafor,,34-35,,
7:34.0,N. Stauskas misses 3-pt shot from 22 ft,,34-35,,
7:33.0,,,34-35,,Defensive rebound by M. Plumlee
7:23.0,Personal foul by J. Grant (drawn by G. Antetokounmpo),,34-35,,
7:23.0,,,34-35,,J. Bayless enters the game for R. Vaughn
7:23.0,J. Sampson enters the game for J. Grant,,34-35,,
7:19.0,,,34-37,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Plumlee)
7:00.0,,,34-37,,Personal foul by G. Vasquez (drawn by N. Stauskas)
7:00.0,,,34-37,,T. Ennis enters the game for G. Vasquez
6:50.0,J. Okafor makes 2-pt shot from 9 ft,2,36-37,,
6:36.0,,,36-39,2,J. Bayless makes 2-pt shot from 19 ft (assist by T. Ennis)
6:15.0,J. Sampson misses 2-pt shot from 3 ft,,36-39,,
6:15.0,Offensive rebound by Team,,36-39,,
6:15.0,I. Canaan enters the game for T. McConnell,,36-39,,
6:10.0,N. Noel misses 2-pt shot from 19 ft,,36-39,,
6:09.0,,,36-39,,Defensive rebound by M. Plumlee
6:00.0,,,36-39,,J. Bayless misses 2-pt shot from 14 ft
5:59.0,Defensive rebound by J. Sampson,,36-39,,
5:43.0,J. Okafor misses 2-pt shot from 16 ft,,36-39,,
5:42.0,,,36-39,,Defensive rebound by G. Antetokounmpo
5:31.0,,,36-39,,Turnover by G. Antetokounmpo (traveling)
5:31.0,Official timeout,,36-39,,
5:31.0,,,36-39,,G. Monroe enters the game for M. Plumlee
5:14.0,N. Stauskas makes 3-pt shot from 27 ft (assist by I. Canaan),3,39-39,,
4:51.0,,,39-39,,Shooting foul by J. Okafor (drawn by G. Monroe)
4:51.0,,,39-40,1,G. Monroe makes free throw 1 of 2
4:51.0,R. Holmes enters the game for J. Okafor,,39-40,,
4:51.0,,,39-40,,G. Monroe misses free throw 2 of 2
4:50.0,Defensive rebound by R. Holmes,,39-40,,
4:35.0,Turnover by N. Noel (bad pass),,39-40,,
4:15.0,,,39-40,,J. Parker misses 2-pt shot from 17 ft
4:14.0,Defensive rebound by N. Stauskas,,39-40,,
4:06.0,,,39-40,,Personal foul by J. Bayless (drawn by R. Holmes)
4:06.0,,,39-40,,K. Middleton enters the game for J. Parker
3:49.0,N. Stauskas misses 3-pt shot from 29 ft,,39-40,,
3:47.0,,,39-40,,Defensive rebound by J. Bayless
3:36.0,,,39-40,,K. Middleton misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by I. Canaan,,39-40,,
3:26.0,N. Noel misses 2-pt shot from 16 ft,,39-40,,
3:24.0,,,39-40,,Defensive rebound by G. Antetokounmpo
3:17.0,,,39-40,,G. Antetokounmpo misses 2-pt shot from 5 ft
3:16.0,Defensive rebound by N. Noel,,39-40,,
3:10.0,I. Canaan misses 3-pt shot from 27 ft,,39-40,,
3:09.0,,,39-40,,Defensive rebound by J. Bayless
2:55.0,,,39-40,,J. Bayless misses 2-pt shot from 5 ft
2:53.0,Defensive rebound by N. Noel,,39-40,,
2:48.0,,,39-40,,Violation by J. Bayless (def goaltending)
2:48.0,N. Stauskas makes 2-pt shot from 1 ft (assist by N. Noel),2,41-40,,
2:35.0,,,41-42,2,T. Ennis makes 2-pt shot from 13 ft
2:12.0,N. Stauskas misses 3-pt shot from 26 ft,,41-42,,
2:08.0,Offensive rebound by N. Noel,,41-42,,
2:03.0,N. Noel misses 2-pt shot from 3 ft,,41-42,,
2:01.0,Offensive rebound by R. Holmes,,41-42,,
1:59.0,R. Holmes makes 2-pt shot at rim,2,43-42,,
1:48.0,,,43-42,,Offensive charge foul by G. Monroe
1:48.0,,,43-42,,Turnover by G. Monroe (offensive foul)
1:48.0,,,43-42,,Milwaukee full timeout
1:48.0,T. McConnell enters the game for N. Stauskas,,43-42,,
1:48.0,H. Thompson enters the game for R. Holmes,,43-42,,
1:48.0,J. Okafor enters the game for J. Sampson,,43-42,,
1:34.0,I. Canaan misses 3-pt shot from 26 ft,,43-42,,
1:33.0,,,43-42,,Defensive rebound by T. Ennis
1:22.0,,,43-42,,G. Antetokounmpo misses 2-pt shot at rim (block by J. Okafor)
1:20.0,Defensive rebound by T. McConnell,,43-42,,
1:17.0,I. Canaan misses 2-pt shot from 2 ft,,43-42,,
1:14.0,,,43-42,,Defensive rebound by T. Ennis
1:08.0,,,43-45,3,J. Bayless makes 3-pt shot from 26 ft (assist by K. Middleton)
0:52.0,H. Thompson misses 3-pt shot from 25 ft,,43-45,,
0:51.0,,,43-45,,Defensive rebound by J. Bayless
0:34.0,,,43-45,,Turnover by T. Ennis (bad pass; steal by I. Canaan)
0:32.0,,,43-45,,Personal take foul by T. Ennis (drawn by I. Canaan)
0:32.0,I. Canaan makes free throw 1 of 2,1,44-45,,
0:32.0,R. Holmes enters the game for J. Okafor,,44-45,,
0:32.0,J. Grant enters the game for N. Noel,,44-45,,
0:32.0,I. Canaan makes free throw 2 of 2,1,45-45,,
0:18.0,,,45-47,2,K. Middleton makes 2-pt shot from 15 ft
0:13.0,Philadelphia full timeout,,45-47,,
0:13.0,N. Stauskas enters the game for J. Grant,,45-47,,
0:13.0,N. Noel enters the game for R. Holmes,,45-47,,
0:13.0,J. Okafor enters the game for I. Canaan,,45-47,,
0:01.0,Turnover by T. McConnell (lost ball),,45-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,45-47,,K. Middleton misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by Team,,45-47,,
11:17.0,,,45-47,,Personal foul by J. Bayless (drawn by T. McConnell)
11:02.0,Turnover by Team (shot clock),,45-47,,
10:44.0,,,45-47,,Turnover by G. Antetokounmpo (traveling)
10:28.0,N. Noel misses 2-pt shot from 5 ft,,45-47,,
10:27.0,,,45-47,,Defensive rebound by G. Antetokounmpo
10:18.0,,,45-47,,J. Bayless misses 3-pt shot from 23 ft
10:17.0,,,45-47,,Offensive rebound by G. Monroe
10:16.0,,,45-47,,Shooting foul by N. Noel (drawn by G. Monroe)
10:16.0,,,45-48,1,G. Monroe makes free throw 1 of 2
10:16.0,,,45-49,1,G. Monroe makes free throw 2 of 2
9:53.0,J. Okafor makes 2-pt shot from 5 ft,2,47-49,,
9:40.0,,,47-49,,K. Middleton misses 2-pt shot from 8 ft
9:38.0,,,47-49,,Offensive rebound by G. Monroe
9:38.0,,,47-49,,G. Monroe misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by N. Stauskas,,47-49,,
9:30.0,N. Stauskas makes 3-pt shot from 24 ft (assist by T. McConnell),3,50-49,,
9:14.0,,,50-49,,G. Monroe misses 2-pt shot from 1 ft (block by N. Noel)
9:10.0,Defensive rebound by N. Stauskas,,50-49,,
9:07.0,T. McConnell makes 2-pt shot from 1 ft (assist by N. Stauskas),2,52-49,,
8:50.0,,,52-49,,K. Middleton misses 2-pt shot from 16 ft
8:48.0,Defensive rebound by J. Grant,,52-49,,
8:38.0,J. Grant misses 3-pt shot from 25 ft,,52-49,,
8:37.0,,,52-49,,Defensive rebound by K. Middleton
8:18.0,,,52-49,,J. Parker misses 2-pt shot at rim (block by J. Grant)
8:15.0,Defensive rebound by T. McConnell,,52-49,,
8:12.0,,,52-49,,Personal foul by K. Middleton (drawn by N. Stauskas)
8:12.0,J. Sampson enters the game for N. Noel,,52-49,,
8:12.0,R. Holmes enters the game for J. Grant,,52-49,,
7:56.0,Turnover by J. Okafor (traveling),,52-49,,
7:45.0,,,52-52,3,G. Antetokounmpo makes 3-pt shot from 22 ft (assist by J. Parker)
7:24.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,54-52,,
7:08.0,,,54-54,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:58.0,Turnover by N. Stauskas (lost ball; steal by G. Monroe),,54-54,,
6:54.0,,,54-54,,K. Middleton misses 2-pt shot at rim
6:53.0,Defensive rebound by N. Stauskas,,54-54,,
6:40.0,Shooting foul by G. Monroe (drawn by J. Okafor),,54-54,,
6:40.0,Philadelphia full timeout,,54-54,,
6:40.0,,,54-54,,J. O'Bryant enters the game for J. Parker
6:40.0,H. Thompson enters the game for N. Stauskas,,54-54,,
6:40.0,J. Okafor makes free throw 1 of 2,1,55-54,,
6:40.0,J. Okafor makes free throw 2 of 2,1,56-54,,
6:21.0,,,56-56,2,K. Middleton makes 2-pt shot from 15 ft (assist by J. Bayless)
5:57.0,J. Okafor makes 2-pt shot from 5 ft,2,58-56,,
5:35.0,,,58-56,,G. Antetokounmpo misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by T. McConnell,,58-56,,
5:20.0,J. Sampson misses 2-pt shot from 3 ft,,58-56,,
5:20.0,,,58-56,,Defensive rebound by Team
5:10.0,N. Noel enters the game for J. Okafor,,58-56,,
4:57.0,,,58-56,,J. O'Bryant misses 2-pt shot from 15 ft
4:56.0,Defensive rebound by N. Noel,,58-56,,
4:50.0,T. McConnell misses 2-pt shot at rim (block by J. O'Bryant),,58-56,,
4:47.0,Offensive rebound by J. Sampson,,58-56,,
4:44.0,R. Holmes misses 3-pt shot from 25 ft,,58-56,,
4:43.0,Jump ball: N. Noel vs. J. O'Bryant (H. Thompson gains possession),,,,Jump ball: N. Noel vs. J. O'Bryant (H. Thompson gains possession)
4:43.0,Offensive rebound by Team,,58-56,,
4:22.0,J. Sampson makes 3-pt shot from 26 ft (assist by H. Thompson),3,61-56,,
4:05.0,,,61-56,,J. O'Bryant misses 2-pt shot from 15 ft
4:04.0,Defensive rebound by N. Noel,,61-56,,
3:52.0,H. Thompson makes 2-pt shot from 20 ft (assist by T. McConnell),2,63-56,,
3:52.0,,,63-56,,Milwaukee full timeout
3:52.0,,,63-56,,G. Vasquez enters the game for J. Bayless
3:52.0,,,63-56,,C. Copeland enters the game for J. O'Bryant
3:52.0,I. Canaan enters the game for T. McConnell,,63-56,,
3:42.0,,,63-56,,Turnover by G. Vasquez (bad pass; steal by R. Holmes)
3:34.0,R. Holmes misses 2-pt shot from 1 ft,,63-56,,
3:32.0,Offensive rebound by N. Noel,,63-56,,
3:32.0,N. Noel misses 2-pt shot at rim,,63-56,,
3:32.0,,,63-56,,Defensive rebound by Team
3:32.0,Loose ball foul by N. Noel (drawn by G. Monroe),,63-56,,
3:14.0,,,63-56,,K. Middleton misses 3-pt shot from 26 ft
3:13.0,,,63-56,,Offensive rebound by K. Middleton
3:09.0,,,63-56,,C. Copeland misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by N. Noel,,63-56,,
3:01.0,H. Thompson misses 3-pt shot from 25 ft,,63-56,,
3:01.0,,,63-56,,Defensive rebound by Team
3:01.0,Loose ball foul by J. Sampson (drawn by K. Middleton),,63-56,,
3:01.0,J. Okafor enters the game for N. Noel,,63-56,,
2:42.0,,,63-58,2,G. Vasquez makes 2-pt shot from 17 ft (assist by G. Monroe)
2:33.0,Turnover by I. Canaan (bad pass; steal by G. Vasquez),,63-58,,
2:31.0,Violation by R. Holmes (def goaltending),,63-58,,
2:31.0,,,63-60,2,G. Vasquez makes 2-pt shot from 1 ft
2:14.0,J. Okafor misses 2-pt shot from 13 ft,,63-60,,
2:13.0,,,63-60,,Defensive rebound by G. Monroe
2:02.0,,,63-62,2,C. Copeland makes 2-pt shot from 6 ft (assist by G. Vasquez)
2:02.0,,,63-62,,Shooting foul by R. Holmes (drawn by C. Copeland)
2:02.0,,,63-63,1,C. Copeland makes free throw 1 of 1
1:44.0,Turnover by H. Thompson (bad pass),,63-63,,
1:44.0,,,63-63,,R. Vaughn enters the game for K. Middleton
1:34.0,,,63-63,,G. Vasquez misses 2-pt shot at rim (block by I. Canaan)
1:32.0,,,63-63,,Offensive rebound by Team
1:32.0,Violation by R. Holmes (def goaltending),,63-63,,
1:32.0,,,63-65,2,C. Copeland makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:18.0,,,63-65,,Def 3 sec tech foul by C. Copeland
1:18.0,I. Canaan makes technical free throw,1,64-65,,
1:18.0,N. Stauskas enters the game for J. Sampson,,64-65,,
1:07.0,Shooting foul by G. Antetokounmpo (drawn by R. Holmes),,64-65,,
1:07.0,R. Holmes makes free throw 1 of 2,1,65-65,,
1:07.0,R. Holmes makes free throw 2 of 2,1,66-65,,
0:57.0,,,66-65,,C. Copeland misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Okafor,,66-65,,
0:43.0,,,66-65,,Shooting block foul by G. Monroe (drawn by R. Holmes)
0:43.0,R. Holmes misses free throw 1 of 2,,66-65,,
0:43.0,Offensive rebound by Team,,66-65,,
0:43.0,,,66-65,,M. Plumlee enters the game for G. Monroe
0:43.0,R. Holmes makes free throw 2 of 2,1,67-65,,
0:29.0,,,67-65,,G. Vasquez misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by H. Thompson,,67-65,,
0:07.0,Turnover by N. Stauskas (bad pass; steal by G. Antetokounmpo),,67-65,,
0:01.0,,,67-67,2,G. Antetokounmpo makes 2-pt shot at rim
0:01.0,,,67-67,,Shooting foul by I. Canaan (drawn by G. Antetokounmpo)
0:01.0,,,67-68,1,G. Antetokounmpo makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by H. Thompson (step out of bounds),,67-68,,
11:29.0,,,67-71,3,G. Vasquez makes 3-pt shot from 26 ft (assist by C. Copeland)
11:14.0,Turnover by N. Noel (bad pass),,67-71,,
11:00.0,,,67-71,,C. Copeland misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by H. Thompson,,67-71,,
10:43.0,N. Stauskas misses 3-pt shot from 26 ft,,67-71,,
10:41.0,,,67-71,,Defensive rebound by M. Plumlee
10:36.0,,,67-73,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Vasquez)
10:35.0,Philadelphia full timeout,,67-73,,
10:35.0,J. Grant enters the game for H. Thompson,,67-73,,
10:16.0,J. Grant misses 2-pt shot from 2 ft,,67-73,,
10:15.0,Offensive rebound by N. Noel,,67-73,,
10:13.0,N. Noel makes 2-pt shot at rim,2,69-73,,
9:52.0,,,69-73,,G. Vasquez misses 2-pt shot from 13 ft
9:51.0,,,69-73,,Offensive rebound by G. Vasquez
9:48.0,,,69-73,,C. Copeland misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by T. McConnell,,69-73,,
9:46.0,,,69-73,,Personal foul by G. Vasquez (drawn by T. McConnell)
9:31.0,J. Grant makes 2-pt shot from 2 ft (assist by T. McConnell),2,71-73,,
9:16.0,,,71-73,,Shooting foul by N. Noel (drawn by G. Vasquez)
9:16.0,,,71-74,1,G. Vasquez makes free throw 1 of 2
9:16.0,,,71-74,,K. Middleton enters the game for G. Antetokounmpo
9:16.0,H. Thompson enters the game for N. Noel,,71-74,,
9:16.0,,,71-75,1,G. Vasquez makes free throw 2 of 2
8:59.0,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas),2,73-75,,
8:40.0,,,73-75,,Offensive foul by M. Plumlee
8:40.0,,,73-75,,Turnover by M. Plumlee (offensive foul)
8:22.0,,,73-75,,Personal foul by M. Plumlee (drawn by J. Okafor)
8:16.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,75-75,,
8:03.0,Personal foul by T. McConnell (drawn by K. Middleton),,75-75,,
8:03.0,,,75-75,,G. Monroe enters the game for M. Plumlee
7:52.0,,,75-75,,G. Monroe misses 2-pt shot from 5 ft
7:51.0,Defensive rebound by J. Grant,,75-75,,
7:34.0,H. Thompson makes 2-pt shot from 14 ft,2,77-75,,
7:18.0,,,77-78,3,C. Copeland makes 3-pt shot from 26 ft (assist by G. Vasquez)
7:03.0,Turnover by H. Thompson (bad pass; steal by G. Monroe),,77-78,,
6:55.0,,,77-78,,C. Copeland misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by J. Grant,,77-78,,
6:44.0,N. Stauskas misses 3-pt shot from 25 ft,,77-78,,
6:41.0,Offensive rebound by H. Thompson,,77-78,,
6:39.0,N. Stauskas misses 2-pt shot at rim,,77-78,,
6:39.0,,,77-78,,Defensive rebound by Team
6:39.0,Loose ball foul by J. Okafor (drawn by G. Monroe),,77-78,,
6:27.0,,,77-78,,G. Vasquez misses 2-pt shot from 2 ft (block by J. Okafor)
6:27.0,,,77-78,,Offensive rebound by Team
6:24.0,,,77-80,2,G. Monroe makes 2-pt shot at rim (assist by C. Copeland)
6:01.0,Turnover by J. Okafor (lost ball),,77-80,,
5:40.0,,,77-80,,C. Copeland misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by T. McConnell,,77-80,,
5:35.0,J. Grant misses 2-pt shot from 1 ft,,77-80,,
5:33.0,,,77-80,,Defensive rebound by K. Middleton
5:27.0,,,77-80,,Milwaukee full timeout
