time,Portland,pts.away,score,pts.home,LA Clippers
7:57.0,,,4-6,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
7:39.0,A. Aminu misses 3-pt shot from 25 ft,,4-6,,
7:39.0,,,4-6,,Defensive rebound by P. Pierce
7:28.0,Violation by M. Plumlee (def goaltending),,4-6,,
7:28.0,,,4-8,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
7:09.0,M. Harkless makes 2-pt shot from 1 ft,2,6-8,,
7:02.0,Violation by M. Plumlee (def goaltending),,6-8,,
7:02.0,,,6-10,2,J. Redick makes 2-pt shot at rim
6:34.0,C. McCollum misses 2-pt shot from 16 ft (block by P. Pierce),,6-10,,
6:32.0,,,6-10,,Defensive rebound by D. Jordan
6:24.0,,,6-12,2,C. Paul makes 2-pt shot from 18 ft
6:08.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Harkless),2,8-12,,
5:48.0,,,8-12,,Turnover by C. Paul (lost ball; steal by A. Aminu)
5:46.0,,,8-12,,Personal take foul by P. Pierce
5:46.0,,,8-12,,W. Johnson enters the game for P. Pierce
5:27.0,M. Plumlee makes 2-pt shot from 1 ft,2,10-12,,
5:08.0,,,10-12,,J. Redick misses 2-pt shot from 20 ft
5:06.0,Defensive rebound by A. Aminu,,10-12,,
5:02.0,,,10-12,,Personal foul by D. Jordan
5:02.0,G. Henderson enters the game for C. McCollum,,10-12,,
5:02.0,A. Crabbe enters the game for A. Aminu,,10-12,,
5:02.0,,,10-12,,J. Green enters the game for L. Mbah a Moute
5:01.0,Turnover by G. Henderson (lost ball; steal by C. Paul),,10-12,,
4:53.0,,,10-14,2,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul)
4:32.0,A. Crabbe misses 2-pt shot from 20 ft,,10-14,,
4:31.0,,,10-14,,Defensive rebound by J. Redick
4:21.0,,,10-16,2,J. Redick makes 2-pt shot from 19 ft (assist by D. Jordan)
4:03.0,Shooting foul by W. Johnson (drawn by D. Lillard),,10-16,,
4:03.0,D. Lillard makes free throw 1 of 2,1,11-16,,
4:03.0,D. Lillard makes free throw 2 of 2,1,12-16,,
3:50.0,,,12-16,,Turnover by D. Jordan (offensive goaltending)
3:50.0,E. Davis enters the game for M. Plumlee,,12-16,,
3:34.0,,,12-16,,Personal block foul by J. Redick
3:34.0,D. Lillard misses free throw 1 of 2,,12-16,,
3:34.0,Offensive rebound by Team,,12-16,,
3:34.0,,,12-16,,J. Crawford enters the game for J. Redick
3:34.0,D. Lillard makes free throw 2 of 2,1,13-16,,
3:15.0,,,13-16,,J. Green misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by Team,,13-16,,
3:15.0,,,13-16,,A. Rivers enters the game for C. Paul
3:00.0,A. Crabbe misses 3-pt shot from 24 ft,,13-16,,
2:59.0,,,13-16,,Defensive rebound by W. Johnson
2:50.0,,,13-16,,J. Green misses 2-pt shot from 3 ft
2:49.0,,,13-16,,Offensive rebound by D. Jordan
2:48.0,,,13-16,,D. Jordan misses 2-pt shot from 2 ft
2:48.0,,,13-16,,Offensive rebound by D. Jordan
2:48.0,Loose ball foul by E. Davis,,13-16,,
2:48.0,Portland full timeout,,13-16,,
2:48.0,N. Vonleh enters the game for M. Harkless,,13-16,,
2:43.0,,,13-16,,D. Jordan misses 3-pt shot from 28 ft
2:40.0,Defensive rebound by N. Vonleh,,13-16,,
2:37.0,A. Crabbe misses 2-pt shot at rim (block by A. Rivers),,13-16,,
2:36.0,,,13-16,,Defensive rebound by J. Green
2:23.0,,,13-16,,D. Jordan misses 2-pt shot from 5 ft
2:20.0,Defensive rebound by E. Davis,,13-16,,
2:09.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,15-16,,
2:09.0,Shooting foul by J. Green (drawn by E. Davis),,15-16,,
2:09.0,E. Davis makes free throw 1 of 1,1,16-16,,
1:56.0,,,16-16,,Turnover by A. Rivers (lost ball; steal by G. Henderson)
1:39.0,G. Henderson makes 3-pt shot from 24 ft (assist by D. Lillard),3,19-16,,
1:22.0,,,19-18,2,J. Crawford makes 2-pt shot from 18 ft
1:00.0,D. Lillard misses 3-pt shot from 25 ft,,19-18,,
1:00.0,Offensive rebound by G. Henderson,,19-18,,
0:56.0,G. Henderson misses 3-pt shot from 23 ft,,19-18,,
0:56.0,Offensive rebound by N. Vonleh,,19-18,,
0:56.0,N. Vonleh makes 2-pt shot from 1 ft,2,21-18,,
0:44.0,,,21-18,,J. Crawford misses 2-pt shot from 19 ft
0:42.0,Defensive rebound by E. Davis,,21-18,,
0:29.0,Shooting foul by W. Johnson (drawn by G. Henderson),,21-18,,
0:29.0,G. Henderson misses free throw 1 of 2,,21-18,,
0:29.0,Offensive rebound by Team,,21-18,,
0:29.0,G. Henderson misses free throw 2 of 2,,21-18,,
0:29.0,,,21-18,,Defensive rebound by D. Jordan
0:29.0,Loose ball foul by N. Vonleh,,21-18,,
0:29.0,,,21-18,,C. Aldrich enters the game for D. Jordan
0:08.0,,,21-18,,A. Rivers misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by A. Crabbe,,21-18,,
0:02.0,D. Lillard misses 2-pt shot from 1 ft,,21-18,,
0:02.0,,,21-18,,Defensive rebound by Team
0:01.0,,,21-18,,J. Crawford misses 3-pt shot from 50 ft
0:00.0,,,21-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,21-20,2,J. Crawford makes 2-pt shot from 21 ft (assist by J. Green)
11:23.0,G. Henderson misses 2-pt shot from 20 ft,,21-20,,
11:23.0,Offensive rebound by Team,,21-20,,
11:23.0,,,21-20,,Personal foul by J. Green
11:18.0,,,21-20,,Personal foul by J. Crawford
11:09.0,G. Henderson misses 2-pt shot from 14 ft,,21-20,,
11:08.0,Offensive rebound by Team,,21-20,,
11:08.0,,,21-20,,Personal foul by C. Aldrich
10:54.0,E. Davis makes 2-pt shot from 7 ft (assist by A. Crabbe),2,23-20,,
10:42.0,,,23-20,,J. Crawford misses 2-pt shot from 16 ft
10:42.0,Defensive rebound by E. Davis,,23-20,,
10:33.0,N. Vonleh makes 2-pt shot from 1 ft (assist by C. McCollum),2,25-20,,
10:23.0,Personal foul by N. Vonleh,,25-20,,
10:16.0,,,25-20,,A. Rivers misses 2-pt shot from 12 ft
10:15.0,Defensive rebound by E. Davis,,25-20,,
10:03.0,E. Davis makes 2-pt shot from 6 ft (assist by C. McCollum),2,27-20,,
9:40.0,,,27-22,2,J. Green makes 2-pt shot from 1 ft
9:24.0,A. Crabbe misses 2-pt shot from 18 ft,,27-22,,
9:23.0,,,27-22,,Defensive rebound by A. Rivers
9:12.0,,,27-24,2,J. Green makes 2-pt shot from 2 ft (assist by A. Rivers)
8:54.0,Turnover by A. Crabbe (lost ball; steal by J. Crawford),,27-24,,
8:48.0,,,27-26,2,J. Crawford makes 2-pt shot from 1 ft (assist by C. Aldrich)
8:48.0,Portland full timeout,,27-26,,
8:33.0,Turnover by G. Henderson (step out of bounds),,27-26,,
8:15.0,,,27-26,,J. Crawford misses 2-pt shot from 18 ft
8:14.0,Defensive rebound by G. Henderson,,27-26,,
8:05.0,B. Roberts enters the game for A. Crabbe,,27-26,,
7:55.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,29-26,,
7:37.0,,,29-28,2,C. Aldrich makes 2-pt shot from 2 ft (assist by A. Rivers)
7:09.0,G. Henderson misses 2-pt shot from 11 ft,,29-28,,
7:08.0,,,29-28,,Defensive rebound by C. Aldrich
6:58.0,,,29-28,,Turnover by A. Rivers (lost ball; steal by C. McCollum)
6:53.0,C. McCollum makes 2-pt shot from 1 ft,2,31-28,,
6:41.0,Personal foul by G. Henderson,,31-28,,
6:41.0,,,31-28,,C. Paul enters the game for P. Prigioni
6:41.0,,,31-28,,D. Jordan enters the game for C. Aldrich
6:35.0,,,31-28,,D. Jordan misses 2-pt shot from 4 ft (block by E. Davis)
6:34.0,Defensive rebound by B. Roberts,,31-28,,
6:27.0,B. Roberts misses 2-pt shot from 12 ft,,31-28,,
6:25.0,Offensive rebound by E. Davis,,31-28,,
6:25.0,E. Davis makes 2-pt shot at rim,2,33-28,,
6:03.0,,,33-30,2,C. Paul makes 2-pt shot from 19 ft (assist by D. Jordan)
5:40.0,B. Roberts misses 3-pt shot from 24 ft,,33-30,,
5:40.0,,,33-30,,Defensive rebound by D. Jordan
5:23.0,,,33-32,2,A. Rivers makes 2-pt shot from 7 ft (assist by J. Green)
4:58.0,C. McCollum makes 2-pt shot from 15 ft,2,35-32,,
4:50.0,,,35-34,2,C. Paul makes 2-pt shot from 1 ft
4:43.0,Turnover by C. McCollum (step out of bounds),,35-34,,
4:43.0,Official timeout,,35-34,,
4:43.0,M. Plumlee enters the game for G. Henderson,,35-34,,
4:43.0,A. Aminu enters the game for E. Davis,,35-34,,
4:43.0,D. Lillard enters the game for N. Vonleh,,35-34,,
4:43.0,,,35-34,,P. Pierce enters the game for J. Green
4:43.0,,,35-34,,J. Redick enters the game for A. Rivers
4:23.0,,,35-36,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
4:01.0,Turnover by M. Plumlee (lost ball; steal by D. Jordan),,35-36,,
3:47.0,,,35-38,2,C. Paul makes 2-pt shot from 18 ft
3:26.0,D. Lillard misses 3-pt shot from 25 ft,,35-38,,
3:23.0,,,35-38,,Defensive rebound by C. Paul
3:13.0,,,35-38,,Turnover by C. Paul (lost ball; steal by M. Plumlee)
3:04.0,D. Lillard misses 3-pt shot from 24 ft,,35-38,,
3:04.0,,,35-38,,Defensive rebound by Team
3:04.0,A. Crabbe enters the game for B. Roberts,,35-38,,
2:50.0,,,35-38,,P. Pierce misses 2-pt shot from 16 ft
2:50.0,,,35-38,,Offensive rebound by D. Jordan
2:50.0,Personal foul by M. Plumlee,,35-38,,
2:50.0,,,35-38,,LA Clippers full timeout
2:50.0,Inbound foul by A. Crabbe,,35-38,,
2:50.0,,,35-38,,D. Jordan misses free throw 1 of 2
2:50.0,,,35-38,,Offensive rebound by Team
2:50.0,,,35-38,,D. Jordan misses free throw 2 of 2
2:48.0,Defensive rebound by M. Plumlee,,35-38,,
2:32.0,Turnover by D. Lillard (lost ball; steal by P. Pierce),,35-38,,
2:19.0,,,35-38,,Shooting foul by C. McCollum (drawn by C. Paul)
2:19.0,,,35-39,1,C. Paul makes free throw 1 of 3
2:19.0,,,35-40,1,C. Paul makes free throw 2 of 3
2:19.0,,,35-41,1,C. Paul makes free throw 3 of 3
1:57.0,D. Lillard misses 2-pt shot from 19 ft,,35-41,,
1:55.0,,,35-41,,Defensive rebound by C. Paul
1:48.0,,,35-41,,Turnover by P. Pierce (bad pass)
1:34.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,37-41,,
1:21.0,Personal block foul by A. Aminu,,37-41,,
1:21.0,,,37-42,1,C. Paul makes free throw 1 of 2
1:21.0,,,37-43,1,C. Paul makes free throw 2 of 2
1:04.0,A. Crabbe misses 2-pt shot from 6 ft,,37-43,,
1:02.0,,,37-43,,Defensive rebound by D. Jordan
1:00.0,,,37-43,,Turnover by D. Jordan (lost ball; steal by M. Plumlee)
0:59.0,A. Aminu makes 2-pt shot at rim (assist by A. Crabbe),2,39-43,,
0:58.0,Personal take foul by A. Crabbe,,39-43,,
0:58.0,,,39-43,,D. Jordan misses free throw 1 of 2
0:58.0,,,39-43,,Offensive rebound by Team
0:58.0,B. Roberts enters the game for A. Aminu,,39-43,,
0:58.0,,,39-43,,A. Rivers enters the game for P. Pierce
0:58.0,,,39-43,,D. Jordan misses free throw 2 of 2
0:56.0,Defensive rebound by M. Plumlee,,39-43,,
0:42.0,Turnover by C. McCollum (lost ball; steal by D. Jordan),,39-43,,
0:40.0,Personal foul by B. Roberts,,39-43,,
0:40.0,,,39-44,1,D. Jordan makes free throw 1 of 2
0:40.0,,,39-45,1,D. Jordan makes free throw 2 of 2
0:31.0,M. Plumlee misses 2-pt shot from 7 ft,,39-45,,
0:29.0,,,39-45,,Defensive rebound by J. Crawford
0:26.0,Personal take foul by B. Roberts,,39-45,,
0:26.0,,,39-46,1,D. Jordan makes free throw 1 of 2
0:26.0,,,39-46,,D. Jordan misses free throw 2 of 2
0:25.0,Defensive rebound by A. Crabbe,,39-46,,
0:22.0,,,39-46,,Personal take foul by C. Paul
0:22.0,P. Connaughton enters the game for M. Plumlee,,39-46,,
0:22.0,,,39-46,,J. Green enters the game for D. Jordan
0:22.0,,,39-46,,LA Clippers full timeout
0:22.0,,,39-46,,L. Mbah a Moute enters the game for J. Green
0:04.0,B. Roberts misses 3-pt shot from 23 ft,,39-46,,
0:04.0,,,39-46,,Defensive rebound by L. Mbah a Moute
0:01.0,,,39-46,,A. Rivers misses 3-pt shot from 24 ft
0:00.0,,,39-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,39-46,,P. Pierce misses 2-pt shot from 12 ft
11:36.0,Defensive rebound by A. Aminu,,39-46,,
11:31.0,Turnover by D. Lillard (bad pass),,39-46,,
11:15.0,,,39-48,2,C. Paul makes 2-pt shot from 18 ft
10:56.0,D. Lillard misses 2-pt shot at rim,,39-48,,
10:52.0,,,39-48,,Defensive rebound by J. Redick
10:46.0,,,39-48,,P. Pierce misses 3-pt shot from 26 ft
10:44.0,,,39-48,,Offensive rebound by P. Pierce
10:43.0,,,39-48,,J. Redick misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by Team,,39-48,,
10:27.0,D. Lillard misses 2-pt shot from 8 ft,,39-48,,
10:24.0,,,39-48,,Defensive rebound by P. Pierce
10:13.0,,,39-48,,Turnover by D. Jordan (dbl dribble)
10:01.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,42-48,,
9:47.0,,,42-48,,Turnover by D. Jordan (lost ball; steal by C. McCollum)
9:41.0,C. McCollum misses 2-pt shot from 19 ft,,42-48,,
9:39.0,,,42-48,,Defensive rebound by D. Jordan
9:29.0,,,42-48,,C. Paul misses 2-pt shot from 16 ft
9:28.0,Defensive rebound by A. Aminu,,42-48,,
9:18.0,Shooting foul by L. Mbah a Moute (drawn by M. Plumlee),,42-48,,
9:18.0,M. Plumlee makes free throw 1 of 2,1,43-48,,
9:18.0,M. Plumlee makes free throw 2 of 2,1,44-48,,
9:12.0,Personal foul by C. McCollum,,44-48,,
9:07.0,,,44-48,,Turnover by D. Jordan (lost ball; steal by C. McCollum)
9:05.0,Shooting foul by D. Jordan (drawn by C. McCollum),,44-48,,
9:05.0,C. McCollum makes free throw 1 of 2,1,45-48,,
9:05.0,C. McCollum misses free throw 2 of 2,,45-48,,
9:04.0,,,45-48,,Defensive rebound by D. Jordan
8:54.0,,,45-48,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by M. Plumlee)
8:53.0,Defensive rebound by M. Harkless,,45-48,,
8:50.0,,,45-48,,Personal foul by D. Jordan
8:39.0,M. Plumlee misses 2-pt shot from 2 ft,,45-48,,
8:37.0,Offensive rebound by M. Plumlee,,45-48,,
8:36.0,M. Plumlee misses 2-pt shot from 2 ft,,45-48,,
8:35.0,,,45-48,,Defensive rebound by J. Redick
8:28.0,,,45-48,,P. Pierce misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by A. Aminu,,45-48,,
8:20.0,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard),2,47-48,,
8:18.0,,,47-48,,LA Clippers full timeout
8:03.0,,,47-48,,C. Paul misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by M. Harkless,,47-48,,
7:55.0,D. Lillard makes 3-pt shot from 26 ft,3,50-48,,
7:42.0,,,50-50,2,J. Redick makes 2-pt shot from 19 ft
7:22.0,Turnover by M. Harkless (traveling),,50-50,,
7:22.0,,,50-50,,W. Johnson enters the game for P. Pierce
7:10.0,,,50-52,2,C. Paul makes 2-pt shot from 17 ft
6:59.0,,,50-52,,Personal foul by W. Johnson
6:49.0,M. Plumlee makes 2-pt shot from 15 ft (assist by C. McCollum),2,52-52,,
6:38.0,,,52-52,,J. Redick misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by M. Plumlee,,52-52,,
6:30.0,,,52-52,,Personal foul by L. Mbah a Moute
6:30.0,D. Lillard makes free throw 1 of 2,1,53-52,,
6:30.0,D. Lillard makes free throw 2 of 2,1,54-52,,
6:06.0,,,54-52,,C. Paul misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by Team,,54-52,,
6:06.0,,,54-52,,Loose ball foul by D. Jordan
6:06.0,M. Plumlee makes free throw 1 of 2,1,55-52,,
6:06.0,,,55-52,,C. Aldrich enters the game for D. Jordan
6:06.0,M. Plumlee makes free throw 2 of 2,1,56-52,,
5:50.0,,,56-52,,Turnover by J. Redick (lost ball; steal by D. Lillard)
5:45.0,Shooting foul by J. Redick (drawn by C. McCollum),,56-52,,
5:45.0,C. McCollum misses free throw 1 of 2,,56-52,,
5:45.0,Offensive rebound by Team,,56-52,,
5:45.0,,,56-52,,J. Crawford enters the game for L. Mbah a Moute
5:45.0,,,56-52,,J. Green enters the game for J. Redick
5:45.0,C. McCollum makes free throw 2 of 2,1,57-52,,
5:29.0,,,57-52,,Turnover by C. Paul (traveling)
5:29.0,A. Crabbe enters the game for C. McCollum,,57-52,,
5:01.0,M. Plumlee misses 2-pt shot from 15 ft,,57-52,,
4:59.0,,,57-52,,Defensive rebound by J. Green
4:51.0,Personal foul by M. Harkless,,57-52,,
4:51.0,,,57-52,,A. Rivers enters the game for C. Paul
4:51.0,G. Henderson enters the game for M. Harkless,,57-52,,
4:44.0,,,57-55,3,J. Crawford makes 3-pt shot from 24 ft
4:19.0,M. Plumlee misses 2-pt shot from 5 ft,,57-55,,
4:14.0,,,57-55,,Defensive rebound by W. Johnson
4:07.0,,,57-57,2,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford)
4:07.0,Portland full timeout,,57-57,,
3:43.0,A. Aminu misses 2-pt shot from 2 ft,,57-57,,
3:42.0,,,57-57,,Defensive rebound by C. Aldrich
3:24.0,,,57-59,2,J. Crawford makes 2-pt shot from 20 ft (assist by J. Green)
3:18.0,,,57-59,,Personal foul by A. Rivers
3:18.0,D. Lillard makes free throw 1 of 2,1,58-59,,
3:18.0,E. Davis enters the game for M. Plumlee,,58-59,,
3:18.0,D. Lillard makes free throw 2 of 2,1,59-59,,
3:05.0,,,59-61,2,J. Crawford makes 2-pt shot from 9 ft (assist by J. Green)
2:51.0,E. Davis misses 2-pt shot from 1 ft (block by C. Aldrich),,59-61,,
2:49.0,,,59-61,,Defensive rebound by C. Aldrich
2:45.0,,,59-63,2,A. Rivers makes 2-pt shot from 1 ft (assist by J. Crawford)
2:26.0,D. Lillard misses 3-pt shot from 28 ft,,59-63,,
2:24.0,,,59-63,,Defensive rebound by W. Johnson
2:17.0,,,59-63,,J. Crawford misses 2-pt shot from 18 ft
2:17.0,,,59-63,,Offensive rebound by W. Johnson
2:17.0,,,59-63,,Shooting foul by A. Crabbe (drawn by W. Johnson)
2:17.0,,,59-64,1,W. Johnson makes free throw 1 of 2
2:17.0,M. Harkless enters the game for A. Aminu,,59-64,,
2:17.0,C. McCollum enters the game for D. Lillard,,59-64,,
2:17.0,,,59-65,1,W. Johnson makes free throw 2 of 2
1:52.0,G. Henderson makes 2-pt shot from 14 ft,2,61-65,,
1:39.0,Personal foul by C. McCollum,,61-65,,
1:31.0,,,61-65,,Turnover by J. Crawford (lost ball; steal by E. Davis)
1:24.0,Turnover by A. Crabbe (lost ball; steal by C. Aldrich),,61-65,,
1:21.0,,,61-65,,Offensive charge foul by J. Green
1:21.0,,,61-65,,Turnover by J. Green (offensive foul)
1:05.0,Shooting foul by W. Johnson (drawn by A. Crabbe),,61-65,,
1:05.0,A. Crabbe makes free throw 1 of 2,1,62-65,,
1:05.0,A. Crabbe misses free throw 2 of 2,,62-65,,
1:04.0,,,62-65,,Defensive rebound by J. Green
0:46.0,,,62-65,,J. Green misses 2-pt shot from 1 ft
0:44.0,,,62-65,,Offensive rebound by C. Aldrich
0:43.0,,,62-65,,C. Aldrich misses 2-pt shot from 1 ft
0:42.0,Defensive rebound by E. Davis,,62-65,,
0:29.0,A. Crabbe misses 2-pt shot from 1 ft (block by C. Aldrich),,62-65,,
0:29.0,Offensive rebound by Team,,62-65,,
0:12.0,,,62-65,,Violation by C. Aldrich (kicked ball)
0:12.0,D. Lillard enters the game for E. Davis,,62-65,,
0:12.0,,,62-65,,P. Prigioni enters the game for W. Johnson
0:12.0,,,62-65,,L. Mbah a Moute enters the game for C. Aldrich
0:01.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,65-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,C. McCollum misses 2-pt shot from 11 ft,,65-65,,
11:35.0,,,65-65,,Defensive rebound by P. Prigioni
11:31.0,,,65-65,,J. Crawford misses 3-pt shot from 25 ft
11:28.0,,,65-65,,Offensive rebound by P. Prigioni
11:14.0,,,65-65,,C. Aldrich misses 2-pt shot from 5 ft
11:13.0,,,65-65,,Offensive rebound by A. Rivers
11:09.0,,,65-67,2,A. Rivers makes 2-pt shot from 11 ft
10:55.0,,,65-67,,Personal foul by P. Prigioni
10:42.0,M. Harkless misses 3-pt shot from 23 ft,,65-67,,
10:41.0,,,65-67,,Defensive rebound by C. Aldrich
10:31.0,,,65-69,2,J. Crawford makes 2-pt shot from 18 ft
10:15.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,68-69,,
9:51.0,,,68-69,,J. Green misses 2-pt shot from 3 ft
9:48.0,Defensive rebound by A. Crabbe,,68-69,,
9:45.0,,,68-69,,Personal foul by C. Aldrich
9:45.0,C. McCollum makes free throw 1 of 2,1,69-69,,
9:45.0,C. McCollum makes free throw 2 of 2,1,70-69,,
9:35.0,,,70-71,2,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni)
9:35.0,,,70-71,,Shooting foul by E. Davis (drawn by C. Aldrich)
9:35.0,,,70-72,1,C. Aldrich makes free throw 1 of 1
9:26.0,,,70-72,,Personal foul by P. Prigioni
9:20.0,,,70-72,,Personal block foul by C. Aldrich
9:14.0,A. Crabbe misses 3-pt shot from 25 ft,,70-72,,
9:14.0,,,70-72,,Defensive rebound by Team
8:59.0,,,70-72,,J. Green misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by A. Crabbe,,70-72,,
8:50.0,C. McCollum makes 2-pt shot from 17 ft,2,72-72,,
8:36.0,,,72-72,,Turnover by C. Aldrich (traveling)
8:36.0,Official timeout,,72-72,,
8:36.0,D. Lillard enters the game for C. McCollum,,72-72,,
8:21.0,,,72-72,,Personal foul by J. Crawford
8:21.0,G. Henderson makes free throw 1 of 2,1,73-72,,
8:21.0,,,73-72,,C. Paul enters the game for P. Prigioni
8:21.0,,,73-72,,D. Jordan enters the game for C. Aldrich
8:21.0,G. Henderson makes free throw 2 of 2,1,74-72,,
8:06.0,,,74-74,2,J. Crawford makes 2-pt shot from 18 ft
7:45.0,G. Henderson makes 2-pt shot from 22 ft (assist by D. Lillard),2,76-74,,
7:31.0,Personal foul by G. Henderson,,76-74,,
7:23.0,,,76-74,,J. Crawford misses 2-pt shot from 14 ft
7:20.0,Defensive rebound by E. Davis,,76-74,,
7:11.0,D. Lillard misses 3-pt shot from 24 ft,,76-74,,
7:10.0,Offensive rebound by M. Harkless,,76-74,,
7:00.0,A. Crabbe misses 2-pt shot from 19 ft,,76-74,,
6:59.0,Offensive rebound by M. Harkless,,76-74,,
6:59.0,M. Harkless makes 2-pt shot at rim,2,78-74,,
6:38.0,,,78-74,,A. Rivers misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by G. Henderson,,78-74,,
6:19.0,G. Henderson misses 2-pt shot from 13 ft,,78-74,,
6:18.0,Offensive rebound by E. Davis,,78-74,,
6:18.0,Shooting foul by J. Green (drawn by E. Davis),,78-74,,
6:18.0,E. Davis makes free throw 1 of 2,1,79-74,,
6:18.0,,,79-74,,J. Redick enters the game for A. Rivers
6:18.0,E. Davis misses free throw 2 of 2,,79-74,,
6:17.0,,,79-74,,Defensive rebound by J. Green
6:00.0,,,79-76,2,C. Paul makes 2-pt shot from 18 ft
5:40.0,Turnover by D. Lillard (lost ball; steal by J. Redick),,79-76,,
5:35.0,,,79-76,,J. Crawford misses 3-pt shot from 23 ft (block by M. Harkless)
5:34.0,,,79-76,,Offensive rebound by Team
5:34.0,,,79-76,,LA Clippers full timeout
5:34.0,C. McCollum enters the game for G. Henderson,,79-76,,
