time,Chicago,pts.away,score,pts.home,Toronto
5:11.0,E. Moore makes 2-pt shot from 2 ft,2,17-15,,
5:04.0,,,17-15,,Shooting foul by N. Mirotic (drawn by K. Lowry)
5:04.0,,,17-16,1,K. Lowry makes free throw 1 of 2
5:04.0,B. Portis enters the game for N. Mirotic,,17-16,,
5:04.0,,,17-17,1,K. Lowry makes free throw 2 of 2
4:46.0,E. Moore makes 3-pt shot from 24 ft (assist by D. McDermott),3,20-17,,
4:22.0,,,20-17,,Shooting foul by T. Gibson (drawn by J. Valanciunas)
4:22.0,,,20-18,1,J. Valanciunas makes free throw 1 of 2
4:22.0,,,20-19,1,J. Valanciunas makes free throw 2 of 2
4:11.0,E. Moore makes 2-pt shot from 14 ft,2,22-19,,
4:02.0,,,22-21,2,K. Lowry makes 2-pt shot from 1 ft
3:52.0,T. Gibson makes 2-pt shot from 12 ft (assist by E. Moore),2,24-21,,
3:34.0,,,24-21,,D. DeRozan misses 2-pt shot from 1 ft
3:33.0,Defensive rebound by D. McDermott,,24-21,,
3:21.0,D. McDermott makes 3-pt shot from 25 ft (assist by T. Gibson),3,27-21,,
2:56.0,,,27-23,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
2:41.0,T. Snell misses 2-pt shot from 16 ft,,27-23,,
2:40.0,,,27-23,,Defensive rebound by J. Valanciunas
2:26.0,,,27-25,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry)
2:25.0,Chicago full timeout,,27-25,,
2:25.0,,,27-25,,B. Biyombo enters the game for L. Scola
2:25.0,,,27-25,,C. Joseph enters the game for J. Valanciunas
2:25.0,,,27-25,,P. Patterson enters the game for K. Lowry
2:25.0,C. Felicio enters the game for T. Gibson,,27-25,,
2:04.0,T. Snell misses 2-pt shot from 2 ft,,27-25,,
2:03.0,Offensive rebound by B. Portis,,27-25,,
2:01.0,B. Portis makes 2-pt shot from 2 ft,2,29-25,,
1:39.0,,,29-25,,B. Biyombo misses 2-pt shot at rim (block by D. McDermott)
1:38.0,Defensive rebound by B. Portis,,29-25,,
1:32.0,D. McDermott makes 2-pt shot from 2 ft,2,31-25,,
1:32.0,Shooting foul by T. Ross (drawn by D. McDermott),,31-25,,
1:32.0,A. Brooks enters the game for E. Moore,,31-25,,
1:32.0,D. McDermott makes free throw 1 of 1,1,32-25,,
1:21.0,Personal block foul by C. Felicio,,32-25,,
1:21.0,,,32-26,1,D. DeRozan makes free throw 1 of 2
1:21.0,,,32-27,1,D. DeRozan makes free throw 2 of 2
1:12.0,,,32-27,,Violation by C. Joseph (kicked ball)
1:02.0,D. McDermott makes 2-pt shot from 13 ft (assist by A. Brooks),2,34-27,,
0:37.0,,,34-27,,P. Patterson misses 2-pt shot from 14 ft
0:37.0,,,34-27,,Offensive rebound by Team
0:37.0,,,34-27,,Turnover by Team (shot clock)
0:29.0,Turnover by A. Brooks (bad pass),,34-27,,
0:11.0,,,34-29,2,C. Joseph makes 2-pt shot from 1 ft
0:01.0,A. Brooks misses 3-pt shot from 25 ft,,34-29,,
0:01.0,,,34-29,,Defensive rebound by D. DeRozan
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Butler makes 2-pt shot from 2 ft (assist by A. Brooks),2,36-29,,
11:28.0,,,36-32,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
11:06.0,C. Felicio misses 2-pt shot from 13 ft,,36-32,,
11:05.0,,,36-32,,Defensive rebound by K. Lowry
10:55.0,,,36-34,2,B. Biyombo makes 2-pt shot from 5 ft (assist by P. Patterson)
10:38.0,B. Portis misses 3-pt shot from 24 ft,,36-34,,
10:37.0,,,36-34,,Defensive rebound by K. Lowry
10:19.0,,,36-34,,C. Joseph misses 2-pt shot from 3 ft
10:17.0,,,36-34,,Offensive rebound by B. Biyombo
10:15.0,,,36-36,2,B. Biyombo makes 2-pt shot at rim
10:07.0,Shooting foul by T. Ross (drawn by J. Butler),,36-36,,
10:07.0,J. Butler makes free throw 1 of 2,1,37-36,,
10:07.0,J. Butler makes free throw 2 of 2,1,38-36,,
9:56.0,,,38-36,,K. Lowry misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by C. Felicio,,38-36,,
9:48.0,,,38-36,,Violation by P. Patterson (kicked ball)
9:35.0,D. McDermott makes 2-pt shot from 15 ft,2,40-36,,
9:14.0,,,40-36,,P. Patterson misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by C. Felicio,,40-36,,
9:02.0,J. Butler makes 2-pt shot from 6 ft,2,42-36,,
8:42.0,,,42-39,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
8:26.0,Official timeout,,42-39,,
8:26.0,N. Mirotic enters the game for C. Felicio,,42-39,,
8:26.0,,,42-39,,J. Johnson enters the game for T. Ross
8:19.0,J. Butler misses 2-pt shot from 11 ft,,42-39,,
8:19.0,,,42-39,,Defensive rebound by K. Lowry
8:07.0,,,42-39,,Shooting foul by B. Portis (drawn by C. Joseph)
8:07.0,,,42-40,1,C. Joseph makes free throw 1 of 2
8:07.0,,,42-41,1,C. Joseph makes free throw 2 of 2
7:52.0,N. Mirotic misses 2-pt shot from 2 ft (block by B. Biyombo),,42-41,,
7:50.0,,,42-41,,Defensive rebound by P. Patterson
7:44.0,,,42-41,,Shooting foul by A. Brooks (drawn by J. Johnson)
7:44.0,,,42-41,,J. Johnson misses free throw 1 of 2
7:44.0,,,42-41,,Offensive rebound by Team
7:44.0,,,42-41,,J. Johnson misses free throw 2 of 2
7:44.0,Defensive rebound by J. Butler,,42-41,,
7:20.0,B. Portis makes 2-pt shot from 1 ft (assist by A. Brooks),2,44-41,,
7:02.0,,,44-41,,C. Joseph misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by B. Portis,,44-41,,
6:48.0,A. Brooks misses 3-pt shot from 25 ft,,44-41,,
6:47.0,Offensive rebound by J. Butler,,44-41,,
6:43.0,J. Butler misses 2-pt shot from 4 ft,,44-41,,
6:43.0,,,44-41,,Defensive rebound by P. Patterson
6:43.0,Technical foul by J. Butler,,44-41,,
6:43.0,,,44-42,1,K. Lowry makes technical free throw
6:21.0,,,44-42,,C. Joseph misses 2-pt shot from 22 ft
6:20.0,Defensive rebound by N. Mirotic,,44-42,,
5:54.0,A. Brooks misses 2-pt shot from 11 ft,,44-42,,
5:54.0,,,44-42,,Defensive rebound by P. Patterson
5:44.0,,,44-42,,C. Joseph misses 3-pt shot from 22 ft
5:43.0,Defensive rebound by B. Portis,,44-42,,
5:28.0,J. Butler misses 2-pt shot from 3 ft (block by B. Biyombo),,44-42,,
5:27.0,,,44-42,,Defensive rebound by K. Lowry
5:21.0,,,44-42,,K. Lowry misses 2-pt shot from 4 ft
5:20.0,Defensive rebound by Team,,44-42,,
5:20.0,,,44-42,,Toronto full timeout
5:20.0,,,44-42,,D. DeRozan enters the game for C. Joseph
5:20.0,T. Gibson enters the game for B. Portis,,44-42,,
5:20.0,E. Moore enters the game for A. Brooks,,44-42,,
5:20.0,J. Holiday enters the game for J. Butler,,44-42,,
5:07.0,E. Moore misses 2-pt shot from 17 ft (block by J. Johnson),,44-42,,
5:05.0,,,44-42,,Defensive rebound by K. Lowry
4:59.0,,,44-42,,P. Patterson misses 3-pt shot from 22 ft
4:59.0,Defensive rebound by E. Moore,,44-42,,
4:50.0,D. McDermott makes 3-pt shot from 24 ft (assist by T. Gibson),3,47-42,,
4:28.0,,,47-42,,D. DeRozan misses 2-pt shot from 19 ft
4:27.0,Defensive rebound by E. Moore,,47-42,,
4:20.0,D. McDermott makes 3-pt shot from 26 ft (assist by E. Moore),3,50-42,,
4:20.0,Shooting foul by J. Johnson (drawn by D. McDermott),,50-42,,
4:20.0,,,50-42,,N. Powell enters the game for J. Johnson
4:20.0,,,50-42,,J. Thompson enters the game for B. Biyombo
4:20.0,D. McDermott makes free throw 1 of 1,1,51-42,,
4:05.0,,,51-44,2,D. DeRozan makes 2-pt shot from 14 ft
3:48.0,Shooting foul by N. Powell (drawn by D. McDermott),,51-44,,
3:48.0,D. McDermott makes free throw 1 of 2,1,52-44,,
3:48.0,D. McDermott misses free throw 2 of 2,,52-44,,
3:47.0,,,52-44,,Defensive rebound by J. Thompson
3:23.0,,,52-44,,K. Lowry misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by N. Mirotic,,52-44,,
3:11.0,,,52-44,,Personal foul by J. Thompson
3:11.0,,,52-44,,Technical foul by Team
3:11.0,D. McDermott makes technical free throw,1,53-44,,
3:03.0,,,53-44,,Personal foul by P. Patterson
3:03.0,,,53-44,,Technical foul by P. Patterson
3:03.0,D. McDermott makes technical free throw,1,54-44,,
3:03.0,D. McDermott makes free throw 1 of 2,1,55-44,,
3:03.0,D. McDermott makes free throw 2 of 2,1,56-44,,
2:58.0,,,56-44,,Toronto full timeout
2:58.0,Chicago full timeout,,56-44,,
2:58.0,J. Butler enters the game for J. Holiday,,56-44,,
2:48.0,,,56-46,2,D. DeRozan makes 2-pt shot from 7 ft
2:22.0,T. Gibson misses 2-pt shot from 16 ft,,56-46,,
2:22.0,,,56-46,,Defensive rebound by N. Powell
2:07.0,,,56-48,2,J. Thompson makes 2-pt shot at rim (assist by P. Patterson)
2:07.0,,,56-48,,Shooting foul by N. Mirotic (drawn by J. Thompson)
2:07.0,,,56-48,,C. Joseph enters the game for K. Lowry
2:07.0,,,56-49,1,J. Thompson makes free throw 1 of 1
1:50.0,J. Butler misses 2-pt shot from 20 ft,,56-49,,
1:50.0,,,56-49,,Defensive rebound by C. Joseph
1:42.0,,,56-49,,N. Powell misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by T. Gibson,,56-49,,
1:26.0,N. Mirotic misses 3-pt shot from 25 ft,,56-49,,
1:25.0,,,56-49,,Defensive rebound by J. Thompson
1:13.0,,,56-49,,D. DeRozan misses 2-pt shot from 12 ft
1:12.0,,,56-49,,Offensive rebound by J. Thompson
1:01.0,,,56-49,,D. DeRozan misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by N. Mirotic,,56-49,,
0:50.0,,,56-49,,Shooting block foul by P. Patterson (drawn by N. Mirotic)
0:50.0,N. Mirotic makes free throw 1 of 2,1,57-49,,
0:50.0,J. Holiday enters the game for D. McDermott,,57-49,,
0:50.0,N. Mirotic makes free throw 2 of 2,1,58-49,,
0:27.0,,,58-49,,N. Powell misses 3-pt shot from 26 ft
0:26.0,,,58-49,,Offensive rebound by Team
0:26.0,Loose ball foul by J. Holiday,,58-49,,
0:26.0,,,58-49,,T. Ross enters the game for N. Powell
0:26.0,T. Snell enters the game for J. Holiday,,58-49,,
0:04.0,,,58-52,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
0:00.0,J. Butler misses 3-pt shot from 37 ft,,58-52,,
0:00.0,Offensive rebound by Team,,58-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,N. Mirotic misses 3-pt shot from 25 ft,,58-52,,
11:38.0,,,58-52,,Defensive rebound by L. Scola
11:24.0,,,58-52,,Turnover by K. Lowry (lost ball)
11:03.0,J. Butler makes 2-pt shot from 2 ft,2,60-52,,
10:50.0,Personal foul by J. Butler,,60-52,,
10:39.0,,,60-52,,J. Johnson misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by J. Holiday,,60-52,,
10:33.0,J. Holiday makes 3-pt shot from 26 ft (assist by E. Moore),3,63-52,,
10:05.0,,,63-54,2,K. Lowry makes 2-pt shot from 12 ft
9:48.0,J. Holiday misses 2-pt shot from 4 ft (block by B. Biyombo),,63-54,,
9:48.0,Offensive rebound by T. Gibson,,63-54,,
9:45.0,T. Gibson misses 2-pt shot from 2 ft,,63-54,,
9:45.0,,,63-54,,Defensive rebound by K. Lowry
9:42.0,,,63-54,,Turnover by K. Lowry (bad pass)
9:23.0,J. Butler misses 3-pt shot from 26 ft,,63-54,,
9:23.0,,,63-54,,Defensive rebound by B. Biyombo
9:16.0,,,63-56,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
9:02.0,J. Butler misses 2-pt shot from 8 ft (block by B. Biyombo),,63-56,,
9:00.0,,,63-56,,Defensive rebound by D. DeRozan
8:51.0,,,63-56,,D. DeRozan misses 2-pt shot from 4 ft
8:51.0,Defensive rebound by J. Butler,,63-56,,
8:41.0,J. Holiday makes 2-pt shot from 2 ft (assist by N. Mirotic),2,65-56,,
8:20.0,,,65-56,,L. Scola misses 3-pt shot from 28 ft
8:20.0,,,65-56,,Offensive rebound by B. Biyombo
8:15.0,,,65-56,,K. Lowry misses 3-pt shot from 26 ft
8:15.0,Defensive rebound by J. Butler,,65-56,,
7:59.0,E. Moore makes 2-pt shot from 6 ft,2,67-56,,
7:45.0,Personal foul by J. Holiday,,67-56,,
7:45.0,D. McDermott enters the game for J. Holiday,,67-56,,
7:29.0,,,67-58,2,D. DeRozan makes 2-pt shot from 19 ft
7:15.0,,,67-58,,Personal foul by K. Lowry
7:01.0,Turnover by N. Mirotic (lost ball; steal by K. Lowry),,67-58,,
6:59.0,,,67-58,,Shooting foul by D. McDermott (drawn by K. Lowry)
6:59.0,,,67-59,1,K. Lowry makes free throw 1 of 2
6:59.0,,,67-60,1,K. Lowry makes free throw 2 of 2
6:42.0,N. Mirotic makes 2-pt shot from 19 ft (assist by J. Butler),2,69-60,,
6:36.0,,,69-62,2,K. Lowry makes 2-pt shot from 5 ft
6:26.0,E. Moore makes 2-pt shot from 22 ft (assist by J. Butler),2,71-62,,
6:03.0,,,71-62,,B. Biyombo misses 2-pt shot from 3 ft (block by E. Moore)
6:03.0,Defensive rebound by E. Moore,,71-62,,
5:45.0,E. Moore makes 2-pt shot from 19 ft,2,73-62,,
5:45.0,,,73-62,,Toronto full timeout
5:45.0,T. Snell enters the game for J. Butler,,73-62,,
5:45.0,,,73-62,,J. Thompson enters the game for J. Johnson
5:45.0,,,73-62,,T. Ross enters the game for B. Biyombo
5:45.0,,,73-62,,P. Patterson enters the game for L. Scola
5:34.0,,,73-62,,K. Lowry misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by N. Mirotic,,73-62,,
5:24.0,T. Gibson makes 2-pt shot at rim (assist by E. Moore),2,75-62,,
5:04.0,,,75-65,3,P. Patterson makes 3-pt shot from 23 ft (assist by T. Ross)
4:49.0,,,75-65,,Personal block foul by D. DeRozan
4:42.0,D. McDermott misses 2-pt shot from 16 ft,,75-65,,
4:42.0,,,75-65,,Defensive rebound by K. Lowry
4:30.0,Violation by T. Gibson (kicked ball),,75-65,,
4:24.0,,,75-67,2,J. Thompson makes 2-pt shot at rim (assist by D. DeRozan)
4:05.0,T. Snell misses 3-pt shot from 23 ft,,75-67,,
4:05.0,,,75-67,,Defensive rebound by T. Ross
4:01.0,Personal foul by N. Mirotic,,75-67,,
4:01.0,B. Portis enters the game for T. Gibson,,75-67,,
3:49.0,,,75-67,,D. DeRozan misses 2-pt shot from 6 ft
3:49.0,Defensive rebound by B. Portis,,75-67,,
3:35.0,D. McDermott makes 2-pt shot from 4 ft (assist by N. Mirotic),2,77-67,,
3:21.0,,,77-67,,K. Lowry misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by B. Portis,,77-67,,
3:15.0,,,77-67,,Personal foul by K. Lowry
2:58.0,B. Portis misses 2-pt shot from 9 ft,,77-67,,
2:58.0,,,77-67,,Defensive rebound by J. Thompson
2:52.0,,,77-67,,Shooting foul by B. Portis (drawn by D. DeRozan)
2:52.0,Chicago full timeout,,77-67,,
2:52.0,,,77-67,,C. Joseph enters the game for K. Lowry
2:52.0,,,77-68,1,D. DeRozan makes free throw 1 of 2
2:52.0,,,77-69,1,D. DeRozan makes free throw 2 of 2
2:37.0,N. Mirotic makes 3-pt shot from 27 ft (assist by T. Snell),3,80-69,,
2:20.0,,,80-69,,P. Patterson misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by T. Snell,,80-69,,
2:11.0,T. Snell makes 2-pt shot at rim,2,82-69,,
1:43.0,,,82-69,,C. Joseph misses 2-pt shot from 4 ft
1:43.0,,,82-69,,Offensive rebound by Team
1:43.0,Loose ball foul by E. Moore,,82-69,,
1:43.0,,,82-70,1,J. Thompson makes free throw 1 of 2
1:43.0,A. Brooks enters the game for E. Moore,,82-70,,
1:43.0,,,82-71,1,J. Thompson makes free throw 2 of 2
1:33.0,,,82-71,,Violation by T. Ross (kicked ball)
1:23.0,N. Mirotic makes 2-pt shot from 19 ft,2,84-71,,
1:09.0,,,84-73,2,D. DeRozan makes 2-pt shot from 3 ft
0:51.0,Turnover by T. Snell (lost ball; steal by J. Thompson),,84-73,,
0:44.0,,,84-73,,Shooting foul by T. Snell (drawn by P. Patterson)
0:44.0,,,84-74,1,P. Patterson makes free throw 1 of 2
0:44.0,,,84-75,1,P. Patterson makes free throw 2 of 2
0:29.0,,,84-75,,Personal foul by T. Ross
0:27.0,N. Mirotic misses 3-pt shot from 25 ft,,84-75,,
0:26.0,,,84-75,,Defensive rebound by T. Ross
0:03.0,,,84-77,2,D. DeRozan makes 2-pt shot from 13 ft
0:00.0,A. Brooks misses 3-pt shot from 36 ft,,84-77,,
0:00.0,Offensive rebound by Team,,84-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal block foul by T. Gibson,,84-77,,
11:39.0,,,84-77,,T. Ross misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by T. Gibson,,84-77,,
11:22.0,Shooting foul by K. Lowry (drawn by A. Brooks),,84-77,,
11:22.0,A. Brooks makes free throw 1 of 3,1,85-77,,
11:22.0,A. Brooks makes free throw 2 of 3,1,86-77,,
11:22.0,A. Brooks makes free throw 3 of 3,1,87-77,,
11:05.0,,,87-77,,C. Joseph misses 2-pt shot from 1 ft (block by T. Gibson)
11:04.0,Defensive rebound by T. Gibson,,87-77,,
10:49.0,D. McDermott makes 3-pt shot from 25 ft (assist by B. Portis),3,90-77,,
10:29.0,,,90-77,,T. Ross misses 3-pt shot from 24 ft
10:28.0,,,90-77,,Offensive rebound by C. Joseph
10:11.0,,,90-77,,T. Ross misses 3-pt shot from 25 ft
10:10.0,,,90-77,,Offensive rebound by P. Patterson
10:06.0,,,90-79,2,P. Patterson makes 2-pt shot at rim
9:44.0,A. Brooks misses 3-pt shot from 28 ft,,90-79,,
9:44.0,,,90-79,,Defensive rebound by P. Patterson
9:39.0,,,90-79,,Shooting foul by A. Brooks (drawn by K. Lowry)
9:39.0,,,90-79,,B. Biyombo enters the game for T. Ross
9:39.0,,,90-79,,D. DeRozan enters the game for J. Thompson
9:39.0,,,90-79,,K. Lowry misses free throw 1 of 3
9:39.0,,,90-79,,Offensive rebound by Team
9:39.0,,,90-80,1,K. Lowry makes free throw 2 of 3
9:39.0,,,90-81,1,K. Lowry makes free throw 3 of 3
9:19.0,B. Portis makes 2-pt shot from 20 ft (assist by J. Butler),2,92-81,,
8:57.0,,,92-81,,D. DeRozan misses 2-pt shot from 20 ft
8:57.0,,,92-81,,Offensive rebound by K. Lowry
8:51.0,,,92-84,3,K. Lowry makes 3-pt shot from 24 ft
8:40.0,A. Brooks makes 2-pt shot from 19 ft,2,94-84,,
8:17.0,,,94-84,,K. Lowry misses 2-pt shot from 4 ft
8:17.0,Defensive rebound by Team,,94-84,,
8:17.0,Official timeout,,94-84,,
8:00.0,A. Brooks makes 2-pt shot from 5 ft,2,96-84,,
7:43.0,,,96-87,3,K. Lowry makes 3-pt shot from 26 ft
7:15.0,A. Brooks misses 2-pt shot from 4 ft,,96-87,,
7:14.0,Offensive rebound by T. Gibson,,96-87,,
7:11.0,T. Gibson makes 2-pt shot from 3 ft,2,98-87,,
6:56.0,,,98-87,,K. Lowry misses 3-pt shot from 25 ft
6:56.0,,,98-87,,Offensive rebound by B. Biyombo
6:50.0,,,98-87,,D. DeRozan misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by B. Portis,,98-87,,
6:50.0,,,98-87,,Personal foul by D. DeRozan
6:39.0,J. Butler misses 2-pt shot from 5 ft (block by B. Biyombo),,98-87,,
6:39.0,,,98-87,,Defensive rebound by Team
6:35.0,,,98-89,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
6:35.0,,,98-89,,Shooting foul by B. Portis (drawn by D. DeRozan)
6:35.0,,,98-90,1,D. DeRozan makes free throw 1 of 1
6:20.0,T. Gibson makes 2-pt shot from 14 ft (assist by A. Brooks),2,100-90,,
6:06.0,,,100-90,,D. DeRozan misses 3-pt shot from 26 ft
6:05.0,,,100-90,,Offensive rebound by B. Biyombo
6:03.0,,,100-92,2,B. Biyombo makes 2-pt shot at rim
5:47.0,J. Butler makes 2-pt shot at rim,2,102-92,,
5:29.0,,,102-92,,D. DeRozan misses 2-pt shot from 3 ft (block by J. Butler)
5:26.0,,,102-92,,Offensive rebound by D. DeRozan
5:20.0,,,102-94,2,D. DeRozan makes 2-pt shot from 3 ft
5:00.0,B. Portis misses 2-pt shot from 8 ft,,102-94,,
5:00.0,,,102-94,,Defensive rebound by P. Patterson
4:51.0,,,102-96,2,K. Lowry makes 2-pt shot from 1 ft
4:51.0,Chicago full timeout,,102-96,,
4:51.0,E. Moore enters the game for B. Portis,,102-96,,
4:51.0,N. Mirotic enters the game for A. Brooks,,102-96,,
4:31.0,J. Butler misses 2-pt shot from 14 ft,,102-96,,
4:31.0,Offensive rebound by T. Gibson,,102-96,,
4:26.0,D. McDermott misses 3-pt shot from 26 ft,,102-96,,
4:26.0,Offensive rebound by T. Gibson,,102-96,,
4:12.0,T. Gibson makes 2-pt shot at rim,2,104-96,,
3:48.0,Personal foul by E. Moore,,104-96,,
3:35.0,,,104-96,,Turnover by Team (shot clock)
3:17.0,E. Moore misses 3-pt shot from 23 ft,,104-96,,
3:16.0,,,104-96,,Defensive rebound by K. Lowry
3:05.0,,,104-96,,D. DeRozan misses 2-pt shot from 11 ft
3:05.0,Defensive rebound by T. Gibson,,104-96,,
2:53.0,,,104-96,,Personal foul by B. Biyombo
2:53.0,,,104-96,,Toronto full timeout
2:39.0,J. Butler misses 2-pt shot from 8 ft,,104-96,,
2:39.0,Offensive rebound by T. Gibson,,104-96,,
2:25.0,N. Mirotic misses 3-pt shot from 24 ft,,104-96,,
2:24.0,,,104-96,,Defensive rebound by D. DeRozan
2:12.0,,,104-98,2,D. DeRozan makes 2-pt shot from 13 ft
1:55.0,J. Butler makes 2-pt shot from 20 ft,2,106-98,,
1:38.0,,,106-100,2,C. Joseph makes 2-pt shot from 7 ft
1:25.0,J. Butler misses 2-pt shot from 3 ft (block by B. Biyombo),,106-100,,
1:23.0,,,106-100,,Defensive rebound by D. DeRozan
1:19.0,,,106-100,,P. Patterson misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by J. Butler,,106-100,,
0:55.0,E. Moore misses 2-pt shot from 16 ft,,106-100,,
0:54.0,Offensive rebound by N. Mirotic,,106-100,,
0:52.0,N. Mirotic misses 2-pt shot from 1 ft,,106-100,,
0:51.0,,,106-100,,Defensive rebound by B. Biyombo
0:39.0,,,106-102,2,K. Lowry makes 2-pt shot from 2 ft
0:34.0,Turnover by N. Mirotic (lost ball; steal by K. Lowry),,106-102,,
0:29.0,,,106-102,,Toronto full timeout
0:29.0,J. Holiday enters the game for D. McDermott,,106-102,,
0:29.0,,,106-102,,Toronto full timeout
0:29.0,,,106-102,,T. Ross enters the game for B. Biyombo
0:29.0,,,106-102,,L. Scola enters the game for C. Joseph
0:26.0,Personal foul by T. Gibson,,106-102,,
0:26.0,,,106-102,,K. Lowry misses free throw 1 of 2
0:26.0,,,106-102,,Offensive rebound by Team
0:26.0,,,106-102,,C. Joseph enters the game for T. Ross
0:26.0,,,106-102,,B. Biyombo enters the game for L. Scola
0:26.0,,,106-103,1,K. Lowry makes free throw 2 of 2
0:26.0,Chicago full timeout,,106-103,,
