time,New Orleans,pts.away,score,pts.home,Atlanta
6:43.0,E. Gordon makes 2-pt shot from 1 ft,2,11-11,,
6:32.0,,,11-13,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
6:16.0,I. Smith makes 2-pt shot at rim,2,13-13,,
6:07.0,,,13-13,,K. Korver misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by R. Anderson,,13-13,,
5:48.0,R. Anderson misses 2-pt shot from 21 ft,,13-13,,
5:46.0,Offensive rebound by R. Anderson,,13-13,,
5:41.0,I. Smith makes 2-pt shot from 1 ft (assist by E. Gordon),2,15-13,,
5:41.0,,,15-13,,Atlanta full timeout
5:41.0,,,15-13,,T. Sefolosha enters the game for K. Bazemore
5:41.0,,,15-13,,T. Splitter enters the game for A. Horford
5:41.0,,,15-13,,D. Schroder enters the game for J. Teague
5:41.0,D. Cunningham enters the game for O. Asik,,15-13,,
5:36.0,,,15-13,,Turnover by D. Schroder (step out of bounds)
5:15.0,I. Smith misses 2-pt shot from 13 ft,,15-13,,
5:14.0,,,15-13,,Defensive rebound by T. Splitter
5:03.0,,,15-16,3,D. Schroder makes 3-pt shot from 24 ft
4:46.0,D. Cunningham makes 2-pt shot from 19 ft (assist by I. Smith),2,17-16,,
4:23.0,,,17-16,,T. Sefolosha misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by D. Cunningham,,17-16,,
4:16.0,Turnover by D. Cunningham (step out of bounds),,17-16,,
4:16.0,A. Ajinca enters the game for R. Anderson,,17-16,,
4:16.0,T. Douglas enters the game for I. Smith,,17-16,,
4:16.0,,,17-16,,J. Holiday enters the game for K. Korver
4:02.0,,,17-16,,Shooting foul by E. Gordon (drawn by T. Sefolosha)
4:02.0,,,17-17,1,T. Sefolosha makes free throw 1 of 2
4:02.0,,,17-17,,T. Sefolosha misses free throw 2 of 2
4:00.0,Defensive rebound by L. Babbitt,,17-17,,
3:51.0,Shooting foul by D. Schroder (drawn by E. Gordon),,17-17,,
3:51.0,E. Gordon misses free throw 1 of 2,,17-17,,
3:51.0,Offensive rebound by Team,,17-17,,
3:51.0,E. Gordon makes free throw 2 of 2,1,18-17,,
3:32.0,,,18-17,,P. Millsap misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by L. Babbitt,,18-17,,
3:17.0,,,18-17,,Personal foul by T. Splitter (drawn by A. Ajinca)
3:17.0,A. Gee enters the game for L. Babbitt,,18-17,,
3:10.0,A. Ajinca misses 2-pt shot from 20 ft,,18-17,,
3:09.0,,,18-17,,Defensive rebound by P. Millsap
2:57.0,,,18-17,,J. Holiday misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by E. Gordon,,18-17,,
2:50.0,E. Gordon misses 2-pt shot from 1 ft,,18-17,,
2:47.0,,,18-17,,Defensive rebound by P. Millsap
2:43.0,Personal foul by A. Gee (drawn by J. Holiday),,18-17,,
2:43.0,New Orleans full timeout,,18-17,,
2:32.0,,,18-19,2,P. Millsap makes 2-pt shot from 8 ft
2:12.0,A. Ajinca misses 2-pt shot from 3 ft,,18-19,,
2:12.0,Offensive rebound by A. Ajinca,,18-19,,
2:12.0,A. Ajinca misses 2-pt shot from 3 ft,,18-19,,
2:09.0,Offensive rebound by D. Cunningham,,18-19,,
2:05.0,E. Gordon makes 3-pt shot from 24 ft (assist by D. Cunningham),3,21-19,,
1:52.0,,,21-21,2,T. Splitter makes 2-pt shot from 2 ft (assist by P. Millsap)
1:43.0,,,21-21,,Violation by J. Holiday (def goaltending)
1:43.0,E. Gordon makes 2-pt shot from 1 ft,2,23-21,,
1:35.0,I. Smith enters the game for E. Gordon,,23-21,,
1:35.0,,,23-21,,A. Horford enters the game for P. Millsap
1:35.0,,,23-21,,M. Scott enters the game for T. Splitter
1:30.0,,,23-21,,D. Schroder misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by A. Ajinca,,23-21,,
1:06.0,I. Smith misses 3-pt shot from 24 ft,,23-21,,
1:03.0,,,23-21,,Defensive rebound by J. Holiday
0:52.0,,,23-21,,Turnover by T. Sefolosha (lost ball; steal by I. Smith)
0:48.0,,,23-21,,Shooting block foul by J. Holiday (drawn by D. Cunningham)
0:48.0,D. Cunningham makes free throw 1 of 2,1,24-21,,
0:48.0,D. Cunningham misses free throw 2 of 2,,24-21,,
0:43.0,,,24-21,,Defensive rebound by T. Sefolosha
0:34.0,,,24-24,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
0:21.0,,,24-24,,Violation by T. Sefolosha (def goaltending)
0:21.0,I. Smith makes 2-pt shot from 1 ft (assist by T. Douglas),2,26-24,,
0:03.0,,,26-24,,D. Schroder misses 2-pt shot at rim
0:02.0,,,26-24,,Offensive rebound by A. Horford
0:00.0,,,26-24,,J. Holiday misses 3-pt shot from 24 ft
0:00.0,,,26-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive foul by A. Ajinca,,26-24,,
11:49.0,Turnover by A. Ajinca (offensive foul),,26-24,,
11:36.0,,,26-24,,D. Schroder misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by A. Ajinca,,26-24,,
11:28.0,T. Douglas makes 3-pt shot from 25 ft (assist by A. Ajinca),3,29-24,,
11:13.0,,,29-24,,Turnover by D. Schroder (bad pass)
11:00.0,Turnover by T. Douglas (step out of bounds),,29-24,,
11:00.0,R. Anderson enters the game for A. Ajinca,,29-24,,
10:50.0,,,29-24,,Turnover by D. Schroder (lost ball; steal by T. Douglas)
10:50.0,Turnover by T. Douglas (offensive foul),,29-24,,
10:50.0,Offensive charge foul by T. Douglas,,29-24,,
10:33.0,,,29-26,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Sefolosha)
10:22.0,L. Babbitt makes 3-pt shot from 23 ft (assist by I. Smith),3,32-26,,
10:06.0,,,32-26,,A. Horford misses 2-pt shot from 8 ft
10:03.0,,,32-26,,Offensive rebound by A. Horford
10:01.0,,,32-28,2,A. Horford makes 2-pt shot at rim
9:47.0,T. Douglas makes 3-pt shot from 24 ft (assist by I. Smith),3,35-28,,
9:34.0,,,35-28,,A. Horford misses 3-pt shot from 25 ft
9:31.0,,,35-28,,Offensive rebound by T. Sefolosha
9:23.0,,,35-31,3,D. Schroder makes 3-pt shot from 25 ft
9:01.0,Turnover by R. Anderson (lost ball; steal by D. Schroder),,35-31,,
8:57.0,,,35-33,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder)
8:36.0,I. Smith makes 3-pt shot from 24 ft,3,38-33,,
8:16.0,,,38-35,2,A. Horford makes 2-pt shot at rim (assist by K. Korver)
8:08.0,I. Smith makes 2-pt shot from 1 ft,2,40-35,,
8:03.0,,,40-35,,Atlanta full timeout
8:03.0,,,40-35,,J. Teague enters the game for D. Schroder
8:03.0,,,40-35,,T. Splitter enters the game for T. Sefolosha
8:03.0,,,40-35,,K. Bazemore enters the game for M. Scott
7:53.0,,,40-37,2,J. Teague makes 2-pt shot from 5 ft
7:35.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Douglas),3,43-37,,
7:23.0,Personal foul by A. Gee (drawn by K. Korver),,43-37,,
7:23.0,O. Asik enters the game for L. Babbitt,,43-37,,
7:08.0,,,43-37,,Turnover by Team (shot clock)
6:46.0,A. Gee makes 3-pt shot from 23 ft (assist by I. Smith),3,46-37,,
6:30.0,,,46-37,,K. Bazemore misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by O. Asik,,46-37,,
6:22.0,I. Smith makes 2-pt shot from 1 ft,2,48-37,,
6:06.0,,,48-39,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
5:44.0,T. Douglas misses 3-pt shot from 24 ft,,48-39,,
5:41.0,Offensive rebound by R. Anderson,,48-39,,
5:36.0,I. Smith makes 3-pt shot from 24 ft (assist by T. Douglas),3,51-39,,
5:13.0,,,51-39,,K. Bazemore misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by I. Smith,,51-39,,
4:58.0,R. Anderson misses 2-pt shot from 6 ft (block by T. Splitter),,51-39,,
4:56.0,Offensive rebound by O. Asik,,51-39,,
4:55.0,Turnover by O. Asik (lost ball; steal by K. Korver),,51-39,,
4:44.0,,,51-39,,J. Teague misses 2-pt shot from 1 ft
4:43.0,,,51-39,,Offensive rebound by A. Horford
4:43.0,,,51-41,2,A. Horford makes 2-pt shot from 1 ft
4:34.0,Turnover by T. Douglas (step out of bounds),,51-41,,
4:34.0,Official timeout,,51-41,,
4:34.0,,,51-41,,P. Millsap enters the game for K. Bazemore
4:34.0,,,51-41,,T. Sefolosha enters the game for A. Horford
4:34.0,E. Gordon enters the game for I. Smith,,51-41,,
4:16.0,,,51-41,,K. Korver misses 2-pt shot from 20 ft
4:15.0,Defensive rebound by O. Asik,,51-41,,
3:59.0,Turnover by R. Anderson (bad pass; steal by T. Splitter),,51-41,,
3:50.0,,,51-43,2,T. Splitter makes 2-pt shot from 1 ft (assist by J. Teague)
3:41.0,T. Douglas misses 3-pt shot from 25 ft,,51-43,,
3:40.0,,,51-43,,Defensive rebound by P. Millsap
3:26.0,,,51-43,,J. Teague misses 2-pt shot from 15 ft
3:24.0,,,51-43,,Offensive rebound by T. Splitter
3:21.0,,,51-43,,K. Korver misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by O. Asik,,51-43,,
3:05.0,,,51-43,,Personal foul by J. Teague (drawn by R. Anderson)
3:05.0,,,51-43,,K. Bazemore enters the game for K. Korver
2:57.0,E. Gordon misses 2-pt shot from 9 ft,,51-43,,
2:56.0,,,51-43,,Defensive rebound by P. Millsap
2:49.0,New Orleans full timeout,,51-43,,
2:49.0,L. Babbitt enters the game for T. Douglas,,51-43,,
2:49.0,I. Smith enters the game for A. Gee,,51-43,,
2:45.0,,,51-45,2,J. Teague makes 2-pt shot from 13 ft (assist by T. Splitter)
2:30.0,L. Babbitt misses 3-pt shot from 24 ft,,51-45,,
2:27.0,,,51-45,,Defensive rebound by P. Millsap
2:18.0,,,51-45,,P. Millsap misses 2-pt shot from 8 ft
2:16.0,,,51-45,,Offensive rebound by P. Millsap
2:14.0,,,51-47,2,P. Millsap makes 2-pt shot at rim
1:53.0,E. Gordon makes 3-pt shot from 24 ft (assist by L. Babbitt),3,54-47,,
1:38.0,,,54-47,,P. Millsap misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by I. Smith,,54-47,,
1:23.0,R. Anderson misses 2-pt shot from 17 ft,,54-47,,
1:20.0,,,54-47,,Defensive rebound by P. Millsap
1:09.0,,,54-47,,J. Teague misses 2-pt shot from 19 ft
1:07.0,Defensive rebound by R. Anderson,,54-47,,
1:06.0,Turnover by R. Anderson (bad pass; steal by J. Teague),,54-47,,
1:00.0,,,54-47,,P. Millsap misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by O. Asik,,54-47,,
0:33.0,I. Smith misses 2-pt shot from 8 ft,,54-47,,
0:32.0,,,54-47,,Defensive rebound by P. Millsap
0:13.0,,,54-47,,Turnover by J. Teague (bad pass; steal by E. Gordon)
0:08.0,E. Gordon makes 2-pt shot at rim,2,56-47,,
0:04.0,Personal take foul by E. Gordon (drawn by K. Bazemore),,56-47,,
0:04.0,,,56-47,,K. Korver enters the game for T. Splitter
0:04.0,D. Cunningham enters the game for O. Asik,,56-47,,
0:04.0,,,56-47,,A. Horford enters the game for T. Sefolosha
0:00.0,,,56-47,,P. Millsap misses 2-pt shot from 15 ft
0:00.0,,,56-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Offensive foul by O. Asik,,56-47,,
11:45.0,Turnover by O. Asik (offensive foul),,56-47,,
11:31.0,,,56-50,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
11:08.0,L. Babbitt misses 2-pt shot from 19 ft (block by A. Horford),,56-50,,
11:06.0,,,56-50,,Defensive rebound by A. Horford
10:57.0,Personal foul by L. Babbitt (drawn by J. Teague),,56-50,,
10:41.0,,,56-50,,K. Bazemore misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by L. Babbitt,,56-50,,
10:28.0,O. Asik misses 2-pt shot from 1 ft,,56-50,,
10:26.0,,,56-50,,Defensive rebound by K. Korver
10:21.0,,,56-50,,A. Horford misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by E. Gordon,,56-50,,
10:02.0,I. Smith misses 3-pt shot from 22 ft,,56-50,,
10:00.0,,,56-50,,Defensive rebound by K. Bazemore
9:53.0,,,56-52,2,P. Millsap makes 2-pt shot from 2 ft (assist by K. Bazemore)
9:37.0,L. Babbitt misses 3-pt shot from 23 ft,,56-52,,
9:33.0,Offensive rebound by Team,,56-52,,
9:33.0,Jump ball: K. Korver vs. I. Smith,,,,Jump ball: K. Korver vs. I. Smith
9:15.0,E. Gordon makes 2-pt shot from 11 ft (assist by I. Smith),2,58-52,,
9:15.0,Shooting foul by P. Millsap (drawn by E. Gordon),,58-52,,
9:15.0,E. Gordon makes free throw 1 of 1,1,59-52,,
9:07.0,Personal foul by E. Gordon (drawn by J. Teague),,59-52,,
9:07.0,D. Cunningham enters the game for O. Asik,,59-52,,
9:00.0,,,59-52,,K. Bazemore misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by I. Smith,,59-52,,
8:52.0,R. Anderson misses 3-pt shot from 24 ft,,59-52,,
8:50.0,,,59-52,,Defensive rebound by A. Horford
8:38.0,,,59-52,,Turnover by K. Bazemore (lost ball)
8:32.0,Turnover by E. Gordon (bad pass; steal by P. Millsap),,59-52,,
8:28.0,,,59-52,,Shooting foul by D. Cunningham (drawn by P. Millsap)
8:28.0,,,59-53,1,P. Millsap makes free throw 1 of 2
8:28.0,,,59-54,1,P. Millsap makes free throw 2 of 2
8:06.0,E. Gordon misses 2-pt shot from 22 ft,,59-54,,
8:06.0,Offensive rebound by Team,,59-54,,
8:06.0,,,59-54,,Loose ball foul by K. Korver (drawn by D. Cunningham)
7:57.0,R. Anderson makes 2-pt shot from 13 ft,2,61-54,,
7:43.0,,,61-57,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
7:33.0,Turnover by L. Babbitt (lost ball; steal by P. Millsap),,61-57,,
7:30.0,Personal block foul by R. Anderson (drawn by P. Millsap),,61-57,,
7:30.0,A. Gee enters the game for L. Babbitt,,61-57,,
7:23.0,,,61-60,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
7:04.0,R. Anderson makes 2-pt shot from 15 ft,2,63-60,,
6:59.0,Personal foul by A. Gee (drawn by P. Millsap),,63-60,,
6:59.0,,,63-61,1,P. Millsap makes free throw 1 of 2
6:59.0,,,63-61,,T. Sefolosha enters the game for K. Korver
6:59.0,,,63-62,1,P. Millsap makes free throw 2 of 2
6:52.0,,,63-62,,Personal foul by K. Bazemore (drawn by E. Gordon)
6:46.0,I. Smith misses 2-pt shot from 7 ft,,63-62,,
6:44.0,,,63-62,,Defensive rebound by P. Millsap
6:30.0,,,63-65,3,J. Teague makes 3-pt shot from 25 ft (assist by T. Sefolosha)
6:16.0,D. Cunningham makes 2-pt shot from 20 ft (assist by I. Smith),2,65-65,,
6:06.0,,,65-65,,Turnover by P. Millsap (lost ball; steal by A. Gee)
6:02.0,Turnover by D. Cunningham (lost ball; steal by T. Sefolosha),,65-65,,
5:50.0,,,65-65,,P. Millsap misses 2-pt shot from 20 ft
5:47.0,Defensive rebound by R. Anderson,,65-65,,
5:42.0,,,65-65,,Personal foul by J. Teague (drawn by R. Anderson)
5:42.0,,,65-65,,Atlanta full timeout
5:42.0,,,65-65,,T. Splitter enters the game for A. Horford
5:28.0,I. Smith misses 2-pt shot from 2 ft,,65-65,,
5:26.0,,,65-65,,Defensive rebound by P. Millsap
5:09.0,,,65-65,,K. Bazemore misses 2-pt shot at rim
5:07.0,Defensive rebound by E. Gordon,,65-65,,
4:57.0,R. Anderson makes 2-pt shot from 1 ft (assist by E. Gordon),2,67-65,,
4:57.0,Shooting foul by T. Splitter (drawn by R. Anderson),,67-65,,
4:57.0,R. Anderson makes free throw 1 of 1,1,68-65,,
4:46.0,,,68-68,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by J. Teague)
4:32.0,I. Smith makes 2-pt shot from 1 ft,2,70-68,,
4:20.0,,,70-68,,J. Teague misses 2-pt shot from 9 ft
4:19.0,,,70-68,,Offensive rebound by Team
4:19.0,O. Asik enters the game for R. Anderson,,70-68,,
4:12.0,,,70-68,,J. Teague misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by I. Smith,,70-68,,
4:04.0,,,70-68,,Shooting block foul by T. Splitter (drawn by O. Asik)
4:04.0,O. Asik makes free throw 1 of 2,1,71-68,,
4:04.0,,,71-68,,D. Schroder enters the game for J. Teague
4:04.0,T. Douglas enters the game for E. Gordon,,71-68,,
4:04.0,O. Asik makes free throw 2 of 2,1,72-68,,
3:46.0,,,72-68,,Shooting foul by D. Cunningham (drawn by P. Millsap)
3:46.0,,,72-68,,P. Millsap misses free throw 1 of 2
3:46.0,,,72-68,,Offensive rebound by Team
3:46.0,L. Babbitt enters the game for A. Gee,,72-68,,
3:46.0,,,72-69,1,P. Millsap makes free throw 2 of 2
3:37.0,T. Douglas misses 2-pt shot from 13 ft (block by T. Sefolosha),,72-69,,
3:35.0,,,72-69,,Defensive rebound by T. Sefolosha
3:32.0,,,72-71,2,K. Bazemore makes 2-pt shot at rim
3:20.0,,,72-71,,K. Korver enters the game for K. Bazemore
3:07.0,I. Smith misses 2-pt shot from 1 ft,,72-71,,
3:07.0,,,72-71,,Defensive rebound by Team
3:07.0,Loose ball foul by O. Asik (drawn by T. Sefolosha),,72-71,,
3:07.0,,,72-71,,T. Sefolosha misses free throw 1 of 2
3:07.0,,,72-71,,Offensive rebound by Team
3:07.0,,,72-72,1,T. Sefolosha makes free throw 2 of 2
2:59.0,Offensive foul by O. Asik,,72-72,,
2:59.0,Turnover by O. Asik (offensive foul),,72-72,,
2:59.0,New Orleans full timeout,,72-72,,
2:41.0,,,72-72,,T. Splitter misses 2-pt shot from 20 ft
2:40.0,Defensive rebound by T. Douglas,,72-72,,
2:17.0,T. Douglas misses 3-pt shot from 24 ft,,72-72,,
2:15.0,,,72-72,,Defensive rebound by P. Millsap
2:04.0,,,72-72,,D. Schroder misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by I. Smith,,72-72,,
1:54.0,D. Cunningham makes 2-pt shot from 20 ft (assist by I. Smith),2,74-72,,
1:38.0,,,74-72,,P. Millsap misses 2-pt shot from 8 ft
1:36.0,Defensive rebound by Team,,74-72,,
1:25.0,Shooting foul by P. Millsap (drawn by O. Asik),,74-72,,
1:25.0,O. Asik makes free throw 1 of 2,1,75-72,,
1:25.0,,,75-72,,A. Horford enters the game for P. Millsap
1:25.0,A. Gee enters the game for I. Smith,,75-72,,
1:25.0,O. Asik misses free throw 2 of 2,,75-72,,
1:24.0,,,75-72,,Defensive rebound by T. Sefolosha
1:00.0,,,75-74,2,T. Splitter makes 2-pt shot from 1 ft (assist by A. Horford)
0:49.0,L. Babbitt misses 2-pt shot from 16 ft,,75-74,,
0:47.0,,,75-74,,Defensive rebound by K. Korver
0:34.0,,,75-74,,D. Schroder misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by O. Asik,,75-74,,
0:18.0,L. Babbitt misses 3-pt shot from 24 ft,,75-74,,
0:16.0,,,75-74,,Defensive rebound by D. Schroder
0:03.0,,,75-76,2,T. Splitter makes 2-pt shot from 1 ft (assist by A. Horford)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,75-76,,Technical foul by K. Bazemore
12:00.0,T. Douglas makes technical free throw,1,76-76,,
11:38.0,,,76-78,2,D. Schroder makes 2-pt shot from 1 ft
11:27.0,L. Babbitt misses 2-pt shot from 14 ft,,76-78,,
11:26.0,,,76-78,,Defensive rebound by T. Splitter
11:14.0,Violation by D. Cunningham (kicked ball),,76-78,,
11:14.0,,,76-78,,M. Muscala enters the game for T. Splitter
10:59.0,,,76-78,,M. Muscala misses 2-pt shot at rim
10:57.0,Defensive rebound by A. Ajinca,,76-78,,
10:52.0,T. Douglas makes 2-pt shot from 6 ft,2,78-78,,
10:34.0,,,78-78,,K. Bazemore enters the game for T. Sefolosha
10:27.0,,,78-78,,D. Schroder misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by A. Gee,,78-78,,
10:04.0,T. Douglas misses 3-pt shot from 24 ft,,78-78,,
10:01.0,,,78-78,,Defensive rebound by K. Korver
9:49.0,,,78-81,3,M. Muscala makes 3-pt shot from 25 ft (assist by D. Schroder)
9:30.0,T. Douglas misses 2-pt shot from 12 ft,,78-81,,
9:29.0,,,78-81,,Defensive rebound by M. Muscala
9:18.0,,,78-81,,Turnover by K. Bazemore (bad pass; steal by T. Douglas)
9:12.0,A. Gee makes 2-pt shot at rim (assist by T. Douglas),2,80-81,,
8:55.0,,,80-83,2,D. Schroder makes 2-pt shot from 11 ft
8:35.0,Turnover by A. Gee (traveling),,80-83,,
8:35.0,Official timeout,,80-83,,
8:35.0,I. Smith enters the game for L. Babbitt,,80-83,,
8:35.0,E. Gordon enters the game for A. Ajinca,,80-83,,
8:35.0,R. Anderson enters the game for T. Douglas,,80-83,,
8:24.0,,,80-85,2,D. Schroder makes 2-pt shot from 1 ft
8:04.0,Turnover by I. Smith (bad pass; steal by K. Korver),,80-85,,
7:51.0,,,80-85,,K. Bazemore misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by D. Cunningham,,80-85,,
7:39.0,E. Gordon makes 2-pt shot from 8 ft,2,82-85,,
7:26.0,,,82-87,2,K. Korver makes 2-pt shot from 20 ft (assist by D. Schroder)
7:15.0,,,82-87,,Personal foul by K. Bazemore (drawn by E. Gordon)
7:15.0,,,82-87,,P. Millsap enters the game for A. Horford
7:15.0,,,82-87,,J. Teague enters the game for K. Korver
7:00.0,E. Gordon makes 3-pt shot from 23 ft (assist by I. Smith),3,85-87,,
6:41.0,,,85-89,2,P. Millsap makes 2-pt shot at rim (assist by M. Muscala)
6:25.0,A. Gee misses 3-pt shot from 22 ft,,85-89,,
6:23.0,,,85-89,,Defensive rebound by P. Millsap
6:02.0,Shooting block foul by D. Cunningham (drawn by K. Bazemore),,85-89,,
6:02.0,,,85-90,1,K. Bazemore makes free throw 1 of 2
6:02.0,,,85-91,1,K. Bazemore makes free throw 2 of 2
5:46.0,R. Anderson misses 2-pt shot from 20 ft,,85-91,,
5:44.0,,,85-91,,Defensive rebound by D. Schroder
5:27.0,,,85-91,,J. Teague misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by D. Cunningham,,85-91,,
5:19.0,Turnover by E. Gordon (lost ball; steal by P. Millsap),,85-91,,
5:10.0,,,85-93,2,J. Teague makes 2-pt shot from 4 ft
5:10.0,New Orleans full timeout,,85-93,,
5:10.0,L. Babbitt enters the game for D. Cunningham,,85-93,,
5:10.0,,,85-93,,K. Korver enters the game for D. Schroder
4:49.0,E. Gordon misses 2-pt shot from 3 ft (block by M. Muscala),,85-93,,
4:44.0,Offensive rebound by R. Anderson,,85-93,,
4:44.0,R. Anderson makes 2-pt shot at rim,2,87-93,,
4:39.0,,,87-95,2,J. Teague makes 2-pt shot at rim
4:25.0,E. Gordon makes 3-pt shot from 25 ft,3,90-95,,
4:00.0,,,90-97,2,K. Bazemore makes 2-pt shot from 19 ft
3:50.0,E. Gordon misses 3-pt shot from 25 ft,,90-97,,
3:49.0,,,90-97,,Defensive rebound by P. Millsap
3:42.0,,,90-97,,J. Teague misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by Team,,90-97,,
3:42.0,,,90-97,,A. Horford enters the game for M. Muscala
3:36.0,Shooting foul by J. Teague (drawn by L. Babbitt),,90-97,,
3:36.0,L. Babbitt misses free throw 1 of 2,,90-97,,
3:36.0,Offensive rebound by Team,,90-97,,
3:36.0,L. Babbitt makes free throw 2 of 2,1,91-97,,
3:21.0,,,91-99,2,P. Millsap makes 2-pt shot from 11 ft (assist by K. Bazemore)
3:21.0,,,91-99,,Shooting foul by A. Gee (drawn by P. Millsap)
3:21.0,T. Douglas enters the game for L. Babbitt,,91-99,,
3:21.0,,,91-100,1,P. Millsap makes free throw 1 of 1
3:11.0,I. Smith misses 2-pt shot from 2 ft,,91-100,,
3:09.0,,,91-100,,Defensive rebound by A. Horford
