time,Chicago,pts.away,score,pts.home,Philadelphia
1:55.0,,,31-16,,Shooting foul by B. Portis (drawn by C. Wood)
1:55.0,Chicago full timeout,,31-16,,
1:55.0,E. Moore enters the game for J. Butler,,31-16,,
1:55.0,,,31-17,1,C. Wood makes free throw 1 of 2
1:55.0,,,31-17,,P. Pressey enters the game for J. Sampson
1:55.0,,,31-17,,C. Wood misses free throw 2 of 2
1:54.0,Defensive rebound by T. Snell,,31-17,,
1:38.0,Turnover by E. Moore (traveling),,31-17,,
1:15.0,,,31-20,3,I. Canaan makes 3-pt shot from 24 ft
0:59.0,B. Portis misses 2-pt shot from 19 ft,,31-20,,
0:58.0,,,31-20,,Defensive rebound by I. Canaan
0:44.0,,,31-20,,Turnover by H. Thompson (bad pass; steal by B. Portis)
0:41.0,Turnover by B. Portis (bad pass; steal by C. Wood),,31-20,,
0:39.0,,,31-20,,Turnover by C. Wood (offensive foul)
0:39.0,,,31-20,,Offensive charge foul by C. Wood
0:32.0,Turnover by T. Gibson (bad pass; steal by I. Canaan),,31-20,,
0:29.0,,,31-22,2,R. Holmes makes 2-pt shot at rim (assist by P. Pressey)
0:09.0,A. Brooks misses 2-pt shot from 14 ft,,31-22,,
0:08.0,Offensive rebound by A. Brooks,,31-22,,
0:05.0,T. Snell misses 3-pt shot from 26 ft,,31-22,,
0:03.0,,,31-22,,Defensive rebound by C. Wood
0:01.0,,,31-22,,C. Wood misses 3-pt shot from 35 ft
0:00.0,,,31-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,31-22,,Turnover by R. Holmes (traveling)
11:28.0,A. Brooks misses 2-pt shot from 1 ft,,31-22,,
11:26.0,,,31-22,,Defensive rebound by J. Okafor
11:20.0,,,31-25,3,H. Thompson makes 3-pt shot from 22 ft (assist by P. Pressey)
11:00.0,T. Snell misses 2-pt shot from 3 ft,,31-25,,
10:58.0,,,31-25,,Defensive rebound by R. Holmes
10:50.0,,,31-25,,Shooting foul by T. Gibson (drawn by R. Holmes)
10:50.0,,,31-26,1,R. Holmes makes free throw 1 of 2
10:50.0,D. Rose enters the game for A. Brooks,,31-26,,
10:50.0,P. Gasol enters the game for B. Portis,,31-26,,
10:50.0,,,31-26,,N. Stauskas enters the game for P. Pressey
10:50.0,,,31-26,,R. Holmes misses free throw 2 of 2
10:48.0,Defensive rebound by E. Moore,,31-26,,
10:36.0,T. Snell misses 2-pt shot from 6 ft (block by R. Holmes),,31-26,,
10:34.0,,,31-26,,Defensive rebound by I. Canaan
10:16.0,,,31-28,2,R. Holmes makes 2-pt shot from 2 ft (assist by I. Canaan)
10:03.0,D. Rose misses 2-pt shot from 1 ft (block by R. Holmes),,31-28,,
10:01.0,,,31-28,,Defensive rebound by J. Okafor
9:56.0,,,31-28,,I. Canaan misses 3-pt shot from 25 ft
9:54.0,,,31-28,,Offensive rebound by R. Holmes
9:51.0,,,31-28,,J. Okafor misses 2-pt shot from 1 ft (block by P. Gasol)
9:50.0,,,31-28,,Offensive rebound by Team
9:40.0,,,31-28,,J. Okafor misses 2-pt shot from 6 ft
9:39.0,Defensive rebound by T. Gibson,,31-28,,
9:30.0,T. Gibson misses 2-pt shot from 16 ft,,31-28,,
9:29.0,,,31-28,,Defensive rebound by H. Thompson
9:19.0,,,31-28,,R. Holmes misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by P. Gasol,,31-28,,
9:12.0,D. Rose misses 2-pt shot from 3 ft,,31-28,,
9:11.0,Offensive rebound by T. Gibson,,31-28,,
9:11.0,Shooting foul by H. Thompson (drawn by T. Gibson),,31-28,,
9:11.0,T. Gibson makes free throw 1 of 2,1,32-28,,
9:11.0,,,32-28,,T. McConnell enters the game for I. Canaan
9:11.0,D. McDermott enters the game for T. Snell,,32-28,,
9:11.0,T. Gibson makes free throw 2 of 2,1,33-28,,
9:11.0,,,33-28,,Philadelphia full timeout
8:58.0,,,33-28,,N. Stauskas misses 2-pt shot from 2 ft (block by P. Gasol)
8:54.0,Defensive rebound by E. Moore,,33-28,,
8:51.0,D. McDermott misses 2-pt shot from 4 ft,,33-28,,
8:47.0,Offensive rebound by T. Gibson,,33-28,,
8:47.0,T. Gibson makes 2-pt shot at rim,2,35-28,,
8:35.0,,,35-28,,Shooting foul by P. Gasol (drawn by R. Holmes)
8:35.0,,,35-28,,R. Holmes misses free throw 1 of 2
8:35.0,,,35-28,,Offensive rebound by Team
8:35.0,,,35-29,1,R. Holmes makes free throw 2 of 2
8:21.0,P. Gasol misses 2-pt shot from 6 ft,,35-29,,
8:19.0,,,35-29,,Defensive rebound by N. Stauskas
8:12.0,,,35-29,,C. Wood enters the game for R. Holmes
8:12.0,,,35-29,,J. Grant enters the game for H. Thompson
8:02.0,,,35-29,,N. Stauskas misses 2-pt shot from 9 ft
8:01.0,Defensive rebound by P. Gasol,,35-29,,
7:53.0,E. Moore misses 2-pt shot from 3 ft (block by J. Grant),,35-29,,
7:51.0,,,35-29,,Defensive rebound by T. McConnell
7:42.0,,,35-29,,J. Okafor misses 2-pt shot from 2 ft
7:40.0,,,35-29,,Offensive rebound by C. Wood
7:40.0,,,35-31,2,C. Wood makes 2-pt shot at rim
7:22.0,T. Gibson misses 2-pt shot from 6 ft (block by J. Okafor),,35-31,,
7:20.0,,,35-31,,Defensive rebound by J. Okafor
6:58.0,,,35-33,2,J. Grant makes 2-pt shot from 1 ft
6:44.0,P. Gasol misses 2-pt shot from 2 ft,,35-33,,
6:43.0,,,35-33,,Defensive rebound by C. Wood
6:32.0,,,35-36,3,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell)
6:31.0,Chicago full timeout,,35-36,,
6:31.0,N. Mirotic enters the game for T. Gibson,,35-36,,
6:31.0,J. Butler enters the game for E. Moore,,35-36,,
6:31.0,,,35-36,,R. Holmes enters the game for J. Okafor
6:08.0,J. Butler misses 2-pt shot from 1 ft,,35-36,,
6:06.0,,,35-36,,Defensive rebound by T. McConnell
5:59.0,,,35-38,2,C. Wood makes 2-pt shot at rim (assist by T. McConnell)
5:44.0,N. Mirotic misses 3-pt shot from 25 ft,,35-38,,
5:43.0,,,35-38,,Defensive rebound by J. Grant
5:32.0,,,35-38,,R. Holmes misses 2-pt shot from 4 ft
5:31.0,Defensive rebound by D. Rose,,35-38,,
5:25.0,D. Rose makes 2-pt shot from 14 ft,2,37-38,,
5:12.0,,,37-40,2,C. Wood makes 2-pt shot from 14 ft (assist by T. McConnell)
4:58.0,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose),2,39-40,,
4:38.0,,,39-40,,N. Stauskas misses 2-pt shot from 18 ft
4:38.0,,,39-40,,Offensive rebound by J. Grant
4:38.0,Personal foul by P. Gasol (drawn by J. Grant),,39-40,,
4:38.0,,,39-40,,J. Okafor enters the game for R. Holmes
4:21.0,,,39-40,,T. McConnell misses 2-pt shot from 2 ft
4:20.0,Defensive rebound by P. Gasol,,39-40,,
4:16.0,Turnover by D. Rose (bad pass; steal by N. Stauskas),,39-40,,
4:10.0,,,39-40,,N. Stauskas misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by N. Mirotic,,39-40,,
4:02.0,D. McDermott makes 3-pt shot from 24 ft (assist by N. Mirotic),3,42-40,,
3:47.0,Personal block foul by J. Butler (drawn by C. Wood),,42-40,,
3:37.0,,,42-40,,J. Grant misses 2-pt shot from 4 ft (block by D. Rose)
3:37.0,,,42-40,,Offensive rebound by Team
3:35.0,,,42-40,,N. Stauskas misses 3-pt shot from 25 ft
3:34.0,,,42-40,,Offensive rebound by Team
3:34.0,,,42-40,,Turnover by Team (shot clock)
3:25.0,P. Gasol misses 2-pt shot from 7 ft (block by J. Grant),,42-40,,
3:22.0,,,42-40,,Defensive rebound by T. McConnell
3:17.0,,,42-40,,T. McConnell misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by J. Butler,,42-40,,
3:11.0,D. McDermott makes 2-pt shot at rim (assist by D. Rose),2,44-40,,
2:50.0,,,44-40,,Turnover by T. McConnell (bad pass)
2:50.0,Official timeout,,44-40,,
2:39.0,Turnover by J. Butler (lost ball),,44-40,,
2:15.0,,,44-42,2,J. Grant makes 2-pt shot from 4 ft
2:01.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose),2,46-42,,
1:42.0,,,46-42,,N. Stauskas misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by D. McDermott,,46-42,,
1:34.0,D. Rose makes 2-pt shot from 16 ft,2,48-42,,
1:21.0,,,48-42,,J. Okafor misses 2-pt shot from 1 ft
1:19.0,Defensive rebound by P. Gasol,,48-42,,
1:13.0,Turnover by J. Butler (lost ball; steal by N. Stauskas),,48-42,,
1:02.0,,,48-42,,J. Okafor misses 2-pt shot from 1 ft (block by P. Gasol)
1:00.0,Defensive rebound by N. Mirotic,,48-42,,
0:56.0,Shooting foul by J. Grant (drawn by N. Mirotic),,48-42,,
0:56.0,N. Mirotic makes free throw 1 of 2,1,49-42,,
0:56.0,,,49-42,,R. Holmes enters the game for J. Okafor
0:56.0,T. Snell enters the game for D. McDermott,,49-42,,
0:56.0,N. Mirotic makes free throw 2 of 2,1,50-42,,
0:40.0,Personal foul by T. Snell (drawn by J. Grant),,50-42,,
0:40.0,,,50-42,,J. Grant misses free throw 1 of 2
0:40.0,,,50-42,,Offensive rebound by Team
0:40.0,T. Gibson enters the game for N. Mirotic,,50-42,,
0:40.0,,,50-43,1,J. Grant makes free throw 2 of 2
0:25.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose),2,52-43,,
0:25.0,,,52-43,,Philadelphia full timeout
0:25.0,E. Moore enters the game for P. Gasol,,52-43,,
0:01.0,,,52-43,,T. McConnell misses 3-pt shot from 26 ft (block by T. Snell)
0:01.0,,,52-43,,Offensive rebound by Team
0:01.0,,,52-43,,Turnover by Team (shot clock)
0:00.0,D. Rose misses 3-pt shot from 67 ft,,52-43,,
0:00.0,Offensive rebound by Team,,52-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,52-43,,Shooting foul by P. Gasol (drawn by J. Okafor)
11:49.0,,,52-43,,J. Okafor misses free throw 1 of 2
11:49.0,,,52-43,,Offensive rebound by Team
11:49.0,,,52-44,1,J. Okafor makes free throw 2 of 2
11:26.0,J. Butler misses 3-pt shot from 25 ft,,52-44,,
11:24.0,,,52-44,,Defensive rebound by T. McConnell
11:16.0,,,52-46,2,R. Holmes makes 2-pt shot from 12 ft (assist by T. McConnell)
11:02.0,N. Mirotic misses 3-pt shot from 27 ft,,52-46,,
11:00.0,,,52-46,,Defensive rebound by J. Okafor
10:54.0,,,52-46,,R. Holmes misses 2-pt shot from 3 ft (block by P. Gasol)
10:51.0,Defensive rebound by N. Mirotic,,52-46,,
10:46.0,D. McDermott misses 3-pt shot from 26 ft,,52-46,,
10:45.0,,,52-46,,Defensive rebound by Team
10:26.0,,,52-46,,Turnover by T. McConnell (bad pass; steal by N. Mirotic)
10:18.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,55-46,,
10:06.0,,,55-46,,J. Okafor misses 2-pt shot from 16 ft
10:04.0,Defensive rebound by N. Mirotic,,55-46,,
10:00.0,Turnover by N. Mirotic (bad pass),,55-46,,
9:45.0,,,55-48,2,J. Okafor makes 2-pt shot from 4 ft
9:34.0,Shooting foul by R. Holmes (drawn by N. Mirotic),,55-48,,
9:34.0,N. Mirotic misses free throw 1 of 2,,55-48,,
9:34.0,Offensive rebound by Team,,55-48,,
9:34.0,N. Mirotic misses free throw 2 of 2,,55-48,,
9:32.0,,,55-48,,Defensive rebound by J. Okafor
9:23.0,,,55-50,2,J. Okafor makes 2-pt shot from 2 ft (assist by R. Holmes)
9:09.0,P. Gasol misses 2-pt shot from 20 ft,,55-50,,
9:07.0,,,55-50,,Defensive rebound by N. Stauskas
8:59.0,,,55-50,,Turnover by J. Grant (lost ball; steal by N. Mirotic)
8:49.0,D. Rose misses 2-pt shot from 5 ft (block by T. McConnell),,55-50,,
8:46.0,Offensive rebound by D. Rose,,55-50,,
8:45.0,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose),2,57-50,,
8:27.0,,,57-52,2,J. Okafor makes 2-pt shot from 13 ft
8:06.0,N. Mirotic misses 2-pt shot from 15 ft,,57-52,,
8:04.0,,,57-52,,Defensive rebound by N. Stauskas
7:55.0,,,57-52,,J. Okafor misses 2-pt shot from 13 ft
7:53.0,Defensive rebound by N. Mirotic,,57-52,,
7:45.0,D. McDermott makes 3-pt shot from 26 ft (assist by D. Rose),3,60-52,,
7:45.0,Shooting foul by R. Holmes (drawn by D. McDermott),,60-52,,
7:45.0,,,60-52,,C. Wood enters the game for R. Holmes
7:45.0,D. McDermott makes free throw 1 of 1,1,61-52,,
7:27.0,,,61-52,,N. Stauskas misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by N. Mirotic,,61-52,,
7:16.0,D. Rose makes 2-pt shot from 2 ft,2,63-52,,
7:14.0,,,63-52,,Philadelphia full timeout
7:14.0,,,63-52,,J. Sampson enters the game for J. Okafor
6:51.0,,,63-52,,T. McConnell misses 2-pt shot from 9 ft
6:49.0,Defensive rebound by J. Butler,,63-52,,
6:35.0,D. Rose misses 2-pt shot from 17 ft,,63-52,,
6:33.0,,,63-52,,Defensive rebound by J. Sampson
6:24.0,,,63-52,,J. Grant misses 3-pt shot from 27 ft
6:21.0,Defensive rebound by D. Rose,,63-52,,
6:15.0,D. McDermott misses 2-pt shot from 12 ft,,63-52,,
6:14.0,,,63-52,,Defensive rebound by C. Wood
6:02.0,,,63-52,,C. Wood misses 2-pt shot from 3 ft (block by P. Gasol)
5:59.0,Defensive rebound by J. Butler,,63-52,,
5:51.0,Offensive charge foul by N. Mirotic,,63-52,,
5:51.0,Turnover by N. Mirotic (offensive foul),,63-52,,
5:51.0,,,63-52,,H. Thompson enters the game for T. McConnell
5:51.0,,,63-52,,I. Canaan enters the game for N. Stauskas
5:29.0,,,63-52,,C. Wood misses 2-pt shot from 13 ft
5:28.0,,,63-52,,Offensive rebound by J. Sampson
5:14.0,,,63-52,,J. Sampson misses 3-pt shot from 27 ft
5:12.0,Defensive rebound by J. Butler,,63-52,,
4:56.0,P. Gasol misses 2-pt shot from 4 ft,,63-52,,
4:55.0,,,63-52,,Defensive rebound by Team
4:55.0,T. Snell enters the game for D. McDermott,,63-52,,
4:43.0,,,63-52,,C. Wood misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by P. Gasol,,63-52,,
4:37.0,Turnover by D. Rose (traveling),,63-52,,
4:37.0,T. Gibson enters the game for P. Gasol,,63-52,,
4:37.0,Violation by Team (delay of game),,63-52,,
4:26.0,,,63-52,,J. Grant misses 2-pt shot from 8 ft
4:24.0,Defensive rebound by N. Mirotic,,63-52,,
4:10.0,D. Rose misses 3-pt shot from 22 ft,,63-52,,
4:08.0,,,63-52,,Defensive rebound by I. Canaan
4:01.0,,,63-52,,Turnover by J. Sampson (lost ball)
4:01.0,,,63-52,,J. Okafor enters the game for J. Grant
4:01.0,A. Brooks enters the game for D. Rose,,63-52,,
3:46.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler),3,66-52,,
3:31.0,,,66-52,,I. Canaan misses 2-pt shot from 17 ft
3:29.0,Defensive rebound by A. Brooks,,66-52,,
3:23.0,N. Mirotic misses 3-pt shot from 27 ft,,66-52,,
3:21.0,,,66-52,,Defensive rebound by J. Sampson
3:08.0,,,66-52,,J. Okafor misses 2-pt shot from 15 ft
3:06.0,Defensive rebound by T. Gibson,,66-52,,
2:57.0,Turnover by T. Snell (step out of bounds),,66-52,,
2:57.0,Chicago full timeout,,66-52,,
2:57.0,E. Moore enters the game for J. Butler,,66-52,,
2:57.0,,,66-52,,P. Pressey enters the game for J. Sampson
2:57.0,,,66-52,,R. Holmes enters the game for C. Wood
2:36.0,,,66-54,2,J. Okafor makes 2-pt shot from 15 ft
2:36.0,,,66-54,,Shooting foul by T. Gibson (drawn by J. Okafor)
2:36.0,,,66-55,1,J. Okafor makes free throw 1 of 1
2:23.0,A. Brooks misses 2-pt shot from 8 ft,,66-55,,
2:23.0,,,66-55,,Defensive rebound by Team
2:23.0,Loose ball foul by T. Gibson (drawn by R. Holmes),,66-55,,
2:12.0,,,66-55,,Turnover by P. Pressey (bad pass; steal by T. Gibson)
1:58.0,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Brooks),3,69-55,,
1:47.0,,,69-57,2,J. Okafor makes 2-pt shot from 6 ft (assist by P. Pressey)
1:33.0,Shooting foul by R. Holmes (drawn by N. Mirotic),,69-57,,
1:33.0,N. Mirotic makes free throw 1 of 3,1,70-57,,
1:33.0,N. Mirotic makes free throw 2 of 3,1,71-57,,
1:33.0,N. Mirotic makes free throw 3 of 3,1,72-57,,
1:22.0,,,72-60,3,P. Pressey makes 3-pt shot from 25 ft
1:02.0,T. Gibson makes 2-pt shot from 16 ft (assist by T. Snell),2,74-60,,
0:53.0,,,74-60,,R. Holmes misses 3-pt shot from 26 ft
0:51.0,,,74-60,,Offensive rebound by J. Okafor
0:50.0,,,74-62,2,J. Okafor makes 2-pt shot from 2 ft
0:42.0,,,74-62,,Personal foul by P. Pressey (drawn by A. Brooks)
0:42.0,A. Brooks makes free throw 1 of 2,1,75-62,,
0:42.0,,,75-62,,N. Stauskas enters the game for R. Holmes
0:42.0,A. Brooks makes free throw 2 of 2,1,76-62,,
0:33.0,,,76-62,,I. Canaan misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by T. Snell,,76-62,,
0:12.0,T. Gibson misses 2-pt shot from 10 ft,,76-62,,
0:10.0,,,76-62,,Defensive rebound by N. Stauskas
0:01.0,,,76-62,,H. Thompson misses 3-pt shot from 22 ft
0:00.0,,,76-62,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,N. Mirotic makes 2-pt shot from 23 ft (assist by E. Moore),2,78-62,,
11:26.0,,,78-64,2,P. Pressey makes 2-pt shot from 1 ft (assist by J. Okafor)
11:04.0,Turnover by N. Mirotic (bad pass),,78-64,,
10:56.0,,,78-66,2,P. Pressey makes 2-pt shot from 18 ft
10:34.0,N. Mirotic makes 2-pt shot from 4 ft (assist by T. Gibson),2,80-66,,
10:27.0,,,80-66,,H. Thompson misses 2-pt shot from 6 ft
10:25.0,,,80-66,,Offensive rebound by J. Okafor
10:25.0,,,80-66,,J. Okafor misses 2-pt shot from 2 ft
10:25.0,,,80-66,,Offensive rebound by J. Okafor
10:25.0,,,80-66,,Shooting foul by N. Mirotic (drawn by J. Okafor)
10:25.0,,,80-67,1,J. Okafor makes free throw 1 of 2
10:25.0,P. Gasol enters the game for N. Mirotic,,80-67,,
10:25.0,,,80-67,,J. Grant enters the game for H. Thompson
10:25.0,,,80-67,,J. Okafor misses free throw 2 of 2
10:22.0,Defensive rebound by T. Snell,,80-67,,
10:15.0,A. Brooks makes 2-pt shot from 5 ft,2,82-67,,
10:04.0,,,82-67,,N. Stauskas misses 2-pt shot from 3 ft
10:03.0,Defensive rebound by A. Brooks,,82-67,,
9:57.0,Shooting foul by J. Grant (drawn by T. Snell),,82-67,,
9:57.0,T. Snell makes free throw 1 of 2,1,83-67,,
9:57.0,T. Snell makes free throw 2 of 2,1,84-67,,
9:46.0,,,84-67,,Turnover by P. Pressey (bad pass; steal by T. Gibson)
9:42.0,E. Moore makes 2-pt shot at rim (assist by A. Brooks),2,86-67,,
9:42.0,,,86-67,,Philadelphia full timeout
9:26.0,,,86-67,,J. Okafor misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by P. Gasol,,86-67,,
9:06.0,T. Snell misses 2-pt shot from 4 ft,,86-67,,
9:04.0,Offensive rebound by Team,,86-67,,
9:04.0,,,86-67,,T. McConnell enters the game for P. Pressey
9:01.0,T. Snell makes 2-pt shot from 8 ft (assist by A. Brooks),2,88-67,,
8:39.0,,,88-69,2,J. Okafor makes 2-pt shot from 8 ft
8:23.0,P. Gasol misses 2-pt shot from 6 ft (block by J. Grant),,88-69,,
8:21.0,Offensive rebound by T. Gibson,,88-69,,
8:16.0,E. Moore makes 3-pt shot from 23 ft (assist by T. Snell),3,91-69,,
7:56.0,,,91-71,2,T. McConnell makes 2-pt shot from 13 ft
7:42.0,P. Gasol makes 2-pt shot from 3 ft (assist by A. Brooks),2,93-71,,
7:30.0,,,93-71,,J. Okafor misses 2-pt shot from 10 ft
