time,Indiana,pts.away,score,pts.home,Atlanta
8:09.0,,,2-14,3,J. Teague makes 3-pt shot from 24 ft
7:52.0,Turnover by P. George (lost ball; steal by K. Bazemore),,2-14,,
7:47.0,,,2-14,,K. Bazemore misses 2-pt shot at rim
7:45.0,,,2-14,,Offensive rebound by A. Horford
7:45.0,,,2-16,2,A. Horford makes 2-pt shot at rim
7:30.0,P. George makes 3-pt shot from 23 ft (assist by G. Hill),3,5-16,,
7:16.0,,,5-16,,K. Korver misses 2-pt shot from 9 ft
7:13.0,Defensive rebound by I. Mahinmi,,5-16,,
7:04.0,M. Turner misses 2-pt shot from 1 ft,,5-16,,
7:02.0,,,5-16,,Defensive rebound by K. Korver
6:53.0,,,5-18,2,A. Horford makes 2-pt shot from 3 ft (assist by P. Millsap)
6:36.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by P. George),2,7-18,,
6:24.0,,,7-21,3,K. Bazemore makes 3-pt shot from 22 ft (assist by J. Teague)
6:09.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,9-21,,
5:55.0,,,9-21,,Turnover by J. Teague (lost ball; steal by P. George)
5:55.0,,,9-21,,Personal foul by J. Teague
5:55.0,,,9-21,,T. Sefolosha enters the game for K. Bazemore
5:41.0,P. George misses 2-pt shot from 17 ft,,9-21,,
5:39.0,,,9-21,,Defensive rebound by T. Sefolosha
5:33.0,,,9-21,,K. Korver misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by M. Turner,,9-21,,
5:22.0,,,9-21,,Personal foul by K. Korver
5:22.0,R. Stuckey enters the game for G. Hill,,9-21,,
5:09.0,Turnover by R. Stuckey (lost ball; steal by T. Sefolosha),,9-21,,
5:04.0,,,9-23,2,T. Sefolosha makes 2-pt shot at rim
5:04.0,Indiana full timeout,,9-23,,
4:52.0,M. Turner makes 2-pt shot from 2 ft (assist by P. George),2,11-23,,
4:52.0,Shooting foul by P. Millsap (drawn by M. Turner),,11-23,,
4:52.0,M. Turner makes free throw 1 of 1,1,12-23,,
4:45.0,,,12-23,,J. Teague misses 2-pt shot from 9 ft
4:42.0,Defensive rebound by I. Mahinmi,,12-23,,
4:38.0,Shooting foul by J. Teague (drawn by M. Ellis),,12-23,,
4:38.0,M. Ellis makes free throw 1 of 2,1,13-23,,
4:38.0,,,13-23,,D. Schroder enters the game for J. Teague
4:38.0,,,13-23,,K. Bazemore enters the game for K. Korver
4:38.0,,,13-23,,K. Humphries enters the game for A. Horford
4:38.0,M. Ellis misses free throw 2 of 2,,13-23,,
4:37.0,,,13-23,,Defensive rebound by T. Sefolosha
4:20.0,,,13-23,,P. Millsap misses 3-pt shot from 22 ft
4:17.0,Defensive rebound by M. Turner,,13-23,,
4:10.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,15-23,,
4:06.0,,,15-23,,Atlanta full timeout
4:06.0,L. Allen enters the game for M. Turner,,15-23,,
3:53.0,,,15-23,,K. Humphries misses 2-pt shot from 19 ft
3:52.0,Defensive rebound by P. George,,15-23,,
3:38.0,R. Stuckey makes 2-pt shot from 1 ft,2,17-23,,
3:24.0,,,17-23,,Turnover by K. Bazemore (lost ball; steal by R. Stuckey)
3:17.0,M. Ellis misses 2-pt shot from 1 ft (block by P. Millsap),,17-23,,
3:14.0,,,17-23,,Defensive rebound by P. Millsap
3:10.0,,,17-26,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by D. Schroder)
2:58.0,P. George misses 3-pt shot from 24 ft,,17-26,,
2:57.0,,,17-26,,Defensive rebound by K. Humphries
2:45.0,,,17-26,,P. Millsap misses 2-pt shot from 1 ft (block by L. Allen)
2:43.0,Defensive rebound by I. Mahinmi,,17-26,,
2:38.0,R. Stuckey misses 3-pt shot from 23 ft,,17-26,,
2:36.0,,,17-26,,Defensive rebound by K. Humphries
2:29.0,,,17-26,,D. Schroder misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by I. Mahinmi,,17-26,,
2:10.0,Turnover by L. Allen (lost ball; steal by K. Bazemore),,17-26,,
2:05.0,,,17-28,2,K. Bazemore makes 2-pt shot from 1 ft
1:43.0,Turnover by R. Stuckey (lost ball; steal by P. Millsap),,17-28,,
1:38.0,Personal foul by M. Ellis,,17-28,,
1:38.0,,,17-28,,A. Horford enters the game for P. Millsap
1:38.0,,,17-28,,T. Hardaway enters the game for K. Bazemore
1:38.0,J. Hill enters the game for I. Mahinmi,,17-28,,
1:38.0,C. Miles enters the game for R. Stuckey,,17-28,,
1:32.0,,,17-28,,A. Horford misses 2-pt shot from 19 ft
1:31.0,,,17-28,,Offensive rebound by Team
1:31.0,Loose ball foul by P. George,,17-28,,
1:31.0,Violation by Team (jump ball),,17-28,,
1:31.0,,,17-29,1,T. Sefolosha makes free throw 1 of 2
1:31.0,,,17-30,1,T. Sefolosha makes free throw 2 of 2
1:14.0,P. George misses 2-pt shot from 12 ft,,17-30,,
1:13.0,,,17-30,,Defensive rebound by T. Hardaway
0:56.0,,,17-30,,Turnover by K. Humphries (lost ball)
0:41.0,P. George misses 2-pt shot from 19 ft,,17-30,,
0:40.0,,,17-30,,Defensive rebound by T. Hardaway
0:32.0,,,17-30,,D. Schroder misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by Team,,17-30,,
0:11.0,Turnover by J. Hill (traveling),,17-30,,
0:11.0,,,17-30,,M. Scott enters the game for K. Humphries
0:11.0,,,17-30,,K. Korver enters the game for T. Sefolosha
0:01.0,,,17-30,,K. Korver misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by J. Hill,,17-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,17-32,2,D. Schroder makes 2-pt shot from 1 ft (assist by T. Sefolosha)
11:32.0,J. Hill makes 2-pt shot at rim (assist by C. Miles),2,19-32,,
11:16.0,,,19-34,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
11:06.0,Offensive charge foul by C. Miles,,19-34,,
11:06.0,Turnover by C. Miles (offensive foul),,19-34,,
11:06.0,,,19-34,,K. Korver enters the game for T. Sefolosha
10:46.0,,,19-34,,K. Korver misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by J. Hill,,19-34,,
10:33.0,Turnover by G. Hill (lost ball; steal by D. Schroder),,19-34,,
10:29.0,,,19-34,,Turnover by D. Schroder (lost ball; steal by G. Hill)
10:23.0,S. Hill misses 3-pt shot from 23 ft,,19-34,,
10:21.0,,,19-34,,Defensive rebound by K. Korver
10:13.0,Personal foul by S. Hill,,19-34,,
9:59.0,,,19-34,,A. Horford misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by L. Allen,,19-34,,
9:42.0,G. Hill misses 2-pt shot from 4 ft,,19-34,,
9:41.0,Offensive rebound by G. Hill,,19-34,,
9:37.0,G. Hill makes 2-pt shot from 8 ft,2,21-34,,
9:25.0,,,21-37,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
9:04.0,J. Hill misses 2-pt shot from 14 ft,,21-37,,
9:02.0,Offensive rebound by G. Hill,,21-37,,
9:01.0,G. Hill makes 2-pt shot at rim,2,23-37,,
8:41.0,,,23-37,,Turnover by M. Scott (bad pass)
8:41.0,Official timeout,,23-37,,
8:38.0,,,23-37,,Personal foul by D. Schroder
8:29.0,,,23-37,,Personal foul by T. Hardaway
8:17.0,C. Miles misses 2-pt shot at rim,,23-37,,
8:16.0,Offensive rebound by L. Allen,,23-37,,
8:16.0,Shooting foul by K. Korver (drawn by L. Allen),,23-37,,
8:16.0,L. Allen misses free throw 1 of 2,,23-37,,
8:16.0,Offensive rebound by Team,,23-37,,
8:16.0,L. Allen makes free throw 2 of 2,1,24-37,,
8:12.0,,,24-37,,Shooting foul by L. Allen (drawn by T. Hardaway)
8:12.0,,,24-38,1,T. Hardaway makes free throw 1 of 2
8:12.0,,,24-38,,K. Humphries enters the game for A. Horford
8:12.0,,,24-38,,J. Teague enters the game for D. Schroder
8:12.0,,,24-39,1,T. Hardaway makes free throw 2 of 2
7:52.0,J. Hill misses 2-pt shot from 12 ft,,24-39,,
7:51.0,,,24-39,,Defensive rebound by K. Humphries
7:35.0,,,24-39,,T. Hardaway misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by S. Hill,,24-39,,
7:27.0,S. Hill misses 2-pt shot from 1 ft (block by K. Humphries),,24-39,,
7:25.0,Offensive rebound by J. Hill,,24-39,,
7:22.0,C. Miles misses 3-pt shot from 25 ft,,24-39,,
7:22.0,,,24-39,,Defensive rebound by Team
7:22.0,Loose ball foul by S. Hill,,24-39,,
7:22.0,,,24-39,,P. Millsap enters the game for M. Scott
7:14.0,,,24-39,,K. Korver misses 2-pt shot from 19 ft
7:12.0,,,24-39,,Offensive rebound by P. Millsap
6:52.0,,,24-39,,K. Korver misses 3-pt shot from 23 ft
6:50.0,Defensive rebound by G. Hill,,24-39,,
6:41.0,,,24-39,,Def 3 sec tech foul by P. Millsap
6:41.0,G. Hill makes technical free throw,1,25-39,,
6:41.0,M. Turner enters the game for L. Allen,,25-39,,
6:33.0,C. Miles makes 2-pt shot from 16 ft (assist by J. Hill),2,27-39,,
6:15.0,,,27-41,2,P. Millsap makes 2-pt shot from 2 ft (assist by T. Hardaway)
5:55.0,Turnover by J. Hill (lost ball; steal by T. Hardaway),,27-41,,
5:53.0,,,27-41,,Turnover by T. Hardaway (lost ball; steal by S. Hill)
5:49.0,C. Miles makes 3-pt shot from 23 ft (assist by S. Hill),3,30-41,,
5:48.0,,,30-41,,Atlanta full timeout
5:48.0,M. Ellis enters the game for G. Hill,,30-41,,
5:39.0,,,30-41,,P. Millsap misses 2-pt shot from 3 ft
5:38.0,Defensive rebound by M. Turner,,30-41,,
5:18.0,Turnover by M. Ellis (lost ball; steal by P. Millsap),,30-41,,
5:12.0,,,30-41,,J. Teague misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by M. Ellis,,30-41,,
5:04.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,32-41,,
4:54.0,,,32-41,,Shooting foul by M. Ellis (drawn by J. Teague)
4:54.0,,,32-41,,J. Teague misses free throw 1 of 2
4:54.0,,,32-41,,Offensive rebound by Team
4:54.0,,,32-41,,A. Horford enters the game for K. Humphries
4:54.0,,,32-41,,K. Bazemore enters the game for T. Hardaway
4:54.0,P. George enters the game for S. Hill,,32-41,,
4:54.0,,,32-42,1,J. Teague makes free throw 2 of 2
4:40.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,34-42,,
4:13.0,,,34-42,,Turnover by K. Korver (lost ball; steal by M. Turner)
4:07.0,M. Ellis makes 2-pt shot at rim,2,36-42,,
3:42.0,,,36-42,,P. Millsap misses 2-pt shot from 17 ft
3:41.0,,,36-42,,Offensive rebound by Team
3:36.0,,,36-45,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
3:36.0,Indiana full timeout,,36-45,,
3:36.0,,,36-45,,T. Sefolosha enters the game for K. Korver
3:36.0,I. Mahinmi enters the game for J. Hill,,36-45,,
3:31.0,Turnover by M. Ellis (lost ball; steal by J. Teague),,36-45,,
3:09.0,,,36-45,,P. Millsap misses 2-pt shot from 3 ft
3:08.0,,,36-45,,Offensive rebound by T. Sefolosha
3:06.0,,,36-45,,T. Sefolosha misses 2-pt shot from 15 ft
3:06.0,,,36-45,,Offensive rebound by Team
3:06.0,,,36-45,,Turnover by Team (shot clock)
2:50.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by P. George),2,38-45,,
2:33.0,,,38-45,,J. Teague misses 2-pt shot from 1 ft (block by I. Mahinmi)
2:33.0,,,38-45,,Offensive rebound by Team
2:33.0,G. Hill enters the game for C. Miles,,38-45,,
2:25.0,,,38-47,2,A. Horford makes 2-pt shot from 16 ft (assist by T. Sefolosha)
2:14.0,,,38-47,,Violation by T. Sefolosha (kicked ball)
2:08.0,P. George misses 2-pt shot from 19 ft (block by T. Sefolosha),,38-47,,
2:05.0,,,38-47,,Defensive rebound by T. Sefolosha
1:53.0,,,38-50,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
1:38.0,,,38-50,,Personal foul by K. Bazemore
1:28.0,M. Turner misses 2-pt shot from 16 ft,,38-50,,
1:26.0,,,38-50,,Defensive rebound by Team
1:26.0,,,38-50,,K. Korver enters the game for K. Bazemore
1:26.0,R. Stuckey enters the game for M. Ellis,,38-50,,
1:12.0,,,38-50,,A. Horford misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by I. Mahinmi,,38-50,,
0:54.0,M. Turner misses 2-pt shot from 7 ft,,38-50,,
0:52.0,Offensive rebound by I. Mahinmi,,38-50,,
0:52.0,I. Mahinmi misses 2-pt shot at rim (block by P. Millsap),,38-50,,
0:50.0,,,38-50,,Defensive rebound by K. Korver
0:43.0,,,38-50,,D. Schroder enters the game for J. Teague
0:37.0,,,38-52,2,D. Schroder makes 2-pt shot at rim (assist by P. Millsap)
0:26.0,P. George misses 2-pt shot from 18 ft,,38-52,,
0:24.0,Offensive rebound by Team,,38-52,,
0:24.0,,,38-52,,T. Hardaway enters the game for K. Korver
0:01.0,P. George misses 2-pt shot from 2 ft (block by P. Millsap),,38-52,,
0:00.0,Offensive rebound by Team,,38-52,,
0:00.0,Turnover by Team (shot clock),,38-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Jump ball: A. Horford vs. M. Turner (P. Millsap gains possession),,,,Jump ball: A. Horford vs. M. Turner (P. Millsap gains possession)
11:36.0,,,38-55,3,K. Bazemore makes 3-pt shot from 22 ft (assist by J. Teague)
11:17.0,M. Ellis makes 2-pt shot from 11 ft,2,40-55,,
11:01.0,,,40-55,,K. Korver misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by M. Ellis,,40-55,,
10:54.0,M. Ellis makes 2-pt shot at rim,2,42-55,,
10:36.0,,,42-55,,Turnover by K. Bazemore (lost ball; steal by M. Ellis)
10:28.0,P. George makes 2-pt shot from 9 ft,2,44-55,,
10:10.0,,,44-57,2,P. Millsap makes 2-pt shot from 14 ft
9:51.0,M. Turner makes 2-pt shot from 13 ft (assist by P. George),2,46-57,,
9:38.0,,,46-59,2,P. Millsap makes 2-pt shot from 20 ft
9:24.0,M. Ellis misses 3-pt shot from 24 ft,,46-59,,
9:23.0,,,46-59,,Defensive rebound by A. Horford
9:07.0,,,46-59,,A. Horford misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by G. Hill,,46-59,,
8:58.0,M. Ellis makes 3-pt shot from 23 ft (assist by G. Hill),3,49-59,,
8:56.0,,,49-59,,Atlanta full timeout
8:49.0,,,49-59,,Turnover by K. Korver (lost ball; steal by P. George)
8:49.0,Jump ball: P. George vs. K. Korver (M. Turner gains possession),,,,Jump ball: P. George vs. K. Korver (M. Turner gains possession)
8:36.0,P. George misses 2-pt shot from 9 ft (block by K. Korver),,49-59,,
8:36.0,Offensive rebound by Team,,49-59,,
8:32.0,P. George misses 2-pt shot from 8 ft,,49-59,,
8:31.0,Offensive rebound by M. Ellis,,49-59,,
8:27.0,P. George misses 3-pt shot from 24 ft,,49-59,,
8:25.0,,,49-59,,Defensive rebound by K. Bazemore
8:21.0,,,49-59,,Offensive charge foul by K. Bazemore
8:21.0,,,49-59,,Turnover by K. Bazemore (offensive foul)
8:07.0,P. George makes 2-pt shot from 11 ft (assist by M. Ellis),2,51-59,,
7:44.0,,,51-59,,Turnover by J. Teague (lost ball; steal by M. Turner)
7:39.0,P. George misses 3-pt shot from 25 ft,,51-59,,
7:36.0,,,51-59,,Defensive rebound by A. Horford
7:31.0,,,51-59,,K. Korver misses 3-pt shot from 23 ft
7:29.0,,,51-59,,Offensive rebound by P. Millsap
7:17.0,,,51-61,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
6:56.0,M. Ellis misses 2-pt shot from 19 ft,,51-61,,
6:55.0,,,51-61,,Defensive rebound by K. Bazemore
6:35.0,,,51-64,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
6:17.0,M. Turner misses 2-pt shot from 13 ft,,51-64,,
6:15.0,,,51-64,,Defensive rebound by A. Horford
6:06.0,,,51-67,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague)
6:05.0,Indiana full timeout,,51-67,,
6:05.0,,,51-67,,T. Sefolosha enters the game for K. Bazemore
5:51.0,M. Ellis misses 2-pt shot from 1 ft,,51-67,,
5:50.0,,,51-67,,Defensive rebound by P. Millsap
5:30.0,,,51-69,2,P. Millsap makes 2-pt shot from 9 ft (assist by J. Teague)
5:20.0,G. Hill misses 3-pt shot from 24 ft,,51-69,,
5:19.0,,,51-69,,Defensive rebound by P. Millsap
5:10.0,,,51-71,2,J. Teague makes 2-pt shot from 1 ft
5:00.0,Turnover by M. Turner (lost ball; steal by P. Millsap),,51-71,,
4:51.0,Personal foul by M. Turner,,51-71,,
4:51.0,,,51-71,,K. Humphries enters the game for A. Horford
4:51.0,,,51-71,,D. Schroder enters the game for J. Teague
4:51.0,R. Stuckey enters the game for M. Turner,,51-71,,
4:51.0,L. Allen enters the game for I. Mahinmi,,51-71,,
4:51.0,J. Hill enters the game for G. Hill,,51-71,,
4:46.0,,,51-74,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
4:30.0,P. George misses 3-pt shot from 25 ft,,51-74,,
4:29.0,,,51-74,,Defensive rebound by D. Schroder
4:14.0,,,51-76,2,D. Schroder makes 2-pt shot from 1 ft
3:54.0,R. Stuckey misses 2-pt shot from 18 ft,,51-76,,
3:53.0,,,51-76,,Defensive rebound by K. Humphries
3:45.0,,,51-79,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
3:43.0,Indiana full timeout,,51-79,,
3:43.0,,,51-79,,T. Hardaway enters the game for K. Korver
3:43.0,C. Miles enters the game for P. George,,51-79,,
3:43.0,J. Young enters the game for M. Ellis,,51-79,,
3:24.0,,,51-79,,Personal foul by T. Sefolosha
3:10.0,J. Hill makes 2-pt shot from 11 ft (assist by J. Young),2,53-79,,
2:51.0,,,53-82,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by K. Humphries)
2:40.0,L. Allen misses 2-pt shot from 20 ft,,53-82,,
2:39.0,,,53-82,,Defensive rebound by K. Humphries
2:26.0,,,53-82,,K. Humphries misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by J. Hill,,53-82,,
2:18.0,Turnover by L. Allen (lost ball; steal by T. Hardaway),,53-82,,
2:09.0,,,53-84,2,D. Schroder makes 2-pt shot from 18 ft
1:48.0,J. Hill misses 2-pt shot from 18 ft,,53-84,,
1:47.0,,,53-84,,Defensive rebound by P. Millsap
1:35.0,,,53-84,,P. Millsap misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by J. Young,,53-84,,
1:25.0,J. Young misses 2-pt shot from 21 ft,,53-84,,
1:24.0,,,53-84,,Defensive rebound by P. Millsap
1:16.0,,,53-84,,T. Hardaway misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by C. Miles,,53-84,,
0:52.0,J. Hill misses 2-pt shot from 20 ft,,53-84,,
0:50.0,Offensive rebound by L. Allen,,53-84,,
0:47.0,C. Miles misses 3-pt shot from 25 ft,,53-84,,
0:45.0,,,53-84,,Defensive rebound by P. Millsap
0:30.0,,,53-87,3,K. Humphries makes 3-pt shot from 24 ft (assist by D. Schroder)
0:07.0,C. Miles makes 3-pt shot from 23 ft (assist by J. Young),3,56-87,,
0:02.0,,,56-87,,D. Schroder misses 2-pt shot from 1 ft
0:01.0,,,56-87,,Offensive rebound by T. Sefolosha
0:01.0,,,56-89,2,T. Sefolosha makes 2-pt shot at rim
0:01.0,C. Miles misses 3-pt shot from 31 ft,,56-89,,
0:00.0,Offensive rebound by Team,,56-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by L. Allen (back court),,56-89,,
11:26.0,,,56-89,,M. Scott misses 2-pt shot from 10 ft
11:23.0,Defensive rebound by L. Allen,,56-89,,
11:16.0,J. Young misses 2-pt shot at rim,,56-89,,
11:15.0,,,56-89,,Defensive rebound by M. Scott
11:15.0,Personal foul by J. Young,,56-89,,
11:04.0,,,56-89,,T. Hardaway misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by G. Robinson,,56-89,,
10:50.0,C. Miles misses 3-pt shot from 25 ft,,56-89,,
10:49.0,,,56-89,,Defensive rebound by K. Hinrich
10:26.0,,,56-89,,K. Hinrich misses 2-pt shot from 14 ft (block by G. Robinson)
10:24.0,Defensive rebound by G. Robinson,,56-89,,
10:12.0,G. Robinson makes 2-pt shot from 18 ft (assist by S. Hill),2,58-89,,
9:56.0,,,58-89,,M. Muscala misses 2-pt shot from 19 ft
9:54.0,,,58-89,,Offensive rebound by M. Scott
9:53.0,Personal foul by C. Miles,,58-89,,
9:34.0,Violation by S. Hill (kicked ball),,58-89,,
9:28.0,,,58-89,,M. Scott misses 2-pt shot from 15 ft
9:26.0,Defensive rebound by G. Robinson,,58-89,,
9:18.0,G. Robinson makes 2-pt shot from 19 ft (assist by S. Hill),2,60-89,,
8:54.0,,,60-89,,Turnover by K. Hinrich (step out of bounds)
8:54.0,Official timeout,,60-89,,
8:54.0,,,60-89,,K. Humphries enters the game for T. Hardaway
8:54.0,M. Turner enters the game for C. Miles,,60-89,,
8:38.0,J. Young misses 2-pt shot from 18 ft,,60-89,,
8:35.0,,,60-89,,Defensive rebound by M. Muscala
8:21.0,,,60-89,,D. Schroder misses 2-pt shot from 10 ft
8:19.0,,,60-89,,Offensive rebound by M. Muscala
8:17.0,,,60-91,2,M. Muscala makes 2-pt shot from 1 ft
7:54.0,M. Turner makes 2-pt shot from 20 ft (assist by S. Hill),2,62-91,,
7:40.0,,,62-91,,Turnover by D. Schroder (bad pass)
7:22.0,S. Hill misses 2-pt shot from 11 ft,,62-91,,
7:19.0,,,62-91,,Defensive rebound by D. Schroder
7:16.0,,,62-91,,M. Scott misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by M. Turner,,62-91,,
7:07.0,Offensive charge foul by J. Young,,62-91,,
7:07.0,Turnover by J. Young (offensive foul),,62-91,,
7:07.0,,,62-91,,T. Hardaway enters the game for D. Schroder
6:54.0,,,62-91,,Turnover by K. Hinrich (lost ball; steal by J. Young)
6:50.0,J. Young makes 2-pt shot at rim (assist by G. Robinson),2,64-91,,
6:31.0,,,64-93,2,K. Humphries makes 2-pt shot from 17 ft (assist by T. Hardaway)
6:16.0,M. Turner misses 2-pt shot from 20 ft,,64-93,,
6:15.0,,,64-93,,Defensive rebound by K. Hinrich
6:04.0,,,64-93,,T. Hardaway misses 2-pt shot from 7 ft (block by G. Robinson)
6:02.0,Defensive rebound by S. Hill,,64-93,,
5:47.0,,,64-93,,Personal foul by K. Humphries
5:47.0,,,64-93,,Atlanta full timeout
5:47.0,C. Miles enters the game for L. Allen,,64-93,,
5:41.0,Turnover by S. Hill (lost ball; steal by K. Humphries),,64-93,,
5:23.0,,,64-93,,K. Hinrich misses 3-pt shot from 24 ft
5:22.0,,,64-93,,Offensive rebound by M. Muscala
5:22.0,Personal foul by C. Miles,,64-93,,
5:06.0,,,64-95,2,M. Muscala makes 2-pt shot from 5 ft (assist by K. Humphries)
4:47.0,M. Turner makes 2-pt shot from 3 ft,2,66-95,,
4:47.0,Shooting foul by K. Hinrich (drawn by M. Turner),,66-95,,
4:47.0,M. Turner misses free throw 1 of 1,,66-95,,
4:45.0,,,66-95,,Defensive rebound by K. Humphries
4:27.0,,,66-95,,Shooting foul by J. Young (drawn by M. Scott)
4:27.0,,,66-96,1,M. Scott makes free throw 1 of 2
4:27.0,,,66-97,1,M. Scott makes free throw 2 of 2
4:12.0,S. Hill makes 2-pt shot at rim (assist by J. Young),2,68-97,,
3:44.0,,,68-97,,Turnover by M. Scott (bad pass)
3:34.0,M. Turner misses 3-pt shot from 24 ft,,68-97,,
3:32.0,,,68-97,,Defensive rebound by K. Humphries
3:23.0,,,68-99,2,K. Humphries makes 2-pt shot from 14 ft (assist by K. Hinrich)
3:02.0,M. Turner makes 2-pt shot from 7 ft,2,70-99,,
2:48.0,,,70-99,,M. Muscala misses 2-pt shot from 17 ft
2:47.0,Defensive rebound by M. Turner,,70-99,,
2:35.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Young),2,72-99,,
2:28.0,,,72-99,,Atlanta full timeout
2:28.0,Indiana full timeout,,72-99,,
2:28.0,L. Allen enters the game for M. Turner,,72-99,,
2:20.0,,,72-102,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Hinrich)
2:03.0,C. Miles misses 3-pt shot from 24 ft,,72-102,,
2:03.0,,,72-102,,Defensive rebound by Team
1:38.0,,,72-102,,Turnover by Team (shot clock)
1:29.0,G. Robinson makes 3-pt shot from 25 ft (assist by L. Allen),3,75-102,,
1:09.0,,,75-102,,M. Scott misses 2-pt shot from 7 ft
1:09.0,,,75-102,,Offensive rebound by M. Muscala
1:09.0,,,75-104,2,M. Muscala makes 2-pt shot at rim
0:59.0,J. Young misses 2-pt shot from 18 ft,,75-104,,
0:57.0,,,75-104,,Defensive rebound by M. Muscala
0:48.0,,,75-104,,K. Humphries misses 2-pt shot from 7 ft
0:47.0,Defensive rebound by J. Young,,75-104,,
0:40.0,G. Robinson misses 3-pt shot from 24 ft,,75-104,,
0:39.0,,,75-104,,Defensive rebound by M. Scott
0:16.0,,,75-104,,M. Scott misses 3-pt shot from 23 ft
0:15.0,Defensive rebound by J. Young,,75-104,,
