time,Houston,pts.away,score,pts.home,Milwaukee
2:04.0,,,24-26,,G. Monroe misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by D. Motiejunas,,24-26,,
1:57.0,C. Brewer misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,24-26,,
1:54.0,Offensive rebound by D. Motiejunas,,24-26,,
1:50.0,J. Harden misses 2-pt shot from 1 ft,,24-26,,
1:50.0,,,24-26,,Defensive rebound by G. Antetokounmpo
1:44.0,,,24-26,,Turnover by G. Antetokounmpo (bad pass; steal by T. Lawson)
1:33.0,T. Lawson misses 3-pt shot from 24 ft,,24-26,,
1:31.0,,,24-26,,Defensive rebound by G. Antetokounmpo
1:21.0,,,24-28,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
1:21.0,Houston full timeout,,24-28,,
1:21.0,D. Howard enters the game for J. Harden,,24-28,,
1:21.0,J. Terry enters the game for D. Motiejunas,,24-28,,
0:58.0,T. Jones misses 2-pt shot from 16 ft,,24-28,,
0:57.0,,,24-28,,Defensive rebound by G. Antetokounmpo
0:52.0,,,24-28,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by C. Brewer,,24-28,,
0:44.0,J. Terry misses 3-pt shot from 25 ft,,24-28,,
0:40.0,,,24-28,,Defensive rebound by G. Antetokounmpo
0:31.0,,,24-30,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:08.0,T. Jones makes 2-pt shot from 8 ft (assist by T. Lawson),2,26-30,,
0:02.0,,,26-30,,Shooting foul by J. Terry (drawn by K. Middleton)
0:02.0,,,26-31,1,K. Middleton makes free throw 1 of 2
0:02.0,,,26-31,,J. O'Bryant enters the game for J. Parker
0:02.0,,,26-31,,R. Vaughn enters the game for G. Antetokounmpo
0:02.0,,,26-32,1,K. Middleton makes free throw 2 of 2
0:00.0,C. Brewer misses 3-pt shot from 47 ft,,26-32,,
0:00.0,Offensive rebound by Team,,26-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Terry (bad pass; steal by G. Antetokounmpo),,26-32,,
11:34.0,,,26-32,,G. Antetokounmpo misses 3-pt shot from 23 ft
11:33.0,,,26-32,,Offensive rebound by J. Bayless
11:28.0,,,26-34,2,R. Vaughn makes 2-pt shot from 14 ft (assist by J. Bayless)
11:04.0,J. Terry misses 2-pt shot from 16 ft,,26-34,,
11:02.0,Offensive rebound by D. Howard,,26-34,,
11:02.0,Shooting foul by G. Monroe (drawn by D. Howard),,26-34,,
11:02.0,D. Howard misses free throw 1 of 2,,26-34,,
11:02.0,Offensive rebound by Team,,26-34,,
11:02.0,D. Howard misses free throw 2 of 2,,26-34,,
11:01.0,,,26-34,,Defensive rebound by G. Monroe
10:44.0,,,26-36,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Bayless)
10:35.0,Turnover by D. Howard (3 sec),,26-36,,
10:19.0,,,26-39,3,R. Vaughn makes 3-pt shot from 27 ft (assist by J. Bayless)
10:10.0,Houston full timeout,,26-39,,
10:10.0,J. Smith enters the game for T. Jones,,26-39,,
10:00.0,Turnover by T. Lawson (lost ball; steal by J. Bayless),,26-39,,
9:44.0,,,26-39,,G. Monroe misses 2-pt shot from 12 ft
9:43.0,Defensive rebound by D. Howard,,26-39,,
9:36.0,J. Smith misses 3-pt shot from 25 ft,,26-39,,
9:33.0,,,26-39,,Defensive rebound by G. Monroe
9:28.0,,,26-41,2,G. Antetokounmpo makes 2-pt shot from 2 ft
9:28.0,,,26-41,,Shooting foul by C. Brewer (drawn by G. Antetokounmpo)
9:28.0,T. Ariza enters the game for C. Brewer,,26-41,,
9:28.0,J. Harden enters the game for T. Lawson,,26-41,,
9:28.0,P. Beverley enters the game for J. Terry,,26-41,,
9:28.0,,,26-41,,G. Antetokounmpo misses free throw 1 of 1
9:26.0,Defensive rebound by D. Howard,,26-41,,
9:14.0,P. Beverley misses 2-pt shot from 4 ft,,26-41,,
9:12.0,Offensive rebound by J. Smith,,26-41,,
9:07.0,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza),3,29-41,,
8:56.0,,,29-43,2,R. Vaughn makes 2-pt shot from 18 ft (assist by J. O'Bryant)
8:40.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,31-43,,
8:23.0,,,31-43,,J. O'Bryant misses 2-pt shot from 19 ft
8:21.0,Defensive rebound by P. Beverley,,31-43,,
8:15.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith),3,34-43,,
8:14.0,,,34-43,,Milwaukee full timeout
8:14.0,,,34-43,,K. Middleton enters the game for J. O'Bryant
8:14.0,,,34-43,,J. Parker enters the game for G. Antetokounmpo
7:56.0,,,34-43,,J. Bayless misses 2-pt shot from 22 ft
7:54.0,Defensive rebound by T. Ariza,,34-43,,
7:51.0,Shooting foul by R. Vaughn (drawn by P. Beverley),,34-43,,
7:51.0,P. Beverley misses free throw 1 of 2,,34-43,,
7:51.0,Offensive rebound by Team,,34-43,,
7:51.0,P. Beverley makes free throw 2 of 2,1,35-43,,
7:43.0,,,35-43,,Turnover by J. Bayless (bad pass; steal by J. Harden)
7:38.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,37-43,,
7:23.0,,,37-45,2,J. Parker makes 2-pt shot from 21 ft (assist by R. Vaughn)
6:57.0,P. Beverley makes 2-pt shot from 21 ft (assist by T. Ariza),2,39-45,,
6:57.0,Shooting foul by J. Bayless (drawn by P. Beverley),,39-45,,
6:57.0,P. Beverley makes free throw 1 of 1,1,40-45,,
6:46.0,,,40-45,,J. Parker misses 2-pt shot from 7 ft
6:46.0,,,40-45,,Offensive rebound by Team
6:46.0,Loose ball foul by T. Ariza (drawn by G. Monroe),,40-45,,
6:41.0,,,40-45,,Shooting foul by D. Howard (drawn by J. Parker)
6:41.0,D. Motiejunas enters the game for D. Howard,,40-45,,
6:41.0,,,40-46,1,J. Parker makes free throw 1 of 2
6:41.0,,,40-47,1,J. Parker makes free throw 2 of 2
6:22.0,Shooting foul by G. Monroe (drawn by T. Ariza),,40-47,,
6:22.0,T. Ariza makes free throw 1 of 2,1,41-47,,
6:22.0,T. Ariza makes free throw 2 of 2,1,42-47,,
6:11.0,Def 3 sec tech foul by J. Smith,,42-47,,
6:11.0,,,42-48,1,K. Middleton makes technical free throw
6:03.0,,,42-48,,G. Monroe misses 2-pt shot from 1 ft
6:01.0,,,42-48,,Offensive rebound by G. Monroe
5:56.0,,,42-50,2,G. Monroe makes 2-pt shot from 1 ft
5:34.0,J. Harden makes 2-pt shot from 8 ft (assist by J. Smith),2,44-50,,
5:22.0,,,44-53,3,J. Bayless makes 3-pt shot from 24 ft (assist by J. Parker)
5:07.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,47-53,,
4:49.0,Personal foul by D. Motiejunas (drawn by G. Monroe),,47-53,,
4:42.0,,,47-53,,G. Monroe misses 2-pt shot from 16 ft
4:41.0,Defensive rebound by T. Ariza,,47-53,,
4:27.0,J. Harden makes 3-pt shot from 24 ft (assist by J. Smith),3,50-53,,
4:26.0,,,50-53,,Milwaukee full timeout
4:26.0,,,50-53,,O. Mayo enters the game for J. Bayless
4:26.0,,,50-53,,G. Antetokounmpo enters the game for R. Vaughn
4:26.0,,,50-53,,Violation by Team (delay of game)
4:23.0,Personal foul by T. Ariza (drawn by G. Antetokounmpo),,50-53,,
4:23.0,,,50-53,,G. Antetokounmpo misses free throw 1 of 2
4:23.0,,,50-53,,Offensive rebound by Team
4:23.0,,,50-53,,G. Antetokounmpo misses free throw 2 of 2
4:22.0,Defensive rebound by D. Motiejunas,,50-53,,
4:11.0,P. Beverley misses 2-pt shot from 4 ft,,50-53,,
4:09.0,,,50-53,,Defensive rebound by G. Monroe
3:54.0,,,50-55,2,K. Middleton makes 2-pt shot from 2 ft
3:45.0,J. Harden makes 2-pt shot from 1 ft,2,52-55,,
3:45.0,Shooting foul by G. Monroe (drawn by J. Harden),,52-55,,
3:45.0,,,52-55,,M. Plumlee enters the game for G. Monroe
3:45.0,D. Howard enters the game for J. Smith,,52-55,,
3:45.0,J. Harden makes free throw 1 of 1,1,53-55,,
3:33.0,,,53-55,,Turnover by O. Mayo (bad pass; steal by T. Ariza)
3:30.0,,,53-55,,Personal foul by G. Antetokounmpo (drawn by D. Motiejunas)
3:30.0,D. Motiejunas makes free throw 1 of 2,1,54-55,,
3:30.0,D. Motiejunas makes free throw 2 of 2,1,55-55,,
3:11.0,,,55-55,,O. Mayo misses 2-pt shot from 12 ft
3:09.0,,,55-55,,Offensive rebound by M. Plumlee
3:09.0,,,55-55,,M. Plumlee misses 2-pt shot at rim
3:08.0,Defensive rebound by T. Ariza,,55-55,,
2:53.0,P. Beverley misses 3-pt shot from 23 ft,,55-55,,
2:52.0,Offensive rebound by T. Ariza,,55-55,,
2:48.0,P. Beverley misses 3-pt shot from 24 ft,,55-55,,
2:47.0,,,55-55,,Defensive rebound by G. Antetokounmpo
2:39.0,,,55-57,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:15.0,T. Ariza makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,58-57,,
2:00.0,,,58-57,,J. Parker misses 2-pt shot from 22 ft
1:58.0,Defensive rebound by D. Howard,,58-57,,
1:52.0,J. Harden makes 2-pt shot from 1 ft,2,60-57,,
1:37.0,,,60-57,,Turnover by J. Parker (bad pass; steal by J. Harden)
1:35.0,Turnover by P. Beverley (dbl dribble),,60-57,,
1:35.0,Official timeout,,60-57,,
1:30.0,,,60-59,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Parker)
1:11.0,Turnover by J. Harden (bad pass; steal by G. Antetokounmpo),,60-59,,
1:06.0,,,60-61,2,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:55.0,Turnover by J. Harden (lost ball; steal by J. Parker),,60-61,,
0:51.0,,,60-63,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
0:41.0,Shooting foul by K. Middleton (drawn by D. Motiejunas),,60-63,,
0:41.0,D. Motiejunas misses free throw 1 of 2,,60-63,,
0:41.0,Offensive rebound by Team,,60-63,,
0:41.0,D. Motiejunas makes free throw 2 of 2,1,61-63,,
0:25.0,,,61-63,,G. Antetokounmpo misses 2-pt shot from 14 ft
0:24.0,,,61-63,,Offensive rebound by M. Plumlee
0:07.0,Personal foul by D. Motiejunas (drawn by K. Middleton),,61-63,,
0:07.0,,,61-64,1,K. Middleton makes free throw 1 of 2
0:07.0,,,61-64,,J. Bayless enters the game for O. Mayo
0:07.0,J. Terry enters the game for D. Motiejunas,,61-64,,
0:07.0,,,61-65,1,K. Middleton makes free throw 2 of 2
0:01.0,J. Terry makes 3-pt shot from 23 ft (assist by T. Ariza),3,64-65,,
0:00.0,,,64-65,,Turnover by J. Parker (bad pass; steal by J. Harden)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,D. Howard misses 2-pt shot from 5 ft (block by K. Middleton),,64-65,,
11:48.0,,,64-65,,Defensive rebound by O. Mayo
11:46.0,,,64-65,,Turnover by O. Mayo (bad pass)
11:34.0,D. Howard misses 2-pt shot from 5 ft,,64-65,,
11:31.0,,,64-65,,Defensive rebound by M. Plumlee
11:27.0,,,64-65,,J. Parker misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by D. Howard,,64-65,,
11:15.0,J. Smith misses 2-pt shot from 1 ft,,64-65,,
11:11.0,Offensive rebound by D. Howard,,64-65,,
11:11.0,D. Howard misses 2-pt shot from 1 ft,,64-65,,
11:11.0,Offensive rebound by D. Howard,,64-65,,
11:11.0,Shooting foul by M. Plumlee (drawn by D. Howard),,64-65,,
11:11.0,D. Howard makes free throw 1 of 2,1,65-65,,
11:11.0,D. Howard misses free throw 2 of 2,,65-65,,
11:09.0,Offensive rebound by T. Ariza,,65-65,,
11:05.0,D. Howard makes 2-pt shot from 5 ft (assist by T. Ariza),2,67-65,,
10:55.0,,,67-65,,Shooting foul by T. Ariza (drawn by M. Plumlee)
10:55.0,,,67-66,1,M. Plumlee makes free throw 1 of 2
10:55.0,,,67-66,,M. Plumlee misses free throw 2 of 2
10:54.0,Defensive rebound by J. Harden,,67-66,,
10:37.0,J. Harden misses 3-pt shot from 25 ft,,67-66,,
10:36.0,,,67-66,,Defensive rebound by G. Antetokounmpo
10:35.0,Personal foul by P. Beverley (drawn by G. Antetokounmpo),,67-66,,
10:27.0,Violation by D. Howard (def goaltending),,67-66,,
10:27.0,,,67-68,2,J. Parker makes 2-pt shot from 4 ft
10:11.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,69-68,,
9:52.0,,,69-68,,Turnover by G. Antetokounmpo (bad pass; steal by J. Smith)
9:43.0,T. Ariza makes 3-pt shot from 23 ft,3,72-68,,
9:35.0,,,72-68,,Turnover by J. Parker (bad pass; steal by P. Beverley)
9:26.0,P. Beverley misses 3-pt shot from 24 ft,,72-68,,
9:24.0,,,72-68,,Defensive rebound by Team
9:24.0,,,72-68,,Milwaukee full timeout
9:02.0,,,72-70,2,K. Middleton makes 2-pt shot from 17 ft
8:39.0,J. Smith makes 2-pt shot from 3 ft (assist by T. Ariza),2,74-70,,
8:26.0,,,74-72,2,M. Plumlee makes 2-pt shot at rim (assist by J. Parker)
8:07.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,76-72,,
7:52.0,,,76-72,,O. Mayo misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by D. Howard,,76-72,,
7:42.0,Turnover by J. Harden (bad pass; steal by K. Middleton),,76-72,,
7:42.0,,,76-72,,Turnover by O. Mayo (traveling)
7:32.0,Turnover by D. Howard (bad pass; steal by G. Antetokounmpo),,76-72,,
7:30.0,Personal foul by J. Harden (drawn by G. Antetokounmpo),,76-72,,
7:23.0,,,76-72,,M. Plumlee misses 2-pt shot from 2 ft
7:21.0,,,76-72,,Offensive rebound by M. Plumlee
7:20.0,,,76-72,,M. Plumlee misses 2-pt shot from 1 ft
7:18.0,,,76-72,,Offensive rebound by Team
7:18.0,Personal foul by D. Howard (drawn by M. Plumlee),,76-72,,
7:18.0,,,76-72,,Technical foul by O. Mayo
7:18.0,J. Harden makes technical free throw,1,77-72,,
7:18.0,,,77-72,,J. Bayless enters the game for O. Mayo
7:15.0,,,77-74,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
6:50.0,J. Harden misses 3-pt shot from 24 ft,,77-74,,
6:49.0,,,77-74,,Defensive rebound by G. Antetokounmpo
6:43.0,,,77-76,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:34.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,79-76,,
6:18.0,,,79-76,,Turnover by G. Antetokounmpo (lost ball; steal by T. Ariza)
6:16.0,D. Howard makes 2-pt shot from 1 ft,2,81-76,,
6:16.0,Shooting foul by J. Parker (drawn by D. Howard),,81-76,,
6:16.0,D. Motiejunas enters the game for J. Smith,,81-76,,
6:16.0,D. Howard misses free throw 1 of 1,,81-76,,
6:15.0,,,81-76,,Defensive rebound by G. Antetokounmpo
5:57.0,Shooting block foul by D. Howard (drawn by G. Antetokounmpo),,81-76,,
5:57.0,,,81-76,,G. Antetokounmpo misses free throw 1 of 2
5:57.0,,,81-76,,Offensive rebound by Team
5:57.0,,,81-76,,G. Antetokounmpo misses free throw 2 of 2
5:56.0,Defensive rebound by D. Howard,,81-76,,
5:38.0,Turnover by D. Motiejunas (lost ball; steal by K. Middleton),,81-76,,
5:32.0,,,81-76,,Turnover by G. Antetokounmpo (bad pass; steal by D. Motiejunas)
5:23.0,T. Ariza misses 3-pt shot from 23 ft,,81-76,,
5:21.0,,,81-76,,Defensive rebound by M. Plumlee
5:06.0,,,81-76,,J. Bayless misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by J. Harden,,81-76,,
5:01.0,,,81-76,,Violation by J. Bayless (def goaltending)
5:01.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,83-76,,
4:37.0,T. Jones enters the game for D. Howard,,83-76,,
4:37.0,Jump ball: T. Ariza vs. M. Plumlee (G. Antetokounmpo gains possession),,,,Jump ball: T. Ariza vs. M. Plumlee (G. Antetokounmpo gains possession)
4:25.0,,,83-76,,J. Parker misses 2-pt shot from 18 ft
4:23.0,Defensive rebound by T. Jones,,83-76,,
4:21.0,,,83-76,,Personal foul by K. Middleton (drawn by D. Motiejunas)
4:21.0,,,83-76,,G. Monroe enters the game for M. Plumlee
4:21.0,J. Terry enters the game for P. Beverley,,83-76,,
4:07.0,J. Harden misses 3-pt shot from 22 ft,,83-76,,
4:06.0,,,83-76,,Defensive rebound by J. Parker
4:01.0,,,83-78,2,J. Parker makes 2-pt shot from 1 ft
3:51.0,Turnover by T. Ariza (bad pass; steal by K. Middleton),,83-78,,
3:44.0,,,83-80,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
3:44.0,Houston full timeout,,83-80,,
3:44.0,C. Brewer enters the game for T. Ariza,,83-80,,
3:30.0,D. Motiejunas misses 2-pt shot at rim,,83-80,,
3:27.0,,,83-80,,Defensive rebound by G. Antetokounmpo
3:08.0,,,83-83,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Monroe)
2:54.0,Turnover by J. Harden (lost ball; steal by K. Middleton),,83-83,,
2:48.0,,,83-83,,J. Parker misses 2-pt shot at rim
2:45.0,Defensive rebound by T. Jones,,83-83,,
2:32.0,J. Terry misses 3-pt shot from 23 ft,,83-83,,
2:31.0,Offensive rebound by D. Motiejunas,,83-83,,
2:24.0,J. Terry makes 3-pt shot from 22 ft (assist by D. Motiejunas),3,86-83,,
2:05.0,,,86-86,3,J. Bayless makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
1:46.0,C. Brewer misses 3-pt shot from 24 ft,,86-86,,
1:44.0,,,86-86,,Defensive rebound by J. Bayless
1:36.0,,,86-86,,Turnover by J. Parker (bad pass; steal by C. Brewer)
1:34.0,,,86-86,,Personal foul by J. Bayless (drawn by J. Harden)
1:34.0,T. Ariza enters the game for J. Harden,,86-86,,
1:34.0,D. Howard enters the game for D. Motiejunas,,86-86,,
1:24.0,C. Brewer misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,86-86,,
1:21.0,,,86-86,,Defensive rebound by K. Middleton
1:16.0,,,86-86,,J. Bayless misses 3-pt shot from 24 ft
1:15.0,,,86-86,,Offensive rebound by K. Middleton
1:11.0,,,86-88,2,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton)
0:57.0,D. Howard misses 2-pt shot from 2 ft,,86-88,,
0:55.0,Offensive rebound by D. Howard,,86-88,,
0:55.0,Shooting foul by G. Monroe (drawn by D. Howard),,86-88,,
0:55.0,D. Howard makes free throw 1 of 2,1,87-88,,
0:55.0,,,87-88,,R. Vaughn enters the game for J. Parker
0:55.0,,,87-88,,M. Plumlee enters the game for G. Monroe
0:55.0,D. Howard misses free throw 2 of 2,,87-88,,
0:55.0,,,87-88,,Defensive rebound by G. Antetokounmpo
0:39.0,Personal foul by T. Ariza (drawn by K. Middleton),,87-88,,
0:39.0,,,87-89,1,K. Middleton makes free throw 1 of 2
0:39.0,J. Harden enters the game for T. Jones,,87-89,,
0:39.0,,,87-90,1,K. Middleton makes free throw 2 of 2
0:30.0,J. Harden makes 2-pt shot from 2 ft,2,89-90,,
0:08.0,,,89-92,2,J. Bayless makes 2-pt shot from 5 ft
0:00.0,J. Harden makes 3-pt shot from 25 ft,3,92-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,92-92,,Shooting foul by D. Howard (drawn by G. Antetokounmpo)
11:39.0,,,92-93,1,G. Antetokounmpo makes free throw 1 of 2
11:39.0,,,92-94,1,G. Antetokounmpo makes free throw 2 of 2
11:19.0,Turnover by J. Terry (bad pass; steal by K. Middleton),,92-94,,
11:17.0,Personal foul by P. Beverley (drawn by R. Vaughn),,92-94,,
11:10.0,,,92-96,2,G. Antetokounmpo makes 2-pt shot from 18 ft
10:54.0,D. Howard misses 2-pt shot from 3 ft,,92-96,,
10:52.0,,,92-96,,Defensive rebound by G. Antetokounmpo
10:46.0,,,92-96,,J. Bayless misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by P. Beverley,,92-96,,
10:40.0,Shooting foul by G. Monroe (drawn by P. Beverley),,92-96,,
10:40.0,P. Beverley makes free throw 1 of 2,1,93-96,,
10:40.0,,,93-96,,M. Plumlee enters the game for G. Monroe
10:40.0,J. Smith enters the game for T. Jones,,93-96,,
10:40.0,P. Beverley makes free throw 2 of 2,1,94-96,,
10:30.0,,,94-96,,G. Antetokounmpo misses 2-pt shot from 22 ft
10:27.0,Defensive rebound by J. Smith,,94-96,,
10:21.0,Turnover by P. Beverley (bad pass; steal by G. Antetokounmpo),,94-96,,
10:17.0,,,94-96,,Shooting foul by J. Smith (drawn by G. Antetokounmpo)
10:17.0,,,94-96,,G. Antetokounmpo misses free throw 1 of 2
10:17.0,,,94-96,,Offensive rebound by Team
10:17.0,,,94-97,1,G. Antetokounmpo makes free throw 2 of 2
10:02.0,,,94-97,,Personal foul by G. Antetokounmpo (drawn by J. Smith)
9:50.0,D. Howard misses 2-pt shot from 3 ft,,94-97,,
9:49.0,Offensive rebound by D. Howard,,94-97,,
9:47.0,D. Howard makes 2-pt shot from 1 ft,2,96-97,,
9:39.0,Personal foul by C. Brewer (drawn by K. Middleton),,96-97,,
9:25.0,,,96-99,2,G. Antetokounmpo makes 2-pt shot from 18 ft
9:04.0,J. Terry makes 3-pt shot from 25 ft (assist by P. Beverley),3,99-99,,
8:46.0,,,99-99,,Shooting foul by C. Brewer (drawn by K. Middleton)
8:46.0,Official timeout,,99-99,,
8:46.0,D. Motiejunas enters the game for D. Howard,,99-99,,
8:46.0,J. Harden enters the game for C. Brewer,,99-99,,
8:46.0,,,99-99,,J. Parker enters the game for G. Antetokounmpo
8:46.0,,,99-100,1,K. Middleton makes free throw 1 of 2
8:46.0,,,99-101,1,K. Middleton makes free throw 2 of 2
