time,Denver,pts.away,score,pts.home,New York
9:29.0,,,33-24,,Defensive rebound by L. Galloway
9:22.0,,,33-24,,K. Porzingis misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by J. Nurkic,,33-24,,
9:11.0,,,33-24,,Personal foul by K. Porzingis (drawn by W. Barton)
9:11.0,,,33-24,,A. Afflalo enters the game for K. Porzingis
9:05.0,Shooting foul by A. Afflalo (drawn by J. Nurkic),,33-24,,
9:05.0,J. Nurkic makes free throw 1 of 2,1,34-24,,
9:05.0,J. Nurkic misses free throw 2 of 2,,34-24,,
9:04.0,,,34-24,,Defensive rebound by K. Seraphin
8:52.0,,,34-24,,Turnover by J. Grant (bad pass; steal by J. Nurkic)
8:44.0,R. Foye makes 2-pt shot from 22 ft,2,36-24,,
8:30.0,,,36-27,3,L. Galloway makes 3-pt shot from 24 ft (assist by J. Grant)
8:18.0,W. Barton makes 2-pt shot from 17 ft,2,38-27,,
7:59.0,,,38-29,2,A. Afflalo makes 2-pt shot from 1 ft
7:52.0,Denver full timeout,,38-29,,
7:52.0,,,38-29,,R. Lopez enters the game for K. Seraphin
7:37.0,W. Barton makes 2-pt shot from 3 ft,2,40-29,,
7:27.0,,,40-31,2,J. Grant makes 2-pt shot from 19 ft
7:13.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,42-31,,
6:52.0,,,42-31,,L. Galloway misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by W. Barton,,42-31,,
6:34.0,G. Harris misses 2-pt shot from 4 ft,,42-31,,
6:32.0,Offensive rebound by J. Lauvergne,,42-31,,
6:14.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by W. Barton),2,44-31,,
5:51.0,,,44-31,,D. Williams misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by W. Barton,,44-31,,
5:40.0,,,44-31,,Personal foul by A. Afflalo (drawn by W. Barton)
5:40.0,Official timeout,,44-31,,
5:40.0,D. Gallinari enters the game for G. Harris,,44-31,,
5:40.0,,,44-31,,K. Porzingis enters the game for L. Galloway
5:40.0,,,44-31,,J. Calderon enters the game for D. Williams
5:40.0,,,44-31,,C. Anthony enters the game for J. Grant
5:32.0,Shooting foul by C. Anthony (drawn by D. Gallinari),,44-31,,
5:32.0,D. Gallinari makes free throw 1 of 2,1,45-31,,
5:32.0,N. Jokic enters the game for R. Foye,,45-31,,
5:32.0,E. Mudiay enters the game for J. Lauvergne,,45-31,,
5:32.0,K. Faried enters the game for J. Nurkic,,45-31,,
5:32.0,D. Gallinari makes free throw 2 of 2,1,46-31,,
5:17.0,,,46-33,2,C. Anthony makes 2-pt shot from 16 ft (assist by A. Afflalo)
5:02.0,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Barton),3,49-33,,
4:45.0,,,49-33,,Turnover by J. Calderon (bad pass; steal by N. Jokic)
4:40.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,51-33,,
4:26.0,,,51-33,,K. Porzingis misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by K. Faried,,51-33,,
4:18.0,W. Barton misses 2-pt shot from 21 ft,,51-33,,
4:16.0,,,51-33,,Defensive rebound by K. Porzingis
4:11.0,,,51-33,,C. Anthony misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by E. Mudiay,,51-33,,
3:59.0,Offensive foul by N. Jokic,,51-33,,
3:59.0,Turnover by N. Jokic (offensive foul),,51-33,,
3:45.0,,,51-35,2,A. Afflalo makes 2-pt shot from 1 ft
3:45.0,,,51-35,,Shooting foul by N. Jokic (drawn by A. Afflalo)
3:45.0,J. Lauvergne enters the game for N. Jokic,,51-35,,
3:45.0,,,51-36,1,A. Afflalo makes free throw 1 of 1
3:30.0,K. Faried makes 2-pt shot from 11 ft (assist by E. Mudiay),2,53-36,,
3:23.0,,,53-36,,R. Lopez misses 2-pt shot from 1 ft
3:21.0,Defensive rebound by W. Barton,,53-36,,
3:08.0,J. Lauvergne misses 2-pt shot from 2 ft (block by K. Porzingis),,53-36,,
3:06.0,,,53-36,,Defensive rebound by J. Calderon
2:52.0,,,53-36,,Shooting foul by D. Gallinari (drawn by C. Anthony)
2:52.0,,,53-36,,New York full timeout
2:52.0,,,53-37,1,C. Anthony makes free throw 1 of 2
2:52.0,,,53-38,1,C. Anthony makes free throw 2 of 2
2:42.0,W. Barton makes 2-pt shot at rim (assist by E. Mudiay),2,55-38,,
2:32.0,,,55-38,,Turnover by C. Anthony (bad pass; steal by W. Barton)
2:28.0,W. Barton makes 2-pt shot at rim,2,57-38,,
2:10.0,,,57-41,3,J. Calderon makes 3-pt shot from 24 ft (assist by K. Porzingis)
1:47.0,J. Lauvergne misses 3-pt shot from 23 ft,,57-41,,
1:44.0,,,57-41,,Defensive rebound by K. Porzingis
1:39.0,Personal foul by J. Lauvergne (drawn by R. Lopez),,57-41,,
1:32.0,,,57-43,2,C. Anthony makes 2-pt shot from 16 ft
1:14.0,E. Mudiay misses 3-pt shot from 24 ft,,57-43,,
1:12.0,,,57-43,,Defensive rebound by K. Porzingis
1:05.0,,,57-45,2,C. Anthony makes 2-pt shot from 17 ft
0:50.0,,,57-45,,Personal foul by J. Calderon (drawn by D. Gallinari)
0:50.0,D. Gallinari makes free throw 1 of 2,1,58-45,,
0:50.0,D. Gallinari makes free throw 2 of 2,1,59-45,,
0:38.0,,,59-47,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
0:30.0,,,59-47,,Personal foul by J. Calderon (drawn by E. Mudiay)
0:30.0,E. Mudiay makes free throw 1 of 2,1,60-47,,
0:30.0,,,60-47,,L. Galloway enters the game for J. Calderon
0:30.0,E. Mudiay misses free throw 2 of 2,,60-47,,
0:30.0,,,60-47,,Defensive rebound by C. Anthony
0:17.0,,,60-47,,L. Galloway misses 3-pt shot from 24 ft
0:15.0,,,60-47,,Offensive rebound by C. Anthony
0:04.0,Personal foul by J. Lauvergne (drawn by C. Anthony),,60-47,,
0:04.0,,,60-48,1,C. Anthony makes free throw 1 of 2
0:04.0,,,60-48,,K. O'Quinn enters the game for K. Porzingis
0:04.0,,,60-48,,K. Seraphin enters the game for R. Lopez
0:04.0,,,60-48,,S. Vujacic enters the game for A. Afflalo
0:04.0,,,60-49,1,C. Anthony makes free throw 2 of 2
0:00.0,E. Mudiay misses 3-pt shot from 27 ft,,60-49,,
0:00.0,Offensive rebound by Team,,60-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Offensive foul by K. Faried,,60-49,,
11:52.0,Turnover by K. Faried (offensive foul),,60-49,,
11:35.0,,,60-49,,R. Lopez misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by N. Jokic,,60-49,,
11:15.0,N. Jokic misses 2-pt shot from 6 ft,,60-49,,
11:14.0,,,60-49,,Defensive rebound by R. Lopez
11:06.0,,,60-51,2,C. Anthony makes 2-pt shot from 16 ft
10:51.0,,,60-51,,Personal foul by C. Anthony (drawn by N. Jokic)
10:41.0,E. Mudiay makes 2-pt shot from 16 ft,2,62-51,,
10:27.0,,,62-51,,K. Porzingis misses 2-pt shot from 2 ft
10:25.0,Defensive rebound by K. Faried,,62-51,,
10:20.0,E. Mudiay misses 2-pt shot from 2 ft (block by R. Lopez),,62-51,,
10:17.0,Offensive rebound by G. Harris,,62-51,,
10:15.0,G. Harris misses 2-pt shot from 14 ft,,62-51,,
10:14.0,,,62-51,,Defensive rebound by C. Anthony
10:10.0,,,62-51,,Turnover by C. Anthony (bad pass; steal by G. Harris)
10:06.0,E. Mudiay misses 3-pt shot from 23 ft,,62-51,,
10:04.0,,,62-51,,Defensive rebound by R. Lopez
9:45.0,,,62-53,2,A. Afflalo makes 2-pt shot from 4 ft
9:24.0,N. Jokic makes 2-pt shot from 12 ft (assist by E. Mudiay),2,64-53,,
9:14.0,,,64-55,2,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Anthony)
9:13.0,Denver full timeout,,64-55,,
8:57.0,Shooting foul by A. Afflalo (drawn by N. Jokic),,64-55,,
8:57.0,N. Jokic makes free throw 1 of 2,1,65-55,,
8:57.0,N. Jokic makes free throw 2 of 2,1,66-55,,
8:39.0,,,66-57,2,K. Porzingis makes 2-pt shot from 17 ft (assist by C. Anthony)
8:12.0,D. Gallinari misses 3-pt shot from 24 ft,,66-57,,
8:10.0,,,66-57,,Defensive rebound by A. Afflalo
8:01.0,,,66-59,2,C. Anthony makes 2-pt shot from 21 ft
7:46.0,D. Gallinari misses 2-pt shot from 19 ft,,66-59,,
7:44.0,Offensive rebound by K. Faried,,66-59,,
7:30.0,D. Gallinari misses 2-pt shot from 19 ft,,66-59,,
7:28.0,,,66-59,,Defensive rebound by K. Porzingis
7:18.0,,,66-59,,K. Porzingis misses 2-pt shot from 1 ft (block by K. Faried)
7:17.0,,,66-59,,Offensive rebound by R. Lopez
7:16.0,Personal foul by D. Gallinari (drawn by R. Lopez),,66-59,,
7:07.0,,,66-59,,R. Lopez misses 2-pt shot from 1 ft
7:06.0,,,66-59,,Offensive rebound by K. Porzingis
7:05.0,,,66-59,,K. Porzingis misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by N. Jokic,,66-59,,
6:56.0,K. Faried misses 2-pt shot from 1 ft (block by R. Lopez),,66-59,,
6:53.0,,,66-59,,Defensive rebound by K. Porzingis
6:47.0,,,66-59,,Offensive foul by C. Anthony
6:47.0,,,66-59,,Turnover by C. Anthony (offensive foul)
6:47.0,,,66-59,,S. Vujacic enters the game for C. Anthony
6:33.0,D. Gallinari makes 2-pt shot from 19 ft (assist by E. Mudiay),2,68-59,,
6:19.0,,,68-61,2,K. Porzingis makes 2-pt shot from 14 ft
5:52.0,G. Harris misses 2-pt shot from 1 ft,,68-61,,
5:51.0,,,68-61,,Defensive rebound by A. Afflalo
5:43.0,,,68-61,,J. Calderon misses 3-pt shot from 25 ft
5:42.0,,,68-61,,Offensive rebound by K. Porzingis
5:41.0,Personal foul by D. Gallinari (drawn by K. Porzingis),,68-61,,
5:35.0,,,68-64,3,S. Vujacic makes 3-pt shot from 24 ft (assist by J. Calderon)
5:16.0,N. Jokic misses 2-pt shot from 2 ft,,68-64,,
5:14.0,,,68-64,,Defensive rebound by R. Lopez
5:08.0,,,68-67,3,A. Afflalo makes 3-pt shot from 22 ft (assist by J. Calderon)
5:07.0,Denver full timeout,,68-67,,
5:07.0,J. Lauvergne enters the game for N. Jokic,,68-67,,
4:56.0,K. Faried misses 2-pt shot from 3 ft (block by K. Porzingis),,68-67,,
4:53.0,,,68-67,,Defensive rebound by K. Porzingis
4:39.0,,,68-69,2,K. Porzingis makes 2-pt shot from 6 ft
4:23.0,E. Mudiay misses 2-pt shot from 5 ft,,68-69,,
4:21.0,,,68-69,,Defensive rebound by K. Porzingis
4:10.0,,,68-71,2,K. Porzingis makes 2-pt shot from 10 ft
3:41.0,J. Lauvergne makes 2-pt shot from 3 ft,2,70-71,,
3:20.0,,,70-71,,S. Vujacic misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by J. Lauvergne,,70-71,,
3:12.0,D. Gallinari makes 3-pt shot from 23 ft (assist by G. Harris),3,73-71,,
2:53.0,,,73-74,3,K. Porzingis makes 3-pt shot from 25 ft (assist by A. Afflalo)
2:32.0,G. Harris misses 2-pt shot from 2 ft (block by R. Lopez),,73-74,,
2:31.0,Offensive rebound by J. Lauvergne,,73-74,,
2:31.0,,,73-74,,Personal foul by S. Vujacic (drawn by J. Lauvergne)
2:31.0,W. Barton enters the game for K. Faried,,73-74,,
2:31.0,R. Foye enters the game for E. Mudiay,,73-74,,
2:31.0,,,73-74,,L. Galloway enters the game for J. Calderon
2:21.0,Shooting foul by R. Lopez (drawn by D. Gallinari),,73-74,,
2:21.0,D. Gallinari makes free throw 1 of 2,1,74-74,,
2:21.0,,,74-74,,D. Williams enters the game for R. Lopez
2:21.0,D. Gallinari makes free throw 2 of 2,1,75-74,,
2:09.0,,,75-74,,S. Vujacic misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by D. Gallinari,,75-74,,
1:47.0,D. Gallinari misses 3-pt shot from 25 ft,,75-74,,
1:45.0,,,75-74,,Defensive rebound by S. Vujacic
1:29.0,,,75-74,,Turnover by L. Galloway (bad pass; steal by D. Gallinari)
1:16.0,J. Lauvergne makes 2-pt shot at rim,2,77-74,,
0:54.0,,,77-76,2,A. Afflalo makes 2-pt shot from 5 ft
0:40.0,J. Lauvergne misses 2-pt shot from 3 ft,,77-76,,
0:38.0,,,77-76,,Defensive rebound by K. Porzingis
0:31.0,Personal foul by J. Lauvergne (drawn by K. Porzingis),,77-76,,
0:31.0,M. Miller enters the game for D. Gallinari,,77-76,,
0:31.0,,,77-76,,New York full timeout
0:31.0,,,77-76,,J. Grant enters the game for A. Afflalo
0:31.0,E. Mudiay enters the game for J. Lauvergne,,77-76,,
0:18.0,,,77-79,3,L. Galloway makes 3-pt shot from 24 ft (assist by J. Grant)
0:03.0,W. Barton misses 2-pt shot from 10 ft,,77-79,,
0:01.0,,,77-79,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,77-79,,D. Williams misses 3-pt shot from 24 ft
11:46.0,,,77-79,,Offensive rebound by L. Galloway
11:43.0,,,77-79,,R. Lopez misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by J. Lauvergne,,77-79,,
11:22.0,G. Harris misses 3-pt shot from 26 ft,,77-79,,
11:20.0,,,77-79,,Defensive rebound by C. Anthony
11:16.0,,,77-79,,Shooting foul by R. Foye (drawn by D. Williams)
11:16.0,,,77-79,,D. Williams misses free throw 1 of 2
11:16.0,,,77-79,,Offensive rebound by Team
11:16.0,,,77-79,,D. Williams misses free throw 2 of 2
11:15.0,Defensive rebound by W. Barton,,77-79,,
11:07.0,W. Barton makes 2-pt shot from 5 ft,2,79-79,,
10:48.0,,,79-79,,C. Anthony misses 2-pt shot from 13 ft
10:46.0,Defensive rebound by J. Lauvergne,,79-79,,
10:35.0,Turnover by J. Lauvergne (bad pass; steal by J. Grant),,79-79,,
10:29.0,,,79-79,,L. Galloway misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by J. Lauvergne,,79-79,,
10:13.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by W. Barton),2,81-79,,
9:53.0,,,81-79,,Shooting foul by M. Miller (drawn by D. Williams)
9:53.0,,,81-80,1,D. Williams makes free throw 1 of 2
9:53.0,,,81-81,1,D. Williams makes free throw 2 of 2
9:43.0,W. Barton makes 2-pt shot from 4 ft,2,83-81,,
9:31.0,Personal foul by J. Lauvergne (drawn by R. Lopez),,83-81,,
9:28.0,,,83-81,,Shooting foul by W. Barton (drawn by D. Williams)
9:28.0,,,83-82,1,D. Williams makes free throw 1 of 2
9:28.0,,,83-83,1,D. Williams makes free throw 2 of 2
9:03.0,R. Foye misses 3-pt shot from 25 ft,,83-83,,
9:01.0,,,83-83,,Defensive rebound by D. Williams
8:44.0,,,83-83,,C. Anthony misses 2-pt shot from 19 ft
8:42.0,Defensive rebound by W. Barton,,83-83,,
8:39.0,Shooting foul by L. Galloway (drawn by W. Barton),,83-83,,
8:39.0,Official timeout,,83-83,,
8:39.0,W. Barton misses free throw 1 of 2,,83-83,,
8:39.0,Offensive rebound by Team,,83-83,,
8:39.0,W. Barton makes free throw 2 of 2,1,84-83,,
8:22.0,,,84-85,2,D. Williams makes 2-pt shot from 11 ft (assist by J. Grant)
8:06.0,Shooting foul by L. Galloway (drawn by J. Lauvergne),,84-85,,
8:06.0,J. Lauvergne makes free throw 1 of 2,1,85-85,,
8:06.0,J. Lauvergne makes free throw 2 of 2,1,86-85,,
7:42.0,,,86-85,,Turnover by D. Williams (bad pass; steal by R. Foye)
7:33.0,J. Lauvergne misses 3-pt shot from 24 ft,,86-85,,
7:32.0,,,86-85,,Defensive rebound by D. Williams
7:26.0,Personal foul by R. Foye (drawn by R. Lopez),,86-85,,
7:26.0,,,86-86,1,R. Lopez makes free throw 1 of 2
7:26.0,D. Gallinari enters the game for M. Miller,,86-86,,
7:26.0,,,86-86,,A. Afflalo enters the game for J. Grant
7:26.0,,,86-86,,K. Porzingis enters the game for D. Williams
7:26.0,,,86-86,,R. Lopez misses free throw 2 of 2
7:25.0,Defensive rebound by W. Barton,,86-86,,
7:14.0,Turnover by J. Lauvergne (offensive goaltending),,86-86,,
7:01.0,,,86-88,2,R. Lopez makes 2-pt shot at rim (assist by C. Anthony)
6:41.0,W. Barton misses 2-pt shot from 1 ft,,86-88,,
6:39.0,,,86-88,,Defensive rebound by C. Anthony
6:20.0,,,86-88,,K. Porzingis misses 2-pt shot from 12 ft
6:20.0,Defensive rebound by Team,,86-88,,
6:20.0,,,86-88,,Loose ball foul by R. Lopez (drawn by J. Lauvergne)
6:20.0,E. Mudiay enters the game for R. Foye,,86-88,,
6:08.0,E. Mudiay makes 2-pt shot from 19 ft,2,88-88,,
5:44.0,,,88-88,,C. Anthony misses 2-pt shot from 16 ft
5:42.0,Defensive rebound by W. Barton,,88-88,,
5:23.0,E. Mudiay makes 3-pt shot from 24 ft,3,91-88,,
5:23.0,,,91-88,,New York full timeout
5:23.0,,,91-88,,J. Calderon enters the game for R. Lopez
5:23.0,,,91-88,,S. Vujacic enters the game for L. Galloway
5:06.0,Personal foul by W. Barton (drawn by C. Anthony),,91-88,,
5:06.0,,,91-89,1,C. Anthony makes free throw 1 of 2
5:06.0,,,91-90,1,C. Anthony makes free throw 2 of 2
4:51.0,E. Mudiay makes 2-pt shot from 1 ft,2,93-90,,
4:32.0,,,93-90,,K. Porzingis misses 2-pt shot from 6 ft
4:30.0,Defensive rebound by E. Mudiay,,93-90,,
4:15.0,E. Mudiay misses 2-pt shot from 10 ft,,93-90,,
4:13.0,,,93-90,,Defensive rebound by J. Calderon
4:09.0,,,93-90,,C. Anthony misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by Team,,93-90,,
3:52.0,D. Gallinari makes 2-pt shot from 17 ft,2,95-90,,
3:35.0,,,95-90,,S. Vujacic misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by J. Lauvergne,,95-90,,
3:16.0,G. Harris misses 3-pt shot from 25 ft,,95-90,,
