time,Minnesota,pts.away,score,pts.home,LA Clippers
8:25.0,,,7-9,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by P. Pierce)
8:04.0,R. Rubio misses 3-pt shot from 25 ft,,7-9,,
8:03.0,,,7-9,,Defensive rebound by D. Jordan
7:42.0,,,7-11,2,D. Jordan makes 2-pt shot at rim (assist by P. Pierce)
7:29.0,K. Towns misses 3-pt shot from 25 ft,,7-11,,
7:28.0,,,7-11,,Defensive rebound by D. Jordan
7:24.0,,,7-11,,Shooting foul by K. Towns (drawn by L. Mbah a Moute)
7:24.0,,,7-11,,L. Mbah a Moute misses free throw 1 of 2
7:24.0,,,7-11,,Offensive rebound by Team
7:24.0,D. Rudez enters the game for K. Towns,,7-11,,
7:24.0,,,7-11,,L. Mbah a Moute misses free throw 2 of 2
7:22.0,Defensive rebound by G. Dieng,,7-11,,
7:20.0,Minnesota full timeout,,7-11,,
7:11.0,A. Wiggins makes 2-pt shot from 2 ft,2,9-11,,
6:54.0,,,9-11,,Turnover by J. Redick (bad pass; steal by R. Rubio)
6:42.0,R. Rubio misses 2-pt shot from 16 ft,,9-11,,
6:40.0,,,9-11,,Defensive rebound by D. Jordan
6:24.0,,,9-11,,J. Redick misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by G. Dieng,,9-11,,
6:13.0,R. Rubio makes 2-pt shot from 1 ft,2,11-11,,
5:52.0,,,11-11,,P. Pierce misses 2-pt shot from 17 ft
5:48.0,,,11-11,,Offensive rebound by D. Jordan
5:48.0,,,11-13,2,D. Jordan makes 2-pt shot from 2 ft
5:25.0,T. Prince makes 2-pt shot from 13 ft,2,13-13,,
5:18.0,,,13-13,,Shooting foul by R. Rubio (drawn by C. Paul)
5:18.0,,,13-14,1,C. Paul makes free throw 1 of 2
5:18.0,Z. LaVine enters the game for R. Rubio,,13-14,,
5:18.0,,,13-14,,W. Johnson enters the game for P. Pierce
5:18.0,,,13-15,1,C. Paul makes free throw 2 of 2
4:56.0,T. Prince misses 2-pt shot from 17 ft,,13-15,,
4:53.0,,,13-15,,Defensive rebound by D. Jordan
4:41.0,,,13-17,2,C. Paul makes 2-pt shot from 5 ft
4:12.0,A. Wiggins makes 2-pt shot from 2 ft,2,15-17,,
3:51.0,,,15-17,,C. Paul misses 2-pt shot from 6 ft
3:49.0,Defensive rebound by Z. LaVine,,15-17,,
3:43.0,Z. LaVine misses 2-pt shot from 12 ft,,15-17,,
3:40.0,Offensive rebound by T. Prince,,15-17,,
3:38.0,D. Rudez makes 3-pt shot from 25 ft (assist by T. Prince),3,18-17,,
3:33.0,,,18-17,,LA Clippers full timeout
3:33.0,S. Muhammad enters the game for T. Prince,,18-17,,
3:33.0,,,18-17,,J. Crawford enters the game for L. Mbah a Moute
3:33.0,,,18-17,,A. Rivers enters the game for J. Redick
3:23.0,,,18-17,,J. Crawford misses 2-pt shot from 10 ft
3:21.0,Defensive rebound by Z. LaVine,,18-17,,
3:15.0,,,18-17,,Personal foul by J. Crawford (drawn by D. Rudez)
3:02.0,A. Wiggins makes 2-pt shot from 3 ft,2,20-17,,
2:36.0,,,20-20,3,C. Paul makes 3-pt shot from 28 ft
2:13.0,S. Muhammad misses 3-pt shot from 24 ft,,20-20,,
2:11.0,,,20-20,,Defensive rebound by C. Paul
1:51.0,,,20-20,,Shooting foul by A. Wiggins (drawn by J. Crawford)
1:51.0,,,20-21,1,J. Crawford makes free throw 1 of 2
1:51.0,,,20-21,,P. Prigioni enters the game for C. Paul
1:51.0,A. Miller enters the game for A. Wiggins,,20-21,,
1:51.0,,,20-22,1,J. Crawford makes free throw 2 of 2
1:37.0,S. Muhammad makes 2-pt shot from 4 ft (assist by D. Rudez),2,22-22,,
1:18.0,,,22-25,3,W. Johnson makes 3-pt shot from 24 ft (assist by P. Prigioni)
1:03.0,,,22-25,,Personal foul by A. Rivers (drawn by Z. LaVine)
1:03.0,,,22-25,,C. Aldrich enters the game for D. Jordan
0:55.0,D. Rudez makes 3-pt shot from 26 ft (assist by A. Miller),3,25-25,,
0:38.0,,,25-25,,Turnover by A. Rivers (bad pass)
0:21.0,G. Dieng makes 2-pt shot from 2 ft (assist by A. Miller),2,27-25,,
0:04.0,,,27-25,,Shooting foul by Z. LaVine (drawn by J. Crawford)
0:04.0,,,27-26,1,J. Crawford makes free throw 1 of 2
0:04.0,,,27-27,1,J. Crawford makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,27-29,2,A. Rivers makes 2-pt shot from 20 ft
11:14.0,Turnover by G. Dieng (bad pass; steal by C. Aldrich),,27-29,,
11:08.0,,,27-31,2,J. Crawford makes 2-pt shot from 1 ft (assist by P. Prigioni)
10:40.0,Turnover by G. Dieng (bad pass),,27-31,,
10:25.0,,,27-31,,P. Prigioni misses 3-pt shot from 24 ft
10:23.0,,,27-31,,Offensive rebound by W. Johnson
10:21.0,,,27-33,2,W. Johnson makes 2-pt shot from 14 ft
10:10.0,Minnesota full timeout,,27-33,,
10:00.0,Z. LaVine makes 3-pt shot from 26 ft,3,30-33,,
9:40.0,,,30-33,,A. Rivers misses 2-pt shot from 9 ft
9:38.0,Defensive rebound by G. Dieng,,30-33,,
9:35.0,,,30-33,,L. Stephenson enters the game for W. Johnson
9:26.0,Z. LaVine misses 3-pt shot from 26 ft,,30-33,,
9:25.0,,,30-33,,Defensive rebound by J. Crawford
9:18.0,,,30-33,,J. Crawford misses 2-pt shot from 16 ft
9:16.0,,,30-33,,Offensive rebound by C. Aldrich
9:09.0,,,30-33,,A. Rivers misses 3-pt shot from 28 ft
9:08.0,Defensive rebound by G. Dieng,,30-33,,
8:57.0,Z. LaVine makes 2-pt shot from 1 ft,2,32-33,,
8:39.0,,,32-35,2,L. Stephenson makes 2-pt shot from 17 ft
8:24.0,D. Rudez makes 2-pt shot from 2 ft (assist by A. Miller),2,34-35,,
8:10.0,,,34-37,2,A. Rivers makes 2-pt shot from 2 ft
8:10.0,,,34-37,,Technical foul by A. Rivers
8:10.0,,,34-37,,Technical foul by A. Rivers
8:10.0,,,34-37,,J. Redick enters the game for A. Rivers
8:10.0,Z. LaVine misses technical free throw,,34-37,,
8:10.0,Offensive rebound by Team,,34-37,,
8:10.0,Z. LaVine misses technical free throw,,34-37,,
8:10.0,Offensive rebound by Team,,34-37,,
8:10.0,K. Towns enters the game for G. Dieng,,34-37,,
8:10.0,A. Wiggins enters the game for D. Rudez,,34-37,,
8:10.0,T. Prince enters the game for S. Muhammad,,34-37,,
7:46.0,Z. LaVine misses 3-pt shot from 25 ft,,34-37,,
7:42.0,Offensive rebound by K. Towns,,34-37,,
7:26.0,A. Wiggins makes 3-pt shot from 25 ft (assist by A. Miller),3,37-37,,
7:03.0,,,37-37,,L. Stephenson misses 3-pt shot from 23 ft
7:02.0,,,37-37,,Offensive rebound by J. Crawford
7:01.0,,,37-39,2,J. Crawford makes 2-pt shot from 5 ft
6:48.0,Turnover by A. Miller (bad pass; steal by J. Crawford),,37-39,,
6:35.0,,,37-39,,Shooting foul by A. Miller (drawn by J. Crawford)
6:35.0,,,37-40,1,J. Crawford makes free throw 1 of 2
6:35.0,,,37-40,,C. Paul enters the game for P. Prigioni
6:35.0,R. Rubio enters the game for A. Miller,,37-40,,
6:35.0,,,37-41,1,J. Crawford makes free throw 2 of 2
6:23.0,,,37-41,,Personal foul by C. Aldrich (drawn by K. Towns)
6:23.0,,,37-41,,D. Jordan enters the game for C. Aldrich
6:12.0,A. Wiggins makes 2-pt shot from 19 ft,2,39-41,,
6:02.0,,,39-41,,J. Crawford misses 2-pt shot from 8 ft (block by A. Wiggins)
6:02.0,Defensive rebound by K. Towns,,39-41,,
6:02.0,,,39-41,,Personal foul by L. Stephenson (drawn by Z. LaVine)
5:49.0,A. Wiggins makes 2-pt shot from 9 ft,2,41-41,,
5:35.0,,,41-41,,J. Crawford misses 2-pt shot from 12 ft
5:31.0,Defensive rebound by K. Towns,,41-41,,
5:23.0,Official timeout,,41-41,,
5:23.0,,,41-41,,P. Pierce enters the game for L. Stephenson
5:23.0,,,41-41,,L. Mbah a Moute enters the game for J. Crawford
5:19.0,K. Towns misses 2-pt shot from 21 ft,,41-41,,
5:18.0,,,41-41,,Defensive rebound by D. Jordan
5:07.0,,,41-43,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
4:44.0,T. Prince misses 2-pt shot from 13 ft,,41-43,,
4:43.0,,,41-43,,Defensive rebound by D. Jordan
4:35.0,,,41-46,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
4:08.0,A. Wiggins misses 2-pt shot from 19 ft,,41-46,,
4:06.0,,,41-46,,Defensive rebound by D. Jordan
3:52.0,,,41-46,,P. Pierce misses 2-pt shot from 5 ft
3:50.0,Defensive rebound by A. Wiggins,,41-46,,
3:42.0,Turnover by R. Rubio (bad pass; steal by D. Jordan),,41-46,,
3:32.0,,,41-46,,C. Paul misses 3-pt shot from 27 ft
3:31.0,Defensive rebound by T. Prince,,41-46,,
3:17.0,Z. LaVine makes 2-pt shot from 2 ft (assist by A. Wiggins),2,43-46,,
3:17.0,Shooting foul by D. Jordan (drawn by Z. LaVine),,43-46,,
3:17.0,Z. LaVine makes free throw 1 of 1,1,44-46,,
3:00.0,,,44-46,,J. Redick misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by R. Rubio,,44-46,,
2:52.0,Offensive foul by A. Wiggins,,44-46,,
2:52.0,Turnover by A. Wiggins (offensive foul),,44-46,,
2:52.0,,,44-46,,LA Clippers full timeout
2:44.0,,,44-46,,Turnover by L. Mbah a Moute (bad pass; steal by R. Rubio)
2:40.0,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio),2,46-46,,
2:25.0,,,46-48,2,D. Jordan makes 2-pt shot at rim (assist by P. Pierce)
2:04.0,K. Towns misses 2-pt shot from 19 ft,,46-48,,
2:03.0,,,46-48,,Defensive rebound by D. Jordan
1:41.0,,,46-51,3,C. Paul makes 3-pt shot from 24 ft (assist by P. Pierce)
1:27.0,Z. LaVine misses 2-pt shot from 11 ft,,46-51,,
1:26.0,,,46-51,,Defensive rebound by D. Jordan
1:20.0,,,46-53,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
1:20.0,,,46-53,,Shooting foul by Z. LaVine (drawn by D. Jordan)
1:20.0,G. Dieng enters the game for K. Towns,,46-53,,
1:20.0,,,46-53,,D. Jordan misses free throw 1 of 1
1:18.0,Defensive rebound by G. Dieng,,46-53,,
1:00.0,T. Prince makes 2-pt shot from 14 ft (assist by Z. LaVine),2,48-53,,
0:48.0,,,48-53,,Turnover by P. Pierce (bad pass; steal by Z. LaVine)
0:48.0,,,48-53,,Personal take foul by C. Paul (drawn by Z. LaVine)
0:40.0,A. Wiggins makes 3-pt shot from 26 ft (assist by Z. LaVine),3,51-53,,
0:25.0,,,51-53,,Turnover by P. Pierce (bad pass; steal by R. Rubio)
0:20.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,53-53,,
0:20.0,,,53-53,,LA Clippers full timeout
0:20.0,,,53-53,,J. Crawford enters the game for L. Mbah a Moute
0:20.0,D. Rudez enters the game for A. Wiggins,,53-53,,
0:20.0,A. Miller enters the game for R. Rubio,,53-53,,
0:05.0,Personal foul by A. Miller (drawn by C. Paul),,53-53,,
0:05.0,,,53-54,1,C. Paul makes free throw 1 of 2
0:05.0,,,53-54,,L. Mbah a Moute enters the game for J. Crawford
0:05.0,,,53-54,,L. Stephenson enters the game for P. Pierce
0:05.0,,,53-55,1,C. Paul makes free throw 2 of 2
0:01.0,Z. LaVine misses 2-pt shot from 17 ft,,53-55,,
0:00.0,Offensive rebound by Team,,53-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-55,,J. Redick misses 2-pt shot from 8 ft (block by K. Towns)
11:45.0,,,53-55,,Offensive rebound by Team
11:40.0,,,53-55,,J. Redick misses 2-pt shot from 21 ft
11:39.0,Defensive rebound by G. Dieng,,53-55,,
11:25.0,K. Towns misses 2-pt shot from 21 ft,,53-55,,
11:24.0,,,53-55,,Defensive rebound by D. Jordan
11:12.0,,,53-55,,J. Redick misses 2-pt shot from 21 ft
11:11.0,Defensive rebound by K. Towns,,53-55,,
10:57.0,Turnover by R. Rubio (bad pass; steal by C. Paul),,53-55,,
10:56.0,Personal take foul by G. Dieng (drawn by C. Paul),,53-55,,
10:38.0,,,53-55,,Shooting foul by R. Rubio (drawn by J. Redick)
10:38.0,,,53-56,1,J. Redick makes free throw 1 of 2
10:38.0,,,53-57,1,J. Redick makes free throw 2 of 2
10:16.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,55-57,,
9:59.0,,,55-57,,P. Pierce misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by G. Dieng,,55-57,,
9:53.0,,,55-57,,Personal foul by L. Mbah a Moute (drawn by R. Rubio)
9:42.0,A. Wiggins misses 2-pt shot from 15 ft,,55-57,,
9:42.0,,,55-57,,Defensive rebound by Team
9:35.0,,,55-59,2,D. Jordan makes 2-pt shot from 2 ft (assist by P. Pierce)
9:35.0,,,55-59,,Shooting foul by G. Dieng (drawn by D. Jordan)
9:35.0,,,55-59,,D. Jordan misses free throw 1 of 1
9:35.0,Defensive rebound by K. Towns,,55-59,,
9:24.0,K. Towns makes 2-pt shot from 16 ft (assist by A. Wiggins),2,57-59,,
9:11.0,,,57-59,,C. Paul misses 2-pt shot from 16 ft
9:10.0,Defensive rebound by R. Rubio,,57-59,,
9:08.0,Shooting foul by C. Paul (drawn by R. Rubio),,57-59,,
9:08.0,R. Rubio makes free throw 1 of 2,1,58-59,,
9:08.0,R. Rubio makes free throw 2 of 2,1,59-59,,
8:47.0,,,59-59,,D. Jordan misses 2-pt shot from 4 ft
8:43.0,Defensive rebound by G. Dieng,,59-59,,
8:25.0,G. Dieng misses 2-pt shot from 1 ft,,59-59,,
8:24.0,Offensive rebound by K. Towns,,59-59,,
8:24.0,K. Towns makes 2-pt shot at rim,2,61-59,,
7:59.0,,,61-59,,Turnover by P. Pierce (lost ball; steal by R. Rubio)
7:54.0,A. Wiggins makes 2-pt shot from 2 ft,2,63-59,,
7:38.0,,,63-59,,C. Paul misses 2-pt shot from 15 ft
7:35.0,Defensive rebound by K. Towns,,63-59,,
7:25.0,Shooting foul by P. Pierce (drawn by G. Dieng),,63-59,,
7:25.0,G. Dieng makes free throw 1 of 2,1,64-59,,
7:25.0,,,64-59,,W. Johnson enters the game for P. Pierce
7:25.0,G. Dieng makes free throw 2 of 2,1,65-59,,
7:14.0,,,65-59,,L. Mbah a Moute misses 2-pt shot from 15 ft
7:13.0,Defensive rebound by K. Towns,,65-59,,
6:56.0,T. Prince misses 2-pt shot from 20 ft,,65-59,,
6:55.0,,,65-59,,Defensive rebound by D. Jordan
6:50.0,,,65-59,,Turnover by L. Mbah a Moute (bad pass)
6:50.0,Minnesota full timeout,,65-59,,
6:37.0,,,65-59,,Personal foul by W. Johnson (drawn by G. Dieng)
6:22.0,A. Wiggins misses 2-pt shot from 17 ft,,65-59,,
6:21.0,Offensive rebound by G. Dieng,,65-59,,
6:08.0,G. Dieng misses 2-pt shot from 7 ft,,65-59,,
6:05.0,Offensive rebound by A. Wiggins,,65-59,,
6:05.0,A. Wiggins makes 2-pt shot from 1 ft,2,67-59,,
5:47.0,,,67-59,,Shooting foul by K. Towns (drawn by D. Jordan)
5:47.0,,,67-59,,D. Jordan misses free throw 1 of 2
5:47.0,,,67-59,,Offensive rebound by Team
5:47.0,,,67-59,,J. Crawford enters the game for L. Mbah a Moute
5:47.0,,,67-59,,D. Jordan misses free throw 2 of 2
5:45.0,Defensive rebound by R. Rubio,,67-59,,
5:28.0,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio),2,69-59,,
5:06.0,,,69-59,,J. Redick misses 2-pt shot from 2 ft (block by A. Wiggins)
5:06.0,,,69-59,,Offensive rebound by Team
5:06.0,Z. LaVine enters the game for T. Prince,,69-59,,
5:01.0,,,69-59,,W. Johnson misses 3-pt shot from 26 ft
5:00.0,,,69-59,,Offensive rebound by C. Paul
4:56.0,,,69-59,,C. Paul misses 3-pt shot from 26 ft
4:55.0,Defensive rebound by Z. LaVine,,69-59,,
4:41.0,Turnover by A. Wiggins (bad pass),,69-59,,
4:29.0,,,69-62,3,W. Johnson makes 3-pt shot from 25 ft (assist by C. Paul)
4:07.0,R. Rubio misses 2-pt shot from 17 ft,,69-62,,
4:04.0,,,69-62,,Defensive rebound by W. Johnson
3:51.0,,,69-64,2,C. Paul makes 2-pt shot from 17 ft
3:25.0,K. Towns makes 2-pt shot from 17 ft (assist by Z. LaVine),2,71-64,,
3:04.0,,,71-67,3,J. Crawford makes 3-pt shot from 27 ft (assist by C. Paul)
2:47.0,Turnover by G. Dieng (lost ball; steal by C. Paul),,71-67,,
2:43.0,,,71-67,,Shooting foul by Z. LaVine (drawn by W. Johnson)
2:43.0,,,71-67,,LA Clippers full timeout
2:43.0,D. Rudez enters the game for G. Dieng,,71-67,,
2:43.0,A. Miller enters the game for R. Rubio,,71-67,,
2:43.0,,,71-67,,W. Johnson misses free throw 1 of 2
2:43.0,,,71-67,,Offensive rebound by Team
2:43.0,,,71-68,1,W. Johnson makes free throw 2 of 2
2:28.0,K. Towns makes 3-pt shot from 25 ft (assist by A. Miller),3,74-68,,
2:08.0,,,74-71,3,C. Paul makes 3-pt shot from 26 ft
1:41.0,K. Towns makes 2-pt shot from 2 ft (assist by A. Miller),2,76-71,,
1:17.0,,,76-71,,J. Crawford misses 2-pt shot from 12 ft
1:14.0,,,76-71,,Offensive rebound by D. Jordan
1:10.0,,,76-71,,J. Crawford misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by Z. LaVine,,76-71,,
0:57.0,Offensive foul by D. Rudez,,76-71,,
0:57.0,Turnover by D. Rudez (offensive foul),,76-71,,
0:57.0,S. Muhammad enters the game for A. Wiggins,,76-71,,
0:57.0,,,76-71,,L. Stephenson enters the game for J. Redick
0:45.0,,,76-71,,C. Paul misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by Team,,76-71,,
0:31.0,Turnover by A. Miller (bad pass; steal by D. Jordan),,76-71,,
0:24.0,,,76-71,,J. Crawford misses 3-pt shot from 24 ft
0:23.0,,,76-71,,Offensive rebound by C. Paul
0:03.0,,,76-74,3,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul)
0:01.0,A. Miller misses 3-pt shot from 52 ft,,76-74,,
0:00.0,Offensive rebound by Team,,76-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by G. Dieng (lost ball; steal by W. Johnson),,76-74,,
11:18.0,,,76-74,,P. Prigioni misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by S. Muhammad,,76-74,,
11:02.0,Shooting foul by C. Aldrich (drawn by G. Dieng),,76-74,,
11:02.0,G. Dieng makes free throw 1 of 2,1,77-74,,
11:02.0,G. Dieng misses free throw 2 of 2,,77-74,,
11:02.0,,,77-74,,Defensive rebound by L. Stephenson
10:46.0,,,77-76,2,C. Aldrich makes 2-pt shot from 3 ft (assist by J. Crawford)
10:33.0,G. Dieng makes 2-pt shot from 1 ft (assist by A. Miller),2,79-76,,
10:33.0,Shooting foul by C. Aldrich (drawn by G. Dieng),,79-76,,
10:33.0,G. Dieng makes free throw 1 of 1,1,80-76,,
10:27.0,Personal foul by Z. LaVine (drawn by P. Prigioni),,80-76,,
10:24.0,,,80-76,,Offensive foul by P. Prigioni
10:24.0,,,80-76,,Turnover by P. Prigioni (offensive foul)
10:13.0,A. Miller makes 2-pt shot from 11 ft,2,82-76,,
10:13.0,Shooting foul by P. Prigioni (drawn by A. Miller),,82-76,,
10:13.0,A. Miller makes free throw 1 of 1,1,83-76,,
9:59.0,,,83-76,,Turnover by L. Stephenson (bad pass)
9:39.0,Shooting foul by C. Aldrich (drawn by S. Muhammad),,83-76,,
9:39.0,S. Muhammad makes free throw 1 of 2,1,84-76,,
9:39.0,S. Muhammad makes free throw 2 of 2,1,85-76,,
9:27.0,,,85-76,,Shooting foul by D. Rudez (drawn by J. Crawford)
9:27.0,,,85-77,1,J. Crawford makes free throw 1 of 2
9:27.0,,,85-78,1,J. Crawford makes free throw 2 of 2
9:12.0,Z. LaVine misses 2-pt shot from 19 ft,,85-78,,
9:10.0,,,85-78,,Defensive rebound by J. Crawford
9:02.0,,,85-80,2,J. Crawford makes 2-pt shot from 3 ft
8:47.0,Turnover by G. Dieng (traveling),,85-80,,
8:47.0,Official timeout,,85-80,,
8:28.0,,,85-80,,W. Johnson misses 3-pt shot from 27 ft
8:27.0,,,85-80,,Offensive rebound by C. Aldrich
8:26.0,,,85-80,,Shooting foul by G. Dieng (drawn by C. Aldrich)
8:26.0,,,85-81,1,C. Aldrich makes free throw 1 of 2
8:26.0,,,85-82,1,C. Aldrich makes free throw 2 of 2
8:08.0,Turnover by Z. LaVine (bad pass; steal by P. Prigioni),,85-82,,
8:04.0,,,85-84,2,P. Prigioni makes 2-pt shot from 1 ft
7:52.0,Minnesota full timeout,,85-84,,
7:52.0,T. Prince enters the game for D. Rudez,,85-84,,
7:52.0,R. Rubio enters the game for A. Miller,,85-84,,
7:52.0,A. Wiggins enters the game for S. Muhammad,,85-84,,
7:37.0,Turnover by Team (shot clock),,85-84,,
7:37.0,K. Towns enters the game for G. Dieng,,85-84,,
7:19.0,,,85-84,,J. Crawford misses 2-pt shot from 13 ft
7:18.0,Defensive rebound by K. Towns,,85-84,,
7:15.0,Turnover by K. Towns (bad pass; steal by W. Johnson),,85-84,,
7:10.0,,,85-84,,J. Crawford misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by K. Towns,,85-84,,
7:00.0,R. Rubio misses 2-pt shot from 2 ft (block by C. Aldrich),,85-84,,
7:00.0,Offensive rebound by Team,,85-84,,
7:00.0,,,85-84,,D. Jordan enters the game for C. Aldrich
7:00.0,,,85-84,,C. Paul enters the game for P. Prigioni
6:52.0,,,85-84,,Personal foul by W. Johnson (drawn by A. Wiggins)
6:52.0,A. Wiggins makes free throw 1 of 2,1,86-84,,
6:52.0,A. Wiggins makes free throw 2 of 2,1,87-84,,
6:38.0,,,87-84,,W. Johnson misses 3-pt shot from 24 ft
6:37.0,,,87-84,,Offensive rebound by D. Jordan
6:33.0,,,87-86,2,L. Stephenson makes 2-pt shot from 2 ft
6:11.0,Turnover by A. Wiggins (lost ball; steal by W. Johnson),,87-86,,
6:06.0,,,87-88,2,J. Crawford makes 2-pt shot from 1 ft (assist by W. Johnson)
5:49.0,Z. LaVine makes 3-pt shot from 27 ft (assist by R. Rubio),3,90-88,,
5:24.0,,,90-88,,Turnover by C. Paul (bad pass; steal by R. Rubio)
5:24.0,,,90-88,,Loose ball foul by W. Johnson (drawn by K. Towns)
5:24.0,K. Towns makes free throw 1 of 2,1,91-88,,
5:24.0,K. Towns makes free throw 2 of 2,1,92-88,,
5:13.0,,,92-88,,W. Johnson misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by A. Wiggins,,92-88,,
5:10.0,Shooting foul by W. Johnson (drawn by A. Wiggins),,92-88,,
5:10.0,A. Wiggins makes free throw 1 of 2,1,93-88,,
5:10.0,,,93-88,,J. Redick enters the game for L. Stephenson
5:10.0,A. Wiggins makes free throw 2 of 2,1,94-88,,
5:02.0,,,94-88,,Turnover by D. Jordan (offensive goaltending)
4:41.0,Z. LaVine makes 2-pt shot from 5 ft,2,96-88,,
4:23.0,,,96-88,,Turnover by C. Paul (lost ball)
4:11.0,A. Wiggins misses 2-pt shot from 10 ft (block by W. Johnson),,96-88,,
4:10.0,Offensive rebound by T. Prince,,96-88,,
3:55.0,K. Towns misses 2-pt shot from 3 ft (block by D. Jordan),,96-88,,
3:53.0,,,96-88,,Defensive rebound by D. Jordan
3:31.0,,,96-91,3,C. Paul makes 3-pt shot from 26 ft (assist by J. Crawford)
3:04.0,A. Wiggins misses 3-pt shot from 25 ft,,96-91,,
3:03.0,,,96-91,,Defensive rebound by Team
3:03.0,,,96-91,,LA Clippers full timeout
3:00.0,Personal foul by T. Prince (drawn by J. Redick),,96-91,,
2:57.0,Personal take foul by K. Towns (drawn by D. Jordan),,96-91,,
2:57.0,,,96-91,,D. Jordan misses free throw 1 of 2
2:57.0,,,96-91,,Offensive rebound by Team
2:57.0,,,96-92,1,D. Jordan makes free throw 2 of 2
2:42.0,Z. LaVine misses 2-pt shot from 20 ft,,96-92,,
2:41.0,,,96-92,,Defensive rebound by W. Johnson
2:41.0,Personal take foul by T. Prince (drawn by D. Jordan),,96-92,,
2:41.0,,,96-93,1,D. Jordan makes free throw 1 of 2
2:41.0,,,96-94,1,D. Jordan makes free throw 2 of 2
2:25.0,A. Wiggins misses 2-pt shot from 2 ft (block by D. Jordan),,96-94,,
2:23.0,Offensive rebound by K. Towns,,96-94,,
2:22.0,K. Towns misses 2-pt shot at rim (block by W. Johnson),,96-94,,
2:20.0,,,96-94,,Defensive rebound by J. Redick
2:01.0,,,96-94,,Shooting foul by A. Wiggins (drawn by J. Crawford)
2:01.0,,,96-95,1,J. Crawford makes free throw 1 of 2
2:01.0,,,96-96,1,J. Crawford makes free throw 2 of 2
1:49.0,Z. LaVine makes 2-pt shot from 3 ft (assist by K. Towns),2,98-96,,
1:36.0,,,98-96,,J. Redick misses 3-pt shot from 26 ft
