time,Washington,pts.away,score,pts.home,Milwaukee
5:28.0,N. Hilario enters the game for M. Gortat,,16-9,,
5:07.0,,,16-9,,G. Monroe misses 2-pt shot from 2 ft
5:05.0,,,16-9,,Offensive rebound by G. Antetokounmpo
5:01.0,,,16-9,,M. Carter-Williams misses 2-pt shot from 18 ft
5:00.0,,,16-9,,Offensive rebound by J. Parker
4:51.0,,,16-9,,Turnover by G. Antetokounmpo (3 sec)
4:46.0,Turnover by J. Wall (bad pass; steal by M. Carter-Williams),,16-9,,
4:41.0,,,16-11,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
4:21.0,J. Dudley makes 2-pt shot at rim (assist by N. Hilario),2,18-11,,
4:05.0,,,18-11,,G. Monroe misses 2-pt shot from 3 ft
4:04.0,Defensive rebound by N. Hilario,,18-11,,
3:55.0,J. Dudley misses 3-pt shot from 24 ft,,18-11,,
3:54.0,,,18-11,,Defensive rebound by M. Carter-Williams
3:46.0,,,18-11,,J. Parker misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by Team,,18-11,,
3:37.0,N. Hilario misses 2-pt shot from 19 ft,,18-11,,
3:36.0,,,18-11,,Defensive rebound by G. Monroe
3:27.0,,,18-13,2,K. Middleton makes 2-pt shot from 1 ft
3:19.0,O. Porter makes 2-pt shot from 21 ft (assist by B. Beal),2,20-13,,
3:01.0,,,20-13,,Turnover by J. Parker (traveling)
3:01.0,Washington full timeout,,20-13,,
3:01.0,G. Temple enters the game for B. Beal,,20-13,,
3:01.0,,,20-13,,J. Bayless enters the game for J. Parker
2:46.0,N. Hilario makes 2-pt shot at rim (assist by J. Dudley),2,22-13,,
2:21.0,,,22-15,2,K. Middleton makes 2-pt shot from 11 ft (assist by G. Monroe)
2:09.0,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall),3,25-15,,
1:57.0,,,25-15,,K. Middleton misses 3-pt shot from 24 ft
1:56.0,,,25-15,,Offensive rebound by M. Carter-Williams
1:54.0,,,25-15,,Shooting foul by N. Hilario (drawn by K. Middleton)
1:54.0,,,25-16,1,K. Middleton makes free throw 1 of 2
1:54.0,R. Sessions enters the game for O. Porter,,25-16,,
1:54.0,K. Oubre enters the game for J. Wall,,25-16,,
1:54.0,,,25-17,1,K. Middleton makes free throw 2 of 2
1:28.0,K. Oubre misses 3-pt shot from 24 ft,,25-17,,
1:27.0,,,25-17,,Defensive rebound by J. Bayless
1:20.0,,,25-17,,K. Middleton misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by N. Hilario,,25-17,,
1:11.0,J. Dudley misses 2-pt shot from 3 ft,,25-17,,
1:09.0,Offensive rebound by K. Oubre,,25-17,,
1:09.0,K. Oubre makes 2-pt shot at rim,2,27-17,,
0:45.0,,,27-17,,M. Carter-Williams misses 3-pt shot from 24 ft
0:44.0,,,27-17,,Offensive rebound by Team
0:44.0,Loose ball foul by N. Hilario (drawn by G. Antetokounmpo),,27-17,,
0:44.0,D. Gooden enters the game for J. Dudley,,27-17,,
0:44.0,,,27-17,,G. Antetokounmpo misses free throw 1 of 2
0:44.0,,,27-17,,Offensive rebound by Team
0:44.0,,,27-18,1,G. Antetokounmpo makes free throw 2 of 2
0:32.0,,,27-18,,Shooting block foul by M. Carter-Williams (drawn by R. Sessions)
0:32.0,R. Sessions misses free throw 1 of 2,,27-18,,
0:32.0,Offensive rebound by Team,,27-18,,
0:32.0,R. Sessions misses free throw 2 of 2,,27-18,,
0:32.0,,,27-18,,Defensive rebound by G. Antetokounmpo
0:11.0,,,27-18,,J. Bayless misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by G. Temple,,27-18,,
0:08.0,J. Wall enters the game for K. Oubre,,27-18,,
0:02.0,D. Gooden misses 3-pt shot from 27 ft,,27-18,,
0:00.0,,,27-18,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-20,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
11:19.0,R. Sessions misses 3-pt shot from 26 ft,,27-20,,
11:18.0,,,27-20,,Defensive rebound by J. Bayless
11:12.0,,,27-20,,Shooting foul by D. Gooden (drawn by J. Parker)
11:12.0,,,27-20,,J. Parker misses free throw 1 of 2
11:12.0,,,27-20,,Offensive rebound by Team
11:12.0,O. Porter enters the game for D. Gooden,,27-20,,
11:12.0,,,27-21,1,J. Parker makes free throw 2 of 2
10:51.0,O. Porter makes 2-pt shot from 14 ft (assist by R. Sessions),2,29-21,,
10:42.0,,,29-21,,Turnover by M. Carter-Williams (step out of bounds)
10:25.0,O. Porter misses 2-pt shot from 16 ft,,29-21,,
10:23.0,Offensive rebound by N. Hilario,,29-21,,
10:21.0,N. Hilario makes 2-pt shot at rim,2,31-21,,
10:12.0,,,31-21,,Shooting foul by K. Oubre (drawn by M. Carter-Williams)
10:12.0,,,31-22,1,M. Carter-Williams makes free throw 1 of 2
10:12.0,,,31-22,,M. Carter-Williams misses free throw 2 of 2
10:11.0,,,31-22,,Offensive rebound by J. Parker
10:01.0,,,31-22,,Turnover by M. Carter-Williams (bad pass; steal by G. Temple)
9:54.0,O. Porter misses 3-pt shot from 22 ft,,31-22,,
9:52.0,,,31-22,,Defensive rebound by J. Bayless
9:49.0,,,31-22,,Shooting foul by O. Porter (drawn by M. Carter-Williams)
9:49.0,,,31-23,1,M. Carter-Williams makes free throw 1 of 2
9:49.0,,,31-24,1,M. Carter-Williams makes free throw 2 of 2
9:31.0,Shooting foul by G. Monroe (drawn by N. Hilario),,31-24,,
9:31.0,N. Hilario makes free throw 1 of 2,1,32-24,,
9:31.0,N. Hilario makes free throw 2 of 2,1,33-24,,
9:20.0,,,33-26,2,G. Monroe makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
9:12.0,R. Sessions makes 2-pt shot from 1 ft,2,35-26,,
9:03.0,,,35-28,2,M. Carter-Williams makes 2-pt shot from 1 ft
8:58.0,R. Sessions misses 2-pt shot from 3 ft,,35-28,,
8:57.0,Offensive rebound by G. Temple,,35-28,,
8:56.0,G. Temple makes 2-pt shot at rim,2,37-28,,
8:56.0,Shooting foul by M. Carter-Williams (drawn by G. Temple),,37-28,,
8:56.0,Official timeout,,37-28,,
8:56.0,,,37-28,,M. Plumlee enters the game for G. Monroe
8:56.0,G. Temple misses free throw 1 of 1,,37-28,,
8:54.0,,,37-28,,Defensive rebound by M. Plumlee
8:46.0,Violation by K. Oubre (kicked ball),,37-28,,
8:40.0,,,37-28,,J. Bayless misses 2-pt shot from 4 ft
8:39.0,,,37-28,,Offensive rebound by J. Bayless
8:37.0,,,37-30,2,J. Bayless makes 2-pt shot from 6 ft
8:21.0,O. Porter misses 3-pt shot from 26 ft,,37-30,,
8:19.0,,,37-30,,Defensive rebound by J. Parker
8:15.0,Personal foul by K. Oubre (drawn by M. Carter-Williams),,37-30,,
8:15.0,M. Gortat enters the game for N. Hilario,,37-30,,
8:15.0,B. Beal enters the game for K. Oubre,,37-30,,
8:10.0,,,37-32,2,R. Vaughn makes 2-pt shot from 20 ft (assist by M. Plumlee)
7:59.0,Shooting foul by J. Parker (drawn by R. Sessions),,37-32,,
7:59.0,R. Sessions makes free throw 1 of 2,1,38-32,,
7:59.0,R. Sessions makes free throw 2 of 2,1,39-32,,
7:47.0,,,39-34,2,J. Parker makes 2-pt shot from 11 ft (assist by J. Bayless)
7:33.0,Shooting foul by J. Bayless (drawn by R. Sessions),,39-34,,
7:33.0,R. Sessions makes free throw 1 of 2,1,40-34,,
7:33.0,J. Dudley enters the game for O. Porter,,40-34,,
7:33.0,J. Wall enters the game for G. Temple,,40-34,,
7:33.0,R. Sessions misses free throw 2 of 2,,40-34,,
7:32.0,,,40-34,,Defensive rebound by M. Carter-Williams
7:24.0,,,40-36,2,M. Plumlee makes 2-pt shot from 3 ft (assist by J. Parker)
7:24.0,,,40-36,,Shooting foul by M. Gortat (drawn by M. Plumlee)
7:24.0,N. Hilario enters the game for M. Gortat,,40-36,,
7:24.0,,,40-36,,M. Plumlee misses free throw 1 of 1
7:23.0,Defensive rebound by N. Hilario,,40-36,,
6:58.0,J. Dudley misses 3-pt shot from 26 ft,,40-36,,
6:57.0,,,40-36,,Defensive rebound by J. Bayless
6:47.0,,,40-38,2,J. Parker makes 2-pt shot from 1 ft (assist by J. Bayless)
6:34.0,N. Hilario misses 2-pt shot at rim (block by M. Plumlee),,40-38,,
6:32.0,,,40-38,,Defensive rebound by J. Parker
6:30.0,,,40-38,,Offensive charge foul by M. Plumlee
6:30.0,,,40-38,,Turnover by M. Plumlee (offensive foul)
6:11.0,R. Sessions misses 3-pt shot from 22 ft,,40-38,,
6:09.0,,,40-38,,Defensive rebound by M. Carter-Williams
6:07.0,,,40-38,,Turnover by M. Carter-Williams (lost ball; steal by R. Sessions)
6:00.0,Turnover by J. Dudley (lost ball; steal by J. Parker),,40-38,,
5:54.0,,,40-38,,Milwaukee full timeout
5:54.0,O. Porter enters the game for R. Sessions,,40-38,,
5:38.0,,,40-38,,Shooting foul by O. Porter (drawn by R. Vaughn)
5:38.0,,,40-39,1,R. Vaughn makes free throw 1 of 3
5:38.0,,,40-40,1,R. Vaughn makes free throw 2 of 3
5:38.0,,,40-41,1,R. Vaughn makes free throw 3 of 3
5:23.0,O. Porter misses 2-pt shot at rim,,40-41,,
5:21.0,,,40-41,,Defensive rebound by R. Vaughn
5:02.0,,,40-44,3,J. Bayless makes 3-pt shot from 25 ft
4:52.0,J. Wall misses 3-pt shot from 27 ft,,40-44,,
4:51.0,Offensive rebound by O. Porter,,40-44,,
4:49.0,O. Porter misses 2-pt shot from 12 ft,,40-44,,
4:48.0,,,40-44,,Defensive rebound by J. Parker
4:41.0,,,40-44,,J. Bayless misses 2-pt shot from 20 ft
4:37.0,Defensive rebound by J. Wall,,40-44,,
4:32.0,J. Dudley misses 3-pt shot from 27 ft,,40-44,,
4:31.0,,,40-44,,Defensive rebound by M. Plumlee
4:17.0,,,40-46,2,J. Parker makes 2-pt shot from 14 ft
4:11.0,Washington full timeout,,40-46,,
4:11.0,,,40-46,,O. Mayo enters the game for M. Carter-Williams
4:11.0,,,40-46,,K. Middleton enters the game for R. Vaughn
4:04.0,J. Wall misses 2-pt shot from 1 ft (block by O. Mayo),,40-46,,
4:04.0,Offensive rebound by Team,,40-46,,
4:01.0,B. Beal misses 3-pt shot from 26 ft,,40-46,,
3:59.0,,,40-46,,Defensive rebound by K. Middleton
3:38.0,,,40-46,,O. Mayo misses 2-pt shot at rim (block by J. Wall)
3:37.0,Defensive rebound by N. Hilario,,40-46,,
3:37.0,,,40-46,,Loose ball foul by M. Plumlee (drawn by N. Hilario)
3:37.0,N. Hilario makes free throw 1 of 2,1,41-46,,
3:37.0,N. Hilario makes free throw 2 of 2,1,42-46,,
3:13.0,,,42-46,,J. Bayless misses 2-pt shot at rim
3:11.0,Defensive rebound by N. Hilario,,42-46,,
3:06.0,J. Wall misses 2-pt shot from 1 ft (block by J. Bayless),,42-46,,
3:04.0,,,42-46,,Defensive rebound by J. Parker
3:02.0,,,42-46,,J. Parker misses 2-pt shot from 1 ft (block by O. Porter)
3:02.0,Defensive rebound by Team,,42-46,,
2:49.0,N. Hilario misses 2-pt shot from 19 ft,,42-46,,
2:48.0,,,42-46,,Defensive rebound by J. Bayless
2:33.0,,,42-46,,Shooting foul by J. Dudley (drawn by J. Parker)
2:33.0,,,42-46,,J. Parker misses free throw 1 of 2
2:33.0,,,42-46,,Offensive rebound by Team
2:33.0,,,42-46,,G. Antetokounmpo enters the game for J. Bayless
2:33.0,,,42-46,,G. Monroe enters the game for M. Plumlee
2:33.0,,,42-47,1,J. Parker makes free throw 2 of 2
2:13.0,Offensive foul by O. Porter,,42-47,,
2:13.0,Turnover by O. Porter (offensive foul),,42-47,,
2:13.0,G. Temple enters the game for O. Porter,,42-47,,
2:01.0,,,42-49,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
1:49.0,Turnover by J. Wall (bad pass; steal by G. Monroe),,42-49,,
1:46.0,,,42-51,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:27.0,Turnover by J. Wall (bad pass),,42-51,,
1:27.0,D. Blair enters the game for N. Hilario,,42-51,,
1:13.0,,,42-51,,Shooting foul by D. Blair (drawn by G. Antetokounmpo)
1:13.0,,,42-52,1,G. Antetokounmpo makes free throw 1 of 2
1:13.0,,,42-53,1,G. Antetokounmpo makes free throw 2 of 2
1:03.0,J. Wall makes 2-pt shot at rim (assist by B. Beal),2,44-53,,
0:45.0,Personal foul by D. Blair (drawn by G. Monroe),,44-53,,
0:45.0,,,44-54,1,G. Monroe makes free throw 1 of 2
0:45.0,,,44-55,1,G. Monroe makes free throw 2 of 2
0:35.0,Washington full timeout,,44-55,,
0:24.0,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall),2,46-55,,
0:05.0,,,46-55,,K. Middleton misses 2-pt shot at rim
0:03.0,,,46-55,,Offensive rebound by K. Middleton
0:01.0,,,46-55,,K. Middleton misses 3-pt shot from 25 ft
0:00.0,,,46-55,,Offensive rebound by G. Monroe
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,46-55,,Turnover by O. Mayo (bad pass; steal by M. Gortat)
11:30.0,O. Porter misses 3-pt shot from 27 ft,,46-55,,
11:28.0,Offensive rebound by J. Dudley,,46-55,,
11:18.0,B. Beal makes 3-pt shot from 25 ft,3,49-55,,
11:00.0,,,49-57,2,K. Middleton makes 2-pt shot from 15 ft (assist by O. Mayo)
10:39.0,B. Beal misses 2-pt shot from 21 ft,,49-57,,
10:38.0,,,49-57,,Defensive rebound by G. Antetokounmpo
10:33.0,,,49-57,,G. Antetokounmpo misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by M. Gortat,,49-57,,
10:16.0,O. Porter misses 2-pt shot from 15 ft,,49-57,,
10:14.0,,,49-57,,Defensive rebound by G. Antetokounmpo
10:02.0,,,49-57,,G. Antetokounmpo misses 2-pt shot from 6 ft
10:01.0,Defensive rebound by J. Dudley,,49-57,,
10:00.0,,,49-57,,Flagrant foul type 1 by O. Mayo (drawn by O. Porter)
10:00.0,O. Porter makes flagrant free throw 1 of 2,1,50-57,,
10:00.0,O. Porter misses flagrant free throw 2 of 2,,50-57,,
10:00.0,Offensive rebound by Team,,50-57,,
9:44.0,J. Wall misses 3-pt shot from 26 ft,,50-57,,
9:42.0,Offensive rebound by Team,,50-57,,
9:37.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,52-57,,
9:24.0,Personal foul by B. Beal (drawn by K. Middleton),,52-57,,
9:15.0,,,52-57,,K. Middleton misses 2-pt shot from 14 ft
9:12.0,Defensive rebound by M. Gortat,,52-57,,
8:59.0,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall),2,54-57,,
8:52.0,,,54-57,,Offensive foul by O. Mayo
8:52.0,,,54-57,,Turnover by O. Mayo (offensive foul)
8:52.0,,,54-57,,M. Carter-Williams enters the game for O. Mayo
8:31.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,56-57,,
8:31.0,,,56-57,,Milwaukee full timeout
8:21.0,,,56-57,,Turnover by G. Antetokounmpo (lost ball)
8:06.0,J. Wall misses 3-pt shot from 28 ft,,56-57,,
8:05.0,,,56-57,,Defensive rebound by M. Plumlee
7:51.0,,,56-57,,Turnover by M. Carter-Williams (bad pass)
7:50.0,,,56-57,,Loose ball foul by G. Antetokounmpo (drawn by O. Porter)
7:50.0,,,56-57,,G. Monroe enters the game for M. Plumlee
7:31.0,J. Wall makes 2-pt shot from 19 ft,2,58-57,,
7:06.0,,,58-57,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by B. Beal,,58-57,,
6:55.0,B. Beal misses 3-pt shot from 27 ft,,58-57,,
6:54.0,Offensive rebound by O. Porter,,58-57,,
6:40.0,J. Wall misses 3-pt shot from 24 ft,,58-57,,
6:39.0,,,58-57,,Defensive rebound by G. Antetokounmpo
6:30.0,,,58-57,,Turnover by J. Parker (bad pass; steal by J. Wall)
6:26.0,J. Wall misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,58-57,,
6:23.0,,,58-57,,Defensive rebound by M. Carter-Williams
6:19.0,,,58-57,,Turnover by J. Parker (bad pass)
6:05.0,Turnover by M. Gortat (bad pass; steal by K. Middleton),,58-57,,
6:02.0,,,58-59,2,K. Middleton makes 2-pt shot at rim
5:35.0,M. Gortat makes 2-pt shot from 11 ft,2,60-59,,
5:20.0,,,60-59,,G. Antetokounmpo misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by J. Dudley,,60-59,,
5:12.0,O. Porter misses 3-pt shot from 25 ft,,60-59,,
5:11.0,,,60-59,,Defensive rebound by G. Monroe
5:02.0,,,60-59,,M. Carter-Williams misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by M. Gortat,,60-59,,
4:47.0,Shooting foul by G. Monroe (drawn by B. Beal),,60-59,,
4:47.0,B. Beal makes free throw 1 of 2,1,61-59,,
4:47.0,B. Beal makes free throw 2 of 2,1,62-59,,
4:32.0,,,62-61,2,G. Monroe makes 2-pt shot from 3 ft
4:21.0,B. Beal misses 2-pt shot from 4 ft,,62-61,,
4:20.0,,,62-61,,Defensive rebound by G. Monroe
4:14.0,,,62-63,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
3:52.0,J. Wall misses 3-pt shot from 26 ft,,62-63,,
3:51.0,Offensive rebound by M. Gortat,,62-63,,
3:49.0,M. Gortat misses 2-pt shot from 1 ft,,62-63,,
3:48.0,Offensive rebound by M. Gortat,,62-63,,
3:48.0,M. Gortat misses 2-pt shot from 1 ft,,62-63,,
3:47.0,Offensive rebound by Team,,62-63,,
3:39.0,Turnover by B. Beal (bad pass; steal by K. Middleton),,62-63,,
3:24.0,,,62-65,2,J. Parker makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
3:01.0,Shooting foul by M. Carter-Williams (drawn by B. Beal),,62-65,,
3:01.0,B. Beal makes free throw 1 of 2,1,63-65,,
3:01.0,B. Beal makes free throw 2 of 2,1,64-65,,
2:50.0,,,64-65,,G. Monroe misses 2-pt shot from 3 ft
2:49.0,,,64-65,,Offensive rebound by G. Antetokounmpo
2:37.0,,,64-65,,M. Carter-Williams misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by O. Porter,,64-65,,
2:22.0,J. Dudley makes 2-pt shot from 2 ft (assist by O. Porter),2,66-65,,
2:12.0,Washington full timeout,,66-65,,
2:12.0,G. Temple enters the game for B. Beal,,66-65,,
2:12.0,,,66-65,,J. Bayless enters the game for M. Carter-Williams
2:06.0,,,66-67,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
1:37.0,M. Gortat misses 3-pt shot from 27 ft,,66-67,,
1:36.0,,,66-67,,Defensive rebound by J. Parker
1:13.0,,,66-67,,J. Bayless misses 2-pt shot from 5 ft (block by J. Dudley)
1:11.0,Defensive rebound by M. Gortat,,66-67,,
1:10.0,,,66-67,,Violation by G. Antetokounmpo (def goaltending)
1:10.0,O. Porter makes 2-pt shot at rim (assist by M. Gortat),2,68-67,,
0:45.0,,,68-67,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by J. Dudley)
0:43.0,Defensive rebound by G. Temple,,68-67,,
0:37.0,Turnover by J. Wall (bad pass; steal by K. Middleton),,68-67,,
0:36.0,Personal foul by J. Dudley (drawn by J. Parker),,68-67,,
0:29.0,,,68-69,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
0:09.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,70-69,,
0:02.0,,,70-69,,Turnover by K. Middleton (lost ball; steal by G. Temple)
0:00.0,J. Wall misses 3-pt shot from 43 ft,,70-69,,
0:00.0,Offensive rebound by Team,,70-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by G. Monroe (drawn by N. Hilario),,70-69,,
11:44.0,N. Hilario makes free throw 1 of 2,1,71-69,,
11:44.0,N. Hilario makes free throw 2 of 2,1,72-69,,
11:27.0,,,72-69,,J. Bayless misses 3-pt shot from 23 ft
11:26.0,,,72-69,,Offensive rebound by G. Antetokounmpo
11:26.0,Personal foul by G. Temple (drawn by G. Antetokounmpo),,72-69,,
11:20.0,,,72-69,,Offensive charge foul by G. Monroe
11:20.0,,,72-69,,Turnover by G. Monroe (offensive foul)
10:59.0,J. Wall misses 2-pt shot from 16 ft,,72-69,,
10:58.0,,,72-69,,Defensive rebound by J. Bayless
10:45.0,,,72-72,3,R. Vaughn makes 3-pt shot from 24 ft (assist by K. Middleton)
10:28.0,,,72-72,,Personal foul by K. Middleton (drawn by K. Oubre)
10:15.0,J. Wall makes 3-pt shot from 28 ft (assist by O. Porter),3,75-72,,
9:58.0,,,75-72,,K. Middleton misses 2-pt shot at rim
9:57.0,,,75-72,,Offensive rebound by G. Monroe
9:57.0,,,75-72,,G. Monroe misses 2-pt shot from 1 ft
9:55.0,,,75-72,,Offensive rebound by G. Monroe
9:55.0,,,75-72,,G. Monroe misses 2-pt shot from 1 ft
9:54.0,,,75-72,,Offensive rebound by K. Middleton
9:54.0,,,75-74,2,K. Middleton makes 2-pt shot from 1 ft
9:54.0,,,75-74,,Shooting foul by N. Hilario (drawn by K. Middleton)
9:54.0,,,75-75,1,K. Middleton makes free throw 1 of 1
9:42.0,K. Oubre misses 2-pt shot at rim,,75-75,,
9:40.0,,,75-75,,Defensive rebound by J. Bayless
9:33.0,,,75-77,2,K. Middleton makes 2-pt shot from 1 ft
9:33.0,Washington full timeout,,75-77,,
9:33.0,B. Beal enters the game for K. Oubre,,75-77,,
9:17.0,Turnover by B. Beal (bad pass),,75-77,,
8:52.0,,,75-77,,R. Vaughn misses 3-pt shot from 27 ft (block by J. Wall)
8:52.0,,,75-77,,Offensive rebound by Team
8:52.0,,,75-77,,Turnover by Team (shot clock)
8:38.0,G. Temple misses 3-pt shot from 23 ft,,75-77,,
8:37.0,,,75-77,,Defensive rebound by G. Antetokounmpo
8:23.0,,,75-77,,K. Middleton misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by B. Beal,,75-77,,
8:17.0,Shooting foul by R. Vaughn (drawn by G. Temple),,75-77,,
8:17.0,G. Temple misses free throw 1 of 2,,75-77,,
8:17.0,Offensive rebound by Team,,75-77,,
8:17.0,G. Temple makes free throw 2 of 2,1,76-77,,
7:54.0,,,76-77,,R. Vaughn misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by J. Wall,,76-77,,
7:48.0,B. Beal misses 3-pt shot from 24 ft,,76-77,,
7:47.0,,,76-77,,Defensive rebound by K. Middleton
7:43.0,,,76-77,,Shooting foul by N. Hilario (drawn by K. Middleton)
7:43.0,,,76-78,1,K. Middleton makes free throw 1 of 2
7:43.0,,,76-78,,J. Parker enters the game for G. Antetokounmpo
7:43.0,J. Dudley enters the game for O. Porter,,76-78,,
7:43.0,R. Sessions enters the game for G. Temple,,76-78,,
7:43.0,,,76-79,1,K. Middleton makes free throw 2 of 2
7:32.0,J. Wall makes 3-pt shot from 27 ft (assist by B. Beal),3,79-79,,
7:11.0,,,79-79,,J. Bayless misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by J. Dudley,,79-79,,
6:58.0,N. Hilario misses 2-pt shot from 8 ft,,79-79,,
