time,Golden State,pts.away,score,pts.home,Memphis
6:42.0,M. Speights makes free throw 2 of 2,1,39-38,,
6:27.0,,,39-40,2,C. Andersen makes 2-pt shot at rim (assist by X. Munford)
6:09.0,Turnover by M. Speights (lost ball; steal by C. Andersen),,39-40,,
6:08.0,Personal take foul by M. Speights,,39-40,,
6:08.0,,,39-41,1,C. Andersen makes free throw 1 of 2
6:08.0,,,39-42,1,C. Andersen makes free throw 2 of 2
5:47.0,H. Barnes makes 2-pt shot from 20 ft (assist by K. Thompson),2,41-42,,
5:32.0,,,41-42,,L. Stephenson misses 2-pt shot from 2 ft
5:31.0,,,41-42,,Offensive rebound by C. Andersen
5:31.0,,,41-42,,C. Andersen misses 2-pt shot from 1 ft
5:29.0,,,41-42,,Offensive rebound by J. Martin
5:29.0,,,41-44,2,J. Martin makes 2-pt shot from 2 ft
5:19.0,K. Thompson misses 3-pt shot from 24 ft,,41-44,,
5:17.0,,,41-44,,Defensive rebound by V. Carter
4:58.0,,,41-44,,V. Carter misses 2-pt shot from 2 ft
4:54.0,,,41-44,,Offensive rebound by V. Carter
4:54.0,,,41-44,,V. Carter misses 2-pt shot at rim
4:53.0,,,41-44,,Offensive rebound by V. Carter
4:53.0,,,41-46,2,V. Carter makes 2-pt shot at rim
4:52.0,Golden State full timeout,,41-46,,
4:52.0,,,41-46,,Z. Randolph enters the game for C. Andersen
4:52.0,F. Ezeli enters the game for H. Barnes,,41-46,,
4:52.0,A. Iguodala enters the game for S. Livingston,,41-46,,
4:52.0,S. Curry enters the game for M. Speights,,41-46,,
4:52.0,D. Green enters the game for I. Clark,,41-46,,
4:41.0,D. Green makes 2-pt shot from 5 ft (assist by S. Curry),2,43-46,,
4:15.0,,,43-46,,Turnover by Team (shot clock)
4:03.0,,,43-46,,Personal foul by Z. Randolph
4:00.0,D. Green misses 3-pt shot from 24 ft,,43-46,,
3:59.0,,,43-46,,Defensive rebound by X. Munford
3:43.0,,,43-48,2,J. Martin makes 2-pt shot from 2 ft (assist by X. Munford)
3:34.0,,,43-48,,Personal foul by J. Martin
3:20.0,S. Curry misses 3-pt shot from 25 ft,,43-48,,
3:18.0,Offensive rebound by A. Iguodala,,43-48,,
3:12.0,Turnover by A. Iguodala (lost ball; steal by X. Munford),,43-48,,
2:54.0,,,43-48,,Z. Randolph misses 2-pt shot from 21 ft
2:52.0,Defensive rebound by D. Green,,43-48,,
2:45.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,46-48,,
2:37.0,,,46-48,,Memphis full timeout
2:37.0,,,46-48,,M. Barnes enters the game for V. Carter
2:24.0,,,46-48,,X. Munford misses 2-pt shot from 9 ft
2:21.0,Defensive rebound by F. Ezeli,,46-48,,
2:01.0,F. Ezeli misses 2-pt shot from 1 ft (block by J. Martin),,46-48,,
1:59.0,,,46-48,,Defensive rebound by X. Munford
1:44.0,,,46-48,,M. Barnes misses 3-pt shot from 26 ft
1:43.0,Defensive rebound by D. Green,,46-48,,
1:33.0,D. Green makes 2-pt shot from 3 ft,2,48-48,,
1:17.0,,,48-48,,Z. Randolph misses 2-pt shot from 8 ft
1:17.0,Defensive rebound by F. Ezeli,,48-48,,
1:17.0,,,48-48,,Loose ball foul by J. Martin
1:17.0,,,48-48,,C. Andersen enters the game for J. Martin
1:05.0,K. Thompson misses 3-pt shot from 22 ft,,48-48,,
1:03.0,,,48-48,,Defensive rebound by X. Munford
0:53.0,,,48-48,,Turnover by L. Stephenson (lost ball; steal by S. Curry)
0:42.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,51-48,,
0:28.0,,,51-50,2,Z. Randolph makes 2-pt shot from 18 ft (assist by X. Munford)
0:12.0,Shooting foul by M. Barnes (drawn by F. Ezeli),,51-50,,
0:12.0,F. Ezeli makes free throw 1 of 2,1,52-50,,
0:12.0,F. Ezeli makes free throw 2 of 2,1,53-50,,
0:03.0,,,53-50,,Turnover by L. Stephenson (bad pass)
0:00.0,S. Curry misses 3-pt shot from 62 ft,,53-50,,
0:00.0,Offensive rebound by Team,,53-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-50,,Z. Randolph misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by D. Green,,53-50,,
11:19.0,D. Green misses 3-pt shot from 25 ft,,53-50,,
11:17.0,,,53-50,,Defensive rebound by J. Farmar
11:10.0,Violation by F. Ezeli (kicked ball),,53-50,,
11:01.0,,,53-52,2,V. Carter makes 2-pt shot from 13 ft
10:52.0,Turnover by D. Green (lost ball),,53-52,,
10:30.0,,,53-52,,Z. Randolph misses 2-pt shot from 18 ft
10:30.0,Defensive rebound by S. Curry,,53-52,,
10:22.0,S. Curry misses 2-pt shot from 20 ft,,53-52,,
10:21.0,,,53-52,,Defensive rebound by Z. Randolph
10:03.0,,,53-52,,L. Stephenson misses 3-pt shot from 24 ft
10:01.0,,,53-52,,Offensive rebound by J. Farmar
9:54.0,,,53-52,,M. Barnes misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by F. Ezeli,,53-52,,
9:29.0,K. Thompson makes 2-pt shot from 18 ft,2,55-52,,
9:18.0,,,55-52,,J. Farmar misses 2-pt shot from 1 ft (block by D. Green)
9:15.0,Defensive rebound by S. Curry,,55-52,,
9:10.0,H. Barnes misses 2-pt shot at rim (block by J. Farmar),,55-52,,
9:10.0,Offensive rebound by Team,,55-52,,
9:07.0,Turnover by K. Thompson (lost ball; steal by L. Stephenson),,55-52,,
9:01.0,,,55-54,2,L. Stephenson makes 2-pt shot at rim
8:40.0,K. Thompson misses 3-pt shot from 24 ft,,55-54,,
8:39.0,,,55-54,,Defensive rebound by Z. Randolph
8:31.0,,,55-56,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Barnes)
8:30.0,,,55-56,,Violation by Team (jump ball)
8:30.0,Golden State full timeout,,55-56,,
8:11.0,S. Curry makes 2-pt shot from 3 ft,2,57-56,,
7:47.0,,,57-56,,L. Stephenson misses 2-pt shot from 7 ft
7:45.0,,,57-56,,Offensive rebound by Z. Randolph
7:42.0,,,57-56,,Z. Randolph misses 2-pt shot from 1 ft
7:40.0,,,57-56,,Offensive rebound by Z. Randolph
7:40.0,,,57-56,,Z. Randolph misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by S. Curry,,57-56,,
7:36.0,S. Curry makes 3-pt shot from 24 ft,3,60-56,,
7:36.0,,,60-56,,Memphis full timeout
7:36.0,,,60-56,,C. Andersen enters the game for Z. Randolph
7:36.0,A. Iguodala enters the game for F. Ezeli,,60-56,,
7:25.0,,,60-59,3,M. Barnes makes 3-pt shot from 24 ft (assist by V. Carter)
7:03.0,K. Thompson misses 3-pt shot from 24 ft,,60-59,,
7:01.0,,,60-59,,Defensive rebound by M. Barnes
6:52.0,,,60-59,,C. Andersen misses 2-pt shot from 5 ft
6:50.0,Defensive rebound by H. Barnes,,60-59,,
