time,Sacramento,pts.away,score,pts.home,Dallas
4:34.0,,,16-14,,R. Felton enters the game for D. Nowitzki
4:34.0,M. Belinelli enters the game for Q. Acy,,16-14,,
4:34.0,K. Koufos enters the game for R. Gay,,16-14,,
4:26.0,,,16-17,3,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons)
4:06.0,M. Belinelli misses 2-pt shot from 20 ft,,16-17,,
4:05.0,,,16-17,,Defensive rebound by Z. Pachulia
3:56.0,,,16-17,,Shooting foul by B. McLemore (drawn by W. Matthews)
3:56.0,,,16-18,1,W. Matthews makes free throw 1 of 2
3:56.0,S. Curry enters the game for B. McLemore,,16-18,,
3:56.0,,,16-19,1,W. Matthews makes free throw 2 of 2
3:34.0,D. Cousins misses 2-pt shot from 2 ft,,16-19,,
3:33.0,,,16-19,,Defensive rebound by C. Parsons
3:19.0,,,16-19,,Turnover by Z. Pachulia (lost ball; steal by D. Cousins)
3:09.0,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison),3,19-19,,
2:55.0,Shooting block foul by D. Cousins (drawn by C. Parsons),,19-19,,
2:55.0,Sacramento full timeout,,19-19,,
2:55.0,,,19-19,,J. McGee enters the game for Z. Pachulia
2:55.0,,,19-19,,D. Harris enters the game for D. Williams
2:55.0,,,19-19,,C. Parsons misses free throw 1 of 2
2:55.0,,,19-19,,Offensive rebound by Team
2:55.0,,,19-19,,C. Parsons misses free throw 2 of 2
2:54.0,Defensive rebound by K. Koufos,,19-19,,
2:40.0,D. Cousins misses 2-pt shot from 19 ft,,19-19,,
2:39.0,,,19-19,,Defensive rebound by C. Parsons
2:19.0,,,19-19,,W. Matthews misses 3-pt shot from 22 ft
2:18.0,,,19-19,,Offensive rebound by J. McGee
2:06.0,Shooting block foul by S. Curry (drawn by W. Matthews),,19-19,,
2:06.0,,,19-19,,W. Matthews misses free throw 1 of 2
2:06.0,,,19-19,,Offensive rebound by Team
2:06.0,,,19-20,1,W. Matthews makes free throw 2 of 2
1:52.0,S. Curry makes 3-pt shot from 23 ft (assist by M. Belinelli),3,22-20,,
1:39.0,,,22-20,,R. Felton misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by M. Belinelli,,22-20,,
1:32.0,D. Collison misses 2-pt shot from 2 ft,,22-20,,
1:31.0,,,22-20,,Defensive rebound by J. McGee
1:18.0,,,22-22,2,J. McGee makes 2-pt shot from 3 ft (assist by C. Parsons)
1:03.0,M. Belinelli misses 3-pt shot from 26 ft,,22-22,,
1:02.0,,,22-22,,Defensive rebound by W. Matthews
0:44.0,,,22-25,3,C. Parsons makes 3-pt shot from 24 ft (assist by R. Felton)
0:34.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,24-25,,
0:34.0,Shooting foul by J. McGee (drawn by D. Cousins),,24-25,,
0:34.0,,,24-25,,D. Nowitzki enters the game for C. Parsons
0:34.0,,,24-25,,J. Barea enters the game for W. Matthews
0:34.0,R. Gay enters the game for K. Koufos,,24-25,,
0:34.0,D. Cousins misses free throw 1 of 1,,24-25,,
0:34.0,,,24-25,,Defensive rebound by J. McGee
0:14.0,,,24-27,2,J. McGee makes 2-pt shot at rim
0:02.0,D. Collison misses 3-pt shot from 24 ft,,24-27,,
0:01.0,,,24-27,,Defensive rebound by D. Harris
0:00.0,,,24-27,,D. Harris misses 3-pt shot from 53 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,24-27,,R. Felton misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by S. Curry,,24-27,,
11:29.0,S. Curry misses 2-pt shot from 20 ft,,24-27,,
11:28.0,,,24-27,,Defensive rebound by D. Harris
11:18.0,,,24-27,,D. Nowitzki misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by R. Gay,,24-27,,
11:08.0,Turnover by K. Koufos (lost ball; steal by J. McGee),,24-27,,
10:57.0,Shooting block foul by K. Koufos (drawn by J. McGee),,24-27,,
10:57.0,,,24-28,1,J. McGee makes free throw 1 of 2
10:57.0,,,24-28,,J. McGee misses free throw 2 of 2
10:56.0,Defensive rebound by R. Gay,,24-28,,
10:42.0,S. Curry makes 3-pt shot from 24 ft (assist by R. Gay),3,27-28,,
10:18.0,,,27-30,2,J. Barea makes 2-pt shot from 17 ft
9:59.0,M. Belinelli misses 3-pt shot from 23 ft,,27-30,,
9:57.0,,,27-30,,Defensive rebound by R. Felton
9:48.0,,,27-30,,D. Nowitzki misses 2-pt shot from 15 ft
9:47.0,Defensive rebound by S. Curry,,27-30,,
9:37.0,R. Gay misses 2-pt shot from 5 ft (block by J. McGee),,27-30,,
9:35.0,,,27-30,,Defensive rebound by J. Barea
9:26.0,,,27-30,,J. Barea misses 2-pt shot from 9 ft
9:26.0,Defensive rebound by Team,,27-30,,
9:11.0,M. Belinelli misses 3-pt shot from 24 ft,,27-30,,
9:10.0,Offensive rebound by K. Koufos,,27-30,,
9:06.0,M. Belinelli makes 3-pt shot from 24 ft (assist by K. Koufos),3,30-30,,
8:51.0,Personal foul by S. Curry (drawn by D. Nowitzki),,30-30,,
8:51.0,Official timeout,,30-30,,
8:41.0,,,30-30,,D. Nowitzki misses 2-pt shot from 13 ft
8:41.0,Defensive rebound by Team,,30-30,,
8:26.0,M. Belinelli misses 2-pt shot from 15 ft,,30-30,,
8:25.0,,,30-30,,Defensive rebound by R. Felton
8:18.0,,,30-30,,D. Harris misses 2-pt shot from 1 ft
8:17.0,,,30-30,,Offensive rebound by D. Harris
8:15.0,Personal foul by R. Gay (drawn by D. Harris),,30-30,,
8:02.0,,,30-32,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Barea)
7:52.0,Turnover by R. Gay (bad pass; steal by J. McGee),,30-32,,
7:38.0,,,30-32,,J. McGee misses 2-pt shot from 1 ft
7:36.0,,,30-32,,Offensive rebound by J. McGee
7:36.0,,,30-34,2,J. McGee makes 2-pt shot at rim
7:14.0,J. Anderson misses 2-pt shot from 3 ft (block by J. McGee),,30-34,,
7:13.0,,,30-34,,Defensive rebound by R. Felton
7:11.0,,,30-34,,C. Parsons enters the game for D. Nowitzki
6:58.0,,,30-34,,C. Parsons misses 2-pt shot from 5 ft
6:57.0,,,30-34,,Offensive rebound by J. McGee
6:52.0,,,30-34,,Turnover by J. Barea (bad pass; steal by M. Belinelli)
6:47.0,Turnover by R. Gay (bad pass; steal by R. Felton),,30-34,,
6:34.0,,,30-34,,J. Barea misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by K. Koufos,,30-34,,
6:23.0,S. Curry misses 2-pt shot from 6 ft,,30-34,,
6:23.0,,,30-34,,Defensive rebound by R. Felton
6:02.0,,,30-36,2,D. Harris makes 2-pt shot from 17 ft
6:01.0,Sacramento full timeout,,30-36,,
6:01.0,,,30-36,,D. Williams enters the game for D. Harris
6:01.0,,,30-36,,Z. Pachulia enters the game for J. McGee
6:01.0,D. Cousins enters the game for K. Koufos,,30-36,,
6:01.0,B. McLemore enters the game for S. Curry,,30-36,,
6:01.0,D. Collison enters the game for J. Anderson,,30-36,,
5:39.0,D. Cousins makes 2-pt shot from 1 ft (assist by B. McLemore),2,32-36,,
5:16.0,,,32-36,,C. Parsons misses 2-pt shot from 9 ft
5:14.0,,,32-36,,Offensive rebound by C. Parsons
5:13.0,,,32-38,2,Z. Pachulia makes 2-pt shot at rim (assist by C. Parsons)
4:49.0,Turnover by B. McLemore (lost ball),,32-38,,
4:30.0,,,32-38,,Turnover by C. Parsons (bad pass; steal by M. Belinelli)
4:24.0,Shooting foul by D. Williams (drawn by D. Cousins),,32-38,,
4:24.0,D. Cousins misses free throw 1 of 2,,32-38,,
4:24.0,Offensive rebound by Team,,32-38,,
4:24.0,Q. Acy enters the game for M. Belinelli,,32-38,,
4:24.0,,,32-38,,W. Matthews enters the game for R. Felton
4:24.0,D. Cousins makes free throw 2 of 2,1,33-38,,
4:05.0,,,33-38,,D. Williams misses 2-pt shot at rim
4:04.0,,,33-38,,Offensive rebound by D. Williams
4:04.0,,,33-40,2,D. Williams makes 2-pt shot at rim
3:46.0,R. Gay misses 2-pt shot from 1 ft,,33-40,,
3:45.0,,,33-40,,Defensive rebound by Z. Pachulia
3:35.0,,,33-40,,C. Parsons misses 3-pt shot from 22 ft
3:34.0,Defensive rebound by B. McLemore,,33-40,,
3:13.0,D. Collison makes 2-pt shot from 12 ft,2,35-40,,
3:12.0,,,35-40,,Dallas full timeout
2:52.0,,,35-40,,W. Matthews misses 2-pt shot from 1 ft
2:51.0,,,35-40,,Offensive rebound by Z. Pachulia
2:47.0,,,35-42,2,J. Barea makes 2-pt shot from 14 ft
2:29.0,B. McLemore misses 3-pt shot from 23 ft,,35-42,,
2:29.0,Offensive rebound by Q. Acy,,35-42,,
2:29.0,,,35-42,,Personal foul by C. Parsons (drawn by Q. Acy)
2:29.0,S. Curry enters the game for Q. Acy,,35-42,,
2:29.0,M. Belinelli enters the game for R. Gay,,35-42,,
2:29.0,,,35-42,,D. Nowitzki enters the game for C. Parsons
2:22.0,B. McLemore makes 2-pt shot from 2 ft (assist by D. Collison),2,37-42,,
2:03.0,Personal foul by M. Belinelli (drawn by D. Nowitzki),,37-42,,
2:03.0,Q. Acy enters the game for B. McLemore,,37-42,,
1:57.0,Personal foul by Q. Acy (drawn by D. Nowitzki),,37-42,,
1:57.0,,,37-43,1,D. Nowitzki makes free throw 1 of 2
1:57.0,,,37-44,1,D. Nowitzki makes free throw 2 of 2
1:36.0,Q. Acy makes 2-pt shot from 4 ft (assist by D. Collison),2,39-44,,
1:12.0,,,39-46,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Williams)
0:47.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,41-46,,
0:37.0,,,41-49,3,D. Williams makes 3-pt shot from 24 ft
0:24.0,Shooting foul by D. Nowitzki (drawn by Q. Acy),,41-49,,
0:24.0,Q. Acy makes free throw 1 of 2,1,42-49,,
0:24.0,J. Anderson enters the game for S. Curry,,42-49,,
0:24.0,Q. Acy makes free throw 2 of 2,1,43-49,,
0:03.0,,,43-49,,J. Barea misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by D. Cousins,,43-49,,
0:01.0,D. Cousins misses 3-pt shot from 41 ft,,43-49,,
0:00.0,Offensive rebound by Team,,43-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,43-52,3,C. Parsons makes 3-pt shot from 22 ft (assist by W. Matthews)
11:15.0,Turnover by D. Cousins (lost ball; steal by Z. Pachulia),,43-52,,
11:09.0,,,43-52,,D. Williams misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by D. Cousins,,43-52,,
10:50.0,D. Cousins makes 2-pt shot from 1 ft,2,45-52,,
10:37.0,,,45-55,3,D. Williams makes 3-pt shot from 23 ft (assist by W. Matthews)
10:15.0,B. McLemore misses 3-pt shot from 22 ft,,45-55,,
10:13.0,,,45-55,,Defensive rebound by C. Parsons
10:02.0,,,45-55,,Z. Pachulia misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by Q. Acy,,45-55,,
9:53.0,D. Cousins makes 2-pt shot from 5 ft,2,47-55,,
9:53.0,Shooting foul by Z. Pachulia (drawn by D. Cousins),,47-55,,
9:53.0,D. Cousins misses free throw 1 of 1,,47-55,,
9:52.0,,,47-55,,Defensive rebound by Z. Pachulia
9:40.0,,,47-55,,Turnover by C. Parsons (bad pass; steal by R. Gay)
9:37.0,R. Gay makes 2-pt shot at rim,2,49-55,,
9:15.0,,,49-55,,Shooting foul by Q. Acy (drawn by C. Parsons)
9:15.0,,,49-56,1,C. Parsons makes free throw 1 of 2
9:15.0,,,49-57,1,C. Parsons makes free throw 2 of 2
9:03.0,D. Cousins makes 2-pt shot from 10 ft,2,51-57,,
8:51.0,,,51-57,,Turnover by D. Williams (bad pass; steal by Q. Acy)
8:39.0,D. Cousins misses 3-pt shot from 25 ft,,51-57,,
8:39.0,,,51-57,,Defensive rebound by D. Nowitzki
8:22.0,,,51-59,2,W. Matthews makes 2-pt shot from 14 ft
8:08.0,Q. Acy makes 2-pt shot at rim (assist by B. McLemore),2,53-59,,
8:08.0,Shooting foul by D. Williams (drawn by Q. Acy),,53-59,,
8:08.0,,,53-59,,R. Felton enters the game for C. Parsons
8:08.0,Q. Acy makes free throw 1 of 1,1,54-59,,
7:54.0,,,54-61,2,W. Matthews makes 2-pt shot from 5 ft
7:33.0,Turnover by D. Cousins (lost ball; steal by W. Matthews),,54-61,,
7:28.0,,,54-64,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
7:27.0,Sacramento full timeout,,54-64,,
7:27.0,M. Belinelli enters the game for Q. Acy,,54-64,,
7:08.0,R. Gay makes 2-pt shot from 11 ft,2,56-64,,
6:41.0,,,56-66,2,W. Matthews makes 2-pt shot from 20 ft
6:30.0,D. Collison makes 2-pt shot from 21 ft,2,58-66,,
6:18.0,,,58-66,,D. Nowitzki misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by D. Cousins,,58-66,,
6:09.0,D. Collison misses 3-pt shot from 25 ft,,58-66,,
6:08.0,,,58-66,,Defensive rebound by R. Felton
5:55.0,,,58-66,,W. Matthews misses 2-pt shot from 7 ft
5:54.0,Defensive rebound by D. Cousins,,58-66,,
5:54.0,,,58-66,,Loose ball foul by Z. Pachulia (drawn by D. Cousins)
5:54.0,,,58-66,,C. Parsons enters the game for D. Nowitzki
5:54.0,,,58-66,,J. McGee enters the game for Z. Pachulia
5:40.0,M. Belinelli misses 2-pt shot from 20 ft,,58-66,,
5:39.0,,,58-66,,Defensive rebound by J. McGee
5:30.0,,,58-66,,R. Felton misses 2-pt shot from 8 ft
5:29.0,,,58-66,,Offensive rebound by J. McGee
5:24.0,,,58-66,,Turnover by D. Williams (lost ball; steal by D. Collison)
5:20.0,R. Gay makes 2-pt shot at rim (assist by D. Collison),2,60-66,,
5:04.0,Def 3 sec tech foul by R. Gay,,60-66,,
5:04.0,,,60-67,1,D. Williams makes technical free throw
5:04.0,S. Curry enters the game for B. McLemore,,60-67,,
4:52.0,,,60-67,,Turnover by D. Williams (bad pass; steal by D. Cousins)
4:47.0,R. Gay misses 2-pt shot from 1 ft,,60-67,,
4:46.0,,,60-67,,Defensive rebound by W. Matthews
4:38.0,,,60-69,2,R. Felton makes 2-pt shot at rim
4:16.0,Shooting foul by C. Parsons (drawn by R. Gay),,60-69,,
4:16.0,R. Gay makes free throw 1 of 2,1,61-69,,
4:16.0,R. Gay makes free throw 2 of 2,1,62-69,,
3:57.0,,,62-69,,J. McGee misses 2-pt shot from 14 ft
3:56.0,Defensive rebound by M. Belinelli,,62-69,,
3:46.0,D. Cousins misses 2-pt shot from 4 ft,,62-69,,
3:45.0,Offensive rebound by D. Cousins,,62-69,,
3:44.0,D. Cousins makes 2-pt shot from 1 ft,2,64-69,,
3:43.0,,,64-69,,Dallas full timeout
3:43.0,,,64-69,,D. Harris enters the game for D. Williams
3:43.0,J. Anderson enters the game for R. Gay,,64-69,,
3:30.0,,,64-71,2,J. McGee makes 2-pt shot from 5 ft
3:14.0,D. Collison makes 2-pt shot from 9 ft,2,66-71,,
3:14.0,Shooting foul by D. Harris (drawn by D. Collison),,66-71,,
3:14.0,D. Collison misses free throw 1 of 1,,66-71,,
3:13.0,,,66-71,,Defensive rebound by R. Felton
3:06.0,,,66-73,2,J. McGee makes 2-pt shot at rim (assist by D. Harris)
2:50.0,M. Belinelli makes 2-pt shot from 17 ft,2,68-73,,
2:35.0,,,68-73,,C. Parsons misses 2-pt shot from 3 ft
2:34.0,Defensive rebound by D. Cousins,,68-73,,
2:30.0,Turnover by D. Cousins (bad pass; steal by D. Harris),,68-73,,
2:14.0,K. Koufos enters the game for D. Cousins,,68-73,,
2:14.0,,,68-73,,J. Barea enters the game for W. Matthews
2:14.0,,,68-73,,D. Nowitzki enters the game for C. Parsons
2:08.0,,,68-73,,Turnover by R. Felton (lost ball; steal by S. Curry)
2:02.0,M. Belinelli misses 3-pt shot from 24 ft,,68-73,,
2:01.0,,,68-73,,Defensive rebound by J. McGee
1:36.0,,,68-76,3,D. Harris makes 3-pt shot from 22 ft (assist by J. Barea)
1:14.0,M. Belinelli misses 3-pt shot from 24 ft,,68-76,,
1:13.0,,,68-76,,Defensive rebound by J. McGee
0:54.0,,,68-76,,D. Nowitzki misses 2-pt shot from 8 ft
0:53.0,Defensive rebound by M. Belinelli,,68-76,,
0:49.0,D. Collison makes 2-pt shot from 1 ft,2,70-76,,
0:27.0,,,70-78,2,J. McGee makes 2-pt shot at rim (assist by J. Barea)
0:06.0,D. Collison misses 2-pt shot from 14 ft,,70-78,,
0:05.0,Offensive rebound by S. Curry,,70-78,,
0:01.0,J. Anderson misses 2-pt shot from 16 ft,,70-78,,
0:00.0,,,70-78,,Defensive rebound by J. McGee
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Offensive foul by S. Curry,,70-78,,
11:44.0,Turnover by S. Curry (offensive foul),,70-78,,
11:33.0,,,70-78,,Shooting foul by J. Anderson (drawn by D. Nowitzki)
11:33.0,,,70-79,1,D. Nowitzki makes free throw 1 of 2
11:33.0,,,70-79,,D. Nowitzki misses free throw 2 of 2
11:31.0,Defensive rebound by R. Gay,,70-79,,
11:10.0,R. Gay makes 2-pt shot from 13 ft (assist by J. Anderson),2,72-79,,
10:57.0,,,72-79,,D. Nowitzki misses 3-pt shot from 24 ft
10:56.0,,,72-79,,Offensive rebound by Team
10:56.0,D. Cousins enters the game for J. Anderson,,72-79,,
10:44.0,,,72-79,,D. Nowitzki misses 2-pt shot from 21 ft
10:43.0,Defensive rebound by M. Belinelli,,72-79,,
10:36.0,Offensive foul by K. Koufos,,72-79,,
10:36.0,Turnover by K. Koufos (offensive foul),,72-79,,
10:24.0,,,72-79,,J. Barea misses 2-pt shot from 10 ft
10:23.0,Defensive rebound by M. Belinelli,,72-79,,
10:23.0,,,72-79,,Loose ball foul by J. McGee (drawn by D. Cousins)
10:23.0,,,72-79,,Z. Pachulia enters the game for J. McGee
10:11.0,S. Curry misses 3-pt shot from 24 ft,,72-79,,
10:10.0,,,72-79,,Defensive rebound by Z. Pachulia
10:02.0,,,72-79,,Turnover by R. Felton (lost ball; steal by M. Belinelli)
10:02.0,,,72-79,,Personal foul by R. Felton (drawn by K. Koufos)
10:02.0,,,72-79,,D. Williams enters the game for R. Felton
9:46.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,74-79,,
9:31.0,,,74-79,,Turnover by Z. Pachulia (bad pass; steal by D. Cousins)
9:29.0,,,74-79,,Personal foul by D. Nowitzki (drawn by M. Belinelli)
9:24.0,M. Belinelli makes 3-pt shot from 23 ft (assist by S. Curry),3,77-79,,
9:03.0,,,77-82,3,J. Barea makes 3-pt shot from 24 ft
8:43.0,Turnover by D. Cousins (lost ball),,77-82,,
8:43.0,Official timeout,,77-82,,
8:43.0,,,77-82,,C. Parsons enters the game for D. Harris
8:34.0,,,77-82,,Turnover by J. Barea (bad pass; steal by S. Curry)
8:27.0,R. Gay makes 3-pt shot from 23 ft (assist by M. Belinelli),3,80-82,,
8:05.0,,,80-82,,D. Nowitzki misses 2-pt shot from 14 ft
8:04.0,Defensive rebound by D. Cousins,,80-82,,
7:48.0,Offensive foul by D. Cousins,,80-82,,
7:48.0,Turnover by D. Cousins (offensive foul),,80-82,,
7:35.0,,,80-82,,D. Williams misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by K. Koufos,,80-82,,
7:19.0,S. Curry misses 2-pt shot from 2 ft,,80-82,,
7:18.0,,,80-82,,Defensive rebound by Z. Pachulia
7:09.0,,,80-82,,Turnover by J. Barea (bad pass; steal by D. Cousins)
7:00.0,,,80-82,,Personal foul by Z. Pachulia (drawn by R. Gay)
7:00.0,,,80-82,,W. Matthews enters the game for J. Barea
7:00.0,D. Collison enters the game for K. Koufos,,80-82,,
6:49.0,R. Gay misses 2-pt shot from 12 ft,,80-82,,
6:48.0,,,80-82,,Defensive rebound by C. Parsons
6:31.0,,,80-82,,Shooting foul by D. Collison (drawn by D. Williams)
6:31.0,,,80-82,,D. Williams misses free throw 1 of 2
6:31.0,,,80-82,,Offensive rebound by Team
6:31.0,,,80-83,1,D. Williams makes free throw 2 of 2
6:15.0,D. Cousins makes 2-pt shot at rim,2,82-83,,
5:53.0,,,82-83,,D. Nowitzki misses 2-pt shot from 13 ft
5:53.0,,,82-83,,Offensive rebound by Z. Pachulia
5:53.0,,,82-83,,Shooting foul by S. Curry (drawn by Z. Pachulia)
5:53.0,,,82-83,,Dallas full timeout
5:53.0,,,82-83,,R. Felton enters the game for D. Nowitzki
5:53.0,,,82-83,,Z. Pachulia misses free throw 1 of 2
5:53.0,,,82-83,,Offensive rebound by Team
5:53.0,,,82-84,1,Z. Pachulia makes free throw 2 of 2
5:36.0,Turnover by D. Cousins (lost ball; steal by Z. Pachulia),,82-84,,
5:21.0,,,82-84,,W. Matthews misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by M. Belinelli,,82-84,,
5:08.0,D. Cousins misses 3-pt shot from 24 ft,,82-84,,
5:07.0,,,82-84,,Defensive rebound by C. Parsons
4:42.0,,,82-84,,W. Matthews misses 2-pt shot from 22 ft
4:41.0,Defensive rebound by M. Belinelli,,82-84,,
4:21.0,R. Gay makes 2-pt shot from 13 ft,2,84-84,,
4:05.0,,,84-84,,D. Williams misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by D. Cousins,,84-84,,
3:47.0,D. Cousins makes 2-pt shot at rim,2,86-84,,
3:46.0,,,86-84,,Dallas full timeout
3:46.0,,,86-84,,D. Nowitzki enters the game for C. Parsons
3:28.0,,,86-86,2,W. Matthews makes 2-pt shot from 8 ft (assist by D. Nowitzki)
3:09.0,D. Cousins misses 2-pt shot from 10 ft,,86-86,,
3:08.0,,,86-86,,Defensive rebound by D. Nowitzki
2:53.0,,,86-86,,Z. Pachulia misses 2-pt shot from 13 ft
2:53.0,Defensive rebound by R. Gay,,86-86,,
2:45.0,R. Gay makes 2-pt shot from 20 ft,2,88-86,,
2:31.0,,,88-89,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
2:06.0,D. Collison makes 2-pt shot at rim (assist by D. Cousins),2,90-89,,
1:46.0,,,90-91,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by W. Matthews)
1:29.0,Turnover by D. Cousins (lost ball; steal by Z. Pachulia),,90-91,,
1:29.0,Loose ball foul by D. Cousins (drawn by Z. Pachulia),,90-91,,
1:13.0,,,90-91,,D. Williams misses 2-pt shot from 1 ft
1:11.0,Defensive rebound by D. Cousins,,90-91,,
0:53.0,D. Cousins misses 2-pt shot from 16 ft,,90-91,,
0:52.0,,,90-91,,Defensive rebound by D. Nowitzki
0:48.0,,,90-93,2,W. Matthews makes 2-pt shot at rim (assist by D. Nowitzki)
0:48.0,,,90-93,,Shooting foul by S. Curry (drawn by W. Matthews)
0:48.0,,,90-94,1,W. Matthews makes free throw 1 of 1
0:48.0,Sacramento full timeout,,90-94,,
0:48.0,,,90-94,,D. Harris enters the game for D. Nowitzki
