time,Philadelphia,pts.away,score,pts.home,New Orleans
4:04.0,,,45-58,3,B. Dejean-Jones makes 3-pt shot from 24 ft (assist by N. Cole)
3:47.0,,,45-58,,J. Holiday enters the game for N. Cole
3:40.0,I. Smith misses 3-pt shot from 26 ft,,45-58,,
3:39.0,,,45-58,,Defensive rebound by B. Dejean-Jones
3:37.0,,,45-58,,Shooting foul by R. Covington (drawn by A. Davis)
3:37.0,,,45-59,1,A. Davis makes free throw 1 of 2
3:37.0,H. Thompson enters the game for R. Covington,,45-59,,
3:37.0,,,45-60,1,A. Davis makes free throw 2 of 2
3:22.0,J. Grant makes 2-pt shot from 1 ft,2,47-60,,
3:13.0,,,47-62,2,B. Dejean-Jones makes 2-pt shot from 21 ft
2:47.0,H. Thompson misses 2-pt shot from 14 ft,,47-62,,
2:47.0,,,47-62,,Defensive rebound by B. Dejean-Jones
2:40.0,,,47-64,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:14.0,Turnover by I. Smith (lost ball; steal by A. Davis),,47-64,,
2:08.0,,,47-67,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
2:07.0,Philadelphia full timeout,,47-67,,
2:07.0,C. Landry enters the game for N. Noel,,47-67,,
1:54.0,Turnover by N. Stauskas (lost ball; steal by A. Davis),,47-67,,
1:49.0,,,47-69,2,D. Cunningham makes 2-pt shot at rim (assist by J. Holiday)
1:28.0,I. Smith makes 2-pt shot from 1 ft,2,49-69,,
1:22.0,,,49-69,,J. Holiday misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by I. Smith,,49-69,,
1:09.0,Turnover by I. Smith (lost ball; steal by J. Holiday),,49-69,,
1:06.0,,,49-69,,R. Anderson misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by N. Stauskas,,49-69,,
0:46.0,Shooting foul by A. Davis (drawn by J. Grant),,49-69,,
0:46.0,J. Grant makes free throw 1 of 2,1,50-69,,
0:46.0,J. Grant makes free throw 2 of 2,1,51-69,,
0:28.0,,,51-69,,Shooting foul by N. Stauskas (drawn by R. Anderson)
0:28.0,,,51-70,1,R. Anderson makes free throw 1 of 2
0:28.0,,,51-71,1,R. Anderson makes free throw 2 of 2
0:12.0,I. Smith misses 3-pt shot from 24 ft,,51-71,,
0:11.0,,,51-71,,Defensive rebound by B. Dejean-Jones
0:05.0,,,51-71,,Turnover by J. Holiday (lost ball; steal by I. Smith)
0:01.0,Shooting foul by B. Dejean-Jones (drawn by I. Smith),,51-71,,
0:01.0,,,51-71,,O. Asik enters the game for J. Holiday
0:01.0,R. Covington enters the game for J. Grant,,51-71,,
0:01.0,,,51-71,,T. Douglas enters the game for B. Dejean-Jones
0:01.0,I. Smith misses free throw 1 of 2,,51-71,,
0:01.0,Offensive rebound by Team,,51-71,,
0:01.0,I. Smith makes free throw 2 of 2,1,52-71,,
0:00.0,,,52-71,,Turnover by A. Davis (bad pass)
0:00.0,N. Stauskas makes 3-pt shot from 29 ft (assist by I. Smith),3,55-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,N. Stauskas misses 3-pt shot from 27 ft,,55-71,,
11:38.0,,,55-71,,Defensive rebound by A. Davis
11:21.0,,,55-71,,Turnover by A. Davis (lost ball; steal by I. Smith)
11:18.0,,,55-71,,Personal foul by D. Cunningham
11:06.0,J. Okafor makes 2-pt shot from 9 ft,2,57-71,,
10:54.0,,,57-71,,A. Davis misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by J. Okafor,,57-71,,
10:40.0,N. Noel makes 2-pt shot from 10 ft,2,59-71,,
10:19.0,,,59-71,,Turnover by N. Cole (lost ball; steal by I. Smith)
10:00.0,,,59-71,,Personal foul by A. Davis
9:53.0,I. Smith makes 2-pt shot from 1 ft,2,61-71,,
9:53.0,,,61-71,,New Orleans full timeout
9:38.0,,,61-71,,A. Davis misses 2-pt shot from 15 ft
9:37.0,Defensive rebound by N. Noel,,61-71,,
9:23.0,J. Okafor makes 2-pt shot from 5 ft,2,63-71,,
9:06.0,,,63-71,,N. Cole misses 2-pt shot from 8 ft
9:05.0,,,63-71,,Offensive rebound by O. Asik
9:05.0,,,63-71,,O. Asik misses 2-pt shot at rim
9:04.0,,,63-71,,Offensive rebound by O. Asik
9:04.0,,,63-73,2,O. Asik makes 2-pt shot at rim
8:49.0,Shooting foul by A. Davis (drawn by N. Noel),,63-73,,
8:49.0,N. Noel makes free throw 1 of 2,1,64-73,,
8:49.0,N. Noel makes free throw 2 of 2,1,65-73,,
8:31.0,,,65-73,,Shooting foul by N. Noel (drawn by A. Davis)
8:31.0,,,65-74,1,A. Davis makes free throw 1 of 2
8:31.0,,,65-75,1,A. Davis makes free throw 2 of 2
8:22.0,Turnover by R. Covington (discontinued dribble),,65-75,,
8:08.0,,,65-75,,A. Davis misses 2-pt shot from 5 ft
8:06.0,Defensive rebound by I. Smith,,65-75,,
8:01.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,67-75,,
7:48.0,,,67-77,2,A. Davis makes 2-pt shot from 19 ft (assist by N. Cole)
7:33.0,Shooting foul by O. Asik (drawn by J. Okafor),,67-77,,
7:33.0,J. Okafor makes free throw 1 of 2,1,68-77,,
7:33.0,,,68-77,,J. Holiday enters the game for N. Cole
7:33.0,,,68-77,,T. Douglas enters the game for B. Dejean-Jones
7:33.0,J. Okafor makes free throw 2 of 2,1,69-77,,
7:23.0,,,69-79,2,J. Holiday makes 2-pt shot from 9 ft
7:02.0,N. Noel misses 2-pt shot from 16 ft,,69-79,,
7:01.0,,,69-79,,Defensive rebound by D. Cunningham
6:52.0,,,69-81,2,A. Davis makes 2-pt shot from 10 ft (assist by T. Douglas)
6:51.0,Philadelphia full timeout,,69-81,,
6:27.0,I. Smith misses 3-pt shot from 28 ft,,69-81,,
6:26.0,Offensive rebound by Team,,69-81,,
6:26.0,Turnover by Team (shot clock),,69-81,,
6:12.0,,,69-81,,Turnover by J. Holiday (lost ball; steal by I. Smith)
6:01.0,Turnover by I. Smith (lost ball; steal by J. Holiday),,69-81,,
5:48.0,,,69-81,,J. Holiday misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by N. Noel,,69-81,,
5:28.0,,,69-81,,Personal foul by T. Douglas
5:28.0,N. Noel makes free throw 1 of 2,1,70-81,,
5:28.0,H. Thompson enters the game for R. Covington,,70-81,,
5:28.0,K. Marshall enters the game for I. Smith,,70-81,,
5:28.0,N. Noel makes free throw 2 of 2,1,71-81,,
5:18.0,,,71-81,,Shooting foul by N. Stauskas (drawn by J. Holiday)
5:18.0,,,71-82,1,J. Holiday makes free throw 1 of 2
5:18.0,J. Grant enters the game for N. Noel,,71-82,,
5:18.0,,,71-82,,J. Holiday misses free throw 2 of 2
5:17.0,,,71-82,,Offensive rebound by O. Asik
5:17.0,Personal foul by J. Grant,,71-82,,
5:12.0,,,71-84,2,J. Holiday makes 2-pt shot from 14 ft
5:01.0,J. Okafor makes 2-pt shot from 2 ft (assist by N. Stauskas),2,73-84,,
4:50.0,,,73-86,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
4:34.0,J. Okafor makes 2-pt shot from 5 ft,2,75-86,,
4:22.0,,,75-86,,A. Davis misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by N. Stauskas,,75-86,,
4:05.0,I. Canaan enters the game for N. Stauskas,,75-86,,
4:00.0,J. Okafor makes 2-pt shot from 14 ft (assist by K. Marshall),2,77-86,,
3:42.0,,,77-86,,Shooting foul by J. Okafor (drawn by A. Davis)
3:42.0,,,77-86,,A. Davis misses free throw 1 of 2
3:42.0,,,77-86,,Offensive rebound by Team
3:42.0,,,77-87,1,A. Davis makes free throw 2 of 2
3:28.0,H. Thompson misses 2-pt shot from 23 ft,,77-87,,
3:27.0,,,77-87,,Defensive rebound by O. Asik
3:17.0,,,77-87,,A. Davis misses 2-pt shot from 13 ft
3:16.0,,,77-87,,Offensive rebound by O. Asik
3:15.0,,,77-89,2,O. Asik makes 2-pt shot from 2 ft
3:04.0,J. Grant makes 2-pt shot from 2 ft,2,79-89,,
2:46.0,,,79-89,,A. Davis misses 2-pt shot from 17 ft
2:44.0,Defensive rebound by J. Okafor,,79-89,,
2:32.0,,,79-89,,Shooting block foul by O. Asik (drawn by J. Okafor)
2:32.0,J. Okafor makes free throw 1 of 2,1,80-89,,
2:32.0,J. Okafor makes free throw 2 of 2,1,81-89,,
2:07.0,,,81-89,,A. Davis misses 2-pt shot from 2 ft (block by J. Grant)
2:05.0,Defensive rebound by H. Thompson,,81-89,,
2:00.0,I. Canaan misses 3-pt shot from 24 ft,,81-89,,
1:59.0,,,81-89,,Defensive rebound by O. Asik
1:51.0,,,81-89,,T. Douglas misses 3-pt shot from 25 ft
1:50.0,,,81-89,,Offensive rebound by T. Douglas
1:35.0,,,81-89,,J. Holiday misses 2-pt shot from 14 ft
1:34.0,,,81-89,,Offensive rebound by O. Asik
1:34.0,,,81-89,,Shooting foul by K. Marshall (drawn by O. Asik)
1:34.0,,,81-90,1,O. Asik makes free throw 1 of 2
1:34.0,N. Noel enters the game for J. Okafor,,81-90,,
1:34.0,,,81-90,,O. Asik misses free throw 2 of 2
1:33.0,Defensive rebound by I. Canaan,,81-90,,
1:18.0,K. Marshall makes 3-pt shot from 24 ft (assist by N. Noel),3,84-90,,
1:02.0,,,84-90,,Turnover by J. Holiday (lost ball; steal by K. Marshall)
0:52.0,K. Marshall makes 3-pt shot from 27 ft (assist by J. Grant),3,87-90,,
0:38.0,,,87-90,,T. Douglas misses 3-pt shot from 23 ft
0:37.0,Defensive rebound by H. Thompson,,87-90,,
0:29.0,H. Thompson misses 3-pt shot from 25 ft,,87-90,,
0:28.0,,,87-90,,Defensive rebound by J. Holiday
0:13.0,Personal foul by H. Thompson,,87-90,,
0:13.0,,,87-91,1,A. Davis makes free throw 1 of 2
0:13.0,,,87-91,,R. Anderson enters the game for O. Asik
0:13.0,,,87-91,,A. Gee enters the game for D. Cunningham
0:13.0,R. Covington enters the game for J. Grant,,87-91,,
0:13.0,,,87-92,1,A. Davis makes free throw 2 of 2
0:01.0,I. Canaan makes 3-pt shot from 23 ft (assist by N. Noel),3,90-92,,
0:00.0,,,90-92,,A. Davis misses 3-pt shot from 48 ft
0:00.0,,,90-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,90-94,2,J. Holiday makes 2-pt shot from 14 ft
11:34.0,Offensive charge foul by J. Grant,,90-94,,
11:34.0,Turnover by J. Grant (offensive foul),,90-94,,
11:34.0,,,90-94,,A. Ajinca enters the game for A. Davis
11:18.0,,,90-94,,R. Anderson misses 2-pt shot from 2 ft (block by J. Grant)
11:18.0,,,90-94,,Offensive rebound by Team
11:15.0,,,90-94,,A. Ajinca misses 2-pt shot from 15 ft
11:14.0,Defensive rebound by N. Noel,,90-94,,
11:08.0,I. Canaan makes 3-pt shot from 24 ft (assist by K. Marshall),3,93-94,,
10:51.0,,,93-96,2,A. Ajinca makes 2-pt shot from 4 ft (assist by J. Holiday)
10:32.0,N. Noel misses 2-pt shot from 4 ft (block by A. Ajinca),,93-96,,
10:32.0,,,93-96,,Defensive rebound by Team
10:23.0,,,93-98,2,J. Holiday makes 2-pt shot from 18 ft
10:05.0,J. Grant misses 2-pt shot from 15 ft,,93-98,,
10:04.0,,,93-98,,Defensive rebound by R. Anderson
9:56.0,,,93-101,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Holiday)
9:56.0,Philadelphia full timeout,,93-101,,
9:41.0,N. Noel makes 2-pt shot at rim (assist by K. Marshall),2,95-101,,
9:41.0,Shooting foul by J. Holiday (drawn by N. Noel),,95-101,,
9:41.0,N. Noel misses free throw 1 of 1,,95-101,,
9:41.0,,,95-101,,Defensive rebound by J. Holiday
9:31.0,,,95-101,,Shooting foul by N. Noel (drawn by A. Ajinca)
9:31.0,,,95-102,1,A. Ajinca makes free throw 1 of 2
9:31.0,J. Okafor enters the game for N. Noel,,95-102,,
9:31.0,,,95-103,1,A. Ajinca makes free throw 2 of 2
9:17.0,Shooting foul by N. Cole (drawn by K. Marshall),,95-103,,
9:17.0,K. Marshall misses free throw 1 of 2,,95-103,,
9:17.0,Offensive rebound by Team,,95-103,,
9:17.0,K. Marshall makes free throw 2 of 2,1,96-103,,
9:06.0,Personal block foul by J. Grant,,96-103,,
9:06.0,R. Covington enters the game for J. Grant,,96-103,,
8:57.0,,,96-103,,R. Anderson misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by H. Thompson,,96-103,,
8:34.0,K. Marshall makes 2-pt shot from 1 ft,2,98-103,,
8:21.0,Personal foul by K. Marshall,,98-103,,
8:16.0,,,98-103,,Turnover by R. Anderson (traveling)
8:05.0,R. Covington misses 3-pt shot from 28 ft,,98-103,,
8:04.0,,,98-103,,Defensive rebound by A. Ajinca
7:54.0,,,98-105,2,R. Anderson makes 2-pt shot from 2 ft (assist by N. Cole)
7:31.0,I. Canaan misses 3-pt shot from 24 ft,,98-105,,
7:30.0,,,98-105,,Defensive rebound by A. Ajinca
7:16.0,,,98-105,,J. Holiday misses 2-pt shot from 11 ft
7:15.0,Defensive rebound by J. Okafor,,98-105,,
6:58.0,J. Okafor misses 2-pt shot from 16 ft,,98-105,,
6:57.0,,,98-105,,Defensive rebound by N. Cole
6:39.0,,,98-105,,Shooting foul by J. Okafor (drawn by N. Cole)
6:39.0,,,98-105,,N. Cole misses free throw 1 of 2
6:39.0,,,98-105,,Offensive rebound by Team
6:39.0,,,98-105,,A. Davis enters the game for A. Ajinca
6:39.0,I. Smith enters the game for R. Covington,,98-105,,
6:39.0,N. Stauskas enters the game for I. Canaan,,98-105,,
6:39.0,N. Noel enters the game for K. Marshall,,98-105,,
6:39.0,,,98-105,,N. Cole misses free throw 2 of 2
6:39.0,Defensive rebound by N. Noel,,98-105,,
6:21.0,,,98-105,,Violation by A. Davis (kicked ball)
6:11.0,Turnover by N. Noel (lost ball; steal by A. Gee),,98-105,,
6:11.0,Personal foul by J. Okafor,,98-105,,
6:11.0,J. Grant enters the game for J. Okafor,,98-105,,
6:11.0,,,98-105,,A. Davis misses free throw 1 of 2
6:11.0,,,98-105,,Offensive rebound by Team
6:11.0,,,98-106,1,A. Davis makes free throw 2 of 2
5:58.0,N. Noel makes 2-pt shot from 3 ft,2,100-106,,
5:49.0,,,100-108,2,R. Anderson makes 2-pt shot at rim (assist by J. Holiday)
5:42.0,Philadelphia full timeout,,100-108,,
5:24.0,N. Stauskas misses 3-pt shot from 24 ft,,100-108,,
5:23.0,,,100-108,,Defensive rebound by R. Anderson
5:09.0,,,100-108,,J. Holiday misses 2-pt shot from 18 ft
5:08.0,,,100-108,,Offensive rebound by A. Davis
4:54.0,,,100-108,,R. Anderson misses 2-pt shot from 13 ft
4:53.0,Defensive rebound by I. Smith,,100-108,,
4:41.0,N. Noel misses 2-pt shot from 8 ft,,100-108,,
4:40.0,,,100-108,,Defensive rebound by A. Davis
4:28.0,,,100-110,2,N. Cole makes 2-pt shot from 21 ft
4:14.0,I. Smith makes 2-pt shot from 1 ft,2,102-110,,
4:05.0,Personal foul by I. Smith,,102-110,,
4:05.0,,,102-111,1,N. Cole makes free throw 1 of 2
4:05.0,R. Covington enters the game for H. Thompson,,102-111,,
