time,Cleveland,pts.away,score,pts.home,Detroit
4:45.0,L. James misses 2-pt shot from 15 ft,,13-17,,
4:44.0,,,13-17,,Defensive rebound by T. Harris
4:36.0,,,13-19,2,R. Jackson makes 2-pt shot from 17 ft
4:21.0,,,13-19,,Personal foul by M. Morris
4:08.0,L. James misses 3-pt shot from 28 ft,,13-19,,
4:08.0,Offensive rebound by T. Thompson,,13-19,,
4:02.0,T. Thompson misses 2-pt shot from 3 ft (block by A. Drummond),,13-19,,
4:01.0,,,13-19,,Defensive rebound by K. Caldwell-Pope
3:54.0,,,13-19,,R. Jackson misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by K. Love,,13-19,,
3:44.0,L. James makes 2-pt shot from 21 ft,2,15-19,,
3:19.0,,,15-19,,A. Drummond misses 2-pt shot from 7 ft
3:17.0,Defensive rebound by K. Love,,15-19,,
3:07.0,L. James misses 2-pt shot at rim,,15-19,,
3:07.0,Offensive rebound by T. Thompson,,15-19,,
3:04.0,T. Thompson makes 2-pt shot at rim,2,17-19,,
2:48.0,,,17-21,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
2:27.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,20-21,,
2:21.0,,,20-21,,Detroit full timeout
2:21.0,I. Shumpert enters the game for L. James,,20-21,,
2:21.0,,,20-21,,A. Tolliver enters the game for T. Harris
2:21.0,,,20-21,,S. Blake enters the game for R. Jackson
2:08.0,,,20-23,2,A. Drummond makes 2-pt shot from 7 ft
1:46.0,,,20-23,,A. Baynes enters the game for A. Drummond
1:46.0,R. Jefferson enters the game for T. Thompson,,20-23,,
1:37.0,K. Love makes 2-pt shot from 12 ft (assist by I. Shumpert),2,22-23,,
1:22.0,,,22-25,2,M. Morris makes 2-pt shot from 15 ft
1:07.0,Shooting foul by S. Blake (drawn by K. Love),,22-25,,
1:07.0,K. Love makes free throw 1 of 2,1,23-25,,
1:07.0,K. Love makes free throw 2 of 2,1,24-25,,
0:56.0,Personal foul by R. Jefferson,,24-25,,
0:45.0,,,24-25,,M. Morris misses 2-pt shot at rim
0:45.0,,,24-25,,Offensive rebound by A. Baynes
0:45.0,,,24-27,2,A. Baynes makes 2-pt shot from 1 ft
0:31.0,Turnover by I. Shumpert (lost ball; steal by K. Caldwell-Pope),,24-27,,
0:27.0,,,24-27,,Turnover by K. Caldwell-Pope (bad pass)
0:02.0,K. Irving misses 3-pt shot from 26 ft,,24-27,,
0:01.0,,,24-27,,Defensive rebound by A. Baynes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-27,,Personal foul by S. Blake
11:35.0,I. Shumpert misses 2-pt shot from 17 ft,,24-27,,
11:35.0,,,24-27,,Defensive rebound by S. Blake
11:09.0,,,24-27,,S. Blake misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by L. James,,24-27,,
11:00.0,I. Shumpert misses 2-pt shot from 16 ft,,24-27,,
11:00.0,,,24-27,,Defensive rebound by T. Harris
10:58.0,,,24-27,,Turnover by T. Harris (lost ball; steal by I. Shumpert)
10:51.0,I. Shumpert makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,27-27,,
10:24.0,,,27-29,2,A. Tolliver makes 2-pt shot from 17 ft (assist by T. Harris)
9:53.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by R. Jefferson),3,30-29,,
9:36.0,,,30-29,,Shooting foul by I. Shumpert (drawn by S. Johnson)
9:36.0,,,30-30,1,S. Johnson makes free throw 1 of 2
9:36.0,,,30-30,,A. Drummond enters the game for A. Baynes
9:36.0,,,30-31,1,S. Johnson makes free throw 2 of 2
9:15.0,,,30-31,,Personal foul by S. Johnson
9:06.0,I. Shumpert makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,33-31,,
8:51.0,Personal foul by C. Frye,,33-31,,
8:51.0,Official timeout,,33-31,,
8:51.0,,,33-31,,R. Jackson enters the game for S. Blake
8:45.0,,,33-33,2,S. Johnson makes 2-pt shot from 18 ft
8:24.0,L. James makes 2-pt shot from 17 ft,2,35-33,,
8:12.0,,,35-33,,A. Drummond misses 2-pt shot from 1 ft (block by C. Frye)
8:11.0,,,35-33,,Offensive rebound by A. Drummond
8:10.0,,,35-35,2,A. Drummond makes 2-pt shot from 1 ft
7:46.0,L. James misses 3-pt shot from 26 ft,,35-35,,
7:46.0,,,35-35,,Defensive rebound by Team
7:21.0,,,35-38,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
6:58.0,I. Shumpert misses 3-pt shot from 25 ft,,35-38,,
6:57.0,,,35-38,,Defensive rebound by A. Tolliver
6:49.0,,,35-38,,A. Tolliver misses 3-pt shot from 27 ft
6:49.0,Defensive rebound by L. James,,35-38,,
6:46.0,Turnover by L. James (lost ball; steal by R. Jackson),,35-38,,
6:42.0,Personal foul by R. Jefferson,,35-38,,
6:42.0,Cleveland full timeout,,35-38,,
6:42.0,K. Love enters the game for I. Shumpert,,35-38,,
6:42.0,K. Irving enters the game for R. Jefferson,,35-38,,
6:42.0,J. Smith enters the game for C. Frye,,35-38,,
6:42.0,,,35-38,,M. Morris enters the game for A. Tolliver
6:42.0,,,35-38,,K. Caldwell-Pope enters the game for S. Johnson
6:36.0,,,35-40,2,A. Drummond makes 2-pt shot from 3 ft (assist by R. Jackson)
6:36.0,,,35-40,,Shooting foul by K. Irving (drawn by A. Drummond)
6:36.0,,,35-40,,A. Drummond misses free throw 1 of 1
6:36.0,Defensive rebound by L. James,,35-40,,
6:14.0,K. Irving makes 3-pt shot from 25 ft,3,38-40,,
5:48.0,,,38-40,,R. Jackson misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by L. James,,38-40,,
5:37.0,,,38-40,,Personal foul by R. Jackson
5:24.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Smith),3,41-40,,
5:19.0,Personal take foul by M. Dellavedova,,41-40,,
5:19.0,,,41-41,1,A. Drummond makes free throw 1 of 2
5:19.0,,,41-41,,A. Drummond misses free throw 2 of 2
5:16.0,Defensive rebound by L. James,,41-41,,
5:08.0,,,41-41,,Personal foul by A. Drummond
5:08.0,,,41-41,,S. Johnson enters the game for A. Drummond
4:54.0,M. Dellavedova makes 2-pt shot from 10 ft (assist by L. James),2,43-41,,
4:31.0,,,43-44,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
4:12.0,,,43-44,,Personal foul by S. Johnson
4:12.0,K. Love makes free throw 1 of 2,1,44-44,,
4:12.0,R. Jefferson enters the game for L. James,,44-44,,
4:12.0,K. Love makes free throw 2 of 2,1,45-44,,
4:00.0,,,45-46,2,R. Jackson makes 2-pt shot at rim
3:41.0,K. Irving misses 2-pt shot at rim,,45-46,,
3:40.0,Offensive rebound by J. Smith,,45-46,,
3:22.0,K. Love makes 2-pt shot from 19 ft (assist by K. Irving),2,47-46,,
2:59.0,,,47-49,3,S. Johnson makes 3-pt shot from 26 ft (assist by T. Harris)
2:36.0,K. Love misses 2-pt shot from 12 ft,,47-49,,
2:35.0,,,47-49,,Defensive rebound by T. Harris
2:32.0,,,47-51,2,S. Johnson makes 2-pt shot at rim (assist by T. Harris)
2:32.0,Cleveland full timeout,,47-51,,
2:32.0,,,47-51,,Detroit full timeout
2:32.0,T. Thompson enters the game for R. Jefferson,,47-51,,
2:32.0,L. James enters the game for M. Dellavedova,,47-51,,
2:32.0,,,47-51,,A. Baynes enters the game for S. Johnson
2:16.0,Turnover by T. Thompson (offensive goaltending),,47-51,,
2:05.0,,,47-51,,Turnover by A. Baynes (lost ball; steal by J. Smith)
1:46.0,L. James misses 2-pt shot at rim,,47-51,,
1:46.0,Offensive rebound by T. Thompson,,47-51,,
1:35.0,K. Irving makes 2-pt shot from 12 ft,2,49-51,,
1:24.0,,,49-51,,R. Jackson misses 3-pt shot from 25 ft
1:23.0,,,49-51,,Offensive rebound by A. Baynes
1:22.0,,,49-51,,Turnover by A. Baynes (step out of bounds)
1:11.0,K. Love misses 3-pt shot from 24 ft,,49-51,,
1:10.0,Offensive rebound by T. Thompson,,49-51,,
1:03.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,51-51,,
0:45.0,,,51-51,,M. Morris misses 2-pt shot from 13 ft
0:44.0,Defensive rebound by L. James,,51-51,,
0:33.0,Shooting foul by A. Baynes (drawn by L. James),,51-51,,
0:33.0,L. James misses free throw 1 of 2,,51-51,,
0:33.0,Offensive rebound by Team,,51-51,,
0:33.0,L. James makes free throw 2 of 2,1,52-51,,
0:15.0,,,52-53,2,M. Morris makes 2-pt shot at rim (assist by A. Baynes)
0:00.0,L. James makes 2-pt shot from 14 ft,2,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Smith misses 3-pt shot from 26 ft,,54-53,,
11:45.0,,,54-53,,Defensive rebound by K. Caldwell-Pope
11:31.0,,,54-53,,R. Jackson misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by J. Smith,,54-53,,
11:14.0,L. James misses 2-pt shot from 12 ft,,54-53,,
11:12.0,Offensive rebound by T. Thompson,,54-53,,
11:02.0,K. Irving misses 2-pt shot from 18 ft,,54-53,,
11:00.0,,,54-53,,Defensive rebound by R. Jackson
10:49.0,,,54-53,,M. Morris misses 3-pt shot from 26 ft
10:49.0,,,54-53,,Offensive rebound by A. Drummond
10:33.0,,,54-53,,K. Caldwell-Pope misses 2-pt shot from 5 ft
10:31.0,Defensive rebound by L. James,,54-53,,
10:18.0,K. Irving makes 2-pt shot at rim,2,56-53,,
9:50.0,,,56-53,,T. Harris misses 2-pt shot from 2 ft (block by T. Thompson)
9:50.0,,,56-53,,Offensive rebound by Team
9:50.0,,,56-53,,Turnover by Team (shot clock)
9:36.0,J. Smith misses 3-pt shot from 25 ft,,56-53,,
9:36.0,,,56-53,,Defensive rebound by A. Drummond
9:16.0,,,56-53,,A. Drummond misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by K. Love,,56-53,,
9:06.0,L. James misses 2-pt shot from 20 ft,,56-53,,
9:05.0,,,56-53,,Defensive rebound by T. Harris
8:58.0,Personal foul by L. James,,56-53,,
8:58.0,,,56-53,,Technical foul by A. Drummond
8:58.0,K. Irving makes technical free throw,1,57-53,,
8:44.0,,,57-53,,M. Morris misses 2-pt shot from 15 ft
8:44.0,Defensive rebound by J. Smith,,57-53,,
8:33.0,K. Irving misses 3-pt shot from 26 ft,,57-53,,
8:32.0,,,57-53,,Defensive rebound by T. Harris
8:25.0,,,57-55,2,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris)
8:25.0,,,57-55,,Shooting foul by J. Smith (drawn by A. Drummond)
8:25.0,,,57-55,,A. Drummond misses free throw 1 of 1
8:25.0,Defensive rebound by J. Smith,,57-55,,
8:04.0,K. Love makes 2-pt shot from 15 ft,2,59-55,,
7:41.0,,,59-58,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by M. Morris)
7:18.0,K. Irving misses 2-pt shot from 17 ft,,59-58,,
7:18.0,Offensive rebound by T. Thompson,,59-58,,
7:13.0,T. Thompson misses 2-pt shot from 1 ft (block by A. Drummond),,59-58,,
7:11.0,,,59-58,,Defensive rebound by A. Drummond
7:05.0,,,59-58,,T. Harris misses 2-pt shot from 1 ft
7:05.0,,,59-58,,Offensive rebound by A. Drummond
7:02.0,,,59-60,2,A. Drummond makes 2-pt shot from 1 ft
6:46.0,K. Love misses 3-pt shot from 23 ft,,59-60,,
6:45.0,,,59-60,,Defensive rebound by A. Drummond
6:35.0,,,59-60,,R. Jackson misses 2-pt shot from 7 ft
6:35.0,,,59-60,,Offensive rebound by Team
6:17.0,,,59-62,2,R. Jackson makes 2-pt shot from 5 ft
6:17.0,Cleveland full timeout,,59-62,,
5:55.0,L. James misses 2-pt shot from 3 ft (block by T. Harris),,59-62,,
5:55.0,Offensive rebound by Team,,59-62,,
5:49.0,T. Thompson makes 2-pt shot from 17 ft (assist by L. James),2,61-62,,
5:29.0,,,61-62,,M. Morris misses 2-pt shot from 14 ft
5:29.0,Defensive rebound by J. Smith,,61-62,,
5:12.0,K. Love makes 2-pt shot from 6 ft (assist by K. Irving),2,63-62,,
4:59.0,,,63-62,,A. Drummond misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by L. James,,63-62,,
4:53.0,K. Irving makes 2-pt shot at rim (assist by L. James),2,65-62,,
4:53.0,,,65-62,,Detroit full timeout
4:37.0,,,65-62,,Shooting foul by J. Smith (drawn by M. Morris)
4:37.0,,,65-63,1,M. Morris makes free throw 1 of 2
4:37.0,,,65-64,1,M. Morris makes free throw 2 of 2
4:21.0,,,65-64,,Personal foul by T. Harris
4:11.0,L. James misses 3-pt shot from 26 ft,,65-64,,
4:11.0,,,65-64,,Defensive rebound by M. Morris
3:56.0,,,65-64,,A. Drummond misses 2-pt shot from 5 ft
3:55.0,Defensive rebound by K. Love,,65-64,,
3:50.0,K. Irving misses 2-pt shot from 1 ft,,65-64,,
3:49.0,Offensive rebound by L. James,,65-64,,
3:47.0,L. James makes 2-pt shot at rim,2,67-64,,
3:26.0,,,67-67,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson)
3:01.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,70-67,,
2:41.0,,,70-69,2,T. Harris makes 2-pt shot from 15 ft (assist by M. Morris)
2:25.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,73-69,,
2:09.0,,,73-69,,K. Caldwell-Pope misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by K. Love,,73-69,,
1:57.0,L. James misses 3-pt shot from 23 ft,,73-69,,
1:57.0,Offensive rebound by T. Thompson,,73-69,,
1:53.0,T. Thompson makes 2-pt shot from 1 ft,2,75-69,,
1:42.0,,,75-71,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
1:23.0,Turnover by L. James (lost ball; steal by K. Caldwell-Pope),,75-71,,
1:11.0,,,75-71,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by J. Smith,,75-71,,
1:04.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,77-71,,
1:04.0,Shooting foul by T. Harris (drawn by T. Thompson),,77-71,,
1:04.0,R. Jefferson enters the game for L. James,,77-71,,
1:04.0,,,77-71,,S. Johnson enters the game for T. Harris
1:04.0,,,77-71,,A. Tolliver enters the game for M. Morris
1:04.0,,,77-71,,A. Baynes enters the game for A. Drummond
1:04.0,T. Thompson misses free throw 1 of 1,,77-71,,
1:03.0,,,77-71,,Defensive rebound by A. Baynes
0:44.0,,,77-73,2,R. Jackson makes 2-pt shot from 18 ft
0:26.0,K. Irving makes 2-pt shot from 6 ft,2,79-73,,
0:03.0,,,79-73,,R. Jackson misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by K. Love,,79-73,,
0:01.0,K. Irving misses 2-pt shot from 17 ft,,79-73,,
0:00.0,Offensive rebound by Team,,79-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,79-73,,S. Johnson misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by I. Shumpert,,79-73,,
11:29.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,81-73,,
11:29.0,Shooting foul by S. Johnson (drawn by L. James),,81-73,,
11:29.0,L. James makes free throw 1 of 1,1,82-73,,
11:20.0,,,82-75,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
11:20.0,,,82-75,,Shooting foul by I. Shumpert (drawn by K. Caldwell-Pope)
11:20.0,,,82-76,1,K. Caldwell-Pope makes free throw 1 of 1
11:00.0,L. James makes 3-pt shot from 27 ft (assist by M. Dellavedova),3,85-76,,
10:41.0,,,85-76,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by L. James,,85-76,,
10:15.0,L. James misses 2-pt shot from 19 ft,,85-76,,
10:14.0,,,85-76,,Defensive rebound by A. Tolliver
9:58.0,,,85-76,,Offensive charge foul by A. Baynes
9:58.0,,,85-76,,Turnover by A. Baynes (offensive foul)
9:33.0,L. James misses 2-pt shot from 16 ft,,85-76,,
9:33.0,,,85-76,,Defensive rebound by S. Johnson
9:33.0,Personal foul by M. Dellavedova,,85-76,,
9:33.0,,,85-76,,T. Harris enters the game for A. Tolliver
9:33.0,,,85-76,,M. Morris enters the game for A. Baynes
9:19.0,,,85-78,2,T. Harris makes 2-pt shot from 7 ft
8:52.0,M. Dellavedova misses 3-pt shot from 27 ft,,85-78,,
8:52.0,,,85-78,,Defensive rebound by K. Caldwell-Pope
8:42.0,,,85-78,,T. Harris misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by I. Shumpert,,85-78,,
8:41.0,,,85-78,,Personal foul by M. Morris
8:41.0,Official timeout,,85-78,,
8:41.0,,,85-78,,R. Jackson enters the game for S. Blake
8:41.0,K. Love enters the game for I. Shumpert,,85-78,,
8:41.0,K. Irving enters the game for C. Frye,,85-78,,
8:16.0,M. Dellavedova makes 2-pt shot from 6 ft (assist by K. Love),2,87-78,,
8:00.0,,,87-80,2,T. Harris makes 2-pt shot from 13 ft (assist by R. Jackson)
7:37.0,Turnover by L. James (lost ball; steal by T. Harris),,87-80,,
7:35.0,Personal foul by M. Dellavedova,,87-80,,
7:35.0,T. Thompson enters the game for R. Jefferson,,87-80,,
7:35.0,,,87-80,,A. Drummond enters the game for S. Johnson
7:22.0,,,87-82,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
7:00.0,K. Irving misses 2-pt shot from 10 ft,,87-82,,
6:59.0,,,87-82,,Defensive rebound by T. Harris
6:48.0,,,87-82,,Shooting foul by T. Thompson (drawn by M. Morris)
6:48.0,,,87-83,1,M. Morris makes free throw 1 of 2
6:48.0,,,87-84,1,M. Morris makes free throw 2 of 2
6:30.0,L. James misses 3-pt shot from 26 ft,,87-84,,
6:30.0,,,87-84,,Defensive rebound by A. Drummond
6:19.0,,,87-86,2,T. Harris makes 2-pt shot from 14 ft (assist by R. Jackson)
6:19.0,Cleveland full timeout,,87-86,,
6:19.0,J. Smith enters the game for M. Dellavedova,,87-86,,
6:05.0,K. Irving makes 3-pt shot from 26 ft (assist by T. Thompson),3,90-86,,
6:04.0,Personal take foul by T. Thompson,,90-86,,
6:04.0,,,90-86,,A. Drummond misses free throw 1 of 2
6:04.0,,,90-86,,Offensive rebound by Team
6:04.0,,,90-86,,A. Drummond misses free throw 2 of 2
6:02.0,Defensive rebound by K. Love,,90-86,,
6:02.0,,,90-86,,Personal foul by K. Caldwell-Pope
6:02.0,,,90-86,,A. Baynes enters the game for A. Drummond
5:45.0,Turnover by K. Irving (lost ball),,90-86,,
5:30.0,,,90-86,,Turnover by M. Morris (lost ball; steal by T. Thompson)
5:08.0,T. Thompson misses 2-pt shot from 6 ft,,90-86,,
5:07.0,Offensive rebound by K. Love,,90-86,,
5:05.0,K. Love makes 2-pt shot at rim,2,92-86,,
4:52.0,,,92-86,,R. Jackson misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by J. Smith,,92-86,,
4:27.0,L. James misses 2-pt shot from 20 ft,,92-86,,
4:27.0,,,92-86,,Defensive rebound by R. Jackson
4:20.0,,,92-88,2,T. Harris makes 2-pt shot from 18 ft (assist by R. Jackson)
4:01.0,K. Irving misses 3-pt shot from 27 ft,,92-88,,
4:00.0,,,92-88,,Defensive rebound by R. Jackson
3:56.0,,,92-90,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
3:30.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,95-90,,
3:09.0,,,95-90,,A. Baynes misses 2-pt shot from 5 ft
3:09.0,Defensive rebound by J. Smith,,95-90,,
2:48.0,Turnover by L. James (bad pass),,95-90,,
2:48.0,,,95-90,,Detroit full timeout
2:33.0,,,95-90,,K. Caldwell-Pope misses 3-pt shot from 23 ft
2:33.0,Defensive rebound by K. Love,,95-90,,
2:11.0,L. James misses 2-pt shot from 1 ft,,95-90,,
2:10.0,Offensive rebound by T. Thompson,,95-90,,
1:43.0,J. Smith misses 3-pt shot from 23 ft,,95-90,,
1:43.0,,,95-90,,Defensive rebound by M. Morris
1:34.0,,,95-90,,R. Jackson misses 2-pt shot from 4 ft
1:34.0,Defensive rebound by Team,,95-90,,
1:14.0,Turnover by K. Irving (lost ball; steal by K. Caldwell-Pope),,95-90,,
1:08.0,,,95-90,,Turnover by R. Jackson (lost ball)
1:08.0,Cleveland full timeout,,95-90,,
1:08.0,M. Dellavedova enters the game for T. Thompson,,95-90,,
1:08.0,,,95-90,,S. Johnson enters the game for A. Baynes
0:45.0,Cleveland full timeout,,95-90,,
0:45.0,,,95-90,,A. Baynes enters the game for S. Johnson
0:43.0,K. Irving makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,98-90,,
0:43.0,,,98-90,,Detroit full timeout
0:43.0,I. Shumpert enters the game for K. Love,,98-90,,
0:37.0,,,98-90,,R. Jackson misses 2-pt shot from 8 ft
0:37.0,Defensive rebound by L. James,,98-90,,
0:37.0,,,98-90,,Personal foul by M. Morris
0:34.0,,,98-90,,Personal foul by T. Harris
0:34.0,M. Dellavedova makes free throw 1 of 2,1,99-90,,
0:34.0,M. Dellavedova makes free throw 2 of 2,1,100-90,,
0:34.0,,,100-90,,Detroit full timeout
0:23.0,,,100-90,,R. Jackson misses 3-pt shot from 26 ft
0:23.0,,,100-90,,Offensive rebound by Team
0:23.0,Loose ball foul by L. James,,100-90,,
0:23.0,,,100-91,1,A. Baynes makes free throw 1 of 2
0:23.0,K. Love enters the game for I. Shumpert,,100-91,,
0:23.0,,,100-91,,A. Baynes misses free throw 2 of 2
0:22.0,Defensive rebound by L. James,,100-91,,
0:21.0,,,100-91,,Personal foul by T. Harris
0:21.0,L. James makes free throw 1 of 2,1,101-91,,
0:21.0,I. Shumpert enters the game for K. Love,,101-91,,
0:21.0,L. James misses free throw 2 of 2,,101-91,,
0:20.0,,,101-91,,Defensive rebound by T. Harris
0:20.0,,,101-91,,Detroit full timeout
0:13.0,,,101-91,,R. Jackson misses 2-pt shot from 1 ft (block by L. James)
0:12.0,Defensive rebound by J. Smith,,101-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
