time,Philadelphia,pts.away,score,pts.home,Orlando
7:53.0,I. Smith enters the game for T. McConnell,,35-47,,
7:44.0,,,35-47,,Shooting foul by I. Canaan (drawn by V. Oladipo)
7:44.0,,,35-48,1,V. Oladipo makes free throw 1 of 2
7:44.0,,,35-49,1,V. Oladipo makes free throw 2 of 2
7:23.0,I. Smith makes 2-pt shot from 1 ft (assist by J. Okafor),2,37-49,,
7:10.0,,,37-51,2,J. Smith makes 2-pt shot from 18 ft (assist by M. Hezonja)
6:59.0,I. Canaan misses 3-pt shot from 25 ft,,37-51,,
6:58.0,,,37-51,,Defensive rebound by A. Gordon
6:43.0,,,37-54,3,V. Oladipo makes 3-pt shot from 25 ft
6:36.0,Turnover by I. Smith (bad pass; steal by V. Oladipo),,37-54,,
6:26.0,,,37-57,3,A. Gordon makes 3-pt shot from 24 ft (assist by E. Payton)
6:26.0,Philadelphia full timeout,,37-57,,
6:26.0,,,37-57,,N. Vucevic enters the game for J. Smith
6:26.0,J. Grant enters the game for I. Canaan,,37-57,,
6:17.0,Turnover by I. Smith (bad pass; steal by V. Oladipo),,37-57,,
6:11.0,,,37-59,2,N. Vucevic makes 2-pt shot from 5 ft (assist by V. Oladipo)
5:56.0,J. Okafor misses 2-pt shot from 9 ft,,37-59,,
5:55.0,,,37-59,,Defensive rebound by A. Gordon
5:45.0,,,37-61,2,N. Vucevic makes 2-pt shot from 19 ft
5:23.0,I. Smith makes 2-pt shot from 15 ft,2,39-61,,
5:16.0,,,39-61,,Offensive foul by M. Hezonja
5:16.0,,,39-61,,Turnover by M. Hezonja (offensive foul)
5:16.0,N. Noel enters the game for R. Holmes,,39-61,,
5:16.0,,,39-61,,C. Watson enters the game for M. Hezonja
5:02.0,Shooting foul by V. Oladipo (drawn by J. Grant),,39-61,,
5:02.0,J. Grant misses free throw 1 of 2,,39-61,,
5:02.0,Offensive rebound by Team,,39-61,,
5:02.0,J. Grant makes free throw 2 of 2,1,40-61,,
