time,Brooklyn,pts.away,score,pts.home,LA Clippers
7:30.0,,,12-9,,L. Mbah a Moute misses 3-pt shot from 22 ft
7:29.0,,,12-9,,Offensive rebound by L. Mbah a Moute
7:27.0,,,12-9,,L. Mbah a Moute misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by T. Young,,12-9,,
7:18.0,D. Sloan misses 2-pt shot from 4 ft,,12-9,,
7:14.0,,,12-9,,Defensive rebound by P. Pierce
6:59.0,,,12-9,,D. Jordan misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by B. Lopez,,12-9,,
6:47.0,B. Bogdanovic misses 3-pt shot from 25 ft,,12-9,,
6:46.0,,,12-9,,Defensive rebound by D. Jordan
6:33.0,,,12-12,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
6:14.0,W. Ellington misses 3-pt shot from 23 ft,,12-12,,
6:13.0,Offensive rebound by B. Lopez,,12-12,,
6:10.0,,,12-12,,Personal foul by D. Jordan (drawn by B. Lopez)
6:10.0,,,12-12,,J. Green enters the game for P. Pierce
5:56.0,W. Ellington makes 2-pt shot from 2 ft (assist by B. Lopez),2,14-12,,
5:34.0,,,14-12,,Shooting foul by T. Young (drawn by J. Redick)
5:34.0,,,14-12,,LA Clippers full timeout
5:34.0,,,14-12,,W. Johnson enters the game for L. Mbah a Moute
5:34.0,,,14-13,1,J. Redick makes free throw 1 of 2
5:34.0,,,14-14,1,J. Redick makes free throw 2 of 2
5:18.0,B. Bogdanovic misses 2-pt shot from 17 ft,,14-14,,
5:16.0,,,14-14,,Defensive rebound by D. Jordan
5:05.0,,,14-14,,W. Johnson misses 2-pt shot from 16 ft
5:02.0,Defensive rebound by T. Young,,14-14,,
4:54.0,Shooting foul by C. Paul (drawn by D. Sloan),,14-14,,
4:54.0,D. Sloan makes free throw 1 of 2,1,15-14,,
4:54.0,D. Sloan makes free throw 2 of 2,1,16-14,,
4:41.0,,,16-16,2,C. Paul makes 2-pt shot from 12 ft
4:26.0,W. Ellington makes 3-pt shot from 26 ft,3,19-16,,
4:11.0,,,19-18,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:52.0,D. Sloan misses 2-pt shot from 1 ft,,19-18,,
3:50.0,,,19-18,,Defensive rebound by J. Green
3:44.0,,,19-21,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
3:19.0,B. Lopez misses 2-pt shot from 2 ft,,19-21,,
3:16.0,,,19-21,,Defensive rebound by D. Jordan
3:11.0,Personal foul by B. Lopez (drawn by D. Jordan),,19-21,,
3:11.0,,,19-21,,J. Crawford enters the game for J. Redick
3:04.0,,,19-21,,C. Paul misses 2-pt shot from 19 ft
3:03.0,Defensive rebound by T. Young,,19-21,,
2:51.0,D. Sloan misses 3-pt shot from 27 ft,,19-21,,
2:49.0,Offensive rebound by B. Lopez,,19-21,,
2:48.0,Turnover by B. Lopez (bad pass; steal by C. Paul),,19-21,,
2:42.0,,,19-21,,W. Johnson misses 3-pt shot from 23 ft
2:39.0,Defensive rebound by B. Bogdanovic,,19-21,,
2:22.0,T. Young makes 2-pt shot from 7 ft,2,21-21,,
2:10.0,Personal foul by W. Ellington (drawn by J. Crawford),,21-21,,
2:10.0,Brooklyn full timeout,,21-21,,
2:10.0,,,21-21,,P. Prigioni enters the game for C. Paul
2:10.0,T. Robinson enters the game for B. Lopez,,21-21,,
2:01.0,,,21-23,2,P. Prigioni makes 2-pt shot at rim
1:42.0,D. Sloan makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,24-23,,
1:31.0,,,24-25,2,J. Crawford makes 2-pt shot from 16 ft
1:16.0,Shooting foul by W. Johnson (drawn by B. Bogdanovic),,24-25,,
1:16.0,B. Bogdanovic makes free throw 1 of 2,1,25-25,,
1:16.0,,,25-25,,C. Aldrich enters the game for D. Jordan
1:16.0,M. Brown enters the game for W. Ellington,,25-25,,
1:16.0,C. McCullough enters the game for T. Young,,25-25,,
1:16.0,B. Bogdanovic misses free throw 2 of 2,,25-25,,
1:14.0,,,25-25,,Defensive rebound by C. Aldrich
1:01.0,,,25-27,2,J. Crawford makes 2-pt shot from 5 ft
0:56.0,D. Sloan makes 2-pt shot from 2 ft,2,27-27,,
0:47.0,,,27-27,,J. Crawford misses 2-pt shot from 7 ft
0:45.0,Defensive rebound by T. Robinson,,27-27,,
0:39.0,Turnover by B. Bogdanovic (lost ball; steal by J. Crawford),,27-27,,
0:31.0,,,27-27,,J. Green misses 2-pt shot from 3 ft
0:28.0,,,27-27,,Offensive rebound by J. Green
0:24.0,,,27-29,2,W. Johnson makes 2-pt shot from 17 ft (assist by P. Prigioni)
0:00.0,D. Sloan misses 3-pt shot from 27 ft,,27-29,,
0:00.0,Offensive rebound by Team,,27-29,,
0:00.0,Turnover by Team (shot clock),,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,T. Robinson misses 2-pt shot from 3 ft,,27-29,,
11:32.0,,,27-29,,Defensive rebound by C. Aldrich
11:23.0,Personal foul by T. Robinson (drawn by J. Crawford),,27-29,,
11:10.0,,,27-29,,J. Green misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by T. Robinson,,27-29,,
11:01.0,M. Brown misses 2-pt shot from 19 ft,,27-29,,
10:58.0,,,27-29,,Defensive rebound by W. Johnson
10:47.0,,,27-29,,Turnover by J. Crawford (bad pass; steal by T. Robinson)
10:41.0,M. Brown makes 2-pt shot at rim,2,29-29,,
10:21.0,,,29-29,,J. Green misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by T. Robinson,,29-29,,
10:10.0,C. McCullough misses 3-pt shot from 27 ft,,29-29,,
10:09.0,Offensive rebound by T. Robinson,,29-29,,
10:09.0,Shooting foul by C. Aldrich (drawn by T. Robinson),,29-29,,
10:09.0,T. Robinson makes free throw 1 of 2,1,30-29,,
10:09.0,T. Robinson misses free throw 2 of 2,,30-29,,
10:08.0,,,30-29,,Defensive rebound by C. Aldrich
9:54.0,,,30-29,,Shooting foul by C. McCullough (drawn by J. Crawford)
9:54.0,,,30-30,1,J. Crawford makes free throw 1 of 3
9:54.0,,,30-31,1,J. Crawford makes free throw 2 of 3
9:54.0,,,30-31,,J. Crawford misses free throw 3 of 3
9:53.0,Defensive rebound by T. Robinson,,30-31,,
9:36.0,S. Larkin misses 2-pt shot from 22 ft,,30-31,,
9:35.0,Offensive rebound by T. Robinson,,30-31,,
9:29.0,M. Brown misses 3-pt shot from 26 ft,,30-31,,
9:27.0,,,30-31,,Defensive rebound by J. Green
9:17.0,,,30-34,3,J. Crawford makes 3-pt shot from 23 ft (assist by J. Green)
9:01.0,T. Robinson makes 2-pt shot from 13 ft (assist by S. Larkin),2,32-34,,
8:46.0,,,32-34,,Turnover by W. Johnson (bad pass; steal by S. Karasev)
8:40.0,T. Robinson makes 2-pt shot at rim (assist by M. Brown),2,34-34,,
8:23.0,,,34-34,,C. Aldrich misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by C. McCullough,,34-34,,
8:04.0,S. Karasev misses 3-pt shot from 24 ft,,34-34,,
8:03.0,,,34-34,,Defensive rebound by P. Prigioni
7:51.0,,,34-34,,J. Crawford misses 2-pt shot from 7 ft
7:49.0,Defensive rebound by T. Robinson,,34-34,,
7:36.0,S. Larkin makes 2-pt shot from 3 ft (assist by M. Brown),2,36-34,,
7:20.0,,,36-37,3,J. Crawford makes 3-pt shot from 28 ft (assist by J. Green)
7:02.0,Shooting foul by C. Aldrich (drawn by S. Larkin),,36-37,,
7:02.0,Official timeout,,36-37,,
7:02.0,,,36-37,,C. Paul enters the game for J. Green
7:02.0,,,36-37,,D. Jordan enters the game for P. Prigioni
7:02.0,,,36-37,,J. Redick enters the game for C. Aldrich
7:02.0,S. Larkin makes free throw 1 of 2,1,37-37,,
7:02.0,S. Larkin misses free throw 2 of 2,,37-37,,
7:01.0,,,37-37,,Defensive rebound by D. Jordan
6:44.0,,,37-37,,Turnover by J. Crawford (bad pass; steal by M. Brown)
6:40.0,S. Larkin misses 2-pt shot from 17 ft,,37-37,,
6:35.0,,,37-37,,Defensive rebound by W. Johnson
6:33.0,,,37-37,,Turnover by J. Crawford (bad pass; steal by C. McCullough)
6:27.0,S. Larkin makes 3-pt shot from 25 ft (assist by T. Robinson),3,40-37,,
6:14.0,Personal foul by S. Karasev (drawn by J. Redick),,40-37,,
6:14.0,B. Lopez enters the game for C. McCullough,,40-37,,
6:14.0,T. Young enters the game for T. Robinson,,40-37,,
6:14.0,,,40-37,,P. Pierce enters the game for W. Johnson
6:14.0,,,40-37,,L. Mbah a Moute enters the game for J. Crawford
6:02.0,,,40-37,,J. Redick misses 3-pt shot from 26 ft
6:00.0,,,40-37,,Offensive rebound by L. Mbah a Moute
5:55.0,Personal foul by M. Brown (drawn by C. Paul),,40-37,,
5:55.0,,,40-37,,LA Clippers full timeout
5:44.0,,,40-40,3,C. Paul makes 3-pt shot from 27 ft (assist by L. Mbah a Moute)
5:22.0,T. Young misses 2-pt shot from 18 ft,,40-40,,
5:21.0,,,40-40,,Defensive rebound by C. Paul
5:05.0,,,40-40,,D. Jordan misses 2-pt shot from 4 ft
5:03.0,Defensive rebound by S. Karasev,,40-40,,
4:54.0,Turnover by S. Karasev (lost ball; steal by L. Mbah a Moute),,40-40,,
4:37.0,,,40-42,2,P. Pierce makes 2-pt shot from 3 ft
4:37.0,,,40-42,,Shooting foul by T. Young (drawn by P. Pierce)
4:37.0,B. Bogdanovic enters the game for S. Karasev,,40-42,,
4:37.0,W. Ellington enters the game for M. Brown,,40-42,,
4:37.0,,,40-43,1,P. Pierce makes free throw 1 of 1
4:19.0,B. Lopez misses 2-pt shot from 16 ft,,40-43,,
4:18.0,,,40-43,,Defensive rebound by L. Mbah a Moute
4:09.0,,,40-43,,J. Redick misses 2-pt shot from 12 ft
4:07.0,Defensive rebound by S. Larkin,,40-43,,
4:01.0,T. Young misses 2-pt shot from 3 ft,,40-43,,
3:58.0,Offensive rebound by B. Lopez,,40-43,,
3:56.0,B. Lopez misses 2-pt shot from 3 ft,,40-43,,
3:56.0,Offensive rebound by Team,,40-43,,
3:56.0,,,40-43,,J. Green enters the game for L. Mbah a Moute
3:48.0,B. Bogdanovic misses 2-pt shot from 19 ft,,40-43,,
3:47.0,Offensive rebound by B. Lopez,,40-43,,
3:44.0,B. Lopez makes 2-pt shot from 2 ft,2,42-43,,
3:32.0,,,42-43,,J. Green misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by B. Bogdanovic,,42-43,,
3:18.0,S. Larkin misses 2-pt shot from 1 ft,,42-43,,
3:17.0,,,42-43,,Defensive rebound by D. Jordan
3:11.0,,,42-43,,C. Paul misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by T. Young,,42-43,,
2:52.0,Brooklyn full timeout,,42-43,,
2:45.0,B. Bogdanovic misses 2-pt shot from 20 ft,,42-43,,
2:44.0,,,42-43,,Defensive rebound by J. Green
2:33.0,Jump ball: B. Lopez vs. C. Paul (T. Young gains possession),,,,Jump ball: B. Lopez vs. C. Paul (T. Young gains possession)
2:33.0,,,42-43,,Turnover by C. Paul (lost ball; steal by B. Lopez)
2:07.0,S. Larkin misses 2-pt shot from 5 ft,,42-43,,
2:04.0,,,42-43,,Defensive rebound by J. Green
1:59.0,,,42-45,2,D. Jordan makes 2-pt shot at rim (assist by P. Pierce)
1:40.0,T. Young misses 2-pt shot from 2 ft (block by P. Pierce),,42-45,,
1:39.0,Offensive rebound by T. Young,,42-45,,
1:35.0,B. Bogdanovic misses 3-pt shot from 26 ft,,42-45,,
1:34.0,,,42-45,,Defensive rebound by J. Green
1:25.0,,,42-45,,P. Pierce misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by T. Young,,42-45,,
1:11.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez),2,44-45,,
1:11.0,Shooting foul by J. Green (drawn by B. Bogdanovic),,44-45,,
1:11.0,B. Bogdanovic makes free throw 1 of 1,1,45-45,,
1:01.0,,,45-45,,Shooting foul by S. Larkin (drawn by C. Paul)
1:01.0,,,45-46,1,C. Paul makes free throw 1 of 2
1:01.0,,,45-47,1,C. Paul makes free throw 2 of 2
0:49.0,Turnover by S. Larkin (step out of bounds),,45-47,,
0:43.0,,,45-49,2,C. Paul makes 2-pt shot from 3 ft
0:29.0,W. Ellington misses 3-pt shot from 26 ft,,45-49,,
0:29.0,Offensive rebound by Team,,45-49,,
0:29.0,,,45-49,,Loose ball foul by P. Pierce (drawn by B. Bogdanovic)
0:29.0,Brooklyn full timeout,,45-49,,
0:29.0,M. Brown enters the game for W. Ellington,,45-49,,
0:29.0,B. Bogdanovic makes free throw 1 of 2,1,46-49,,
0:29.0,,,46-49,,LA Clippers full timeout
0:29.0,S. Kilpatrick enters the game for B. Lopez,,46-49,,
0:29.0,,,46-49,,J. Crawford enters the game for D. Jordan
0:29.0,B. Bogdanovic misses free throw 2 of 2,,46-49,,
0:29.0,,,46-49,,Defensive rebound by P. Pierce
0:10.0,,,46-52,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
0:02.0,Turnover by T. Young (bad pass; steal by J. Crawford),,46-52,,
0:00.0,,,46-52,,J. Crawford misses 3-pt shot from 60 ft
0:00.0,,,46-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,B. Lopez makes 2-pt shot from 1 ft (assist by D. Sloan),2,48-52,,
11:30.0,,,48-52,,D. Jordan misses 2-pt shot from 5 ft
11:25.0,Defensive rebound by D. Sloan,,48-52,,
11:10.0,B. Lopez misses 2-pt shot from 12 ft,,48-52,,
11:07.0,,,48-52,,Defensive rebound by J. Redick
11:00.0,,,48-54,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
10:35.0,T. Young makes 2-pt shot from 5 ft (assist by D. Sloan),2,50-54,,
10:15.0,,,50-57,3,J. Green makes 3-pt shot from 22 ft (assist by P. Pierce)
10:01.0,B. Lopez makes 2-pt shot from 8 ft (assist by T. Young),2,52-57,,
9:45.0,,,52-57,,J. Redick misses 2-pt shot from 20 ft
9:44.0,Defensive rebound by D. Sloan,,52-57,,
9:38.0,W. Ellington makes 3-pt shot from 25 ft (assist by D. Sloan),3,55-57,,
9:22.0,,,55-59,2,C. Paul makes 2-pt shot from 2 ft
9:11.0,Shooting foul by P. Pierce (drawn by D. Sloan),,55-59,,
9:11.0,D. Sloan makes free throw 1 of 2,1,56-59,,
9:11.0,D. Sloan makes free throw 2 of 2,1,57-59,,
9:02.0,,,57-59,,Turnover by C. Paul (lost ball; steal by D. Sloan)
9:00.0,Shooting foul by C. Paul (drawn by D. Sloan),,57-59,,
9:00.0,,,57-59,,Violation by D. Jordan (lane)
9:00.0,D. Sloan makes free throw 1 of 2,1,58-59,,
9:00.0,D. Sloan misses free throw 2 of 2,,58-59,,
8:59.0,,,58-59,,Defensive rebound by J. Green
8:49.0,,,58-61,2,C. Paul makes 2-pt shot from 2 ft
8:34.0,D. Sloan misses 2-pt shot from 18 ft,,58-61,,
8:32.0,,,58-61,,Defensive rebound by D. Jordan
8:27.0,,,58-63,2,J. Green makes 2-pt shot from 2 ft (assist by C. Paul)
8:26.0,Brooklyn full timeout,,58-63,,
8:26.0,S. Larkin enters the game for D. Sloan,,58-63,,
8:13.0,B. Lopez makes 2-pt shot from 5 ft (assist by S. Larkin),2,60-63,,
7:46.0,,,60-65,2,J. Green makes 2-pt shot from 6 ft
7:26.0,B. Lopez makes 2-pt shot from 17 ft (assist by S. Larkin),2,62-65,,
7:10.0,,,62-65,,J. Redick misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by B. Bogdanovic,,62-65,,
6:55.0,W. Ellington misses 3-pt shot from 28 ft,,62-65,,
6:54.0,Offensive rebound by S. Larkin,,62-65,,
6:45.0,Shooting foul by P. Pierce (drawn by B. Lopez),,62-65,,
6:45.0,B. Lopez makes free throw 1 of 2,1,63-65,,
6:45.0,B. Lopez misses free throw 2 of 2,,63-65,,
6:43.0,,,63-65,,Defensive rebound by D. Jordan
6:34.0,Personal foul by W. Ellington (drawn by D. Jordan),,63-65,,
6:28.0,,,63-67,2,J. Redick makes 2-pt shot from 1 ft (assist by D. Jordan)
6:02.0,Turnover by Team (shot clock),,63-67,,
6:02.0,M. Brown enters the game for W. Ellington,,63-67,,
5:55.0,,,63-67,,Shooting foul by S. Larkin (drawn by C. Paul)
5:55.0,,,63-68,1,C. Paul makes free throw 1 of 2
5:55.0,,,63-68,,W. Johnson enters the game for P. Pierce
5:55.0,,,63-69,1,C. Paul makes free throw 2 of 2
5:45.0,Shooting foul by J. Green (drawn by B. Lopez),,63-69,,
5:45.0,B. Lopez makes free throw 1 of 2,1,64-69,,
5:45.0,B. Lopez makes free throw 2 of 2,1,65-69,,
5:32.0,,,65-69,,C. Paul misses 3-pt shot from 26 ft
5:31.0,Defensive rebound by B. Lopez,,65-69,,
5:10.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,67-69,,
4:54.0,,,67-69,,J. Redick misses 2-pt shot from 20 ft
4:51.0,Defensive rebound by B. Bogdanovic,,67-69,,
4:31.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by M. Brown),3,70-69,,
4:10.0,,,70-69,,C. Paul misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by B. Bogdanovic,,70-69,,
3:53.0,Shooting foul by D. Jordan (drawn by B. Lopez),,70-69,,
3:53.0,B. Lopez makes free throw 1 of 2,1,71-69,,
3:53.0,,,71-69,,J. Crawford enters the game for J. Green
3:53.0,B. Lopez makes free throw 2 of 2,1,72-69,,
3:43.0,,,72-69,,Turnover by C. Paul (bad pass; steal by S. Larkin)
3:41.0,Shooting foul by C. Paul (drawn by S. Larkin),,72-69,,
3:41.0,S. Larkin misses free throw 1 of 2,,72-69,,
3:41.0,Offensive rebound by Team,,72-69,,
3:41.0,S. Larkin misses free throw 2 of 2,,72-69,,
3:40.0,,,72-69,,Defensive rebound by W. Johnson
3:29.0,,,72-69,,J. Crawford misses 2-pt shot from 14 ft
3:28.0,Defensive rebound by B. Lopez,,72-69,,
3:19.0,Turnover by S. Larkin (bad pass; steal by C. Paul),,72-69,,
3:15.0,,,72-69,,J. Redick misses 2-pt shot from 2 ft
3:15.0,,,72-69,,Offensive rebound by C. Paul
3:15.0,,,72-69,,Shooting foul by M. Brown (drawn by C. Paul)
3:15.0,,,72-70,1,C. Paul makes free throw 1 of 2
3:15.0,,,72-71,1,C. Paul makes free throw 2 of 2
2:58.0,M. Brown makes 3-pt shot from 23 ft (assist by S. Larkin),3,75-71,,
2:38.0,,,75-73,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
2:21.0,,,75-73,,Personal foul by J. Crawford (drawn by B. Bogdanovic)
2:21.0,,,75-73,,LA Clippers full timeout
2:21.0,B. Bogdanovic makes free throw 1 of 2,1,76-73,,
2:21.0,B. Bogdanovic makes free throw 2 of 2,1,77-73,,
2:10.0,,,77-73,,J. Crawford misses 2-pt shot from 12 ft
2:09.0,Defensive rebound by T. Young,,77-73,,
1:55.0,T. Young makes 2-pt shot from 5 ft (assist by S. Larkin),2,79-73,,
1:34.0,,,79-75,2,C. Paul makes 2-pt shot from 3 ft (assist by J. Redick)
1:18.0,B. Bogdanovic misses 2-pt shot from 6 ft,,79-75,,
1:16.0,,,79-75,,Defensive rebound by W. Johnson
1:05.0,,,79-77,2,J. Crawford makes 2-pt shot from 18 ft
0:49.0,B. Lopez misses 2-pt shot from 9 ft,,79-77,,
0:48.0,,,79-77,,Defensive rebound by D. Jordan
0:45.0,,,79-79,2,W. Johnson makes 2-pt shot at rim (assist by C. Paul)
0:23.0,B. Lopez misses 2-pt shot from 5 ft (block by D. Jordan),,79-79,,
0:21.0,Offensive rebound by B. Lopez,,79-79,,
0:20.0,Turnover by B. Lopez (bad pass; steal by W. Johnson),,79-79,,
0:05.0,Personal take foul by B. Bogdanovic (drawn by J. Crawford),,79-79,,
0:05.0,S. Karasev enters the game for B. Bogdanovic,,79-79,,
0:05.0,T. Robinson enters the game for B. Lopez,,79-79,,
0:05.0,,,79-79,,J. Green enters the game for D. Jordan
0:05.0,C. McCullough enters the game for T. Young,,79-79,,
0:01.0,,,79-81,2,J. Crawford makes 2-pt shot from 12 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,79-81,,Turnover by W. Johnson (bad pass)
11:33.0,T. Robinson misses 2-pt shot from 3 ft,,79-81,,
11:32.0,,,79-81,,Defensive rebound by C. Aldrich
11:22.0,,,79-81,,J. Green misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by T. Robinson,,79-81,,
11:05.0,Turnover by M. Brown (bad pass),,79-81,,
10:54.0,,,79-81,,Shooting foul by M. Brown (drawn by J. Crawford)
10:54.0,,,79-81,,J. Crawford misses free throw 1 of 2
10:54.0,,,79-81,,Offensive rebound by Team
10:54.0,,,79-82,1,J. Crawford makes free throw 2 of 2
10:40.0,M. Brown misses 2-pt shot from 19 ft,,79-82,,
10:40.0,Offensive rebound by T. Robinson,,79-82,,
10:40.0,,,79-82,,Loose ball foul by W. Johnson (drawn by T. Robinson)
10:39.0,,,79-82,,Personal foul by C. Aldrich (drawn by T. Robinson)
10:28.0,Shooting foul by J. Crawford (drawn by M. Brown),,79-82,,
10:28.0,M. Brown misses free throw 1 of 2,,79-82,,
10:28.0,Offensive rebound by Team,,79-82,,
10:28.0,M. Brown makes free throw 2 of 2,1,80-82,,
10:08.0,,,80-85,3,J. Crawford makes 3-pt shot from 26 ft
9:54.0,Offensive foul by C. McCullough,,80-85,,
9:54.0,Turnover by C. McCullough (offensive foul),,80-85,,
9:54.0,D. Sloan enters the game for S. Larkin,,80-85,,
9:30.0,,,80-85,,J. Crawford misses 2-pt shot from 5 ft
9:29.0,,,80-85,,Offensive rebound by P. Prigioni
9:22.0,,,80-85,,Turnover by P. Prigioni (bad pass; steal by C. McCullough)
9:18.0,C. McCullough misses 2-pt shot from 1 ft (block by C. Aldrich),,80-85,,
9:16.0,,,80-85,,Defensive rebound by W. Johnson
9:09.0,,,80-85,,J. Green misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by Team,,80-85,,
8:54.0,Turnover by D. Sloan (bad pass),,80-85,,
8:54.0,Official timeout,,80-85,,
8:54.0,T. Young enters the game for C. McCullough,,80-85,,
8:30.0,,,80-85,,Turnover by Team (shot clock)
8:13.0,T. Young misses 2-pt shot from 7 ft (block by C. Aldrich),,80-85,,
8:11.0,,,80-85,,Defensive rebound by J. Crawford
8:04.0,,,80-85,,J. Crawford misses 2-pt shot from 7 ft (block by S. Karasev)
8:03.0,,,80-85,,Offensive rebound by C. Aldrich
8:02.0,,,80-87,2,C. Aldrich makes 2-pt shot from 2 ft
7:41.0,T. Young misses 2-pt shot from 6 ft,,80-87,,
7:39.0,,,80-87,,Defensive rebound by C. Aldrich
7:31.0,,,80-87,,W. Johnson misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by T. Robinson,,80-87,,
7:16.0,Offensive foul by T. Young,,80-87,,
7:16.0,Turnover by T. Young (offensive foul),,80-87,,
7:16.0,,,80-87,,D. Jordan enters the game for C. Aldrich
7:16.0,,,80-87,,C. Paul enters the game for P. Prigioni
7:16.0,B. Lopez enters the game for T. Robinson,,80-87,,
7:05.0,Personal foul by M. Brown (drawn by J. Crawford),,80-87,,
7:05.0,B. Bogdanovic enters the game for S. Karasev,,80-87,,
6:54.0,,,80-87,,C. Paul misses 3-pt shot from 27 ft
6:53.0,Defensive rebound by B. Lopez,,80-87,,
6:31.0,D. Sloan misses 2-pt shot from 18 ft,,80-87,,
6:30.0,Offensive rebound by T. Young,,80-87,,
6:25.0,B. Lopez makes 2-pt shot at rim (assist by M. Brown),2,82-87,,
6:04.0,,,82-89,2,J. Crawford makes 2-pt shot from 19 ft
5:45.0,B. Lopez makes 2-pt shot from 2 ft (assist by M. Brown),2,84-89,,
5:27.0,,,84-91,2,W. Johnson makes 2-pt shot from 20 ft (assist by J. Crawford)
5:09.0,B. Bogdanovic misses 3-pt shot from 25 ft,,84-91,,
5:07.0,,,84-91,,Defensive rebound by C. Paul
4:58.0,,,84-93,2,C. Paul makes 2-pt shot from 10 ft
4:44.0,B. Lopez misses 2-pt shot from 16 ft,,84-93,,
4:43.0,,,84-93,,Defensive rebound by D. Jordan
4:31.0,,,84-93,,C. Paul misses 2-pt shot from 14 ft
4:29.0,Defensive rebound by T. Young,,84-93,,
4:27.0,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young),2,86-93,,
4:11.0,,,86-95,2,J. Crawford makes 2-pt shot from 15 ft
4:03.0,Brooklyn full timeout,,86-95,,
4:03.0,,,86-95,,J. Redick enters the game for J. Green
4:03.0,,,86-95,,P. Pierce enters the game for W. Johnson
3:57.0,,,86-95,,Personal foul by J. Crawford (drawn by B. Lopez)
3:52.0,Turnover by D. Sloan (bad pass; steal by J. Redick),,86-95,,
3:46.0,,,86-95,,Turnover by D. Jordan (lost ball; steal by D. Sloan)
3:33.0,Turnover by B. Lopez (lost ball; steal by P. Pierce),,86-95,,
3:13.0,,,86-97,2,J. Crawford makes 2-pt shot from 15 ft
