time,Oklahoma City,pts.away,score,pts.home,Orlando
6:48.0,Offensive rebound by S. Ibaka,,10-15,,
6:39.0,S. Ibaka misses 2-pt shot from 17 ft,,10-15,,
6:37.0,Offensive rebound by S. Adams,,10-15,,
6:32.0,A. Morrow makes 3-pt shot from 24 ft (assist by S. Adams),3,13-15,,
6:18.0,,,13-15,,E. Fournier misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by S. Ibaka,,13-15,,
6:10.0,K. Durant misses 2-pt shot from 2 ft,,13-15,,
6:08.0,Offensive rebound by K. Durant,,13-15,,
6:08.0,K. Durant makes 2-pt shot at rim,2,15-15,,
5:52.0,,,15-17,2,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:52.0,,,15-17,,Shooting foul by S. Ibaka (drawn by E. Fournier)
5:52.0,,,15-18,1,E. Fournier makes free throw 1 of 1
5:41.0,R. Westbrook makes 2-pt shot from 1 ft,2,17-18,,
5:33.0,,,17-21,3,V. Oladipo makes 3-pt shot from 24 ft
5:17.0,S. Ibaka misses 2-pt shot from 21 ft,,17-21,,
5:16.0,,,17-21,,Defensive rebound by E. Fournier
5:08.0,,,17-21,,C. Watson enters the game for E. Payton
5:08.0,Jump ball: S. Adams vs. E. Fournier (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. E. Fournier (R. Westbrook gains possession)
5:08.0,,,17-21,,Turnover by E. Fournier (lost ball; steal by S. Adams)
5:01.0,,,17-21,,Personal foul by V. Oladipo (drawn by R. Westbrook)
4:57.0,Turnover by S. Adams (bad pass; steal by V. Oladipo),,17-21,,
4:52.0,,,17-21,,V. Oladipo misses 2-pt shot from 1 ft
4:49.0,,,17-21,,Offensive rebound by N. Vucevic
4:49.0,,,17-23,2,N. Vucevic makes 2-pt shot at rim
4:36.0,K. Durant misses 2-pt shot from 12 ft,,17-23,,
4:34.0,Offensive rebound by S. Ibaka,,17-23,,
4:33.0,S. Ibaka makes 2-pt shot from 6 ft,2,19-23,,
4:22.0,,,19-25,2,V. Oladipo makes 2-pt shot from 1 ft (assist by C. Watson)
4:10.0,K. Durant makes 2-pt shot from 16 ft,2,21-25,,
3:58.0,,,21-25,,V. Oladipo misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by S. Adams,,21-25,,
3:49.0,,,21-25,,Personal foul by E. Fournier (drawn by K. Durant)
3:49.0,K. Durant makes free throw 1 of 2,1,22-25,,
3:49.0,,,22-25,,M. Hezonja enters the game for E. Fournier
3:49.0,K. Durant makes free throw 2 of 2,1,23-25,,
3:32.0,,,23-27,2,N. Vucevic makes 2-pt shot from 14 ft
3:20.0,Turnover by K. Durant (bad pass; steal by M. Hezonja),,23-27,,
3:16.0,Shooting block foul by K. Durant (drawn by T. Harris),,23-27,,
3:16.0,,,23-28,1,T. Harris makes free throw 1 of 2
3:16.0,A. Roberson enters the game for A. Morrow,,23-28,,
3:16.0,,,23-29,1,T. Harris makes free throw 2 of 2
3:03.0,R. Westbrook misses 2-pt shot from 11 ft,,23-29,,
3:01.0,,,23-29,,Defensive rebound by T. Harris
2:53.0,,,23-31,2,T. Harris makes 2-pt shot at rim (assist by V. Oladipo)
2:40.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Harris),,23-31,,
2:38.0,Offensive rebound by S. Ibaka,,23-31,,
2:34.0,S. Ibaka makes 2-pt shot from 6 ft,2,25-31,,
2:23.0,,,25-33,2,N. Vucevic makes 2-pt shot from 7 ft
2:08.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,27-33,,
2:08.0,,,27-33,,Orlando full timeout
2:08.0,D. Augustin enters the game for K. Durant,,27-33,,
2:08.0,D. Waiters enters the game for R. Westbrook,,27-33,,
2:08.0,,,27-33,,A. Gordon enters the game for T. Harris
1:54.0,,,27-35,2,N. Vucevic makes 2-pt shot from 19 ft (assist by V. Oladipo)
1:24.0,S. Ibaka misses 2-pt shot from 15 ft,,27-35,,
1:24.0,Offensive rebound by Team,,27-35,,
1:24.0,Turnover by Team (shot clock),,27-35,,
1:10.0,,,27-35,,V. Oladipo misses 2-pt shot from 1 ft (block by S. Ibaka)
1:07.0,Defensive rebound by D. Waiters,,27-35,,
0:54.0,,,27-35,,Personal foul by A. Gordon (drawn by D. Augustin)
0:54.0,D. Augustin makes free throw 1 of 2,1,28-35,,
0:54.0,,,28-35,,E. Fournier enters the game for V. Oladipo
0:54.0,,,28-35,,D. Dedmon enters the game for N. Vucevic
0:54.0,E. Kanter enters the game for S. Adams,,28-35,,
0:54.0,D. Augustin makes free throw 2 of 2,1,29-35,,
0:37.0,,,29-35,,Turnover by M. Hezonja (traveling)
0:26.0,Turnover by D. Waiters (lost ball; steal by E. Fournier),,29-35,,
0:07.0,,,29-35,,E. Fournier misses 2-pt shot from 17 ft
0:04.0,Defensive rebound by D. Augustin,,29-35,,
0:01.0,S. Ibaka misses 2-pt shot from 1 ft,,29-35,,
0:01.0,Offensive rebound by D. Augustin,,29-35,,
0:01.0,D. Augustin makes 2-pt shot at rim,2,31-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,31-35,,C. Watson misses 3-pt shot from 25 ft
11:40.0,,,31-35,,Offensive rebound by D. Dedmon
11:35.0,,,31-35,,M. Hezonja misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by D. Waiters,,31-35,,
11:25.0,D. Waiters misses 2-pt shot from 2 ft,,31-35,,
11:23.0,Offensive rebound by E. Kanter,,31-35,,
11:23.0,E. Kanter misses 2-pt shot from 2 ft,,31-35,,
11:22.0,,,31-35,,Defensive rebound by C. Watson
11:06.0,,,31-37,2,E. Fournier makes 2-pt shot from 1 ft
11:06.0,,,31-37,,Shooting foul by E. Kanter (drawn by E. Fournier)
11:06.0,,,31-38,1,E. Fournier makes free throw 1 of 1
10:51.0,Shooting foul by D. Dedmon (drawn by E. Kanter),,31-38,,
10:51.0,E. Kanter makes free throw 1 of 2,1,32-38,,
10:51.0,E. Kanter misses free throw 2 of 2,,32-38,,
10:50.0,,,32-38,,Defensive rebound by A. Gordon
10:34.0,,,32-38,,C. Watson misses 2-pt shot from 9 ft
10:33.0,,,32-38,,Offensive rebound by A. Gordon
10:33.0,,,32-40,2,A. Gordon makes 2-pt shot at rim
10:20.0,D. Augustin makes 3-pt shot from 24 ft,3,35-40,,
9:54.0,,,35-42,2,A. Gordon makes 2-pt shot from 13 ft
9:44.0,,,35-42,,Violation by D. Dedmon (kicked ball)
9:44.0,,,35-42,,E. Payton enters the game for C. Watson
9:37.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Augustin),2,37-42,,
9:22.0,,,37-44,2,E. Fournier makes 2-pt shot at rim
9:06.0,Shooting foul by A. Gordon (drawn by K. Durant),,37-44,,
9:06.0,K. Durant makes free throw 1 of 3,1,38-44,,
9:06.0,K. Durant makes free throw 2 of 3,1,39-44,,
9:06.0,K. Durant makes free throw 3 of 3,1,40-44,,
8:51.0,,,40-44,,Shooting foul by K. Durant (drawn by A. Gordon)
8:51.0,Official timeout,,40-44,,
8:51.0,,,40-45,1,A. Gordon makes free throw 1 of 2
8:51.0,,,40-45,,A. Gordon misses free throw 2 of 2
8:50.0,Defensive rebound by E. Kanter,,40-45,,
8:30.0,D. Waiters misses 2-pt shot from 19 ft,,40-45,,
8:29.0,Offensive rebound by E. Kanter,,40-45,,
8:27.0,Turnover by E. Kanter (bad pass; steal by A. Gordon),,40-45,,
8:18.0,,,40-48,3,M. Hezonja makes 3-pt shot from 23 ft (assist by E. Fournier)
7:52.0,D. Augustin misses 3-pt shot from 23 ft,,40-48,,
7:52.0,,,40-48,,Defensive rebound by Team
7:52.0,Loose ball foul by E. Kanter (drawn by D. Dedmon),,40-48,,
7:52.0,,,40-48,,T. Harris enters the game for M. Hezonja
7:52.0,,,40-48,,V. Oladipo enters the game for A. Gordon
7:52.0,,,40-48,,N. Vucevic enters the game for D. Dedmon
7:52.0,S. Ibaka enters the game for A. Roberson,,40-48,,
7:52.0,A. Morrow enters the game for D. Augustin,,40-48,,
7:52.0,R. Westbrook enters the game for D. Waiters,,40-48,,
7:52.0,K. Singler enters the game for E. Kanter,,40-48,,
7:30.0,,,40-50,2,N. Vucevic makes 2-pt shot from 13 ft
7:14.0,,,40-50,,Personal foul by V. Oladipo (drawn by S. Ibaka)
7:09.0,A. Morrow misses 3-pt shot from 23 ft,,40-50,,
7:07.0,,,40-50,,Defensive rebound by V. Oladipo
7:00.0,,,40-50,,V. Oladipo misses 3-pt shot from 26 ft
6:58.0,,,40-50,,Offensive rebound by N. Vucevic
6:51.0,,,40-52,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
6:46.0,Oklahoma City full timeout,,40-52,,
6:34.0,A. Morrow misses 3-pt shot from 25 ft,,40-52,,
6:32.0,Offensive rebound by R. Westbrook,,40-52,,
6:27.0,Turnover by A. Morrow (bad pass),,40-52,,
6:11.0,,,40-52,,E. Fournier misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by S. Ibaka,,40-52,,
6:02.0,Shooting foul by E. Payton (drawn by R. Westbrook),,40-52,,
6:02.0,R. Westbrook makes free throw 1 of 2,1,41-52,,
6:02.0,,,41-52,,C. Watson enters the game for E. Payton
6:02.0,R. Westbrook makes free throw 2 of 2,1,42-52,,
5:46.0,,,42-54,2,N. Vucevic makes 2-pt shot from 11 ft
5:27.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,44-54,,
5:21.0,,,44-54,,T. Harris misses 2-pt shot from 2 ft (block by S. Ibaka)
5:18.0,Defensive rebound by K. Durant,,44-54,,
5:14.0,R. Westbrook misses 3-pt shot from 25 ft,,44-54,,
5:13.0,,,44-54,,Defensive rebound by V. Oladipo
5:02.0,,,44-56,2,N. Vucevic makes 2-pt shot from 9 ft (assist by V. Oladipo)
4:53.0,Turnover by K. Singler (bad pass),,44-56,,
4:44.0,,,44-58,2,V. Oladipo makes 2-pt shot from 2 ft
4:27.0,R. Westbrook misses 2-pt shot from 1 ft (block by N. Vucevic),,44-58,,
4:25.0,Offensive rebound by S. Ibaka,,44-58,,
4:25.0,S. Ibaka makes 2-pt shot from 1 ft,2,46-58,,
4:08.0,,,46-58,,Turnover by V. Oladipo (lost ball; steal by S. Ibaka)
4:03.0,K. Singler makes 2-pt shot from 1 ft,2,48-58,,
3:57.0,,,48-58,,Orlando full timeout
3:57.0,S. Adams enters the game for A. Morrow,,48-58,,
3:49.0,,,48-60,2,E. Fournier makes 2-pt shot at rim (assist by C. Watson)
3:34.0,Turnover by R. Westbrook (bad pass; steal by E. Fournier),,48-60,,
3:26.0,,,48-63,3,C. Watson makes 3-pt shot from 23 ft (assist by T. Harris)
3:06.0,R. Westbrook misses 3-pt shot from 25 ft,,48-63,,
3:05.0,,,48-63,,Defensive rebound by N. Vucevic
2:56.0,,,48-65,2,T. Harris makes 2-pt shot from 5 ft
2:40.0,K. Durant makes 2-pt shot from 14 ft,2,50-65,,
2:25.0,,,50-65,,E. Fournier misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by R. Westbrook,,50-65,,
2:18.0,K. Singler misses 3-pt shot from 22 ft,,50-65,,
2:15.0,Offensive rebound by S. Ibaka,,50-65,,
2:12.0,K. Durant misses 3-pt shot from 25 ft,,50-65,,
2:11.0,Offensive rebound by R. Westbrook,,50-65,,
2:06.0,Offensive foul by S. Adams,,50-65,,
2:06.0,Turnover by S. Adams (offensive foul),,50-65,,
2:06.0,,,50-65,,M. Hezonja enters the game for E. Fournier
1:52.0,,,50-65,,T. Harris misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by S. Adams,,50-65,,
1:44.0,R. Westbrook misses 2-pt shot from 6 ft (block by N. Vucevic),,50-65,,
1:42.0,,,50-65,,Defensive rebound by V. Oladipo
1:34.0,,,50-67,2,T. Harris makes 2-pt shot from 8 ft (assist by V. Oladipo)
1:22.0,,,50-67,,Personal foul by M. Hezonja (drawn by K. Durant)
1:22.0,K. Durant misses free throw 1 of 2,,50-67,,
1:22.0,Offensive rebound by Team,,50-67,,
1:22.0,K. Durant makes free throw 2 of 2,1,51-67,,
1:06.0,,,51-67,,V. Oladipo misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by Team,,51-67,,
1:04.0,D. Waiters enters the game for K. Durant,,51-67,,
0:51.0,R. Westbrook misses 2-pt shot from 2 ft,,51-67,,
0:50.0,Offensive rebound by S. Adams,,51-67,,
0:50.0,Shooting foul by N. Vucevic (drawn by S. Adams),,51-67,,
0:50.0,S. Adams makes free throw 1 of 2,1,52-67,,
0:50.0,S. Adams misses free throw 2 of 2,,52-67,,
0:49.0,,,52-67,,Defensive rebound by T. Harris
0:31.0,,,52-67,,V. Oladipo misses 2-pt shot from 11 ft
0:30.0,Defensive rebound by R. Westbrook,,52-67,,
0:30.0,,,52-67,,Personal foul by M. Hezonja (drawn by R. Westbrook)
0:30.0,R. Westbrook makes free throw 1 of 2,1,53-67,,
0:30.0,,,53-67,,S. Napier enters the game for M. Hezonja
0:30.0,R. Westbrook misses free throw 2 of 2,,53-67,,
0:29.0,,,53-67,,Defensive rebound by T. Harris
0:10.0,,,53-67,,T. Harris misses 2-pt shot from 8 ft
0:08.0,Defensive rebound by R. Westbrook,,53-67,,
0:05.0,Oklahoma City full timeout,,53-67,,
0:05.0,K. Durant enters the game for S. Adams,,53-67,,
0:00.0,D. Waiters misses 3-pt shot from 23 ft,,53-67,,
0:00.0,Offensive rebound by Team,,53-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,53-67,,V. Oladipo misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by R. Westbrook,,53-67,,
11:29.0,Shooting foul by E. Payton (drawn by R. Westbrook),,53-67,,
11:29.0,R. Westbrook makes free throw 1 of 2,1,54-67,,
11:29.0,R. Westbrook makes free throw 2 of 2,1,55-67,,
11:14.0,,,55-67,,N. Vucevic misses 2-pt shot from 8 ft
11:13.0,Defensive rebound by S. Ibaka,,55-67,,
11:06.0,K. Durant misses 3-pt shot from 24 ft,,55-67,,
11:04.0,,,55-67,,Defensive rebound by V. Oladipo
10:56.0,,,55-67,,T. Harris misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by K. Durant,,55-67,,
10:46.0,R. Westbrook makes 2-pt shot from 9 ft,2,57-67,,
10:34.0,,,57-69,2,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton)
10:22.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,59-69,,
10:06.0,,,59-69,,V. Oladipo misses 2-pt shot from 17 ft
10:04.0,Defensive rebound by A. Roberson,,59-69,,
9:56.0,R. Westbrook misses 2-pt shot from 1 ft,,59-69,,
9:54.0,,,59-69,,Defensive rebound by V. Oladipo
9:39.0,,,59-69,,E. Fournier misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by K. Durant,,59-69,,
9:29.0,K. Durant makes 2-pt shot at rim (assist by S. Adams),2,61-69,,
9:29.0,,,61-69,,Orlando full timeout
9:09.0,,,61-69,,V. Oladipo misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by S. Ibaka,,61-69,,
9:00.0,Shooting foul by N. Vucevic (drawn by R. Westbrook),,61-69,,
9:00.0,R. Westbrook makes free throw 1 of 2,1,62-69,,
9:00.0,R. Westbrook makes free throw 2 of 2,1,63-69,,
8:37.0,,,63-69,,V. Oladipo misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by A. Roberson,,63-69,,
8:30.0,S. Ibaka misses 3-pt shot from 22 ft,,63-69,,
8:28.0,,,63-69,,Defensive rebound by E. Fournier
8:19.0,,,63-69,,Shooting foul by S. Adams (drawn by T. Harris)
8:19.0,,,63-70,1,T. Harris makes free throw 1 of 2
8:19.0,,,63-71,1,T. Harris makes free throw 2 of 2
8:04.0,Turnover by R. Westbrook (bad pass; steal by N. Vucevic),,63-71,,
7:59.0,,,63-74,3,E. Fournier makes 3-pt shot from 24 ft (assist by V. Oladipo)
7:40.0,R. Westbrook misses 2-pt shot from 18 ft,,63-74,,
7:38.0,,,63-74,,Defensive rebound by N. Vucevic
7:28.0,,,63-76,2,E. Fournier makes 2-pt shot from 1 ft
7:04.0,S. Ibaka misses 2-pt shot from 20 ft,,63-76,,
7:03.0,,,63-76,,Defensive rebound by V. Oladipo
6:48.0,,,63-79,3,E. Fournier makes 3-pt shot from 26 ft (assist by V. Oladipo)
6:45.0,Oklahoma City full timeout,,63-79,,
6:29.0,K. Durant misses 2-pt shot from 14 ft,,63-79,,
6:28.0,,,63-79,,Defensive rebound by N. Vucevic
6:17.0,,,63-79,,Offensive foul by T. Harris
6:17.0,,,63-79,,Turnover by T. Harris (offensive foul)
6:03.0,A. Roberson misses 3-pt shot from 25 ft,,63-79,,
6:02.0,,,63-79,,Defensive rebound by V. Oladipo
5:50.0,,,63-81,2,N. Vucevic makes 2-pt shot from 8 ft
5:37.0,R. Westbrook makes 2-pt shot from 1 ft,2,65-81,,
5:22.0,,,65-81,,T. Harris misses 2-pt shot from 19 ft
5:20.0,Defensive rebound by S. Adams,,65-81,,
5:02.0,S. Adams makes 2-pt shot at rim,2,67-81,,
4:43.0,,,67-84,3,T. Harris makes 3-pt shot from 24 ft (assist by E. Payton)
4:26.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,70-84,,
4:10.0,,,70-84,,E. Payton misses 2-pt shot from 20 ft
4:09.0,,,70-84,,Offensive rebound by Team
4:09.0,A. Morrow enters the game for A. Roberson,,70-84,,
3:53.0,,,70-84,,E. Fournier misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by Team,,70-84,,
3:39.0,K. Durant misses 3-pt shot from 24 ft,,70-84,,
3:38.0,,,70-84,,Defensive rebound by V. Oladipo
3:31.0,,,70-84,,V. Oladipo misses 2-pt shot from 1 ft
3:30.0,,,70-84,,Offensive rebound by T. Harris
3:30.0,,,70-86,2,T. Harris makes 2-pt shot at rim
3:16.0,R. Westbrook misses 2-pt shot from 11 ft,,70-86,,
3:15.0,Offensive rebound by S. Ibaka,,70-86,,
3:15.0,S. Ibaka misses 2-pt shot from 2 ft,,70-86,,
3:12.0,Offensive rebound by S. Adams,,70-86,,
3:12.0,Oklahoma City full timeout,,70-86,,
3:12.0,,,70-86,,C. Watson enters the game for N. Vucevic
3:12.0,,,70-86,,D. Dedmon enters the game for E. Payton
3:06.0,Turnover by R. Westbrook (bad pass),,70-86,,
2:56.0,,,70-86,,Turnover by V. Oladipo (lost ball; steal by A. Morrow)
2:56.0,,,70-86,,Personal foul by V. Oladipo (drawn by A. Morrow)
2:52.0,R. Westbrook makes 2-pt shot from 1 ft,2,72-86,,
2:23.0,,,72-86,,E. Fournier misses 2-pt shot from 15 ft
2:23.0,,,72-86,,Offensive rebound by Team
2:23.0,,,72-86,,Turnover by Team (shot clock)
2:12.0,R. Westbrook makes 2-pt shot from 1 ft,2,74-86,,
1:50.0,,,74-86,,V. Oladipo misses 2-pt shot from 1 ft (block by S. Adams)
1:48.0,Defensive rebound by A. Morrow,,74-86,,
1:44.0,R. Westbrook misses 2-pt shot from 6 ft,,74-86,,
1:41.0,,,74-86,,Defensive rebound by T. Harris
1:35.0,,,74-86,,T. Harris misses 2-pt shot from 2 ft
1:32.0,,,74-86,,Offensive rebound by D. Dedmon
1:32.0,,,74-88,2,D. Dedmon makes 2-pt shot at rim
1:21.0,,,74-88,,Personal foul by V. Oladipo (drawn by R. Westbrook)
1:21.0,K. Singler enters the game for K. Durant,,74-88,,
1:21.0,E. Kanter enters the game for S. Adams,,74-88,,
1:21.0,,,74-88,,M. Hezonja enters the game for V. Oladipo
1:21.0,,,74-88,,A. Gordon enters the game for T. Harris
1:13.0,R. Westbrook misses 2-pt shot from 1 ft (block by D. Dedmon),,74-88,,
1:10.0,,,74-88,,Defensive rebound by D. Dedmon
1:04.0,,,74-88,,M. Hezonja misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by S. Ibaka,,74-88,,
0:52.0,Turnover by R. Westbrook (bad pass; steal by C. Watson),,74-88,,
0:47.0,,,74-88,,Shooting foul by S. Ibaka (drawn by A. Gordon)
0:47.0,,,74-89,1,A. Gordon makes free throw 1 of 2
0:47.0,D. Augustin enters the game for R. Westbrook,,74-89,,
0:47.0,,,74-90,1,A. Gordon makes free throw 2 of 2
0:37.0,,,74-90,,Personal foul by E. Fournier (drawn by K. Singler)
0:37.0,K. Singler misses free throw 1 of 2,,74-90,,
0:37.0,Offensive rebound by Team,,74-90,,
0:37.0,K. Singler makes free throw 2 of 2,1,75-90,,
0:32.0,Personal foul by K. Singler (drawn by E. Fournier),,75-90,,
0:32.0,,,75-90,,E. Fournier misses free throw 1 of 2
0:32.0,,,75-90,,Offensive rebound by Team
0:32.0,,,75-91,1,E. Fournier makes free throw 2 of 2
0:14.0,K. Singler misses 2-pt shot from 2 ft (block by D. Dedmon),,75-91,,
0:11.0,,,75-91,,Defensive rebound by C. Watson
0:09.0,,,75-93,2,E. Fournier makes 2-pt shot from 2 ft (assist by C. Watson)
0:02.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Gordon),,75-93,,
0:00.0,,,75-93,,Defensive rebound by C. Watson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters),2,77-93,,
11:45.0,Shooting foul by D. Dedmon (drawn by E. Kanter),,77-93,,
11:45.0,E. Kanter makes free throw 1 of 1,1,78-93,,
11:29.0,,,78-93,,Shooting foul by E. Kanter (drawn by A. Gordon)
11:29.0,,,78-94,1,A. Gordon makes free throw 1 of 2
11:29.0,,,78-94,,A. Gordon misses free throw 2 of 2
11:29.0,Defensive rebound by K. Durant,,78-94,,
11:16.0,K. Durant misses 2-pt shot from 13 ft,,78-94,,
11:13.0,Offensive rebound by E. Kanter,,78-94,,
11:13.0,E. Kanter makes 2-pt shot from 2 ft,2,80-94,,
11:04.0,Personal foul by D. Waiters (drawn by D. Dedmon),,80-94,,
10:56.0,,,80-94,,Turnover by M. Hezonja (lost ball; steal by K. Singler)
10:44.0,Turnover by D. Waiters (traveling),,80-94,,
10:32.0,,,80-94,,Turnover by V. Oladipo (bad pass)
10:20.0,Shooting foul by C. Watson (drawn by K. Durant),,80-94,,
10:20.0,K. Durant makes free throw 1 of 2,1,81-94,,
10:20.0,K. Durant makes free throw 2 of 2,1,82-94,,
10:06.0,,,82-94,,C. Watson misses 2-pt shot from 21 ft
10:05.0,,,82-94,,Offensive rebound by D. Dedmon
10:05.0,,,82-94,,D. Dedmon misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by K. Singler,,82-94,,
9:56.0,E. Kanter misses 2-pt shot from 1 ft,,82-94,,
9:54.0,,,82-94,,Defensive rebound by V. Oladipo
9:48.0,,,82-94,,V. Oladipo misses 2-pt shot from 8 ft
9:47.0,Defensive rebound by K. Durant,,82-94,,
9:33.0,K. Durant misses 3-pt shot from 24 ft,,82-94,,
9:31.0,,,82-94,,Defensive rebound by D. Dedmon
9:09.0,,,82-97,3,A. Gordon makes 3-pt shot from 26 ft (assist by V. Oladipo)
9:08.0,Oklahoma City full timeout,,82-97,,
8:48.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Augustin),2,84-97,,
8:38.0,R. Westbrook enters the game for K. Singler,,84-97,,
8:38.0,,,84-97,,E. Fournier enters the game for M. Hezonja
8:31.0,,,84-97,,V. Oladipo misses 3-pt shot from 25 ft
8:30.0,,,84-97,,Offensive rebound by D. Dedmon
8:22.0,,,84-97,,C. Watson misses 3-pt shot from 35 ft
8:22.0,,,84-97,,Offensive rebound by Team
8:22.0,,,84-97,,Turnover by Team (shot clock)
8:06.0,E. Kanter makes 2-pt shot from 1 ft,2,86-97,,
7:54.0,,,86-97,,Turnover by V. Oladipo (bad pass)
7:54.0,,,86-97,,T. Harris enters the game for A. Gordon
7:42.0,E. Kanter misses 2-pt shot from 1 ft,,86-97,,
7:40.0,Offensive rebound by E. Kanter,,86-97,,
7:40.0,Offensive charge foul by E. Kanter,,86-97,,
7:40.0,Turnover by E. Kanter (offensive foul),,86-97,,
7:40.0,,,86-97,,E. Payton enters the game for C. Watson
7:40.0,,,86-97,,N. Vucevic enters the game for D. Dedmon
7:27.0,,,86-97,,E. Fournier misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by K. Durant,,86-97,,
7:08.0,K. Durant misses 2-pt shot from 2 ft (block by N. Vucevic),,86-97,,
7:07.0,,,86-97,,Defensive rebound by Team
6:58.0,Personal foul by D. Waiters (drawn by V. Oladipo),,86-97,,
6:52.0,,,86-97,,Shooting foul by R. Westbrook (drawn by E. Fournier)
6:52.0,,,86-97,,E. Fournier misses free throw 1 of 2
6:52.0,,,86-97,,Offensive rebound by Team
