time,Portland,pts.away,score,pts.home,LA Clippers
6:19.0,,,28-39,2,J. Crawford makes 2-pt shot from 11 ft (assist by B. Griffin)
5:55.0,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless),2,30-39,,
5:39.0,,,30-39,,Turnover by J. Redick (lost ball; steal by M. Plumlee)
5:36.0,Shooting foul by C. Paul (drawn by M. Plumlee),,30-39,,
5:36.0,Official timeout,,30-39,,
5:36.0,M. Plumlee makes free throw 1 of 2,1,31-39,,
5:36.0,M. Plumlee misses free throw 2 of 2,,31-39,,
5:34.0,,,31-39,,Defensive rebound by D. Jordan
5:18.0,,,31-39,,J. Redick misses 2-pt shot from 21 ft
5:15.0,Defensive rebound by D. Lillard,,31-39,,
5:05.0,A. Aminu misses 3-pt shot from 25 ft,,31-39,,
5:05.0,,,31-39,,Defensive rebound by Team
4:59.0,,,31-41,2,C. Paul makes 2-pt shot from 14 ft
4:43.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,33-41,,
4:17.0,,,33-41,,B. Griffin misses 2-pt shot from 6 ft (block by M. Plumlee)
4:14.0,Defensive rebound by D. Lillard,,33-41,,
4:07.0,D. Lillard misses 2-pt shot from 3 ft (block by D. Jordan),,33-41,,
4:05.0,,,33-41,,Defensive rebound by D. Jordan
3:59.0,,,33-43,2,J. Redick makes 2-pt shot from 3 ft (assist by B. Griffin)
3:39.0,,,33-43,,Personal foul by C. Paul
3:39.0,D. Lillard makes free throw 1 of 2,1,34-43,,
3:39.0,C. McCollum enters the game for A. Crabbe,,34-43,,
3:39.0,D. Lillard makes free throw 2 of 2,1,35-43,,
3:20.0,,,35-43,,Shooting foul by M. Plumlee (drawn by B. Griffin)
3:20.0,,,35-44,1,B. Griffin makes free throw 1 of 2
3:20.0,,,35-44,,L. Mbah a Moute enters the game for J. Crawford
3:20.0,,,35-45,1,B. Griffin makes free throw 2 of 2
3:09.0,D. Lillard misses 2-pt shot from 8 ft,,35-45,,
3:09.0,,,35-45,,Defensive rebound by J. Redick
2:59.0,,,35-45,,C. Paul misses 2-pt shot from 17 ft
2:58.0,Defensive rebound by Team,,35-45,,
2:58.0,,,35-45,,Loose ball foul by C. Paul
2:58.0,,,35-45,,LA Clippers full timeout
2:58.0,,,35-45,,A. Rivers enters the game for C. Paul
2:58.0,M. Plumlee misses free throw 1 of 2,,35-45,,
2:58.0,Offensive rebound by Team,,35-45,,
2:58.0,M. Plumlee makes free throw 2 of 2,1,36-45,,
2:44.0,,,36-45,,J. Redick misses 3-pt shot from 28 ft
2:43.0,Defensive rebound by A. Aminu,,36-45,,
2:33.0,A. Aminu misses 2-pt shot from 6 ft,,36-45,,
2:32.0,Offensive rebound by M. Harkless,,36-45,,
2:32.0,M. Harkless misses 2-pt shot from 1 ft,,36-45,,
2:29.0,,,36-45,,Defensive rebound by D. Jordan
2:14.0,,,36-45,,B. Griffin misses 2-pt shot from 2 ft
2:13.0,,,36-45,,Offensive rebound by B. Griffin
2:12.0,,,36-45,,B. Griffin misses 2-pt shot from 2 ft
2:10.0,,,36-45,,Offensive rebound by B. Griffin
2:10.0,,,36-47,2,B. Griffin makes 2-pt shot from 2 ft
1:55.0,C. McCollum misses 2-pt shot from 18 ft,,36-47,,
1:52.0,,,36-47,,Defensive rebound by D. Jordan
1:30.0,,,36-47,,A. Rivers misses 3-pt shot from 26 ft
1:28.0,Defensive rebound by C. McCollum,,36-47,,
1:20.0,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum),3,39-47,,
1:04.0,,,39-47,,Turnover by J. Redick (step out of bounds)
1:04.0,G. Henderson enters the game for M. Harkless,,39-47,,
0:45.0,G. Henderson misses 2-pt shot from 18 ft,,39-47,,
0:43.0,,,39-47,,Defensive rebound by B. Griffin
0:38.0,Shooting block foul by M. Plumlee (drawn by B. Griffin),,39-47,,
0:38.0,,,39-47,,B. Griffin misses free throw 1 of 2
0:38.0,,,39-47,,Offensive rebound by Team
0:38.0,C. Kaman enters the game for M. Plumlee,,39-47,,
0:38.0,,,39-47,,B. Griffin misses free throw 2 of 2
0:37.0,Defensive rebound by A. Aminu,,39-47,,
0:26.0,C. Kaman makes 2-pt shot from 16 ft (assist by D. Lillard),2,41-47,,
0:26.0,Personal take foul by C. Kaman,,41-47,,
0:26.0,,,41-47,,D. Jordan misses free throw 1 of 2
0:26.0,,,41-47,,Offensive rebound by Team
0:26.0,,,41-47,,D. Jordan misses free throw 2 of 2
0:24.0,Defensive rebound by C. McCollum,,41-47,,
0:07.0,Shooting foul by L. Mbah a Moute (drawn by C. McCollum),,41-47,,
0:07.0,C. McCollum makes free throw 1 of 2,1,42-47,,
0:07.0,M. Harkless enters the game for C. Kaman,,42-47,,
0:07.0,,,42-47,,J. Crawford enters the game for D. Jordan
0:07.0,,,42-47,,J. Green enters the game for L. Mbah a Moute
0:07.0,C. McCollum makes free throw 2 of 2,1,43-47,,
0:01.0,,,43-47,,J. Crawford misses 2-pt shot from 22 ft
0:00.0,,,43-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,43-47,,C. Paul misses 3-pt shot from 24 ft
11:32.0,,,43-47,,Offensive rebound by D. Jordan
11:25.0,,,43-47,,J. Redick misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by A. Aminu,,43-47,,
11:18.0,Turnover by D. Lillard (lost ball; steal by L. Mbah a Moute),,43-47,,
10:59.0,,,43-49,2,J. Redick makes 2-pt shot from 15 ft (assist by D. Jordan)
10:32.0,Turnover by C. McCollum (lost ball; steal by L. Mbah a Moute),,43-49,,
10:28.0,,,43-51,2,L. Mbah a Moute makes 2-pt shot at rim
10:28.0,Portland full timeout,,43-51,,
10:18.0,D. Lillard misses 3-pt shot from 28 ft,,43-51,,
10:16.0,Offensive rebound by M. Harkless,,43-51,,
10:05.0,Turnover by A. Aminu (lost ball; steal by C. Paul),,43-51,,
9:49.0,,,43-51,,B. Griffin misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by M. Plumlee,,43-51,,
9:40.0,M. Harkless misses 2-pt shot from 4 ft,,43-51,,
9:38.0,,,43-51,,Defensive rebound by D. Jordan
9:29.0,,,43-53,2,C. Paul makes 2-pt shot from 19 ft
9:11.0,C. McCollum misses 2-pt shot from 12 ft,,43-53,,
9:10.0,,,43-53,,Defensive rebound by L. Mbah a Moute
9:03.0,,,43-55,2,C. Paul makes 2-pt shot from 2 ft
8:45.0,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard),3,46-55,,
8:24.0,,,46-57,2,J. Redick makes 2-pt shot from 12 ft (assist by D. Jordan)
8:01.0,M. Harkless makes 3-pt shot from 27 ft (assist by C. McCollum),3,49-57,,
7:39.0,,,49-57,,J. Redick misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by M. Plumlee,,49-57,,
7:24.0,M. Harkless misses 2-pt shot from 2 ft,,49-57,,
7:23.0,Offensive rebound by A. Aminu,,49-57,,
7:17.0,D. Lillard makes 2-pt shot at rim (assist by A. Aminu),2,51-57,,
7:03.0,,,51-57,,C. Paul misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by M. Harkless,,51-57,,
6:49.0,D. Lillard misses 3-pt shot from 25 ft,,51-57,,
6:47.0,,,51-57,,Defensive rebound by L. Mbah a Moute
6:47.0,,,51-57,,Offensive foul by B. Griffin
6:47.0,,,51-57,,Turnover by B. Griffin (offensive foul)
6:29.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Aminu),3,54-57,,
6:29.0,,,54-57,,LA Clippers full timeout
6:08.0,,,54-57,,C. Paul misses 2-pt shot from 1 ft
6:05.0,,,54-57,,Offensive rebound by B. Griffin
6:05.0,,,54-59,2,C. Paul makes 2-pt shot at rim
5:45.0,A. Aminu misses 2-pt shot from 2 ft (block by D. Jordan),,54-59,,
5:45.0,Offensive rebound by Team,,54-59,,
5:45.0,,,54-59,,Personal foul by B. Griffin
5:45.0,Offensive foul by A. Aminu,,54-59,,
5:45.0,Turnover by A. Aminu (offensive foul),,54-59,,
5:35.0,,,54-59,,C. Paul misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by M. Plumlee,,54-59,,
5:26.0,D. Lillard misses 2-pt shot from 3 ft,,54-59,,
5:24.0,Offensive rebound by A. Aminu,,54-59,,
5:18.0,C. McCollum makes 2-pt shot from 11 ft,2,56-59,,
4:58.0,,,56-62,3,C. Paul makes 3-pt shot from 25 ft (assist by D. Jordan)
4:49.0,C. McCollum misses 3-pt shot from 26 ft,,56-62,,
4:43.0,,,56-62,,Defensive rebound by B. Griffin
4:39.0,,,56-62,,C. Paul misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by D. Lillard,,56-62,,
4:25.0,D. Lillard misses 2-pt shot from 3 ft (block by D. Jordan),,56-62,,
4:22.0,Offensive rebound by M. Plumlee,,56-62,,
4:20.0,M. Harkless misses 3-pt shot from 29 ft,,56-62,,
4:17.0,,,56-62,,Defensive rebound by C. Paul
4:10.0,,,56-62,,J. Redick misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by M. Plumlee,,56-62,,
3:56.0,C. McCollum misses 3-pt shot from 23 ft,,56-62,,
3:55.0,,,56-62,,Defensive rebound by B. Griffin
3:38.0,,,56-62,,C. Paul misses 2-pt shot from 10 ft
3:35.0,Defensive rebound by M. Plumlee,,56-62,,
3:28.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,58-62,,
3:28.0,Shooting foul by L. Mbah a Moute (drawn by D. Lillard),,58-62,,
3:28.0,G. Henderson enters the game for A. Aminu,,58-62,,
3:28.0,E. Davis enters the game for M. Harkless,,58-62,,
3:28.0,C. Kaman enters the game for M. Plumlee,,58-62,,
3:28.0,,,58-62,,W. Johnson enters the game for L. Mbah a Moute
3:28.0,,,58-62,,J. Crawford enters the game for B. Griffin
3:28.0,,,58-62,,A. Rivers enters the game for J. Redick
3:28.0,D. Lillard makes free throw 1 of 1,1,59-62,,
3:12.0,,,59-62,,C. Paul misses 2-pt shot from 4 ft
3:09.0,,,59-62,,Offensive rebound by D. Jordan
3:09.0,,,59-64,2,D. Jordan makes 2-pt shot at rim
2:54.0,C. McCollum misses 2-pt shot from 5 ft,,59-64,,
2:52.0,,,59-64,,Defensive rebound by C. Paul
2:48.0,,,59-64,,C. Paul misses 2-pt shot from 2 ft (block by D. Lillard)
2:45.0,,,59-64,,Offensive rebound by D. Jordan
2:43.0,,,59-64,,A. Rivers misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by E. Davis,,59-64,,
2:31.0,A. Crabbe enters the game for E. Davis,,59-64,,
2:25.0,G. Henderson misses 3-pt shot from 24 ft,,59-64,,
2:24.0,,,59-64,,Defensive rebound by C. Paul
2:03.0,,,59-64,,A. Rivers misses 2-pt shot from 6 ft
2:00.0,Defensive rebound by C. Kaman,,59-64,,
1:47.0,C. Kaman misses 2-pt shot from 4 ft (block by W. Johnson),,59-64,,
1:45.0,,,59-64,,Defensive rebound by D. Jordan
1:35.0,Personal foul by G. Henderson,,59-64,,
1:35.0,A. Aminu enters the game for C. McCollum,,59-64,,
1:35.0,,,59-64,,J. Green enters the game for C. Paul
1:25.0,,,59-66,2,J. Green makes 2-pt shot at rim (assist by D. Jordan)
1:08.0,A. Crabbe misses 2-pt shot from 9 ft,,59-66,,
1:06.0,,,59-66,,Defensive rebound by D. Jordan
1:01.0,Personal take foul by C. Kaman,,59-66,,
1:01.0,,,59-67,1,D. Jordan makes free throw 1 of 2
1:01.0,,,59-67,,D. Jordan misses free throw 2 of 2
1:00.0,Defensive rebound by A. Aminu,,59-67,,
0:50.0,A. Aminu misses 3-pt shot from 26 ft,,59-67,,
0:49.0,,,59-67,,Defensive rebound by D. Jordan
0:45.0,Personal take foul by C. Kaman,,59-67,,
0:45.0,,,59-67,,D. Jordan misses free throw 1 of 2
0:45.0,,,59-67,,Offensive rebound by Team
0:45.0,,,59-67,,D. Jordan misses free throw 2 of 2
0:43.0,Defensive rebound by G. Henderson,,59-67,,
0:43.0,,,59-67,,Personal take foul by W. Johnson
0:43.0,,,59-67,,C. Aldrich enters the game for D. Jordan
0:43.0,E. Davis enters the game for C. Kaman,,59-67,,
0:31.0,Shooting foul by J. Green (drawn by D. Lillard),,59-67,,
0:31.0,D. Lillard makes free throw 1 of 2,1,60-67,,
0:31.0,D. Lillard makes free throw 2 of 2,1,61-67,,
0:08.0,,,61-67,,J. Crawford misses 2-pt shot from 12 ft (block by A. Crabbe)
0:08.0,Defensive rebound by Team,,61-67,,
0:08.0,C. McCollum enters the game for E. Davis,,61-67,,
0:08.0,,,61-67,,L. Mbah a Moute enters the game for C. Aldrich
0:02.0,D. Lillard misses 3-pt shot from 25 ft,,61-67,,
0:00.0,Offensive rebound by A. Aminu,,61-67,,
0:00.0,A. Aminu misses 2-pt shot from 2 ft,,61-67,,
0:00.0,Offensive rebound by Team,,61-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,G. Henderson misses 2-pt shot from 16 ft,,61-67,,
11:41.0,,,61-67,,Defensive rebound by C. Aldrich
11:21.0,,,61-69,2,C. Aldrich makes 2-pt shot from 9 ft (assist by A. Rivers)
10:57.0,A. Aminu misses 3-pt shot from 25 ft,,61-69,,
10:56.0,Offensive rebound by E. Davis,,61-69,,
10:51.0,Offensive foul by E. Davis,,61-69,,
10:51.0,Turnover by E. Davis (offensive foul),,61-69,,
10:40.0,,,61-69,,J. Crawford misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by G. Henderson,,61-69,,
10:29.0,G. Henderson makes 2-pt shot from 2 ft,2,63-69,,
10:15.0,Violation by E. Davis (kicked ball),,63-69,,
10:15.0,M. Harkless enters the game for A. Aminu,,63-69,,
10:07.0,,,63-69,,C. Aldrich misses 2-pt shot from 8 ft
10:05.0,,,63-69,,Offensive rebound by W. Johnson
10:03.0,,,63-71,2,W. Johnson makes 2-pt shot from 15 ft
9:48.0,Turnover by C. McCollum (lost ball; steal by A. Rivers),,63-71,,
9:39.0,,,63-71,,Shooting foul by E. Davis (drawn by J. Green)
9:39.0,,,63-72,1,J. Green makes free throw 1 of 2
9:39.0,,,63-73,1,J. Green makes free throw 2 of 2
9:31.0,,,63-73,,Personal foul by J. Crawford
9:17.0,C. McCollum misses 3-pt shot from 27 ft,,63-73,,
9:16.0,,,63-73,,Defensive rebound by C. Aldrich
9:08.0,,,63-73,,J. Crawford misses 2-pt shot from 5 ft
9:05.0,Defensive rebound by G. Henderson,,63-73,,
9:01.0,A. Crabbe misses 3-pt shot from 27 ft,,63-73,,
8:59.0,,,63-73,,Defensive rebound by J. Crawford
8:50.0,Personal foul by C. McCollum,,63-73,,
8:50.0,Official timeout,,63-73,,
8:50.0,D. Lillard enters the game for A. Crabbe,,63-73,,
8:35.0,,,63-76,3,A. Rivers makes 3-pt shot from 25 ft
8:11.0,D. Lillard misses 2-pt shot from 7 ft (block by C. Aldrich),,63-76,,
8:10.0,,,63-76,,Defensive rebound by W. Johnson
8:08.0,Violation by G. Henderson (def goaltending),,63-76,,
8:08.0,,,63-78,2,J. Crawford makes 2-pt shot from 2 ft
7:55.0,E. Davis makes 2-pt shot from 4 ft (assist by C. McCollum),2,65-78,,
7:38.0,,,65-80,2,J. Green makes 2-pt shot from 3 ft
7:38.0,,,65-80,,Shooting foul by E. Davis (drawn by J. Green)
7:38.0,,,65-80,,C. Paul enters the game for W. Johnson
7:38.0,,,65-80,,B. Griffin enters the game for C. Aldrich
7:38.0,M. Plumlee enters the game for M. Harkless,,65-80,,
7:38.0,A. Aminu enters the game for G. Henderson,,65-80,,
7:38.0,M. Harkless enters the game for E. Davis,,65-80,,
7:38.0,,,65-81,1,J. Green makes free throw 1 of 1
7:32.0,,,65-81,,Personal foul by B. Griffin
7:25.0,D. Lillard misses 3-pt shot from 27 ft,,65-81,,
7:24.0,,,65-81,,Defensive rebound by C. Paul
7:16.0,,,65-81,,A. Rivers misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by A. Aminu,,65-81,,
7:10.0,Shooting foul by B. Griffin (drawn by M. Plumlee),,65-81,,
7:10.0,M. Plumlee makes free throw 1 of 2,1,66-81,,
