time,LA Clippers,pts.away,score,pts.home,Boston
0:51.0,,,35-31,,K. Olynyk misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by J. Crawford,,35-31,,
0:39.0,,,35-31,,Personal foul by E. Turner (drawn by C. Paul)
0:39.0,C. Paul makes free throw 1 of 2,1,36-31,,
0:39.0,C. Paul makes free throw 2 of 2,1,37-31,,
0:30.0,L. Mbah a Moute enters the game for W. Johnson,,37-31,,
0:18.0,,,37-33,2,E. Turner makes 2-pt shot from 12 ft
0:03.0,C. Paul misses 3-pt shot from 25 ft,,37-33,,
0:02.0,Offensive rebound by D. Jordan,,37-33,,
0:01.0,D. Jordan misses 2-pt shot from 6 ft,,37-33,,
0:00.0,Offensive rebound by Team,,37-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,37-33,,Turnover by M. Smart (lost ball; steal by C. Aldrich)
11:28.0,Offensive foul by C. Aldrich,,37-33,,
11:28.0,Turnover by C. Aldrich (offensive foul),,37-33,,
11:15.0,,,37-33,,K. Olynyk misses 2-pt shot from 19 ft
11:14.0,Defensive rebound by J. Crawford,,37-33,,
11:06.0,C. Aldrich makes 2-pt shot from 4 ft (assist by J. Crawford),2,39-33,,
10:53.0,,,39-33,,E. Turner misses 2-pt shot from 17 ft (block by W. Johnson)
10:52.0,Defensive rebound by Team,,39-33,,
10:39.0,Shooting foul by J. Jerebko (drawn by J. Crawford),,39-33,,
10:39.0,J. Crawford makes free throw 1 of 2,1,40-33,,
10:39.0,J. Crawford makes free throw 2 of 2,1,41-33,,
10:25.0,,,41-35,2,A. Bradley makes 2-pt shot at rim
10:08.0,J. Crawford misses 3-pt shot from 24 ft,,41-35,,
10:07.0,Offensive rebound by P. Prigioni,,41-35,,
9:59.0,W. Johnson misses 3-pt shot from 23 ft,,41-35,,
9:58.0,,,41-35,,Defensive rebound by J. Jerebko
9:42.0,,,41-37,2,M. Smart makes 2-pt shot from 1 ft (assist by K. Olynyk)
9:18.0,Turnover by J. Crawford (lost ball; steal by A. Bradley),,41-37,,
9:15.0,,,41-37,,Shooting foul by C. Aldrich (drawn by K. Olynyk)
9:15.0,,,41-38,1,K. Olynyk makes free throw 1 of 2
9:15.0,,,41-39,1,K. Olynyk makes free throw 2 of 2
8:56.0,J. Crawford misses 2-pt shot from 18 ft,,41-39,,
8:55.0,,,41-39,,Defensive rebound by K. Olynyk
8:46.0,,,41-42,3,M. Smart makes 3-pt shot from 25 ft
8:17.0,L. Stephenson makes 3-pt shot from 23 ft (assist by C. Aldrich),3,44-42,,
8:11.0,,,44-42,,Shooting foul by C. Aldrich (drawn by M. Smart)
8:11.0,Official timeout,,44-42,,
8:11.0,J. Ayres enters the game for C. Aldrich,,44-42,,
8:11.0,,,44-43,1,M. Smart makes free throw 1 of 2
8:11.0,,,44-44,1,M. Smart makes free throw 2 of 2
8:01.0,Shooting foul by K. Olynyk (drawn by L. Stephenson),,44-44,,
8:01.0,L. Stephenson makes free throw 1 of 2,1,45-44,,
8:01.0,L. Stephenson misses free throw 2 of 2,,45-44,,
8:01.0,,,45-44,,Defensive rebound by E. Turner
7:40.0,,,45-46,2,E. Turner makes 2-pt shot from 2 ft
7:40.0,,,45-46,,Shooting foul by J. Ayres (drawn by E. Turner)
7:40.0,,,45-46,,E. Turner misses free throw 1 of 1
7:40.0,Defensive rebound by W. Johnson,,45-46,,
7:24.0,L. Stephenson misses 2-pt shot from 10 ft,,45-46,,
7:23.0,Offensive rebound by J. Ayres,,45-46,,
7:22.0,J. Ayres makes 2-pt shot at rim,2,47-46,,
7:05.0,,,47-49,3,A. Bradley makes 3-pt shot from 24 ft (assist by K. Olynyk)
6:46.0,J. Crawford misses 2-pt shot from 15 ft,,47-49,,
6:45.0,Offensive rebound by P. Prigioni,,47-49,,
6:38.0,Turnover by L. Stephenson (bad pass),,47-49,,
6:38.0,C. Paul enters the game for P. Prigioni,,47-49,,
6:24.0,,,47-49,,K. Olynyk misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by W. Johnson,,47-49,,
6:17.0,J. Ayres makes 2-pt shot at rim (assist by C. Paul),2,49-49,,
6:08.0,,,49-52,3,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner)
6:01.0,,,49-52,,Personal foul by K. Olynyk (drawn by C. Paul)
6:01.0,D. Jordan enters the game for W. Johnson,,49-52,,
6:01.0,P. Pierce enters the game for L. Stephenson,,49-52,,
6:01.0,J. Redick enters the game for J. Ayres,,49-52,,
6:01.0,,,49-52,,J. Sullinger enters the game for K. Olynyk
5:56.0,Turnover by D. Jordan (bad pass; steal by J. Sullinger),,49-52,,
5:43.0,,,49-52,,J. Jerebko misses 3-pt shot from 23 ft
5:42.0,,,49-52,,Offensive rebound by J. Sullinger
5:38.0,,,49-55,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Sullinger)
5:21.0,,,49-55,,Personal foul by M. Smart (drawn by C. Paul)
5:21.0,,,49-55,,Boston full timeout
5:21.0,,,49-55,,J. Crowder enters the game for J. Jerebko
5:11.0,J. Crawford misses 2-pt shot from 18 ft,,49-55,,
5:10.0,,,49-55,,Defensive rebound by J. Sullinger
4:53.0,,,49-55,,A. Bradley misses 2-pt shot from 14 ft
4:52.0,Defensive rebound by C. Paul,,49-55,,
4:43.0,J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul),3,52-55,,
4:34.0,,,52-55,,Shooting foul by P. Pierce (drawn by J. Crowder)
4:34.0,,,52-56,1,J. Crowder makes free throw 1 of 2
4:34.0,,,52-56,,I. Thomas enters the game for E. Turner
4:34.0,,,52-57,1,J. Crowder makes free throw 2 of 2
4:18.0,J. Redick makes 2-pt shot from 17 ft (assist by D. Jordan),2,54-57,,
4:11.0,,,54-60,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
3:52.0,J. Crawford misses 2-pt shot from 19 ft,,54-60,,
3:51.0,,,54-60,,Defensive rebound by J. Crowder
3:40.0,,,54-60,,I. Thomas misses 2-pt shot from 12 ft
3:39.0,,,54-60,,Offensive rebound by J. Sullinger
3:37.0,,,54-60,,J. Sullinger misses 2-pt shot from 1 ft (block by D. Jordan)
3:35.0,Defensive rebound by P. Pierce,,54-60,,
3:29.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,56-60,,
3:11.0,Personal foul by C. Paul (drawn by J. Crowder),,56-60,,
3:11.0,,,56-61,1,J. Crowder makes free throw 1 of 2
3:11.0,L. Mbah a Moute enters the game for J. Crawford,,56-61,,
3:11.0,,,56-61,,E. Turner enters the game for M. Smart
3:11.0,,,56-62,1,J. Crowder makes free throw 2 of 2
2:53.0,J. Redick makes 2-pt shot from 1 ft (assist by D. Jordan),2,58-62,,
2:42.0,,,58-62,,Turnover by I. Thomas (bad pass; steal by C. Paul)
2:38.0,C. Paul makes 2-pt shot from 2 ft (assist by P. Pierce),2,60-62,,
2:34.0,Personal foul by C. Paul (drawn by I. Thomas),,60-62,,
2:34.0,LA Clippers full timeout,,60-62,,
2:34.0,,,60-63,1,I. Thomas makes free throw 1 of 2
2:34.0,,,60-64,1,I. Thomas makes free throw 2 of 2
2:21.0,P. Pierce misses 2-pt shot from 5 ft,,60-64,,
2:20.0,Offensive rebound by Team,,60-64,,
2:20.0,,,60-64,,Loose ball foul by J. Sullinger (drawn by D. Jordan)
2:20.0,D. Jordan misses free throw 1 of 2,,60-64,,
2:20.0,Offensive rebound by Team,,60-64,,
2:20.0,,,60-64,,K. Olynyk enters the game for E. Turner
2:20.0,D. Jordan misses free throw 2 of 2,,60-64,,
2:20.0,,,60-64,,Defensive rebound by J. Crowder
2:01.0,,,60-67,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Sullinger)
1:45.0,P. Pierce misses 2-pt shot from 11 ft,,60-67,,
1:43.0,,,60-67,,Defensive rebound by Team
1:30.0,,,60-69,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
1:05.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by C. Paul),2,62-69,,
0:53.0,,,62-69,,I. Thomas misses 3-pt shot from 25 ft
0:52.0,,,62-69,,Offensive rebound by J. Sullinger
0:39.0,,,62-69,,Shooting foul by D. Jordan (drawn by K. Olynyk)
0:39.0,,,62-70,1,K. Olynyk makes free throw 1 of 2
0:39.0,J. Crawford enters the game for L. Mbah a Moute,,62-70,,
0:39.0,,,62-71,1,K. Olynyk makes free throw 2 of 2
0:34.0,C. Paul misses 2-pt shot from 17 ft,,62-71,,
0:33.0,,,62-71,,Defensive rebound by K. Olynyk
0:20.0,,,62-71,,J. Sullinger misses 2-pt shot from 10 ft
0:19.0,Defensive rebound by D. Jordan,,62-71,,
0:15.0,LA Clippers full timeout,,62-71,,
0:15.0,,,62-71,,E. Turner enters the game for K. Olynyk
0:15.0,,,62-71,,M. Smart enters the game for I. Thomas
0:11.0,,,62-71,,Personal take foul by J. Sullinger (drawn by D. Jordan)
0:11.0,D. Jordan makes free throw 1 of 2,1,63-71,,
0:11.0,,,63-71,,I. Thomas enters the game for E. Turner
0:11.0,L. Mbah a Moute enters the game for J. Crawford,,63-71,,
0:11.0,D. Jordan makes free throw 2 of 2,1,64-71,,
0:02.0,,,64-71,,J. Crowder misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by P. Pierce,,64-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,64-71,,J. Crowder misses 2-pt shot at rim
11:36.0,Defensive rebound by L. Mbah a Moute,,64-71,,
11:29.0,D. Jordan misses 2-pt shot at rim (block by M. Smart),,64-71,,
11:28.0,,,64-71,,Defensive rebound by J. Crowder
11:22.0,,,64-71,,Shooting foul by C. Paul (drawn by M. Smart)
11:22.0,,,64-72,1,M. Smart makes free throw 1 of 3
11:22.0,,,64-73,1,M. Smart makes free throw 2 of 3
11:22.0,,,64-74,1,M. Smart makes free throw 3 of 3
11:09.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,66-74,,
10:54.0,,,66-76,2,J. Sullinger makes 2-pt shot from 18 ft (assist by I. Thomas)
10:30.0,C. Paul misses 3-pt shot from 24 ft,,66-76,,
10:29.0,,,66-76,,Defensive rebound by J. Sullinger
10:22.0,,,66-76,,I. Thomas misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by D. Jordan,,66-76,,
10:08.0,Offensive foul by P. Pierce,,66-76,,
10:08.0,Turnover by P. Pierce (offensive foul),,66-76,,
9:58.0,,,66-76,,A. Bradley misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by D. Jordan,,66-76,,
9:48.0,J. Redick misses 3-pt shot from 26 ft,,66-76,,
9:47.0,,,66-76,,Defensive rebound by J. Sullinger
9:36.0,,,66-78,2,J. Sullinger makes 2-pt shot at rim (assist by M. Smart)
9:13.0,C. Paul makes 2-pt shot from 18 ft,2,68-78,,
8:51.0,,,68-78,,Shooting foul by L. Mbah a Moute (drawn by J. Crowder)
8:51.0,,,68-78,,J. Crowder misses free throw 1 of 2
8:51.0,,,68-78,,Offensive rebound by Team
8:51.0,,,68-79,1,J. Crowder makes free throw 2 of 2
8:37.0,,,68-79,,Personal foul by A. Bradley (drawn by P. Pierce)
8:37.0,J. Crawford enters the game for L. Mbah a Moute,,68-79,,
8:29.0,,,68-79,,Personal foul by M. Smart (drawn by J. Crawford)
8:19.0,Turnover by J. Redick (bad pass; steal by J. Crowder),,68-79,,
8:13.0,,,68-79,,A. Bradley misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by J. Crawford,,68-79,,
8:00.0,Turnover by J. Crawford (lost ball; steal by M. Smart),,68-79,,
7:59.0,Personal foul by J. Crawford (drawn by M. Smart),,68-79,,
7:47.0,,,68-81,2,A. Bradley makes 2-pt shot at rim (assist by J. Sullinger)
7:25.0,Shooting foul by J. Crowder (drawn by J. Crawford),,68-81,,
7:25.0,J. Crawford makes free throw 1 of 2,1,69-81,,
7:25.0,W. Johnson enters the game for P. Pierce,,69-81,,
7:25.0,J. Crawford misses free throw 2 of 2,,69-81,,
7:25.0,,,69-81,,Defensive rebound by I. Thomas
7:08.0,,,69-81,,J. Crowder misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by D. Jordan,,69-81,,
6:59.0,J. Crawford makes 2-pt shot from 19 ft,2,71-81,,
6:41.0,,,71-81,,J. Sullinger misses 2-pt shot from 11 ft
6:40.0,Defensive rebound by D. Jordan,,71-81,,
6:32.0,J. Crawford makes 2-pt shot from 11 ft,2,73-81,,
6:17.0,,,73-83,2,I. Thomas makes 2-pt shot from 1 ft
6:00.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,75-83,,
6:00.0,Shooting foul by A. Bradley (drawn by D. Jordan),,75-83,,
6:00.0,D. Jordan misses free throw 1 of 1,,75-83,,
6:00.0,,,75-83,,Defensive rebound by J. Crowder
5:44.0,,,75-83,,Boston full timeout
5:44.0,,,75-83,,E. Turner enters the game for J. Sullinger
5:44.0,,,75-83,,A. Johnson enters the game for M. Smart
5:39.0,,,75-83,,A. Bradley misses 2-pt shot from 19 ft
5:38.0,,,75-83,,Offensive rebound by Team
5:29.0,,,75-85,2,I. Thomas makes 2-pt shot at rim
5:09.0,J. Crawford misses 3-pt shot from 25 ft,,75-85,,
5:07.0,Offensive rebound by D. Jordan,,75-85,,
5:07.0,D. Jordan misses 2-pt shot at rim,,75-85,,
5:06.0,,,75-85,,Defensive rebound by I. Thomas
4:58.0,,,75-85,,Turnover by A. Bradley (bad pass; steal by C. Paul)
4:55.0,Shooting foul by J. Crowder (drawn by W. Johnson),,75-85,,
4:55.0,W. Johnson makes free throw 1 of 2,1,76-85,,
4:55.0,,,76-85,,M. Smart enters the game for A. Bradley
4:55.0,W. Johnson makes free throw 2 of 2,1,77-85,,
4:41.0,Personal foul by J. Crawford (drawn by E. Turner),,77-85,,
4:33.0,,,77-85,,Turnover by A. Johnson (traveling)
4:24.0,Shooting foul by M. Smart (drawn by J. Redick),,77-85,,
4:24.0,J. Redick makes free throw 1 of 2,1,78-85,,
4:24.0,J. Redick makes free throw 2 of 2,1,79-85,,
4:13.0,,,79-85,,Turnover by I. Thomas (bad pass; steal by C. Paul)
4:13.0,,,79-85,,Personal foul by I. Thomas (drawn by C. Paul)
4:13.0,C. Paul makes free throw 1 of 2,1,80-85,,
4:13.0,C. Paul makes free throw 2 of 2,1,81-85,,
4:03.0,,,81-85,,I. Thomas misses 2-pt shot at rim (block by W. Johnson)
4:02.0,Defensive rebound by W. Johnson,,81-85,,
3:57.0,J. Redick misses 3-pt shot from 25 ft,,81-85,,
3:56.0,Offensive rebound by D. Jordan,,81-85,,
3:48.0,J. Redick misses 2-pt shot from 5 ft,,81-85,,
3:47.0,,,81-85,,Defensive rebound by M. Smart
3:40.0,,,81-88,3,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart)
3:40.0,LA Clippers full timeout,,81-88,,
3:40.0,,,81-88,,J. Jerebko enters the game for M. Smart
3:40.0,L. Stephenson enters the game for J. Redick,,81-88,,
3:18.0,C. Paul makes 2-pt shot from 19 ft,2,83-88,,
3:06.0,,,83-90,2,J. Crowder makes 2-pt shot at rim (assist by E. Turner)
3:06.0,,,83-90,,Shooting foul by L. Stephenson (drawn by J. Crowder)
3:06.0,,,83-91,1,J. Crowder makes free throw 1 of 1
2:43.0,C. Paul makes 2-pt shot from 20 ft,2,85-91,,
2:25.0,,,85-91,,E. Turner misses 2-pt shot from 1 ft (block by D. Jordan)
2:24.0,,,85-91,,Offensive rebound by Team
2:17.0,,,85-91,,Shooting foul by D. Jordan (drawn by I. Thomas)
2:17.0,,,85-92,1,I. Thomas makes free throw 1 of 2
2:17.0,,,85-93,1,I. Thomas makes free throw 2 of 2
2:06.0,Shooting foul by E. Turner (drawn by J. Crawford),,85-93,,
2:06.0,J. Crawford makes free throw 1 of 3,1,86-93,,
2:06.0,J. Crawford makes free throw 2 of 3,1,87-93,,
2:06.0,J. Crawford makes free throw 3 of 3,1,88-93,,
1:42.0,,,88-93,,E. Turner misses 2-pt shot from 16 ft
1:41.0,,,88-93,,Offensive rebound by E. Turner
1:37.0,,,88-93,,A. Johnson misses 2-pt shot from 1 ft (block by W. Johnson)
1:35.0,Defensive rebound by D. Jordan,,88-93,,
1:19.0,J. Crawford misses 2-pt shot from 1 ft,,88-93,,
1:18.0,,,88-93,,Defensive rebound by J. Jerebko
1:08.0,,,88-96,3,I. Thomas makes 3-pt shot from 22 ft (assist by E. Turner)
0:43.0,C. Paul misses 2-pt shot from 18 ft,,88-96,,
0:42.0,,,88-96,,Defensive rebound by J. Jerebko
0:36.0,,,88-98,2,I. Thomas makes 2-pt shot at rim (assist by E. Turner)
0:30.0,J. Crawford misses 3-pt shot from 25 ft,,88-98,,
0:27.0,,,88-98,,Defensive rebound by Team
0:12.0,,,88-98,,Turnover by A. Johnson (lost ball)
0:12.0,P. Pierce enters the game for D. Jordan,,88-98,,
0:12.0,J. Redick enters the game for L. Stephenson,,88-98,,
0:12.0,,,88-98,,A. Bradley enters the game for A. Johnson
0:01.0,C. Paul makes 3-pt shot from 27 ft,3,91-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,W. Johnson makes 2-pt shot from 18 ft (assist by C. Paul),2,93-98,,
11:27.0,,,93-100,2,T. Zeller makes 2-pt shot from 16 ft (assist by E. Turner)
11:11.0,C. Paul makes 2-pt shot from 6 ft,2,95-100,,
10:47.0,,,95-100,,Turnover by A. Bradley (bad pass; steal by L. Stephenson)
10:35.0,W. Johnson misses 3-pt shot from 23 ft,,95-100,,
10:34.0,Offensive rebound by C. Aldrich,,95-100,,
10:31.0,W. Johnson misses 2-pt shot from 18 ft,,95-100,,
10:30.0,,,95-100,,Defensive rebound by M. Smart
10:25.0,,,95-100,,Turnover by M. Smart (bad pass; steal by W. Johnson)
10:14.0,C. Paul makes 3-pt shot from 25 ft,3,98-100,,
9:55.0,,,98-100,,E. Turner misses 2-pt shot from 4 ft (block by C. Aldrich)
9:55.0,,,98-100,,Offensive rebound by Team
9:52.0,,,98-100,,J. Jerebko misses 2-pt shot from 2 ft (block by W. Johnson)
9:51.0,Defensive rebound by L. Stephenson,,98-100,,
9:47.0,L. Stephenson makes 2-pt shot at rim,2,100-100,,
9:33.0,,,100-102,2,A. Bradley makes 2-pt shot from 11 ft (assist by M. Smart)
9:18.0,Offensive charge foul by W. Johnson,,100-102,,
9:18.0,Turnover by W. Johnson (offensive foul),,100-102,,
9:10.0,,,100-102,,Shooting foul by L. Stephenson (drawn by E. Turner)
9:10.0,,,100-103,1,E. Turner makes free throw 1 of 2
9:10.0,,,100-103,,E. Turner misses free throw 2 of 2
9:10.0,Defensive rebound by J. Crawford,,100-103,,
8:48.0,C. Paul makes 3-pt shot from 24 ft,3,103-103,,
8:33.0,,,103-106,3,J. Jerebko makes 3-pt shot from 25 ft (assist by E. Turner)
8:14.0,L. Stephenson makes 3-pt shot from 23 ft (assist by C. Aldrich),3,106-106,,
8:11.0,Technical foul by L. Stephenson,,106-106,,
8:11.0,Official timeout,,106-106,,
8:11.0,,,106-106,,J. Crowder enters the game for J. Jerebko
8:11.0,J. Redick enters the game for W. Johnson,,106-106,,
8:11.0,,,106-107,1,A. Bradley makes technical free throw
8:02.0,,,106-107,,Turnover by T. Zeller (traveling)
7:50.0,C. Paul misses 3-pt shot from 24 ft,,106-107,,
7:49.0,,,106-107,,Defensive rebound by T. Zeller
7:34.0,,,106-107,,M. Smart misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by L. Stephenson,,106-107,,
7:29.0,Offensive foul by C. Aldrich,,106-107,,
7:29.0,Turnover by C. Aldrich (offensive foul),,106-107,,
7:29.0,D. Jordan enters the game for C. Aldrich,,106-107,,
7:18.0,,,106-107,,E. Turner misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by C. Paul,,106-107,,
7:12.0,Turnover by C. Paul (bad pass),,106-107,,
6:57.0,,,106-107,,A. Bradley misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by J. Crawford,,106-107,,
6:34.0,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul),3,109-107,,
6:26.0,,,109-107,,Boston full timeout
6:26.0,,,109-107,,J. Sullinger enters the game for E. Turner
6:26.0,,,109-107,,I. Thomas enters the game for T. Zeller
6:22.0,,,109-107,,M. Smart misses 2-pt shot from 2 ft (block by C. Paul)
6:21.0,,,109-107,,Offensive rebound by Team
6:10.0,,,109-107,,J. Sullinger misses 2-pt shot from 19 ft
6:09.0,Defensive rebound by J. Redick,,109-107,,
5:46.0,J. Redick makes 2-pt shot at rim,2,111-107,,
5:31.0,,,111-107,,J. Crowder misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by D. Jordan,,111-107,,
5:07.0,J. Crawford misses 2-pt shot from 1 ft,,111-107,,
5:07.0,,,111-107,,Defensive rebound by J. Sullinger
5:06.0,Personal block foul by C. Paul (drawn by I. Thomas),,111-107,,
4:51.0,,,111-107,,Turnover by M. Smart (bad pass; steal by D. Jordan)
4:46.0,Shooting foul by M. Smart (drawn by L. Stephenson),,111-107,,
4:46.0,L. Stephenson makes free throw 1 of 2,1,112-107,,
4:46.0,L. Stephenson misses free throw 2 of 2,,112-107,,
