time,Golden State,pts.away,score,pts.home,Brooklyn
6:57.0,D. Green makes 2-pt shot at rim,2,16-6,,
6:36.0,,,16-6,,J. Johnson misses 2-pt shot from 5 ft
6:35.0,Defensive rebound by D. Green,,16-6,,
6:27.0,S. Curry misses 3-pt shot from 24 ft,,16-6,,
6:26.0,,,16-6,,Defensive rebound by B. Bogdanovic
6:14.0,,,16-8,2,B. Lopez makes 2-pt shot from 2 ft
5:56.0,D. Green misses 2-pt shot from 3 ft,,16-8,,
5:55.0,Offensive rebound by A. Bogut,,16-8,,
5:54.0,Shooting foul by J. Jack (drawn by A. Bogut),,16-8,,
5:54.0,A. Bogut misses free throw 1 of 2,,16-8,,
5:54.0,Offensive rebound by Team,,16-8,,
5:54.0,,,16-8,,T. Robinson enters the game for B. Lopez
5:54.0,A. Iguodala enters the game for B. Rush,,16-8,,
5:54.0,,,16-8,,W. Ellington enters the game for B. Bogdanovic
5:54.0,A. Bogut misses free throw 2 of 2,,16-8,,
5:53.0,,,16-8,,Defensive rebound by T. Young
5:39.0,,,16-8,,T. Robinson misses 2-pt shot from 7 ft
5:38.0,,,16-8,,Offensive rebound by T. Young
5:37.0,,,16-8,,T. Young misses 2-pt shot from 1 ft (block by A. Bogut)
5:35.0,Defensive rebound by A. Iguodala,,16-8,,
5:24.0,K. Thompson misses 3-pt shot from 24 ft,,16-8,,
5:23.0,,,16-8,,Defensive rebound by T. Young
5:17.0,,,16-8,,Turnover by J. Johnson (bad pass)
5:04.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,18-8,,
5:04.0,Shooting foul by T. Robinson (drawn by S. Curry),,18-8,,
5:04.0,F. Ezeli enters the game for A. Bogut,,18-8,,
5:04.0,S. Curry misses free throw 1 of 1,,18-8,,
5:03.0,,,18-8,,Defensive rebound by T. Robinson
4:44.0,,,18-8,,T. Young misses 2-pt shot from 17 ft
4:42.0,Defensive rebound by K. Thompson,,18-8,,
4:33.0,D. Green makes 2-pt shot from 9 ft (assist by K. Thompson),2,20-8,,
4:16.0,,,20-8,,J. Jack misses 2-pt shot from 18 ft
4:15.0,Defensive rebound by D. Green,,20-8,,
4:11.0,Golden State full timeout,,20-8,,
4:03.0,K. Thompson misses 3-pt shot from 23 ft,,20-8,,
4:02.0,,,20-8,,Defensive rebound by J. Johnson
3:42.0,,,20-8,,W. Ellington misses 2-pt shot from 17 ft (block by K. Thompson)
3:41.0,Defensive rebound by D. Green,,20-8,,
3:38.0,,,20-8,,Personal foul by J. Johnson (drawn by K. Thompson)
3:38.0,K. Thompson makes free throw 1 of 2,1,21-8,,
3:38.0,,,21-8,,B. Bogdanovic enters the game for J. Johnson
3:38.0,,,21-8,,S. Larkin enters the game for J. Jack
3:38.0,K. Thompson makes free throw 2 of 2,1,22-8,,
3:15.0,,,22-8,,Turnover by T. Young (bad pass; steal by A. Iguodala)
3:09.0,,,22-8,,Personal foul by B. Bogdanovic (drawn by F. Ezeli)
3:09.0,F. Ezeli misses free throw 1 of 2,,22-8,,
3:09.0,Offensive rebound by Team,,22-8,,
3:09.0,F. Ezeli makes free throw 2 of 2,1,23-8,,
2:49.0,,,23-8,,Turnover by T. Robinson (lost ball; steal by A. Iguodala)
2:44.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala),2,25-8,,
2:44.0,,,25-8,,Brooklyn full timeout
2:44.0,S. Livingston enters the game for S. Curry,,25-8,,
2:33.0,,,25-8,,B. Bogdanovic misses 2-pt shot from 15 ft (block by K. Thompson)
2:32.0,,,25-8,,Offensive rebound by Team
2:30.0,,,25-8,,Shooting foul by D. Green (drawn by T. Robinson)
2:30.0,,,25-8,,T. Robinson misses free throw 1 of 2
2:30.0,,,25-8,,Offensive rebound by Team
2:30.0,,,25-9,1,T. Robinson makes free throw 2 of 2
2:20.0,,,25-9,,Personal foul by T. Robinson (drawn by F. Ezeli)
2:20.0,F. Ezeli makes free throw 1 of 2,1,26-9,,
2:20.0,,,26-9,,W. Reed enters the game for T. Robinson
2:20.0,,,26-9,,J. Jack enters the game for W. Ellington
2:20.0,F. Ezeli misses free throw 2 of 2,,26-9,,
2:19.0,,,26-9,,Defensive rebound by B. Bogdanovic
1:58.0,,,26-9,,S. Larkin misses 2-pt shot from 11 ft
1:57.0,,,26-9,,Offensive rebound by W. Reed
1:57.0,,,26-9,,W. Reed misses 2-pt shot from 3 ft
1:56.0,,,26-9,,Offensive rebound by T. Young
1:55.0,,,26-11,2,T. Young makes 2-pt shot from 3 ft
1:47.0,F. Ezeli makes 2-pt shot from 1 ft (assist by D. Green),2,28-11,,
1:47.0,Shooting foul by W. Reed (drawn by F. Ezeli),,28-11,,
1:47.0,F. Ezeli misses free throw 1 of 1,,28-11,,
1:41.0,,,28-11,,Defensive rebound by B. Bogdanovic
1:35.0,,,28-13,2,W. Reed makes 2-pt shot from 7 ft (assist by J. Jack)
1:25.0,F. Ezeli makes 2-pt shot at rim (assist by S. Livingston),2,30-13,,
1:12.0,,,30-13,,J. Jack misses 2-pt shot from 2 ft (block by F. Ezeli)
1:10.0,Defensive rebound by F. Ezeli,,30-13,,
1:01.0,K. Thompson misses 3-pt shot from 24 ft,,30-13,,
1:00.0,,,30-13,,Defensive rebound by W. Reed
1:00.0,Violation by A. Iguodala (kicked ball),,30-13,,
0:55.0,Def 3 sec tech foul by F. Ezeli,,30-13,,
0:55.0,,,30-14,1,J. Jack makes technical free throw
0:46.0,,,30-14,,Turnover by W. Reed (lost ball; steal by A. Iguodala)
0:37.0,F. Ezeli misses 2-pt shot from 4 ft,,30-14,,
0:35.0,,,30-14,,Defensive rebound by T. Young
0:23.0,,,30-14,,J. Jack misses 2-pt shot from 20 ft
0:22.0,Defensive rebound by A. Iguodala,,30-14,,
0:15.0,Turnover by A. Iguodala (bad pass; steal by J. Jack),,30-14,,
0:02.0,,,30-16,2,S. Larkin makes 2-pt shot from 3 ft
0:02.0,,,30-16,,Shooting foul by F. Ezeli (drawn by S. Larkin)
0:02.0,,,30-16,,S. Larkin misses free throw 1 of 1
0:01.0,,,30-16,,Offensive rebound by Team
0:00.0,,,30-16,,J. Jack misses 2-pt shot from 20 ft
0:00.0,,,30-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Iguodala misses 2-pt shot from 11 ft,,30-16,,
11:44.0,,,30-16,,Defensive rebound by B. Lopez
11:32.0,Personal foul by L. Barbosa (drawn by S. Larkin),,30-16,,
11:22.0,,,30-16,,J. Johnson misses 2-pt shot from 12 ft (block by F. Ezeli)
11:20.0,,,30-16,,Offensive rebound by J. Johnson
11:18.0,,,30-16,,Shooting foul by A. Iguodala (drawn by S. Larkin)
11:18.0,,,30-17,1,S. Larkin makes free throw 1 of 2
11:18.0,,,30-17,,M. Brown enters the game for B. Bogdanovic
11:18.0,,,30-18,1,S. Larkin makes free throw 2 of 2
10:57.0,F. Ezeli makes 2-pt shot from 2 ft,2,32-18,,
10:32.0,,,32-21,3,M. Brown makes 3-pt shot from 23 ft (assist by J. Jack)
10:09.0,S. Livingston makes 2-pt shot from 17 ft,2,34-21,,
9:50.0,,,34-21,,B. Lopez misses 2-pt shot from 8 ft
9:49.0,Defensive rebound by A. Iguodala,,34-21,,
9:34.0,M. Speights makes 2-pt shot from 15 ft (assist by S. Livingston),2,36-21,,
9:15.0,,,36-21,,Brooklyn full timeout
9:15.0,B. Rush enters the game for M. Speights,,36-21,,
9:09.0,,,36-23,2,J. Johnson makes 2-pt shot from 12 ft
8:51.0,Turnover by S. Livingston (bad pass; steal by B. Lopez),,36-23,,
8:47.0,,,36-25,2,S. Larkin makes 2-pt shot from 2 ft (assist by M. Brown)
8:17.0,L. Barbosa misses 2-pt shot from 11 ft,,36-25,,
8:15.0,Offensive rebound by A. Iguodala,,36-25,,
8:07.0,L. Barbosa makes 3-pt shot from 23 ft (assist by A. Iguodala),3,39-25,,
7:57.0,Personal foul by S. Livingston (drawn by S. Larkin),,39-25,,
7:57.0,S. Curry enters the game for B. Rush,,39-25,,
7:49.0,,,39-25,,Turnover by B. Lopez (traveling)
7:35.0,F. Ezeli misses 2-pt shot from 7 ft,,39-25,,
7:34.0,Offensive rebound by A. Iguodala,,39-25,,
7:32.0,A. Iguodala misses 2-pt shot at rim,,39-25,,
7:31.0,,,39-25,,Defensive rebound by J. Jack
7:20.0,,,39-27,2,B. Lopez makes 2-pt shot from 14 ft (assist by J. Johnson)
7:16.0,,,39-27,,Personal foul by B. Lopez (drawn by L. Barbosa)
7:16.0,,,39-27,,W. Reed enters the game for B. Lopez
7:14.0,Turnover by L. Barbosa (lost ball; steal by M. Brown),,39-27,,
7:10.0,,,39-29,2,M. Brown makes 2-pt shot from 2 ft
6:53.0,S. Livingston misses 3-pt shot from 23 ft,,39-29,,
6:52.0,,,39-29,,Defensive rebound by J. Johnson
6:32.0,,,39-29,,Turnover by J. Johnson (lost ball; steal by S. Livingston)
6:32.0,,,39-29,,Personal foul by J. Johnson (drawn by F. Ezeli)
6:32.0,D. Green enters the game for F. Ezeli,,39-29,,
6:21.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,41-29,,
6:10.0,,,41-29,,Turnover by J. Jack (bad pass; steal by A. Iguodala)
6:04.0,Offensive foul by S. Curry,,41-29,,
6:04.0,Turnover by S. Curry (offensive foul),,41-29,,
6:04.0,K. Thompson enters the game for A. Iguodala,,41-29,,
5:43.0,,,41-31,2,J. Johnson makes 2-pt shot from 16 ft
5:34.0,D. Green misses 2-pt shot from 2 ft,,41-31,,
5:33.0,Offensive rebound by S. Livingston,,41-31,,
5:32.0,S. Livingston misses 2-pt shot at rim,,41-31,,
5:31.0,,,41-31,,Defensive rebound by J. Jack
5:28.0,,,41-31,,Shooting foul by S. Curry (drawn by J. Jack)
5:28.0,Official timeout,,41-31,,
5:28.0,B. Rush enters the game for L. Barbosa,,41-31,,
5:28.0,,,41-31,,J. Jack misses free throw 1 of 2
5:28.0,,,41-31,,Offensive rebound by Team
5:28.0,,,41-32,1,J. Jack makes free throw 2 of 2
5:16.0,D. Green makes 2-pt shot from 1 ft,2,43-32,,
5:16.0,Shooting foul by W. Reed (drawn by D. Green),,43-32,,
5:16.0,,,43-32,,T. Young enters the game for W. Reed
5:16.0,D. Green makes free throw 1 of 1,1,44-32,,
4:56.0,,,44-34,2,T. Young makes 2-pt shot from 12 ft
4:34.0,K. Thompson misses 2-pt shot from 2 ft,,44-34,,
4:33.0,Offensive rebound by S. Livingston,,44-34,,
4:31.0,S. Livingston misses 2-pt shot from 2 ft,,44-34,,
4:30.0,,,44-34,,Defensive rebound by M. Brown
4:26.0,,,44-34,,Turnover by T. Young (lost ball)
4:26.0,I. Clark enters the game for S. Livingston,,44-34,,
4:12.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,47-34,,
3:57.0,,,47-36,2,S. Larkin makes 2-pt shot from 5 ft
3:42.0,I. Clark misses 3-pt shot from 23 ft,,47-36,,
3:40.0,,,47-36,,Defensive rebound by M. Brown
3:25.0,,,47-36,,Shooting foul by B. Rush (drawn by T. Young)
3:25.0,,,47-37,1,T. Young makes free throw 1 of 2
3:25.0,,,47-38,1,T. Young makes free throw 2 of 2
3:14.0,K. Thompson makes 2-pt shot from 4 ft,2,49-38,,
2:59.0,,,49-40,2,T. Young makes 2-pt shot from 7 ft (assist by S. Larkin)
2:45.0,S. Curry makes 2-pt shot from 15 ft,2,51-40,,
2:26.0,,,51-40,,S. Larkin misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by S. Curry,,51-40,,
2:15.0,K. Thompson makes 3-pt shot from 23 ft (assist by B. Rush),3,54-40,,
2:05.0,,,54-42,2,J. Jack makes 2-pt shot from 2 ft
1:49.0,S. Curry makes 3-pt shot from 28 ft,3,57-42,,
1:33.0,,,57-44,2,T. Young makes 2-pt shot from 3 ft
1:17.0,Turnover by S. Curry (lost ball; steal by S. Larkin),,57-44,,
1:11.0,,,57-44,,M. Brown misses 2-pt shot from 9 ft
1:10.0,Defensive rebound by B. Rush,,57-44,,
1:03.0,Turnover by D. Green (bad pass; steal by S. Larkin),,57-44,,
1:00.0,,,57-46,2,M. Brown makes 2-pt shot from 2 ft (assist by J. Johnson)
0:58.0,Turnover by S. Curry (bad pass; steal by S. Larkin),,57-46,,
0:57.0,,,57-48,2,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin)
0:56.0,Golden State full timeout,,57-48,,
0:56.0,A. Iguodala enters the game for B. Rush,,57-48,,
0:37.0,K. Thompson misses 3-pt shot from 24 ft,,57-48,,
0:36.0,,,57-48,,Defensive rebound by T. Young
0:28.0,,,57-48,,Shooting foul by I. Clark (drawn by J. Jack)
0:28.0,,,57-49,1,J. Jack makes free throw 1 of 3
0:28.0,,,57-50,1,J. Jack makes free throw 2 of 3
0:28.0,,,57-51,1,J. Jack makes free throw 3 of 3
0:11.0,K. Thompson misses 2-pt shot from 1 ft,,57-51,,
0:10.0,,,57-51,,Defensive rebound by T. Young
0:03.0,,,57-54,3,J. Johnson makes 3-pt shot from 23 ft (assist by S. Larkin)
0:01.0,A. Iguodala misses 3-pt shot from 34 ft,,57-54,,
0:00.0,Offensive rebound by Team,,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Offensive foul by A. Bogut,,57-54,,
11:49.0,Turnover by A. Bogut (offensive foul),,57-54,,
11:40.0,,,57-54,,Shooting foul by K. Thompson (drawn by B. Lopez)
11:40.0,,,57-55,1,B. Lopez makes free throw 1 of 2
11:40.0,,,57-56,1,B. Lopez makes free throw 2 of 2
11:23.0,B. Rush misses 3-pt shot from 24 ft,,57-56,,
11:21.0,,,57-56,,Defensive rebound by B. Lopez
11:12.0,,,57-56,,J. Johnson misses 3-pt shot from 25 ft
11:10.0,,,57-56,,Offensive rebound by T. Young
11:09.0,,,57-56,,T. Young misses 2-pt shot at rim
11:08.0,,,57-56,,Offensive rebound by T. Young
11:08.0,Personal foul by A. Bogut (drawn by T. Young),,57-56,,
11:08.0,,,57-56,,T. Young misses free throw 1 of 2
11:08.0,,,57-56,,Offensive rebound by Team
11:08.0,,,57-56,,T. Young misses free throw 2 of 2
11:05.0,,,57-56,,Offensive rebound by B. Lopez
10:56.0,,,57-58,2,T. Young makes 2-pt shot from 3 ft (assist by B. Lopez)
10:39.0,K. Thompson makes 2-pt shot from 13 ft,2,59-58,,
10:25.0,,,59-58,,M. Brown misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by A. Bogut,,59-58,,
10:16.0,S. Curry misses 3-pt shot from 24 ft,,59-58,,
10:15.0,,,59-58,,Defensive rebound by Team
9:59.0,,,59-58,,Turnover by M. Brown (bad pass; steal by S. Curry)
9:53.0,K. Thompson misses 3-pt shot from 24 ft,,59-58,,
9:52.0,Offensive rebound by D. Green,,59-58,,
9:52.0,,,59-58,,Personal foul by J. Jack (drawn by D. Green)
9:52.0,D. Green misses free throw 1 of 2,,59-58,,
9:52.0,Offensive rebound by Team,,59-58,,
9:52.0,D. Green makes free throw 2 of 2,1,60-58,,
9:41.0,,,60-60,2,B. Lopez makes 2-pt shot from 13 ft (assist by J. Jack)
9:28.0,Shooting foul by T. Young (drawn by D. Green),,60-60,,
9:28.0,D. Green makes free throw 1 of 2,1,61-60,,
9:28.0,D. Green misses free throw 2 of 2,,61-60,,
9:27.0,,,61-60,,Defensive rebound by B. Lopez
9:15.0,,,61-62,2,J. Jack makes 2-pt shot from 17 ft
8:59.0,K. Thompson misses 3-pt shot from 24 ft,,61-62,,
8:58.0,,,61-62,,Defensive rebound by J. Jack
8:49.0,,,61-64,2,T. Young makes 2-pt shot from 18 ft (assist by J. Jack)
8:31.0,K. Thompson misses 2-pt shot from 9 ft,,61-64,,
8:29.0,,,61-64,,Defensive rebound by B. Lopez
8:18.0,,,61-66,2,T. Young makes 2-pt shot from 7 ft (assist by B. Lopez)
8:06.0,S. Curry makes 2-pt shot from 2 ft,2,63-66,,
7:49.0,,,63-66,,B. Lopez misses 2-pt shot from 19 ft
7:48.0,,,63-66,,Offensive rebound by T. Young
7:39.0,,,63-66,,J. Jack misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by B. Rush,,63-66,,
7:27.0,D. Green misses 2-pt shot from 2 ft (block by B. Lopez),,63-66,,
7:26.0,Offensive rebound by Team,,63-66,,
7:20.0,K. Thompson misses 3-pt shot from 26 ft,,63-66,,
7:19.0,,,63-66,,Defensive rebound by T. Young
6:58.0,,,63-68,2,T. Young makes 2-pt shot from 6 ft
6:29.0,K. Thompson makes 2-pt shot from 2 ft (assist by B. Rush),2,65-68,,
6:00.0,,,65-68,,J. Johnson misses 2-pt shot from 9 ft
5:59.0,,,65-68,,Offensive rebound by J. Johnson
5:55.0,,,65-68,,T. Young misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by D. Green,,65-68,,
5:49.0,D. Green makes 2-pt shot from 1 ft,2,67-68,,
5:49.0,,,67-68,,Brooklyn full timeout
5:49.0,A. Iguodala enters the game for B. Rush,,67-68,,
5:49.0,,,67-68,,S. Larkin enters the game for J. Jack
5:37.0,,,67-68,,B. Lopez misses 2-pt shot from 15 ft
5:36.0,Defensive rebound by A. Iguodala,,67-68,,
5:19.0,A. Iguodala misses 3-pt shot from 24 ft,,67-68,,
5:17.0,,,67-68,,Defensive rebound by M. Brown
5:05.0,,,67-68,,B. Lopez misses 2-pt shot from 2 ft (block by A. Bogut)
5:03.0,Defensive rebound by S. Curry,,67-68,,
4:59.0,Turnover by S. Curry (lost ball; steal by S. Larkin),,67-68,,
4:45.0,,,67-68,,J. Johnson misses 2-pt shot from 21 ft
4:44.0,Defensive rebound by K. Thompson,,67-68,,
4:37.0,S. Curry misses 3-pt shot from 24 ft,,67-68,,
4:36.0,,,67-68,,Defensive rebound by T. Young
4:21.0,,,67-70,2,S. Larkin makes 2-pt shot from 18 ft
4:07.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut),3,70-70,,
3:46.0,,,70-72,2,B. Lopez makes 2-pt shot from 18 ft (assist by S. Larkin)
3:23.0,S. Curry misses 3-pt shot from 23 ft,,70-72,,
3:22.0,,,70-72,,Defensive rebound by J. Johnson
3:10.0,,,70-75,3,S. Larkin makes 3-pt shot from 24 ft (assist by B. Lopez)
3:04.0,Shooting foul by T. Young (drawn by D. Green),,70-75,,
3:04.0,D. Green makes free throw 1 of 2,1,71-75,,
3:04.0,F. Ezeli enters the game for A. Bogut,,71-75,,
3:04.0,,,71-75,,W. Reed enters the game for B. Lopez
3:04.0,,,71-75,,J. Jack enters the game for M. Brown
3:04.0,D. Green makes free throw 2 of 2,1,72-75,,
2:44.0,,,72-75,,Shooting foul by A. Iguodala (drawn by T. Young)
2:44.0,Golden State full timeout,,72-75,,
2:44.0,,,72-75,,T. Young misses free throw 1 of 2
2:44.0,,,72-75,,Offensive rebound by Team
2:44.0,,,72-76,1,T. Young makes free throw 2 of 2
2:31.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,74-76,,
2:17.0,,,74-76,,S. Larkin misses 2-pt shot from 7 ft (block by F. Ezeli)
2:14.0,Defensive rebound by A. Iguodala,,74-76,,
2:10.0,S. Curry makes 2-pt shot from 8 ft,2,76-76,,
1:53.0,,,76-76,,T. Young misses 2-pt shot from 15 ft
1:51.0,Defensive rebound by F. Ezeli,,76-76,,
1:45.0,S. Curry makes 3-pt shot from 27 ft,3,79-76,,
1:45.0,,,79-76,,Brooklyn full timeout
1:45.0,,,79-76,,B. Lopez enters the game for W. Reed
1:45.0,,,79-76,,B. Bogdanovic enters the game for T. Young
1:43.0,S. Livingston enters the game for K. Thompson,,79-76,,
1:26.0,,,79-78,2,B. Lopez makes 2-pt shot from 8 ft
1:11.0,S. Curry misses 2-pt shot from 11 ft,,79-78,,
1:09.0,,,79-78,,Defensive rebound by B. Lopez
1:03.0,,,79-78,,B. Bogdanovic misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by S. Curry,,79-78,,
0:58.0,F. Ezeli makes 2-pt shot at rim (assist by S. Curry),2,81-78,,
0:38.0,,,81-80,2,J. Johnson makes 2-pt shot from 15 ft
0:28.0,S. Curry makes 2-pt shot from 2 ft (assist by F. Ezeli),2,83-80,,
0:28.0,Shooting foul by S. Larkin (drawn by S. Curry),,83-80,,
0:28.0,S. Curry makes free throw 1 of 1,1,84-80,,
0:08.0,,,84-80,,J. Jack misses 2-pt shot from 9 ft
0:07.0,Defensive rebound by D. Green,,84-80,,
0:02.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,87-80,,
0:00.0,,,87-80,,J. Jack misses 3-pt shot from 49 ft
0:00.0,,,87-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,87-83,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jack)
11:20.0,M. Speights makes 2-pt shot from 16 ft (assist by A. Iguodala),2,89-83,,
11:08.0,Personal foul by M. Speights (drawn by B. Bogdanovic),,89-83,,
11:02.0,,,89-83,,Shooting foul by A. Iguodala (drawn by B. Lopez)
11:02.0,,,89-84,1,B. Lopez makes free throw 1 of 2
11:02.0,,,89-85,1,B. Lopez makes free throw 2 of 2
10:43.0,F. Ezeli makes 2-pt shot from 2 ft,2,91-85,,
10:27.0,,,91-85,,T. Young misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by A. Iguodala,,91-85,,
10:12.0,S. Livingston makes 2-pt shot from 13 ft,2,93-85,,
9:54.0,,,93-85,,J. Jack misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by M. Speights,,93-85,,
9:44.0,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Livingston),3,96-85,,
9:44.0,,,96-85,,Brooklyn full timeout
9:44.0,,,96-85,,M. Brown enters the game for J. Jack
9:26.0,,,96-87,2,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin)
9:05.0,M. Speights misses 2-pt shot from 19 ft,,96-87,,
9:04.0,,,96-87,,Defensive rebound by S. Larkin
8:56.0,,,96-89,2,B. Lopez makes 2-pt shot from 2 ft (assist by S. Larkin)
8:40.0,S. Livingston misses 2-pt shot from 3 ft,,96-89,,
8:39.0,Offensive rebound by F. Ezeli,,96-89,,
8:32.0,A. Iguodala makes 2-pt shot from 14 ft,2,98-89,,
8:15.0,,,98-89,,B. Bogdanovic misses 2-pt shot from 12 ft (block by L. Barbosa)
8:14.0,Defensive rebound by L. Barbosa,,98-89,,
8:12.0,Shooting foul by M. Brown (drawn by M. Speights),,98-89,,
8:12.0,M. Speights makes 2-pt shot from 1 ft (assist by L. Barbosa),2,100-89,,
8:12.0,,,100-89,,J. Johnson enters the game for B. Bogdanovic
8:12.0,M. Speights makes free throw 1 of 1,1,101-89,,
8:02.0,,,101-89,,S. Larkin misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by A. Iguodala,,101-89,,
7:46.0,A. Iguodala misses 3-pt shot from 24 ft,,101-89,,
7:45.0,Offensive rebound by F. Ezeli,,101-89,,
7:43.0,,,101-89,,Personal foul by S. Larkin (drawn by F. Ezeli)
7:37.0,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Livingston),3,104-89,,
7:20.0,,,104-89,,Turnover by B. Lopez (bad pass; steal by L. Barbosa)
7:19.0,,,104-89,,Personal foul by T. Young (drawn by L. Barbosa)
7:19.0,,,104-89,,J. Jack enters the game for B. Lopez
6:59.0,L. Barbosa makes 2-pt shot from 7 ft,2,106-89,,
6:58.0,Violation by Team (delay of game),,106-89,,
6:40.0,,,106-89,,T. Young misses 2-pt shot from 2 ft (block by F. Ezeli)
6:38.0,Defensive rebound by F. Ezeli,,106-89,,
6:22.0,A. Iguodala misses 3-pt shot from 24 ft,,106-89,,
6:21.0,Offensive rebound by L. Barbosa,,106-89,,
6:02.0,M. Speights misses 3-pt shot from 23 ft,,106-89,,
6:01.0,,,106-89,,Defensive rebound by T. Young
6:01.0,,,106-89,,Brooklyn full timeout
6:01.0,S. Curry enters the game for A. Iguodala,,106-89,,
6:01.0,K. Thompson enters the game for F. Ezeli,,106-89,,
6:01.0,D. Green enters the game for L. Barbosa,,106-89,,
5:41.0,,,106-89,,Brooklyn full timeout
5:41.0,,,106-89,,B. Lopez enters the game for S. Larkin
5:35.0,,,106-89,,M. Brown misses 3-pt shot from 22 ft
5:34.0,Defensive rebound by S. Curry,,106-89,,
5:18.0,M. Speights misses 2-pt shot from 18 ft,,106-89,,
5:16.0,,,106-89,,Defensive rebound by T. Young
5:01.0,,,106-89,,Turnover by J. Jack (bad pass; steal by K. Thompson)
4:46.0,S. Curry misses 2-pt shot from 2 ft,,106-89,,
4:45.0,Offensive rebound by M. Speights,,106-89,,
4:44.0,M. Speights misses 2-pt shot at rim,,106-89,,
4:43.0,,,106-89,,Defensive rebound by M. Brown
