time,Brooklyn,pts.away,score,pts.home,Houston
6:42.0,Defensive rebound by B. Lopez,,12-9,,
6:32.0,B. Lopez misses 2-pt shot from 15 ft,,12-9,,
6:31.0,Offensive rebound by T. Young,,12-9,,
6:29.0,T. Young makes 2-pt shot from 1 ft,2,14-9,,
6:21.0,,,14-9,,D. Howard misses 2-pt shot at rim (block by T. Young)
6:20.0,,,14-9,,Offensive rebound by D. Howard
6:17.0,,,14-11,2,D. Howard makes 2-pt shot at rim
6:04.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Lawson),,14-11,,
5:59.0,,,14-13,2,T. Lawson makes 2-pt shot at rim
5:38.0,J. Johnson misses 2-pt shot from 17 ft,,14-13,,
5:37.0,Offensive rebound by B. Lopez,,14-13,,
5:32.0,,,14-13,,Personal foul by T. Ariza (drawn by J. Jack)
5:32.0,,,14-13,,C. Capela enters the game for D. Howard
5:24.0,T. Young makes 2-pt shot from 3 ft (assist by J. Jack),2,16-13,,
5:10.0,,,16-15,2,J. Harden makes 2-pt shot from 4 ft
5:09.0,Shooting foul by M. Thornton (drawn by T. Young),,16-15,,
5:09.0,T. Young misses free throw 1 of 2,,16-15,,
5:09.0,Offensive rebound by Team,,16-15,,
5:09.0,,,16-15,,J. Terry enters the game for T. Lawson
5:09.0,T. Young misses free throw 2 of 2,,16-15,,
5:08.0,Offensive rebound by R. Hollis-Jefferson,,16-15,,
4:54.0,B. Lopez misses 2-pt shot from 9 ft,,16-15,,
4:51.0,Offensive rebound by R. Hollis-Jefferson,,16-15,,
4:50.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,16-15,,
4:50.0,,,16-15,,Defensive rebound by J. Harden
4:50.0,Personal foul by T. Young (drawn by J. Harden),,16-15,,
4:50.0,B. Bogdanovic enters the game for J. Johnson,,16-15,,
4:37.0,,,16-17,2,T. Ariza makes 2-pt shot from 15 ft
4:20.0,Turnover by R. Hollis-Jefferson (bad pass; steal by M. Thornton),,16-17,,
4:14.0,,,16-20,3,J. Harden makes 3-pt shot from 25 ft (assist by M. Thornton)
4:11.0,Brooklyn full timeout,,16-20,,
4:11.0,,,16-20,,C. Brewer enters the game for T. Ariza
4:11.0,,,16-20,,T. Jones enters the game for M. Thornton
4:11.0,T. Robinson enters the game for B. Lopez,,16-20,,
4:11.0,W. Ellington enters the game for R. Hollis-Jefferson,,16-20,,
3:58.0,Turnover by T. Robinson (traveling),,16-20,,
3:51.0,Personal foul by J. Jack (drawn by C. Brewer),,16-20,,
3:46.0,,,16-22,2,J. Harden makes 2-pt shot from 2 ft (assist by T. Jones)
3:27.0,W. Ellington misses 2-pt shot from 2 ft (block by C. Capela),,16-22,,
3:26.0,,,16-22,,Defensive rebound by C. Brewer
3:19.0,Shooting block foul by T. Young (drawn by J. Harden),,16-22,,
3:19.0,,,16-23,1,J. Harden makes free throw 1 of 2
3:19.0,A. Bargnani enters the game for T. Young,,16-23,,
3:19.0,,,16-24,1,J. Harden makes free throw 2 of 2
3:01.0,J. Jack misses 2-pt shot from 11 ft,,16-24,,
3:01.0,,,16-24,,Defensive rebound by J. Harden
2:55.0,,,16-26,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden)
2:39.0,B. Bogdanovic misses 2-pt shot from 2 ft,,16-26,,
2:38.0,Offensive rebound by T. Robinson,,16-26,,
2:32.0,B. Bogdanovic misses 2-pt shot from 18 ft,,16-26,,
2:32.0,,,16-26,,Defensive rebound by J. Harden
2:25.0,,,16-26,,C. Capela misses 2-pt shot at rim
2:24.0,Defensive rebound by W. Ellington,,16-26,,
2:18.0,W. Ellington misses 2-pt shot from 2 ft,,16-26,,
2:16.0,Offensive rebound by T. Robinson,,16-26,,
2:16.0,T. Robinson makes 2-pt shot from 1 ft,2,18-26,,
2:07.0,,,18-26,,Houston full timeout
2:07.0,,,18-26,,D. Howard enters the game for J. Harden
2:07.0,,,18-26,,T. Lawson enters the game for C. Capela
2:00.0,,,18-26,,Turnover by D. Howard (lost ball)
1:49.0,A. Bargnani misses 2-pt shot from 20 ft,,18-26,,
1:48.0,,,18-26,,Defensive rebound by T. Jones
1:41.0,,,18-26,,T. Jones misses 2-pt shot from 3 ft
1:38.0,,,18-26,,Offensive rebound by D. Howard
1:38.0,,,18-28,2,D. Howard makes 2-pt shot at rim
1:30.0,A. Bargnani makes 2-pt shot from 14 ft (assist by J. Jack),2,20-28,,
1:05.0,,,20-28,,C. Brewer misses 3-pt shot from 26 ft
1:04.0,,,20-28,,Offensive rebound by D. Howard
1:04.0,,,20-28,,Shooting foul by J. Jack (drawn by D. Howard)
1:04.0,,,20-28,,D. Howard misses free throw 1 of 2
1:04.0,,,20-28,,Offensive rebound by Team
1:04.0,B. Lopez enters the game for T. Robinson,,20-28,,
1:04.0,S. Larkin enters the game for J. Jack,,20-28,,
1:04.0,,,20-28,,D. Howard misses free throw 2 of 2
1:04.0,Defensive rebound by B. Lopez,,20-28,,
0:51.0,A. Bargnani misses 2-pt shot from 1 ft (block by D. Howard),,20-28,,
0:49.0,,,20-28,,Defensive rebound by D. Howard
0:42.0,,,20-28,,J. Terry misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by A. Bargnani,,20-28,,
0:20.0,B. Lopez makes 2-pt shot from 4 ft (assist by S. Larkin),2,22-28,,
0:03.0,,,22-28,,T. Lawson misses 2-pt shot from 3 ft (block by B. Lopez)
0:02.0,,,22-28,,Offensive rebound by T. Jones
0:00.0,,,22-28,,T. Jones misses 2-pt shot from 2 ft (block by A. Bargnani)
0:00.0,Defensive rebound by Team,,22-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,B. Bogdanovic misses 2-pt shot from 4 ft,,22-28,,
11:37.0,Offensive rebound by B. Bogdanovic,,22-28,,
11:36.0,B. Bogdanovic misses 2-pt shot from 3 ft,,22-28,,
11:35.0,Offensive rebound by B. Lopez,,22-28,,
11:35.0,Shooting foul by T. Jones (drawn by B. Lopez),,22-28,,
11:35.0,B. Lopez makes free throw 1 of 2,1,23-28,,
11:35.0,B. Lopez makes free throw 2 of 2,1,24-28,,
11:13.0,,,24-28,,C. Brewer misses 2-pt shot from 5 ft
11:12.0,,,24-28,,Offensive rebound by D. Howard
11:07.0,,,24-28,,Shooting foul by A. Bargnani (drawn by T. Jones)
11:07.0,,,24-28,,Technical foul by D. Howard
11:07.0,B. Lopez misses technical free throw,,24-28,,
11:07.0,,,24-28,,Offensive rebound by Team
11:07.0,,,24-28,,T. Jones misses free throw 1 of 2
11:07.0,,,24-28,,Offensive rebound by Team
11:07.0,J. Johnson enters the game for W. Ellington,,24-28,,
11:07.0,,,24-28,,M. Thornton enters the game for J. Terry
11:07.0,,,24-28,,T. Jones misses free throw 2 of 2
11:07.0,Defensive rebound by B. Bogdanovic,,24-28,,
10:47.0,S. Larkin misses 2-pt shot at rim (block by D. Howard),,24-28,,
10:47.0,Offensive rebound by Team,,24-28,,
10:42.0,B. Lopez makes 2-pt shot from 14 ft (assist by J. Johnson),2,26-28,,
10:29.0,,,26-28,,C. Brewer misses 2-pt shot from 4 ft
10:29.0,Defensive rebound by B. Bogdanovic,,26-28,,
10:20.0,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic),2,28-28,,
10:04.0,,,28-30,2,T. Lawson makes 2-pt shot from 2 ft
9:49.0,S. Larkin misses 2-pt shot from 16 ft,,28-30,,
9:49.0,,,28-30,,Defensive rebound by M. Thornton
9:35.0,,,28-30,,M. Thornton misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by B. Bogdanovic,,28-30,,
9:30.0,,,28-30,,T. Ariza enters the game for T. Jones
9:30.0,,,28-30,,C. Capela enters the game for D. Howard
9:30.0,Jump ball: B. Bogdanovic vs. T. Lawson (C. Brewer gains possession),,,,Jump ball: B. Bogdanovic vs. T. Lawson (C. Brewer gains possession)
9:30.0,Turnover by B. Bogdanovic (lost ball; steal by T. Lawson),,28-30,,
9:18.0,,,28-32,2,C. Capela makes 2-pt shot from 1 ft (assist by M. Thornton)
9:00.0,B. Lopez makes 2-pt shot from 15 ft (assist by S. Larkin),2,30-32,,
8:54.0,,,30-32,,Offensive foul by C. Capela
8:54.0,,,30-32,,Turnover by C. Capela (offensive foul)
8:54.0,Brooklyn full timeout,,30-32,,
8:54.0,,,30-32,,J. Harden enters the game for C. Brewer
8:32.0,J. Johnson misses 2-pt shot from 5 ft,,30-32,,
8:32.0,Offensive rebound by B. Lopez,,30-32,,
8:28.0,B. Lopez misses 2-pt shot from 2 ft,,30-32,,
8:28.0,Offensive rebound by J. Johnson,,30-32,,
8:27.0,Shooting foul by M. Thornton (drawn by J. Johnson),,30-32,,
8:27.0,J. Johnson makes free throw 1 of 2,1,31-32,,
8:27.0,J. Johnson makes free throw 2 of 2,1,32-32,,
8:11.0,,,32-34,2,M. Thornton makes 2-pt shot from 4 ft
7:57.0,B. Lopez misses 2-pt shot at rim,,32-34,,
7:56.0,Offensive rebound by Team,,32-34,,
7:56.0,T. Young enters the game for A. Bargnani,,32-34,,
7:52.0,B. Bogdanovic makes 2-pt shot from 9 ft (assist by J. Johnson),2,34-34,,
7:45.0,,,34-34,,T. Ariza misses 2-pt shot from 15 ft
7:44.0,Defensive rebound by J. Johnson,,34-34,,
7:33.0,S. Larkin makes 2-pt shot from 10 ft (assist by J. Johnson),2,36-34,,
7:12.0,,,36-34,,M. Thornton misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by T. Young,,36-34,,
7:04.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young),2,38-34,,
6:57.0,,,38-34,,Houston full timeout
6:57.0,,,38-34,,D. Howard enters the game for C. Capela
6:44.0,,,38-34,,J. Harden misses 2-pt shot from 17 ft
6:43.0,Defensive rebound by B. Bogdanovic,,38-34,,
6:22.0,B. Bogdanovic misses 3-pt shot from 23 ft,,38-34,,
6:21.0,,,38-34,,Defensive rebound by J. Harden
5:56.0,,,38-36,2,J. Harden makes 2-pt shot from 1 ft
5:42.0,B. Bogdanovic misses 2-pt shot from 9 ft,,38-36,,
5:41.0,,,38-36,,Defensive rebound by D. Howard
5:34.0,,,38-36,,T. Lawson misses 2-pt shot from 2 ft (block by T. Young)
5:33.0,,,38-36,,Offensive rebound by T. Lawson
5:33.0,,,38-38,2,T. Ariza makes 2-pt shot from 1 ft (assist by T. Lawson)
5:33.0,,,38-38,,Shooting foul by T. Young (drawn by T. Ariza)
5:33.0,,,38-38,,J. Terry enters the game for T. Lawson
5:33.0,J. Jack enters the game for T. Young,,38-38,,
5:33.0,,,38-38,,T. Ariza misses free throw 1 of 1
5:33.0,Defensive rebound by J. Johnson,,38-38,,
5:23.0,J. Johnson makes 2-pt shot from 11 ft,2,40-38,,
5:09.0,,,40-38,,D. Howard misses 2-pt shot at rim
5:08.0,,,40-38,,Offensive rebound by D. Howard
4:57.0,,,40-38,,Turnover by J. Harden (bad pass; steal by B. Lopez)
4:54.0,Turnover by J. Jack (lost ball; steal by M. Thornton),,40-38,,
4:46.0,,,40-40,2,M. Thornton makes 2-pt shot from 10 ft
4:32.0,S. Larkin makes 3-pt shot from 25 ft,3,43-40,,
4:06.0,,,43-42,2,D. Howard makes 2-pt shot at rim (assist by M. Thornton)
3:42.0,J. Johnson makes 2-pt shot from 9 ft,2,45-42,,
3:35.0,Personal foul by J. Johnson (drawn by J. Harden),,45-42,,
3:35.0,Brooklyn full timeout,,45-42,,
3:35.0,W. Ellington enters the game for B. Lopez,,45-42,,
3:35.0,T. Robinson enters the game for S. Larkin,,45-42,,
3:20.0,,,45-42,,J. Harden misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by B. Bogdanovic,,45-42,,
3:00.0,J. Johnson misses 2-pt shot from 23 ft,,45-42,,
2:59.0,Offensive rebound by T. Robinson,,45-42,,
2:58.0,,,45-42,,Violation by M. Thornton (kicked ball)
2:58.0,,,45-42,,T. Lawson enters the game for J. Terry
2:39.0,W. Ellington makes 2-pt shot from 2 ft (assist by J. Johnson),2,47-42,,
2:33.0,,,47-44,2,M. Thornton makes 2-pt shot at rim
2:18.0,W. Ellington misses 3-pt shot from 26 ft,,47-44,,
2:17.0,,,47-44,,Defensive rebound by D. Howard
2:09.0,,,47-44,,J. Harden misses 2-pt shot from 2 ft
2:07.0,,,47-44,,Offensive rebound by M. Thornton
2:07.0,,,47-46,2,M. Thornton makes 2-pt shot from 2 ft
1:47.0,B. Bogdanovic misses 3-pt shot from 23 ft,,47-46,,
1:46.0,Offensive rebound by W. Ellington,,47-46,,
1:42.0,J. Johnson misses 3-pt shot from 25 ft,,47-46,,
1:41.0,,,47-46,,Defensive rebound by J. Harden
1:23.0,,,47-48,2,D. Howard makes 2-pt shot at rim (assist by T. Lawson)
1:05.0,J. Jack makes 2-pt shot from 21 ft,2,49-48,,
0:47.0,,,49-48,,Shooting foul by T. Robinson (drawn by J. Harden)
0:47.0,,,49-48,,J. Harden misses free throw 1 of 2
0:47.0,,,49-48,,Offensive rebound by Team
0:47.0,B. Lopez enters the game for T. Robinson,,49-48,,
0:47.0,,,49-48,,C. Brewer enters the game for M. Thornton
0:47.0,,,49-49,1,J. Harden makes free throw 2 of 2
0:34.0,J. Johnson makes 2-pt shot from 7 ft (assist by J. Jack),2,51-49,,
0:27.0,,,51-49,,Turnover by J. Harden (lost ball; steal by W. Ellington)
0:22.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack),2,53-49,,
0:05.0,,,53-49,,T. Ariza misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by J. Jack,,53-49,,
0:00.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by W. Ellington),2,55-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,T. Young misses 2-pt shot from 16 ft,,55-49,,
11:36.0,,,55-49,,Defensive rebound by D. Howard
11:20.0,,,55-51,2,T. Ariza makes 2-pt shot from 1 ft (assist by M. Thornton)
11:07.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Howard),,55-51,,
11:06.0,,,55-51,,Defensive rebound by M. Thornton
10:49.0,,,55-51,,Shooting foul by J. Jack (drawn by T. Lawson)
10:49.0,,,55-52,1,T. Lawson makes free throw 1 of 2
10:49.0,,,55-53,1,T. Lawson makes free throw 2 of 2
10:31.0,Turnover by T. Young (bad pass; steal by T. Ariza),,55-53,,
10:27.0,,,55-55,2,J. Harden makes 2-pt shot from 1 ft (assist by M. Thornton)
10:02.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,58-55,,
9:42.0,,,58-58,3,M. Thornton makes 3-pt shot from 25 ft
9:19.0,T. Young makes 2-pt shot from 9 ft (assist by B. Bogdanovic),2,60-58,,
9:08.0,,,60-58,,T. Ariza misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by J. Jack,,60-58,,
9:00.0,B. Lopez misses 2-pt shot from 19 ft,,60-58,,
8:59.0,,,60-58,,Defensive rebound by T. Ariza
8:42.0,Def 3 sec tech foul by B. Lopez,,60-58,,
8:42.0,,,60-59,1,J. Harden makes technical free throw
8:30.0,,,60-61,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
8:13.0,J. Jack misses 3-pt shot from 24 ft,,60-61,,
8:12.0,Offensive rebound by B. Bogdanovic,,60-61,,
8:07.0,B. Bogdanovic makes 2-pt shot from 9 ft,2,62-61,,
7:59.0,,,62-63,2,T. Lawson makes 2-pt shot at rim
7:48.0,B. Lopez misses 2-pt shot from 12 ft,,62-63,,
7:47.0,,,62-63,,Defensive rebound by D. Howard
7:36.0,,,62-66,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
7:35.0,Brooklyn full timeout,,62-66,,
7:18.0,J. Jack misses 2-pt shot from 7 ft,,62-66,,
7:18.0,,,62-66,,Defensive rebound by T. Lawson
7:00.0,,,62-66,,T. Lawson misses 2-pt shot from 18 ft
7:00.0,,,62-66,,Offensive rebound by D. Howard
6:59.0,,,62-68,2,D. Howard makes 2-pt shot at rim
6:41.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,64-68,,
6:19.0,,,64-71,3,M. Thornton makes 3-pt shot from 26 ft (assist by T. Ariza)
6:01.0,Turnover by B. Lopez (bad pass; steal by M. Thornton),,64-71,,
5:53.0,,,64-71,,M. Thornton misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by J. Jack,,64-71,,
5:44.0,B. Bogdanovic makes 2-pt shot from 10 ft (assist by J. Jack),2,66-71,,
5:25.0,,,66-74,3,J. Harden makes 3-pt shot from 25 ft (assist by D. Howard)
5:00.0,J. Johnson misses 2-pt shot from 14 ft,,66-74,,
5:00.0,,,66-74,,Defensive rebound by D. Howard
4:54.0,,,66-74,,J. Harden misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by T. Young,,66-74,,
4:48.0,T. Young misses 2-pt shot from 1 ft (block by D. Howard),,66-74,,
4:48.0,Offensive rebound by Team,,66-74,,
4:48.0,,,66-74,,C. Capela enters the game for D. Howard
4:48.0,T. Robinson enters the game for B. Lopez,,66-74,,
4:48.0,,,66-74,,P. Beverley enters the game for T. Lawson
4:48.0,,,66-74,,T. Jones enters the game for T. Ariza
4:45.0,J. Jack misses 2-pt shot from 5 ft (block by C. Capela),,66-74,,
4:44.0,,,66-74,,Defensive rebound by P. Beverley
4:25.0,,,66-74,,Turnover by J. Harden (bad pass; steal by J. Jack)
4:16.0,J. Jack misses 3-pt shot from 24 ft,,66-74,,
4:16.0,,,66-74,,Defensive rebound by T. Jones
4:10.0,,,66-76,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:43.0,T. Young misses 2-pt shot from 5 ft (block by P. Beverley),,66-76,,
3:42.0,Offensive rebound by B. Bogdanovic,,66-76,,
3:38.0,B. Bogdanovic makes 2-pt shot from 4 ft,2,68-76,,
3:15.0,,,68-79,3,P. Beverley makes 3-pt shot from 24 ft
2:57.0,Shooting foul by C. Capela (drawn by J. Johnson),,68-79,,
2:57.0,,,68-79,,Houston full timeout
2:57.0,,,68-79,,C. Brewer enters the game for M. Thornton
2:57.0,A. Bargnani enters the game for T. Young,,68-79,,
2:57.0,S. Larkin enters the game for J. Jack,,68-79,,
2:57.0,J. Johnson makes free throw 1 of 3,1,69-79,,
2:57.0,J. Johnson makes free throw 2 of 3,1,70-79,,
2:57.0,J. Johnson makes free throw 3 of 3,1,71-79,,
2:40.0,,,71-79,,J. Harden misses 3-pt shot from 28 ft
2:39.0,Defensive rebound by B. Bogdanovic,,71-79,,
2:16.0,B. Bogdanovic misses 2-pt shot from 17 ft,,71-79,,
2:16.0,,,71-79,,Defensive rebound by J. Harden
2:09.0,,,71-79,,P. Beverley misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by S. Larkin,,71-79,,
1:56.0,A. Bargnani misses 2-pt shot from 18 ft,,71-79,,
1:55.0,,,71-79,,Defensive rebound by T. Jones
1:33.0,,,71-81,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
1:14.0,S. Larkin makes 3-pt shot from 24 ft,3,74-81,,
1:02.0,,,74-81,,P. Beverley misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by S. Larkin,,74-81,,
0:57.0,J. Johnson misses 2-pt shot from 7 ft,,74-81,,
0:57.0,,,74-81,,Defensive rebound by C. Capela
0:48.0,,,74-81,,J. Harden misses 2-pt shot from 1 ft
0:47.0,Defensive rebound by T. Robinson,,74-81,,
0:40.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Johnson),3,77-81,,
0:30.0,,,77-81,,J. Harden misses 2-pt shot from 2 ft
0:30.0,,,77-81,,Offensive rebound by C. Capela
0:30.0,,,77-83,2,C. Capela makes 2-pt shot at rim
0:16.0,,,77-83,,Personal take foul by P. Beverley (drawn by S. Larkin)
0:16.0,,,77-83,,T. Ariza enters the game for P. Beverley
0:04.0,S. Larkin makes 2-pt shot from 1 ft,2,79-83,,
0:00.0,,,79-83,,T. Jones misses 3-pt shot from 26 ft
0:00.0,,,79-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,79-83,,D. Howard misses 2-pt shot from 1 ft (block by B. Lopez)
11:42.0,Defensive rebound by S. Larkin,,79-83,,
11:23.0,W. Ellington misses 3-pt shot from 24 ft,,79-83,,
11:23.0,Offensive rebound by A. Bargnani,,79-83,,
11:17.0,S. Larkin makes 3-pt shot from 24 ft (assist by A. Bargnani),3,82-83,,
11:03.0,Personal foul by R. Hollis-Jefferson (drawn by D. Howard),,82-83,,
10:53.0,,,82-83,,P. Beverley misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by B. Lopez,,82-83,,
10:38.0,S. Larkin misses 3-pt shot from 24 ft,,82-83,,
10:37.0,Offensive rebound by B. Lopez,,82-83,,
10:32.0,B. Lopez misses 2-pt shot from 11 ft,,82-83,,
10:31.0,,,82-83,,Defensive rebound by P. Beverley
10:26.0,,,82-85,2,C. Brewer makes 2-pt shot from 1 ft (assist by P. Beverley)
10:11.0,B. Lopez misses 2-pt shot from 18 ft,,82-85,,
10:10.0,,,82-85,,Defensive rebound by P. Beverley
9:54.0,,,82-85,,P. Beverley misses 2-pt shot from 11 ft
9:53.0,Defensive rebound by R. Hollis-Jefferson,,82-85,,
9:45.0,Offensive foul by A. Bargnani,,82-85,,
9:45.0,Turnover by A. Bargnani (offensive foul),,82-85,,
9:25.0,,,82-87,2,D. Howard makes 2-pt shot at rim (assist by T. Jones)
9:06.0,,,82-87,,Personal foul by P. Beverley (drawn by S. Larkin)
8:51.0,W. Ellington misses 2-pt shot from 20 ft,,82-87,,
8:50.0,,,82-87,,Defensive rebound by D. Howard
8:30.0,,,82-87,,T. Lawson misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by B. Lopez,,82-87,,
8:28.0,,,82-87,,Personal foul by T. Jones (drawn by B. Lopez)
8:28.0,Brooklyn full timeout,,82-87,,
8:05.0,S. Larkin makes 2-pt shot from 22 ft,2,84-87,,
7:48.0,,,84-87,,C. Brewer misses 2-pt shot from 12 ft
7:47.0,Defensive rebound by S. Larkin,,84-87,,
7:39.0,Shooting foul by P. Beverley (drawn by A. Bargnani),,84-87,,
7:39.0,A. Bargnani makes free throw 1 of 2,1,85-87,,
7:39.0,,,85-87,,J. Harden enters the game for C. Brewer
7:39.0,,,85-87,,M. Thornton enters the game for P. Beverley
7:39.0,,,85-87,,T. Ariza enters the game for T. Jones
7:39.0,J. Johnson enters the game for R. Hollis-Jefferson,,85-87,,
7:39.0,A. Bargnani makes free throw 2 of 2,1,86-87,,
7:27.0,,,86-87,,T. Ariza misses 3-pt shot from 25 ft
7:26.0,,,86-87,,Offensive rebound by D. Howard
7:23.0,,,86-87,,D. Howard misses 2-pt shot at rim (block by B. Lopez)
7:20.0,Defensive rebound by J. Johnson,,86-87,,
7:04.0,A. Bargnani makes 2-pt shot from 21 ft (assist by J. Johnson),2,88-87,,
6:42.0,,,88-87,,D. Howard misses 2-pt shot from 1 ft (block by B. Lopez)
6:41.0,Defensive rebound by J. Johnson,,88-87,,
6:33.0,A. Bargnani misses 2-pt shot from 23 ft,,88-87,,
6:32.0,Offensive rebound by S. Larkin,,88-87,,
6:29.0,W. Ellington makes 3-pt shot from 23 ft,3,91-87,,
6:29.0,,,91-87,,Houston full timeout
6:17.0,,,91-89,2,T. Ariza makes 2-pt shot from 1 ft (assist by T. Lawson)
5:55.0,A. Bargnani makes 2-pt shot from 20 ft (assist by J. Johnson),2,93-89,,
5:48.0,,,93-89,,J. Harden misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by S. Larkin,,93-89,,
5:37.0,S. Larkin misses 2-pt shot from 1 ft,,93-89,,
5:37.0,,,93-89,,Defensive rebound by J. Harden
5:31.0,,,93-91,2,J. Harden makes 2-pt shot at rim
5:27.0,Brooklyn full timeout,,93-91,,
5:27.0,T. Robinson enters the game for B. Lopez,,93-91,,
5:27.0,B. Bogdanovic enters the game for A. Bargnani,,93-91,,
5:14.0,Turnover by S. Larkin (bad pass; steal by T. Ariza),,93-91,,
5:07.0,,,93-91,,T. Ariza misses 2-pt shot from 1 ft (block by T. Robinson)
5:07.0,,,93-91,,Offensive rebound by Team
5:03.0,,,93-91,,J. Harden misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by T. Robinson,,93-91,,
4:50.0,B. Bogdanovic misses 3-pt shot from 24 ft,,93-91,,
