time,Utah,pts.away,score,pts.home,LA Lakers
3:59.0,J. Withey makes 2-pt shot at rim (assist by R. Neto),2,9-11,,
3:50.0,,,9-11,,D. Russell misses 2-pt shot from 2 ft
3:46.0,,,9-11,,Offensive rebound by T. Black
3:46.0,,,9-11,,T. Black misses 2-pt shot at rim
3:43.0,Defensive rebound by R. Neto,,9-11,,
3:40.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Neto),2,11-11,,
3:20.0,,,11-13,2,K. Bryant makes 2-pt shot from 19 ft (assist by D. Russell)
3:09.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Hood),3,14-13,,
3:00.0,,,14-16,3,K. Bryant makes 3-pt shot from 23 ft (assist by M. Huertas)
2:38.0,R. Hood misses 3-pt shot from 25 ft,,14-16,,
2:37.0,,,14-16,,Defensive rebound by M. Huertas
2:28.0,,,14-16,,K. Bryant misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by Team,,14-16,,
2:27.0,,,14-16,,Loose ball foul by T. Black
2:27.0,,,14-16,,LA Lakers full timeout
2:27.0,T. Lyles enters the game for J. Withey,,14-16,,
2:09.0,T. Lyles misses 3-pt shot from 23 ft,,14-16,,
2:08.0,,,14-16,,Defensive rebound by T. Black
1:47.0,,,14-16,,Shooting foul by R. Hood (drawn by K. Bryant)
1:47.0,,,14-17,1,K. Bryant makes free throw 1 of 3
1:47.0,,,14-18,1,K. Bryant makes free throw 2 of 3
1:47.0,C. Johnson enters the game for R. Hood,,14-18,,
1:47.0,,,14-19,1,K. Bryant makes free throw 3 of 3
1:32.0,C. Johnson makes 3-pt shot from 25 ft (assist by T. Booker),3,17-19,,
1:15.0,,,17-19,,K. Bryant misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by T. Lyles,,17-19,,
1:04.0,,,17-19,,Personal foul by K. Bryant
0:56.0,R. Neto makes 2-pt shot at rim,2,19-19,,
0:37.0,,,19-19,,K. Bryant misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by J. Ingles,,19-19,,
0:28.0,R. Neto makes 2-pt shot from 1 ft,2,21-19,,
0:04.0,,,21-19,,D. Russell misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by T. Booker,,21-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-21,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
11:25.0,C. Johnson makes 2-pt shot at rim,2,23-21,,
11:05.0,,,23-23,2,T. Black makes 2-pt shot from 1 ft (assist by M. Huertas)
10:50.0,J. Ingles misses 3-pt shot from 25 ft,,23-23,,
10:48.0,,,23-23,,Defensive rebound by L. Nance
10:37.0,,,23-23,,Turnover by T. Black (lost ball; steal by T. Lyles)
10:17.0,R. Neto misses 3-pt shot from 24 ft,,23-23,,
10:16.0,Offensive rebound by T. Booker,,23-23,,
10:09.0,T. Lyles misses 2-pt shot from 16 ft,,23-23,,
10:05.0,,,23-23,,Defensive rebound by J. Randle
9:59.0,,,23-23,,J. Randle misses 2-pt shot from 7 ft
9:55.0,Defensive rebound by C. Johnson,,23-23,,
9:41.0,T. Lyles makes 2-pt shot from 1 ft (assist by J. Ingles),2,25-23,,
9:41.0,Shooting foul by T. Black (drawn by T. Lyles),,25-23,,
9:41.0,J. Withey enters the game for T. Booker,,25-23,,
9:41.0,S. Mack enters the game for R. Neto,,25-23,,
9:41.0,T. Lyles makes free throw 1 of 1,1,26-23,,
9:30.0,,,26-25,2,J. Clarkson makes 2-pt shot from 1 ft (assist by M. Huertas)
9:15.0,,,26-25,,Personal foul by J. Randle
9:06.0,T. Lyles misses 3-pt shot from 24 ft,,26-25,,
9:04.0,,,26-25,,Defensive rebound by L. Nance
8:47.0,,,26-25,,J. Clarkson misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by T. Lyles,,26-25,,
8:29.0,T. Lyles makes 2-pt shot from 20 ft (assist by J. Ingles),2,28-25,,
8:17.0,,,28-25,,Turnover by M. Huertas (lost ball; steal by J. Withey)
8:16.0,,,28-25,,Personal take foul by M. Huertas
8:16.0,Official timeout,,28-25,,
8:16.0,G. Hayward enters the game for C. Johnson,,28-25,,
7:56.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Lyles),3,31-25,,
7:39.0,,,31-25,,Turnover by M. Huertas (lost ball; steal by T. Lyles)
7:29.0,J. Ingles misses 3-pt shot from 25 ft,,31-25,,
7:28.0,,,31-25,,Defensive rebound by J. Clarkson
7:18.0,,,31-25,,Shooting foul by J. Withey (drawn by L. Nance)
7:18.0,,,31-26,1,L. Nance makes free throw 1 of 2
7:18.0,R. Hood enters the game for J. Ingles,,31-26,,
7:18.0,,,31-27,1,L. Nance makes free throw 2 of 2
7:02.0,Shooting foul by T. Black (drawn by G. Hayward),,31-27,,
7:02.0,G. Hayward makes free throw 1 of 2,1,32-27,,
7:02.0,G. Hayward makes free throw 2 of 2,1,33-27,,
6:47.0,,,33-27,,J. Randle misses 2-pt shot from 19 ft
6:45.0,,,33-27,,Offensive rebound by T. Black
6:38.0,,,33-29,2,M. Huertas makes 2-pt shot from 5 ft
6:38.0,,,33-29,,Violation by Team (jump ball)
6:13.0,S. Mack misses 3-pt shot from 23 ft,,33-29,,
6:13.0,Offensive rebound by Team,,33-29,,
6:13.0,Turnover by Team (shot clock),,33-29,,
6:13.0,T. Booker enters the game for T. Lyles,,33-29,,
6:13.0,,,33-29,,R. Hibbert enters the game for T. Black
6:13.0,,,33-29,,K. Bryant enters the game for L. Nance
5:58.0,,,33-29,,K. Bryant misses 3-pt shot from 22 ft
5:57.0,Defensive rebound by J. Withey,,33-29,,
5:50.0,T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward),2,35-29,,
5:35.0,,,35-29,,J. Randle misses 2-pt shot at rim
5:33.0,,,35-29,,Offensive rebound by J. Clarkson
5:33.0,,,35-31,2,J. Clarkson makes 2-pt shot from 1 ft
5:21.0,Shooting foul by J. Randle (drawn by J. Withey),,35-31,,
5:21.0,J. Withey makes 2-pt shot from 2 ft (assist by T. Booker),2,37-31,,
5:21.0,,,37-31,,LA Lakers full timeout
5:21.0,,,37-31,,D. Russell enters the game for M. Huertas
5:21.0,J. Withey makes free throw 1 of 1,1,38-31,,
5:08.0,Personal foul by J. Withey,,38-31,,
5:08.0,T. Lyles enters the game for J. Withey,,38-31,,
4:56.0,,,38-33,2,K. Bryant makes 2-pt shot at rim
4:35.0,T. Lyles makes 2-pt shot from 1 ft (assist by R. Hood),2,40-33,,
4:21.0,,,40-33,,Shooting foul by S. Mack (drawn by K. Bryant)
4:21.0,,,40-33,,K. Bryant misses free throw 1 of 2
4:21.0,,,40-33,,Offensive rebound by Team
4:21.0,C. Johnson enters the game for R. Hood,,40-33,,
4:21.0,,,40-34,1,K. Bryant makes free throw 2 of 2
4:00.0,S. Mack makes 2-pt shot from 1 ft,2,42-34,,
4:00.0,Shooting foul by D. Russell (drawn by S. Mack),,42-34,,
4:00.0,S. Mack makes free throw 1 of 1,1,43-34,,
3:39.0,,,43-37,3,K. Bryant makes 3-pt shot from 24 ft (assist by D. Russell)
3:24.0,G. Hayward makes 3-pt shot from 24 ft,3,46-37,,
3:08.0,,,46-37,,K. Bryant misses 3-pt shot from 26 ft
3:07.0,Defensive rebound by S. Mack,,46-37,,
2:57.0,G. Hayward makes 2-pt shot from 8 ft (assist by S. Mack),2,48-37,,
2:45.0,Utah full timeout,,48-37,,
2:35.0,,,48-37,,K. Bryant misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by S. Mack,,48-37,,
2:18.0,T. Lyles makes 2-pt shot from 8 ft (assist by S. Mack),2,50-37,,
1:54.0,,,50-37,,J. Clarkson misses 3-pt shot from 24 ft
1:53.0,,,50-37,,Offensive rebound by J. Clarkson
1:52.0,,,50-37,,Turnover by J. Clarkson (lost ball; steal by T. Booker)
1:46.0,T. Booker misses 2-pt shot from 1 ft,,50-37,,
1:43.0,Offensive rebound by T. Lyles,,50-37,,
1:43.0,T. Lyles makes 2-pt shot at rim,2,52-37,,
1:24.0,,,52-37,,K. Bryant misses 2-pt shot from 1 ft
1:24.0,,,52-37,,Offensive rebound by Team
1:24.0,Personal foul by T. Booker,,52-37,,
1:23.0,,,52-37,,R. Kelly enters the game for R. Hibbert
1:15.0,,,52-39,2,D. Russell makes 2-pt shot from 2 ft
0:59.0,Turnover by T. Booker (lost ball; steal by D. Russell),,52-39,,
0:56.0,,,52-41,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
0:46.0,T. Lyles misses 3-pt shot from 24 ft,,52-41,,
0:44.0,Offensive rebound by S. Mack,,52-41,,
0:43.0,T. Booker makes 2-pt shot at rim (assist by S. Mack),2,54-41,,
0:34.0,,,54-41,,Shooting foul by T. Booker (drawn by K. Bryant)
0:34.0,,,54-41,,K. Bryant misses free throw 1 of 2
0:34.0,,,54-41,,Offensive rebound by Team
0:34.0,,,54-42,1,K. Bryant makes free throw 2 of 2
0:19.0,S. Mack makes 2-pt shot from 1 ft,2,56-42,,
0:19.0,Shooting foul by D. Russell (drawn by S. Mack),,56-42,,
0:19.0,J. Ingles enters the game for T. Booker,,56-42,,
0:19.0,S. Mack makes free throw 1 of 1,1,57-42,,
0:00.0,,,57-42,,K. Bryant misses 2-pt shot from 11 ft
0:00.0,,,57-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by T. Lyles,,57-42,,
11:42.0,,,57-44,2,D. Russell makes 2-pt shot from 9 ft (assist by K. Bryant)
11:19.0,R. Hood makes 2-pt shot from 7 ft,2,59-44,,
11:04.0,,,59-44,,D. Russell misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by T. Lyles,,59-44,,
10:55.0,,,59-44,,Personal foul by R. Hibbert
10:44.0,S. Mack misses 2-pt shot from 10 ft,,59-44,,
10:43.0,,,59-44,,Defensive rebound by D. Russell
10:33.0,,,59-46,2,K. Bryant makes 2-pt shot at rim (assist by D. Russell)
10:21.0,G. Hayward misses 3-pt shot from 24 ft,,59-46,,
10:19.0,,,59-46,,Defensive rebound by J. Randle
10:09.0,,,59-48,2,K. Bryant makes 2-pt shot from 8 ft
9:56.0,T. Lyles misses 2-pt shot from 7 ft,,59-48,,
9:53.0,,,59-48,,Defensive rebound by K. Bryant
9:45.0,,,59-48,,K. Bryant misses 3-pt shot from 25 ft
9:44.0,,,59-48,,Offensive rebound by R. Hibbert
9:40.0,,,59-50,2,K. Bryant makes 2-pt shot at rim (assist by R. Hibbert)
9:40.0,Utah full timeout,,59-50,,
9:40.0,C. Johnson enters the game for R. Hood,,59-50,,
9:25.0,G. Hayward misses 3-pt shot from 24 ft,,59-50,,
9:24.0,,,59-50,,Defensive rebound by J. Clarkson
9:00.0,,,59-50,,K. Bryant misses 3-pt shot from 31 ft
8:59.0,,,59-50,,Offensive rebound by R. Hibbert
8:41.0,,,59-50,,K. Bryant misses 2-pt shot from 12 ft
8:38.0,Defensive rebound by T. Lyles,,59-50,,
8:26.0,Offensive foul by S. Mack,,59-50,,
8:26.0,Turnover by S. Mack (offensive foul),,59-50,,
8:05.0,,,59-50,,Turnover by K. Bryant (lost ball)
7:44.0,J. Withey misses 2-pt shot at rim,,59-50,,
7:41.0,,,59-50,,Defensive rebound by J. Randle
7:36.0,,,59-50,,K. Bryant misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by Team,,59-50,,
7:23.0,G. Hayward makes 3-pt shot from 24 ft (assist by J. Withey),3,62-50,,
7:09.0,,,62-50,,D. Russell misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by T. Lyles,,62-50,,
7:02.0,Turnover by T. Lyles (lost ball; steal by K. Bryant),,62-50,,
6:39.0,,,62-50,,K. Bryant misses 3-pt shot from 26 ft
6:38.0,,,62-50,,Offensive rebound by Team
6:38.0,,,62-50,,Turnover by Team (shot clock)
6:20.0,Turnover by G. Hayward (lost ball; steal by J. Randle),,62-50,,
6:14.0,,,62-52,2,J. Clarkson makes 2-pt shot at rim (assist by J. Randle)
6:00.0,Turnover by T. Lyles (bad pass),,62-52,,
6:00.0,,,62-52,,M. Huertas enters the game for J. Clarkson
6:00.0,R. Neto enters the game for S. Mack,,62-52,,
5:36.0,,,62-54,2,K. Bryant makes 2-pt shot from 1 ft
5:24.0,Turnover by C. Johnson (lost ball; steal by D. Russell),,62-54,,
5:24.0,Personal take foul by C. Johnson,,62-54,,
5:24.0,,,62-54,,L. Nance enters the game for J. Randle
5:24.0,T. Booker enters the game for J. Withey,,62-54,,
5:03.0,,,62-56,2,K. Bryant makes 2-pt shot from 12 ft
4:46.0,G. Hayward misses 2-pt shot from 8 ft,,62-56,,
4:43.0,Offensive rebound by T. Lyles,,62-56,,
4:38.0,G. Hayward misses 2-pt shot at rim,,62-56,,
4:35.0,,,62-56,,Defensive rebound by M. Huertas
4:33.0,,,62-56,,Turnover by M. Huertas (lost ball; steal by T. Lyles)
4:29.0,G. Hayward makes 2-pt shot at rim (assist by C. Johnson),2,64-56,,
4:29.0,Shooting foul by M. Huertas (drawn by G. Hayward),,64-56,,
4:29.0,J. Ingles enters the game for C. Johnson,,64-56,,
4:29.0,G. Hayward misses free throw 1 of 1,,64-56,,
4:28.0,,,64-56,,Defensive rebound by R. Hibbert
4:12.0,,,64-59,3,K. Bryant makes 3-pt shot from 22 ft
3:54.0,T. Lyles makes 3-pt shot from 25 ft (assist by J. Ingles),3,67-59,,
3:36.0,,,67-61,2,D. Russell makes 2-pt shot from 1 ft (assist by R. Hibbert)
3:36.0,,,67-61,,Shooting foul by T. Lyles (drawn by D. Russell)
3:36.0,S. Mack enters the game for G. Hayward,,67-61,,
3:36.0,,,67-61,,T. Black enters the game for R. Hibbert
3:36.0,,,67-62,1,D. Russell makes free throw 1 of 1
3:20.0,Shooting foul by L. Nance (drawn by T. Lyles),,67-62,,
3:20.0,T. Lyles makes free throw 1 of 2,1,68-62,,
3:20.0,T. Lyles misses free throw 2 of 2,,68-62,,
3:19.0,,,68-62,,Defensive rebound by D. Russell
3:01.0,,,68-62,,K. Bryant misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by T. Lyles,,68-62,,
2:51.0,T. Booker misses 2-pt shot at rim,,68-62,,
2:50.0,,,68-62,,Defensive rebound by T. Black
2:42.0,,,68-62,,M. Huertas misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by T. Booker,,68-62,,
2:35.0,Shooting foul by T. Black (drawn by T. Booker),,68-62,,
2:35.0,,,68-62,,LA Lakers full timeout
2:35.0,T. Booker misses free throw 1 of 2,,68-62,,
2:35.0,Offensive rebound by Team,,68-62,,
2:35.0,T. Booker misses free throw 2 of 2,,68-62,,
2:33.0,,,68-62,,Defensive rebound by D. Russell
2:22.0,,,68-64,2,D. Russell makes 2-pt shot from 7 ft
2:06.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Lyles),3,71-64,,
1:54.0,,,71-64,,Turnover by D. Russell (lost ball; steal by T. Lyles)
1:49.0,J. Withey enters the game for T. Lyles,,71-64,,
1:34.0,S. Mack makes 2-pt shot from 6 ft (assist by R. Neto),2,73-64,,
1:19.0,,,73-64,,Turnover by D. Russell (lost ball; steal by J. Ingles)
1:16.0,Turnover by S. Mack (bad pass),,73-64,,
1:01.0,,,73-66,2,K. Bryant makes 2-pt shot from 1 ft
0:37.0,R. Neto misses 3-pt shot from 24 ft,,73-66,,
0:35.0,,,73-66,,Defensive rebound by T. Black
0:25.0,,,73-66,,Offensive foul by L. Nance
0:25.0,,,73-66,,Turnover by L. Nance (offensive foul)
0:05.0,J. Withey makes 2-pt shot at rim (assist by R. Neto),2,75-66,,
0:03.0,,,75-66,,K. Bryant misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by J. Withey,,75-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,S. Mack makes 2-pt shot from 20 ft (assist by J. Ingles),2,77-66,,
11:18.0,,,77-66,,K. Bryant misses 3-pt shot from 23 ft
11:17.0,,,77-66,,Offensive rebound by L. Nance
11:13.0,,,77-68,2,L. Nance makes 2-pt shot at rim
11:05.0,J. Ingles makes 3-pt shot from 23 ft (assist by S. Mack),3,80-68,,
10:45.0,,,80-68,,Turnover by T. Black (lost ball; steal by J. Ingles)
10:40.0,R. Neto makes 2-pt shot at rim (assist by S. Mack),2,82-68,,
10:22.0,,,82-68,,K. Bryant misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by J. Withey,,82-68,,
10:10.0,J. Withey misses 2-pt shot from 5 ft,,82-68,,
10:09.0,,,82-68,,Defensive rebound by T. Black
10:04.0,,,82-68,,K. Bryant misses 2-pt shot at rim (block by J. Withey)
10:04.0,,,82-68,,Offensive rebound by Team
10:04.0,R. Hood enters the game for R. Neto,,82-68,,
10:04.0,,,82-68,,J. Clarkson enters the game for D. Russell
9:59.0,,,82-70,2,T. Black makes 2-pt shot at rim (assist by M. Huertas)
9:38.0,Turnover by J. Withey (lost ball; steal by L. Nance),,82-70,,
9:31.0,,,82-73,3,K. Bryant makes 3-pt shot from 25 ft (assist by M. Huertas)
9:31.0,Utah full timeout,,82-73,,
9:31.0,T. Lyles enters the game for J. Withey,,82-73,,
9:15.0,T. Lyles makes 3-pt shot from 24 ft (assist by R. Hood),3,85-73,,
8:58.0,,,85-76,3,K. Bryant makes 3-pt shot from 24 ft
8:38.0,J. Ingles misses 3-pt shot from 24 ft,,85-76,,
8:36.0,,,85-76,,Defensive rebound by M. Huertas
8:22.0,,,85-76,,K. Bryant misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by T. Lyles,,85-76,,
7:57.0,S. Mack misses 2-pt shot from 1 ft,,85-76,,
7:55.0,,,85-76,,Defensive rebound by K. Bryant
7:52.0,,,85-78,2,J. Clarkson makes 2-pt shot at rim (assist by K. Bryant)
7:36.0,R. Hood misses 2-pt shot from 1 ft (block by T. Black),,85-78,,
7:31.0,,,85-78,,Defensive rebound by T. Black
7:30.0,,,85-80,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
7:30.0,Utah full timeout,,85-80,,
7:30.0,,,85-80,,J. Randle enters the game for T. Black
7:30.0,G. Hayward enters the game for R. Hood,,85-80,,
7:30.0,J. Withey enters the game for S. Mack,,85-80,,
7:30.0,C. Johnson enters the game for T. Booker,,85-80,,
7:30.0,R. Neto enters the game for J. Ingles,,85-80,,
7:05.0,C. Johnson misses 3-pt shot from 22 ft,,85-80,,
7:04.0,,,85-80,,Defensive rebound by J. Randle
6:53.0,Personal foul by G. Hayward,,85-80,,
6:44.0,,,85-80,,K. Bryant misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by T. Lyles,,85-80,,
6:41.0,Turnover by T. Lyles (bad pass),,85-80,,
6:17.0,,,85-82,2,J. Clarkson makes 2-pt shot from 7 ft (assist by K. Bryant)
5:55.0,R. Neto makes 2-pt shot from 11 ft,2,87-82,,
5:41.0,,,87-84,2,K. Bryant makes 2-pt shot from 11 ft
5:20.0,G. Hayward makes 2-pt shot at rim,2,89-84,,
5:05.0,,,89-84,,K. Bryant misses 2-pt shot from 9 ft
5:01.0,Defensive rebound by J. Withey,,89-84,,
4:53.0,C. Johnson misses 3-pt shot from 24 ft,,89-84,,
4:51.0,,,89-84,,Defensive rebound by M. Huertas
4:43.0,,,89-84,,D. Russell enters the game for M. Huertas
4:43.0,T. Booker enters the game for J. Withey,,89-84,,
4:43.0,S. Mack enters the game for R. Neto,,89-84,,
4:38.0,Personal foul by C. Johnson,,89-84,,
4:27.0,,,89-84,,K. Bryant misses 2-pt shot from 8 ft
4:22.0,Defensive rebound by G. Hayward,,89-84,,
4:18.0,G. Hayward makes 2-pt shot at rim (assist by T. Lyles),2,91-84,,
4:11.0,,,91-84,,Turnover by J. Randle (lost ball; steal by T. Lyles)
3:59.0,Turnover by C. Johnson (lost ball; steal by J. Clarkson),,91-84,,
3:52.0,,,91-84,,K. Bryant misses 2-pt shot at rim
3:50.0,Defensive rebound by C. Johnson,,91-84,,
3:46.0,T. Booker makes 2-pt shot at rim (assist by G. Hayward),2,93-84,,
3:46.0,,,93-84,,LA Lakers full timeout
3:34.0,,,93-84,,D. Russell misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by S. Mack,,93-84,,
3:33.0,,,93-84,,Personal foul by D. Russell
3:20.0,,,93-84,,Shooting block foul by J. Clarkson (drawn by G. Hayward)
3:20.0,G. Hayward misses free throw 1 of 2,,93-84,,
3:20.0,Offensive rebound by Team,,93-84,,
3:20.0,G. Hayward makes free throw 2 of 2,1,94-84,,
3:05.0,,,94-86,2,K. Bryant makes 2-pt shot at rim
2:46.0,S. Mack misses 3-pt shot from 24 ft,,94-86,,
2:45.0,Offensive rebound by T. Booker,,94-86,,
2:36.0,C. Johnson makes 2-pt shot from 1 ft (assist by G. Hayward),2,96-86,,
2:16.0,,,96-86,,Shooting foul by G. Hayward (drawn by K. Bryant)
2:16.0,,,96-87,1,K. Bryant makes free throw 1 of 2
2:16.0,J. Ingles enters the game for C. Johnson,,96-87,,
2:16.0,,,96-88,1,K. Bryant makes free throw 2 of 2
1:51.0,G. Hayward misses 2-pt shot at rim (block by J. Randle),,96-88,,
1:47.0,,,96-88,,Defensive rebound by J. Randle
1:45.0,,,96-90,2,K. Bryant makes 2-pt shot at rim
1:34.0,Turnover by S. Mack (traveling),,96-90,,
1:27.0,,,96-92,2,K. Bryant makes 2-pt shot from 14 ft
1:08.0,G. Hayward misses 3-pt shot from 24 ft,,96-92,,
1:07.0,,,96-92,,Defensive rebound by L. Nance
1:00.0,,,96-95,3,K. Bryant makes 3-pt shot from 25 ft
0:44.0,S. Mack misses 3-pt shot from 24 ft,,96-95,,
0:43.0,,,96-95,,Defensive rebound by D. Russell
0:32.0,,,96-97,2,K. Bryant makes 2-pt shot from 19 ft
0:32.0,Utah full timeout,,96-97,,
0:22.0,T. Lyles misses 2-pt shot from 1 ft,,96-97,,
0:20.0,,,96-97,,Defensive rebound by J. Clarkson
0:16.0,Personal take foul by J. Ingles,,96-97,,
0:15.0,Personal foul by T. Booker,,96-97,,
0:15.0,,,96-98,1,K. Bryant makes free throw 1 of 2
0:15.0,,,96-99,1,K. Bryant makes free throw 2 of 2
0:09.0,G. Hayward misses 2-pt shot at rim,,96-99,,
0:08.0,,,96-99,,Defensive rebound by J. Randle
0:04.0,,,96-101,2,J. Clarkson makes 2-pt shot at rim (assist by K. Bryant)
0:04.0,Utah full timeout,,96-101,,
0:04.0,,,96-101,,R. Kelly enters the game for K. Bryant
0:04.0,T. Lyles misses 3-pt shot from 24 ft,,96-101,,
0:02.0,,,96-101,,Defensive rebound by J. Clarkson
0:00.0,End of 4th quarter,,,,End of 4th quarter
