time,Minnesota,pts.away,score,pts.home,Portland
4:04.0,,,42-43,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
3:46.0,Z. LaVine misses 3-pt shot from 26 ft,,42-43,,
3:45.0,,,42-43,,Defensive rebound by A. Aminu
3:36.0,,,42-45,2,D. Lillard makes 2-pt shot from 1 ft
3:24.0,A. Wiggins misses 2-pt shot from 1 ft (block by M. Plumlee),,42-45,,
3:24.0,Offensive rebound by Team,,42-45,,
3:22.0,Shooting foul by M. Harkless (drawn by A. Wiggins),,42-45,,
3:22.0,A. Wiggins makes free throw 1 of 2,1,43-45,,
3:22.0,A. Wiggins makes free throw 2 of 2,1,44-45,,
3:00.0,,,44-47,2,A. Aminu makes 2-pt shot from 1 ft
2:45.0,A. Wiggins makes 2-pt shot from 12 ft (assist by R. Rubio),2,46-47,,
2:32.0,,,46-47,,M. Harkless misses 2-pt shot at rim
2:32.0,,,46-47,,Offensive rebound by M. Harkless
2:32.0,,,46-47,,Turnover by M. Harkless (illegal assist)
2:32.0,,,46-47,,Portland full timeout
2:32.0,G. Dieng enters the game for K. Towns,,46-47,,
2:17.0,N. Bjelica misses 2-pt shot from 2 ft,,46-47,,
2:17.0,Offensive rebound by N. Bjelica,,46-47,,
2:17.0,Turnover by N. Bjelica (traveling),,46-47,,
1:56.0,,,46-47,,A. Aminu misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by R. Rubio,,46-47,,
1:44.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins),3,49-47,,
1:32.0,,,49-49,2,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee)
1:13.0,Shooting foul by M. Harkless (drawn by A. Wiggins),,49-49,,
1:13.0,A. Wiggins makes free throw 1 of 2,1,50-49,,
1:13.0,,,50-49,,C. McCollum enters the game for A. Crabbe
1:13.0,A. Wiggins makes free throw 2 of 2,1,51-49,,
0:56.0,,,51-49,,Turnover by A. Aminu (lost ball; steal by R. Rubio)
0:43.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,53-49,,
0:34.0,Personal foul by R. Rubio,,53-49,,
0:25.0,,,53-49,,Turnover by C. McCollum (lost ball)
0:07.0,R. Rubio misses 2-pt shot from 2 ft (block by M. Harkless),,53-49,,
0:07.0,Offensive rebound by Team,,53-49,,
0:07.0,,,53-49,,A. Crabbe enters the game for A. Aminu
0:02.0,G. Dieng misses 2-pt shot from 17 ft,,53-49,,
0:01.0,Offensive rebound by Team,,53-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-51,2,C. McCollum makes 2-pt shot from 13 ft
11:29.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,55-51,,
11:20.0,,,55-53,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
11:02.0,K. Towns makes 2-pt shot from 7 ft (assist by G. Dieng),2,57-53,,
10:49.0,,,57-53,,Turnover by D. Lillard (lost ball; steal by G. Dieng)
10:40.0,K. Towns misses 2-pt shot at rim,,57-53,,
10:39.0,,,57-53,,Defensive rebound by M. Plumlee
10:36.0,,,57-53,,Turnover by A. Aminu (lost ball)
10:18.0,Z. LaVine makes 2-pt shot from 17 ft (assist by R. Rubio),2,59-53,,
10:01.0,,,59-56,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
9:40.0,Z. LaVine misses 3-pt shot from 25 ft,,59-56,,
9:40.0,,,59-56,,Defensive rebound by D. Lillard
9:36.0,,,59-56,,Shooting foul by A. Wiggins (drawn by M. Plumlee)
9:36.0,,,59-57,1,M. Plumlee makes free throw 1 of 2
9:36.0,,,59-57,,M. Plumlee misses free throw 2 of 2
9:34.0,Defensive rebound by K. Towns,,59-57,,
9:15.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,61-57,,
8:54.0,,,61-59,2,C. McCollum makes 2-pt shot from 16 ft
8:38.0,K. Towns misses 2-pt shot from 6 ft (block by A. Aminu),,61-59,,
8:37.0,,,61-59,,Defensive rebound by M. Plumlee
8:27.0,,,61-59,,Offensive foul by A. Aminu
8:27.0,,,61-59,,Turnover by A. Aminu (offensive foul)
8:14.0,A. Wiggins makes 2-pt shot from 14 ft,2,63-59,,
7:56.0,,,63-62,3,D. Lillard makes 3-pt shot from 26 ft
7:44.0,,,63-62,,Personal foul by M. Harkless
7:36.0,R. Rubio misses 2-pt shot from 15 ft,,63-62,,
7:34.0,,,63-62,,Defensive rebound by A. Aminu
7:30.0,,,63-62,,Turnover by A. Aminu (lost ball; steal by R. Rubio)
7:26.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,65-62,,
7:08.0,,,65-62,,C. McCollum misses 2-pt shot from 15 ft
7:07.0,Defensive rebound by G. Dieng,,65-62,,
6:54.0,K. Towns misses 2-pt shot from 6 ft,,65-62,,
6:52.0,,,65-62,,Defensive rebound by M. Plumlee
6:45.0,,,65-62,,M. Harkless misses 2-pt shot from 1 ft (block by G. Dieng)
6:43.0,,,65-62,,Offensive rebound by M. Harkless
6:39.0,,,65-62,,D. Lillard misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by Z. LaVine,,65-62,,
6:30.0,Z. LaVine misses 2-pt shot from 17 ft,,65-62,,
6:29.0,,,65-62,,Defensive rebound by C. McCollum
6:25.0,,,65-62,,Shooting foul by Z. LaVine (drawn by C. McCollum)
6:25.0,,,65-63,1,C. McCollum makes free throw 1 of 2
6:25.0,,,65-63,,C. McCollum misses free throw 2 of 2
6:23.0,Defensive rebound by G. Dieng,,65-63,,
6:11.0,A. Wiggins misses 2-pt shot from 7 ft,,65-63,,
6:09.0,,,65-63,,Defensive rebound by M. Plumlee
6:03.0,,,65-63,,D. Lillard misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by A. Wiggins,,65-63,,
5:50.0,R. Rubio misses 2-pt shot from 12 ft,,65-63,,
5:49.0,,,65-63,,Defensive rebound by M. Plumlee
5:37.0,,,65-66,3,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum)
5:37.0,Minnesota full timeout,,65-66,,
5:20.0,Turnover by R. Rubio (bad pass),,65-66,,
5:20.0,N. Bjelica enters the game for K. Towns,,65-66,,
5:07.0,,,65-66,,Turnover by C. McCollum (bad pass)
4:46.0,A. Wiggins misses 2-pt shot from 11 ft,,65-66,,
4:45.0,,,65-66,,Defensive rebound by M. Plumlee
4:38.0,Personal foul by Z. LaVine,,65-66,,
4:38.0,,,65-66,,G. Henderson enters the game for M. Harkless
4:38.0,,,65-66,,A. Crabbe enters the game for C. McCollum
4:37.0,,,65-66,,Turnover by G. Henderson (bad pass)
4:15.0,R. Rubio makes 3-pt shot from 27 ft (assist by N. Bjelica),3,68-66,,
3:46.0,,,68-66,,A. Crabbe misses 2-pt shot from 13 ft
3:44.0,Defensive rebound by Z. LaVine,,68-66,,
3:36.0,,,68-66,,Personal foul by A. Crabbe
3:36.0,S. Muhammad enters the game for Z. LaVine,,68-66,,
3:36.0,,,68-66,,E. Davis enters the game for M. Plumlee
3:26.0,R. Rubio misses 2-pt shot from 18 ft,,68-66,,
3:25.0,,,68-66,,Defensive rebound by E. Davis
3:15.0,,,68-66,,Shooting foul by G. Dieng (drawn by D. Lillard)
3:15.0,,,68-67,1,D. Lillard makes free throw 1 of 2
3:15.0,,,68-68,1,D. Lillard makes free throw 2 of 2
3:00.0,A. Wiggins makes 2-pt shot from 15 ft,2,70-68,,
2:40.0,,,70-68,,D. Lillard misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by R. Rubio,,70-68,,
2:30.0,A. Wiggins misses 3-pt shot from 29 ft,,70-68,,
2:29.0,Offensive rebound by G. Dieng,,70-68,,
2:25.0,S. Muhammad misses 2-pt shot from 14 ft,,70-68,,
2:24.0,,,70-68,,Defensive rebound by D. Lillard
2:21.0,,,70-68,,Portland full timeout
2:21.0,,,70-68,,M. Harkless enters the game for A. Aminu
2:21.0,T. Jones enters the game for A. Wiggins,,70-68,,
2:21.0,K. Towns enters the game for G. Dieng,,70-68,,
2:21.0,T. Prince enters the game for R. Rubio,,70-68,,
2:21.0,,,70-68,,Turnover by Team (5 sec inbounds)
2:05.0,S. Muhammad misses 2-pt shot from 7 ft,,70-68,,
2:04.0,,,70-68,,Defensive rebound by Team
1:44.0,,,70-70,2,G. Henderson makes 2-pt shot from 5 ft
1:21.0,N. Bjelica makes 3-pt shot from 27 ft (assist by S. Muhammad),3,73-70,,
0:53.0,,,73-70,,M. Harkless misses 3-pt shot from 25 ft
0:53.0,,,73-70,,Offensive rebound by E. Davis
0:49.0,,,73-70,,A. Crabbe misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by K. Towns,,73-70,,
