time,New York,pts.away,score,pts.home,Golden State
4:05.0,D. Williams makes free throw 1 of 2,1,7-13,,
4:05.0,,,7-13,,M. Speights enters the game for A. Bogut
4:05.0,,,7-13,,S. Livingston enters the game for H. Barnes
4:05.0,K. O'Quinn enters the game for R. Lopez,,7-13,,
4:05.0,D. Williams misses free throw 2 of 2,,7-13,,
4:05.0,,,7-13,,Defensive rebound by D. Green
3:52.0,,,7-15,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
3:38.0,C. Anthony makes 2-pt shot from 2 ft (assist by A. Afflalo),2,9-15,,
3:31.0,,,9-15,,Shooting foul by K. O'Quinn (drawn by L. Barbosa)
3:31.0,,,9-16,1,L. Barbosa makes free throw 1 of 2
3:31.0,,,9-17,1,L. Barbosa makes free throw 2 of 2
3:09.0,J. Calderon misses 2-pt shot from 21 ft,,9-17,,
3:09.0,,,9-17,,Defensive rebound by L. Barbosa
3:02.0,,,9-19,2,M. Speights makes 2-pt shot from 2 ft (assist by L. Barbosa)
2:56.0,New York full timeout,,9-19,,
2:43.0,Shooting foul by D. Green (drawn by C. Anthony),,9-19,,
2:43.0,C. Anthony misses free throw 1 of 2,,9-19,,
2:43.0,Offensive rebound by Team,,9-19,,
2:43.0,C. Anthony makes free throw 2 of 2,1,10-19,,
2:34.0,,,10-22,3,S. Curry makes 3-pt shot from 26 ft
2:05.0,D. Williams makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,13-22,,
1:54.0,,,13-25,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
1:36.0,C. Anthony makes 2-pt shot from 15 ft (assist by A. Afflalo),2,15-25,,
1:26.0,,,15-28,3,S. Curry makes 3-pt shot from 30 ft (assist by D. Green)
1:14.0,,,15-28,,Personal foul by S. Livingston
1:14.0,L. Galloway enters the game for J. Calderon,,15-28,,
1:06.0,A. Afflalo makes 2-pt shot from 2 ft (assist by D. Williams),2,17-28,,
0:58.0,,,17-28,,Turnover by S. Curry (lost ball; steal by L. Galloway)
0:51.0,D. Williams makes 2-pt shot from 4 ft (assist by L. Galloway),2,19-28,,
0:39.0,,,19-31,3,M. Speights makes 3-pt shot from 25 ft (assist by D. Green)
0:24.0,D. Williams misses 2-pt shot from 2 ft,,19-31,,
0:24.0,,,19-31,,Defensive rebound by S. Curry
0:09.0,Personal foul by C. Anthony,,19-31,,
0:06.0,,,19-31,,S. Curry misses 3-pt shot from 29 ft
0:03.0,Defensive rebound by L. Galloway,,19-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-34,3,M. Speights makes 3-pt shot from 25 ft (assist by S. Livingston)
11:23.0,A. Afflalo makes 2-pt shot from 16 ft (assist by K. O'Quinn),2,21-34,,
11:09.0,,,21-36,2,L. Barbosa makes 2-pt shot at rim
11:09.0,,,21-36,,Shooting foul by A. Afflalo (drawn by L. Barbosa)
11:09.0,,,21-37,1,L. Barbosa makes free throw 1 of 1
10:51.0,K. Porzingis misses 2-pt shot from 11 ft,,21-37,,
10:50.0,,,21-37,,Defensive rebound by M. Speights
10:43.0,,,21-39,2,S. Livingston makes 2-pt shot from 14 ft
10:23.0,L. Galloway misses 2-pt shot from 20 ft,,21-39,,
10:22.0,,,21-39,,Defensive rebound by L. Barbosa
10:08.0,,,21-39,,M. Speights misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by D. Williams,,21-39,,
9:56.0,K. O'Quinn misses 2-pt shot from 18 ft,,21-39,,
9:56.0,,,21-39,,Defensive rebound by B. Rush
9:39.0,,,21-39,,S. Livingston misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by L. Galloway,,21-39,,
9:38.0,,,21-39,,Personal foul by M. Speights
9:38.0,K. Seraphin enters the game for K. O'Quinn,,21-39,,
9:38.0,,,21-39,,K. Thompson enters the game for L. Barbosa
9:38.0,,,21-39,,A. Varejao enters the game for M. Speights
9:16.0,K. Seraphin makes 2-pt shot from 17 ft,2,23-39,,
8:51.0,,,23-42,3,B. Rush makes 3-pt shot from 27 ft (assist by A. Varejao)
8:33.0,A. Afflalo misses 2-pt shot from 14 ft,,23-42,,
8:32.0,,,23-42,,Defensive rebound by B. Rush
8:23.0,,,23-42,,H. Barnes misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by D. Williams,,23-42,,
8:13.0,K. Seraphin makes 2-pt shot from 5 ft (assist by D. Williams),2,25-42,,
7:55.0,,,25-44,2,A. Varejao makes 2-pt shot from 1 ft (assist by H. Barnes)
7:47.0,New York full timeout,,25-44,,
7:47.0,C. Anthony enters the game for K. Porzingis,,25-44,,
7:47.0,S. Vujacic enters the game for D. Williams,,25-44,,
7:47.0,,,25-44,,I. Clark enters the game for S. Livingston
7:35.0,K. Seraphin makes 2-pt shot at rim (assist by L. Galloway),2,27-44,,
7:13.0,,,27-47,3,K. Thompson makes 3-pt shot from 25 ft (assist by I. Clark)
6:53.0,S. Vujacic makes 2-pt shot from 20 ft (assist by A. Afflalo),2,29-47,,
6:39.0,,,29-47,,B. Rush misses 2-pt shot from 18 ft
6:38.0,Defensive rebound by S. Vujacic,,29-47,,
6:34.0,,,29-47,,Violation by I. Clark (kicked ball)
6:26.0,K. Seraphin makes 2-pt shot from 13 ft (assist by C. Anthony),2,31-47,,
6:16.0,,,31-47,,A. Varejao misses 2-pt shot from 4 ft
6:16.0,Defensive rebound by L. Galloway,,31-47,,
6:02.0,L. Galloway makes 2-pt shot from 2 ft,2,33-47,,
5:40.0,,,33-47,,B. Rush misses 3-pt shot from 28 ft
5:39.0,Defensive rebound by C. Anthony,,33-47,,
5:33.0,A. Afflalo misses 2-pt shot from 17 ft,,33-47,,
5:33.0,Offensive rebound by K. Seraphin,,33-47,,
5:09.0,C. Anthony misses 2-pt shot from 15 ft,,33-47,,
5:09.0,,,33-47,,Defensive rebound by K. Thompson
5:00.0,,,33-50,3,K. Thompson makes 3-pt shot from 27 ft
4:38.0,C. Anthony makes 3-pt shot from 24 ft (assist by K. Seraphin),3,36-50,,
4:37.0,,,36-50,,Golden State full timeout
4:37.0,J. Calderon enters the game for L. Galloway,,36-50,,
4:37.0,,,36-50,,S. Curry enters the game for H. Barnes
4:37.0,,,36-50,,D. Green enters the game for A. Varejao
4:37.0,,,36-50,,A. Bogut enters the game for I. Clark
4:27.0,,,36-50,,K. Thompson misses 2-pt shot from 19 ft
4:26.0,,,36-50,,Offensive rebound by K. Thompson
4:22.0,,,36-52,2,B. Rush makes 2-pt shot at rim (assist by D. Green)
3:59.0,S. Vujacic misses 3-pt shot from 26 ft,,36-52,,
3:58.0,Offensive rebound by K. Seraphin,,36-52,,
3:53.0,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Calderon),3,39-52,,
3:37.0,,,39-54,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry)
3:24.0,Turnover by S. Vujacic (lost ball; steal by B. Rush),,39-54,,
3:18.0,,,39-54,,Turnover by B. Rush (lost ball; steal by A. Afflalo)
3:04.0,K. Seraphin misses 2-pt shot from 11 ft,,39-54,,
3:03.0,Offensive rebound by A. Afflalo,,39-54,,
3:01.0,C. Anthony makes 3-pt shot from 25 ft (assist by A. Afflalo),3,42-54,,
2:47.0,,,42-57,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut)
2:29.0,A. Afflalo misses 2-pt shot from 11 ft (block by B. Rush),,42-57,,
2:29.0,,,42-57,,Defensive rebound by S. Curry
2:21.0,,,42-57,,B. Rush misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by S. Vujacic,,42-57,,
2:18.0,,,42-57,,Personal foul by A. Bogut
2:18.0,Official timeout,,42-57,,
2:18.0,,,42-57,,H. Barnes enters the game for B. Rush
2:18.0,L. Galloway enters the game for J. Calderon,,42-57,,
2:10.0,S. Vujacic misses 2-pt shot from 19 ft,,42-57,,
2:08.0,,,42-57,,Defensive rebound by D. Green
1:48.0,,,42-57,,D. Green misses 2-pt shot from 6 ft
1:47.0,Defensive rebound by A. Afflalo,,42-57,,
1:32.0,Turnover by C. Anthony (bad pass),,42-57,,
1:25.0,,,42-59,2,S. Curry makes 2-pt shot from 11 ft
1:10.0,A. Afflalo makes 2-pt shot from 6 ft (assist by C. Anthony),2,44-59,,
1:10.0,Shooting foul by S. Curry (drawn by A. Afflalo),,44-59,,
1:10.0,R. Lopez enters the game for K. Seraphin,,44-59,,
1:10.0,A. Afflalo misses free throw 1 of 1,,44-59,,
1:10.0,,,44-59,,Defensive rebound by D. Green
0:52.0,,,44-59,,K. Thompson misses 2-pt shot from 18 ft
0:51.0,,,44-59,,Offensive rebound by K. Thompson
0:46.0,,,44-59,,H. Barnes misses 3-pt shot from 22 ft
0:46.0,,,44-59,,Offensive rebound by A. Bogut
0:44.0,,,44-62,3,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut)
0:33.0,C. Anthony makes 2-pt shot from 12 ft,2,46-62,,
0:17.0,,,46-62,,S. Curry misses 3-pt shot from 27 ft
0:17.0,Defensive rebound by Team,,46-62,,
0:16.0,,,46-62,,A. Varejao enters the game for A. Bogut
0:16.0,,,46-62,,I. Clark enters the game for S. Curry
0:06.0,L. Galloway misses 2-pt shot from 19 ft,,46-62,,
0:03.0,,,46-62,,Defensive rebound by K. Thompson
0:01.0,,,46-62,,K. Thompson misses 3-pt shot from 62 ft
0:00.0,,,46-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Personal foul by C. Anthony,,46-62,,
11:45.0,,,46-63,1,H. Barnes makes free throw 1 of 2
11:45.0,,,46-64,1,H. Barnes makes free throw 2 of 2
11:34.0,Turnover by C. Anthony (traveling),,46-64,,
11:19.0,,,46-64,,S. Curry misses 2-pt shot from 17 ft
11:18.0,,,46-64,,Offensive rebound by H. Barnes
11:03.0,,,46-64,,K. Thompson misses 2-pt shot from 9 ft
11:02.0,Defensive rebound by K. Porzingis,,46-64,,
10:49.0,K. Porzingis misses 3-pt shot from 22 ft,,46-64,,
10:48.0,Offensive rebound by R. Lopez,,46-64,,
10:47.0,S. Vujacic misses 3-pt shot from 25 ft,,46-64,,
10:44.0,,,46-64,,Defensive rebound by D. Green
10:30.0,,,46-67,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
10:03.0,Turnover by Team (shot clock),,46-67,,
9:56.0,,,46-67,,Turnover by S. Curry (lost ball; steal by J. Calderon)
9:52.0,K. Porzingis misses 2-pt shot from 1 ft (block by D. Green),,46-67,,
9:49.0,,,46-67,,Defensive rebound by D. Green
9:45.0,Personal foul by J. Calderon,,46-67,,
9:45.0,L. Galloway enters the game for J. Calderon,,46-67,,
9:45.0,D. Williams enters the game for K. Porzingis,,46-67,,
9:42.0,,,46-69,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
9:11.0,R. Lopez makes 2-pt shot from 12 ft (assist by S. Vujacic),2,48-69,,
8:55.0,,,48-69,,Turnover by K. Thompson (lost ball; steal by S. Vujacic)
8:53.0,,,48-69,,Personal foul by D. Green
8:42.0,L. Galloway misses 2-pt shot from 19 ft,,48-69,,
8:42.0,,,48-69,,Defensive rebound by D. Green
8:40.0,,,48-71,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
8:39.0,New York full timeout,,48-71,,
8:39.0,A. Afflalo enters the game for S. Vujacic,,48-71,,
8:25.0,Turnover by R. Lopez (3 sec),,48-71,,
8:12.0,,,48-71,,K. Thompson misses 2-pt shot from 20 ft
8:12.0,Defensive rebound by R. Lopez,,48-71,,
8:03.0,C. Anthony misses 2-pt shot from 18 ft,,48-71,,
8:02.0,,,48-71,,Defensive rebound by S. Curry
7:47.0,,,48-74,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
7:30.0,A. Afflalo misses 2-pt shot from 2 ft (block by A. Bogut),,48-74,,
7:29.0,,,48-74,,Defensive rebound by D. Green
7:23.0,,,48-74,,S. Curry misses 3-pt shot from 22 ft
7:21.0,Defensive rebound by C. Anthony,,48-74,,
7:04.0,A. Afflalo misses 3-pt shot from 26 ft,,48-74,,
7:04.0,,,48-74,,Defensive rebound by S. Curry
7:00.0,,,48-76,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
6:59.0,New York full timeout,,48-76,,
6:59.0,K. Seraphin enters the game for R. Lopez,,48-76,,
6:59.0,J. Grant enters the game for D. Williams,,48-76,,
6:43.0,C. Anthony makes 2-pt shot from 12 ft (assist by K. Seraphin),2,50-76,,
6:24.0,,,50-78,2,H. Barnes makes 2-pt shot from 8 ft
6:10.0,C. Anthony makes 3-pt shot from 26 ft (assist by L. Galloway),3,53-78,,
5:48.0,,,53-78,,D. Green misses 2-pt shot at rim
5:48.0,,,53-78,,Offensive rebound by D. Green
5:48.0,,,53-80,2,D. Green makes 2-pt shot at rim
5:28.0,L. Galloway makes 2-pt shot from 18 ft (assist by C. Anthony),2,55-80,,
5:20.0,,,55-80,,Turnover by D. Green (traveling)
5:09.0,L. Galloway makes 2-pt shot from 20 ft (assist by K. Seraphin),2,57-80,,
4:46.0,,,57-83,3,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut)
4:33.0,Shooting foul by A. Bogut (drawn by K. Seraphin),,57-83,,
4:33.0,K. Seraphin makes free throw 1 of 2,1,58-83,,
4:33.0,,,58-83,,L. Barbosa enters the game for K. Thompson
4:33.0,K. Seraphin makes free throw 2 of 2,1,59-83,,
4:16.0,,,59-83,,S. Curry misses 2-pt shot from 3 ft
4:16.0,Defensive rebound by J. Grant,,59-83,,
4:09.0,L. Galloway makes 3-pt shot from 25 ft (assist by C. Anthony),3,62-83,,
4:01.0,,,62-83,,Shooting foul by C. Anthony (drawn by S. Curry)
4:01.0,,,62-84,1,S. Curry makes free throw 1 of 2
4:01.0,,,62-84,,S. Livingston enters the game for H. Barnes
4:01.0,,,62-85,1,S. Curry makes free throw 2 of 2
3:44.0,K. Seraphin misses 2-pt shot from 6 ft,,62-85,,
3:42.0,,,62-85,,Defensive rebound by Team
3:29.0,,,62-87,2,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut)
3:08.0,L. Galloway misses 2-pt shot from 21 ft,,62-87,,
3:07.0,,,62-87,,Defensive rebound by A. Bogut
2:53.0,,,62-87,,S. Curry misses 2-pt shot from 2 ft
2:52.0,Defensive rebound by K. Seraphin,,62-87,,
2:40.0,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Grant),2,64-87,,
2:16.0,,,64-89,2,A. Bogut makes 2-pt shot from 7 ft (assist by D. Green)
1:57.0,J. Grant misses 3-pt shot from 22 ft,,64-89,,
1:57.0,,,64-89,,Defensive rebound by S. Livingston
1:54.0,,,64-91,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
1:54.0,New York full timeout,,64-91,,
1:54.0,,,64-91,,M. Speights enters the game for A. Bogut
1:54.0,K. Porzingis enters the game for C. Anthony,,64-91,,
1:32.0,L. Galloway misses 3-pt shot from 25 ft,,64-91,,
1:31.0,,,64-91,,Defensive rebound by S. Curry
1:13.0,,,64-91,,D. Green misses 2-pt shot from 1 ft (block by K. Porzingis)
1:11.0,,,64-91,,Offensive rebound by S. Livingston
1:07.0,,,64-94,3,S. Curry makes 3-pt shot from 25 ft (assist by M. Speights)
0:42.0,L. Galloway misses 2-pt shot from 8 ft,,64-94,,
0:41.0,Offensive rebound by J. Grant,,64-94,,
0:37.0,K. Porzingis misses 2-pt shot from 6 ft,,64-94,,
0:37.0,,,64-94,,Defensive rebound by S. Livingston
0:26.0,,,64-97,3,S. Curry makes 3-pt shot from 23 ft (assist by L. Barbosa)
0:04.0,K. Porzingis misses 2-pt shot from 17 ft,,64-97,,
0:02.0,,,64-97,,Defensive rebound by D. Green
0:00.0,,,64-97,,D. Green misses 3-pt shot from 68 ft
0:00.0,,,64-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Grant makes 2-pt shot from 19 ft (assist by K. Porzingis),2,66-97,,
11:32.0,,,66-97,,L. Barbosa misses 2-pt shot from 17 ft
11:31.0,Defensive rebound by K. Porzingis,,66-97,,
11:20.0,K. Porzingis misses 2-pt shot from 4 ft,,66-97,,
11:19.0,,,66-97,,Defensive rebound by L. Barbosa
11:06.0,,,66-97,,L. Barbosa misses 2-pt shot from 2 ft
11:05.0,,,66-97,,Offensive rebound by H. Barnes
11:05.0,,,66-97,,Shooting foul by L. Galloway (drawn by H. Barnes)
11:05.0,,,66-98,1,H. Barnes makes free throw 1 of 2
11:05.0,,,66-99,1,H. Barnes makes free throw 2 of 2
10:53.0,A. Afflalo makes 2-pt shot from 2 ft,2,68-99,,
10:40.0,,,68-99,,H. Barnes misses 3-pt shot from 23 ft
10:38.0,,,68-99,,Offensive rebound by H. Barnes
10:32.0,,,68-99,,M. Speights misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by K. Porzingis,,68-99,,
10:22.0,K. Seraphin misses 2-pt shot at rim (block by M. Speights),,68-99,,
10:21.0,,,68-99,,Defensive rebound by S. Livingston
10:18.0,,,68-99,,Turnover by H. Barnes (palming)
10:06.0,K. Seraphin misses 2-pt shot from 14 ft,,68-99,,
10:05.0,,,68-99,,Defensive rebound by B. Rush
9:56.0,,,68-99,,L. Barbosa misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by J. Grant,,68-99,,
9:45.0,K. Porzingis misses 3-pt shot from 24 ft,,68-99,,
9:45.0,,,68-99,,Defensive rebound by B. Rush
9:34.0,,,68-102,3,M. Speights makes 3-pt shot from 29 ft (assist by S. Livingston)
9:18.0,A. Afflalo makes 2-pt shot from 10 ft (assist by K. Porzingis),2,70-102,,
9:04.0,,,70-102,,B. Rush misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by K. Porzingis,,70-102,,
8:47.0,K. Seraphin misses 2-pt shot from 11 ft,,70-102,,
8:46.0,,,70-102,,Defensive rebound by L. Barbosa
8:38.0,,,70-102,,M. Speights misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by K. Porzingis,,70-102,,
8:26.0,L. Galloway misses 3-pt shot from 25 ft,,70-102,,
8:26.0,,,70-102,,Defensive rebound by M. Speights
8:26.0,,,70-102,,Golden State full timeout
8:26.0,L. Amundson enters the game for K. Seraphin,,70-102,,
8:26.0,,,70-102,,A. Varejao enters the game for L. Barbosa
8:26.0,,,70-102,,I. Clark enters the game for M. Speights
8:26.0,,,70-102,,K. Thompson enters the game for S. Livingston
8:11.0,Personal foul by L. Galloway,,70-102,,
7:57.0,,,70-104,2,K. Thompson makes 2-pt shot from 10 ft
7:37.0,L. Amundson misses 2-pt shot from 3 ft (block by A. Varejao),,70-104,,
7:37.0,Offensive rebound by L. Amundson,,70-104,,
7:37.0,Shooting foul by H. Barnes (drawn by L. Amundson),,70-104,,
7:37.0,L. Amundson makes free throw 1 of 2,1,71-104,,
7:37.0,,,71-104,,J. McAdoo enters the game for B. Rush
7:37.0,L. Amundson makes free throw 2 of 2,1,72-104,,
7:25.0,Personal foul by K. Porzingis,,72-104,,
7:18.0,,,72-106,2,J. McAdoo makes 2-pt shot from 17 ft (assist by I. Clark)
7:03.0,J. Grant misses 3-pt shot from 24 ft,,72-106,,
7:02.0,,,72-106,,Defensive rebound by H. Barnes
6:49.0,,,72-108,2,A. Varejao makes 2-pt shot from 4 ft
6:49.0,,,72-108,,Shooting foul by K. Porzingis (drawn by A. Varejao)
6:49.0,,,72-108,,A. Varejao misses free throw 1 of 1
6:49.0,Defensive rebound by K. Porzingis,,72-108,,
6:29.0,J. Grant makes 2-pt shot from 21 ft,2,74-108,,
6:16.0,,,74-108,,K. Thompson misses 3-pt shot from 25 ft
6:16.0,,,74-108,,Offensive rebound by Team
6:14.0,,,74-108,,L. Barbosa enters the game for K. Thompson
6:09.0,,,74-110,2,I. Clark makes 2-pt shot from 17 ft
6:00.0,,,74-110,,Personal foul by J. McAdoo
6:00.0,,,74-110,,B. Rush enters the game for H. Barnes
5:44.0,A. Afflalo misses 2-pt shot from 18 ft,,74-110,,
5:43.0,,,74-110,,Defensive rebound by Team
5:42.0,Official timeout,,74-110,,
5:19.0,,,74-110,,Turnover by J. McAdoo (lost ball; steal by J. Grant)
5:13.0,J. Grant makes 2-pt shot from 1 ft,2,76-110,,
4:49.0,,,76-112,2,I. Clark makes 2-pt shot from 20 ft (assist by A. Varejao)
4:33.0,L. Galloway makes 2-pt shot from 1 ft (assist by J. Grant),2,78-112,,
4:08.0,,,78-112,,J. McAdoo misses 2-pt shot from 1 ft (block by L. Amundson)
4:08.0,,,78-112,,Offensive rebound by Team
4:08.0,S. Vujacic enters the game for A. Afflalo,,78-112,,
4:07.0,,,78-112,,B. Rush misses 2-pt shot from 2 ft (block by L. Amundson)
4:07.0,,,78-112,,Offensive rebound by Team
4:07.0,,,78-112,,Turnover by Team (shot clock)
3:50.0,Turnover by L. Amundson (lost ball; steal by I. Clark),,78-112,,
3:47.0,,,78-112,,Turnover by I. Clark (lost ball; steal by J. Grant)
3:42.0,J. Grant misses 2-pt shot from 2 ft (block by A. Varejao),,78-112,,
3:42.0,Offensive rebound by Team,,78-112,,
3:42.0,,,78-112,,M. Speights enters the game for A. Varejao
3:36.0,K. Porzingis misses 2-pt shot from 9 ft,,78-112,,
3:36.0,,,78-112,,Defensive rebound by Team
3:36.0,Personal foul by L. Amundson,,78-112,,
3:36.0,,,78-113,1,M. Speights makes free throw 1 of 2
3:36.0,,,78-114,1,M. Speights makes free throw 2 of 2
3:19.0,Turnover by K. Porzingis (bad pass),,78-114,,
3:08.0,,,78-114,,Turnover by M. Speights (bad pass)
2:54.0,L. Amundson misses 2-pt shot from 15 ft,,78-114,,
2:53.0,,,78-114,,Defensive rebound by J. McAdoo
2:46.0,,,78-114,,Turnover by M. Speights (bad pass)
2:44.0,New York full timeout,,78-114,,
2:33.0,Turnover by L. Galloway (lost ball; steal by J. McAdoo),,78-114,,
2:14.0,,,78-114,,M. Speights misses 2-pt shot from 16 ft
2:13.0,Defensive rebound by K. Porzingis,,78-114,,
2:04.0,L. Galloway makes 3-pt shot from 25 ft (assist by K. Porzingis),3,81-114,,
1:45.0,,,81-116,2,B. Rush makes 2-pt shot from 13 ft (assist by J. McAdoo)
1:29.0,S. Vujacic makes 2-pt shot from 19 ft (assist by L. Galloway),2,83-116,,
1:12.0,,,83-116,,I. Clark misses 2-pt shot from 9 ft
1:11.0,,,83-116,,Offensive rebound by M. Speights
1:09.0,,,83-119,3,J. McAdoo makes 3-pt shot from 27 ft (assist by M. Speights)
1:09.0,,,83-119,,Violation by Team (jump ball)
0:55.0,K. Porzingis misses 2-pt shot from 11 ft,,83-119,,
0:55.0,Offensive rebound by S. Vujacic,,83-119,,
0:47.0,S. Vujacic misses 3-pt shot from 28 ft,,83-119,,
0:46.0,Offensive rebound by L. Amundson,,83-119,,
0:42.0,J. Grant makes 2-pt shot from 19 ft (assist by L. Amundson),2,85-119,,
