time,Miami,pts.away,score,pts.home,Phoenix
4:27.0,,,39-33,,Defensive rebound by T. Chandler
4:18.0,,,39-33,,T. Warren misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by H. Whiteside,,39-33,,
4:04.0,G. Dragic makes 2-pt shot from 9 ft,2,41-33,,
3:38.0,,,41-33,,B. Knight misses 2-pt shot from 12 ft
3:35.0,Defensive rebound by G. Green,,41-33,,
3:18.0,Shooting foul by T. Warren (drawn by L. Deng),,41-33,,
3:18.0,L. Deng makes free throw 1 of 2,1,42-33,,
3:18.0,,,42-33,,J. Leuer enters the game for M. Teletovic
3:18.0,L. Deng makes free throw 2 of 2,1,43-33,,
2:58.0,,,43-33,,Shooting foul by D. Wade (drawn by P. Tucker)
2:58.0,,,43-34,1,P. Tucker makes free throw 1 of 2
2:58.0,,,43-34,,P. Tucker misses free throw 2 of 2
2:57.0,Defensive rebound by H. Whiteside,,43-34,,
2:38.0,D. Wade makes 2-pt shot at rim,2,45-34,,
2:18.0,,,45-36,2,B. Knight makes 2-pt shot from 4 ft
1:57.0,G. Dragic misses 3-pt shot from 24 ft,,45-36,,
1:55.0,,,45-36,,Defensive rebound by T. Chandler
1:49.0,,,45-38,2,B. Knight makes 2-pt shot from 5 ft
1:26.0,G. Dragic makes 2-pt shot from 15 ft,2,47-38,,
1:15.0,,,47-38,,Turnover by B. Knight (bad pass; steal by L. Deng)
1:12.0,Shooting foul by J. Leuer (drawn by D. Wade),,47-38,,
1:12.0,D. Wade makes free throw 1 of 2,1,48-38,,
1:12.0,C. Bosh enters the game for H. Whiteside,,48-38,,
1:12.0,D. Wade makes free throw 2 of 2,1,49-38,,
1:02.0,,,49-38,,B. Knight misses 2-pt shot from 16 ft
1:00.0,,,49-38,,Offensive rebound by T. Chandler
0:59.0,,,49-40,2,T. Chandler makes 2-pt shot at rim
0:46.0,C. Bosh misses 2-pt shot from 16 ft,,49-40,,
0:44.0,,,49-40,,Defensive rebound by B. Knight
0:36.0,Personal foul by G. Dragic (drawn by T. Chandler),,49-40,,
0:36.0,,,49-40,,Phoenix full timeout
0:36.0,J. Winslow enters the game for G. Dragic,,49-40,,
0:33.0,,,49-40,,B. Knight misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by L. Deng,,49-40,,
0:25.0,Miami full timeout,,49-40,,
0:25.0,G. Dragic enters the game for J. Winslow,,49-40,,
0:13.0,C. Bosh makes 2-pt shot from 6 ft (assist by D. Wade),2,51-40,,
0:01.0,,,51-40,,Turnover by P. Tucker (lost ball)
0:01.0,,,51-40,,Loose ball foul by P. Tucker (drawn by G. Green)
0:01.0,G. Green makes free throw 1 of 2,1,52-40,,
0:01.0,G. Green makes free throw 2 of 2,1,53-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,53-42,2,J. Leuer makes 2-pt shot from 11 ft
11:24.0,L. Deng misses 2-pt shot from 20 ft,,53-42,,
11:22.0,,,53-42,,Defensive rebound by J. Leuer
11:03.0,,,53-44,2,P. Tucker makes 2-pt shot from 4 ft
10:49.0,H. Whiteside makes 2-pt shot from 4 ft (assist by G. Dragic),2,55-44,,
10:49.0,Shooting foul by T. Chandler (drawn by H. Whiteside),,55-44,,
10:49.0,H. Whiteside misses free throw 1 of 1,,55-44,,
10:48.0,,,55-44,,Defensive rebound by J. Leuer
10:31.0,,,55-44,,Offensive foul by J. Leuer
10:31.0,,,55-44,,Turnover by J. Leuer (offensive foul)
10:16.0,H. Whiteside misses 2-pt shot from 16 ft,,55-44,,
10:14.0,,,55-44,,Defensive rebound by J. Leuer
10:09.0,,,55-46,2,T. Chandler makes 2-pt shot at rim (assist by B. Knight)
9:43.0,L. Deng makes 2-pt shot from 7 ft (assist by G. Dragic),2,57-46,,
9:33.0,,,57-46,,D. Booker misses 3-pt shot from 25 ft
9:31.0,,,57-46,,Offensive rebound by J. Leuer
9:27.0,,,57-46,,J. Leuer misses 2-pt shot from 8 ft
9:25.0,Defensive rebound by H. Whiteside,,57-46,,
9:02.0,C. Bosh misses 2-pt shot from 17 ft,,57-46,,
9:00.0,Offensive rebound by H. Whiteside,,57-46,,
8:58.0,H. Whiteside misses 2-pt shot from 1 ft,,57-46,,
8:53.0,,,57-46,,Defensive rebound by T. Chandler
8:51.0,Personal foul by G. Dragic (drawn by B. Knight),,57-46,,
8:51.0,,,57-47,1,B. Knight makes free throw 1 of 2
8:51.0,,,57-48,1,B. Knight makes free throw 2 of 2
8:37.0,H. Whiteside misses 2-pt shot from 2 ft,,57-48,,
8:34.0,,,57-48,,Defensive rebound by P. Tucker
8:29.0,,,57-51,3,B. Knight makes 3-pt shot from 24 ft
8:28.0,Miami full timeout,,57-51,,
8:10.0,D. Wade makes 2-pt shot from 18 ft,2,59-51,,
7:52.0,,,59-53,2,B. Knight makes 2-pt shot from 13 ft (assist by J. Leuer)
7:52.0,,,59-53,,Shooting foul by G. Dragic (drawn by B. Knight)
7:52.0,,,59-54,1,B. Knight makes free throw 1 of 1
7:28.0,Turnover by Team (shot clock),,59-54,,
7:14.0,,,59-54,,J. Leuer misses 3-pt shot from 23 ft
7:12.0,,,59-54,,Offensive rebound by D. Booker
7:03.0,,,59-54,,B. Knight misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by L. Deng,,59-54,,
6:42.0,D. Wade misses 2-pt shot from 17 ft,,59-54,,
6:41.0,Offensive rebound by H. Whiteside,,59-54,,
6:40.0,Turnover by H. Whiteside (lost ball; steal by P. Tucker),,59-54,,
6:37.0,,,59-56,2,D. Booker makes 2-pt shot from 1 ft (assist by P. Tucker)
6:37.0,,,59-56,,Shooting foul by L. Deng (drawn by D. Booker)
6:37.0,,,59-57,1,D. Booker makes free throw 1 of 1
6:23.0,C. Bosh misses 3-pt shot from 23 ft,,59-57,,
6:21.0,,,59-57,,Defensive rebound by J. Leuer
6:16.0,,,59-60,3,D. Booker makes 3-pt shot from 24 ft (assist by B. Knight)
6:16.0,,,59-60,,Shooting foul by C. Bosh (drawn by D. Booker)
6:16.0,G. Green enters the game for H. Whiteside,,59-60,,
6:16.0,,,59-61,1,D. Booker makes free throw 1 of 1
6:01.0,C. Bosh misses 2-pt shot from 18 ft,,59-61,,
5:59.0,,,59-61,,Defensive rebound by J. Leuer
5:49.0,,,59-63,2,D. Booker makes 2-pt shot from 12 ft
5:35.0,Turnover by D. Wade (bad pass; steal by T. Chandler),,59-63,,
5:28.0,,,59-65,2,D. Booker makes 2-pt shot from 1 ft
5:28.0,Miami full timeout,,59-65,,
5:09.0,D. Wade makes 2-pt shot from 3 ft,2,61-65,,
4:49.0,,,61-65,,B. Knight misses 2-pt shot from 18 ft
4:48.0,Defensive rebound by L. Deng,,61-65,,
4:35.0,C. Bosh makes 3-pt shot from 24 ft (assist by L. Deng),3,64-65,,
4:13.0,,,64-65,,Turnover by D. Booker (bad pass; steal by G. Dragic)
4:08.0,G. Green makes 2-pt shot at rim (assist by G. Dragic),2,66-65,,
4:08.0,,,66-65,,Phoenix full timeout
4:08.0,T. Johnson enters the game for D. Wade,,66-65,,
4:08.0,,,66-65,,A. Len enters the game for T. Chandler
3:55.0,,,66-65,,Turnover by J. Leuer (lost ball; steal by C. Bosh)
3:50.0,L. Deng misses 2-pt shot from 1 ft,,66-65,,
3:47.0,,,66-65,,Defensive rebound by J. Leuer
3:40.0,,,66-65,,Turnover by B. Knight (bad pass)
3:22.0,L. Deng makes 2-pt shot at rim (assist by C. Bosh),2,68-65,,
3:09.0,,,68-65,,D. Booker misses 2-pt shot from 16 ft
3:07.0,Defensive rebound by L. Deng,,68-65,,
3:01.0,G. Dragic makes 2-pt shot from 5 ft,2,70-65,,
2:41.0,,,70-67,2,B. Knight makes 2-pt shot from 2 ft
2:36.0,G. Dragic makes 2-pt shot from 2 ft (assist by L. Deng),2,72-67,,
2:13.0,,,72-69,2,J. Leuer makes 2-pt shot from 3 ft (assist by B. Knight)
1:55.0,G. Green misses 3-pt shot from 24 ft,,72-69,,
1:53.0,,,72-69,,Defensive rebound by P. Tucker
1:42.0,,,72-71,2,A. Len makes 2-pt shot from 15 ft
1:26.0,C. Bosh makes 2-pt shot from 18 ft (assist by G. Dragic),2,74-71,,
1:14.0,,,74-71,,D. Booker misses 2-pt shot from 13 ft
1:13.0,Defensive rebound by G. Green,,74-71,,
1:13.0,,,74-71,,Personal foul by A. Len (drawn by G. Green)
1:13.0,D. Wade enters the game for C. Bosh,,74-71,,
1:13.0,A. Stoudemire enters the game for G. Dragic,,74-71,,
1:12.0,,,74-71,,M. Teletovic enters the game for J. Leuer
1:01.0,D. Wade misses 2-pt shot from 5 ft,,74-71,,
1:00.0,,,74-71,,Defensive rebound by P. Tucker
0:55.0,,,74-71,,D. Booker misses 3-pt shot from 25 ft
0:53.0,,,74-71,,Offensive rebound by P. Tucker
0:53.0,,,74-71,,P. Tucker misses 2-pt shot at rim
0:50.0,Defensive rebound by L. Deng,,74-71,,
0:45.0,G. Green makes 3-pt shot from 22 ft (assist by T. Johnson),3,77-71,,
0:27.0,,,77-73,2,B. Knight makes 2-pt shot from 21 ft
0:11.0,G. Green misses 3-pt shot from 24 ft,,77-73,,
0:09.0,,,77-73,,Defensive rebound by P. Tucker
0:03.0,,,77-73,,M. Teletovic misses 3-pt shot from 25 ft
0:01.0,,,77-73,,Offensive rebound by P. Tucker
0:00.0,,,77-73,,P. Tucker misses 2-pt shot from 1 ft
0:00.0,,,77-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Stoudemire misses 2-pt shot from 2 ft (block by A. Len),,77-73,,
11:44.0,Jump ball: A. Len vs. A. Stoudemire,,,,Jump ball: A. Len vs. A. Stoudemire
11:44.0,,,77-73,,Offensive rebound by Team
11:33.0,,,77-73,,T. Warren misses 2-pt shot from 17 ft (block by D. Wade)
11:31.0,Defensive rebound by J. Winslow,,77-73,,
11:20.0,Turnover by D. Wade (bad pass),,77-73,,
11:05.0,,,77-73,,D. Booker misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by D. Wade,,77-73,,
10:53.0,G. Green makes 2-pt shot from 15 ft (assist by T. Johnson),2,79-73,,
10:29.0,,,79-73,,A. Len misses 2-pt shot from 4 ft (block by T. Johnson)
10:27.0,Defensive rebound by A. Stoudemire,,79-73,,
10:27.0,,,79-73,,Personal take foul by D. Booker (drawn by D. Wade)
10:27.0,,,79-73,,A. Goodwin enters the game for B. Knight
10:27.0,,,79-73,,P. Tucker enters the game for A. Len
10:06.0,T. Johnson misses 2-pt shot from 1 ft,,79-73,,
10:03.0,,,79-73,,Defensive rebound by A. Goodwin
10:00.0,,,79-76,3,M. Teletovic makes 3-pt shot from 24 ft (assist by A. Goodwin)
9:40.0,Shooting foul by M. Teletovic (drawn by G. Green),,79-76,,
9:40.0,G. Green misses free throw 1 of 2,,79-76,,
9:40.0,Offensive rebound by Team,,79-76,,
9:40.0,G. Green makes free throw 2 of 2,1,80-76,,
9:27.0,,,80-76,,D. Booker misses 2-pt shot at rim
9:25.0,Defensive rebound by J. Winslow,,80-76,,
9:23.0,Turnover by D. Wade (bad pass),,80-76,,
9:10.0,,,80-79,3,M. Teletovic makes 3-pt shot from 24 ft (assist by A. Goodwin)
8:52.0,,,80-79,,Personal foul by M. Teletovic (drawn by A. Stoudemire)
8:52.0,Official timeout,,80-79,,
8:41.0,D. Wade misses 2-pt shot from 18 ft,,80-79,,
8:39.0,,,80-79,,Defensive rebound by A. Goodwin
8:25.0,,,80-81,2,A. Goodwin makes 2-pt shot from 1 ft
8:08.0,Turnover by D. Wade (lost ball; steal by M. Teletovic),,80-81,,
8:01.0,,,80-83,2,A. Goodwin makes 2-pt shot at rim (assist by M. Teletovic)
8:01.0,Miami full timeout,,80-83,,
8:01.0,C. Bosh enters the game for D. Wade,,80-83,,
8:01.0,G. Dragic enters the game for A. Stoudemire,,80-83,,
7:44.0,,,80-83,,Def 3 sec tech foul by M. Teletovic
7:44.0,C. Bosh misses technical free throw,,80-83,,
7:44.0,Offensive rebound by Team,,80-83,,
7:38.0,G. Dragic misses 2-pt shot from 21 ft,,80-83,,
7:36.0,,,80-83,,Defensive rebound by D. Booker
7:12.0,,,80-83,,T. Warren misses 2-pt shot from 1 ft
7:10.0,Defensive rebound by G. Green,,80-83,,
7:05.0,G. Dragic misses 3-pt shot from 22 ft,,80-83,,
7:03.0,,,80-83,,Defensive rebound by M. Teletovic
6:58.0,,,80-83,,M. Teletovic misses 3-pt shot from 26 ft
6:56.0,,,80-83,,Offensive rebound by T. Warren
6:55.0,Personal foul by G. Green (drawn by T. Warren),,80-83,,
6:46.0,,,80-83,,T. Warren misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by J. Winslow,,80-83,,
6:41.0,Shooting foul by A. Goodwin (drawn by G. Dragic),,80-83,,
6:41.0,G. Dragic makes free throw 1 of 2,1,81-83,,
6:41.0,,,81-83,,B. Knight enters the game for T. Warren
6:41.0,G. Dragic misses free throw 2 of 2,,81-83,,
6:40.0,,,81-83,,Defensive rebound by D. Booker
6:20.0,,,81-85,2,P. Tucker makes 2-pt shot from 3 ft
5:54.0,G. Dragic makes 2-pt shot from 1 ft,2,83-85,,
5:45.0,,,83-87,2,B. Knight makes 2-pt shot from 2 ft
5:22.0,T. Johnson misses 3-pt shot from 24 ft,,83-87,,
5:20.0,,,83-87,,Defensive rebound by D. Booker
5:06.0,,,83-87,,Turnover by P. Tucker (lost ball; steal by C. Bosh)
4:55.0,G. Dragic makes 3-pt shot from 23 ft (assist by G. Green),3,86-87,,
4:41.0,,,86-87,,B. Knight misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by J. Winslow,,86-87,,
4:35.0,G. Green makes 3-pt shot from 25 ft (assist by G. Dragic),3,89-87,,
4:34.0,,,89-87,,Phoenix full timeout
4:34.0,,,89-87,,T. Chandler enters the game for A. Goodwin
4:34.0,D. Wade enters the game for T. Johnson,,89-87,,
4:25.0,,,89-87,,Turnover by B. Knight (bad pass)
4:05.0,C. Bosh misses 2-pt shot from 1 ft,,89-87,,
4:00.0,,,89-87,,Defensive rebound by T. Chandler
3:54.0,,,89-87,,Turnover by B. Knight (bad pass; steal by J. Winslow)
3:52.0,Shooting foul by D. Booker (drawn by D. Wade),,89-87,,
3:52.0,D. Wade makes free throw 1 of 2,1,90-87,,
3:52.0,D. Wade makes free throw 2 of 2,1,91-87,,
3:28.0,,,91-87,,P. Tucker misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by C. Bosh,,91-87,,
3:11.0,G. Dragic misses 2-pt shot from 1 ft,,91-87,,
3:08.0,Offensive rebound by D. Wade,,91-87,,
3:08.0,D. Wade makes 2-pt shot at rim,2,93-87,,
2:49.0,,,93-89,2,D. Booker makes 2-pt shot from 15 ft
2:25.0,D. Wade makes 2-pt shot from 17 ft,2,95-89,,
2:13.0,,,95-91,2,B. Knight makes 2-pt shot from 17 ft
1:51.0,C. Bosh makes 3-pt shot from 24 ft (assist by G. Green),3,98-91,,
1:38.0,,,98-91,,B. Knight misses 3-pt shot from 25 ft
1:36.0,,,98-91,,Offensive rebound by T. Chandler
1:34.0,,,98-91,,D. Booker misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by J. Winslow,,98-91,,
1:13.0,Shooting foul by D. Booker (drawn by D. Wade),,98-91,,
1:13.0,D. Wade makes free throw 1 of 2,1,99-91,,
1:13.0,,,99-91,,A. Len enters the game for M. Teletovic
1:13.0,D. Wade makes free throw 2 of 2,1,100-91,,
1:13.0,,,100-91,,Phoenix full timeout
1:13.0,,,100-91,,M. Teletovic enters the game for A. Len
1:02.0,,,100-91,,T. Chandler misses 2-pt shot from 2 ft
1:00.0,,,100-91,,Offensive rebound by D. Booker
