time,Orlando,pts.away,score,pts.home,Memphis
6:15.0,Shooting foul by Z. Randolph (drawn by A. Gordon),,70-71,,
6:15.0,A. Gordon makes free throw 1 of 2,1,71-71,,
6:15.0,A. Gordon makes free throw 2 of 2,1,72-71,,
5:54.0,,,72-71,,Z. Randolph misses 2-pt shot from 4 ft
5:50.0,Defensive rebound by T. Harris,,72-71,,
5:37.0,E. Payton makes 2-pt shot from 2 ft,2,74-71,,
5:29.0,Personal foul by E. Payton (drawn by M. Conley),,74-71,,
5:29.0,,,74-71,,Memphis full timeout
5:29.0,,,74-71,,R. Hollins enters the game for T. Allen
5:29.0,,,74-71,,J. Green enters the game for M. Gasol
5:14.0,,,74-73,2,R. Hollins makes 2-pt shot at rim (assist by M. Conley)
4:58.0,N. Vucevic makes 2-pt shot from 4 ft,2,76-73,,
4:45.0,,,76-73,,R. Hollins misses 2-pt shot at rim (block by N. Vucevic)
4:45.0,,,76-73,,Offensive rebound by Team
4:36.0,,,76-75,2,J. Green makes 2-pt shot from 7 ft
4:21.0,Turnover by E. Payton (traveling),,76-75,,
4:21.0,,,76-75,,M. Chalmers enters the game for M. Conley
4:03.0,,,76-75,,Turnover by Z. Randolph (lost ball)
3:52.0,Turnover by N. Vucevic (3 sec),,76-75,,
3:38.0,,,76-75,,C. Lee misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by A. Gordon,,76-75,,
3:18.0,E. Payton misses 2-pt shot from 19 ft,,76-75,,
3:18.0,,,76-75,,Defensive rebound by R. Hollins
3:07.0,,,76-75,,M. Chalmers misses 2-pt shot from 3 ft
3:05.0,,,76-75,,Offensive rebound by R. Hollins
3:05.0,,,76-77,2,R. Hollins makes 2-pt shot from 1 ft
2:50.0,E. Payton misses 2-pt shot from 6 ft,,76-77,,
2:48.0,,,76-77,,Defensive rebound by R. Hollins
2:45.0,,,76-79,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
2:45.0,Orlando full timeout,,76-79,,
2:45.0,V. Oladipo enters the game for T. Harris,,76-79,,
2:45.0,C. Frye enters the game for A. Gordon,,76-79,,
2:45.0,,,76-79,,M. Barnes enters the game for C. Lee
2:34.0,N. Vucevic misses 2-pt shot from 19 ft,,76-79,,
2:32.0,,,76-79,,Defensive rebound by J. Green
2:21.0,Personal foul by C. Frye (drawn by M. Chalmers),,76-79,,
2:18.0,Personal foul by C. Frye (drawn by Z. Randolph),,76-79,,
2:10.0,,,76-79,,J. Green misses 3-pt shot from 25 ft
2:09.0,,,76-79,,Offensive rebound by J. Green
1:45.0,,,76-79,,M. Barnes misses 3-pt shot from 26 ft
1:44.0,Defensive rebound by N. Vucevic,,76-79,,
1:25.0,C. Frye misses 3-pt shot from 24 ft,,76-79,,
1:25.0,,,76-79,,Defensive rebound by M. Barnes
1:14.0,J. Smith enters the game for N. Vucevic,,76-79,,
1:14.0,,,76-79,,M. Gasol enters the game for R. Hollins
1:06.0,,,76-79,,Shooting foul by V. Oladipo (drawn by J. Green)
1:06.0,,,76-79,,J. Green misses free throw 1 of 2
1:06.0,,,76-79,,Offensive rebound by Team
1:06.0,S. Napier enters the game for E. Payton,,76-79,,
1:06.0,,,76-80,1,J. Green makes free throw 2 of 2
0:55.0,J. Smith makes 2-pt shot from 3 ft (assist by V. Oladipo),2,78-80,,
0:43.0,,,78-80,,Turnover by M. Chalmers (bad pass)
0:43.0,,,78-80,,T. Allen enters the game for Z. Randolph
0:33.0,Turnover by C. Frye (bad pass),,78-80,,
0:33.0,,,78-80,,C. Lee enters the game for T. Allen
0:23.0,,,78-80,,J. Green misses 3-pt shot from 24 ft
0:22.0,,,78-80,,Offensive rebound by M. Barnes
0:06.0,,,78-80,,Turnover by M. Chalmers (lost ball)
0:06.0,,,78-80,,T. Allen enters the game for C. Lee
0:02.0,,,78-80,,Personal foul by M. Gasol (drawn by E. Fournier)
0:00.0,E. Fournier makes 3-pt shot from 27 ft (assist by J. Smith),3,81-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-80,,J. Green misses 2-pt shot from 1 ft
11:48.0,Defensive rebound by C. Frye,,81-80,,
11:48.0,,,81-80,,Loose ball foul by J. Green (drawn by C. Frye)
11:35.0,J. Smith makes 2-pt shot from 15 ft (assist by V. Oladipo),2,83-80,,
11:14.0,,,83-80,,M. Conley misses 2-pt shot from 6 ft
11:12.0,,,83-80,,Offensive rebound by T. Allen
11:08.0,,,83-80,,T. Allen misses 2-pt shot from 5 ft
11:08.0,,,83-80,,Offensive rebound by J. Green
11:08.0,,,83-82,2,J. Green makes 2-pt shot from 2 ft
10:54.0,Turnover by J. Smith (bad pass; steal by M. Gasol),,83-82,,
10:42.0,Personal foul by J. Smith (drawn by M. Gasol),,83-82,,
10:34.0,,,83-82,,Turnover by M. Conley (bad pass)
10:18.0,E. Fournier makes 2-pt shot from 1 ft,2,85-82,,
9:57.0,,,85-82,,M. Gasol misses 2-pt shot from 1 ft
9:56.0,,,85-82,,Offensive rebound by M. Barnes
9:56.0,,,85-82,,M. Barnes misses 2-pt shot from 1 ft
9:55.0,,,85-82,,Offensive rebound by M. Barnes
9:48.0,,,85-82,,M. Gasol misses 2-pt shot from 10 ft
9:46.0,Defensive rebound by V. Oladipo,,85-82,,
9:30.0,S. Napier misses 2-pt shot from 16 ft,,85-82,,
9:28.0,,,85-82,,Defensive rebound by Team
9:13.0,,,85-82,,T. Allen misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by S. Napier,,85-82,,
8:54.0,V. Oladipo makes 2-pt shot from 1 ft,2,87-82,,
8:54.0,,,87-82,,Memphis full timeout
8:54.0,,,87-82,,C. Lee enters the game for M. Barnes
8:40.0,,,87-84,2,M. Conley makes 2-pt shot from 9 ft
8:23.0,C. Frye misses 2-pt shot from 6 ft,,87-84,,
8:21.0,,,87-84,,Defensive rebound by J. Green
8:06.0,,,87-84,,M. Gasol misses 2-pt shot from 3 ft (block by C. Frye)
8:04.0,,,87-84,,Offensive rebound by M. Gasol
8:00.0,,,87-84,,J. Green misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by E. Fournier,,87-84,,
7:49.0,V. Oladipo misses 3-pt shot from 25 ft,,87-84,,
7:48.0,,,87-84,,Defensive rebound by M. Conley
7:41.0,,,87-84,,Memphis full timeout
7:41.0,T. Harris enters the game for C. Frye,,87-84,,
7:32.0,,,87-84,,C. Lee misses 2-pt shot from 5 ft
7:31.0,,,87-84,,Offensive rebound by M. Gasol
7:31.0,,,87-86,2,M. Gasol makes 2-pt shot from 2 ft
7:18.0,J. Smith misses 2-pt shot from 6 ft,,87-86,,
7:17.0,,,87-86,,Defensive rebound by T. Allen
7:08.0,Personal foul by J. Smith (drawn by M. Gasol),,87-86,,
7:08.0,,,87-86,,M. Barnes enters the game for J. Green
7:08.0,N. Vucevic enters the game for J. Smith,,87-86,,
6:58.0,,,87-86,,M. Gasol misses 2-pt shot from 5 ft
6:55.0,,,87-86,,Offensive rebound by T. Allen
6:48.0,,,87-88,2,T. Allen makes 2-pt shot from 1 ft
6:29.0,Turnover by V. Oladipo (traveling),,87-88,,
6:29.0,E. Payton enters the game for S. Napier,,87-88,,
6:13.0,,,87-90,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
5:54.0,E. Payton makes 2-pt shot from 1 ft,2,89-90,,
5:20.0,,,89-90,,M. Barnes misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by N. Vucevic,,89-90,,
5:11.0,Turnover by N. Vucevic (lost ball; steal by T. Allen),,89-90,,
5:08.0,,,89-92,2,T. Allen makes 2-pt shot from 2 ft
5:08.0,,,89-92,,Shooting foul by E. Payton (drawn by T. Allen)
5:08.0,,,89-92,,Memphis full timeout
5:08.0,,,89-92,,Z. Randolph enters the game for M. Barnes
5:08.0,,,89-92,,T. Allen misses free throw 1 of 1
5:07.0,Defensive rebound by N. Vucevic,,89-92,,
4:55.0,V. Oladipo misses 3-pt shot from 22 ft,,89-92,,
4:55.0,,,89-92,,Defensive rebound by M. Conley
4:41.0,,,89-94,2,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley)
4:14.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier),2,91-94,,
3:46.0,,,91-96,2,C. Lee makes 2-pt shot from 8 ft
3:23.0,N. Vucevic makes 2-pt shot from 5 ft (assist by V. Oladipo),2,93-96,,
3:02.0,,,93-96,,C. Lee misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by V. Oladipo,,93-96,,
2:46.0,N. Vucevic makes 2-pt shot from 6 ft (assist by T. Harris),2,95-96,,
2:18.0,,,95-96,,M. Gasol misses 2-pt shot from 8 ft
2:14.0,,,95-96,,Offensive rebound by Z. Randolph
1:55.0,,,95-96,,Z. Randolph misses 2-pt shot from 12 ft
1:55.0,Defensive rebound by E. Fournier,,95-96,,
1:54.0,Orlando full timeout,,95-96,,
1:54.0,,,95-96,,J. Green enters the game for Z. Randolph
1:37.0,N. Vucevic misses 2-pt shot from 18 ft,,95-96,,
1:37.0,,,95-96,,Defensive rebound by T. Allen
1:23.0,,,95-96,,M. Conley misses 2-pt shot from 17 ft
1:20.0,Defensive rebound by N. Vucevic,,95-96,,
1:13.0,Shooting foul by M. Conley (drawn by E. Payton),,95-96,,
1:13.0,E. Payton makes free throw 1 of 2,1,96-96,,
1:13.0,,,96-96,,Z. Randolph enters the game for T. Allen
1:13.0,E. Payton misses free throw 2 of 2,,96-96,,
1:12.0,,,96-96,,Defensive rebound by J. Green
0:50.0,,,96-96,,M. Gasol misses 2-pt shot from 16 ft
0:49.0,Defensive rebound by V. Oladipo,,96-96,,
0:28.0,E. Payton makes 2-pt shot from 2 ft,2,98-96,,
0:28.0,,,98-96,,Memphis full timeout
0:21.0,,,98-96,,Turnover by M. Gasol (lost ball; steal by E. Fournier)
0:18.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Fournier),2,100-96,,
0:14.0,,,100-98,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
0:14.0,Orlando full timeout,,100-98,,
0:14.0,,,100-98,,T. Allen enters the game for Z. Randolph
0:12.0,Turnover by E. Payton (bad pass; steal by J. Green),,100-98,,
0:01.0,,,100-100,2,J. Green makes 2-pt shot from 11 ft
