time,Oklahoma City,pts.away,score,pts.home,Miami
4:08.0,E. Kanter enters the game for S. Adams,,42-41,,
3:54.0,,,42-43,2,C. Bosh makes 2-pt shot from 17 ft
3:35.0,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Durant),3,45-43,,
3:18.0,,,45-43,,Offensive foul by H. Whiteside
3:18.0,,,45-43,,Turnover by H. Whiteside (offensive foul)
3:07.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,47-43,,
3:07.0,,,47-43,,Miami full timeout
2:48.0,,,47-43,,D. Wade misses 2-pt shot from 4 ft
2:47.0,Defensive rebound by A. Roberson,,47-43,,
2:44.0,Turnover by R. Westbrook (bad pass),,47-43,,
2:44.0,Technical foul by K. Durant,,47-43,,
2:44.0,,,47-44,1,D. Wade makes technical free throw
2:34.0,Personal foul by S. Ibaka (drawn by H. Whiteside),,47-44,,
2:21.0,,,47-44,,Shooting foul by A. Roberson (drawn by D. Wade)
2:21.0,,,47-44,,D. Wade misses free throw 1 of 2
2:21.0,,,47-44,,Offensive rebound by Team
2:21.0,,,47-44,,D. Wade misses free throw 2 of 2
2:20.0,Defensive rebound by S. Ibaka,,47-44,,
2:03.0,K. Durant makes 2-pt shot at rim,2,49-44,,
1:41.0,,,49-46,2,D. Wade makes 2-pt shot from 1 ft
1:24.0,R. Westbrook misses 2-pt shot from 14 ft,,49-46,,
1:23.0,,,49-46,,Defensive rebound by C. Bosh
1:11.0,,,49-48,2,C. Bosh makes 2-pt shot from 2 ft
0:53.0,E. Kanter misses 2-pt shot from 5 ft,,49-48,,
0:52.0,,,49-48,,Defensive rebound by H. Whiteside
0:49.0,,,49-50,2,D. Wade makes 2-pt shot from 2 ft (assist by G. Dragic)
0:44.0,Oklahoma City full timeout,,49-50,,
0:44.0,,,49-50,,G. Green enters the game for G. Dragic
0:37.0,Shooting foul by H. Whiteside (drawn by E. Kanter),,49-50,,
0:37.0,E. Kanter makes free throw 1 of 2,1,50-50,,
0:37.0,N. Collison enters the game for K. Durant,,50-50,,
0:37.0,D. Waiters enters the game for S. Ibaka,,50-50,,
0:37.0,E. Kanter makes free throw 2 of 2,1,51-50,,
0:34.0,,,51-50,,Miami full timeout
0:34.0,,,51-50,,J. Richardson enters the game for H. Whiteside
0:16.0,K. Singler enters the game for N. Collison,,51-50,,
0:12.0,,,51-50,,C. Bosh misses 2-pt shot from 13 ft
0:11.0,,,51-50,,Offensive rebound by J. Richardson
0:00.0,,,51-50,,D. Wade misses 2-pt shot from 18 ft
0:00.0,,,51-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,R. Westbrook makes 2-pt shot from 12 ft,2,53-50,,
11:10.0,,,53-52,2,D. Wade makes 2-pt shot from 8 ft
10:55.0,K. Durant misses 3-pt shot from 25 ft,,53-52,,
10:54.0,,,53-52,,Defensive rebound by H. Whiteside
10:44.0,,,53-54,2,G. Dragic makes 2-pt shot from 16 ft
10:31.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,55-54,,
10:04.0,,,55-54,,G. Green misses 2-pt shot at rim
10:03.0,Defensive rebound by S. Ibaka,,55-54,,
9:55.0,S. Ibaka misses 2-pt shot from 20 ft,,55-54,,
9:54.0,,,55-54,,Defensive rebound by H. Whiteside
9:47.0,,,55-54,,Shooting foul by A. Roberson (drawn by D. Wade)
9:47.0,,,55-55,1,D. Wade makes free throw 1 of 2
9:47.0,,,55-56,1,D. Wade makes free throw 2 of 2
9:27.0,R. Westbrook misses 2-pt shot from 17 ft,,55-56,,
9:26.0,,,55-56,,Defensive rebound by H. Whiteside
9:22.0,Personal foul by R. Westbrook (drawn by G. Dragic),,55-56,,
9:13.0,,,55-56,,G. Dragic misses 2-pt shot from 15 ft
9:12.0,Defensive rebound by K. Durant,,55-56,,
9:04.0,K. Durant misses 2-pt shot from 8 ft,,55-56,,
9:03.0,Offensive rebound by S. Ibaka,,55-56,,
9:02.0,S. Ibaka misses 2-pt shot at rim,,55-56,,
9:01.0,,,55-56,,Defensive rebound by G. Green
8:48.0,,,55-58,2,D. Wade makes 2-pt shot from 4 ft
8:37.0,R. Westbrook misses 2-pt shot from 12 ft,,55-58,,
8:36.0,,,55-58,,Defensive rebound by C. Bosh
8:26.0,,,55-60,2,C. Bosh makes 2-pt shot from 1 ft (assist by G. Dragic)
8:26.0,Oklahoma City full timeout,,55-60,,
8:09.0,S. Ibaka misses 2-pt shot from 14 ft,,55-60,,
8:08.0,,,55-60,,Defensive rebound by D. Wade
8:03.0,,,55-60,,Shooting foul by S. Ibaka (drawn by H. Whiteside)
8:03.0,,,55-60,,H. Whiteside misses free throw 1 of 2
8:03.0,,,55-60,,Offensive rebound by Team
8:03.0,,,55-61,1,H. Whiteside makes free throw 2 of 2
7:45.0,S. Ibaka misses 2-pt shot from 18 ft,,55-61,,
7:44.0,Offensive rebound by R. Westbrook,,55-61,,
7:41.0,Shooting foul by D. Wade (drawn by R. Westbrook),,55-61,,
7:41.0,R. Westbrook makes free throw 1 of 2,1,56-61,,
7:41.0,R. Westbrook makes free throw 2 of 2,1,57-61,,
7:18.0,,,57-63,2,H. Whiteside makes 2-pt shot from 9 ft (assist by G. Dragic)
7:04.0,R. Westbrook misses 2-pt shot from 19 ft,,57-63,,
7:03.0,Offensive rebound by A. Roberson,,57-63,,
7:02.0,A. Roberson makes 2-pt shot at rim,2,59-63,,
6:42.0,,,59-63,,D. Wade misses 2-pt shot from 17 ft
6:41.0,Defensive rebound by K. Durant,,59-63,,
6:35.0,K. Durant makes 3-pt shot from 24 ft,3,62-63,,
6:09.0,,,62-63,,G. Dragic misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by S. Adams,,62-63,,
6:02.0,R. Westbrook makes 2-pt shot from 1 ft,2,64-63,,
5:42.0,,,64-65,2,D. Wade makes 2-pt shot from 2 ft
5:32.0,R. Westbrook misses 2-pt shot from 10 ft,,64-65,,
5:31.0,,,64-65,,Defensive rebound by Team
5:31.0,,,64-65,,J. Winslow enters the game for C. Bosh
5:16.0,,,64-65,,G. Green misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by A. Roberson,,64-65,,
5:03.0,K. Durant makes 2-pt shot from 12 ft,2,66-65,,
4:38.0,,,66-67,2,D. Wade makes 2-pt shot from 18 ft
4:27.0,Shooting foul by H. Whiteside (drawn by K. Durant),,66-67,,
4:27.0,K. Durant makes free throw 1 of 2,1,67-67,,
4:27.0,E. Kanter enters the game for S. Adams,,67-67,,
4:27.0,K. Durant makes free throw 2 of 2,1,68-67,,
4:09.0,,,68-67,,J. Winslow misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by R. Westbrook,,68-67,,
4:03.0,R. Westbrook makes 2-pt shot from 3 ft,2,70-67,,
4:03.0,,,70-67,,Miami full timeout
3:50.0,,,70-67,,Turnover by G. Green (lost ball; steal by S. Ibaka)
3:38.0,A. Roberson misses 3-pt shot from 24 ft,,70-67,,
3:37.0,Offensive rebound by S. Ibaka,,70-67,,
3:27.0,S. Ibaka misses 2-pt shot from 17 ft,,70-67,,
3:26.0,,,70-67,,Defensive rebound by H. Whiteside
3:15.0,,,70-67,,G. Green misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by A. Roberson,,70-67,,
3:02.0,E. Kanter makes 2-pt shot from 1 ft,2,72-67,,
2:42.0,,,72-67,,D. Wade misses 2-pt shot from 22 ft
2:41.0,,,72-67,,Offensive rebound by G. Dragic
2:31.0,,,72-67,,H. Whiteside misses 2-pt shot from 15 ft
2:30.0,Defensive rebound by K. Durant,,72-67,,
2:25.0,K. Durant misses 2-pt shot from 20 ft,,72-67,,
2:24.0,,,72-67,,Defensive rebound by Team
2:24.0,D. Waiters enters the game for A. Roberson,,72-67,,
2:24.0,,,72-67,,J. McRoberts enters the game for G. Green
2:24.0,,,72-67,,C. Bosh enters the game for H. Whiteside
2:24.0,,,72-67,,T. Johnson enters the game for D. Wade
2:03.0,,,72-69,2,C. Bosh makes 2-pt shot from 19 ft (assist by J. McRoberts)
1:54.0,,,72-69,,Personal foul by J. Winslow (drawn by K. Durant)
1:54.0,N. Collison enters the game for S. Ibaka,,72-69,,
1:54.0,D. Augustin enters the game for R. Westbrook,,72-69,,
1:51.0,Turnover by K. Durant (bad pass),,72-69,,
1:37.0,,,72-69,,J. McRoberts misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by E. Kanter,,72-69,,
1:32.0,Turnover by K. Durant (lost ball; steal by T. Johnson),,72-69,,
1:23.0,Personal foul by E. Kanter (drawn by J. McRoberts),,72-69,,
1:14.0,,,72-69,,C. Bosh misses 2-pt shot from 13 ft
1:13.0,Defensive rebound by E. Kanter,,72-69,,
1:02.0,K. Durant makes 2-pt shot at rim,2,74-69,,
0:46.0,,,74-72,3,C. Bosh makes 3-pt shot from 23 ft (assist by J. Winslow)
0:39.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Augustin),2,76-72,,
0:20.0,,,76-74,2,G. Dragic makes 2-pt shot from 19 ft (assist by J. McRoberts)
0:01.0,K. Durant misses 3-pt shot from 26 ft,,76-74,,
0:00.0,Offensive rebound by Team,,76-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,76-77,3,G. Dragic makes 3-pt shot from 24 ft
11:21.0,Turnover by D. Augustin (step out of bounds),,76-77,,
11:08.0,,,76-77,,G. Dragic misses 2-pt shot from 12 ft
11:07.0,Defensive rebound by D. Waiters,,76-77,,
10:52.0,D. Waiters makes 2-pt shot from 13 ft,2,78-77,,
10:26.0,,,78-77,,C. Bosh misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by E. Kanter,,78-77,,
10:15.0,D. Waiters makes 2-pt shot from 4 ft,2,80-77,,
9:56.0,,,80-79,2,J. Winslow makes 2-pt shot from 19 ft (assist by J. McRoberts)
9:39.0,D. Waiters makes 2-pt shot from 3 ft,2,82-79,,
9:18.0,,,82-81,2,J. McRoberts makes 2-pt shot from 2 ft (assist by T. Johnson)
8:57.0,Turnover by N. Collison (lost ball; steal by J. McRoberts),,82-81,,
8:47.0,,,82-81,,Turnover by G. Dragic (traveling)
8:47.0,Official timeout,,82-81,,
8:47.0,,,82-81,,G. Green enters the game for J. Winslow
8:30.0,D. Augustin misses 2-pt shot from 5 ft,,82-81,,
8:29.0,,,82-81,,Defensive rebound by Team
8:13.0,,,82-81,,J. McRoberts misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by D. Waiters,,82-81,,
8:02.0,N. Collison makes 2-pt shot from 5 ft (assist by D. Waiters),2,84-81,,
7:45.0,,,84-83,2,G. Green makes 2-pt shot from 1 ft (assist by J. McRoberts)
7:18.0,Turnover by Team (shot clock),,84-83,,
7:18.0,,,84-83,,D. Wade enters the game for G. Dragic
7:08.0,,,84-85,2,J. McRoberts makes 2-pt shot from 5 ft (assist by T. Johnson)
6:43.0,D. Waiters makes 3-pt shot from 23 ft,3,87-85,,
6:24.0,,,87-87,2,T. Johnson makes 2-pt shot from 1 ft
6:24.0,,,87-87,,Shooting foul by E. Kanter (drawn by T. Johnson)
6:24.0,,,87-87,,H. Whiteside enters the game for C. Bosh
6:24.0,R. Westbrook enters the game for A. Morrow,,87-87,,
6:24.0,K. Durant enters the game for E. Kanter,,87-87,,
6:24.0,S. Ibaka enters the game for N. Collison,,87-87,,
6:24.0,A. Roberson enters the game for D. Augustin,,87-87,,
6:24.0,,,87-87,,J. Winslow enters the game for J. McRoberts
6:24.0,,,87-88,1,T. Johnson makes free throw 1 of 1
6:12.0,K. Durant misses 2-pt shot from 18 ft,,87-88,,
6:11.0,,,87-88,,Defensive rebound by J. Winslow
6:01.0,,,87-88,,Turnover by D. Wade (lost ball; steal by D. Waiters)
5:56.0,K. Durant makes 2-pt shot at rim (assist by D. Waiters),2,89-88,,
5:37.0,,,89-88,,T. Johnson misses 2-pt shot from 20 ft
5:36.0,Defensive rebound by A. Roberson,,89-88,,
5:18.0,Turnover by K. Durant (bad pass),,89-88,,
5:18.0,,,89-88,,Miami full timeout
5:05.0,,,89-88,,D. Wade misses 2-pt shot from 6 ft
5:04.0,Defensive rebound by Team,,89-88,,
4:55.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,91-88,,
4:32.0,,,91-88,,G. Green misses 2-pt shot from 6 ft (block by A. Roberson)
4:31.0,Defensive rebound by A. Roberson,,91-88,,
4:16.0,R. Westbrook misses 3-pt shot from 24 ft,,91-88,,
4:15.0,,,91-88,,Defensive rebound by H. Whiteside
4:07.0,,,91-88,,D. Wade misses 2-pt shot from 15 ft
4:06.0,,,91-88,,Offensive rebound by T. Johnson
4:06.0,,,91-88,,C. Bosh enters the game for H. Whiteside
4:06.0,,,91-88,,G. Dragic enters the game for T. Johnson
4:04.0,,,91-88,,Shooting foul by S. Ibaka (drawn by G. Green)
4:04.0,,,91-89,1,G. Green makes free throw 1 of 2
4:04.0,,,91-89,,G. Green misses free throw 2 of 2
4:03.0,Defensive rebound by R. Westbrook,,91-89,,
3:52.0,Turnover by R. Westbrook (lost ball; steal by J. Winslow),,91-89,,
3:46.0,,,91-91,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Winslow)
3:21.0,R. Westbrook misses 3-pt shot from 25 ft,,91-91,,
3:20.0,Offensive rebound by A. Roberson,,91-91,,
3:07.0,S. Ibaka misses 2-pt shot from 14 ft,,91-91,,
3:06.0,,,91-91,,Defensive rebound by J. Winslow
2:49.0,,,91-91,,D. Wade misses 2-pt shot from 2 ft
2:48.0,,,91-91,,Offensive rebound by C. Bosh
2:47.0,,,91-91,,C. Bosh misses 2-pt shot at rim
2:46.0,Defensive rebound by R. Westbrook,,91-91,,
2:43.0,Turnover by R. Westbrook (lost ball; steal by G. Dragic),,91-91,,
2:39.0,,,91-93,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
2:39.0,Oklahoma City full timeout,,91-93,,
2:19.0,K. Durant misses 2-pt shot from 20 ft,,91-93,,
2:18.0,Offensive rebound by A. Roberson,,91-93,,
2:05.0,Shooting foul by J. Winslow (drawn by K. Durant),,91-93,,
2:05.0,K. Durant makes free throw 1 of 2,1,92-93,,
2:05.0,K. Durant misses free throw 2 of 2,,92-93,,
2:04.0,,,92-93,,Defensive rebound by C. Bosh
1:46.0,,,92-93,,C. Bosh misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by K. Durant,,92-93,,
1:32.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,95-93,,
1:32.0,,,95-93,,Miami full timeout
1:14.0,Personal foul by D. Waiters (drawn by D. Wade),,95-93,,
