time,Denver,pts.away,score,pts.home,Dallas
8:33.0,Offensive rebound by Team,,31-28,,
8:33.0,Official timeout,,31-28,,
8:33.0,,,31-28,,C. Villanueva enters the game for D. Nowitzki
8:33.0,N. Jokic enters the game for K. Faried,,31-28,,
8:20.0,R. Foye misses 2-pt shot from 21 ft,,31-28,,
8:19.0,,,31-28,,Defensive rebound by J. McGee
8:08.0,,,31-28,,Shooting foul by R. Foye (drawn by J. McGee)
8:08.0,,,31-29,1,J. McGee makes free throw 1 of 2
8:08.0,,,31-29,,D. Williams enters the game for R. Felton
8:08.0,,,31-29,,J. McGee misses free throw 2 of 2
8:07.0,Defensive rebound by W. Barton,,31-29,,
7:58.0,R. Foye misses 3-pt shot from 25 ft,,31-29,,
7:57.0,,,31-29,,Defensive rebound by J. McGee
7:36.0,,,31-31,2,J. McGee makes 2-pt shot from 2 ft (assist by C. Villanueva)
7:22.0,J. Nelson makes 2-pt shot from 20 ft,2,33-31,,
7:08.0,D. Gallinari enters the game for R. Foye,,33-31,,
7:03.0,,,33-31,,J. Anderson misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by W. Barton,,33-31,,
6:58.0,Shooting foul by J. McGee (drawn by N. Jokic),,33-31,,
6:58.0,N. Jokic makes free throw 1 of 2,1,34-31,,
6:58.0,,,34-31,,C. Parsons enters the game for J. Anderson
6:58.0,,,34-31,,W. Matthews enters the game for D. Harris
6:58.0,E. Mudiay enters the game for J. Nelson,,34-31,,
6:58.0,N. Jokic misses free throw 2 of 2,,34-31,,
6:58.0,,,34-31,,Defensive rebound by C. Parsons
6:42.0,,,34-31,,Turnover by C. Parsons (bad pass; steal by W. Barton)
6:38.0,W. Barton misses 2-pt shot at rim,,34-31,,
6:37.0,Offensive rebound by D. Gallinari,,34-31,,
6:37.0,D. Gallinari makes 2-pt shot at rim,2,36-31,,
6:32.0,,,36-31,,Dallas full timeout
6:32.0,,,36-31,,Z. Pachulia enters the game for J. McGee
6:21.0,,,36-33,2,D. Williams makes 2-pt shot from 16 ft
6:04.0,Shooting foul by C. Villanueva (drawn by E. Mudiay),,36-33,,
6:04.0,E. Mudiay misses free throw 1 of 2,,36-33,,
6:04.0,Offensive rebound by Team,,36-33,,
6:04.0,E. Mudiay makes free throw 2 of 2,1,37-33,,
5:52.0,,,37-33,,Shooting foul by E. Mudiay (drawn by D. Williams)
5:52.0,,,37-34,1,D. Williams makes free throw 1 of 2
5:52.0,,,37-35,1,D. Williams makes free throw 2 of 2
5:44.0,,,37-35,,Personal foul by Z. Pachulia (drawn by N. Jokic)
5:34.0,E. Mudiay misses 2-pt shot from 18 ft,,37-35,,
5:33.0,,,37-35,,Defensive rebound by C. Villanueva
5:15.0,,,37-35,,W. Matthews misses 2-pt shot from 10 ft
5:14.0,Defensive rebound by Team,,37-35,,
5:00.0,E. Mudiay makes 2-pt shot from 1 ft,2,39-35,,
4:37.0,,,39-35,,D. Williams misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by E. Mudiay,,39-35,,
4:31.0,E. Mudiay misses 2-pt shot from 1 ft,,39-35,,
4:28.0,,,39-35,,Defensive rebound by C. Villanueva
4:21.0,,,39-38,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Williams)
4:03.0,Turnover by W. Barton (traveling),,39-38,,
4:03.0,R. Foye enters the game for W. Barton,,39-38,,
4:03.0,,,39-38,,D. Nowitzki enters the game for C. Villanueva
3:48.0,,,39-40,2,C. Parsons makes 2-pt shot from 11 ft
3:33.0,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay),3,42-40,,
3:19.0,,,42-42,2,D. Williams makes 2-pt shot from 8 ft
3:10.0,,,42-42,,Violation by C. Parsons (kicked ball)
3:01.0,,,42-42,,Personal foul by W. Matthews (drawn by D. Gallinari)
3:01.0,D. Gallinari makes free throw 1 of 2,1,43-42,,
3:01.0,D. Gallinari makes free throw 2 of 2,1,44-42,,
2:52.0,,,44-42,,Z. Pachulia misses 2-pt shot from 6 ft
2:52.0,Defensive rebound by N. Jokic,,44-42,,
2:52.0,,,44-42,,Loose ball foul by Z. Pachulia (drawn by N. Jokic)
2:52.0,Denver full timeout,,44-42,,
2:52.0,N. Jokic makes free throw 1 of 2,1,45-42,,
2:52.0,N. Jokic makes free throw 2 of 2,1,46-42,,
2:44.0,,,46-45,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
2:21.0,E. Mudiay misses 2-pt shot from 12 ft,,46-45,,
2:20.0,,,46-45,,Defensive rebound by D. Nowitzki
2:03.0,,,46-45,,D. Williams misses 2-pt shot from 3 ft
2:03.0,,,46-45,,Offensive rebound by Z. Pachulia
2:03.0,,,46-45,,Shooting foul by N. Jokic (drawn by Z. Pachulia)
2:03.0,,,46-45,,Z. Pachulia misses free throw 1 of 2
2:03.0,,,46-45,,Offensive rebound by Team
2:03.0,J. Lauvergne enters the game for N. Jokic,,46-45,,
2:03.0,,,46-46,1,Z. Pachulia makes free throw 2 of 2
1:46.0,E. Mudiay makes 2-pt shot from 1 ft,2,48-46,,
1:37.0,,,48-46,,D. Williams misses 2-pt shot from 7 ft
1:36.0,Defensive rebound by J. Lauvergne,,48-46,,
1:30.0,D. Arthur makes 2-pt shot at rim (assist by E. Mudiay),2,50-46,,
1:07.0,,,50-46,,D. Nowitzki misses 2-pt shot from 16 ft
1:07.0,Defensive rebound by E. Mudiay,,50-46,,
1:01.0,Turnover by E. Mudiay (palming),,50-46,,
0:54.0,,,50-48,2,W. Matthews makes 2-pt shot at rim
0:35.0,D. Arthur makes 2-pt shot from 16 ft (assist by E. Mudiay),2,52-48,,
0:24.0,,,52-48,,D. Williams misses 2-pt shot from 7 ft
0:22.0,Defensive rebound by D. Gallinari,,52-48,,
0:03.0,Turnover by D. Arthur (lost ball; steal by Z. Pachulia),,52-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Arthur misses 2-pt shot from 21 ft,,52-48,,
11:42.0,,,52-48,,Defensive rebound by D. Williams
11:27.0,,,52-50,2,D. Nowitzki makes 2-pt shot from 14 ft
11:10.0,Turnover by N. Jokic (bad pass; steal by W. Matthews),,52-50,,
11:09.0,Personal take foul by N. Jokic (drawn by W. Matthews),,52-50,,
10:52.0,,,52-50,,C. Parsons misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by D. Gallinari,,52-50,,
10:39.0,Turnover by N. Jokic (bad pass; steal by D. Nowitzki),,52-50,,
10:32.0,,,52-52,2,W. Matthews makes 2-pt shot from 5 ft
10:12.0,E. Mudiay misses 2-pt shot from 6 ft,,52-52,,
10:11.0,Offensive rebound by N. Jokic,,52-52,,
9:56.0,R. Foye misses 2-pt shot from 2 ft (block by C. Parsons),,52-52,,
9:56.0,Offensive rebound by Team,,52-52,,
9:47.0,R. Foye misses 2-pt shot from 7 ft,,52-52,,
9:46.0,Offensive rebound by R. Foye,,52-52,,
9:33.0,D. Gallinari misses 3-pt shot from 26 ft,,52-52,,
9:32.0,,,52-52,,Defensive rebound by D. Williams
9:22.0,,,52-54,2,Z. Pachulia makes 2-pt shot at rim (assist by W. Matthews)
9:22.0,Denver full timeout,,52-54,,
8:57.0,D. Arthur misses 2-pt shot from 11 ft,,52-54,,
8:56.0,,,52-54,,Defensive rebound by Z. Pachulia
8:36.0,,,52-54,,Shooting foul by N. Jokic (drawn by Z. Pachulia)
8:36.0,,,52-55,1,Z. Pachulia makes free throw 1 of 2
8:36.0,,,52-55,,R. Felton enters the game for C. Parsons
8:36.0,,,52-56,1,Z. Pachulia makes free throw 2 of 2
8:11.0,D. Gallinari misses 3-pt shot from 25 ft,,52-56,,
8:11.0,Offensive rebound by Team,,52-56,,
8:11.0,Turnover by Team (shot clock),,52-56,,
7:50.0,,,52-56,,R. Felton misses 2-pt shot from 7 ft
7:49.0,Defensive rebound by N. Jokic,,52-56,,
7:43.0,,,52-56,,Personal block foul by W. Matthews (drawn by D. Gallinari)
7:43.0,J. Lauvergne enters the game for N. Jokic,,52-56,,
7:30.0,R. Foye misses 3-pt shot from 24 ft,,52-56,,
7:29.0,,,52-56,,Defensive rebound by Z. Pachulia
7:15.0,,,52-56,,Turnover by Z. Pachulia (lost ball)
7:00.0,,,52-56,,Personal block foul by D. Williams (drawn by D. Gallinari)
6:53.0,E. Mudiay misses 2-pt shot from 14 ft,,52-56,,
6:53.0,Offensive rebound by D. Arthur,,52-56,,
6:43.0,J. Lauvergne misses 3-pt shot from 23 ft,,52-56,,
6:42.0,,,52-56,,Defensive rebound by D. Nowitzki
6:33.0,,,52-56,,W. Matthews misses 3-pt shot from 22 ft
6:32.0,Defensive rebound by J. Lauvergne,,52-56,,
6:25.0,R. Foye misses 2-pt shot from 1 ft,,52-56,,
6:24.0,,,52-56,,Defensive rebound by Z. Pachulia
6:20.0,Shooting block foul by D. Arthur (drawn by D. Williams),,52-56,,
6:20.0,,,52-57,1,D. Williams makes free throw 1 of 2
6:20.0,,,52-57,,D. Powell enters the game for D. Nowitzki
6:20.0,,,52-58,1,D. Williams makes free throw 2 of 2
6:10.0,Turnover by D. Arthur (bad pass; steal by D. Powell),,52-58,,
6:06.0,,,52-60,2,D. Williams makes 2-pt shot from 1 ft
6:05.0,Denver full timeout,,52-60,,
6:05.0,W. Barton enters the game for D. Arthur,,52-60,,
5:54.0,D. Gallinari misses 2-pt shot from 16 ft,,52-60,,
5:53.0,,,52-60,,Defensive rebound by D. Powell
5:41.0,,,52-62,2,D. Powell makes 2-pt shot from 18 ft (assist by D. Williams)
5:30.0,,,52-62,,Personal block foul by W. Matthews (drawn by D. Gallinari)
5:30.0,J. Nelson enters the game for R. Foye,,52-62,,
5:30.0,,,52-62,,C. Parsons enters the game for W. Matthews
5:14.0,D. Gallinari misses 3-pt shot from 24 ft,,52-62,,
5:13.0,,,52-62,,Defensive rebound by R. Felton
5:01.0,Personal foul by E. Mudiay (drawn by D. Powell),,52-62,,
4:53.0,,,52-64,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by R. Felton)
4:53.0,Denver full timeout,,52-64,,
4:37.0,D. Gallinari misses 2-pt shot from 18 ft,,52-64,,
4:36.0,,,52-64,,Defensive rebound by D. Williams
4:15.0,,,52-64,,Turnover by D. Powell (traveling)
4:04.0,Turnover by E. Mudiay (offensive foul),,52-64,,
4:04.0,Offensive charge foul by E. Mudiay,,52-64,,
3:45.0,,,52-64,,Turnover by Z. Pachulia (bad pass)
3:45.0,K. Faried enters the game for J. Lauvergne,,52-64,,
3:20.0,W. Barton misses 2-pt shot from 15 ft,,52-64,,
3:20.0,Offensive rebound by Team,,52-64,,
3:20.0,Turnover by Team (shot clock),,52-64,,
3:10.0,,,52-64,,Turnover by Z. Pachulia (lost ball; steal by J. Nelson)
3:05.0,K. Faried makes 2-pt shot at rim (assist by W. Barton),2,54-64,,
2:57.0,,,54-64,,Dallas full timeout
2:57.0,,,54-64,,W. Matthews enters the game for C. Parsons
2:57.0,M. Miller enters the game for E. Mudiay,,54-64,,
2:53.0,,,54-67,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
2:26.0,D. Gallinari misses 3-pt shot from 23 ft,,54-67,,
2:26.0,,,54-67,,Defensive rebound by Z. Pachulia
2:26.0,Loose ball foul by K. Faried (drawn by Z. Pachulia),,54-67,,
2:26.0,,,54-68,1,Z. Pachulia makes free throw 1 of 2
2:26.0,,,54-68,,D. Harris enters the game for D. Williams
2:26.0,,,54-68,,Z. Pachulia misses free throw 2 of 2
2:25.0,Defensive rebound by K. Faried,,54-68,,
2:12.0,Turnover by J. Nelson (bad pass; steal by R. Felton),,54-68,,
2:05.0,,,54-68,,Turnover by D. Harris (bad pass; steal by K. Faried)
2:04.0,,,54-68,,D. Nowitzki enters the game for Z. Pachulia
1:50.0,W. Barton makes 3-pt shot from 22 ft (assist by M. Miller),3,57-68,,
1:33.0,,,57-71,3,R. Felton makes 3-pt shot from 24 ft (assist by D. Nowitzki)
1:21.0,W. Barton misses 3-pt shot from 25 ft,,57-71,,
1:20.0,,,57-71,,Defensive rebound by D. Nowitzki
1:20.0,Personal foul by K. Faried (drawn by D. Nowitzki),,57-71,,
1:20.0,,,57-72,1,D. Nowitzki makes free throw 1 of 2
1:20.0,,,57-73,1,D. Nowitzki makes free throw 2 of 2
0:56.0,Turnover by K. Faried (offensive goaltending),,57-73,,
0:56.0,R. Foye enters the game for D. Gallinari,,57-73,,
0:33.0,,,57-73,,D. Nowitzki misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by J. Nelson,,57-73,,
0:18.0,Offensive charge foul by K. Faried,,57-73,,
0:18.0,Turnover by K. Faried (offensive foul),,57-73,,
0:18.0,D. Arthur enters the game for K. Faried,,57-73,,
0:01.0,,,57-73,,W. Matthews misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by J. Nelson,,57-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,57-73,,D. Harris misses 2-pt shot from 7 ft
11:44.0,,,57-73,,Offensive rebound by D. Powell
11:36.0,Shooting block foul by J. Nelson (drawn by R. Felton),,57-73,,
11:36.0,,,57-74,1,R. Felton makes free throw 1 of 2
11:36.0,,,57-74,,R. Felton misses free throw 2 of 2
11:35.0,Defensive rebound by M. Miller,,57-74,,
11:24.0,Turnover by W. Barton (lost ball; steal by R. Felton),,57-74,,
11:19.0,,,57-74,,R. Felton misses 2-pt shot from 1 ft (block by D. Arthur)
11:18.0,,,57-74,,Offensive rebound by D. Harris
11:18.0,,,57-74,,D. Harris misses 2-pt shot at rim (block by W. Barton)
11:14.0,,,57-74,,Offensive rebound by W. Matthews
11:10.0,,,57-77,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews)
10:58.0,D. Arthur makes 2-pt shot at rim (assist by W. Barton),2,59-77,,
10:41.0,,,59-77,,D. Nowitzki misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by W. Barton,,59-77,,
10:25.0,J. Nelson misses 3-pt shot from 24 ft,,59-77,,
10:24.0,,,59-77,,Defensive rebound by R. Felton
10:10.0,,,59-77,,W. Matthews misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by M. Miller,,59-77,,
9:55.0,W. Barton makes 3-pt shot from 22 ft (assist by J. Nelson),3,62-77,,
9:38.0,,,62-77,,R. Felton misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by D. Arthur,,62-77,,
9:27.0,Turnover by J. Nelson (lost ball),,62-77,,
9:14.0,,,62-79,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris)
8:56.0,Official timeout,,62-79,,
8:56.0,,,62-79,,J. Evans enters the game for D. Nowitzki
8:56.0,E. Mudiay enters the game for J. Nelson,,62-79,,
8:50.0,R. Foye makes 2-pt shot at rim,2,64-79,,
8:29.0,,,64-79,,W. Matthews misses 2-pt shot from 16 ft
8:28.0,,,64-79,,Offensive rebound by J. Evans
8:28.0,,,64-79,,Shooting foul by E. Mudiay (drawn by J. Evans)
8:28.0,,,64-80,1,J. Evans makes free throw 1 of 2
8:28.0,,,64-80,,J. Anderson enters the game for W. Matthews
8:28.0,,,64-81,1,J. Evans makes free throw 2 of 2
8:16.0,W. Barton makes 3-pt shot from 24 ft (assist by E. Mudiay),3,67-81,,
8:06.0,,,67-83,2,D. Harris makes 2-pt shot from 1 ft (assist by D. Powell)
7:54.0,W. Barton misses 2-pt shot from 11 ft,,67-83,,
7:53.0,Offensive rebound by D. Arthur,,67-83,,
7:51.0,D. Arthur makes 2-pt shot from 3 ft,2,69-83,,
7:35.0,,,69-83,,Turnover by J. Anderson (bad pass; steal by D. Arthur)
7:28.0,E. Mudiay misses 3-pt shot from 22 ft,,69-83,,
7:27.0,Offensive rebound by D. Arthur,,69-83,,
7:21.0,W. Barton makes 3-pt shot from 25 ft (assist by M. Miller),3,72-83,,
7:21.0,,,72-83,,Dallas full timeout
7:21.0,,,72-83,,D. Williams enters the game for D. Powell
7:21.0,,,72-83,,Z. Pachulia enters the game for J. Anderson
7:21.0,,,72-83,,D. Nowitzki enters the game for J. Evans
7:02.0,,,72-86,3,D. Williams makes 3-pt shot from 24 ft
6:46.0,W. Barton misses 3-pt shot from 22 ft,,72-86,,
6:45.0,,,72-86,,Defensive rebound by D. Nowitzki
6:35.0,,,72-86,,D. Nowitzki misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by E. Mudiay,,72-86,,
6:21.0,E. Mudiay misses 2-pt shot from 1 ft (block by Z. Pachulia),,72-86,,
6:19.0,,,72-86,,Defensive rebound by D. Williams
6:00.0,,,72-86,,D. Williams misses 3-pt shot from 24 ft
5:59.0,,,72-86,,Offensive rebound by Z. Pachulia
5:56.0,,,72-88,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by Z. Pachulia)
5:56.0,Denver full timeout,,72-88,,
5:56.0,D. Gallinari enters the game for M. Miller,,72-88,,
5:37.0,W. Barton misses 2-pt shot from 2 ft,,72-88,,
5:36.0,,,72-88,,Defensive rebound by Z. Pachulia
5:23.0,,,72-88,,D. Williams misses 2-pt shot from 4 ft
5:21.0,,,72-88,,Offensive rebound by Z. Pachulia
5:19.0,,,72-88,,Shooting foul by D. Arthur (drawn by Z. Pachulia)
5:19.0,,,72-88,,Z. Pachulia misses free throw 1 of 2
5:19.0,,,72-88,,Offensive rebound by Team
5:19.0,K. Faried enters the game for D. Arthur,,72-88,,
5:19.0,,,72-89,1,Z. Pachulia makes free throw 2 of 2
4:56.0,E. Mudiay misses 3-pt shot from 24 ft,,72-89,,
4:55.0,,,72-89,,Defensive rebound by Z. Pachulia
4:42.0,,,72-89,,D. Nowitzki misses 2-pt shot from 9 ft
4:41.0,Defensive rebound by E. Mudiay,,72-89,,
4:30.0,D. Gallinari misses 2-pt shot from 15 ft,,72-89,,
4:28.0,,,72-89,,Defensive rebound by Z. Pachulia
4:13.0,,,72-91,2,D. Harris makes 2-pt shot at rim (assist by Z. Pachulia)
3:58.0,W. Barton misses 3-pt shot from 24 ft,,72-91,,
3:57.0,,,72-91,,Defensive rebound by D. Harris
3:56.0,,,72-91,,Dallas full timeout
3:56.0,,,72-91,,D. Powell enters the game for D. Nowitzki
3:41.0,,,72-91,,R. Felton misses 3-pt shot from 24 ft
3:39.0,,,72-91,,Offensive rebound by Z. Pachulia
3:19.0,,,72-91,,D. Williams misses 3-pt shot from 23 ft
3:19.0,Defensive rebound by Team,,72-91,,
3:19.0,,,72-91,,J. Anderson enters the game for D. Williams
3:12.0,,,72-91,,Violation by Z. Pachulia (kicked ball)
3:07.0,E. Mudiay makes 2-pt shot from 21 ft,2,74-91,,
2:42.0,,,74-91,,Turnover by Z. Pachulia (lost ball; steal by D. Gallinari)
2:35.0,R. Foye misses 3-pt shot from 26 ft,,74-91,,
2:34.0,Offensive rebound by K. Faried,,74-91,,
2:26.0,,,74-91,,J. Jenkins enters the game for D. Harris
