time,Philadelphia,pts.away,score,pts.home,Portland
4:23.0,I. Canaan misses 3-pt shot from 24 ft,,38-49,,
4:22.0,,,38-49,,Defensive rebound by E. Davis
4:04.0,,,38-51,2,A. Aminu makes 2-pt shot from 15 ft (assist by B. Roberts)
3:55.0,Shooting foul by E. Davis (drawn by R. Covington),,38-51,,
3:55.0,R. Covington makes free throw 1 of 2,1,39-51,,
3:55.0,,,39-51,,M. Plumlee enters the game for E. Davis
3:55.0,E. Brand enters the game for J. Grant,,39-51,,
3:55.0,R. Covington makes free throw 2 of 2,1,40-51,,
3:35.0,,,40-51,,A. Aminu misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by H. Thompson,,40-51,,
3:23.0,R. Covington misses 3-pt shot from 24 ft,,40-51,,
3:23.0,,,40-51,,Defensive rebound by D. Lillard
3:14.0,,,40-54,3,A. Aminu makes 3-pt shot from 22 ft (assist by M. Plumlee)
2:56.0,Shooting foul by B. Roberts (drawn by I. Canaan),,40-54,,
2:56.0,Official timeout,,40-54,,
2:56.0,N. Stauskas enters the game for R. Covington,,40-54,,
2:56.0,I. Canaan makes free throw 1 of 2,1,41-54,,
2:56.0,I. Canaan makes free throw 2 of 2,1,42-54,,
2:41.0,,,42-54,,Turnover by D. Lillard (lost ball; steal by E. Brand)
2:33.0,H. Thompson misses 3-pt shot from 24 ft,,42-54,,
2:33.0,,,42-54,,Defensive rebound by B. Roberts
2:16.0,,,42-54,,M. Plumlee misses 2-pt shot from 6 ft
2:15.0,,,42-54,,Offensive rebound by M. Harkless
2:15.0,,,42-54,,M. Harkless misses 2-pt shot at rim
2:14.0,Defensive rebound by E. Brand,,42-54,,
2:04.0,I. Canaan makes 2-pt shot from 9 ft,2,44-54,,
1:45.0,,,44-54,,B. Roberts misses 2-pt shot from 13 ft
1:44.0,,,44-54,,Offensive rebound by M. Plumlee
1:38.0,,,44-54,,M. Harkless misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by I. Canaan,,44-54,,
1:20.0,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Smith),3,47-54,,
1:06.0,,,47-54,,Shooting foul by I. Canaan (drawn by D. Lillard)
1:06.0,,,47-55,1,D. Lillard makes free throw 1 of 2
1:06.0,,,47-55,,C. McCollum enters the game for B. Roberts
1:06.0,,,47-56,1,D. Lillard makes free throw 2 of 2
0:58.0,I. Canaan makes 2-pt shot from 7 ft,2,49-56,,
0:48.0,,,49-56,,D. Lillard misses 2-pt shot from 14 ft
0:47.0,Defensive rebound by I. Smith,,49-56,,
0:39.0,I. Canaan misses 2-pt shot from 20 ft,,49-56,,
0:38.0,,,49-56,,Defensive rebound by M. Plumlee
0:31.0,,,49-56,,C. McCollum misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by N. Stauskas,,49-56,,
0:28.0,Turnover by N. Stauskas (lost ball; steal by M. Plumlee),,49-56,,
0:27.0,,,49-56,,Shooting foul by E. Brand (drawn by M. Plumlee)
0:27.0,,,49-57,1,M. Plumlee makes free throw 1 of 2
0:27.0,R. Covington enters the game for E. Brand,,49-57,,
0:27.0,,,49-57,,M. Plumlee misses free throw 2 of 2
0:27.0,Defensive rebound by I. Smith,,49-57,,
0:04.0,I. Smith misses 2-pt shot from 22 ft,,49-57,,
0:02.0,,,49-57,,Defensive rebound by A. Aminu
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
