time,Portland,pts.away,score,pts.home,Cleveland
3:24.0,M. Leonard misses 3-pt shot from 25 ft,,21-11,,
3:24.0,,,21-11,,Defensive rebound by A. Varejao
3:07.0,,,21-13,2,L. James makes 2-pt shot at rim
3:06.0,Portland full timeout,,21-13,,
3:06.0,M. Harkless enters the game for A. Aminu,,21-13,,
3:06.0,,,21-13,,M. Williams enters the game for L. James
3:06.0,,,21-13,,R. Jefferson enters the game for M. Dellavedova
2:50.0,M. Leonard makes 2-pt shot from 9 ft (assist by D. Lillard),2,23-13,,
2:33.0,,,23-13,,J. Smith misses 2-pt shot from 15 ft
2:32.0,Defensive rebound by M. Harkless,,23-13,,
2:25.0,D. Lillard misses 2-pt shot from 1 ft (block by A. Varejao),,23-13,,
2:24.0,,,23-13,,Defensive rebound by T. Thompson
2:12.0,,,23-15,2,M. Williams makes 2-pt shot from 6 ft
1:51.0,E. Davis misses 2-pt shot from 7 ft,,23-15,,
1:50.0,Offensive rebound by M. Leonard,,23-15,,
1:50.0,M. Leonard misses 2-pt shot from 1 ft,,23-15,,
1:49.0,Offensive rebound by M. Leonard,,23-15,,
1:44.0,Turnover by E. Davis (lost ball),,23-15,,
1:44.0,,,23-15,,J. Cunningham enters the game for J. Smith
1:28.0,,,23-15,,M. Williams misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by A. Crabbe,,23-15,,
1:18.0,A. Crabbe makes 2-pt shot from 21 ft (assist by E. Davis),2,25-15,,
1:02.0,,,25-17,2,R. Jefferson makes 2-pt shot from 19 ft (assist by A. Varejao)
0:43.0,D. Lillard misses 3-pt shot from 27 ft,,25-17,,
0:42.0,,,25-17,,Defensive rebound by T. Thompson
0:28.0,,,25-17,,R. Jefferson misses 3-pt shot from 26 ft
0:27.0,,,25-17,,Offensive rebound by A. Varejao
0:17.0,,,25-17,,M. Williams misses 2-pt shot from 7 ft
0:17.0,Defensive rebound by Team,,25-17,,
0:06.0,,,25-17,,Personal foul by J. Cunningham (drawn by D. Lillard)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Crabbe makes 2-pt shot from 22 ft (assist by C. McCollum),2,27-17,,
11:29.0,,,27-17,,Turnover by T. Thompson (lost ball; steal by C. McCollum)
11:11.0,M. Leonard makes 2-pt shot from 14 ft,2,29-17,,
10:57.0,,,29-17,,Turnover by A. Varejao (lost ball)
10:57.0,,,29-17,,K. Love enters the game for A. Varejao
10:39.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Crabbe),3,32-17,,
10:27.0,,,32-19,2,M. Williams makes 2-pt shot from 20 ft
10:09.0,Offensive foul by M. Leonard,,32-19,,
10:09.0,Turnover by M. Leonard (offensive foul),,32-19,,
9:47.0,,,32-19,,T. Thompson misses 2-pt shot from 6 ft
9:47.0,,,32-19,,Offensive rebound by K. Love
9:47.0,,,32-19,,Shooting foul by E. Davis (drawn by K. Love)
9:47.0,,,32-20,1,K. Love makes free throw 1 of 2
9:47.0,,,32-20,,L. James enters the game for T. Thompson
9:47.0,,,32-21,1,K. Love makes free throw 2 of 2
9:33.0,M. Leonard makes 3-pt shot from 24 ft (assist by C. McCollum),3,35-21,,
9:16.0,,,35-21,,Turnover by M. Williams (bad pass; steal by E. Davis)
9:07.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,37-21,,
8:58.0,,,37-21,,Cleveland full timeout
8:58.0,,,37-21,,M. Dellavedova enters the game for M. Williams
8:54.0,Personal foul by M. Harkless (drawn by L. James),,37-21,,
8:45.0,,,37-23,2,L. James makes 2-pt shot at rim (assist by K. Love)
8:26.0,Turnover by M. Leonard (bad pass),,37-23,,
8:05.0,,,37-25,2,K. Love makes 2-pt shot from 10 ft
7:50.0,C. McCollum makes 3-pt shot from 24 ft (assist by M. Harkless),3,40-25,,
7:21.0,,,40-27,2,M. Dellavedova makes 2-pt shot from 14 ft
7:08.0,Turnover by C. McCollum (lost ball),,40-27,,
6:53.0,,,40-29,2,K. Love makes 2-pt shot at rim (assist by M. Dellavedova)
6:42.0,C. McCollum misses 2-pt shot at rim (block by L. James),,40-29,,
6:41.0,,,40-29,,Defensive rebound by J. Cunningham
6:37.0,,,40-29,,K. Love misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by M. Leonard,,40-29,,
6:36.0,,,40-29,,Personal foul by M. Dellavedova (drawn by A. Crabbe)
6:18.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,42-29,,
5:54.0,,,42-29,,R. Jefferson misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by M. Harkless,,42-29,,
5:29.0,E. Davis makes 2-pt shot from 1 ft,2,44-29,,
5:15.0,,,44-29,,M. Dellavedova misses 2-pt shot from 6 ft
5:13.0,Defensive rebound by C. McCollum,,44-29,,
5:09.0,Turnover by C. McCollum (lost ball),,44-29,,
5:09.0,Official timeout,,44-29,,
5:09.0,M. Plumlee enters the game for C. McCollum,,44-29,,
5:09.0,D. Lillard enters the game for E. Davis,,44-29,,
5:09.0,,,44-29,,J. Smith enters the game for R. Jefferson
4:58.0,A. Aminu enters the game for M. Leonard,,44-29,,
4:52.0,,,44-29,,M. Dellavedova misses 2-pt shot from 7 ft
4:50.0,Defensive rebound by M. Plumlee,,44-29,,
4:41.0,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Plumlee),2,46-29,,
4:41.0,Shooting foul by J. Cunningham (drawn by A. Crabbe),,46-29,,
4:41.0,A. Crabbe makes free throw 1 of 1,1,47-29,,
4:29.0,Personal block foul by M. Plumlee (drawn by K. Love),,47-29,,
4:21.0,,,47-31,2,K. Love makes 2-pt shot at rim (assist by L. James)
3:55.0,M. Plumlee misses 2-pt shot from 6 ft,,47-31,,
3:55.0,Offensive rebound by Team,,47-31,,
3:55.0,Turnover by Team (shot clock),,47-31,,
3:35.0,,,47-33,2,L. James makes 2-pt shot at rim (assist by K. Love)
3:25.0,Shooting foul by L. James (drawn by M. Plumlee),,47-33,,
3:25.0,M. Plumlee misses free throw 1 of 2,,47-33,,
3:25.0,Offensive rebound by Team,,47-33,,
3:25.0,M. Plumlee makes free throw 2 of 2,1,48-33,,
3:09.0,,,48-33,,M. Dellavedova misses 3-pt shot from 27 ft
3:08.0,Defensive rebound by M. Harkless,,48-33,,
2:59.0,D. Lillard makes 2-pt shot from 1 ft,2,50-33,,
2:49.0,,,50-33,,Cleveland full timeout
2:49.0,Portland full timeout,,50-33,,
2:49.0,,,50-33,,T. Thompson enters the game for K. Love
2:49.0,,,50-33,,R. Jefferson enters the game for M. Dellavedova
2:32.0,,,50-36,3,J. Cunningham makes 3-pt shot from 24 ft (assist by L. James)
2:20.0,,,50-36,,Personal foul by R. Jefferson (drawn by A. Aminu)
2:13.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,52-36,,
1:57.0,,,52-38,2,L. James makes 2-pt shot from 1 ft
1:49.0,Turnover by D. Lillard (lost ball; steal by J. Cunningham),,52-38,,
1:45.0,,,52-38,,Shooting foul by M. Harkless (drawn by J. Cunningham)
1:45.0,,,52-38,,J. Cunningham misses free throw 1 of 2
1:45.0,,,52-38,,Offensive rebound by Team
1:45.0,C. McCollum enters the game for A. Crabbe,,52-38,,
1:45.0,,,52-39,1,J. Cunningham makes free throw 2 of 2
1:36.0,D. Lillard misses 2-pt shot from 1 ft,,52-39,,
1:35.0,Offensive rebound by D. Lillard,,52-39,,
1:34.0,D. Lillard misses 2-pt shot from 1 ft,,52-39,,
1:33.0,,,52-39,,Defensive rebound by T. Thompson
1:28.0,,,52-39,,Shooting foul by A. Aminu (drawn by L. James)
1:28.0,,,52-41,2,L. James makes 2-pt shot from 1 ft
1:28.0,,,52-42,1,L. James makes free throw 1 of 1
1:03.0,D. Lillard misses 2-pt shot from 1 ft (block by L. James),,52-42,,
1:02.0,,,52-42,,Defensive rebound by L. James
0:58.0,,,52-42,,R. Jefferson misses 2-pt shot from 1 ft
0:58.0,Defensive rebound by Team,,52-42,,
0:58.0,,,52-42,,Loose ball foul by T. Thompson (drawn by A. Aminu)
0:58.0,A. Aminu makes free throw 1 of 2,1,53-42,,
0:58.0,,,53-42,,M. Dellavedova enters the game for J. Cunningham
0:58.0,A. Aminu misses free throw 2 of 2,,53-42,,
0:57.0,,,53-42,,Defensive rebound by J. Smith
0:41.0,,,53-45,3,J. Smith makes 3-pt shot from 24 ft (assist by R. Jefferson)
0:30.0,C. McCollum makes 3-pt shot from 28 ft,3,56-45,,
0:15.0,Shooting block foul by M. Plumlee (drawn by L. James),,56-45,,
0:15.0,,,56-46,1,L. James makes free throw 1 of 2
0:15.0,E. Davis enters the game for M. Plumlee,,56-46,,
0:15.0,,,56-47,1,L. James makes free throw 2 of 2
0:15.0,Portland full timeout,,56-47,,
0:15.0,A. Crabbe enters the game for A. Aminu,,56-47,,
0:15.0,M. Leonard enters the game for M. Harkless,,56-47,,
0:02.0,E. Davis misses 2-pt shot from 6 ft,,56-47,,
0:01.0,Offensive rebound by A. Crabbe,,56-47,,
0:01.0,A. Crabbe misses 2-pt shot from 2 ft,,56-47,,
0:00.0,Offensive rebound by Team,,56-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,56-47,,Personal foul by J. Cunningham (drawn by C. McCollum)
11:43.0,Turnover by C. McCollum (bad pass; steal by K. Love),,56-47,,
11:30.0,,,56-47,,J. Smith misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by C. McCollum,,56-47,,
11:23.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,58-47,,
11:07.0,Personal foul by M. Plumlee (drawn by K. Love),,58-47,,
10:55.0,,,58-47,,L. James misses 3-pt shot from 24 ft
10:54.0,,,58-47,,Offensive rebound by J. Smith
10:49.0,,,58-49,2,L. James makes 2-pt shot at rim (assist by J. Smith)
10:38.0,Turnover by M. Plumlee (lost ball; steal by M. Dellavedova),,58-49,,
10:29.0,,,58-49,,K. Love misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by N. Vonleh,,58-49,,
10:12.0,M. Plumlee misses 2-pt shot from 12 ft,,58-49,,
10:12.0,,,58-49,,Defensive rebound by Team
10:12.0,Loose ball foul by N. Vonleh (drawn by M. Dellavedova),,58-49,,
9:50.0,,,58-51,2,K. Love makes 2-pt shot from 7 ft
9:32.0,Turnover by D. Lillard (bad pass; steal by L. James),,58-51,,
9:27.0,,,58-51,,Turnover by L. James (bad pass; steal by C. McCollum)
9:19.0,C. McCollum misses 2-pt shot from 6 ft,,58-51,,
9:18.0,Offensive rebound by Team,,58-51,,
9:18.0,A. Crabbe enters the game for M. Plumlee,,58-51,,
9:07.0,A. Crabbe misses 2-pt shot from 10 ft (block by L. James),,58-51,,
9:07.0,Offensive rebound by Team,,58-51,,
9:06.0,Turnover by A. Crabbe (bad pass; steal by K. Love),,58-51,,
8:54.0,,,58-51,,K. Love misses 2-pt shot from 8 ft
8:53.0,,,58-51,,Offensive rebound by K. Love
8:53.0,Personal foul by N. Vonleh (drawn by K. Love),,58-51,,
8:37.0,,,58-51,,L. James misses 2-pt shot from 1 ft (block by A. Aminu)
8:36.0,,,58-51,,Offensive rebound by L. James
8:35.0,,,58-53,2,L. James makes 2-pt shot from 1 ft
8:25.0,Turnover by C. McCollum (bad pass; steal by J. Smith),,58-53,,
8:22.0,E. Davis enters the game for N. Vonleh,,58-53,,
8:10.0,,,58-53,,J. Smith misses 2-pt shot from 22 ft
8:09.0,Defensive rebound by Team,,58-53,,
7:51.0,D. Lillard makes 2-pt shot at rim,2,60-53,,
7:41.0,,,60-56,3,J. Smith makes 3-pt shot from 22 ft (assist by M. Dellavedova)
7:22.0,A. Crabbe misses 3-pt shot from 25 ft,,60-56,,
7:22.0,Offensive rebound by A. Aminu,,60-56,,
7:16.0,Turnover by E. Davis (back court),,60-56,,
7:16.0,,,60-56,,Cleveland full timeout
7:03.0,,,60-56,,J. Smith misses 2-pt shot from 12 ft
7:02.0,Defensive rebound by C. McCollum,,60-56,,
6:49.0,C. McCollum misses 2-pt shot from 17 ft,,60-56,,
6:49.0,Offensive rebound by Team,,60-56,,
6:49.0,,,60-56,,Loose ball foul by J. Smith (drawn by E. Davis)
6:42.0,Turnover by D. Lillard (lost ball),,60-56,,
6:23.0,,,60-56,,Shooting foul by E. Davis (drawn by K. Love)
6:23.0,,,60-57,1,K. Love makes free throw 1 of 2
6:23.0,,,60-58,1,K. Love makes free throw 2 of 2
6:09.0,,,60-58,,Personal foul by J. Smith (drawn by D. Lillard)
6:03.0,D. Lillard misses 2-pt shot from 16 ft,,60-58,,
6:02.0,,,60-58,,Defensive rebound by L. James
5:48.0,Personal foul by D. Lillard (drawn by K. Love),,60-58,,
5:48.0,,,60-58,,K. Love misses free throw 1 of 2
5:48.0,,,60-58,,Offensive rebound by Team
5:48.0,,,60-59,1,K. Love makes free throw 2 of 2
5:33.0,C. McCollum makes 3-pt shot from 23 ft,3,63-59,,
5:12.0,,,63-62,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Love)
4:46.0,C. McCollum misses 3-pt shot from 29 ft,,63-62,,
4:46.0,,,63-62,,Defensive rebound by L. James
4:39.0,,,63-62,,R. Jefferson enters the game for L. James
4:39.0,M. Leonard enters the game for A. Aminu,,63-62,,
4:32.0,,,63-65,3,R. Jefferson makes 3-pt shot from 26 ft (assist by M. Dellavedova)
4:29.0,Portland full timeout,,63-65,,
4:08.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard),3,66-65,,
3:43.0,,,66-65,,K. Love misses 2-pt shot from 5 ft
3:43.0,Defensive rebound by E. Davis,,66-65,,
3:24.0,C. McCollum makes 2-pt shot from 2 ft,2,68-65,,
3:18.0,,,68-65,,Shooting foul by E. Davis (drawn by K. Love)
3:18.0,,,68-66,1,K. Love makes free throw 1 of 2
3:18.0,M. Harkless enters the game for C. McCollum,,68-66,,
3:18.0,,,68-66,,M. Williams enters the game for M. Dellavedova
3:18.0,,,68-67,1,K. Love makes free throw 2 of 2
2:58.0,D. Lillard makes 2-pt shot at rim,2,70-67,,
2:58.0,Shooting foul by R. Jefferson (drawn by D. Lillard),,70-67,,
2:58.0,D. Lillard makes free throw 1 of 1,1,71-67,,
2:35.0,,,71-70,3,M. Williams makes 3-pt shot from 24 ft (assist by J. Smith)
2:31.0,Turnover by D. Lillard (bad pass; steal by J. Smith),,71-70,,
2:18.0,,,71-70,,Shooting foul by M. Leonard (drawn by K. Love)
2:18.0,,,71-70,,K. Love misses free throw 1 of 2
2:18.0,,,71-70,,Offensive rebound by Team
2:18.0,,,71-70,,L. James enters the game for J. Smith
2:18.0,,,71-71,1,K. Love makes free throw 2 of 2
2:05.0,D. Lillard misses 3-pt shot from 28 ft,,71-71,,
2:04.0,,,71-71,,Defensive rebound by L. James
1:58.0,,,71-73,2,J. Cunningham makes 2-pt shot from 1 ft (assist by R. Jefferson)
1:48.0,Turnover by M. Harkless (bad pass; steal by K. Love),,71-73,,
1:43.0,,,71-75,2,K. Love makes 2-pt shot at rim
1:20.0,D. Lillard makes 2-pt shot from 10 ft,2,73-75,,
0:57.0,,,73-77,2,R. Jefferson makes 2-pt shot from 2 ft (assist by K. Love)
0:34.0,A. Crabbe makes 2-pt shot from 15 ft (assist by D. Lillard),2,75-77,,
0:13.0,,,75-77,,J. Cunningham misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by D. Lillard,,75-77,,
0:00.0,M. Leonard misses 3-pt shot from 26 ft,,75-77,,
0:00.0,Offensive rebound by Team,,75-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-77,,T. Thompson misses 2-pt shot from 1 ft
11:45.0,Defensive rebound by M. Harkless,,75-77,,
11:29.0,C. McCollum misses 2-pt shot from 18 ft,,75-77,,
11:28.0,,,75-77,,Defensive rebound by M. Williams
11:17.0,,,75-79,2,M. Williams makes 2-pt shot from 9 ft
10:55.0,,,75-79,,Personal foul by M. Williams (drawn by T. Frazier)
10:43.0,T. Frazier misses 3-pt shot from 28 ft,,75-79,,
10:43.0,,,75-79,,Defensive rebound by L. James
10:33.0,,,75-81,2,L. James makes 2-pt shot from 22 ft
10:09.0,C. McCollum misses 3-pt shot from 25 ft,,75-81,,
10:08.0,,,75-81,,Defensive rebound by L. James
10:02.0,,,75-81,,L. James misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by Team,,75-81,,
10:01.0,D. Lillard enters the game for A. Crabbe,,75-81,,
10:01.0,A. Aminu enters the game for M. Harkless,,75-81,,
9:47.0,D. Lillard misses 3-pt shot from 23 ft,,75-81,,
9:46.0,,,75-81,,Defensive rebound by M. Dellavedova
9:45.0,Personal foul by D. Lillard (drawn by M. Dellavedova),,75-81,,
9:45.0,M. Plumlee enters the game for E. Davis,,75-81,,
9:45.0,,,75-81,,J. Cunningham enters the game for R. Jefferson
9:36.0,,,75-83,2,M. Williams makes 2-pt shot from 19 ft
9:36.0,Portland full timeout,,75-83,,
9:16.0,A. Aminu misses 2-pt shot from 12 ft,,75-83,,
9:16.0,,,75-83,,Defensive rebound by T. Thompson
9:05.0,,,75-83,,M. Williams misses 2-pt shot from 11 ft
9:05.0,Defensive rebound by D. Lillard,,75-83,,
8:57.0,Turnover by T. Frazier (lost ball; steal by L. James),,75-83,,
8:54.0,,,75-83,,Offensive foul by L. James
8:54.0,,,75-83,,Turnover by L. James (offensive foul)
8:30.0,A. Aminu makes 3-pt shot from 24 ft (assist by T. Frazier),3,78-83,,
8:14.0,,,78-85,2,L. James makes 2-pt shot at rim (assist by M. Williams)
8:02.0,D. Lillard misses 2-pt shot from 2 ft,,78-85,,
8:00.0,,,78-85,,Defensive rebound by T. Thompson
7:54.0,,,78-85,,M. Williams misses 2-pt shot from 16 ft
7:53.0,,,78-85,,Offensive rebound by T. Thompson
7:49.0,Personal foul by A. Aminu (drawn by L. James),,78-85,,
7:42.0,,,78-87,2,M. Dellavedova makes 2-pt shot from 8 ft
7:32.0,Shooting foul by T. Thompson (drawn by M. Plumlee),,78-87,,
7:32.0,M. Plumlee misses free throw 1 of 2,,78-87,,
7:32.0,Offensive rebound by Team,,78-87,,
7:32.0,M. Plumlee misses free throw 2 of 2,,78-87,,
7:31.0,,,78-87,,Defensive rebound by L. James
7:16.0,,,78-89,2,T. Thompson makes 2-pt shot at rim (assist by M. Williams)
7:16.0,Portland full timeout,,78-89,,
7:16.0,A. Crabbe enters the game for T. Frazier,,78-89,,
7:01.0,Shooting foul by L. James (drawn by M. Plumlee),,78-89,,
7:01.0,M. Plumlee makes free throw 1 of 2,1,79-89,,
7:01.0,M. Plumlee makes free throw 2 of 2,1,80-89,,
6:39.0,,,80-89,,L. James misses 2-pt shot from 12 ft
6:38.0,,,80-89,,Offensive rebound by Team
6:37.0,,,80-89,,Turnover by M. Williams (bad pass)
6:23.0,C. McCollum makes 2-pt shot from 18 ft,2,82-89,,
5:55.0,,,82-89,,M. Dellavedova misses 2-pt shot from 9 ft
5:53.0,Defensive rebound by A. Aminu,,82-89,,
5:46.0,C. McCollum misses 2-pt shot from 17 ft,,82-89,,
5:45.0,Offensive rebound by M. Plumlee,,82-89,,
5:45.0,,,82-89,,Personal foul by M. Dellavedova (drawn by M. Plumlee)
5:37.0,D. Lillard misses 2-pt shot from 15 ft,,82-89,,
5:37.0,,,82-89,,Defensive rebound by L. James
5:13.0,,,82-91,2,L. James makes 2-pt shot from 7 ft
5:07.0,,,82-91,,Violation by T. Thompson (def goaltending)
5:07.0,D. Lillard makes 2-pt shot at rim,2,84-91,,
5:07.0,,,84-91,,Cleveland full timeout
4:45.0,,,84-93,2,L. James makes 2-pt shot from 1 ft
4:32.0,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee),2,86-93,,
4:06.0,,,86-93,,L. James misses 2-pt shot from 16 ft
4:06.0,,,86-93,,Offensive rebound by Team
4:06.0,Loose ball foul by M. Plumlee (drawn by T. Thompson),,86-93,,
4:06.0,,,86-93,,K. Love enters the game for T. Thompson
3:54.0,,,86-93,,Turnover by K. Love (traveling)
3:31.0,D. Lillard misses 2-pt shot from 16 ft,,86-93,,
3:30.0,Offensive rebound by M. Plumlee,,86-93,,
3:30.0,,,86-93,,Flagrant foul type 1 by M. Dellavedova (drawn by M. Plumlee)
3:30.0,M. Plumlee makes flagrant free throw 1 of 2,1,87-93,,
3:30.0,M. Plumlee makes flagrant free throw 2 of 2,1,88-93,,
3:22.0,D. Lillard makes 2-pt shot from 14 ft (assist by M. Plumlee),2,90-93,,
2:53.0,,,90-96,3,L. James makes 3-pt shot from 26 ft
2:38.0,Offensive charge foul by M. Plumlee,,90-96,,
2:38.0,Turnover by M. Plumlee (offensive foul),,90-96,,
2:38.0,E. Davis enters the game for M. Plumlee,,90-96,,
2:25.0,Personal foul by A. Crabbe (drawn by L. James),,90-96,,
2:20.0,,,90-96,,M. Williams misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by A. Crabbe,,90-96,,
2:09.0,A. Aminu misses 3-pt shot from 24 ft,,90-96,,
2:09.0,Offensive rebound by E. Davis,,90-96,,
2:09.0,,,90-96,,Personal foul by M. Dellavedova (drawn by E. Davis)
2:09.0,E. Davis misses free throw 1 of 2,,90-96,,
2:09.0,Offensive rebound by Team,,90-96,,
2:09.0,E. Davis misses free throw 2 of 2,,90-96,,
2:08.0,,,90-96,,Defensive rebound by M. Dellavedova
1:55.0,,,90-99,3,M. Dellavedova makes 3-pt shot from 25 ft
1:45.0,D. Lillard makes 3-pt shot from 24 ft,3,93-99,,
1:31.0,,,93-99,,M. Dellavedova misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by D. Lillard,,93-99,,
1:22.0,D. Lillard misses 3-pt shot from 29 ft,,93-99,,
1:22.0,,,93-99,,Defensive rebound by M. Williams
1:03.0,,,93-101,2,L. James makes 2-pt shot from 4 ft
1:03.0,,,93-101,,Shooting foul by A. Aminu (drawn by L. James)
1:03.0,,,93-101,,T. Thompson enters the game for K. Love
1:03.0,,,93-102,1,L. James makes free throw 1 of 1
0:53.0,C. McCollum misses 3-pt shot from 26 ft,,93-102,,
0:53.0,Offensive rebound by E. Davis,,93-102,,
0:48.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,96-102,,
0:25.0,,,96-102,,L. James misses 2-pt shot from 3 ft
0:24.0,Defensive rebound by E. Davis,,96-102,,
0:13.0,A. Crabbe misses 2-pt shot from 2 ft,,96-102,,
0:13.0,,,96-102,,Defensive rebound by L. James
0:08.0,Personal foul by A. Aminu (drawn by J. Cunningham),,96-102,,
0:08.0,,,96-102,,J. Cunningham misses free throw 1 of 2
0:08.0,,,96-102,,Offensive rebound by Team
0:08.0,,,96-103,1,J. Cunningham makes free throw 2 of 2
0:04.0,C. McCollum makes 2-pt shot at rim,2,98-103,,
0:03.0,,,98-103,,Turnover by M. Dellavedova (bad pass)
0:03.0,A. Crabbe makes 2-pt shot from 1 ft (assist by E. Davis),2,100-103,,
0:03.0,,,100-103,,Cleveland full timeout
0:03.0,,,100-103,,K. Love enters the game for T. Thompson
0:02.0,Personal foul by A. Crabbe (drawn by M. Williams),,100-103,,
0:02.0,,,100-104,1,M. Williams makes free throw 1 of 2
0:02.0,,,100-105,1,M. Williams makes free throw 2 of 2
0:02.0,Portland full timeout,,100-105,,
0:02.0,,,100-105,,T. Thompson enters the game for K. Love
0:00.0,A. Crabbe misses 3-pt shot from 22 ft,,100-105,,
0:00.0,Offensive rebound by Team,,100-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
