time,Oklahoma City,pts.away,score,pts.home,Portland
0:12.0,,,46-52,,A. Crabbe enters the game for M. Plumlee
0:02.0,,,46-52,,D. Lillard misses 2-pt shot from 1 ft
0:01.0,,,46-52,,Offensive rebound by M. Leonard
0:01.0,,,46-52,,M. Leonard misses 2-pt shot at rim
0:01.0,,,46-52,,Offensive rebound by A. Aminu
0:01.0,,,46-52,,A. Aminu misses 2-pt shot from 2 ft (block by A. Roberson)
0:00.0,Defensive rebound by S. Adams,,46-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,46-52,,A. Aminu misses 2-pt shot from 3 ft
11:36.0,,,46-52,,Offensive rebound by M. Plumlee
11:29.0,,,46-55,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee)
11:14.0,K. Durant makes 2-pt shot from 20 ft (assist by R. Westbrook),2,48-55,,
11:00.0,,,48-55,,N. Vonleh misses 2-pt shot from 15 ft
10:59.0,,,48-55,,Offensive rebound by M. Plumlee
10:59.0,,,48-55,,M. Plumlee misses 2-pt shot at rim
10:58.0,Defensive rebound by R. Westbrook,,48-55,,
10:54.0,Shooting foul by N. Vonleh (drawn by R. Westbrook),,48-55,,
10:54.0,R. Westbrook makes free throw 1 of 2,1,49-55,,
10:54.0,R. Westbrook misses free throw 2 of 2,,49-55,,
10:54.0,,,49-55,,Defensive rebound by Team
10:41.0,,,49-55,,C. McCollum misses 2-pt shot from 5 ft
10:40.0,Defensive rebound by A. Roberson,,49-55,,
10:27.0,Shooting foul by N. Vonleh (drawn by K. Durant),,49-55,,
10:27.0,K. Durant makes free throw 1 of 2,1,50-55,,
10:27.0,K. Durant makes free throw 2 of 2,1,51-55,,
10:10.0,,,51-55,,M. Plumlee misses 2-pt shot at rim
10:09.0,,,51-55,,Offensive rebound by M. Plumlee
10:08.0,,,51-55,,Turnover by M. Plumlee (lost ball; steal by A. Roberson)
9:47.0,R. Westbrook misses 2-pt shot from 16 ft,,51-55,,
9:46.0,,,51-55,,Defensive rebound by N. Vonleh
9:29.0,,,51-58,3,D. Lillard makes 3-pt shot from 24 ft
9:01.0,R. Westbrook makes 2-pt shot from 16 ft,2,53-58,,
8:43.0,,,53-58,,D. Lillard misses 2-pt shot from 22 ft
8:42.0,,,53-58,,Offensive rebound by Team
8:34.0,,,53-60,2,C. McCollum makes 2-pt shot from 13 ft
8:33.0,,,53-60,,Violation by Team (delay of game)
8:20.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,55-60,,
8:02.0,,,55-60,,C. McCollum misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by R. Westbrook,,55-60,,
7:56.0,K. Durant misses 3-pt shot from 24 ft,,55-60,,
7:55.0,,,55-60,,Defensive rebound by M. Plumlee
7:47.0,,,55-63,3,D. Lillard makes 3-pt shot from 24 ft
7:27.0,Turnover by R. Westbrook (lost ball; steal by D. Lillard),,55-63,,
7:22.0,,,55-65,2,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum)
7:22.0,Oklahoma City full timeout,,55-65,,
7:07.0,S. Ibaka makes 3-pt shot from 22 ft (assist by K. Durant),3,58-65,,
7:07.0,,,58-65,,Away from play foul by N. Vonleh (drawn by S. Adams)
7:07.0,S. Adams makes free throw 1 of 1,1,59-65,,
6:48.0,,,59-65,,Turnover by C. McCollum (palming)
6:38.0,,,59-65,,Shooting block foul by M. Plumlee (drawn by R. Westbrook)
6:38.0,R. Westbrook makes free throw 1 of 2,1,60-65,,
6:38.0,R. Westbrook makes free throw 2 of 2,1,61-65,,
6:21.0,,,61-65,,C. McCollum misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by K. Durant,,61-65,,
6:13.0,K. Durant makes 2-pt shot from 20 ft,2,63-65,,
6:13.0,,,63-65,,Portland full timeout
5:51.0,,,63-65,,Shooting foul by A. Roberson (drawn by A. Aminu)
5:51.0,,,63-66,1,A. Aminu makes free throw 1 of 2
5:51.0,,,63-67,1,A. Aminu makes free throw 2 of 2
5:40.0,K. Durant makes 2-pt shot from 15 ft,2,65-67,,
5:27.0,,,65-69,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
5:13.0,K. Durant makes 3-pt shot from 24 ft,3,68-69,,
4:59.0,,,68-69,,M. Plumlee misses 2-pt shot at rim (block by S. Ibaka)
4:58.0,,,68-69,,Offensive rebound by M. Plumlee
4:55.0,,,68-69,,A. Aminu misses 3-pt shot from 22 ft
4:54.0,Defensive rebound by A. Roberson,,68-69,,
4:53.0,,,68-69,,Personal foul by N. Vonleh (drawn by R. Westbrook)
4:53.0,R. Westbrook makes free throw 1 of 2,1,69-69,,
4:53.0,,,69-69,,A. Crabbe enters the game for N. Vonleh
4:53.0,,,69-69,,E. Davis enters the game for C. McCollum
4:53.0,R. Westbrook makes free throw 2 of 2,1,70-69,,
4:41.0,,,70-69,,Turnover by D. Lillard (step out of bounds)
4:39.0,,,70-69,,Personal foul by D. Lillard (drawn by R. Westbrook)
4:39.0,R. Westbrook misses free throw 1 of 2,,70-69,,
4:39.0,Offensive rebound by Team,,70-69,,
4:39.0,R. Westbrook makes free throw 2 of 2,1,71-69,,
4:16.0,,,71-69,,M. Plumlee misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by A. Roberson,,71-69,,
4:05.0,R. Westbrook misses 2-pt shot from 16 ft,,71-69,,
4:03.0,Offensive rebound by K. Durant,,71-69,,
3:58.0,A. Roberson misses 3-pt shot from 23 ft,,71-69,,
3:57.0,,,71-69,,Defensive rebound by E. Davis
3:47.0,Shooting block foul by K. Durant (drawn by D. Lillard),,71-69,,
3:47.0,,,71-70,1,D. Lillard makes free throw 1 of 2
3:47.0,D. Waiters enters the game for A. Roberson,,71-70,,
3:47.0,,,71-70,,M. Leonard enters the game for M. Plumlee
3:47.0,,,71-70,,M. Harkless enters the game for A. Aminu
3:47.0,,,71-71,1,D. Lillard makes free throw 2 of 2
3:36.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,73-71,,
3:20.0,,,73-71,,Turnover by D. Lillard (bad pass; steal by R. Westbrook)
3:14.0,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant),3,76-71,,
3:14.0,,,76-71,,Portland full timeout
3:01.0,,,76-71,,D. Lillard misses 3-pt shot from 24 ft
3:00.0,,,76-71,,Offensive rebound by M. Leonard
2:52.0,,,76-74,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
2:29.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,79-74,,
2:10.0,,,79-74,,Turnover by D. Lillard (bad pass; steal by K. Durant)
2:07.0,R. Westbrook makes 2-pt shot at rim (assist by D. Waiters),2,81-74,,
2:07.0,Shooting foul by M. Leonard (drawn by R. Westbrook),,81-74,,
2:07.0,R. Westbrook makes free throw 1 of 1,1,82-74,,
1:51.0,,,82-74,,Turnover by M. Leonard (bad pass; steal by R. Westbrook)
1:50.0,Turnover by K. Durant (palming),,82-74,,
1:50.0,,,82-74,,C. McCollum enters the game for M. Leonard
1:50.0,C. Payne enters the game for R. Westbrook,,82-74,,
1:27.0,,,82-74,,C. McCollum misses 2-pt shot from 2 ft (block by S. Ibaka)
1:26.0,Defensive rebound by S. Adams,,82-74,,
1:24.0,Turnover by D. Waiters (traveling),,82-74,,
1:09.0,,,82-76,2,C. McCollum makes 2-pt shot from 17 ft (assist by A. Crabbe)
0:54.0,K. Durant misses 2-pt shot from 2 ft (block by E. Davis),,82-76,,
0:54.0,Offensive rebound by Team,,82-76,,
0:51.0,K. Durant misses 2-pt shot from 16 ft,,82-76,,
0:51.0,,,82-76,,Defensive rebound by E. Davis
0:44.0,Personal foul by K. Durant (drawn by D. Lillard),,82-76,,
0:44.0,Technical foul by K. Durant (drawn by D. Lillard),,82-76,,
0:44.0,,,82-77,1,D. Lillard makes technical free throw
0:36.0,,,82-77,,Turnover by A. Crabbe (step out of bounds)
0:26.0,K. Durant makes 2-pt shot from 1 ft,2,84-77,,
0:26.0,Shooting foul by A. Crabbe (drawn by K. Durant),,84-77,,
0:26.0,K. Durant makes free throw 1 of 1,1,85-77,,
0:04.0,,,85-77,,A. Crabbe misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by S. Adams,,85-77,,
0:01.0,Turnover by S. Adams (bad pass; steal by C. McCollum),,85-77,,
0:00.0,,,85-80,3,C. McCollum makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by A. Crabbe (drawn by D. Waiters),,85-80,,
11:45.0,D. Waiters makes free throw 1 of 2,1,86-80,,
11:45.0,D. Waiters misses free throw 2 of 2,,86-80,,
11:43.0,,,86-80,,Defensive rebound by A. Crabbe
11:25.0,,,86-83,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Davis)
11:11.0,C. Payne makes 2-pt shot from 11 ft,2,88-83,,
10:58.0,,,88-83,,C. McCollum misses 2-pt shot from 2 ft
10:56.0,,,88-83,,Offensive rebound by C. McCollum
10:56.0,Jump ball: M. Harkless vs. E. Kanter (A. Roberson gains possession),,,,Jump ball: M. Harkless vs. E. Kanter (A. Roberson gains possession)
10:56.0,,,88-83,,Turnover by M. Harkless (lost ball; steal by E. Kanter)
10:40.0,S. Ibaka makes 3-pt shot from 22 ft (assist by C. Payne),3,91-83,,
10:21.0,,,91-83,,A. Aminu misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by E. Kanter,,91-83,,
10:06.0,E. Kanter misses 2-pt shot from 13 ft,,91-83,,
10:05.0,,,91-83,,Defensive rebound by M. Harkless
9:58.0,,,91-85,2,C. McCollum makes 2-pt shot from 2 ft
9:39.0,C. Payne misses 3-pt shot from 25 ft,,91-85,,
9:39.0,Offensive rebound by Team,,91-85,,
9:39.0,,,91-85,,Loose ball foul by E. Davis (drawn by E. Kanter)
9:39.0,R. Westbrook enters the game for C. Payne,,91-85,,
9:30.0,R. Westbrook misses 2-pt shot from 8 ft (block by A. Aminu),,91-85,,
9:30.0,Offensive rebound by Team,,91-85,,
9:29.0,Shooting foul by A. Crabbe (drawn by E. Kanter),,91-85,,
9:29.0,E. Kanter makes free throw 1 of 2,1,92-85,,
9:29.0,Turnover by A. Roberson (lane violation.),,92-85,,
9:18.0,,,92-85,,C. McCollum misses 2-pt shot from 20 ft
9:15.0,Defensive rebound by A. Roberson,,92-85,,
9:07.0,Turnover by D. Waiters (palming),,92-85,,
9:07.0,,,92-85,,D. Lillard enters the game for A. Crabbe
8:51.0,,,92-85,,C. McCollum misses 3-pt shot from 23 ft
8:50.0,,,92-85,,Offensive rebound by M. Harkless
8:50.0,,,92-87,2,M. Harkless makes 2-pt shot at rim
8:30.0,Turnover by S. Ibaka (lost ball; steal by A. Aminu),,92-87,,
8:27.0,,,92-89,2,M. Harkless makes 2-pt shot at rim (assist by A. Aminu)
8:27.0,Oklahoma City full timeout,,92-89,,
8:27.0,K. Durant enters the game for S. Ibaka,,92-89,,
8:27.0,,,92-89,,M. Plumlee enters the game for E. Davis
8:11.0,Shooting foul by M. Plumlee (drawn by E. Kanter),,92-89,,
8:11.0,E. Kanter makes free throw 1 of 2,1,93-89,,
8:11.0,E. Kanter makes free throw 2 of 2,1,94-89,,
7:53.0,,,94-89,,A. Aminu misses 2-pt shot from 2 ft (block by A. Roberson)
7:53.0,Defensive rebound by R. Westbrook,,94-89,,
7:35.0,A. Roberson misses 3-pt shot from 23 ft,,94-89,,
7:34.0,,,94-89,,Defensive rebound by M. Harkless
7:27.0,,,94-89,,D. Lillard misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by K. Durant,,94-89,,
7:07.0,R. Westbrook makes 3-pt shot from 23 ft,3,97-89,,
