time,New York,pts.away,score,pts.home,Phoenix
6:43.0,C. Anthony makes 2-pt shot from 11 ft (assist by R. Lopez),2,44-28,,
6:25.0,,,44-28,,A. Len misses 2-pt shot from 19 ft
6:24.0,,,44-28,,Offensive rebound by J. Leuer
6:22.0,,,44-28,,J. Leuer misses 2-pt shot from 13 ft
6:19.0,Defensive rebound by C. Anthony,,44-28,,
6:11.0,C. Anthony makes 3-pt shot from 26 ft (assist by J. Grant),3,47-28,,
6:10.0,,,47-28,,Phoenix full timeout
6:10.0,,,47-28,,D. Booker enters the game for J. Jenkins
6:10.0,,,47-28,,T. Chandler enters the game for J. Leuer
6:10.0,S. Vujacic enters the game for J. Grant,,47-28,,
5:55.0,,,47-28,,A. Len misses 2-pt shot at rim
5:53.0,Defensive rebound by C. Anthony,,47-28,,
5:45.0,K. Porzingis misses 2-pt shot from 8 ft,,47-28,,
5:44.0,Offensive rebound by R. Lopez,,47-28,,
5:40.0,S. Vujacic makes 3-pt shot from 23 ft (assist by R. Lopez),3,50-28,,
5:25.0,Personal foul by S. Vujacic,,50-28,,
5:18.0,,,50-28,,A. Len misses 2-pt shot from 2 ft (block by R. Lopez)
5:17.0,Defensive rebound by K. Porzingis,,50-28,,
5:02.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Calderon),2,52-28,,
4:48.0,,,52-28,,D. Booker misses 2-pt shot from 17 ft
4:47.0,Defensive rebound by Team,,52-28,,
4:35.0,,,52-28,,Personal foul by D. Booker
4:35.0,S. Vujacic makes free throw 1 of 2,1,53-28,,
4:35.0,S. Vujacic makes free throw 2 of 2,1,54-28,,
4:25.0,,,54-30,2,D. Booker makes 2-pt shot from 19 ft (assist by R. Price)
4:15.0,Shooting foul by R. Price (drawn by K. Porzingis),,54-30,,
4:15.0,K. Porzingis makes free throw 1 of 2,1,55-30,,
4:15.0,K. Porzingis makes free throw 2 of 2,1,56-30,,
4:02.0,,,56-32,2,D. Booker makes 2-pt shot from 5 ft
3:39.0,R. Lopez makes 2-pt shot from 4 ft (assist by J. Calderon),2,58-32,,
3:28.0,,,58-32,,M. Teletovic enters the game for A. Len
3:28.0,J. Grant enters the game for K. Porzingis,,58-32,,
3:12.0,,,58-34,2,D. Booker makes 2-pt shot from 19 ft
2:50.0,C. Anthony makes 2-pt shot from 12 ft,2,60-34,,
2:50.0,Shooting foul by P. Tucker (drawn by C. Anthony),,60-34,,
2:50.0,New York full timeout,,60-34,,
2:50.0,C. Anthony makes free throw 1 of 1,1,61-34,,
2:35.0,,,61-37,3,R. Price makes 3-pt shot from 26 ft (assist by T. Chandler)
2:15.0,J. Grant misses 2-pt shot from 22 ft,,61-37,,
2:13.0,,,61-37,,Defensive rebound by D. Booker
2:07.0,,,61-37,,D. Booker misses 2-pt shot at rim (block by R. Lopez)
2:05.0,Defensive rebound by S. Vujacic,,61-37,,
1:56.0,Turnover by C. Anthony (lost ball; steal by P. Tucker),,61-37,,
1:52.0,,,61-39,2,D. Booker makes 2-pt shot at rim (assist by R. Price)
1:28.0,J. Grant makes 2-pt shot from 19 ft,2,63-39,,
1:09.0,,,63-39,,P. Tucker misses 2-pt shot from 1 ft
1:08.0,,,63-39,,Offensive rebound by T. Chandler
1:08.0,,,63-39,,T. Chandler misses 2-pt shot at rim
1:06.0,,,63-39,,Offensive rebound by T. Chandler
1:06.0,,,63-41,2,T. Chandler makes 2-pt shot from 4 ft
0:41.0,R. Lopez misses 2-pt shot from 11 ft,,63-41,,
0:39.0,,,63-41,,Defensive rebound by P. Tucker
0:38.0,,,63-41,,Turnover by P. Tucker (lost ball; steal by C. Anthony)
0:37.0,Turnover by C. Anthony (lost ball),,63-41,,
0:32.0,,,63-43,2,D. Booker makes 2-pt shot from 20 ft
0:26.0,C. Anthony misses 2-pt shot from 1 ft,,63-43,,
0:25.0,,,63-43,,Defensive rebound by T. Chandler
0:01.0,,,63-43,,D. Booker misses 3-pt shot from 26 ft
0:00.0,,,63-43,,Offensive rebound by P. Tucker
0:00.0,,,63-43,,P. Tucker misses 2-pt shot from 20 ft
0:00.0,,,63-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,63-45,2,A. Len makes 2-pt shot from 16 ft (assist by R. Price)
11:10.0,C. Anthony misses 2-pt shot from 20 ft,,63-45,,
11:10.0,Offensive rebound by R. Lopez,,63-45,,
11:10.0,Turnover by Team (shot clock),,63-45,,
10:50.0,,,63-45,,R. Price misses 3-pt shot from 24 ft
10:49.0,,,63-45,,Offensive rebound by A. Len
10:45.0,,,63-47,2,A. Len makes 2-pt shot from 1 ft
10:27.0,K. Porzingis misses 2-pt shot from 9 ft,,63-47,,
10:27.0,Offensive rebound by K. Porzingis,,63-47,,
10:27.0,,,63-47,,Loose ball foul by T. Chandler
10:18.0,Turnover by S. Vujacic (lost ball),,63-47,,
10:06.0,,,63-47,,Shooting foul by K. Porzingis (drawn by A. Len)
10:06.0,,,63-48,1,A. Len makes free throw 1 of 2
10:06.0,,,63-49,1,A. Len makes free throw 2 of 2
9:57.0,Shooting foul by T. Chandler (drawn by K. Porzingis),,63-49,,
9:57.0,K. Porzingis makes 2-pt shot at rim (assist by R. Lopez),2,65-49,,
9:57.0,K. Porzingis makes free throw 1 of 1,1,66-49,,
9:44.0,,,66-49,,T. Chandler misses 2-pt shot from 4 ft (block by R. Lopez)
9:43.0,Defensive rebound by C. Anthony,,66-49,,
9:34.0,K. Porzingis misses 3-pt shot from 24 ft,,66-49,,
9:34.0,,,66-49,,Defensive rebound by A. Len
9:25.0,,,66-49,,Turnover by R. Price (lost ball; steal by S. Vujacic)
9:17.0,Turnover by K. Porzingis (lost ball; steal by R. Price),,66-49,,
9:13.0,Personal block foul by J. Calderon,,66-49,,
9:08.0,,,66-49,,D. Booker misses 2-pt shot from 18 ft
9:08.0,,,66-49,,Offensive rebound by A. Len
9:08.0,Loose ball foul by K. Porzingis,,66-49,,
9:08.0,K. O'Quinn enters the game for K. Porzingis,,66-49,,
8:59.0,,,66-49,,Shooting foul by R. Lopez (drawn by A. Len)
8:59.0,,,66-50,1,A. Len makes free throw 1 of 2
8:59.0,,,66-51,1,A. Len makes free throw 2 of 2
8:41.0,K. O'Quinn misses 2-pt shot from 6 ft,,66-51,,
8:41.0,,,66-51,,Defensive rebound by T. Chandler
8:40.0,,,66-51,,Turnover by T. Chandler (lost ball; steal by J. Calderon)
8:34.0,S. Vujacic makes 3-pt shot from 25 ft (assist by J. Calderon),3,69-51,,
8:18.0,,,69-51,,D. Booker misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by K. O'Quinn,,69-51,,
8:03.0,J. Calderon makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,72-51,,
7:43.0,,,72-54,3,R. Price makes 3-pt shot from 25 ft (assist by A. Len)
7:21.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by S. Vujacic),2,74-54,,
7:07.0,,,74-56,2,D. Booker makes 2-pt shot from 19 ft
6:48.0,C. Anthony misses 2-pt shot from 10 ft,,74-56,,
6:46.0,,,74-56,,Defensive rebound by A. Len
6:42.0,,,74-56,,Shooting foul by S. Vujacic (drawn by P. Tucker)
6:42.0,,,74-57,1,P. Tucker makes free throw 1 of 2
6:42.0,,,74-57,,M. Teletovic enters the game for T. Chandler
6:42.0,,,74-58,1,P. Tucker makes free throw 2 of 2
6:30.0,,,74-58,,Personal block foul by P. Tucker
6:30.0,J. Grant enters the game for K. O'Quinn,,74-58,,
6:21.0,,,74-58,,Personal foul by R. Price
6:10.0,S. Vujacic makes 3-pt shot from 24 ft (assist by J. Calderon),3,77-58,,
5:52.0,,,77-58,,M. Teletovic misses 2-pt shot from 4 ft (block by C. Anthony)
5:52.0,,,77-58,,Offensive rebound by Team
5:52.0,,,77-58,,Phoenix full timeout
5:49.0,,,77-60,2,M. Teletovic makes 2-pt shot from 15 ft (assist by P. Tucker)
5:24.0,R. Lopez misses 2-pt shot from 10 ft,,77-60,,
5:21.0,,,77-60,,Defensive rebound by P. Tucker
5:13.0,,,77-63,3,M. Teletovic makes 3-pt shot from 24 ft (assist by R. Price)
4:56.0,Shooting foul by P. Tucker (drawn by C. Anthony),,77-63,,
4:56.0,C. Anthony makes free throw 1 of 2,1,78-63,,
4:56.0,L. Galloway enters the game for J. Calderon,,78-63,,
4:56.0,,,78-63,,C. Budinger enters the game for P. Tucker
4:56.0,C. Anthony misses free throw 2 of 2,,78-63,,
4:55.0,,,78-63,,Defensive rebound by A. Len
4:38.0,,,78-63,,M. Teletovic misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by L. Galloway,,78-63,,
4:20.0,,,78-63,,Personal foul by A. Len
4:20.0,R. Lopez makes free throw 1 of 2,1,79-63,,
4:20.0,R. Lopez makes free throw 2 of 2,1,80-63,,
4:05.0,,,80-65,2,D. Booker makes 2-pt shot from 18 ft
4:03.0,New York full timeout,,80-65,,
3:47.0,C. Anthony misses 2-pt shot from 1 ft,,80-65,,
3:46.0,,,80-65,,Defensive rebound by A. Len
3:35.0,,,80-67,2,A. Len makes 2-pt shot from 17 ft
3:17.0,C. Anthony makes 3-pt shot from 24 ft (assist by L. Galloway),3,83-67,,
3:04.0,,,83-67,,D. Booker misses 2-pt shot from 2 ft (block by R. Lopez)
3:03.0,Defensive rebound by C. Anthony,,83-67,,
2:48.0,C. Anthony misses 3-pt shot from 24 ft,,83-67,,
2:48.0,,,83-67,,Defensive rebound by C. Budinger
2:31.0,,,83-70,3,R. Price makes 3-pt shot from 23 ft (assist by A. Len)
2:08.0,J. Grant misses 2-pt shot from 5 ft,,83-70,,
2:07.0,,,83-70,,Defensive rebound by A. Len
1:57.0,,,83-70,,R. Price misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by R. Lopez,,83-70,,
1:37.0,S. Vujacic makes 3-pt shot from 24 ft (assist by C. Anthony),3,86-70,,
1:16.0,,,86-70,,C. Budinger misses 3-pt shot from 23 ft
1:15.0,Defensive rebound by C. Anthony,,86-70,,
0:53.0,S. Vujacic misses 3-pt shot from 23 ft,,86-70,,
0:52.0,,,86-70,,Defensive rebound by C. Budinger
0:48.0,,,86-73,3,D. Booker makes 3-pt shot from 25 ft (assist by C. Budinger)
0:24.0,J. Grant makes 2-pt shot at rim,2,88-73,,
0:01.0,,,88-73,,D. Booker misses 2-pt shot from 15 ft
0:00.0,,,88-73,,Offensive rebound by D. Booker
0:00.0,,,88-75,2,D. Booker makes 2-pt shot from 15 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,88-75,,Personal foul by R. Price
11:35.0,J. Calderon makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,91-75,,
11:21.0,,,91-75,,M. Teletovic misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by J. Grant,,91-75,,
11:15.0,L. Galloway makes 3-pt shot from 24 ft (assist by J. Grant),3,94-75,,
11:13.0,,,94-75,,Phoenix full timeout
11:13.0,,,94-75,,J. Jenkins enters the game for R. Price
11:01.0,,,94-75,,D. Booker misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by Team,,94-75,,
10:47.0,D. Williams makes 2-pt shot from 14 ft (assist by L. Galloway),2,96-75,,
10:38.0,Personal foul by L. Galloway,,96-75,,
10:32.0,,,96-77,2,C. Budinger makes 2-pt shot from 1 ft (assist by D. Booker)
10:03.0,L. Galloway misses 2-pt shot from 19 ft,,96-77,,
10:02.0,,,96-77,,Defensive rebound by D. Booker
9:54.0,,,96-77,,M. Teletovic misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by K. O'Quinn,,96-77,,
9:39.0,L. Galloway makes 3-pt shot from 23 ft (assist by K. O'Quinn),3,99-77,,
9:29.0,,,99-77,,D. Booker misses 2-pt shot from 4 ft (block by L. Galloway)
9:28.0,Defensive rebound by J. Calderon,,99-77,,
9:23.0,J. Calderon makes 2-pt shot from 20 ft,2,101-77,,
9:23.0,,,101-77,,Phoenix full timeout
9:23.0,,,101-77,,P. Tucker enters the game for M. Teletovic
9:23.0,,,101-77,,A. Len enters the game for J. Leuer
9:23.0,K. Porzingis enters the game for K. O'Quinn,,101-77,,
9:05.0,,,101-77,,D. Booker misses 2-pt shot from 17 ft
9:04.0,Defensive rebound by K. Porzingis,,101-77,,
8:54.0,D. Williams makes 2-pt shot at rim (assist by J. Calderon),2,103-77,,
8:50.0,,,103-77,,Turnover by D. Booker (lost ball; steal by J. Grant)
8:32.0,Shooting foul by C. Budinger (drawn by K. Porzingis),,103-77,,
8:32.0,K. Porzingis makes free throw 1 of 2,1,104-77,,
8:32.0,,,104-77,,T. Chandler enters the game for C. Budinger
8:32.0,,,104-77,,R. Price enters the game for J. Jenkins
8:32.0,K. Porzingis makes free throw 2 of 2,1,105-77,,
8:18.0,,,105-77,,Turnover by D. Booker (lost ball; steal by J. Calderon)
8:12.0,D. Williams makes 2-pt shot at rim (assist by J. Calderon),2,107-77,,
7:57.0,,,107-80,3,D. Booker makes 3-pt shot from 22 ft (assist by R. Price)
7:51.0,J. Grant makes 2-pt shot from 1 ft (assist by J. Calderon),2,109-80,,
7:30.0,,,109-80,,A. Len misses 2-pt shot from 6 ft
7:29.0,,,109-80,,Offensive rebound by T. Chandler
7:29.0,,,109-82,2,T. Chandler makes 2-pt shot at rim
7:07.0,J. Grant misses 3-pt shot from 24 ft,,109-82,,
7:06.0,,,109-82,,Defensive rebound by A. Len
7:02.0,Personal block foul by J. Grant,,109-82,,
6:57.0,,,109-82,,D. Booker misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by K. Porzingis,,109-82,,
6:47.0,K. Porzingis misses 3-pt shot from 24 ft,,109-82,,
6:47.0,,,109-82,,Defensive rebound by T. Chandler
6:36.0,,,109-82,,Turnover by T. Chandler (lost ball; steal by D. Williams)
6:28.0,L. Galloway makes 2-pt shot from 3 ft (assist by D. Williams),2,111-82,,
6:23.0,,,111-82,,Turnover by D. Booker (lost ball; steal by J. Grant)
6:16.0,,,111-82,,Personal foul by A. Len
6:16.0,,,111-82,,J. Jenkins enters the game for P. Tucker
6:16.0,,,111-82,,P. Pressey enters the game for A. Len
6:16.0,,,111-82,,A. Goodwin enters the game for T. Chandler
6:16.0,,,111-82,,M. Teletovic enters the game for D. Booker
6:16.0,,,111-82,,J. Leuer enters the game for R. Price
6:12.0,D. Williams makes 2-pt shot at rim (assist by J. Calderon),2,113-82,,
5:59.0,,,113-82,,A. Goodwin misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by L. Galloway,,113-82,,
5:51.0,Shooting foul by M. Teletovic (drawn by K. Porzingis),,113-82,,
5:51.0,Official timeout,,113-82,,
5:51.0,S. Vujacic enters the game for J. Calderon,,113-82,,
5:51.0,K. Porzingis makes free throw 1 of 2,1,114-82,,
5:51.0,K. Porzingis misses free throw 2 of 2,,114-82,,
5:50.0,,,114-82,,Defensive rebound by A. Goodwin
5:36.0,,,114-82,,J. Leuer misses 2-pt shot from 19 ft
5:35.0,Defensive rebound by S. Vujacic,,114-82,,
5:24.0,L. Galloway misses 3-pt shot from 24 ft,,114-82,,
5:24.0,,,114-82,,Defensive rebound by M. Teletovic
5:11.0,Personal foul by S. Vujacic,,114-82,,
5:04.0,,,114-82,,J. Leuer misses 2-pt shot from 18 ft
5:04.0,Defensive rebound by S. Vujacic,,114-82,,
4:42.0,D. Williams makes 3-pt shot from 23 ft (assist by J. Grant),3,117-82,,
4:31.0,,,117-84,2,J. Jenkins makes 2-pt shot from 20 ft (assist by J. Leuer)
4:13.0,D. Williams makes 3-pt shot from 24 ft (assist by L. Galloway),3,120-84,,
4:00.0,,,120-87,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Leuer)
4:00.0,New York full timeout,,120-87,,
4:00.0,K. Seraphin enters the game for K. Porzingis,,120-87,,
4:00.0,L. Amundson enters the game for S. Vujacic,,120-87,,
3:44.0,L. Amundson misses 2-pt shot from 12 ft,,120-87,,
3:44.0,,,120-87,,Defensive rebound by J. Leuer
3:24.0,,,120-87,,J. Leuer misses 2-pt shot from 3 ft (block by K. Seraphin)
3:23.0,Defensive rebound by L. Galloway,,120-87,,
3:17.0,D. Williams makes 2-pt shot from 2 ft,2,122-87,,
3:10.0,,,122-87,,J. Jenkins misses 3-pt shot from 24 ft
3:09.0,,,122-87,,Offensive rebound by P. Pressey
3:03.0,,,122-87,,A. Goodwin misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by L. Galloway,,122-87,,
2:46.0,D. Williams misses 3-pt shot from 25 ft,,122-87,,
2:45.0,,,122-87,,Defensive rebound by A. Goodwin
2:35.0,,,122-89,2,J. Jenkins makes 2-pt shot from 17 ft
2:13.0,K. Seraphin makes 2-pt shot from 17 ft (assist by D. Williams),2,124-89,,
1:59.0,,,124-91,2,A. Goodwin makes 2-pt shot from 2 ft
1:48.0,J. Grant makes 2-pt shot from 2 ft,2,126-91,,
1:35.0,,,126-93,2,J. Jenkins makes 2-pt shot from 14 ft
1:21.0,Turnover by J. Grant (lost ball; steal by P. Pressey),,126-93,,
1:19.0,,,126-93,,Shooting foul by L. Galloway (drawn by A. Goodwin)
1:19.0,,,126-93,,A. Goodwin misses free throw 1 of 2
1:19.0,,,126-93,,Offensive rebound by Team
1:19.0,,,126-93,,A. Goodwin misses free throw 2 of 2
1:17.0,,,126-93,,Offensive rebound by M. Teletovic
1:07.0,,,126-93,,J. Jenkins misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by K. Seraphin,,126-93,,
0:58.0,K. Seraphin misses 2-pt shot from 2 ft,,126-93,,
0:57.0,Offensive rebound by K. Seraphin,,126-93,,
0:54.0,K. Seraphin misses 2-pt shot at rim,,126-93,,
0:53.0,,,126-93,,Defensive rebound by M. Teletovic
0:48.0,,,126-93,,A. Goodwin misses 2-pt shot from 1 ft (block by L. Galloway)
0:46.0,Defensive rebound by J. Grant,,126-93,,
