time,Brooklyn,pts.away,score,pts.home,Philadelphia
4:06.0,,,59-68,,I. Smith misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by W. Ellington,,59-68,,
3:56.0,D. Sloan makes 2-pt shot from 15 ft,2,61-68,,
3:36.0,,,61-68,,I. Smith misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by D. Sloan,,61-68,,
3:30.0,D. Sloan misses 2-pt shot from 1 ft,,61-68,,
3:28.0,,,61-68,,Defensive rebound by I. Smith
3:24.0,,,61-68,,Philadelphia full timeout
3:05.0,,,61-68,,I. Canaan misses 3-pt shot from 25 ft
3:03.0,,,61-68,,Offensive rebound by C. Landry
3:03.0,,,61-70,2,C. Landry makes 2-pt shot from 1 ft
2:48.0,T. Young makes 2-pt shot from 9 ft (assist by D. Sloan),2,63-70,,
2:36.0,,,63-70,,N. Stauskas misses 2-pt shot from 20 ft
2:34.0,Defensive rebound by B. Lopez,,63-70,,
2:23.0,D. Sloan misses 2-pt shot from 1 ft,,63-70,,
2:21.0,,,63-70,,Defensive rebound by I. Smith
2:15.0,,,63-70,,N. Stauskas misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by W. Ellington,,63-70,,
1:56.0,T. Young makes 2-pt shot from 3 ft,2,65-70,,
1:41.0,,,65-70,,I. Smith misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by T. Young,,65-70,,
1:24.0,T. Young misses 2-pt shot from 1 ft,,65-70,,
1:22.0,,,65-70,,Defensive rebound by N. Stauskas
1:18.0,,,65-72,2,N. Stauskas makes 2-pt shot from 1 ft
1:07.0,Brooklyn full timeout,,65-72,,
1:07.0,,,65-72,,T. McConnell enters the game for I. Smith
1:07.0,,,65-72,,E. Brand enters the game for R. Holmes
1:07.0,,,65-72,,N. Noel enters the game for C. Landry
0:54.0,D. Sloan misses 2-pt shot from 1 ft,,65-72,,
0:53.0,Offensive rebound by B. Lopez,,65-72,,
0:53.0,B. Lopez makes 2-pt shot at rim,2,67-72,,
0:32.0,,,67-72,,I. Canaan misses 3-pt shot from 26 ft
0:30.0,,,67-72,,Offensive rebound by N. Noel
0:28.0,,,67-72,,Turnover by E. Brand (lost ball)
0:28.0,S. Larkin enters the game for D. Sloan,,67-72,,
0:28.0,T. Robinson enters the game for B. Lopez,,67-72,,
0:12.0,W. Ellington misses 2-pt shot from 11 ft,,67-72,,
0:10.0,Offensive rebound by T. Young,,67-72,,
0:08.0,Turnover by S. Karasev (bad pass),,67-72,,
0:03.0,Personal foul by S. Larkin,,67-72,,
0:03.0,,,67-72,,H. Thompson enters the game for E. Brand
0:03.0,,,67-72,,Turnover by Team (turnover)
0:00.0,S. Larkin misses 2-pt shot from 16 ft,,67-72,,
0:00.0,Offensive rebound by Team,,67-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by S. Larkin (lost ball; steal by E. Brand),,67-72,,
11:25.0,,,67-72,,E. Brand misses 2-pt shot from 15 ft
11:24.0,,,67-72,,Offensive rebound by N. Noel
11:24.0,,,67-74,2,N. Noel makes 2-pt shot from 1 ft
11:07.0,S. Kilpatrick misses 3-pt shot from 25 ft,,67-74,,
11:06.0,,,67-74,,Defensive rebound by T. McConnell
11:03.0,,,67-74,,Turnover by T. McConnell (lost ball; steal by S. Larkin)
10:58.0,S. Kilpatrick makes 2-pt shot from 3 ft (assist by T. Robinson),2,69-74,,
10:32.0,,,69-74,,N. Stauskas misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by Team,,69-74,,
10:16.0,M. Brown misses 2-pt shot from 10 ft,,69-74,,
10:15.0,,,69-74,,Defensive rebound by Team
10:01.0,,,69-74,,Turnover by N. Stauskas (lost ball; steal by S. Larkin)
9:56.0,S. Kilpatrick makes 2-pt shot at rim (assist by S. Larkin),2,71-74,,
9:40.0,,,71-74,,Turnover by N. Noel (lost ball; steal by S. Larkin)
9:25.0,Turnover by S. Larkin (traveling),,71-74,,
9:14.0,,,71-76,2,T. McConnell makes 2-pt shot from 1 ft
8:56.0,S. Kilpatrick misses 3-pt shot from 22 ft,,71-76,,
8:54.0,Offensive rebound by C. McCullough,,71-76,,
8:52.0,C. McCullough misses 2-pt shot from 2 ft (block by E. Brand),,71-76,,
8:50.0,,,71-76,,Defensive rebound by E. Brand
8:44.0,,,71-76,,T. McConnell misses 2-pt shot at rim
8:43.0,,,71-76,,Offensive rebound by N. Noel
8:43.0,Personal foul by C. McCullough,,71-76,,
8:43.0,Official timeout,,71-76,,
8:43.0,,,71-76,,C. Landry enters the game for N. Noel
8:33.0,,,71-78,2,C. Landry makes 2-pt shot from 15 ft (assist by N. Stauskas)
8:14.0,Shooting foul by E. Brand (drawn by T. Robinson),,71-78,,
8:14.0,T. Robinson makes free throw 1 of 2,1,72-78,,
8:14.0,T. Young enters the game for C. McCullough,,72-78,,
8:14.0,T. Robinson makes free throw 2 of 2,1,73-78,,
8:03.0,Shooting block foul by T. Young (drawn by C. Landry),,73-78,,
8:03.0,,,73-79,1,C. Landry makes free throw 1 of 2
8:03.0,,,73-80,1,C. Landry makes free throw 2 of 2
7:40.0,T. Young misses 2-pt shot from 18 ft,,73-80,,
7:38.0,,,73-80,,Defensive rebound by E. Brand
7:26.0,,,73-83,3,T. McConnell makes 3-pt shot from 25 ft
7:12.0,S. Kilpatrick misses 3-pt shot from 23 ft,,73-83,,
7:10.0,Offensive rebound by T. Young,,73-83,,
7:06.0,,,73-83,,Shooting block foul by E. Brand (drawn by T. Young)
7:06.0,T. Young misses free throw 1 of 2,,73-83,,
7:06.0,Offensive rebound by Team,,73-83,,
7:06.0,D. Sloan enters the game for S. Larkin,,73-83,,
7:06.0,T. Young makes free throw 2 of 2,1,74-83,,
6:46.0,,,74-86,3,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell)
6:29.0,T. Young makes 2-pt shot from 5 ft (assist by D. Sloan),2,76-86,,
6:12.0,B. Lopez enters the game for T. Robinson,,76-86,,
6:12.0,,,76-86,,I. Smith enters the game for T. McConnell
6:12.0,,,76-86,,N. Noel enters the game for E. Brand
6:05.0,,,76-86,,I. Smith misses 3-pt shot from 26 ft
6:03.0,,,76-86,,Offensive rebound by Team
6:03.0,,,76-86,,Turnover by Team (shot clock)
5:52.0,T. Young makes 2-pt shot from 7 ft,2,78-86,,
5:46.0,,,78-86,,Philadelphia full timeout
5:46.0,,,78-86,,I. Canaan enters the game for N. Stauskas
5:36.0,,,78-88,2,N. Noel makes 2-pt shot from 8 ft (assist by I. Smith)
5:19.0,Turnover by M. Brown (lost ball),,78-88,,
5:00.0,,,78-88,,C. Landry misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by S. Kilpatrick,,78-88,,
4:44.0,B. Lopez makes 2-pt shot at rim (assist by M. Brown),2,80-88,,
4:31.0,,,80-88,,Offensive foul by H. Thompson
4:31.0,,,80-88,,Turnover by H. Thompson (offensive foul)
4:31.0,W. Ellington enters the game for M. Brown,,80-88,,
4:16.0,W. Ellington makes 3-pt shot from 26 ft (assist by T. Young),3,83-88,,
3:56.0,,,83-90,2,C. Landry makes 2-pt shot from 2 ft (assist by I. Smith)
3:29.0,T. Young misses 3-pt shot from 27 ft,,83-90,,
3:28.0,Offensive rebound by B. Lopez,,83-90,,
3:25.0,Turnover by B. Lopez (lost ball; steal by N. Noel),,83-90,,
3:25.0,Jump ball: B. Lopez vs. N. Noel (H. Thompson gains possession),,,,Jump ball: B. Lopez vs. N. Noel (H. Thompson gains possession)
3:11.0,,,83-90,,I. Smith misses 2-pt shot from 3 ft (block by B. Lopez)
3:11.0,,,83-90,,Offensive rebound by Team
3:07.0,,,83-90,,I. Canaan misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by T. Young,,83-90,,
2:53.0,Shooting foul by H. Thompson (drawn by B. Lopez),,83-90,,
2:53.0,Brooklyn full timeout,,83-90,,
2:53.0,B. Lopez makes free throw 1 of 2,1,84-90,,
2:53.0,B. Lopez misses free throw 2 of 2,,84-90,,
2:49.0,Jump ball: B. Lopez vs. N. Noel (W. Ellington gains possession),,,,Jump ball: B. Lopez vs. N. Noel (W. Ellington gains possession)
