time,New York,pts.away,score,pts.home,Sacramento
9:09.0,,,45-54,,Shooting foul by R. Lopez (drawn by D. Cousins)
9:09.0,,,45-55,1,D. Cousins makes free throw 1 of 1
8:53.0,C. Anthony misses 2-pt shot from 21 ft,,45-55,,
8:53.0,,,45-55,,Defensive rebound by B. McLemore
8:47.0,,,45-57,2,O. Casspi makes 2-pt shot from 3 ft (assist by R. Rondo)
8:35.0,C. Anthony makes 2-pt shot from 15 ft,2,47-57,,
8:24.0,,,47-57,,R. Gay misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by A. Afflalo,,47-57,,
8:19.0,Turnover by C. Anthony (bad pass),,47-57,,
8:04.0,,,47-59,2,R. Gay makes 2-pt shot from 11 ft
7:51.0,A. Afflalo misses 3-pt shot from 22 ft,,47-59,,
7:51.0,,,47-59,,Defensive rebound by D. Cousins
7:42.0,,,47-59,,D. Cousins misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by C. Anthony,,47-59,,
7:24.0,K. Porzingis makes 2-pt shot from 2 ft (assist by R. Lopez),2,49-59,,
7:03.0,,,49-59,,Shooting foul by R. Lopez (drawn by B. McLemore)
7:03.0,,,49-60,1,B. McLemore makes free throw 1 of 2
7:03.0,,,49-61,1,B. McLemore makes free throw 2 of 2
6:39.0,J. Calderon misses 3-pt shot from 23 ft,,49-61,,
6:36.0,,,49-61,,Defensive rebound by Team
6:36.0,L. Thomas enters the game for R. Lopez,,49-61,,
6:19.0,,,49-63,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo)
6:19.0,New York full timeout,,49-63,,
5:54.0,A. Afflalo misses 3-pt shot from 24 ft,,49-63,,
5:54.0,,,49-63,,Defensive rebound by D. Cousins
5:48.0,,,49-65,2,R. Rondo makes 2-pt shot from 2 ft
5:25.0,L. Thomas makes 2-pt shot from 10 ft,2,51-65,,
5:08.0,,,51-67,2,R. Rondo makes 2-pt shot from 1 ft
4:54.0,C. Anthony misses 2-pt shot from 18 ft,,51-67,,
4:54.0,,,51-67,,Defensive rebound by D. Cousins
4:47.0,,,51-69,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo)
4:47.0,,,51-69,,Shooting foul by A. Afflalo (drawn by D. Cousins)
4:47.0,L. Galloway enters the game for A. Afflalo,,51-69,,
4:47.0,K. O'Quinn enters the game for K. Porzingis,,51-69,,
4:47.0,,,51-70,1,D. Cousins makes free throw 1 of 1
4:32.0,K. O'Quinn makes 2-pt shot from 16 ft,2,53-70,,
4:20.0,,,53-72,2,D. Cousins makes 2-pt shot from 3 ft
4:04.0,K. O'Quinn misses 2-pt shot from 21 ft,,53-72,,
4:03.0,,,53-72,,Defensive rebound by R. Rondo
3:55.0,,,53-72,,D. Cousins misses 2-pt shot from 19 ft
3:54.0,,,53-72,,Offensive rebound by R. Rondo
3:47.0,,,53-72,,B. McLemore misses 2-pt shot from 15 ft
3:46.0,,,53-72,,Offensive rebound by R. Gay
3:46.0,,,53-72,,R. Gay misses 2-pt shot from 1 ft
3:45.0,,,53-72,,Offensive rebound by R. Gay
3:45.0,,,53-72,,R. Gay misses 2-pt shot from 1 ft
3:44.0,Defensive rebound by C. Anthony,,53-72,,
3:34.0,L. Thomas misses 3-pt shot from 23 ft,,53-72,,
3:33.0,Offensive rebound by K. O'Quinn,,53-72,,
3:31.0,K. O'Quinn makes 2-pt shot from 2 ft,2,55-72,,
3:11.0,,,55-74,2,B. McLemore makes 2-pt shot from 2 ft (assist by R. Gay)
2:55.0,C. Anthony makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,57-74,,
2:54.0,,,57-74,,Sacramento full timeout
2:54.0,,,57-74,,D. Collison enters the game for O. Casspi
2:54.0,,,57-74,,M. Belinelli enters the game for D. Cousins
2:54.0,,,57-74,,K. Koufos enters the game for B. McLemore
2:54.0,S. Vujacic enters the game for J. Calderon,,57-74,,
2:38.0,,,57-74,,K. Koufos misses 2-pt shot from 10 ft
2:38.0,Defensive rebound by C. Anthony,,57-74,,
2:32.0,Shooting foul by M. Belinelli (drawn by K. O'Quinn),,57-74,,
2:32.0,K. O'Quinn makes free throw 1 of 2,1,58-74,,
2:32.0,K. O'Quinn makes free throw 2 of 2,1,59-74,,
2:10.0,,,59-74,,R. Rondo misses 2-pt shot from 4 ft
2:09.0,Defensive rebound by K. O'Quinn,,59-74,,
2:04.0,L. Galloway misses 2-pt shot from 16 ft,,59-74,,
2:03.0,Offensive rebound by C. Anthony,,59-74,,
2:02.0,Shooting foul by R. Gay (drawn by C. Anthony),,59-74,,
2:02.0,C. Anthony misses free throw 1 of 2,,59-74,,
2:02.0,Offensive rebound by Team,,59-74,,
2:02.0,C. Anthony makes free throw 2 of 2,1,60-74,,
1:49.0,,,60-74,,R. Gay misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by K. O'Quinn,,60-74,,
1:41.0,,,60-74,,Personal foul by R. Gay (drawn by C. Anthony)
1:41.0,C. Anthony makes free throw 1 of 2,1,61-74,,
1:41.0,C. Anthony makes free throw 2 of 2,1,62-74,,
1:27.0,,,62-74,,R. Gay misses 2-pt shot from 5 ft
1:26.0,Defensive rebound by L. Galloway,,62-74,,
1:19.0,S. Vujacic makes 3-pt shot from 22 ft (assist by C. Anthony),3,65-74,,
1:03.0,,,65-74,,M. Belinelli misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by S. Vujacic,,65-74,,
0:44.0,Turnover by C. Anthony (lost ball; steal by R. Gay),,65-74,,
0:29.0,,,65-76,2,D. Collison makes 2-pt shot from 12 ft
0:09.0,Offensive charge foul by C. Anthony,,65-76,,
0:09.0,Turnover by C. Anthony (offensive foul),,65-76,,
0:09.0,,,65-76,,B. McLemore enters the game for K. Koufos
0:09.0,A. Afflalo enters the game for K. O'Quinn,,65-76,,
0:01.0,,,65-76,,Turnover by D. Collison (bad pass; steal by L. Thomas)
0:00.0,L. Thomas misses 3-pt shot from 41 ft,,65-76,,
0:00.0,Offensive rebound by Team,,65-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,S. Vujacic makes 2-pt shot from 22 ft (assist by K. O'Quinn),2,67-76,,
11:29.0,,,67-78,2,D. Collison makes 2-pt shot from 20 ft
11:12.0,A. Afflalo misses 2-pt shot from 2 ft,,67-78,,
11:11.0,,,67-78,,Defensive rebound by K. Koufos
10:56.0,,,67-80,2,K. Koufos makes 2-pt shot from 5 ft (assist by O. Casspi)
10:39.0,L. Galloway makes 3-pt shot from 25 ft (assist by A. Afflalo),3,70-80,,
10:23.0,,,70-80,,D. Collison misses 2-pt shot from 5 ft
10:22.0,Defensive rebound by L. Galloway,,70-80,,
10:18.0,Shooting foul by M. Belinelli (drawn by L. Galloway),,70-80,,
10:18.0,L. Galloway makes free throw 1 of 2,1,71-80,,
10:18.0,K. Porzingis enters the game for K. O'Quinn,,71-80,,
10:18.0,L. Galloway makes free throw 2 of 2,1,72-80,,
10:04.0,,,72-82,2,K. Koufos makes 2-pt shot from 7 ft (assist by R. Rondo)
9:48.0,K. Porzingis misses 2-pt shot from 16 ft,,72-82,,
9:48.0,,,72-82,,Defensive rebound by R. Rondo
9:39.0,,,72-82,,O. Casspi misses 2-pt shot from 6 ft (block by K. Porzingis)
9:37.0,Defensive rebound by L. Thomas,,72-82,,
9:30.0,S. Vujacic misses 3-pt shot from 24 ft,,72-82,,
9:30.0,Offensive rebound by L. Thomas,,72-82,,
9:25.0,L. Thomas makes 3-pt shot from 23 ft,3,75-82,,
9:11.0,,,75-82,,Turnover by R. Rondo (bad pass; steal by L. Thomas)
9:10.0,,,75-82,,Personal foul by O. Casspi (drawn by S. Vujacic)
9:10.0,,,75-82,,Sacramento full timeout
9:10.0,,,75-82,,D. Cousins enters the game for R. Rondo
8:57.0,L. Galloway misses 2-pt shot from 16 ft,,75-82,,
8:56.0,,,75-82,,Defensive rebound by K. Koufos
8:40.0,,,75-82,,Turnover by M. Belinelli (bad pass)
8:21.0,A. Afflalo makes 2-pt shot from 8 ft,2,77-82,,
8:07.0,,,77-82,,M. Belinelli misses 2-pt shot from 20 ft
8:06.0,Defensive rebound by L. Thomas,,77-82,,
7:56.0,Offensive charge foul by A. Afflalo,,77-82,,
7:56.0,Turnover by A. Afflalo (offensive foul),,77-82,,
7:56.0,,,77-82,,R. Gay enters the game for M. Belinelli
7:56.0,,,77-82,,R. Rondo enters the game for K. Koufos
7:56.0,C. Anthony enters the game for A. Afflalo,,77-82,,
7:49.0,Personal foul by S. Vujacic (drawn by D. Cousins),,77-82,,
7:40.0,,,77-84,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
7:29.0,Offensive charge foul by L. Galloway,,77-84,,
7:29.0,Turnover by L. Galloway (offensive foul),,77-84,,
7:19.0,Personal foul by S. Vujacic (drawn by D. Collison),,77-84,,
7:12.0,,,77-84,,Turnover by R. Rondo (bad pass; steal by L. Galloway)
7:07.0,L. Galloway makes 2-pt shot from 2 ft,2,79-84,,
6:48.0,,,79-84,,D. Cousins misses 2-pt shot at rim
6:47.0,Defensive rebound by L. Thomas,,79-84,,
6:34.0,C. Anthony misses 2-pt shot from 2 ft,,79-84,,
6:33.0,,,79-84,,Defensive rebound by O. Casspi
6:29.0,Violation by L. Galloway (def goaltending),,79-84,,
6:29.0,,,79-86,2,D. Collison makes 2-pt shot from 3 ft
6:29.0,New York full timeout,,79-86,,
6:29.0,J. Calderon enters the game for L. Galloway,,79-86,,
6:06.0,S. Vujacic makes 3-pt shot from 25 ft (assist by L. Thomas),3,82-86,,
5:52.0,,,82-86,,Turnover by R. Gay (bad pass; steal by K. Porzingis)
5:45.0,Shooting foul by O. Casspi (drawn by C. Anthony),,82-86,,
5:45.0,C. Anthony makes free throw 1 of 2,1,83-86,,
5:45.0,C. Anthony misses free throw 2 of 2,,83-86,,
5:43.0,Offensive rebound by J. Calderon,,83-86,,
5:25.0,Turnover by K. Porzingis (lost ball; steal by D. Cousins),,83-86,,
5:20.0,,,83-86,,D. Collison misses 2-pt shot from 3 ft
5:19.0,,,83-86,,Offensive rebound by D. Cousins
5:19.0,,,83-88,2,D. Cousins makes 2-pt shot at rim
5:03.0,Shooting foul by D. Cousins (drawn by K. Porzingis),,83-88,,
5:03.0,K. Porzingis misses free throw 1 of 2,,83-88,,
5:03.0,Offensive rebound by Team,,83-88,,
5:03.0,K. Porzingis makes free throw 2 of 2,1,84-88,,
4:44.0,,,84-88,,Turnover by D. Cousins (lost ball; steal by K. Porzingis)
4:36.0,S. Vujacic misses 3-pt shot from 24 ft,,84-88,,
