time,Orlando,pts.away,score,pts.home,Indiana
6:51.0,,,12-13,,G. Hill misses 2-pt shot from 16 ft
6:50.0,Defensive rebound by T. Harris,,12-13,,
6:38.0,Turnover by V. Oladipo (bad pass; steal by M. Ellis),,12-13,,
6:30.0,,,12-13,,Turnover by C. Miles (bad pass; steal by E. Fournier)
6:26.0,E. Fournier misses 2-pt shot from 1 ft,,12-13,,
6:24.0,Offensive rebound by T. Harris,,12-13,,
6:23.0,T. Harris misses 2-pt shot from 3 ft,,12-13,,
6:22.0,,,12-13,,Defensive rebound by G. Hill
6:09.0,Def 3 sec tech foul by E. Fournier,,12-13,,
6:09.0,,,12-14,1,P. George makes technical free throw
5:59.0,,,12-14,,Shooting foul by E. Fournier (drawn by P. George)
5:59.0,,,12-15,1,P. George makes free throw 1 of 3
5:59.0,,,12-16,1,P. George makes free throw 2 of 3
5:59.0,,,12-16,,J. Hill enters the game for C. Miles
5:59.0,A. Gordon enters the game for T. Harris,,12-16,,
5:59.0,,,12-17,1,P. George makes free throw 3 of 3
5:47.0,V. Oladipo misses 3-pt shot from 25 ft,,12-17,,
5:45.0,,,12-17,,Defensive rebound by G. Hill
5:35.0,,,12-17,,Turnover by M. Ellis (lost ball; steal by E. Fournier)
5:29.0,E. Fournier makes 2-pt shot at rim,2,14-17,,
5:04.0,,,14-17,,P. George misses 2-pt shot from 18 ft
5:02.0,,,14-17,,Offensive rebound by Team
5:02.0,,,14-17,,R. Stuckey enters the game for G. Hill
5:02.0,C. Frye enters the game for D. Dedmon,,14-17,,
4:56.0,Violation by E. Fournier (kicked ball),,14-17,,
4:51.0,,,14-17,,Turnover by J. Hill (traveling)
4:40.0,A. Gordon misses 2-pt shot from 1 ft,,14-17,,
4:40.0,Offensive rebound by Team,,14-17,,
4:40.0,,,14-17,,Loose ball foul by J. Hill (drawn by A. Gordon)
4:37.0,E. Fournier misses 3-pt shot from 25 ft,,14-17,,
4:36.0,,,14-17,,Defensive rebound by R. Stuckey
4:29.0,,,14-17,,Turnover by P. George (step out of bounds)
4:29.0,M. Hezonja enters the game for E. Fournier,,14-17,,
4:13.0,E. Payton makes 2-pt shot from 17 ft,2,16-17,,
3:56.0,,,16-17,,M. Ellis misses 2-pt shot from 16 ft
3:55.0,,,16-17,,Offensive rebound by J. Hill
3:53.0,,,16-17,,J. Hill misses 2-pt shot at rim (block by A. Gordon)
3:52.0,Defensive rebound by A. Gordon,,16-17,,
3:46.0,V. Oladipo makes 2-pt shot at rim (assist by A. Gordon),2,18-17,,
3:46.0,,,18-17,,Indiana full timeout
3:32.0,,,18-17,,J. Hill misses 2-pt shot from 7 ft
3:31.0,Defensive rebound by V. Oladipo,,18-17,,
3:26.0,V. Oladipo misses 2-pt shot from 19 ft,,18-17,,
3:23.0,,,18-17,,Defensive rebound by I. Mahinmi
3:15.0,,,18-20,3,P. George makes 3-pt shot from 27 ft (assist by M. Ellis)
3:01.0,C. Frye misses 3-pt shot from 25 ft,,18-20,,
3:00.0,,,18-20,,Defensive rebound by J. Hill
2:51.0,Personal foul by C. Frye (drawn by I. Mahinmi),,18-20,,
2:51.0,C. Watson enters the game for E. Payton,,18-20,,
2:47.0,,,18-20,,J. Hill misses 2-pt shot from 17 ft
2:46.0,Defensive rebound by V. Oladipo,,18-20,,
2:42.0,V. Oladipo misses 2-pt shot from 1 ft (block by R. Stuckey),,18-20,,
2:42.0,Offensive rebound by Team,,18-20,,
2:32.0,M. Hezonja makes 2-pt shot from 2 ft,2,20-20,,
2:20.0,,,20-22,2,P. George makes 2-pt shot at rim (assist by J. Hill)
2:20.0,Shooting block foul by V. Oladipo (drawn by P. George),,20-22,,
2:20.0,,,20-23,1,P. George makes free throw 1 of 1
2:13.0,,,20-23,,Personal block foul by M. Ellis (drawn by C. Watson)
1:59.0,Turnover by M. Hezonja (bad pass; steal by R. Stuckey),,20-23,,
1:42.0,,,20-23,,M. Ellis misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by V. Oladipo,,20-23,,
1:26.0,M. Hezonja misses 2-pt shot from 6 ft (block by I. Mahinmi),,20-23,,
1:25.0,Offensive rebound by C. Frye,,20-23,,
1:24.0,C. Frye makes 2-pt shot at rim,2,22-23,,
1:10.0,Personal block foul by C. Frye (drawn by I. Mahinmi),,22-23,,
1:10.0,,,22-23,,M. Turner enters the game for I. Mahinmi
1:04.0,,,22-23,,R. Stuckey misses 2-pt shot from 19 ft
1:04.0,,,22-23,,Offensive rebound by P. George
0:50.0,,,22-23,,Turnover by M. Turner (3 sec)
0:38.0,C. Frye makes 3-pt shot from 26 ft (assist by V. Oladipo),3,25-23,,
0:16.0,,,25-25,2,J. Hill makes 2-pt shot from 1 ft (assist by P. George)
0:00.0,C. Watson misses 3-pt shot from 36 ft,,25-25,,
0:00.0,Offensive rebound by Team,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja),2,27-25,,
11:46.0,Shooting foul by C. Budinger (drawn by A. Gordon),,27-25,,
11:46.0,A. Gordon makes free throw 1 of 1,1,28-25,,
11:31.0,,,28-28,3,G. Hill makes 3-pt shot from 24 ft (assist by J. Hill)
11:10.0,Turnover by A. Gordon (traveling),,28-28,,
10:55.0,,,28-28,,J. Hill misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by C. Frye,,28-28,,
10:41.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Hezonja),3,31-28,,
10:17.0,,,31-28,,R. Stuckey misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by M. Hezonja,,31-28,,
10:09.0,M. Hezonja misses 3-pt shot from 27 ft,,31-28,,
10:09.0,,,31-28,,Defensive rebound by J. Hill
10:00.0,,,31-30,2,M. Turner makes 2-pt shot from 13 ft (assist by R. Stuckey)
9:34.0,A. Gordon misses 3-pt shot from 26 ft,,31-30,,
9:33.0,,,31-30,,Defensive rebound by R. Stuckey
9:12.0,,,31-33,3,G. Hill makes 3-pt shot from 24 ft (assist by J. Hill)
8:52.0,C. Frye misses 3-pt shot from 24 ft,,31-33,,
8:51.0,,,31-33,,Defensive rebound by C. Budinger
8:41.0,,,31-33,,R. Stuckey misses 2-pt shot from 14 ft
8:40.0,Defensive rebound by E. Fournier,,31-33,,
8:33.0,Turnover by C. Watson (bad pass; steal by J. Hill),,31-33,,
8:29.0,,,31-35,2,R. Stuckey makes 2-pt shot at rim (assist by J. Hill)
8:14.0,Official timeout,,31-35,,
8:14.0,E. Payton enters the game for A. Gordon,,31-35,,
8:14.0,V. Oladipo enters the game for M. Hezonja,,31-35,,
8:14.0,T. Harris enters the game for C. Watson,,31-35,,
8:05.0,V. Oladipo misses 2-pt shot at rim,,31-35,,
8:04.0,,,31-35,,Defensive rebound by G. Hill
7:42.0,,,31-35,,M. Turner misses 2-pt shot from 13 ft
7:42.0,Defensive rebound by V. Oladipo,,31-35,,
7:23.0,C. Frye misses 3-pt shot from 25 ft,,31-35,,
7:23.0,,,31-35,,Defensive rebound by G. Hill
7:06.0,,,31-35,,C. Budinger misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by T. Harris,,31-35,,
6:59.0,T. Harris misses 2-pt shot from 3 ft,,31-35,,
6:58.0,,,31-35,,Defensive rebound by M. Turner
6:45.0,,,31-37,2,M. Turner makes 2-pt shot at rim (assist by R. Stuckey)
6:29.0,E. Payton makes 2-pt shot from 1 ft,2,33-37,,
6:15.0,,,33-39,2,R. Stuckey makes 2-pt shot from 1 ft
5:57.0,,,33-39,,Personal foul by R. Stuckey (drawn by E. Fournier)
5:57.0,,,33-39,,Indiana full timeout
5:57.0,,,33-39,,Technical foul by R. Stuckey (drawn by E. Fournier)
5:57.0,Technical foul by C. Frye,,33-39,,
5:57.0,D. Dedmon enters the game for C. Frye,,33-39,,
5:57.0,,,33-39,,C. Miles enters the game for J. Hill
5:49.0,Turnover by V. Oladipo (lost ball),,33-39,,
5:32.0,,,33-39,,M. Turner misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by D. Dedmon,,33-39,,
5:22.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,36-39,,
5:09.0,,,36-42,3,G. Hill makes 3-pt shot from 25 ft (assist by R. Stuckey)
4:56.0,E. Fournier misses 3-pt shot from 24 ft,,36-42,,
4:54.0,Offensive rebound by D. Dedmon,,36-42,,
4:43.0,Turnover by D. Dedmon (lost ball; steal by G. Hill),,36-42,,
4:36.0,,,36-42,,C. Miles misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by E. Payton,,36-42,,
4:30.0,Shooting foul by G. Hill (drawn by E. Payton),,36-42,,
4:30.0,E. Payton makes free throw 1 of 2,1,37-42,,
4:30.0,,,37-42,,M. Ellis enters the game for C. Budinger
4:30.0,,,37-42,,P. George enters the game for G. Hill
4:30.0,E. Payton misses free throw 2 of 2,,37-42,,
4:30.0,,,37-42,,Defensive rebound by M. Ellis
4:22.0,,,37-42,,Turnover by M. Ellis (bad pass; steal by D. Dedmon)
4:17.0,Shooting foul by M. Turner (drawn by E. Payton),,37-42,,
4:17.0,E. Payton makes free throw 1 of 2,1,38-42,,
4:17.0,E. Payton makes free throw 2 of 2,1,39-42,,
4:05.0,,,39-42,,M. Ellis misses 2-pt shot from 20 ft
4:04.0,Defensive rebound by T. Harris,,39-42,,
3:48.0,Turnover by E. Payton (bad pass; steal by R. Stuckey),,39-42,,
3:44.0,,,39-44,2,C. Miles makes 2-pt shot at rim (assist by R. Stuckey)
3:26.0,V. Oladipo misses 2-pt shot from 6 ft,,39-44,,
3:25.0,,,39-44,,Defensive rebound by M. Turner
3:06.0,,,39-44,,C. Miles misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by T. Harris,,39-44,,
2:59.0,T. Harris misses 3-pt shot from 26 ft,,39-44,,
2:59.0,,,39-44,,Defensive rebound by M. Turner
2:51.0,,,39-44,,R. Stuckey misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by D. Dedmon,,39-44,,
2:38.0,T. Harris misses 3-pt shot from 24 ft,,39-44,,
2:37.0,,,39-44,,Defensive rebound by M. Turner
2:27.0,,,39-46,2,R. Stuckey makes 2-pt shot from 1 ft
2:07.0,V. Oladipo makes 2-pt shot at rim,2,41-46,,
2:07.0,,,41-46,,Indiana full timeout
2:07.0,Orlando full timeout,,41-46,,
2:07.0,,,41-46,,I. Mahinmi enters the game for R. Stuckey
2:07.0,,,41-46,,G. Hill enters the game for M. Turner
2:07.0,M. Hezonja enters the game for T. Harris,,41-46,,
1:50.0,,,41-46,,Turnover by I. Mahinmi (traveling)
1:41.0,E. Fournier makes 2-pt shot from 6 ft,2,43-46,,
1:26.0,,,43-46,,Shooting foul by E. Fournier (drawn by C. Miles)
1:26.0,,,43-47,1,C. Miles makes free throw 1 of 2
1:26.0,,,43-47,,C. Miles misses free throw 2 of 2
1:25.0,Defensive rebound by M. Hezonja,,43-47,,
1:10.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,45-47,,
1:10.0,Shooting foul by I. Mahinmi (drawn by D. Dedmon),,45-47,,
1:10.0,D. Dedmon makes free throw 1 of 1,1,46-47,,
0:56.0,,,46-47,,M. Ellis misses 2-pt shot from 1 ft (block by V. Oladipo)
0:55.0,Defensive rebound by D. Dedmon,,46-47,,
0:48.0,E. Payton misses 2-pt shot from 7 ft,,46-47,,
0:48.0,,,46-47,,Defensive rebound by G. Hill
0:39.0,,,46-49,2,G. Hill makes 2-pt shot from 4 ft
0:24.0,Turnover by D. Dedmon (3 sec),,46-49,,
0:24.0,A. Gordon enters the game for E. Fournier,,46-49,,
0:05.0,,,46-49,,Turnover by P. George (lost ball; steal by E. Payton)
0:04.0,,,46-49,,Personal foul by P. George (drawn by E. Payton)
0:04.0,E. Payton makes free throw 1 of 2,1,47-49,,
0:04.0,,,47-49,,J. Hill enters the game for C. Miles
0:04.0,E. Payton makes free throw 2 of 2,1,48-49,,
0:02.0,,,48-49,,P. George misses 3-pt shot from 28 ft
0:00.0,Defensive rebound by D. Dedmon,,48-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,T. Harris misses 2-pt shot from 12 ft,,48-49,,
11:36.0,,,48-49,,Defensive rebound by M. Ellis
11:18.0,,,48-49,,G. Hill misses 3-pt shot from 25 ft
11:17.0,,,48-49,,Offensive rebound by I. Mahinmi
10:57.0,,,48-49,,G. Hill misses 2-pt shot from 4 ft (block by V. Oladipo)
10:55.0,Defensive rebound by T. Harris,,48-49,,
10:49.0,T. Harris misses 2-pt shot from 2 ft (block by I. Mahinmi),,48-49,,
10:48.0,,,48-49,,Defensive rebound by I. Mahinmi
10:39.0,,,48-49,,P. George misses 2-pt shot from 10 ft
10:38.0,Defensive rebound by V. Oladipo,,48-49,,
10:32.0,E. Fournier misses 3-pt shot from 26 ft,,48-49,,
10:31.0,Offensive rebound by D. Dedmon,,48-49,,
10:16.0,T. Harris makes 3-pt shot from 27 ft (assist by V. Oladipo),3,51-49,,
10:01.0,,,51-49,,C. Miles misses 3-pt shot from 28 ft
10:01.0,Defensive rebound by T. Harris,,51-49,,
9:53.0,V. Oladipo misses 2-pt shot at rim,,51-49,,
9:53.0,Offensive rebound by Team,,51-49,,
9:46.0,Offensive charge foul by E. Fournier,,51-49,,
9:46.0,Turnover by E. Fournier (offensive foul),,51-49,,
9:28.0,,,51-51,2,M. Ellis makes 2-pt shot from 1 ft
9:21.0,,,51-51,,Personal foul by C. Miles (drawn by T. Harris)
9:03.0,E. Payton misses 2-pt shot from 20 ft (block by G. Hill),,51-51,,
9:02.0,,,51-51,,Defensive rebound by P. George
8:47.0,,,51-54,3,C. Miles makes 3-pt shot from 25 ft (assist by P. George)
8:26.0,Offensive foul by V. Oladipo,,51-54,,
8:26.0,Turnover by V. Oladipo (offensive foul),,51-54,,
8:12.0,,,51-54,,C. Miles misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by T. Harris,,51-54,,
8:05.0,Turnover by E. Payton (lost ball; steal by M. Ellis),,51-54,,
7:59.0,,,51-54,,Turnover by I. Mahinmi (lost ball)
7:45.0,V. Oladipo makes 2-pt shot from 17 ft,2,53-54,,
7:44.0,Technical foul by E. Payton,,53-54,,
7:44.0,,,53-55,1,P. George makes technical free throw
7:23.0,,,53-55,,M. Ellis misses 2-pt shot from 1 ft
7:21.0,,,53-55,,Offensive rebound by I. Mahinmi
7:21.0,,,53-55,,I. Mahinmi misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by E. Payton,,53-55,,
7:09.0,V. Oladipo makes 2-pt shot from 18 ft,2,55-55,,
6:54.0,,,55-55,,Offensive foul by P. George
6:54.0,,,55-55,,Turnover by P. George (offensive foul)
6:48.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,58-55,,
6:48.0,,,58-55,,Indiana full timeout
6:29.0,,,58-57,2,G. Hill makes 2-pt shot from 12 ft (assist by M. Ellis)
6:17.0,,,58-57,,Personal block foul by G. Hill (drawn by E. Payton)
6:10.0,E. Fournier misses 3-pt shot from 25 ft,,58-57,,
6:09.0,,,58-57,,Defensive rebound by M. Ellis
6:08.0,Personal foul by D. Dedmon (drawn by M. Ellis),,58-57,,
5:58.0,,,58-57,,Turnover by P. George (bad pass)
5:43.0,Turnover by E. Fournier (lost ball),,58-57,,
5:30.0,,,58-57,,Turnover by P. George (bad pass)
5:18.0,T. Harris makes 2-pt shot at rim (assist by E. Fournier),2,60-57,,
5:05.0,,,60-60,3,C. Miles makes 3-pt shot from 25 ft (assist by P. George)
4:42.0,T. Harris misses 2-pt shot from 16 ft,,60-60,,
4:41.0,,,60-60,,Defensive rebound by G. Hill
4:35.0,Violation by D. Dedmon (kicked ball),,60-60,,
4:35.0,,,60-60,,R. Stuckey enters the game for M. Ellis
4:35.0,,,60-60,,M. Turner enters the game for I. Mahinmi
4:26.0,,,60-60,,G. Hill misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by V. Oladipo,,60-60,,
4:13.0,T. Harris makes 2-pt shot from 7 ft,2,62-60,,
3:58.0,,,62-60,,Turnover by P. George (bad pass; steal by D. Dedmon)
3:54.0,Shooting foul by G. Hill (drawn by E. Fournier),,62-60,,
3:54.0,E. Fournier makes free throw 1 of 2,1,63-60,,
3:54.0,,,63-60,,J. Hill enters the game for C. Miles
3:54.0,C. Frye enters the game for D. Dedmon,,63-60,,
3:54.0,C. Watson enters the game for E. Payton,,63-60,,
3:54.0,E. Fournier makes free throw 2 of 2,1,64-60,,
3:36.0,,,64-60,,P. George misses 2-pt shot from 18 ft
3:35.0,,,64-60,,Offensive rebound by J. Hill
3:34.0,,,64-62,2,J. Hill makes 2-pt shot from 2 ft
3:34.0,,,64-62,,Shooting foul by E. Fournier (drawn by J. Hill)
3:34.0,M. Hezonja enters the game for E. Fournier,,64-62,,
3:34.0,,,64-63,1,J. Hill makes free throw 1 of 1
3:14.0,V. Oladipo misses 3-pt shot from 22 ft,,64-63,,
3:14.0,,,64-63,,Defensive rebound by J. Hill
2:54.0,,,64-65,2,M. Turner makes 2-pt shot from 11 ft (assist by G. Hill)
2:34.0,C. Frye makes 3-pt shot from 23 ft (assist by C. Watson),3,67-65,,
2:15.0,,,67-65,,Turnover by J. Hill (lost ball; steal by C. Watson)
2:11.0,C. Watson makes 2-pt shot at rim,2,69-65,,
1:49.0,,,69-65,,R. Stuckey misses 2-pt shot at rim
1:48.0,Defensive rebound by C. Frye,,69-65,,
1:41.0,Turnover by M. Hezonja (traveling),,69-65,,
1:41.0,Orlando full timeout,,69-65,,
1:41.0,,,69-65,,C. Budinger enters the game for R. Stuckey
1:26.0,Personal foul by C. Frye (drawn by G. Hill),,69-65,,
1:17.0,Personal foul by C. Watson (drawn by G. Hill),,69-65,,
1:17.0,,,69-65,,G. Hill misses free throw 1 of 2
1:17.0,,,69-65,,Offensive rebound by Team
1:17.0,,,69-66,1,G. Hill makes free throw 2 of 2
1:02.0,V. Oladipo makes 2-pt shot from 12 ft,2,71-66,,
0:53.0,Personal foul by M. Hezonja (drawn by P. George),,71-66,,
0:53.0,,,71-67,1,P. George makes free throw 1 of 2
0:53.0,A. Gordon enters the game for T. Harris,,71-67,,
0:53.0,,,71-68,1,P. George makes free throw 2 of 2
0:36.0,C. Frye misses 3-pt shot from 24 ft,,71-68,,
0:36.0,,,71-68,,Defensive rebound by P. George
0:30.0,,,71-70,2,G. Hill makes 2-pt shot at rim
0:06.0,M. Hezonja misses 3-pt shot from 24 ft,,71-70,,
0:06.0,Offensive rebound by A. Gordon,,71-70,,
0:03.0,C. Frye misses 3-pt shot from 26 ft,,71-70,,
0:02.0,,,71-70,,Defensive rebound by Team
0:02.0,Loose ball foul by A. Gordon (drawn by M. Turner),,71-70,,
0:02.0,Technical foul by Team,,71-70,,
0:02.0,,,71-70,,P. George misses technical free throw
0:02.0,,,71-70,,Offensive rebound by Team
0:02.0,,,71-71,1,M. Turner makes free throw 1 of 2
0:02.0,,,71-72,1,M. Turner makes free throw 2 of 2
0:00.0,A. Gordon misses 3-pt shot from 47 ft,,71-72,,
0:00.0,Offensive rebound by Team,,71-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Personal block foul by C. Frye (drawn by M. Ellis),,71-72,,
11:36.0,,,71-74,2,M. Turner makes 2-pt shot from 20 ft (assist by M. Ellis)
11:22.0,Shooting foul by M. Turner (drawn by E. Fournier),,71-74,,
11:22.0,E. Fournier makes free throw 1 of 2,1,72-74,,
11:22.0,E. Fournier misses free throw 2 of 2,,72-74,,
11:22.0,,,72-74,,Defensive rebound by J. Hill
10:58.0,,,72-74,,M. Ellis misses 3-pt shot from 30 ft
10:56.0,Defensive rebound by C. Frye,,72-74,,
10:52.0,Offensive charge foul by A. Gordon,,72-74,,
10:52.0,Turnover by A. Gordon (offensive foul),,72-74,,
10:28.0,,,72-74,,J. Hill misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by C. Frye,,72-74,,
10:08.0,C. Watson misses 3-pt shot from 23 ft,,72-74,,
10:07.0,,,72-74,,Defensive rebound by C. Budinger
9:59.0,Personal foul by A. Gordon (drawn by M. Turner),,72-74,,
9:46.0,,,72-74,,M. Ellis misses 2-pt shot from 12 ft
9:46.0,Defensive rebound by C. Frye,,72-74,,
9:36.0,A. Gordon misses 2-pt shot at rim,,72-74,,
9:35.0,,,72-74,,Defensive rebound by C. Budinger
9:27.0,,,72-77,3,C. Budinger makes 3-pt shot from 26 ft (assist by G. Robinson)
9:12.0,Shooting foul by C. Budinger (drawn by A. Gordon),,72-77,,
9:12.0,A. Gordon misses free throw 1 of 2,,72-77,,
9:12.0,Offensive rebound by Team,,72-77,,
9:12.0,A. Gordon makes free throw 2 of 2,1,73-77,,
9:00.0,,,73-77,,Shooting foul by A. Gordon (drawn by J. Hill)
9:00.0,,,73-78,1,J. Hill makes free throw 1 of 2
9:00.0,,,73-78,,J. Hill misses free throw 2 of 2
9:00.0,Defensive rebound by C. Frye,,73-78,,
8:48.0,E. Fournier misses 3-pt shot from 25 ft,,73-78,,
8:47.0,,,73-78,,Defensive rebound by J. Hill
8:34.0,,,73-78,,Turnover by M. Turner (bad pass; steal by E. Payton)
8:19.0,C. Watson makes 2-pt shot from 20 ft (assist by A. Gordon),2,75-78,,
7:58.0,,,75-78,,Turnover by J. Hill (lost ball; steal by E. Payton)
7:51.0,E. Fournier makes 3-pt shot from 26 ft (assist by C. Watson),3,78-78,,
7:50.0,,,78-78,,Indiana full timeout
7:50.0,,,78-78,,P. George enters the game for M. Turner
7:50.0,,,78-78,,I. Mahinmi enters the game for G. Robinson
7:44.0,,,78-78,,Turnover by J. Hill (bad pass)
7:28.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton),3,81-78,,
7:02.0,,,81-78,,I. Mahinmi misses 2-pt shot from 18 ft
7:00.0,Defensive rebound by C. Frye,,81-78,,
6:48.0,,,81-78,,C. Miles enters the game for J. Hill
6:48.0,,,81-78,,G. Hill enters the game for M. Ellis
6:48.0,Turnover by A. Gordon (lost ball; steal by I. Mahinmi),,81-78,,
6:48.0,Jump ball: A. Gordon vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: A. Gordon vs. I. Mahinmi (G. Hill gains possession)
6:28.0,,,81-80,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Budinger)
6:02.0,Turnover by Team (shot clock),,81-80,,
5:52.0,,,81-83,3,P. George makes 3-pt shot from 26 ft (assist by C. Budinger)
5:40.0,Turnover by C. Frye (lost ball; steal by C. Miles),,81-83,,
5:39.0,Personal foul by C. Frye (drawn by C. Miles),,81-83,,
5:39.0,Official timeout,,81-83,,
5:39.0,V. Oladipo enters the game for A. Gordon,,81-83,,
5:39.0,T. Harris enters the game for C. Watson,,81-83,,
5:22.0,,,81-86,3,C. Budinger makes 3-pt shot from 24 ft (assist by P. George)
5:04.0,Turnover by C. Frye (bad pass; steal by C. Budinger),,81-86,,
5:00.0,,,81-88,2,G. Hill makes 2-pt shot at rim (assist by P. George)
4:43.0,V. Oladipo misses 2-pt shot from 8 ft,,81-88,,
4:43.0,,,81-88,,Defensive rebound by I. Mahinmi
4:22.0,,,81-88,,P. George misses 2-pt shot from 19 ft
4:21.0,,,81-88,,Offensive rebound by P. George
4:20.0,,,81-88,,Shooting foul by V. Oladipo (drawn by P. George)
4:20.0,,,81-89,1,P. George makes free throw 1 of 2
4:20.0,D. Dedmon enters the game for C. Frye,,81-89,,
4:20.0,,,81-89,,M. Ellis enters the game for C. Budinger
4:20.0,,,81-90,1,P. George makes free throw 2 of 2
4:02.0,E. Payton misses 2-pt shot from 18 ft,,81-90,,
4:01.0,,,81-90,,Defensive rebound by M. Ellis
3:51.0,,,81-90,,C. Miles misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by D. Dedmon,,81-90,,
3:34.0,V. Oladipo misses 2-pt shot from 14 ft,,81-90,,
3:33.0,,,81-90,,Defensive rebound by C. Miles
3:14.0,,,81-90,,P. George misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by D. Dedmon,,81-90,,
3:06.0,Orlando full timeout,,81-90,,
2:58.0,T. Harris misses 2-pt shot from 5 ft,,81-90,,
2:57.0,,,81-90,,Defensive rebound by Team
2:35.0,,,81-92,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by P. George)
2:19.0,,,81-92,,Violation by I. Mahinmi (kicked ball)
2:13.0,Turnover by E. Payton (bad pass; steal by G. Hill),,81-92,,
2:11.0,,,81-92,,Indiana full timeout
2:11.0,S. Napier enters the game for D. Dedmon,,81-92,,
1:55.0,,,81-92,,P. George misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by E. Fournier,,81-92,,
1:42.0,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton),3,84-92,,
1:22.0,,,84-95,3,G. Hill makes 3-pt shot from 25 ft
1:22.0,Orlando full timeout,,84-95,,
