time,Detroit,pts.away,score,pts.home,Toronto
4:22.0,,,37-42,,C. Joseph enters the game for K. Lowry
4:22.0,R. Jackson enters the game for B. Jennings,,37-42,,
4:10.0,A. Drummond misses 2-pt shot from 7 ft,,37-42,,
4:10.0,,,37-42,,Defensive rebound by J. Johnson
4:01.0,,,37-42,,D. DeRozan misses 2-pt shot from 7 ft
3:59.0,,,37-42,,Offensive rebound by J. Johnson
3:55.0,,,37-44,2,J. Johnson makes 2-pt shot from 2 ft
3:54.0,Detroit full timeout,,37-44,,
3:54.0,,,37-44,,B. Biyombo enters the game for J. Valanciunas
3:48.0,,,37-44,,Def 3 sec tech foul by B. Biyombo
3:48.0,R. Jackson makes technical free throw,1,38-44,,
3:35.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,38-44,,
3:33.0,Offensive rebound by K. Caldwell-Pope,,38-44,,
3:28.0,K. Caldwell-Pope makes 2-pt shot from 11 ft,2,40-44,,
3:11.0,,,40-44,,Turnover by D. DeRozan (bad pass; steal by M. Morris)
3:07.0,Shooting foul by C. Joseph (drawn by K. Caldwell-Pope),,40-44,,
3:07.0,K. Caldwell-Pope makes free throw 1 of 2,1,41-44,,
3:07.0,S. Johnson enters the game for M. Morris,,41-44,,
3:07.0,K. Caldwell-Pope makes free throw 2 of 2,1,42-44,,
2:54.0,,,42-47,3,L. Scola makes 3-pt shot from 24 ft (assist by C. Joseph)
2:33.0,Turnover by K. Caldwell-Pope (lost ball; steal by L. Scola),,42-47,,
2:28.0,,,42-49,2,D. DeRozan makes 2-pt shot from 2 ft (assist by L. Scola)
2:08.0,Shooting foul by B. Biyombo (drawn by A. Drummond),,42-49,,
2:08.0,A. Drummond misses free throw 1 of 2,,42-49,,
2:08.0,Offensive rebound by Team,,42-49,,
2:08.0,A. Drummond misses free throw 2 of 2,,42-49,,
2:07.0,,,42-49,,Defensive rebound by Team
2:07.0,Personal foul by A. Tolliver (drawn by B. Biyombo),,42-49,,
2:07.0,,,42-50,1,B. Biyombo makes free throw 1 of 2
2:07.0,,,42-51,1,B. Biyombo makes free throw 2 of 2
2:07.0,,,42-51,,Personal take foul by L. Scola (drawn by A. Drummond)
2:07.0,A. Drummond makes free throw 1 of 2,1,43-51,,
2:07.0,A. Drummond misses free throw 2 of 2,,43-51,,
2:05.0,,,43-51,,Defensive rebound by B. Biyombo
1:53.0,,,43-51,,D. DeRozan misses 2-pt shot from 9 ft
1:49.0,,,43-51,,Offensive rebound by D. DeRozan
1:42.0,,,43-51,,D. DeRozan misses 2-pt shot from 12 ft
1:41.0,Defensive rebound by A. Drummond,,43-51,,
1:35.0,A. Tolliver misses 3-pt shot from 25 ft,,43-51,,
1:34.0,,,43-51,,Defensive rebound by B. Biyombo
1:17.0,,,43-53,2,C. Joseph makes 2-pt shot from 1 ft
1:17.0,Detroit full timeout,,43-53,,
1:17.0,A. Baynes enters the game for A. Drummond,,43-53,,
0:57.0,S. Johnson makes 2-pt shot from 15 ft,2,45-53,,
0:41.0,Personal foul by A. Tolliver (drawn by C. Joseph),,45-53,,
0:41.0,,,45-54,1,C. Joseph makes free throw 1 of 2
0:41.0,M. Morris enters the game for A. Tolliver,,45-54,,
0:41.0,,,45-54,,P. Patterson enters the game for L. Scola
0:41.0,,,45-55,1,C. Joseph makes free throw 2 of 2
0:31.0,R. Jackson makes 2-pt shot from 16 ft,2,47-55,,
0:13.0,,,47-55,,C. Joseph misses 2-pt shot from 4 ft
0:12.0,Defensive rebound by A. Baynes,,47-55,,
0:00.0,S. Johnson misses 2-pt shot from 20 ft,,47-55,,
0:00.0,Offensive rebound by Team,,47-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,47-57,2,L. Scola makes 2-pt shot from 2 ft (assist by D. DeRozan)
11:22.0,M. Morris makes 2-pt shot from 2 ft (assist by R. Jackson),2,49-57,,
11:04.0,,,49-57,,D. DeRozan misses 2-pt shot from 2 ft (block by A. Drummond)
11:04.0,,,49-57,,Offensive rebound by Team
11:00.0,,,49-57,,J. Johnson misses 2-pt shot from 2 ft
11:00.0,,,49-57,,Offensive rebound by J. Johnson
10:54.0,,,49-59,2,J. Johnson makes 2-pt shot from 2 ft
10:34.0,M. Morris makes 3-pt shot from 22 ft (assist by A. Drummond),3,52-59,,
10:12.0,,,52-59,,K. Lowry misses 2-pt shot from 7 ft
10:11.0,Defensive rebound by A. Drummond,,52-59,,
10:10.0,,,52-59,,Personal foul by L. Scola (drawn by A. Drummond)
9:57.0,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by M. Morris),2,54-59,,
9:39.0,,,54-59,,D. DeRozan misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by A. Drummond,,54-59,,
9:33.0,R. Jackson makes 2-pt shot from 1 ft,2,56-59,,
9:21.0,Personal foul by A. Drummond (drawn by J. Valanciunas),,56-59,,
9:14.0,,,56-61,2,D. DeRozan makes 2-pt shot from 3 ft
9:14.0,,,56-61,,Shooting foul by K. Caldwell-Pope (drawn by D. DeRozan)
9:14.0,,,56-61,,D. DeRozan misses free throw 1 of 1
9:12.0,,,56-61,,Offensive rebound by D. DeRozan
9:05.0,,,56-61,,Shooting foul by A. Drummond (drawn by D. DeRozan)
9:05.0,,,56-62,1,D. DeRozan makes free throw 1 of 2
9:05.0,,,56-63,1,D. DeRozan makes free throw 2 of 2
8:54.0,R. Jackson makes 2-pt shot from 2 ft,2,58-63,,
8:40.0,,,58-66,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
8:26.0,R. Jackson misses 3-pt shot from 24 ft,,58-66,,
8:25.0,,,58-66,,Defensive rebound by Team
8:03.0,Personal foul by A. Drummond (drawn by J. Valanciunas),,58-66,,
7:51.0,,,58-66,,K. Lowry misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by A. Drummond,,58-66,,
7:48.0,Shooting foul by D. DeRozan (drawn by K. Caldwell-Pope),,58-66,,
7:48.0,K. Caldwell-Pope makes free throw 1 of 2,1,59-66,,
7:48.0,K. Caldwell-Pope makes free throw 2 of 2,1,60-66,,
7:24.0,,,60-66,,L. Scola misses 3-pt shot from 23 ft
7:23.0,,,60-66,,Offensive rebound by Team
7:23.0,,,60-66,,Turnover by Team (shot clock)
7:08.0,M. Morris makes 2-pt shot from 2 ft,2,62-66,,
7:08.0,Violation by Team (jump ball),,62-66,,
6:53.0,,,62-66,,Turnover by L. Scola (bad pass; steal by R. Jackson)
6:50.0,,,62-66,,Personal foul by K. Lowry (drawn by R. Jackson)
6:37.0,,,62-66,,Personal foul by J. Johnson (drawn by M. Morris)
6:26.0,M. Morris misses 3-pt shot from 24 ft,,62-66,,
6:26.0,Offensive rebound by R. Jackson,,62-66,,
6:19.0,Turnover by R. Jackson (bad pass; steal by J. Johnson),,62-66,,
6:11.0,Personal foul by A. Drummond (drawn by J. Valanciunas),,62-66,,
6:11.0,,,62-66,,J. Valanciunas misses free throw 1 of 2
6:11.0,,,62-66,,Offensive rebound by Team
6:11.0,A. Baynes enters the game for A. Drummond,,62-66,,
6:11.0,,,62-67,1,J. Valanciunas makes free throw 2 of 2
5:51.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,62-67,,
5:50.0,Offensive rebound by M. Morris,,62-67,,
5:46.0,Turnover by M. Morris (lost ball; steal by J. Johnson),,62-67,,
5:38.0,,,62-69,2,D. DeRozan makes 2-pt shot from 2 ft (assist by L. Scola)
5:22.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,62-69,,
5:22.0,,,62-69,,Defensive rebound by K. Lowry
5:13.0,,,62-69,,K. Lowry misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by A. Baynes,,62-69,,
5:05.0,R. Jackson makes 2-pt shot from 1 ft,2,64-69,,
5:05.0,,,64-69,,Toronto full timeout
5:05.0,B. Jennings enters the game for M. Morris,,64-69,,
5:05.0,S. Johnson enters the game for R. Jackson,,64-69,,
5:05.0,,,64-69,,P. Patterson enters the game for J. Johnson
5:05.0,,,64-69,,T. Ross enters the game for L. Scola
4:46.0,,,64-69,,Turnover by D. DeRozan (lost ball)
4:32.0,A. Tolliver misses 3-pt shot from 24 ft,,64-69,,
4:30.0,Offensive rebound by A. Baynes,,64-69,,
4:27.0,A. Baynes makes 2-pt shot from 2 ft,2,66-69,,
4:17.0,,,66-69,,Shooting foul by A. Tolliver (drawn by J. Valanciunas)
4:17.0,,,66-70,1,J. Valanciunas makes free throw 1 of 2
4:17.0,,,66-70,,J. Valanciunas misses free throw 2 of 2
4:16.0,Defensive rebound by S. Johnson,,66-70,,
4:04.0,B. Jennings makes 2-pt shot from 21 ft (assist by A. Baynes),2,68-70,,
3:48.0,,,68-70,,Toronto full timeout
3:40.0,,,68-70,,D. DeRozan misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by K. Caldwell-Pope,,68-70,,
3:32.0,B. Jennings misses 3-pt shot from 24 ft,,68-70,,
3:32.0,,,68-70,,Defensive rebound by Team
3:32.0,Loose ball foul by A. Baynes (drawn by J. Valanciunas),,68-70,,
3:32.0,,,68-70,,J. Valanciunas misses free throw 1 of 2
3:32.0,,,68-70,,Offensive rebound by Team
3:32.0,,,68-70,,C. Joseph enters the game for K. Lowry
3:32.0,,,68-71,1,J. Valanciunas makes free throw 2 of 2
3:15.0,S. Johnson misses 2-pt shot from 13 ft,,68-71,,
3:14.0,,,68-71,,Defensive rebound by J. Valanciunas
3:08.0,,,68-73,2,D. DeRozan makes 2-pt shot at rim
2:54.0,,,68-73,,Personal block foul by D. DeRozan (drawn by S. Johnson)
2:54.0,Detroit full timeout,,68-73,,
2:54.0,,,68-73,,B. Biyombo enters the game for J. Valanciunas
2:54.0,S. Johnson makes free throw 1 of 2,1,69-73,,
2:54.0,S. Johnson makes free throw 2 of 2,1,70-73,,
2:40.0,,,70-75,2,D. DeRozan makes 2-pt shot from 11 ft
2:24.0,Offensive foul by A. Baynes,,70-75,,
2:24.0,Turnover by A. Baynes (offensive foul),,70-75,,
2:24.0,M. Morris enters the game for A. Tolliver,,70-75,,
2:08.0,,,70-77,2,B. Biyombo makes 2-pt shot from 14 ft (assist by P. Patterson)
1:45.0,,,70-77,,Personal foul by D. DeRozan (drawn by A. Baynes)
1:45.0,A. Baynes makes free throw 1 of 2,1,71-77,,
1:45.0,,,71-77,,K. Lowry enters the game for D. DeRozan
1:45.0,R. Jackson enters the game for K. Caldwell-Pope,,71-77,,
1:45.0,A. Baynes makes free throw 2 of 2,1,72-77,,
1:36.0,,,72-77,,Turnover by P. Patterson (bad pass)
1:23.0,R. Jackson misses 2-pt shot from 7 ft,,72-77,,
1:22.0,,,72-77,,Defensive rebound by C. Joseph
1:19.0,Personal foul by R. Jackson (drawn by B. Biyombo),,72-77,,
1:19.0,,,72-78,1,B. Biyombo makes free throw 1 of 2
1:19.0,,,72-79,1,B. Biyombo makes free throw 2 of 2
1:02.0,A. Baynes misses 2-pt shot at rim (block by B. Biyombo),,72-79,,
1:01.0,,,72-79,,Defensive rebound by B. Biyombo
0:55.0,Shooting block foul by B. Jennings (drawn by K. Lowry),,72-79,,
0:55.0,,,72-79,,K. Lowry misses free throw 1 of 2
0:55.0,,,72-79,,Offensive rebound by Team
0:55.0,,,72-80,1,K. Lowry makes free throw 2 of 2
0:41.0,M. Morris misses 2-pt shot from 16 ft,,72-80,,
0:38.0,,,72-80,,Defensive rebound by K. Lowry
0:36.0,Shooting block foul by R. Jackson (drawn by K. Lowry),,72-80,,
0:36.0,,,72-80,,K. Lowry misses free throw 1 of 2
0:36.0,,,72-80,,Offensive rebound by Team
0:36.0,,,72-81,1,K. Lowry makes free throw 2 of 2
0:16.0,A. Baynes misses 2-pt shot from 16 ft,,72-81,,
0:15.0,,,72-81,,Defensive rebound by K. Lowry
0:01.0,,,72-81,,K. Lowry misses 2-pt shot from 12 ft
0:00.0,,,72-81,,Offensive rebound by B. Biyombo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,S. Johnson misses 2-pt shot from 2 ft (block by B. Biyombo),,72-81,,
11:47.0,Offensive rebound by Team,,72-81,,
11:37.0,S. Johnson misses 2-pt shot from 9 ft,,72-81,,
11:37.0,,,72-81,,Defensive rebound by B. Biyombo
11:13.0,,,72-81,,B. Biyombo misses 2-pt shot from 1 ft (block by M. Morris)
11:13.0,,,72-81,,Offensive rebound by B. Biyombo
11:13.0,,,72-81,,B. Biyombo misses 2-pt shot from 1 ft (block by A. Drummond)
11:13.0,,,72-81,,Offensive rebound by P. Patterson
11:13.0,,,72-81,,Turnover by Team (shot clock)
10:58.0,S. Johnson makes 2-pt shot from 15 ft,2,74-81,,
10:43.0,,,74-84,3,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph)
10:27.0,M. Morris misses 3-pt shot from 25 ft,,74-84,,
10:25.0,,,74-84,,Defensive rebound by B. Biyombo
10:16.0,,,74-86,2,C. Joseph makes 2-pt shot from 1 ft
10:16.0,Detroit full timeout,,74-86,,
10:16.0,K. Caldwell-Pope enters the game for S. Johnson,,74-86,,
9:52.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,74-86,,
9:52.0,,,74-86,,Defensive rebound by B. Biyombo
9:31.0,,,74-88,2,C. Joseph makes 2-pt shot from 7 ft
9:19.0,R. Jackson misses 2-pt shot from 17 ft,,74-88,,
9:18.0,,,74-88,,Defensive rebound by C. Joseph
9:05.0,,,74-90,2,P. Patterson makes 2-pt shot from 11 ft (assist by C. Joseph)
8:45.0,,,74-90,,Personal foul by K. Lowry (drawn by R. Jackson)
8:45.0,S. Johnson enters the game for A. Tolliver,,74-90,,
8:30.0,M. Morris misses 2-pt shot from 21 ft,,74-90,,
8:30.0,Offensive rebound by Team,,74-90,,
8:30.0,Turnover by Team (shot clock),,74-90,,
8:19.0,,,74-92,2,C. Joseph makes 2-pt shot from 8 ft
8:19.0,Detroit full timeout,,74-92,,
7:56.0,R. Jackson misses 2-pt shot from 1 ft,,74-92,,
7:55.0,Offensive rebound by A. Drummond,,74-92,,
7:55.0,A. Drummond makes 2-pt shot from 3 ft,2,76-92,,
7:55.0,Shooting foul by B. Biyombo (drawn by A. Drummond),,76-92,,
7:55.0,A. Drummond misses free throw 1 of 1,,76-92,,
7:54.0,,,76-92,,Defensive rebound by B. Biyombo
7:38.0,,,76-92,,K. Lowry misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by A. Drummond,,76-92,,
7:21.0,S. Johnson misses 2-pt shot from 5 ft,,76-92,,
7:21.0,,,76-92,,Defensive rebound by Team
7:21.0,Loose ball foul by A. Drummond (drawn by B. Biyombo),,76-92,,
7:21.0,Technical foul by Team,,76-92,,
7:21.0,,,76-93,1,K. Lowry makes technical free throw
7:21.0,B. Jennings enters the game for R. Jackson,,76-93,,
7:07.0,,,76-93,,T. Ross misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by B. Jennings,,76-93,,
6:52.0,A. Drummond makes 2-pt shot from 5 ft,2,78-93,,
6:37.0,Shooting block foul by A. Drummond (drawn by B. Biyombo),,78-93,,
6:37.0,Technical foul by A. Drummond (drawn by B. Biyombo),,78-93,,
6:37.0,,,78-94,1,K. Lowry makes technical free throw
6:37.0,A. Baynes enters the game for A. Drummond,,78-94,,
6:37.0,,,78-95,1,B. Biyombo makes free throw 1 of 2
6:37.0,,,78-96,1,B. Biyombo makes free throw 2 of 2
6:23.0,Turnover by S. Johnson (bad pass; steal by K. Lowry),,78-96,,
