time,New York,pts.away,score,pts.home,Atlanta
6:42.0,,,10-7,,E. Tavares enters the game for A. Horford
6:32.0,C. Anthony misses 2-pt shot from 19 ft,,10-7,,
6:29.0,,,10-7,,Defensive rebound by E. Tavares
6:12.0,,,10-7,,T. Sefolosha misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by Team,,10-7,,
5:55.0,K. Porzingis makes 2-pt shot from 14 ft,2,12-7,,
5:49.0,,,12-7,,Turnover by P. Millsap (offensive foul)
5:49.0,,,12-7,,Offensive foul by P. Millsap
5:49.0,,,12-7,,Atlanta full timeout
5:29.0,A. Afflalo makes 2-pt shot from 12 ft,2,14-7,,
5:12.0,,,14-10,3,J. Teague makes 3-pt shot from 24 ft
4:52.0,A. Afflalo makes 2-pt shot from 13 ft,2,16-10,,
4:40.0,,,16-10,,J. Teague misses 2-pt shot from 1 ft
4:38.0,,,16-10,,Offensive rebound by E. Tavares
4:38.0,,,16-12,2,E. Tavares makes 2-pt shot at rim
4:29.0,J. Calderon misses 2-pt shot from 18 ft,,16-12,,
4:28.0,,,16-12,,Defensive rebound by P. Millsap
4:19.0,,,16-12,,Shooting foul by K. Porzingis (drawn by J. Teague)
4:19.0,,,16-13,1,J. Teague makes free throw 1 of 2
4:19.0,,,16-13,,K. Bazemore enters the game for K. Korver
4:19.0,L. Thomas enters the game for K. Porzingis,,16-13,,
4:19.0,,,16-14,1,J. Teague makes free throw 2 of 2
4:06.0,C. Anthony misses 2-pt shot at rim (block by E. Tavares),,16-14,,
4:04.0,Offensive rebound by C. Anthony,,16-14,,
4:01.0,L. Thomas makes 3-pt shot from 22 ft (assist by C. Anthony),3,19-14,,
3:59.0,,,19-14,,Shooting foul by R. Lopez (drawn by E. Tavares)
3:59.0,,,19-15,1,E. Tavares makes free throw 1 of 2
3:59.0,,,19-15,,D. Schroder enters the game for J. Teague
3:59.0,,,19-15,,E. Tavares misses free throw 2 of 2
3:57.0,Defensive rebound by A. Afflalo,,19-15,,
3:48.0,,,19-15,,Personal foul by E. Tavares (drawn by R. Lopez)
3:39.0,A. Afflalo makes 2-pt shot from 21 ft (assist by J. Calderon),2,21-15,,
3:31.0,Personal foul by A. Afflalo (drawn by K. Bazemore),,21-15,,
3:31.0,L. Galloway enters the game for J. Calderon,,21-15,,
3:21.0,Personal foul by L. Galloway (drawn by P. Millsap),,21-15,,
3:14.0,,,21-15,,D. Schroder misses 2-pt shot from 2 ft (block by R. Lopez)
3:12.0,Defensive rebound by A. Afflalo,,21-15,,
3:06.0,L. Thomas makes 2-pt shot from 12 ft (assist by A. Afflalo),2,23-15,,
2:53.0,,,23-15,,Turnover by P. Millsap (lost ball; steal by L. Thomas)
2:53.0,,,23-15,,Personal foul by P. Millsap (drawn by L. Thomas)
2:53.0,New York full timeout,,23-15,,
2:53.0,,,23-15,,M. Scott enters the game for P. Millsap
2:40.0,A. Afflalo misses 2-pt shot from 19 ft,,23-15,,
2:38.0,,,23-15,,Defensive rebound by E. Tavares
2:25.0,Violation by L. Thomas (kicked ball),,23-15,,
2:14.0,,,23-18,3,K. Bazemore makes 3-pt shot from 22 ft (assist by D. Schroder)
1:58.0,C. Anthony makes 2-pt shot from 2 ft (assist by A. Afflalo),2,25-18,,
1:58.0,Violation by Team (delay of game),,25-18,,
1:37.0,,,25-18,,Turnover by D. Schroder (bad pass; steal by R. Lopez)
1:34.0,,,25-18,,Shooting block foul by K. Bazemore (drawn by A. Afflalo)
1:34.0,A. Afflalo makes free throw 1 of 2,1,26-18,,
1:34.0,,,26-18,,T. Hardaway enters the game for K. Bazemore
1:34.0,,,26-18,,A. Horford enters the game for E. Tavares
1:34.0,K. Porzingis enters the game for R. Lopez,,26-18,,
1:34.0,A. Afflalo makes free throw 2 of 2,1,27-18,,
1:20.0,,,27-20,2,D. Schroder makes 2-pt shot from 18 ft (assist by A. Horford)
1:20.0,,,27-20,,Shooting foul by L. Galloway (drawn by D. Schroder)
1:20.0,J. Grant enters the game for A. Afflalo,,27-20,,
1:20.0,,,27-20,,D. Schroder misses free throw 1 of 1
1:19.0,Defensive rebound by C. Anthony,,27-20,,
1:06.0,L. Galloway makes 2-pt shot from 20 ft,2,29-20,,
0:45.0,,,29-20,,T. Hardaway misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by L. Galloway,,29-20,,
0:37.0,C. Anthony misses 2-pt shot from 17 ft,,29-20,,
0:35.0,,,29-20,,Defensive rebound by A. Horford
0:23.0,,,29-20,,A. Horford misses 2-pt shot from 21 ft
0:22.0,Defensive rebound by C. Anthony,,29-20,,
0:00.0,C. Anthony misses 2-pt shot from 12 ft,,29-20,,
0:00.0,Offensive rebound by Team,,29-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,29-20,,Violation by Team (delay of game)
11:49.0,Personal foul by L. Thomas (drawn by D. Schroder),,29-20,,
11:38.0,,,29-22,2,A. Horford makes 2-pt shot from 7 ft
11:24.0,Turnover by L. Thomas (traveling),,29-22,,
11:13.0,Def 3 sec tech foul by D. Williams,,29-22,,
11:13.0,,,29-23,1,K. Korver makes technical free throw
11:01.0,,,29-23,,M. Scott misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by K. Porzingis,,29-23,,
10:50.0,L. Galloway makes 2-pt shot from 16 ft,2,31-23,,
10:39.0,,,31-23,,T. Hardaway misses 3-pt shot from 25 ft
10:37.0,,,31-23,,Offensive rebound by A. Horford
10:33.0,,,31-23,,Shooting foul by K. Porzingis (drawn by A. Horford)
10:33.0,,,31-23,,A. Horford misses free throw 1 of 2
10:33.0,,,31-23,,Offensive rebound by Team
10:33.0,R. Lopez enters the game for K. Porzingis,,31-23,,
10:33.0,,,31-23,,A. Horford misses free throw 2 of 2
10:32.0,,,31-23,,Offensive rebound by Team
10:27.0,,,31-26,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
10:04.0,D. Williams misses 3-pt shot from 25 ft,,31-26,,
10:02.0,,,31-26,,Defensive rebound by D. Schroder
9:54.0,Def 3 sec tech foul by R. Lopez,,31-26,,
9:54.0,,,31-27,1,K. Korver makes technical free throw
9:44.0,,,31-30,3,T. Hardaway makes 3-pt shot from 23 ft (assist by A. Horford)
9:43.0,New York full timeout,,31-30,,
9:43.0,A. Afflalo enters the game for L. Galloway,,31-30,,
9:24.0,L. Thomas misses 2-pt shot from 2 ft,,31-30,,
9:23.0,,,31-30,,Defensive rebound by A. Horford
9:19.0,,,31-30,,K. Korver misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by Team,,31-30,,
9:05.0,Shooting foul by K. Korver (drawn by D. Williams),,31-30,,
9:05.0,D. Williams makes free throw 1 of 2,1,32-30,,
9:05.0,D. Williams makes free throw 2 of 2,1,33-30,,
8:50.0,,,33-30,,A. Horford misses 2-pt shot from 17 ft
8:49.0,Defensive rebound by D. Williams,,33-30,,
8:36.0,R. Lopez misses 2-pt shot from 1 ft,,33-30,,
8:34.0,,,33-30,,Defensive rebound by M. Scott
8:30.0,,,33-30,,Turnover by D. Schroder (bad pass; steal by A. Afflalo)
8:23.0,Shooting foul by K. Korver (drawn by A. Afflalo),,33-30,,
8:23.0,A. Afflalo misses free throw 1 of 2,,33-30,,
8:23.0,Offensive rebound by Team,,33-30,,
8:23.0,,,33-30,,T. Sefolosha enters the game for T. Hardaway
8:23.0,C. Anthony enters the game for L. Thomas,,33-30,,
8:23.0,A. Afflalo makes free throw 2 of 2,1,34-30,,
8:09.0,,,34-30,,A. Horford misses 2-pt shot from 19 ft
8:07.0,Defensive rebound by A. Afflalo,,34-30,,
7:43.0,A. Afflalo misses 2-pt shot from 17 ft,,34-30,,
7:43.0,Offensive rebound by Team,,34-30,,
7:43.0,,,34-30,,Loose ball foul by A. Horford (drawn by R. Lopez)
7:43.0,,,34-30,,E. Tavares enters the game for A. Horford
7:43.0,J. Calderon enters the game for J. Grant,,34-30,,
7:33.0,D. Williams makes 2-pt shot at rim (assist by J. Calderon),2,36-30,,
7:17.0,,,36-30,,M. Scott misses 2-pt shot at rim
7:16.0,Defensive rebound by R. Lopez,,36-30,,
7:07.0,C. Anthony makes 2-pt shot from 2 ft,2,38-30,,
7:06.0,,,38-30,,Atlanta full timeout
7:06.0,,,38-30,,J. Teague enters the game for D. Schroder
7:06.0,,,38-30,,P. Millsap enters the game for M. Scott
6:51.0,,,38-30,,T. Sefolosha misses 2-pt shot from 8 ft (block by C. Anthony)
6:49.0,,,38-30,,Offensive rebound by T. Sefolosha
6:47.0,,,38-32,2,E. Tavares makes 2-pt shot at rim (assist by T. Sefolosha)
6:32.0,C. Anthony misses 2-pt shot from 1 ft,,38-32,,
6:30.0,,,38-32,,Defensive rebound by P. Millsap
6:20.0,,,38-32,,Turnover by J. Teague (traveling)
6:08.0,D. Williams makes 2-pt shot from 1 ft (assist by C. Anthony),2,40-32,,
5:57.0,,,40-32,,K. Korver misses 2-pt shot from 19 ft
5:56.0,,,40-32,,Offensive rebound by Team
5:49.0,,,40-32,,J. Teague misses 2-pt shot from 19 ft
5:48.0,Defensive rebound by D. Williams,,40-32,,
5:31.0,R. Lopez misses 2-pt shot from 7 ft,,40-32,,
5:31.0,Offensive rebound by Team,,40-32,,
5:31.0,,,40-32,,Loose ball foul by T. Sefolosha (drawn by C. Anthony)
5:31.0,,,40-32,,K. Bazemore enters the game for K. Korver
5:18.0,R. Lopez misses 2-pt shot from 14 ft,,40-32,,
5:17.0,,,40-32,,Defensive rebound by K. Bazemore
4:58.0,,,40-32,,E. Tavares misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by D. Williams,,40-32,,
4:47.0,A. Afflalo misses 2-pt shot from 15 ft,,40-32,,
4:46.0,,,40-32,,Defensive rebound by T. Sefolosha
4:42.0,Personal foul by J. Calderon (drawn by P. Millsap),,40-32,,
4:37.0,,,40-32,,P. Millsap misses 2-pt shot from 8 ft
4:35.0,Defensive rebound by R. Lopez,,40-32,,
4:31.0,A. Afflalo makes 2-pt shot from 1 ft (assist by J. Calderon),2,42-32,,
4:07.0,,,42-32,,P. Millsap misses 2-pt shot from 7 ft
4:06.0,,,42-32,,Offensive rebound by P. Millsap
4:04.0,,,42-34,2,P. Millsap makes 2-pt shot at rim
3:55.0,Shooting foul by E. Tavares (drawn by D. Williams),,42-34,,
3:55.0,D. Williams makes free throw 1 of 2,1,43-34,,
3:55.0,K. Porzingis enters the game for R. Lopez,,43-34,,
3:55.0,D. Williams makes free throw 2 of 2,1,44-34,,
3:44.0,,,44-36,2,J. Teague makes 2-pt shot from 2 ft
3:32.0,Offensive charge foul by A. Afflalo,,44-36,,
3:32.0,Turnover by A. Afflalo (offensive foul),,44-36,,
3:32.0,L. Galloway enters the game for A. Afflalo,,44-36,,
3:18.0,,,44-38,2,P. Millsap makes 2-pt shot from 7 ft
3:02.0,C. Anthony makes 2-pt shot from 1 ft (assist by D. Williams),2,46-38,,
2:48.0,Personal foul by J. Calderon (drawn by J. Teague),,46-38,,
2:48.0,Official timeout,,46-38,,
2:48.0,,,46-38,,A. Horford enters the game for E. Tavares
2:48.0,L. Thomas enters the game for D. Williams,,46-38,,
2:48.0,Violation by Team (delay of game),,46-38,,
2:48.0,Technical foul by Team,,46-38,,
2:48.0,,,46-39,1,J. Teague makes technical free throw
2:39.0,,,46-42,3,J. Teague makes 3-pt shot from 24 ft
2:24.0,J. Calderon makes 3-pt shot from 25 ft,3,49-42,,
2:08.0,,,49-42,,Turnover by J. Teague (bad pass; steal by L. Galloway)
2:00.0,Turnover by K. Porzingis (lost ball; steal by J. Teague),,49-42,,
1:51.0,Personal foul by C. Anthony (drawn by P. Millsap),,49-42,,
1:51.0,,,49-43,1,P. Millsap makes free throw 1 of 2
1:51.0,,,49-43,,K. Korver enters the game for K. Bazemore
1:51.0,,,49-44,1,P. Millsap makes free throw 2 of 2
1:41.0,Shooting foul by P. Millsap (drawn by C. Anthony),,49-44,,
1:41.0,C. Anthony misses free throw 1 of 2,,49-44,,
1:41.0,Offensive rebound by Team,,49-44,,
1:41.0,,,49-44,,M. Scott enters the game for P. Millsap
1:41.0,R. Lopez enters the game for K. Porzingis,,49-44,,
1:41.0,A. Afflalo enters the game for L. Galloway,,49-44,,
1:41.0,C. Anthony makes free throw 2 of 2,1,50-44,,
1:19.0,,,50-44,,K. Korver misses 3-pt shot from 23 ft
1:18.0,Defensive rebound by C. Anthony,,50-44,,
1:02.0,A. Afflalo misses 2-pt shot from 13 ft,,50-44,,
1:00.0,,,50-44,,Defensive rebound by A. Horford
0:56.0,,,50-46,2,K. Korver makes 2-pt shot from 13 ft (assist by A. Horford)
0:40.0,Shooting foul by A. Horford (drawn by C. Anthony),,50-46,,
0:40.0,C. Anthony makes free throw 1 of 2,1,51-46,,
0:40.0,L. Galloway enters the game for A. Afflalo,,51-46,,
0:40.0,,,51-46,,K. Bazemore enters the game for T. Sefolosha
0:40.0,C. Anthony makes free throw 2 of 2,1,52-46,,
0:26.0,,,52-49,3,M. Scott makes 3-pt shot from 25 ft (assist by A. Horford)
0:19.0,New York full timeout,,52-49,,
0:19.0,,,52-49,,T. Sefolosha enters the game for K. Bazemore
0:19.0,K. Porzingis enters the game for R. Lopez,,52-49,,
0:05.0,L. Thomas makes 2-pt shot at rim (assist by C. Anthony),2,54-49,,
0:05.0,,,54-49,,Atlanta full timeout
0:05.0,,,54-49,,K. Bazemore enters the game for T. Sefolosha
0:05.0,D. Williams enters the game for K. Porzingis,,54-49,,
0:05.0,J. Grant enters the game for J. Calderon,,54-49,,
0:01.0,,,54-49,,J. Teague misses 2-pt shot from 16 ft (block by L. Galloway)
0:00.0,,,54-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,54-49,,Turnover by K. Korver (step out of bounds)
11:29.0,K. Porzingis misses 2-pt shot from 11 ft,,54-49,,
11:25.0,,,54-49,,Defensive rebound by K. Bazemore
11:20.0,,,54-49,,K. Korver misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by J. Calderon,,54-49,,
11:06.0,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony),3,57-49,,
10:44.0,,,57-49,,K. Bazemore misses 2-pt shot from 4 ft (block by C. Anthony)
10:40.0,,,57-49,,Offensive rebound by K. Korver
10:37.0,,,57-49,,K. Korver misses 2-pt shot from 3 ft
10:36.0,Defensive rebound by C. Anthony,,57-49,,
10:20.0,A. Afflalo makes 3-pt shot from 23 ft (assist by C. Anthony),3,60-49,,
10:19.0,,,60-49,,Atlanta full timeout
10:05.0,,,60-49,,A. Horford misses 2-pt shot from 1 ft (block by R. Lopez)
10:00.0,,,60-49,,Offensive rebound by A. Horford
9:59.0,,,60-51,2,A. Horford makes 2-pt shot at rim
9:41.0,K. Porzingis makes 2-pt shot from 16 ft (assist by J. Calderon),2,62-51,,
9:26.0,,,62-51,,P. Millsap misses 2-pt shot from 4 ft (block by K. Porzingis)
9:23.0,Defensive rebound by C. Anthony,,62-51,,
9:17.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,64-51,,
9:17.0,,,64-51,,Atlanta full timeout
9:17.0,,,64-51,,T. Sefolosha enters the game for K. Korver
9:04.0,,,64-51,,Turnover by J. Teague (lost ball; steal by J. Calderon)
9:01.0,,,64-51,,Violation by J. Teague (kicked ball)
8:49.0,J. Calderon misses 3-pt shot from 25 ft,,64-51,,
8:47.0,Offensive rebound by K. Porzingis,,64-51,,
8:35.0,K. Porzingis makes 2-pt shot from 21 ft (assist by A. Afflalo),2,66-51,,
8:13.0,,,66-53,2,P. Millsap makes 2-pt shot at rim
8:05.0,K. Porzingis misses 3-pt shot from 24 ft,,66-53,,
8:02.0,Offensive rebound by R. Lopez,,66-53,,
8:02.0,R. Lopez makes 2-pt shot at rim,2,68-53,,
8:00.0,,,68-53,,Atlanta full timeout
8:00.0,,,68-53,,D. Schroder enters the game for J. Teague
7:45.0,,,68-55,2,K. Bazemore makes 2-pt shot from 6 ft
7:32.0,New York full timeout,,68-55,,
7:26.0,K. Porzingis makes 2-pt shot from 7 ft (assist by C. Anthony),2,70-55,,
7:12.0,,,70-57,2,D. Schroder makes 2-pt shot from 16 ft
6:54.0,R. Lopez makes 2-pt shot from 1 ft (assist by A. Afflalo),2,72-57,,
6:54.0,Shooting foul by T. Sefolosha (drawn by R. Lopez),,72-57,,
6:54.0,R. Lopez makes free throw 1 of 1,1,73-57,,
6:36.0,,,73-57,,P. Millsap misses 2-pt shot from 4 ft
6:34.0,Defensive rebound by A. Afflalo,,73-57,,
6:29.0,J. Calderon misses 3-pt shot from 24 ft,,73-57,,
6:27.0,,,73-57,,Defensive rebound by D. Schroder
6:19.0,,,73-60,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
6:01.0,Turnover by R. Lopez (traveling),,73-60,,
5:48.0,,,73-60,,D. Schroder misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by A. Afflalo,,73-60,,
5:32.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Porzingis),2,75-60,,
5:16.0,,,75-60,,A. Horford misses 2-pt shot from 7 ft
5:13.0,Defensive rebound by R. Lopez,,75-60,,
4:58.0,C. Anthony misses 3-pt shot from 25 ft,,75-60,,
4:56.0,,,75-60,,Defensive rebound by D. Schroder
4:54.0,,,75-62,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder)
4:54.0,,,75-62,,Shooting foul by J. Calderon (drawn by T. Sefolosha)
4:54.0,,,75-62,,K. Korver enters the game for K. Bazemore
4:54.0,,,75-62,,T. Sefolosha misses free throw 1 of 1
4:53.0,Defensive rebound by K. Porzingis,,75-62,,
4:34.0,C. Anthony makes 2-pt shot from 7 ft,2,77-62,,
4:21.0,,,77-62,,D. Schroder misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by C. Anthony,,77-62,,
4:12.0,,,77-62,,E. Tavares enters the game for A. Horford
4:03.0,R. Lopez misses 2-pt shot from 3 ft (block by E. Tavares),,77-62,,
4:01.0,Offensive rebound by R. Lopez,,77-62,,
3:58.0,A. Afflalo misses 2-pt shot from 18 ft,,77-62,,
3:57.0,,,77-62,,Defensive rebound by T. Sefolosha
3:34.0,,,77-65,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by D. Schroder)
3:13.0,J. Calderon misses 2-pt shot from 19 ft,,77-65,,
3:11.0,,,77-65,,Defensive rebound by T. Sefolosha
3:00.0,,,77-68,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
2:39.0,C. Anthony misses 2-pt shot from 5 ft,,77-68,,
2:37.0,,,77-68,,Defensive rebound by T. Sefolosha
2:29.0,,,77-68,,P. Millsap misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by K. Porzingis,,77-68,,
2:20.0,New York full timeout,,77-68,,
2:20.0,,,77-68,,M. Scott enters the game for P. Millsap
2:20.0,,,77-68,,K. Bazemore enters the game for T. Sefolosha
2:20.0,L. Thomas enters the game for K. Porzingis,,77-68,,
2:03.0,C. Anthony misses 2-pt shot from 15 ft,,77-68,,
2:03.0,Offensive rebound by Team,,77-68,,
2:03.0,,,77-68,,Loose ball foul by M. Scott (drawn by R. Lopez)
2:03.0,L. Galloway enters the game for A. Afflalo,,77-68,,
1:45.0,C. Anthony makes 2-pt shot from 1 ft,2,79-68,,
1:33.0,,,79-68,,K. Korver misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by L. Thomas,,79-68,,
1:18.0,Offensive charge foul by C. Anthony,,79-68,,
1:18.0,Turnover by C. Anthony (offensive foul),,79-68,,
1:18.0,,,79-68,,A. Horford enters the game for E. Tavares
1:18.0,J. Grant enters the game for R. Lopez,,79-68,,
1:18.0,D. Williams enters the game for J. Calderon,,79-68,,
1:09.0,,,79-71,3,M. Scott makes 3-pt shot from 23 ft (assist by A. Horford)
0:50.0,,,79-71,,Personal foul by K. Bazemore (drawn by C. Anthony)
0:49.0,,,79-71,,Personal foul by M. Scott (drawn by D. Williams)
0:49.0,D. Williams makes free throw 1 of 2,1,80-71,,
0:49.0,K. Porzingis enters the game for C. Anthony,,80-71,,
0:49.0,D. Williams makes free throw 2 of 2,1,81-71,,
0:30.0,,,81-71,,D. Schroder misses 2-pt shot at rim
0:29.0,Defensive rebound by K. Porzingis,,81-71,,
0:21.0,K. Porzingis makes 2-pt shot from 5 ft,2,83-71,,
0:21.0,Shooting foul by M. Scott (drawn by K. Porzingis),,83-71,,
0:21.0,K. Porzingis makes free throw 1 of 1,1,84-71,,
0:09.0,Personal take foul by J. Grant (drawn by D. Schroder),,84-71,,
0:09.0,A. Afflalo enters the game for K. Porzingis,,84-71,,
0:00.0,,,84-71,,K. Bazemore misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by Team,,84-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,D. Williams makes 3-pt shot from 23 ft,3,87-71,,
11:10.0,,,87-73,2,K. Korver makes 2-pt shot from 21 ft (assist by P. Millsap)
10:57.0,K. Porzingis misses 3-pt shot from 24 ft,,87-73,,
10:55.0,,,87-73,,Defensive rebound by D. Schroder
10:39.0,,,87-73,,Turnover by D. Schroder (bad pass; steal by L. Galloway)
10:34.0,L. Galloway misses 2-pt shot from 2 ft,,87-73,,
10:32.0,,,87-73,,Defensive rebound by A. Horford
10:28.0,,,87-73,,K. Korver misses 3-pt shot from 23 ft
10:27.0,,,87-73,,Offensive rebound by T. Hardaway
10:21.0,,,87-73,,P. Millsap misses 3-pt shot from 23 ft
10:20.0,,,87-73,,Offensive rebound by A. Horford
10:16.0,,,87-76,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
9:55.0,A. Afflalo makes 2-pt shot from 15 ft,2,89-76,,
9:41.0,,,89-78,2,A. Horford makes 2-pt shot from 8 ft (assist by D. Schroder)
9:16.0,A. Afflalo makes 2-pt shot from 1 ft,2,91-78,,
9:03.0,,,91-80,2,A. Horford makes 2-pt shot from 7 ft
8:50.0,Turnover by J. Grant (bad pass),,91-80,,
8:50.0,Official timeout,,91-80,,
8:50.0,,,91-80,,J. Teague enters the game for D. Schroder
8:50.0,J. Calderon enters the game for K. Porzingis,,91-80,,
8:50.0,C. Anthony enters the game for L. Galloway,,91-80,,
8:50.0,R. Lopez enters the game for J. Grant,,91-80,,
8:40.0,Personal foul by C. Anthony (drawn by T. Hardaway),,91-80,,
8:33.0,,,91-80,,K. Korver misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by J. Calderon,,91-80,,
8:12.0,D. Williams misses 3-pt shot from 24 ft,,91-80,,
8:11.0,,,91-80,,Defensive rebound by K. Korver
8:07.0,Personal foul by A. Afflalo (drawn by K. Korver),,91-80,,
8:07.0,L. Thomas enters the game for A. Afflalo,,91-80,,
8:00.0,,,91-80,,A. Horford misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by C. Anthony,,91-80,,
7:51.0,D. Williams misses 2-pt shot from 21 ft,,91-80,,
7:50.0,,,91-80,,Defensive rebound by K. Korver
7:38.0,,,91-80,,P. Millsap misses 2-pt shot from 5 ft
7:37.0,Defensive rebound by R. Lopez,,91-80,,
7:18.0,C. Anthony misses 2-pt shot from 10 ft,,91-80,,
7:17.0,Offensive rebound by R. Lopez,,91-80,,
7:17.0,R. Lopez misses 2-pt shot at rim,,91-80,,
7:17.0,Offensive rebound by D. Williams,,91-80,,
7:17.0,Shooting foul by T. Hardaway (drawn by D. Williams),,91-80,,
7:17.0,D. Williams makes free throw 1 of 2,1,92-80,,
7:17.0,,,92-80,,K. Bazemore enters the game for K. Korver
7:17.0,D. Williams makes free throw 2 of 2,1,93-80,,
6:57.0,,,93-80,,A. Horford misses 3-pt shot from 24 ft
6:56.0,,,93-80,,Offensive rebound by P. Millsap
6:56.0,,,93-82,2,P. Millsap makes 2-pt shot at rim
6:56.0,,,93-82,,Shooting foul by R. Lopez (drawn by P. Millsap)
6:56.0,L. Galloway enters the game for D. Williams,,93-82,,
6:56.0,,,93-82,,M. Scott enters the game for A. Horford
6:56.0,,,93-82,,Technical foul by P. Millsap
6:56.0,Technical foul by R. Lopez (drawn by P. Millsap),,93-82,,
6:56.0,,,93-83,1,P. Millsap makes free throw 1 of 1
6:41.0,Turnover by J. Calderon (3 sec),,93-83,,
6:24.0,,,93-83,,Turnover by J. Teague (bad pass; steal by C. Anthony)
6:10.0,L. Galloway makes 2-pt shot at rim (assist by J. Calderon),2,95-83,,
5:50.0,,,95-86,3,P. Millsap makes 3-pt shot from 25 ft (assist by K. Bazemore)
5:30.0,L. Thomas misses 3-pt shot from 24 ft,,95-86,,
