time,Atlanta,pts.away,score,pts.home,Utah
4:39.0,D. Schroder misses 2-pt shot from 16 ft,,10-17,,
4:38.0,,,10-17,,Defensive rebound by R. Gobert
4:28.0,Personal foul by M. Scott,,10-17,,
4:28.0,T. Hardaway enters the game for K. Korver,,10-17,,
4:20.0,,,10-19,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Neto)
4:08.0,Turnover by T. Sefolosha (lost ball; steal by J. Ingles),,10-19,,
4:01.0,,,10-19,,Turnover by R. Gobert (lost ball)
3:47.0,K. Humphries makes 2-pt shot from 19 ft (assist by D. Schroder),2,12-19,,
3:30.0,,,12-19,,Turnover by R. Gobert (3 sec)
3:15.0,K. Humphries misses 3-pt shot from 23 ft,,12-19,,
3:14.0,,,12-19,,Defensive rebound by T. Booker
3:05.0,,,12-19,,Turnover by R. Neto (bad pass)
2:53.0,M. Scott makes 2-pt shot from 4 ft,2,14-19,,
2:48.0,,,14-19,,Utah full timeout
2:48.0,,,14-19,,R. Hood enters the game for G. Hayward
2:37.0,,,14-19,,J. Ingles misses 3-pt shot from 24 ft
2:34.0,,,14-19,,Offensive rebound by R. Gobert
2:34.0,,,14-19,,Turnover by R. Gobert (dbl dribble)
2:34.0,,,14-19,,D. Favors enters the game for R. Gobert
2:16.0,D. Schroder misses 2-pt shot from 17 ft,,14-19,,
2:15.0,,,14-19,,Defensive rebound by R. Hood
1:55.0,,,14-19,,Shooting foul by D. Schroder (drawn by T. Booker)
1:55.0,,,14-20,1,T. Booker makes free throw 1 of 2
1:55.0,A. Horford enters the game for K. Humphries,,14-20,,
1:55.0,,,14-21,1,T. Booker makes free throw 2 of 2
1:43.0,D. Schroder misses 2-pt shot from 2 ft,,14-21,,
1:42.0,,,14-21,,Defensive rebound by R. Neto
1:36.0,,,14-21,,R. Hood misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by M. Scott,,14-21,,
1:28.0,T. Hardaway misses 3-pt shot from 24 ft,,14-21,,
1:27.0,,,14-21,,Defensive rebound by J. Ingles
1:06.0,,,14-23,2,R. Neto makes 2-pt shot from 17 ft
0:47.0,Turnover by M. Scott (lost ball; steal by R. Neto),,14-23,,
0:44.0,,,14-25,2,R. Neto makes 2-pt shot from 2 ft
0:36.0,Turnover by T. Sefolosha (lost ball; steal by D. Favors),,14-25,,
0:27.0,,,14-25,,D. Favors misses 2-pt shot from 16 ft
0:26.0,Defensive rebound by T. Sefolosha,,14-25,,
0:06.0,D. Schroder makes 2-pt shot from 2 ft,2,16-25,,
0:01.0,,,16-25,,R. Neto misses 3-pt shot from 24 ft
0:01.0,,,16-25,,Offensive rebound by R. Hood
0:01.0,,,16-27,2,R. Hood makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford),2,18-27,,
11:23.0,,,18-27,,Turnover by R. Neto (lost ball; steal by P. Millsap)
11:21.0,,,18-27,,Personal foul by R. Hood
11:21.0,,,18-27,,S. Mack enters the game for R. Neto
11:13.0,P. Millsap makes 2-pt shot from 4 ft (assist by J. Teague),2,20-27,,
10:56.0,,,20-27,,S. Mack misses 2-pt shot from 5 ft
10:56.0,Defensive rebound by A. Horford,,20-27,,
10:52.0,Turnover by T. Hardaway (lost ball),,20-27,,
10:34.0,,,20-29,2,D. Favors makes 2-pt shot from 2 ft
10:17.0,P. Millsap makes 2-pt shot from 9 ft,2,22-29,,
10:02.0,,,22-29,,D. Favors misses 2-pt shot from 15 ft (block by A. Horford)
10:01.0,,,22-29,,Offensive rebound by D. Favors
10:00.0,,,22-29,,Turnover by D. Favors (traveling)
9:46.0,P. Millsap misses 2-pt shot from 5 ft,,22-29,,
9:46.0,,,22-29,,Defensive rebound by Team
9:27.0,,,22-31,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
9:22.0,Turnover by J. Teague (lost ball; steal by T. Booker),,22-31,,
9:07.0,,,22-34,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Hood)
9:07.0,,,22-34,,Shooting foul by T. Hardaway (drawn by J. Ingles)
9:07.0,K. Bazemore enters the game for T. Sefolosha,,22-34,,
9:07.0,,,22-34,,R. Gobert enters the game for T. Booker
9:07.0,,,22-35,1,J. Ingles makes free throw 1 of 1
8:58.0,P. Millsap misses 3-pt shot from 24 ft,,22-35,,
8:57.0,,,22-35,,Defensive rebound by S. Mack
8:48.0,,,22-35,,R. Hood misses 3-pt shot from 22 ft
8:48.0,,,22-35,,Offensive rebound by R. Hood
8:34.0,,,22-35,,S. Mack misses 2-pt shot from 4 ft
8:33.0,,,22-35,,Offensive rebound by J. Ingles
8:24.0,,,22-35,,J. Ingles misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by P. Millsap,,22-35,,
8:16.0,J. Teague makes 3-pt shot from 24 ft,3,25-35,,
7:49.0,,,25-35,,S. Mack misses 2-pt shot from 6 ft
7:49.0,Defensive rebound by P. Millsap,,25-35,,
7:47.0,Shooting foul by S. Mack (drawn by P. Millsap),,25-35,,
7:47.0,Atlanta full timeout,,25-35,,
7:47.0,K. Humphries enters the game for A. Horford,,25-35,,
7:47.0,,,25-35,,G. Hayward enters the game for J. Ingles
7:47.0,,,25-35,,T. Lyles enters the game for D. Favors
7:47.0,,,25-35,,C. Johnson enters the game for R. Hood
7:47.0,P. Millsap makes free throw 1 of 2,1,26-35,,
7:47.0,P. Millsap misses free throw 2 of 2,,26-35,,
7:46.0,,,26-35,,Defensive rebound by S. Mack
7:22.0,,,26-35,,S. Mack misses 2-pt shot from 7 ft
7:22.0,Defensive rebound by T. Hardaway,,26-35,,
7:13.0,K. Humphries makes 2-pt shot from 1 ft (assist by J. Teague),2,28-35,,
7:13.0,,,28-35,,Violation by T. Lyles (def goaltending)
6:56.0,,,28-35,,T. Lyles misses 2-pt shot from 13 ft
6:56.0,,,28-35,,Offensive rebound by R. Gobert
6:52.0,,,28-37,2,C. Johnson makes 2-pt shot from 2 ft (assist by R. Gobert)
6:39.0,J. Teague makes 2-pt shot from 2 ft,2,30-37,,
6:23.0,,,30-37,,Shooting foul by K. Bazemore (drawn by G. Hayward)
6:23.0,,,30-37,,G. Hayward misses free throw 1 of 2
6:23.0,,,30-37,,Offensive rebound by Team
6:23.0,K. Korver enters the game for T. Hardaway,,30-37,,
6:23.0,,,30-38,1,G. Hayward makes free throw 2 of 2
6:12.0,K. Humphries misses 2-pt shot from 17 ft,,30-38,,
6:12.0,,,30-38,,Defensive rebound by C. Johnson
5:52.0,,,30-38,,G. Hayward misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by J. Teague,,30-38,,
5:40.0,K. Humphries makes 2-pt shot from 18 ft (assist by P. Millsap),2,32-38,,
5:24.0,Personal foul by K. Bazemore,,32-38,,
5:24.0,,,32-38,,Utah full timeout
5:24.0,,,32-38,,R. Neto enters the game for S. Mack
5:09.0,,,32-38,,Turnover by R. Gobert (lost ball; steal by K. Bazemore)
5:02.0,K. Bazemore makes 2-pt shot from 10 ft,2,34-38,,
4:44.0,,,34-38,,R. Neto misses 2-pt shot from 3 ft
4:44.0,Defensive rebound by K. Humphries,,34-38,,
4:31.0,J. Teague makes 3-pt shot from 24 ft,3,37-38,,
4:16.0,,,37-38,,G. Hayward misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by K. Korver,,37-38,,
3:57.0,Turnover by J. Teague (lost ball; steal by G. Hayward),,37-38,,
3:39.0,,,37-38,,C. Johnson misses 2-pt shot at rim (block by K. Humphries)
3:37.0,Defensive rebound by P. Millsap,,37-38,,
3:27.0,Shooting foul by T. Lyles (drawn by K. Humphries),,37-38,,
3:27.0,K. Humphries misses free throw 1 of 2,,37-38,,
3:27.0,Offensive rebound by Team,,37-38,,
3:27.0,,,37-38,,R. Hood enters the game for C. Johnson
3:27.0,,,37-38,,D. Favors enters the game for T. Lyles
3:27.0,D. Schroder enters the game for J. Teague,,37-38,,
3:27.0,A. Horford enters the game for P. Millsap,,37-38,,
3:27.0,K. Humphries misses free throw 2 of 2,,37-38,,
3:27.0,,,37-38,,Defensive rebound by R. Gobert
3:08.0,,,37-38,,D. Favors misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by D. Schroder,,37-38,,
3:02.0,K. Bazemore makes 2-pt shot from 20 ft (assist by D. Schroder),2,39-38,,
3:02.0,,,39-38,,Utah full timeout
3:02.0,T. Sefolosha enters the game for K. Korver,,39-38,,
3:02.0,,,39-38,,S. Mack enters the game for R. Neto
2:53.0,,,39-38,,Turnover by S. Mack (lost ball; steal by D. Schroder)
2:48.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,41-38,,
2:30.0,Violation by K. Bazemore (kicked ball),,41-38,,
2:30.0,Atlanta full timeout,,41-38,,
2:22.0,,,41-38,,R. Hood misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by T. Sefolosha,,41-38,,
2:03.0,Turnover by D. Schroder (bad pass),,41-38,,
2:03.0,K. Korver enters the game for K. Bazemore,,41-38,,
1:52.0,,,41-38,,S. Mack misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by K. Korver,,41-38,,
1:41.0,D. Schroder misses 3-pt shot from 25 ft,,41-38,,
1:41.0,Offensive rebound by Team,,41-38,,
1:41.0,P. Millsap enters the game for K. Humphries,,41-38,,
1:41.0,J. Teague enters the game for D. Schroder,,41-38,,
1:35.0,K. Korver misses 3-pt shot from 24 ft,,41-38,,
1:34.0,,,41-38,,Defensive rebound by R. Gobert
1:25.0,,,41-38,,Shooting foul by P. Millsap (drawn by R. Gobert)
1:25.0,,,41-38,,R. Gobert misses free throw 1 of 2
1:25.0,,,41-38,,Offensive rebound by Team
1:25.0,,,41-38,,R. Gobert misses free throw 2 of 2
1:24.0,Defensive rebound by A. Horford,,41-38,,
1:11.0,J. Teague misses 3-pt shot from 23 ft,,41-38,,
1:10.0,,,41-38,,Defensive rebound by R. Gobert
1:02.0,,,41-38,,Turnover by D. Favors (bad pass)
0:40.0,P. Millsap misses 2-pt shot from 6 ft,,41-38,,
0:40.0,,,41-38,,Defensive rebound by R. Hood
0:25.0,Def 3 sec tech foul by A. Horford,,41-38,,
0:25.0,,,41-39,1,G. Hayward makes technical free throw
0:25.0,K. Bazemore enters the game for K. Korver,,41-39,,
0:14.0,,,41-41,2,R. Hood makes 2-pt shot from 12 ft
0:14.0,,,41-41,,Shooting foul by A. Horford (drawn by R. Hood)
0:14.0,K. Korver enters the game for T. Sefolosha,,41-41,,
0:14.0,,,41-42,1,R. Hood makes free throw 1 of 1
0:02.0,Turnover by J. Teague (lost ball; steal by R. Hood),,41-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,A. Horford makes 2-pt shot from 17 ft (assist by P. Millsap),2,43-42,,
11:20.0,,,43-42,,G. Hayward misses 2-pt shot from 14 ft
11:20.0,Defensive rebound by K. Bazemore,,43-42,,
11:11.0,K. Bazemore misses 2-pt shot from 2 ft,,43-42,,
11:11.0,,,43-42,,Defensive rebound by R. Gobert
10:51.0,,,43-42,,D. Favors misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by P. Millsap,,43-42,,
10:42.0,J. Teague misses 2-pt shot from 2 ft (block by D. Favors),,43-42,,
10:42.0,,,43-42,,Defensive rebound by D. Favors
10:39.0,,,43-42,,Turnover by D. Favors (lost ball; steal by J. Teague)
10:27.0,Shooting foul by S. Mack (drawn by J. Teague),,43-42,,
10:27.0,J. Teague makes free throw 1 of 2,1,44-42,,
10:27.0,J. Teague makes free throw 2 of 2,1,45-42,,
10:07.0,,,45-44,2,D. Favors makes 2-pt shot from 14 ft (assist by R. Hood)
9:55.0,P. Millsap makes 2-pt shot from 15 ft,2,47-44,,
9:40.0,,,47-44,,R. Hood misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by K. Bazemore,,47-44,,
9:23.0,J. Teague makes 2-pt shot from 12 ft,2,49-44,,
9:02.0,,,49-44,,Turnover by R. Gobert (lost ball; steal by A. Horford)
8:52.0,J. Teague misses 3-pt shot from 24 ft,,49-44,,
8:52.0,,,49-44,,Defensive rebound by G. Hayward
8:38.0,,,49-46,2,R. Gobert makes 2-pt shot at rim (assist by S. Mack)
8:19.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,52-46,,
7:54.0,,,52-46,,G. Hayward misses 2-pt shot from 9 ft
7:54.0,,,52-46,,Offensive rebound by D. Favors
7:50.0,,,52-46,,D. Favors misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by P. Millsap,,52-46,,
7:45.0,Turnover by P. Millsap (bad pass),,52-46,,
7:31.0,,,52-49,3,G. Hayward makes 3-pt shot from 24 ft
7:15.0,J. Teague makes 3-pt shot from 22 ft,3,55-49,,
7:11.0,Personal foul by J. Teague,,55-49,,
7:05.0,,,55-49,,Offensive foul by R. Gobert
7:05.0,,,55-49,,Turnover by R. Gobert (offensive foul)
6:55.0,K. Korver makes 3-pt shot from 24 ft,3,58-49,,
6:34.0,,,58-49,,S. Mack misses 2-pt shot from 4 ft
6:34.0,Defensive rebound by A. Horford,,58-49,,
6:26.0,K. Korver misses 3-pt shot from 27 ft,,58-49,,
6:25.0,,,58-49,,Defensive rebound by S. Mack
6:17.0,,,58-49,,Shooting foul by K. Bazemore (drawn by G. Hayward)
6:17.0,,,58-50,1,G. Hayward makes free throw 1 of 2
6:17.0,K. Humphries enters the game for A. Horford,,58-50,,
6:17.0,,,58-50,,J. Ingles enters the game for R. Hood
6:17.0,,,58-50,,T. Booker enters the game for R. Gobert
6:17.0,T. Sefolosha enters the game for K. Bazemore,,58-50,,
6:17.0,,,58-51,1,G. Hayward makes free throw 2 of 2
5:56.0,K. Korver misses 3-pt shot from 23 ft,,58-51,,
5:55.0,,,58-51,,Defensive rebound by S. Mack
5:52.0,,,58-51,,Turnover by G. Hayward (lost ball; steal by P. Millsap)
5:45.0,Turnover by J. Teague (lost ball; steal by D. Favors),,58-51,,
5:35.0,,,58-51,,S. Mack misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by Team,,58-51,,
5:34.0,,,58-51,,Loose ball foul by T. Booker
5:34.0,,,58-51,,Utah full timeout
5:34.0,,,58-51,,R. Neto enters the game for S. Mack
5:13.0,K. Humphries makes 2-pt shot at rim (assist by T. Sefolosha),2,60-51,,
4:58.0,,,60-51,,Turnover by G. Hayward (traveling)
4:40.0,K. Humphries misses 2-pt shot from 3 ft,,60-51,,
4:40.0,,,60-51,,Defensive rebound by D. Favors
4:27.0,,,60-51,,G. Hayward misses 2-pt shot from 8 ft
4:27.0,,,60-51,,Offensive rebound by G. Hayward
4:12.0,,,60-51,,T. Booker misses 2-pt shot from 4 ft
4:11.0,,,60-51,,Offensive rebound by D. Favors
4:09.0,,,60-53,2,D. Favors makes 2-pt shot from 1 ft
4:00.0,K. Humphries misses 3-pt shot from 24 ft,,60-53,,
3:58.0,,,60-53,,Defensive rebound by T. Booker
3:43.0,T. Hardaway enters the game for J. Teague,,60-53,,
3:43.0,D. Schroder enters the game for K. Korver,,60-53,,
3:35.0,,,60-53,,G. Hayward misses 2-pt shot from 8 ft
3:34.0,,,60-53,,Offensive rebound by D. Favors
3:34.0,,,60-53,,D. Favors misses 2-pt shot at rim
3:32.0,,,60-53,,Offensive rebound by Team
3:21.0,,,60-53,,R. Neto misses 3-pt shot from 24 ft
3:21.0,,,60-53,,Offensive rebound by J. Ingles
3:15.0,,,60-53,,J. Ingles misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by P. Millsap,,60-53,,
3:01.0,Turnover by T. Sefolosha (lost ball; steal by T. Booker),,60-53,,
2:55.0,,,60-53,,T. Booker misses 2-pt shot from 2 ft
2:55.0,,,60-53,,Offensive rebound by T. Booker
2:55.0,,,60-53,,Shooting foul by K. Humphries (drawn by T. Booker)
2:55.0,Atlanta full timeout,,60-53,,
2:55.0,,,60-53,,R. Hood enters the game for G. Hayward
2:55.0,,,60-53,,R. Gobert enters the game for D. Favors
2:55.0,,,60-54,1,T. Booker makes free throw 1 of 2
2:55.0,,,60-55,1,T. Booker makes free throw 2 of 2
2:41.0,T. Hardaway makes 2-pt shot from 2 ft,2,62-55,,
2:41.0,Shooting foul by R. Gobert (drawn by T. Hardaway),,62-55,,
2:41.0,A. Horford enters the game for P. Millsap,,62-55,,
2:41.0,T. Hardaway makes free throw 1 of 1,1,63-55,,
2:34.0,,,63-55,,Offensive foul by J. Ingles
2:34.0,,,63-55,,Turnover by J. Ingles (offensive foul)
2:18.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,66-55,,
2:03.0,,,66-55,,R. Hood misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by T. Sefolosha,,66-55,,
1:50.0,Turnover by A. Horford (lost ball; steal by R. Gobert),,66-55,,
1:36.0,,,66-55,,J. Ingles misses 2-pt shot from 22 ft
1:35.0,Defensive rebound by T. Sefolosha,,66-55,,
1:27.0,K. Humphries misses 2-pt shot from 8 ft,,66-55,,
1:26.0,Offensive rebound by A. Horford,,66-55,,
1:06.0,D. Schroder misses 3-pt shot from 24 ft,,66-55,,
1:04.0,,,66-55,,Defensive rebound by T. Booker
0:59.0,,,66-57,2,T. Booker makes 2-pt shot from 1 ft
0:41.0,T. Hardaway misses 3-pt shot from 24 ft,,66-57,,
0:41.0,,,66-57,,Defensive rebound by R. Gobert
0:30.0,,,66-57,,R. Neto misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by K. Humphries,,66-57,,
0:09.0,D. Schroder misses 2-pt shot from 3 ft,,66-57,,
0:08.0,,,66-57,,Defensive rebound by J. Ingles
0:03.0,Personal foul by T. Sefolosha,,66-57,,
0:03.0,M. Scott enters the game for K. Humphries,,66-57,,
0:01.0,,,66-57,,R. Hood misses 3-pt shot from 25 ft
0:00.0,,,66-57,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,66-57,,Turnover by G. Hayward (bad pass)
11:35.0,M. Scott misses 2-pt shot from 21 ft,,66-57,,
11:35.0,,,66-57,,Defensive rebound by R. Gobert
11:13.0,,,66-57,,Shooting foul by M. Scott (drawn by T. Lyles)
11:13.0,,,66-57,,T. Lyles misses free throw 1 of 2
11:13.0,,,66-57,,Offensive rebound by Team
11:13.0,,,66-58,1,T. Lyles makes free throw 2 of 2
10:53.0,Turnover by D. Schroder (3 sec),,66-58,,
10:33.0,,,66-58,,G. Hayward misses 2-pt shot from 3 ft
10:33.0,Defensive rebound by T. Sefolosha,,66-58,,
10:19.0,,,66-58,,Personal foul by T. Lyles
10:10.0,A. Horford misses 2-pt shot from 6 ft,,66-58,,
10:10.0,,,66-58,,Defensive rebound by G. Hayward
9:54.0,,,66-58,,J. Ingles misses 2-pt shot from 23 ft
9:53.0,Defensive rebound by T. Sefolosha,,66-58,,
9:52.0,K. Bazemore enters the game for T. Sefolosha,,66-58,,
9:52.0,,,66-58,,S. Mack enters the game for J. Ingles
9:52.0,,,66-58,,D. Favors enters the game for T. Lyles
9:44.0,D. Schroder makes 2-pt shot from 20 ft,2,68-58,,
9:22.0,,,68-58,,G. Hayward misses 2-pt shot from 8 ft
9:21.0,Defensive rebound by K. Bazemore,,68-58,,
9:02.0,D. Schroder misses 2-pt shot from 1 ft,,68-58,,
9:00.0,Offensive rebound by A. Horford,,68-58,,
9:00.0,A. Horford makes 2-pt shot from 1 ft,2,70-58,,
8:48.0,,,70-60,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
8:23.0,D. Schroder misses 3-pt shot from 24 ft,,70-60,,
8:23.0,Offensive rebound by Team,,70-60,,
8:23.0,Atlanta full timeout,,70-60,,
8:23.0,K. Korver enters the game for M. Scott,,70-60,,
8:23.0,P. Millsap enters the game for T. Hardaway,,70-60,,
8:07.0,K. Korver makes 2-pt shot from 14 ft,2,72-60,,
7:41.0,,,72-60,,S. Mack misses 2-pt shot from 7 ft
7:41.0,,,72-60,,Offensive rebound by S. Mack
7:38.0,,,72-63,3,R. Hood makes 3-pt shot from 24 ft (assist by S. Mack)
7:20.0,K. Korver misses 2-pt shot from 20 ft,,72-63,,
7:19.0,,,72-63,,Defensive rebound by R. Gobert
7:02.0,,,72-66,3,R. Hood makes 3-pt shot from 22 ft (assist by G. Hayward)
6:46.0,D. Schroder makes 3-pt shot from 24 ft,3,75-66,,
6:28.0,Personal foul by K. Bazemore,,75-66,,
6:28.0,K. Humphries enters the game for A. Horford,,75-66,,
6:28.0,T. Sefolosha enters the game for D. Schroder,,75-66,,
6:28.0,J. Teague enters the game for K. Korver,,75-66,,
6:18.0,,,75-66,,S. Mack misses 2-pt shot from 16 ft (block by J. Teague)
6:17.0,Defensive rebound by K. Bazemore,,75-66,,
6:16.0,K. Bazemore makes 2-pt shot from 2 ft,2,77-66,,
6:16.0,Shooting foul by S. Mack (drawn by K. Bazemore),,77-66,,
6:16.0,K. Bazemore misses free throw 1 of 1,,77-66,,
6:15.0,,,77-66,,Defensive rebound by G. Hayward
6:07.0,,,77-68,2,G. Hayward makes 2-pt shot from 3 ft
6:01.0,Atlanta full timeout,,77-68,,
6:01.0,,,77-68,,J. Ingles enters the game for S. Mack
6:01.0,,,77-68,,T. Booker enters the game for R. Gobert
6:01.0,A. Horford enters the game for P. Millsap,,77-68,,
5:51.0,J. Teague misses 2-pt shot from 21 ft,,77-68,,
5:50.0,,,77-68,,Defensive rebound by R. Hood
5:29.0,,,77-68,,G. Hayward misses 2-pt shot from 8 ft (block by T. Sefolosha)
5:29.0,,,77-68,,Offensive rebound by Team
5:26.0,,,77-70,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
5:26.0,,,77-70,,Shooting foul by K. Humphries (drawn by D. Favors)
5:26.0,,,77-70,,D. Favors misses free throw 1 of 1
5:26.0,Defensive rebound by Team,,77-70,,
5:14.0,K. Bazemore misses 3-pt shot from 24 ft,,77-70,,
5:14.0,,,77-70,,Defensive rebound by G. Hayward
5:08.0,,,77-70,,Shooting foul by K. Humphries (drawn by G. Hayward)
5:08.0,,,77-71,1,G. Hayward makes free throw 1 of 2
5:08.0,P. Millsap enters the game for K. Humphries,,77-71,,
5:08.0,,,77-72,1,G. Hayward makes free throw 2 of 2
4:50.0,T. Sefolosha misses 2-pt shot from 2 ft,,77-72,,
4:50.0,Offensive rebound by T. Sefolosha,,77-72,,
4:49.0,T. Sefolosha misses 2-pt shot from 2 ft,,77-72,,
4:48.0,Offensive rebound by T. Sefolosha,,77-72,,
4:47.0,T. Sefolosha misses 2-pt shot from 1 ft (block by D. Favors),,77-72,,
4:45.0,,,77-72,,Defensive rebound by R. Hood
4:36.0,,,77-72,,Turnover by J. Ingles (lost ball; steal by T. Sefolosha)
4:34.0,,,77-72,,Clear path foul by R. Hood
4:34.0,T. Sefolosha misses clear path free throw 1 of 2,,77-72,,
4:34.0,Offensive rebound by Team,,77-72,,
4:34.0,T. Sefolosha makes clear path free throw 2 of 2,1,78-72,,
4:34.0,K. Korver enters the game for T. Sefolosha,,78-72,,
4:30.0,Offensive foul by K. Korver,,78-72,,
4:30.0,Turnover by K. Korver (offensive foul),,78-72,,
4:17.0,,,78-75,3,G. Hayward makes 3-pt shot from 22 ft (assist by R. Hood)
3:54.0,P. Millsap makes 2-pt shot from 1 ft,2,80-75,,
3:40.0,,,80-77,2,G. Hayward makes 2-pt shot from 3 ft
3:27.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,82-77,,
3:15.0,,,82-77,,G. Hayward misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by P. Millsap,,82-77,,
