time,Golden State,pts.away,score,pts.home,Boston
3:12.0,Shooting foul by A. Johnson (drawn by F. Ezeli),,15-18,,
3:12.0,F. Ezeli makes free throw 1 of 2,1,16-18,,
3:12.0,S. Livingston enters the game for I. Clark,,16-18,,
3:12.0,F. Ezeli misses free throw 2 of 2,,16-18,,
3:12.0,,,16-18,,Defensive rebound by I. Thomas
2:52.0,,,16-20,2,A. Johnson makes 2-pt shot from 10 ft
2:41.0,Shooting foul by A. Johnson (drawn by S. Curry),,16-20,,
2:41.0,,,16-20,,Boston full timeout
2:41.0,,,16-20,,J. Young enters the game for I. Thomas
2:41.0,S. Curry makes free throw 1 of 2,1,17-20,,
2:41.0,S. Curry makes free throw 2 of 2,1,18-20,,
2:23.0,,,18-20,,A. Bradley misses 3-pt shot from 23 ft
2:22.0,Defensive rebound by F. Ezeli,,18-20,,
2:15.0,,,18-20,,Personal block foul by K. Olynyk (drawn by S. Curry)
2:15.0,,,18-20,,D. Lee enters the game for A. Johnson
2:03.0,S. Livingston makes 2-pt shot from 14 ft,2,20-20,,
1:53.0,,,20-20,,Turnover by D. Lee (bad pass; steal by D. Green)
1:47.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,22-20,,
1:28.0,,,22-20,,K. Olynyk misses 2-pt shot from 11 ft (block by D. Green)
1:27.0,Defensive rebound by A. Iguodala,,22-20,,
1:15.0,D. Green misses 3-pt shot from 24 ft,,22-20,,
1:13.0,,,22-20,,Defensive rebound by E. Turner
1:06.0,,,22-23,3,J. Young makes 3-pt shot from 25 ft (assist by E. Turner)
0:59.0,Turnover by S. Livingston (traveling),,22-23,,
0:47.0,,,22-25,2,J. Young makes 2-pt shot from 15 ft (assist by D. Lee)
0:35.0,F. Ezeli makes 2-pt shot from 1 ft (assist by D. Green),2,24-25,,
0:35.0,Shooting foul by E. Turner (drawn by F. Ezeli),,24-25,,
0:35.0,F. Ezeli misses free throw 1 of 1,,24-25,,
0:35.0,,,24-25,,Defensive rebound by E. Turner
0:24.0,,,24-25,,K. Olynyk misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by F. Ezeli,,24-25,,
0:11.0,,,24-25,,Personal take foul by D. Lee (drawn by F. Ezeli)
0:11.0,F. Ezeli makes free throw 1 of 2,1,25-25,,
0:11.0,,,25-25,,I. Thomas enters the game for E. Turner
0:11.0,L. Barbosa enters the game for S. Curry,,25-25,,
0:11.0,F. Ezeli makes free throw 2 of 2,1,26-25,,
0:00.0,,,26-25,,A. Bradley misses 3-pt shot from 23 ft
0:00.0,,,26-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-25,,D. Lee misses 2-pt shot from 4 ft (block by F. Ezeli)
11:50.0,Defensive rebound by A. Iguodala,,26-25,,
11:45.0,L. Barbosa makes 2-pt shot at rim (assist by A. Iguodala),2,28-25,,
11:26.0,,,28-25,,D. Lee misses 2-pt shot from 11 ft
11:25.0,Defensive rebound by M. Speights,,28-25,,
11:06.0,A. Iguodala misses 3-pt shot from 24 ft,,28-25,,
11:05.0,,,28-25,,Defensive rebound by J. Crowder
10:48.0,,,28-27,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
10:32.0,L. Barbosa makes 2-pt shot at rim (assist by S. Livingston),2,30-27,,
10:17.0,,,30-29,2,E. Turner makes 2-pt shot from 14 ft
10:07.0,M. Speights misses 2-pt shot from 6 ft (block by J. Crowder),,30-29,,
10:06.0,,,30-29,,Defensive rebound by E. Turner
10:03.0,,,30-31,2,E. Turner makes 2-pt shot at rim
9:50.0,F. Ezeli makes 2-pt shot from 6 ft (assist by M. Speights),2,32-31,,
9:36.0,,,32-33,2,E. Turner makes 2-pt shot at rim
9:23.0,L. Barbosa misses 2-pt shot from 20 ft,,32-33,,
9:22.0,,,32-33,,Defensive rebound by D. Lee
9:14.0,,,32-35,2,K. Olynyk makes 2-pt shot from 15 ft (assist by D. Lee)
9:13.0,Golden State full timeout,,32-35,,
8:59.0,M. Speights misses 2-pt shot from 21 ft,,32-35,,
8:58.0,,,32-35,,Defensive rebound by D. Lee
8:51.0,,,32-35,,J. Young misses 2-pt shot from 10 ft
8:50.0,Defensive rebound by A. Iguodala,,32-35,,
8:42.0,M. Speights makes 2-pt shot from 9 ft,2,34-35,,
8:42.0,Shooting foul by K. Olynyk (drawn by M. Speights),,34-35,,
8:42.0,M. Speights makes free throw 1 of 1,1,35-35,,
8:26.0,,,35-35,,J. Crowder misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by A. Iguodala,,35-35,,
8:18.0,F. Ezeli makes 2-pt shot from 5 ft (assist by A. Iguodala),2,37-35,,
8:03.0,,,37-35,,Turnover by E. Turner (bad pass; steal by F. Ezeli)
8:00.0,,,37-35,,J. Sullinger enters the game for K. Olynyk
7:51.0,S. Livingston makes 2-pt shot from 17 ft (assist by M. Speights),2,39-35,,
7:35.0,,,39-35,,J. Crowder misses 2-pt shot from 3 ft (block by S. Livingston)
7:34.0,Defensive rebound by Team,,39-35,,
7:34.0,S. Curry enters the game for L. Barbosa,,39-35,,
7:19.0,S. Livingston misses 3-pt shot from 23 ft,,39-35,,
7:18.0,,,39-35,,Defensive rebound by J. Sullinger
7:06.0,,,39-37,2,D. Lee makes 2-pt shot from 7 ft
6:45.0,Turnover by F. Ezeli (bad pass),,39-37,,
6:45.0,,,39-37,,I. Thomas enters the game for E. Turner
6:45.0,,,39-37,,A. Bradley enters the game for J. Young
6:45.0,D. Green enters the game for M. Speights,,39-37,,
6:35.0,,,39-37,,Shooting foul by S. Curry (drawn by J. Sullinger)
6:35.0,,,39-37,,J. Sullinger misses free throw 1 of 2
6:35.0,,,39-37,,Offensive rebound by Team
6:35.0,A. Bogut enters the game for F. Ezeli,,39-37,,
6:35.0,,,39-37,,J. Sullinger misses free throw 2 of 2
6:35.0,Defensive rebound by D. Green,,39-37,,
6:21.0,A. Bogut misses 2-pt shot from 1 ft,,39-37,,
6:19.0,,,39-37,,Defensive rebound by Team
6:19.0,Loose ball foul by D. Green (drawn by D. Lee),,39-37,,
6:07.0,,,39-39,2,D. Lee makes 2-pt shot from 1 ft (assist by I. Thomas)
5:51.0,S. Livingston makes 2-pt shot from 9 ft (assist by S. Curry),2,41-39,,
5:32.0,,,41-41,2,I. Thomas makes 2-pt shot from 6 ft (assist by D. Lee)
5:22.0,S. Livingston misses 2-pt shot from 12 ft,,41-41,,
5:21.0,,,41-41,,Defensive rebound by D. Lee
5:13.0,,,41-43,2,I. Thomas makes 2-pt shot from 17 ft
5:12.0,Golden State full timeout,,41-43,,
5:12.0,Official timeout,,41-43,,
5:12.0,B. Rush enters the game for A. Iguodala,,41-43,,
4:59.0,S. Curry makes 3-pt shot from 24 ft (assist by S. Livingston),3,44-43,,
4:47.0,Personal foul by S. Curry (drawn by D. Lee),,44-43,,
4:38.0,Personal foul by A. Bogut (drawn by J. Sullinger),,44-43,,
4:24.0,,,44-43,,I. Thomas misses 3-pt shot from 24 ft
4:22.0,,,44-43,,Offensive rebound by J. Sullinger
4:22.0,,,44-45,2,J. Sullinger makes 2-pt shot at rim
4:13.0,S. Curry makes 3-pt shot from 29 ft,3,47-45,,
4:01.0,,,47-45,,Offensive charge foul by I. Thomas
4:01.0,,,47-45,,Turnover by I. Thomas (offensive foul)
4:01.0,,,47-45,,A. Johnson enters the game for D. Lee
3:43.0,,,47-45,,Shooting block foul by A. Johnson (drawn by D. Green)
3:43.0,D. Green misses free throw 1 of 2,,47-45,,
3:43.0,Offensive rebound by Team,,47-45,,
3:43.0,D. Green makes free throw 2 of 2,1,48-45,,
3:29.0,,,48-47,2,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley)
3:29.0,Loose ball foul by D. Green (drawn by A. Johnson),,48-47,,
3:29.0,A. Iguodala enters the game for S. Livingston,,48-47,,
3:29.0,,,48-47,,A. Johnson misses free throw 1 of 1
3:29.0,Defensive rebound by A. Bogut,,48-47,,
3:19.0,Turnover by A. Bogut (bad pass),,48-47,,
3:11.0,Personal foul by A. Bogut (drawn by J. Sullinger),,48-47,,
3:11.0,,,48-48,1,J. Sullinger makes free throw 1 of 2
3:11.0,,,48-48,,J. Jerebko enters the game for A. Johnson
3:11.0,L. Barbosa enters the game for A. Bogut,,48-48,,
3:11.0,,,48-48,,J. Sullinger misses free throw 2 of 2
3:11.0,Defensive rebound by B. Rush,,48-48,,
2:55.0,,,48-48,,Shooting block foul by J. Jerebko (drawn by D. Green)
2:55.0,,,48-48,,Boston full timeout
2:55.0,D. Green misses free throw 1 of 2,,48-48,,
2:55.0,Offensive rebound by Team,,48-48,,
2:55.0,D. Green makes free throw 2 of 2,1,49-48,,
2:37.0,,,49-50,2,J. Sullinger makes 2-pt shot from 6 ft
2:20.0,D. Green makes 2-pt shot from 6 ft,2,51-50,,
2:20.0,Shooting foul by J. Sullinger (drawn by D. Green),,51-50,,
2:20.0,D. Green makes free throw 1 of 1,1,52-50,,
2:07.0,,,52-50,,Shooting foul by L. Barbosa (drawn by J. Crowder)
2:07.0,,,52-50,,J. Crowder misses free throw 1 of 2
2:07.0,,,52-50,,Offensive rebound by Team
2:07.0,,,52-51,1,J. Crowder makes free throw 2 of 2
2:00.0,S. Curry misses 3-pt shot from 26 ft,,52-51,,
1:59.0,,,52-51,,Defensive rebound by J. Sullinger
1:45.0,,,52-51,,J. Sullinger misses 2-pt shot from 3 ft (block by D. Green)
1:44.0,Defensive rebound by S. Curry,,52-51,,
1:41.0,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Curry),2,54-51,,
1:35.0,,,54-51,,I. Thomas misses 2-pt shot from 2 ft (block by D. Green)
1:34.0,Defensive rebound by Team,,54-51,,
1:32.0,Offensive foul by L. Barbosa,,54-51,,
1:32.0,Turnover by L. Barbosa (offensive foul),,54-51,,
1:32.0,,,54-51,,K. Olynyk enters the game for J. Jerebko
1:32.0,F. Ezeli enters the game for B. Rush,,54-51,,
1:22.0,,,54-53,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Crowder)
1:11.0,Shooting foul by A. Bradley (drawn by S. Curry),,54-53,,
1:11.0,S. Curry makes free throw 1 of 2,1,55-53,,
1:11.0,S. Curry makes free throw 2 of 2,1,56-53,,
0:50.0,,,56-53,,J. Sullinger misses 2-pt shot from 16 ft
0:49.0,Defensive rebound by A. Iguodala,,56-53,,
0:34.0,Shooting foul by J. Sullinger (drawn by F. Ezeli),,56-53,,
0:34.0,F. Ezeli misses free throw 1 of 2,,56-53,,
0:34.0,Offensive rebound by Team,,56-53,,
0:34.0,F. Ezeli makes free throw 2 of 2,1,57-53,,
0:26.0,,,57-53,,I. Thomas misses 2-pt shot at rim
0:26.0,Defensive rebound by F. Ezeli,,57-53,,
0:08.0,S. Curry misses 3-pt shot from 26 ft,,57-53,,
0:05.0,Offensive rebound by F. Ezeli,,57-53,,
0:00.0,S. Curry misses 2-pt shot from 22 ft (block by K. Olynyk),,57-53,,
0:00.0,Offensive rebound by Team,,57-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,57-53,,J. Crowder misses 2-pt shot from 15 ft
11:47.0,Defensive rebound by I. Clark,,57-53,,
11:30.0,I. Clark makes 2-pt shot from 2 ft,2,59-53,,
11:12.0,,,59-53,,A. Johnson misses 3-pt shot from 24 ft (block by D. Green)
11:10.0,Defensive rebound by S. Curry,,59-53,,
10:56.0,A. Bogut makes 2-pt shot from 9 ft (assist by S. Curry),2,61-53,,
10:56.0,,,61-53,,Boston full timeout
10:49.0,,,61-56,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
10:32.0,S. Curry makes 3-pt shot from 24 ft,3,64-56,,
10:12.0,,,64-56,,I. Thomas misses 2-pt shot from 4 ft (block by A. Bogut)
10:11.0,,,64-56,,Offensive rebound by I. Thomas
10:10.0,,,64-58,2,I. Thomas makes 2-pt shot from 2 ft
9:55.0,I. Clark makes 2-pt shot from 2 ft (assist by D. Green),2,66-58,,
9:45.0,,,66-58,,Turnover by J. Crowder (bad pass; steal by S. Curry)
9:39.0,B. Rush makes 2-pt shot at rim (assist by S. Curry),2,68-58,,
9:29.0,,,68-60,2,A. Johnson makes 2-pt shot from 8 ft (assist by J. Crowder)
9:14.0,Shooting foul by J. Sullinger (drawn by D. Green),,68-60,,
9:14.0,D. Green misses free throw 1 of 2,,68-60,,
9:14.0,Offensive rebound by Team,,68-60,,
9:14.0,,,68-60,,E. Turner enters the game for I. Thomas
9:14.0,D. Green makes free throw 2 of 2,1,69-60,,
8:57.0,,,69-60,,E. Turner misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by A. Bogut,,69-60,,
8:44.0,S. Curry misses 2-pt shot from 2 ft,,69-60,,
8:43.0,,,69-60,,Defensive rebound by J. Sullinger
8:38.0,,,69-60,,A. Bradley misses 3-pt shot from 26 ft
8:38.0,,,69-60,,Offensive rebound by Team
8:38.0,,,69-60,,Personal foul by A. Johnson (drawn by D. Green)
8:38.0,Personal foul by D. Green,,69-60,,
8:36.0,Jump ball: A. Bogut vs. A. Johnson (A. Bradley gains possession),,,,Jump ball: A. Bogut vs. A. Johnson (A. Bradley gains possession)
8:23.0,,,69-60,,J. Sullinger misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by B. Rush,,69-60,,
8:16.0,Turnover by D. Green (lost ball; steal by J. Crowder),,69-60,,
8:12.0,,,69-62,2,J. Crowder makes 2-pt shot at rim
8:01.0,Turnover by S. Curry (bad pass),,69-62,,
8:01.0,,,69-62,,I. Thomas enters the game for A. Johnson
7:38.0,,,69-62,,J. Crowder misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by I. Clark,,69-62,,
7:24.0,I. Clark misses 3-pt shot from 23 ft,,69-62,,
7:22.0,,,69-62,,Defensive rebound by J. Sullinger
7:14.0,,,69-62,,J. Sullinger misses 2-pt shot from 4 ft
7:13.0,Defensive rebound by S. Curry,,69-62,,
6:56.0,A. Bogut misses 2-pt shot from 9 ft,,69-62,,
6:55.0,,,69-62,,Defensive rebound by J. Sullinger
6:47.0,,,69-62,,Turnover by J. Sullinger (traveling)
6:42.0,,,69-62,,Personal foul by A. Bradley (drawn by S. Curry)
6:32.0,S. Curry misses 2-pt shot from 21 ft,,69-62,,
6:31.0,,,69-62,,Defensive rebound by I. Thomas
6:24.0,,,69-62,,A. Bradley misses 3-pt shot from 22 ft
6:23.0,Defensive rebound by A. Bogut,,69-62,,
6:15.0,I. Clark makes 2-pt shot from 1 ft (assist by D. Green),2,71-62,,
6:06.0,,,71-62,,I. Thomas misses 2-pt shot from 7 ft
6:05.0,Defensive rebound by A. Bogut,,71-62,,
6:00.0,A. Iguodala enters the game for B. Rush,,71-62,,
6:00.0,,,71-62,,K. Olynyk enters the game for J. Sullinger
5:52.0,Turnover by I. Clark (bad pass; steal by K. Olynyk),,71-62,,
5:47.0,,,71-62,,J. Crowder misses 2-pt shot at rim
5:46.0,Defensive rebound by A. Bogut,,71-62,,
5:35.0,Turnover by S. Curry (lost ball; steal by A. Bradley),,71-62,,
5:35.0,Personal foul by S. Curry (drawn by A. Bradley),,71-62,,
5:35.0,F. Ezeli enters the game for A. Bogut,,71-62,,
5:29.0,,,71-65,3,K. Olynyk makes 3-pt shot from 26 ft (assist by I. Thomas)
5:09.0,Turnover by S. Curry (bad pass; steal by K. Olynyk),,71-65,,
5:04.0,,,71-65,,A. Bradley misses 2-pt shot at rim (block by D. Green)
5:03.0,Defensive rebound by D. Green,,71-65,,
4:53.0,D. Green makes 2-pt shot at rim,2,73-65,,
4:40.0,,,73-65,,I. Thomas misses 3-pt shot from 23 ft
4:39.0,Defensive rebound by S. Curry,,73-65,,
4:35.0,Shooting foul by A. Bradley (drawn by F. Ezeli),,73-65,,
4:35.0,F. Ezeli misses free throw 1 of 2,,73-65,,
4:35.0,Offensive rebound by Team,,73-65,,
4:35.0,,,73-65,,J. Young enters the game for A. Bradley
4:35.0,F. Ezeli makes free throw 2 of 2,1,74-65,,
4:24.0,,,74-65,,J. Crowder misses 2-pt shot from 18 ft
4:22.0,,,74-65,,Offensive rebound by K. Olynyk
4:20.0,,,74-65,,K. Olynyk misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by F. Ezeli,,74-65,,
4:12.0,D. Green misses 3-pt shot from 26 ft,,74-65,,
4:11.0,Offensive rebound by F. Ezeli,,74-65,,
3:54.0,F. Ezeli misses 2-pt shot from 1 ft,,74-65,,
3:53.0,,,74-65,,Defensive rebound by E. Turner
3:48.0,,,74-65,,I. Thomas misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by S. Curry,,74-65,,
3:42.0,Shooting foul by J. Crowder (drawn by S. Curry),,74-65,,
3:42.0,S. Curry makes free throw 1 of 2,1,75-65,,
3:42.0,J. McAdoo enters the game for F. Ezeli,,75-65,,
3:42.0,S. Curry makes free throw 2 of 2,1,76-65,,
3:24.0,,,76-65,,K. Olynyk misses 3-pt shot from 24 ft
3:22.0,,,76-65,,Offensive rebound by J. Crowder
3:21.0,,,76-65,,Shooting foul by S. Curry (drawn by J. Crowder)
3:21.0,,,76-65,,J. Crowder misses free throw 1 of 2
3:21.0,,,76-65,,Offensive rebound by Team
3:21.0,S. Livingston enters the game for S. Curry,,76-65,,
3:21.0,,,76-66,1,J. Crowder makes free throw 2 of 2
3:03.0,D. Green misses 3-pt shot from 24 ft,,76-66,,
3:02.0,,,76-66,,Defensive rebound by J. Young
2:55.0,,,76-66,,Turnover by J. Young (traveling)
2:55.0,Golden State full timeout,,76-66,,
2:40.0,Turnover by D. Green (lost ball),,76-66,,
2:16.0,,,76-66,,K. Olynyk misses 2-pt shot from 18 ft
2:15.0,,,76-66,,Offensive rebound by J. Young
2:12.0,,,76-69,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Young)
1:51.0,I. Clark misses 2-pt shot from 11 ft,,76-69,,
1:50.0,Offensive rebound by I. Clark,,76-69,,
1:49.0,I. Clark misses 2-pt shot from 8 ft,,76-69,,
1:48.0,Offensive rebound by J. McAdoo,,76-69,,
1:47.0,J. McAdoo makes 2-pt shot at rim,2,78-69,,
1:36.0,,,78-69,,Shooting foul by J. McAdoo (drawn by K. Olynyk)
1:36.0,,,78-70,1,K. Olynyk makes free throw 1 of 2
1:36.0,L. Barbosa enters the game for I. Clark,,78-70,,
1:36.0,,,78-71,1,K. Olynyk makes free throw 2 of 2
1:17.0,D. Green makes 2-pt shot from 11 ft (assist by L. Barbosa),2,80-71,,
1:04.0,,,80-73,2,K. Olynyk makes 2-pt shot at rim
0:47.0,J. McAdoo makes 2-pt shot from 1 ft (assist by A. Iguodala),2,82-73,,
0:32.0,,,82-75,2,I. Thomas makes 2-pt shot from 18 ft
0:09.0,J. McAdoo misses 2-pt shot from 7 ft,,82-75,,
0:08.0,,,82-75,,Defensive rebound by J. Young
0:01.0,,,82-75,,J. Crowder misses 3-pt shot from 25 ft
0:00.0,,,82-75,,Offensive rebound by E. Turner
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,L. Barbosa misses 2-pt shot from 18 ft,,82-75,,
11:40.0,,,82-75,,Defensive rebound by E. Turner
11:28.0,,,82-75,,A. Bradley misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by J. McAdoo,,82-75,,
11:19.0,S. Livingston misses 2-pt shot from 13 ft,,82-75,,
11:18.0,,,82-75,,Defensive rebound by J. Young
11:05.0,,,82-78,3,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Lee)
10:42.0,J. McAdoo misses 2-pt shot from 9 ft,,82-78,,
10:41.0,,,82-78,,Defensive rebound by Team
10:41.0,Loose ball foul by J. McAdoo (drawn by D. Lee),,82-78,,
10:29.0,,,82-80,2,D. Lee makes 2-pt shot from 15 ft (assist by K. Olynyk)
10:17.0,A. Iguodala misses 3-pt shot from 25 ft,,82-80,,
10:16.0,,,82-80,,Defensive rebound by K. Olynyk
10:16.0,Personal foul by A. Iguodala (drawn by K. Olynyk),,82-80,,
10:16.0,M. Speights enters the game for J. McAdoo,,82-80,,
10:03.0,,,82-82,2,D. Lee makes 2-pt shot at rim (assist by J. Young)
9:48.0,M. Speights misses 2-pt shot from 18 ft,,82-82,,
9:47.0,Offensive rebound by S. Livingston,,82-82,,
9:33.0,Shooting foul by D. Lee (drawn by F. Ezeli),,82-82,,
9:33.0,F. Ezeli makes free throw 1 of 2,1,83-82,,
9:33.0,F. Ezeli misses free throw 2 of 2,,83-82,,
9:33.0,,,83-82,,Defensive rebound by D. Lee
9:21.0,,,83-84,2,D. Lee makes 2-pt shot at rim (assist by E. Turner)
9:08.0,,,83-84,,Personal foul by A. Bradley (drawn by L. Barbosa)
9:08.0,,,83-84,,I. Thomas enters the game for A. Bradley
8:59.0,A. Iguodala misses 2-pt shot from 20 ft,,83-84,,
8:58.0,,,83-84,,Defensive rebound by E. Turner
8:53.0,,,83-86,2,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner)
8:53.0,Golden State full timeout,,83-86,,
8:53.0,D. Green enters the game for L. Barbosa,,83-86,,
8:53.0,S. Curry enters the game for M. Speights,,83-86,,
8:40.0,,,83-86,,Personal foul by D. Lee (drawn by F. Ezeli)
8:33.0,D. Green misses 3-pt shot from 24 ft,,83-86,,
8:32.0,Offensive rebound by S. Curry,,83-86,,
8:28.0,S. Curry makes 2-pt shot at rim,2,85-86,,
8:14.0,,,85-86,,Turnover by D. Lee (bad pass)
8:04.0,D. Green misses 2-pt shot from 7 ft,,85-86,,
8:04.0,,,85-86,,Defensive rebound by Team
8:04.0,Loose ball foul by D. Green (drawn by D. Lee),,85-86,,
7:53.0,,,85-86,,E. Turner misses 2-pt shot from 6 ft
7:52.0,Defensive rebound by F. Ezeli,,85-86,,
7:43.0,Turnover by S. Curry (lost ball; steal by E. Turner),,85-86,,
7:42.0,Personal foul by S. Livingston (drawn by I. Thomas),,85-86,,
7:32.0,,,85-89,3,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk)
7:16.0,Turnover by A. Iguodala (bad pass; steal by K. Olynyk),,85-89,,
7:10.0,,,85-89,,D. Lee misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by S. Curry,,85-89,,
6:56.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,87-89,,
6:38.0,,,87-89,,Turnover by I. Thomas (bad pass; steal by D. Green)
