time,LA Clippers,pts.away,score,pts.home,LA Lakers
6:50.0,,,17-9,,Defensive rebound by L. Nance
6:31.0,,,17-9,,L. Nance misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by B. Griffin,,17-9,,
6:17.0,Shooting foul by L. Williams (drawn by J. Redick),,17-9,,
6:17.0,J. Redick misses free throw 1 of 2,,17-9,,
6:17.0,Offensive rebound by Team,,17-9,,
6:17.0,J. Redick makes free throw 2 of 2,1,18-9,,
6:03.0,,,18-12,3,L. Williams makes 3-pt shot from 25 ft
5:40.0,J. Redick misses 3-pt shot from 24 ft,,18-12,,
5:39.0,,,18-12,,Defensive rebound by K. Bryant
5:31.0,,,18-12,,Turnover by K. Bryant (bad pass; steal by B. Griffin)
5:25.0,,,18-12,,LA Lakers full timeout
5:25.0,,,18-12,,J. Randle enters the game for L. Nance
5:25.0,,,18-12,,D. Russell enters the game for J. Clarkson
5:15.0,Shooting foul by J. Randle (drawn by B. Griffin),,18-12,,
5:15.0,B. Griffin misses free throw 1 of 2,,18-12,,
5:15.0,Offensive rebound by Team,,18-12,,
5:15.0,B. Griffin makes free throw 2 of 2,1,19-12,,
4:59.0,,,19-12,,D. Russell misses 2-pt shot from 15 ft
4:57.0,Defensive rebound by C. Paul,,19-12,,
4:44.0,B. Griffin makes 2-pt shot from 17 ft (assist by J. Redick),2,21-12,,
4:28.0,,,21-12,,J. Randle misses 2-pt shot from 17 ft
4:27.0,Defensive rebound by D. Jordan,,21-12,,
4:13.0,Turnover by B. Griffin (bad pass; steal by J. Randle),,21-12,,
4:07.0,,,21-12,,K. Bryant misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by B. Griffin,,21-12,,
4:00.0,Turnover by B. Griffin (bad pass),,21-12,,
4:00.0,J. Crawford enters the game for J. Redick,,21-12,,
3:43.0,,,21-12,,R. Hibbert misses 2-pt shot from 9 ft
3:41.0,Defensive rebound by D. Jordan,,21-12,,
3:32.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,23-12,,
3:13.0,,,23-14,2,D. Russell makes 2-pt shot from 16 ft
2:58.0,C. Paul makes 2-pt shot from 13 ft,2,25-14,,
2:43.0,,,25-16,2,D. Russell makes 2-pt shot from 14 ft
2:37.0,C. Paul makes 2-pt shot at rim,2,27-16,,
2:16.0,,,27-19,3,D. Russell makes 3-pt shot from 26 ft (assist by L. Williams)
2:11.0,LA Clippers full timeout,,27-19,,
2:11.0,L. Stephenson enters the game for L. Mbah a Moute,,27-19,,
2:11.0,C. Aldrich enters the game for D. Jordan,,27-19,,
2:11.0,P. Prigioni enters the game for C. Paul,,27-19,,
2:11.0,,,27-19,,N. Young enters the game for K. Bryant
2:11.0,,,27-19,,B. Bass enters the game for R. Hibbert
2:04.0,B. Griffin misses 2-pt shot from 3 ft,,27-19,,
2:03.0,Offensive rebound by B. Griffin,,27-19,,
1:56.0,J. Crawford misses 2-pt shot from 18 ft,,27-19,,
1:56.0,,,27-19,,Defensive rebound by J. Randle
1:44.0,,,27-19,,Shooting foul by J. Crawford (drawn by L. Williams)
1:44.0,,,27-19,,L. Williams misses free throw 1 of 3
1:44.0,,,27-19,,Offensive rebound by Team
1:44.0,,,27-20,1,L. Williams makes free throw 2 of 3
1:44.0,P. Pierce enters the game for B. Griffin,,27-20,,
1:44.0,,,27-21,1,L. Williams makes free throw 3 of 3
1:27.0,J. Crawford makes 2-pt shot from 11 ft (assist by C. Aldrich),2,29-21,,
1:11.0,,,29-21,,Turnover by D. Russell (bad pass; steal by P. Prigioni)
1:07.0,Turnover by J. Crawford (bad pass; steal by D. Russell),,29-21,,
1:04.0,,,29-21,,Turnover by D. Russell (dbl dribble)
0:50.0,P. Prigioni makes 3-pt shot from 25 ft,3,32-21,,
0:40.0,,,32-21,,Turnover by J. Randle (traveling)
0:33.0,C. Aldrich misses 2-pt shot from 4 ft,,32-21,,
0:31.0,,,32-21,,Defensive rebound by N. Young
0:11.0,,,32-21,,Shooting foul by C. Aldrich (drawn by B. Bass)
0:11.0,,,32-21,,B. Bass misses free throw 1 of 2
0:11.0,,,32-21,,Offensive rebound by Team
0:11.0,,,32-22,1,B. Bass makes free throw 2 of 2
0:10.0,,,32-22,,Personal take foul by D. Russell (drawn by P. Prigioni)
0:03.0,P. Pierce misses 3-pt shot from 24 ft,,32-22,,
0:01.0,,,32-22,,Defensive rebound by N. Young
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,L. Stephenson misses 2-pt shot from 17 ft,,32-22,,
11:48.0,,,32-22,,Defensive rebound by D. Russell
11:33.0,,,32-22,,N. Young misses 2-pt shot from 20 ft
11:33.0,Defensive rebound by P. Prigioni,,32-22,,
11:19.0,J. Crawford makes 2-pt shot from 15 ft (assist by P. Pierce),2,34-22,,
10:55.0,,,34-25,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle)
10:42.0,P. Pierce misses 2-pt shot from 13 ft,,34-25,,
10:41.0,,,34-25,,Defensive rebound by J. Randle
10:35.0,Personal foul by P. Prigioni (drawn by J. Clarkson),,34-25,,
10:20.0,,,34-25,,Shooting foul by P. Pierce (drawn by J. Clarkson)
10:20.0,,,34-25,,J. Clarkson misses free throw 1 of 2
10:20.0,,,34-25,,Offensive rebound by Team
10:20.0,,,34-26,1,J. Clarkson makes free throw 2 of 2
10:07.0,J. Crawford misses 2-pt shot from 18 ft,,34-26,,
10:06.0,Offensive rebound by P. Prigioni,,34-26,,
10:00.0,P. Pierce misses 3-pt shot from 24 ft,,34-26,,
10:00.0,,,34-26,,Defensive rebound by B. Bass
9:54.0,,,34-26,,Turnover by J. Clarkson (lost ball)
9:36.0,L. Stephenson misses 3-pt shot from 24 ft,,34-26,,
9:35.0,,,34-26,,Defensive rebound by J. Randle
9:22.0,,,34-26,,N. Young misses 3-pt shot from 22 ft
9:21.0,Defensive rebound by J. Crawford,,34-26,,
9:17.0,Shooting foul by B. Bass (drawn by J. Crawford),,34-26,,
9:17.0,J. Crawford makes free throw 1 of 2,1,35-26,,
9:17.0,J. Crawford makes free throw 2 of 2,1,36-26,,
9:02.0,,,36-28,2,D. Russell makes 2-pt shot from 20 ft
8:43.0,C. Aldrich misses 2-pt shot from 2 ft,,36-28,,
8:42.0,,,36-28,,Defensive rebound by D. Russell
8:25.0,,,36-28,,J. Randle misses 2-pt shot from 9 ft
8:25.0,,,36-28,,Offensive rebound by Team
8:25.0,Official timeout,,36-28,,
8:25.0,,,36-28,,K. Bryant enters the game for N. Young
8:15.0,,,36-28,,J. Clarkson misses 3-pt shot from 28 ft
8:14.0,Defensive rebound by P. Prigioni,,36-28,,
7:55.0,J. Crawford makes 2-pt shot from 13 ft (assist by P. Pierce),2,38-28,,
7:42.0,Def 3 sec tech foul by C. Aldrich,,38-28,,
7:42.0,,,38-28,,K. Bryant misses technical free throw
7:42.0,,,38-28,,Offensive rebound by Team
7:42.0,C. Paul enters the game for P. Prigioni,,38-28,,
7:42.0,W. Johnson enters the game for L. Stephenson,,38-28,,
7:42.0,D. Jordan enters the game for C. Aldrich,,38-28,,
7:33.0,,,38-28,,J. Randle misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by J. Crawford,,38-28,,
7:26.0,W. Johnson misses 3-pt shot from 22 ft,,38-28,,
7:26.0,Offensive rebound by Team,,38-28,,
7:26.0,,,38-28,,Loose ball foul by J. Randle (drawn by D. Jordan)
7:26.0,B. Griffin enters the game for P. Pierce,,38-28,,
7:20.0,J. Crawford misses 2-pt shot from 15 ft,,38-28,,
7:16.0,,,38-28,,Defensive rebound by J. Clarkson
7:13.0,,,38-28,,Turnover by J. Clarkson (lost ball; steal by J. Crawford)
7:10.0,Shooting foul by J. Clarkson (drawn by J. Crawford),,38-28,,
7:10.0,J. Crawford makes free throw 1 of 2,1,39-28,,
7:10.0,,,39-28,,R. Hibbert enters the game for B. Bass
7:10.0,J. Crawford makes free throw 2 of 2,1,40-28,,
6:54.0,,,40-30,2,K. Bryant makes 2-pt shot from 17 ft
6:22.0,C. Paul makes 2-pt shot from 19 ft,2,42-30,,
6:08.0,,,42-30,,R. Hibbert misses 2-pt shot from 8 ft
6:08.0,Defensive rebound by C. Paul,,42-30,,
5:58.0,C. Paul makes 2-pt shot from 12 ft,2,44-30,,
5:52.0,,,44-30,,LA Lakers full timeout
5:52.0,,,44-30,,L. Williams enters the game for J. Randle
5:52.0,,,44-30,,L. Nance enters the game for D. Russell
5:52.0,J. Redick enters the game for J. Crawford,,44-30,,
5:34.0,,,44-30,,J. Clarkson misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by C. Paul,,44-30,,
5:26.0,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul),3,47-30,,
5:10.0,,,47-30,,Shooting foul by W. Johnson (drawn by K. Bryant)
5:10.0,,,47-30,,K. Bryant misses free throw 1 of 3
5:10.0,,,47-30,,Offensive rebound by Team
5:10.0,,,47-31,1,K. Bryant makes free throw 2 of 3
5:10.0,,,47-31,,K. Bryant misses free throw 3 of 3
5:09.0,Defensive rebound by D. Jordan,,47-31,,
4:51.0,B. Griffin misses 2-pt shot from 10 ft,,47-31,,
4:50.0,,,47-31,,Defensive rebound by R. Hibbert
4:43.0,,,47-34,3,K. Bryant makes 3-pt shot from 24 ft
4:29.0,J. Redick misses 2-pt shot from 20 ft,,47-34,,
4:29.0,,,47-34,,Defensive rebound by Team
4:29.0,Loose ball foul by D. Jordan (drawn by J. Clarkson),,47-34,,
4:14.0,,,47-37,3,K. Bryant makes 3-pt shot from 25 ft (assist by L. Nance)
4:09.0,LA Clippers full timeout,,47-37,,
4:09.0,L. Mbah a Moute enters the game for W. Johnson,,47-37,,
4:03.0,B. Griffin misses 2-pt shot from 6 ft,,47-37,,
4:03.0,Offensive rebound by B. Griffin,,47-37,,
4:01.0,B. Griffin makes 2-pt shot from 1 ft,2,49-37,,
3:45.0,,,49-37,,K. Bryant misses 3-pt shot from 26 ft
3:44.0,Defensive rebound by Team,,49-37,,
3:37.0,C. Paul misses 2-pt shot from 15 ft,,49-37,,
3:36.0,,,49-37,,Defensive rebound by R. Hibbert
3:27.0,,,49-39,2,J. Clarkson makes 2-pt shot from 18 ft
3:09.0,B. Griffin misses 2-pt shot from 4 ft,,49-39,,
3:08.0,,,49-39,,Defensive rebound by L. Nance
2:59.0,,,49-39,,L. Williams misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by D. Jordan,,49-39,,
2:41.0,D. Jordan misses 2-pt shot at rim,,49-39,,
2:39.0,Offensive rebound by B. Griffin,,49-39,,
2:38.0,C. Paul makes 2-pt shot from 11 ft (assist by B. Griffin),2,51-39,,
2:38.0,Shooting foul by J. Clarkson (drawn by C. Paul),,51-39,,
2:38.0,C. Paul makes free throw 1 of 1,1,52-39,,
2:26.0,,,52-39,,R. Hibbert misses 2-pt shot from 11 ft
2:25.0,Defensive rebound by D. Jordan,,52-39,,
2:10.0,B. Griffin misses 2-pt shot from 10 ft,,52-39,,
2:08.0,Offensive rebound by D. Jordan,,52-39,,
2:08.0,D. Jordan makes 2-pt shot at rim,2,54-39,,
2:01.0,,,54-39,,Shooting foul by J. Redick (drawn by L. Williams)
2:01.0,,,54-40,1,L. Williams makes free throw 1 of 2
2:01.0,,,54-40,,L. Williams misses free throw 2 of 2
1:59.0,Defensive rebound by B. Griffin,,54-40,,
1:47.0,Shooting foul by R. Hibbert (drawn by D. Jordan),,54-40,,
1:47.0,D. Jordan misses free throw 1 of 2,,54-40,,
1:47.0,Offensive rebound by Team,,54-40,,
1:47.0,D. Jordan makes free throw 2 of 2,1,55-40,,
1:23.0,,,55-42,2,J. Clarkson makes 2-pt shot from 6 ft
1:15.0,Turnover by L. Mbah a Moute (lost ball; steal by K. Bryant),,55-42,,
1:02.0,,,55-42,,Shooting foul by C. Paul (drawn by J. Clarkson)
1:02.0,,,55-43,1,J. Clarkson makes free throw 1 of 2
1:02.0,,,55-44,1,J. Clarkson makes free throw 2 of 2
0:50.0,C. Paul makes 2-pt shot from 5 ft,2,57-44,,
0:37.0,,,57-44,,K. Bryant misses 2-pt shot from 8 ft
0:36.0,Defensive rebound by D. Jordan,,57-44,,
0:35.0,Turnover by D. Jordan (bad pass),,57-44,,
0:35.0,J. Crawford enters the game for J. Redick,,57-44,,
0:26.0,,,57-44,,R. Hibbert misses 2-pt shot from 16 ft
0:25.0,Defensive rebound by J. Crawford,,57-44,,
0:04.0,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by B. Griffin),3,60-44,,
0:01.0,,,60-44,,J. Clarkson misses 3-pt shot from 25 ft
0:00.0,,,60-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,B. Griffin makes 2-pt shot from 1 ft (assist by J. Redick),2,62-44,,
11:32.0,,,62-47,3,K. Bryant makes 3-pt shot from 26 ft (assist by L. Nance)
11:15.0,Offensive foul by B. Griffin,,62-47,,
11:15.0,Turnover by B. Griffin (offensive foul),,62-47,,
10:53.0,,,62-47,,Offensive charge foul by J. Clarkson
10:53.0,,,62-47,,Turnover by J. Clarkson (offensive foul)
10:40.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,62-47,,
10:40.0,,,62-47,,Defensive rebound by L. Williams
10:21.0,,,62-47,,Turnover by K. Bryant (bad pass; steal by L. Mbah a Moute)
10:08.0,B. Griffin misses 2-pt shot from 16 ft,,62-47,,
10:06.0,,,62-47,,Defensive rebound by K. Bryant
9:55.0,,,62-47,,L. Williams misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by L. Mbah a Moute,,62-47,,
9:47.0,C. Paul misses 2-pt shot from 13 ft,,62-47,,
9:44.0,,,62-47,,Defensive rebound by J. Clarkson
9:28.0,,,62-47,,R. Hibbert misses 2-pt shot from 17 ft
9:27.0,Defensive rebound by C. Paul,,62-47,,
9:11.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by B. Griffin),3,65-47,,
8:52.0,,,65-47,,L. Williams misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by J. Redick,,65-47,,
8:44.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,67-47,,
8:41.0,,,67-47,,LA Lakers full timeout
8:30.0,Personal foul by B. Griffin,,67-47,,
8:22.0,,,67-47,,K. Bryant misses 2-pt shot from 18 ft
8:22.0,Defensive rebound by B. Griffin,,67-47,,
8:07.0,Turnover by C. Paul (bad pass; steal by K. Bryant),,67-47,,
8:00.0,,,67-47,,J. Clarkson misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by B. Griffin,,67-47,,
7:51.0,J. Redick misses 3-pt shot from 26 ft,,67-47,,
7:51.0,,,67-47,,Defensive rebound by Team
7:38.0,,,67-49,2,J. Clarkson makes 2-pt shot from 2 ft
7:07.0,J. Redick misses 2-pt shot from 4 ft,,67-49,,
7:05.0,,,67-49,,Defensive rebound by K. Bryant
6:53.0,,,67-49,,L. Williams misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by D. Jordan,,67-49,,
6:39.0,C. Paul makes 2-pt shot from 13 ft,2,69-49,,
6:18.0,,,69-51,2,L. Nance makes 2-pt shot from 18 ft (assist by K. Bryant)
6:07.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,71-51,,
5:46.0,,,71-53,2,L. Nance makes 2-pt shot from 17 ft (assist by J. Clarkson)
5:29.0,Turnover by J. Redick (bad pass; steal by J. Clarkson),,71-53,,
5:23.0,,,71-55,2,J. Clarkson makes 2-pt shot from 20 ft (assist by K. Bryant)
5:22.0,LA Clippers full timeout,,71-55,,
5:06.0,Turnover by B. Griffin (lost ball),,71-55,,
4:53.0,,,71-57,2,L. Nance makes 2-pt shot from 19 ft (assist by R. Hibbert)
4:38.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,74-57,,
4:10.0,,,74-57,,D. Russell enters the game for L. Williams
4:10.0,,,74-57,,N. Young enters the game for K. Bryant
4:10.0,,,74-57,,Turnover by Team (shot clock)
3:56.0,J. Redick misses 3-pt shot from 25 ft,,74-57,,
3:56.0,,,74-57,,Defensive rebound by J. Clarkson
3:42.0,,,74-57,,R. Hibbert misses 2-pt shot from 17 ft
3:41.0,,,74-57,,Offensive rebound by L. Nance
3:35.0,,,74-57,,D. Russell misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by Team,,74-57,,
3:35.0,,,74-57,,Loose ball foul by L. Nance (drawn by J. Redick)
3:35.0,L. Stephenson enters the game for L. Mbah a Moute,,74-57,,
3:35.0,,,74-57,,J. Randle enters the game for L. Nance
3:22.0,J. Redick makes 3-pt shot from 24 ft (assist by L. Stephenson),3,77-57,,
2:58.0,,,77-57,,J. Randle misses 2-pt shot from 20 ft
2:57.0,Defensive rebound by J. Redick,,77-57,,
2:48.0,C. Paul makes 2-pt shot from 13 ft,2,79-57,,
2:32.0,,,79-57,,N. Young misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by J. Redick,,79-57,,
2:27.0,C. Paul misses 3-pt shot from 24 ft,,79-57,,
2:27.0,,,79-57,,Defensive rebound by Team
2:27.0,Loose ball foul by D. Jordan (drawn by R. Hibbert),,79-57,,
2:03.0,,,79-57,,J. Clarkson misses 2-pt shot from 18 ft (block by D. Jordan)
2:01.0,Defensive rebound by B. Griffin,,79-57,,
1:55.0,B. Griffin misses 2-pt shot at rim,,79-57,,
1:52.0,,,79-57,,Defensive rebound by R. Hibbert
1:48.0,,,79-57,,N. Young misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by Team,,79-57,,
1:47.0,J. Crawford enters the game for J. Redick,,79-57,,
1:47.0,P. Prigioni enters the game for C. Paul,,79-57,,
1:47.0,,,79-57,,B. Bass enters the game for R. Hibbert
1:34.0,B. Griffin misses 2-pt shot from 11 ft,,79-57,,
1:31.0,Offensive rebound by P. Prigioni,,79-57,,
1:21.0,L. Stephenson makes 3-pt shot from 24 ft (assist by P. Prigioni),3,82-57,,
1:02.0,,,82-57,,Shooting foul by B. Griffin (drawn by J. Randle)
1:02.0,,,82-57,,J. Randle misses free throw 1 of 2
1:02.0,,,82-57,,Offensive rebound by Team
1:02.0,,,82-57,,J. Randle misses free throw 2 of 2
1:01.0,Defensive rebound by D. Jordan,,82-57,,
0:48.0,B. Griffin misses 2-pt shot from 19 ft,,82-57,,
0:47.0,Offensive rebound by D. Jordan,,82-57,,
0:45.0,J. Crawford makes 3-pt shot from 25 ft (assist by D. Jordan),3,85-57,,
0:33.0,,,85-57,,D. Russell misses 2-pt shot from 5 ft (block by B. Griffin)
0:31.0,,,85-57,,Offensive rebound by D. Russell
0:31.0,,,85-57,,Turnover by D. Russell (bad pass)
0:31.0,P. Pierce enters the game for B. Griffin,,85-57,,
0:13.0,P. Pierce misses 3-pt shot from 25 ft,,85-57,,
0:12.0,,,85-57,,Defensive rebound by D. Russell
0:06.0,Personal foul by P. Prigioni (drawn by D. Russell),,85-57,,
0:06.0,,,85-57,,D. Russell misses free throw 1 of 2
0:06.0,,,85-57,,Offensive rebound by Team
0:06.0,,,85-57,,D. Russell misses free throw 2 of 2
0:05.0,Defensive rebound by P. Pierce,,85-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-57,,Turnover by J. Randle (lost ball; steal by C. Aldrich)
11:25.0,Offensive foul by C. Aldrich,,85-57,,
11:25.0,Turnover by C. Aldrich (offensive foul),,85-57,,
11:10.0,,,85-59,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
10:56.0,L. Stephenson misses 2-pt shot at rim,,85-59,,
10:54.0,,,85-59,,Defensive rebound by B. Bass
10:47.0,,,85-59,,Shooting foul by C. Aldrich (drawn by J. Randle)
10:47.0,,,85-60,1,J. Randle makes free throw 1 of 2
10:47.0,,,85-61,1,J. Randle makes free throw 2 of 2
10:31.0,P. Pierce misses 2-pt shot from 1 ft (block by B. Bass),,85-61,,
10:29.0,,,85-61,,Defensive rebound by M. Huertas
10:25.0,,,85-63,2,D. Russell makes 2-pt shot at rim (assist by M. Huertas)
10:04.0,Turnover by P. Pierce (lost ball; steal by J. Randle),,85-63,,
9:59.0,,,85-63,,J. Randle misses 2-pt shot from 4 ft
9:58.0,,,85-63,,Offensive rebound by J. Randle
9:58.0,,,85-65,2,J. Randle makes 2-pt shot from 4 ft
9:54.0,LA Clippers full timeout,,85-65,,
9:41.0,J. Crawford misses 2-pt shot from 2 ft (block by D. Russell),,85-65,,
9:41.0,Offensive rebound by Team,,85-65,,
9:34.0,P. Pierce makes 2-pt shot from 16 ft (assist by P. Prigioni),2,87-65,,
9:22.0,Personal foul by L. Stephenson (drawn by N. Young),,87-65,,
9:14.0,,,87-67,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Bass)
9:01.0,Turnover by P. Pierce (bad pass; steal by B. Bass),,87-67,,
8:47.0,,,87-67,,M. Huertas misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by L. Stephenson,,87-67,,
8:33.0,Turnover by P. Prigioni (bad pass; steal by M. Huertas),,87-67,,
8:28.0,,,87-69,2,M. Huertas makes 2-pt shot from 6 ft
8:05.0,L. Stephenson misses 2-pt shot from 15 ft,,87-69,,
8:04.0,,,87-69,,Defensive rebound by J. Randle
7:56.0,,,87-69,,N. Young misses 3-pt shot from 24 ft
7:55.0,,,87-69,,Offensive rebound by J. Randle
7:51.0,,,87-72,3,J. Randle makes 3-pt shot from 25 ft
7:35.0,J. Crawford misses 2-pt shot from 16 ft,,87-72,,
7:34.0,,,87-72,,Defensive rebound by N. Young
7:11.0,,,87-74,2,D. Russell makes 2-pt shot from 14 ft
7:11.0,LA Clippers full timeout,,87-74,,
7:11.0,B. Griffin enters the game for C. Aldrich,,87-74,,
7:11.0,W. Johnson enters the game for P. Prigioni,,87-74,,
7:11.0,D. Jordan enters the game for L. Stephenson,,87-74,,
7:11.0,C. Paul enters the game for P. Pierce,,87-74,,
7:00.0,J. Crawford misses 2-pt shot from 19 ft,,87-74,,
6:58.0,,,87-74,,Defensive rebound by D. Russell
6:39.0,,,87-76,2,M. Huertas makes 2-pt shot from 17 ft
6:16.0,W. Johnson makes 2-pt shot from 21 ft (assist by B. Griffin),2,89-76,,
5:56.0,,,89-76,,J. Randle misses 2-pt shot from 7 ft (block by W. Johnson)
5:55.0,Defensive rebound by B. Griffin,,89-76,,
5:49.0,W. Johnson misses 3-pt shot from 24 ft,,89-76,,
5:47.0,,,89-76,,Defensive rebound by D. Russell
5:33.0,,,89-78,2,M. Huertas makes 2-pt shot from 1 ft (assist by D. Russell)
5:17.0,C. Paul misses 2-pt shot from 6 ft,,89-78,,
5:15.0,,,89-78,,Defensive rebound by N. Young
4:57.0,,,89-80,2,B. Bass makes 2-pt shot from 10 ft
4:45.0,,,89-80,,Personal foul by M. Huertas (drawn by J. Crawford)
4:45.0,J. Redick enters the game for J. Crawford,,89-80,,
4:33.0,B. Griffin misses 2-pt shot from 19 ft,,89-80,,
4:32.0,,,89-80,,Defensive rebound by N. Young
4:24.0,,,89-80,,B. Bass misses 2-pt shot from 16 ft
4:24.0,Defensive rebound by Team,,89-80,,
4:24.0,,,89-80,,Loose ball foul by M. Huertas (drawn by J. Redick)
4:09.0,Turnover by B. Griffin (bad pass; steal by D. Russell),,89-80,,
4:01.0,,,89-80,,Shooting foul by D. Jordan (drawn by J. Randle)
4:01.0,,,89-81,1,J. Randle makes free throw 1 of 2
4:01.0,,,89-82,1,J. Randle makes free throw 2 of 2
3:35.0,W. Johnson makes 3-pt shot from 24 ft (assist by B. Griffin),3,92-82,,
3:18.0,,,92-82,,Turnover by D. Russell (lost ball; steal by C. Paul)
3:15.0,Turnover by B. Griffin (discontinued dribble),,92-82,,
3:15.0,Violation by Team (delay of game),,92-82,,
3:15.0,,,92-82,,LA Lakers full timeout
3:04.0,,,92-82,,J. Randle misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by C. Paul,,92-82,,
2:51.0,Turnover by W. Johnson (bad pass; steal by J. Randle),,92-82,,
2:43.0,,,92-84,2,B. Bass makes 2-pt shot from 2 ft (assist by J. Randle)
2:25.0,C. Paul misses 2-pt shot from 2 ft,,92-84,,
2:24.0,,,92-84,,Defensive rebound by J. Randle
2:09.0,,,92-84,,B. Bass misses 2-pt shot from 16 ft
2:09.0,Defensive rebound by B. Griffin,,92-84,,
2:01.0,J. Redick misses 3-pt shot from 24 ft,,92-84,,
2:01.0,,,92-84,,Defensive rebound by B. Bass
1:49.0,,,92-84,,J. Randle misses 2-pt shot from 1 ft
1:46.0,,,92-84,,Offensive rebound by D. Russell
1:44.0,,,92-84,,D. Russell misses 2-pt shot from 1 ft
1:43.0,Defensive rebound by D. Jordan,,92-84,,
1:43.0,,,92-84,,Personal take foul by D. Russell (drawn by D. Jordan)
1:31.0,C. Paul makes 2-pt shot from 16 ft,2,94-84,,
1:08.0,,,94-84,,D. Russell misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by B. Griffin,,94-84,,
0:46.0,C. Paul misses 2-pt shot from 12 ft,,94-84,,
0:44.0,,,94-84,,Defensive rebound by J. Randle
