time,Minnesota,pts.away,score,pts.home,Phoenix
4:27.0,,,18-15,,T. Chandler enters the game for A. Len
4:16.0,R. Rubio misses 2-pt shot from 2 ft (block by E. Bledsoe),,18-15,,
4:12.0,,,18-15,,Defensive rebound by T. Warren
4:00.0,,,18-18,3,B. Knight makes 3-pt shot from 27 ft
3:45.0,K. Martin makes 2-pt shot from 12 ft (assist by R. Rubio),2,20-18,,
3:33.0,,,20-18,,B. Knight misses 2-pt shot from 13 ft (block by N. Bjelica)
3:31.0,Defensive rebound by A. Wiggins,,20-18,,
3:27.0,A. Wiggins misses 2-pt shot from 1 ft,,20-18,,
3:24.0,,,20-18,,Defensive rebound by M. Teletovic
3:23.0,,,20-18,,Turnover by B. Knight (bad pass; steal by K. Martin)
3:23.0,Turnover by K. Martin (step out of bounds),,20-18,,
3:23.0,,,20-18,,Phoenix full timeout
3:23.0,,,20-18,,D. Booker enters the game for E. Bledsoe
3:23.0,Z. LaVine enters the game for R. Rubio,,20-18,,
3:13.0,,,20-18,,B. Knight misses 3-pt shot from 27 ft
3:11.0,Defensive rebound by Z. LaVine,,20-18,,
2:57.0,K. Martin misses 3-pt shot from 23 ft,,20-18,,
2:57.0,Offensive rebound by Team,,20-18,,
2:57.0,,,20-18,,Loose ball foul by D. Booker (drawn by G. Dieng)
2:57.0,G. Dieng makes free throw 1 of 2,1,21-18,,
2:57.0,S. Muhammad enters the game for K. Martin,,21-18,,
2:57.0,G. Dieng misses free throw 2 of 2,,21-18,,
2:56.0,,,21-18,,Defensive rebound by T. Chandler
2:45.0,,,21-20,2,T. Warren makes 2-pt shot from 12 ft (assist by B. Knight)
2:29.0,N. Bjelica misses 3-pt shot from 24 ft,,21-20,,
2:27.0,,,21-20,,Defensive rebound by T. Chandler
2:16.0,,,21-20,,D. Booker misses 2-pt shot from 13 ft
2:13.0,Defensive rebound by S. Muhammad,,21-20,,
2:08.0,Turnover by G. Dieng (traveling),,21-20,,
2:08.0,T. Prince enters the game for A. Wiggins,,21-20,,
1:57.0,,,21-20,,M. Teletovic misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by G. Dieng,,21-20,,
1:34.0,Turnover by S. Muhammad (bad pass; steal by B. Knight),,21-20,,
1:25.0,,,21-23,3,B. Knight makes 3-pt shot from 24 ft
1:07.0,S. Muhammad makes 2-pt shot from 2 ft (assist by G. Dieng),2,23-23,,
0:55.0,,,23-23,,T. Warren misses 2-pt shot from 9 ft
0:52.0,Defensive rebound by T. Prince,,23-23,,
0:49.0,Z. LaVine makes 2-pt shot at rim,2,25-23,,
0:38.0,,,25-23,,Shooting foul by S. Muhammad (drawn by D. Booker)
0:38.0,,,25-24,1,D. Booker makes free throw 1 of 2
0:38.0,,,25-25,1,D. Booker makes free throw 2 of 2
0:25.0,Shooting foul by T. Chandler (drawn by S. Muhammad),,25-25,,
0:25.0,S. Muhammad makes free throw 1 of 2,1,26-25,,
0:25.0,S. Muhammad makes free throw 2 of 2,1,27-25,,
0:02.0,,,27-25,,B. Knight misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by N. Bjelica,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,27-25,,Personal foul by D. Booker (drawn by N. Bjelica)
11:42.0,Turnover by G. Dieng (bad pass),,27-25,,
11:23.0,,,27-25,,T. Chandler misses 2-pt shot at rim
11:20.0,,,27-25,,Offensive rebound by D. Booker
11:18.0,,,27-27,2,T. Warren makes 2-pt shot from 13 ft (assist by D. Booker)
10:57.0,G. Dieng misses 2-pt shot from 2 ft (block by T. Chandler),,27-27,,
10:57.0,Offensive rebound by Team,,27-27,,
10:57.0,Jump ball: T. Chandler vs. G. Dieng (Z. LaVine gains possession),,,,Jump ball: T. Chandler vs. G. Dieng (Z. LaVine gains possession)
10:48.0,N. Bjelica misses 3-pt shot from 33 ft,,27-27,,
10:48.0,Offensive rebound by Team,,27-27,,
10:48.0,Turnover by Team (shot clock),,27-27,,
10:40.0,,,27-29,2,D. Booker makes 2-pt shot from 20 ft (assist by E. Bledsoe)
10:25.0,Turnover by G. Dieng (bad pass; steal by T. Chandler),,27-29,,
10:11.0,,,27-31,2,E. Bledsoe makes 2-pt shot at rim
9:57.0,Z. LaVine misses 2-pt shot from 18 ft,,27-31,,
9:52.0,,,27-31,,Defensive rebound by T. Warren
9:47.0,,,27-31,,T. Warren misses 2-pt shot from 6 ft
9:45.0,,,27-31,,Offensive rebound by T. Warren
9:43.0,,,27-31,,T. Warren misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by N. Bjelica,,27-31,,
9:36.0,Turnover by N. Bjelica (lost ball; steal by T. Warren),,27-31,,
9:33.0,,,27-33,2,T. Warren makes 2-pt shot at rim (assist by T. Chandler)
9:15.0,Z. LaVine misses 3-pt shot from 24 ft,,27-33,,
9:14.0,Offensive rebound by Team,,27-33,,
9:14.0,,,27-33,,A. Len enters the game for T. Chandler
9:07.0,Z. LaVine makes 2-pt shot from 5 ft,2,29-33,,
9:07.0,Shooting foul by A. Len (drawn by Z. LaVine),,29-33,,
9:07.0,Z. LaVine makes free throw 1 of 1,1,30-33,,
8:59.0,Personal block foul by N. Bjelica (drawn by E. Bledsoe),,30-33,,
8:59.0,Official timeout,,30-33,,
8:41.0,,,30-33,,T. Warren misses 3-pt shot from 27 ft
8:39.0,Defensive rebound by N. Bjelica,,30-33,,
8:30.0,Z. LaVine makes 3-pt shot from 24 ft,3,33-33,,
8:13.0,Personal foul by G. Dieng (drawn by D. Booker),,33-33,,
8:10.0,Personal foul by S. Muhammad (drawn by D. Booker),,33-33,,
7:56.0,,,33-33,,A. Len misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by N. Bjelica,,33-33,,
7:42.0,Turnover by G. Dieng (bad pass),,33-33,,
7:27.0,,,33-33,,Shooting foul by N. Bjelica (drawn by T. Warren)
7:27.0,,,33-33,,T. Warren misses free throw 1 of 2
7:27.0,,,33-33,,Offensive rebound by Team
7:27.0,,,33-33,,P. Tucker enters the game for D. Booker
7:27.0,,,33-33,,J. Leuer enters the game for M. Teletovic
7:27.0,A. Wiggins enters the game for S. Muhammad,,33-33,,
7:27.0,,,33-34,1,T. Warren makes free throw 2 of 2
7:12.0,Z. LaVine misses 2-pt shot from 14 ft,,33-34,,
7:10.0,,,33-34,,Defensive rebound by A. Len
7:03.0,,,33-34,,Shooting foul by N. Bjelica (drawn by E. Bledsoe)
7:03.0,,,33-35,1,E. Bledsoe makes free throw 1 of 2
7:03.0,D. Rudez enters the game for N. Bjelica,,33-35,,
7:03.0,,,33-36,1,E. Bledsoe makes free throw 2 of 2
6:56.0,Offensive foul by G. Dieng,,33-36,,
6:56.0,Turnover by G. Dieng (offensive foul),,33-36,,
6:56.0,K. Towns enters the game for G. Dieng,,33-36,,
6:32.0,,,33-36,,Shooting foul by Z. LaVine (drawn by E. Bledsoe)
6:32.0,,,33-37,1,E. Bledsoe makes free throw 1 of 2
6:32.0,R. Rubio enters the game for Z. LaVine,,33-37,,
6:32.0,K. Martin enters the game for T. Prince,,33-37,,
6:32.0,,,33-38,1,E. Bledsoe makes free throw 2 of 2
6:24.0,,,33-38,,Shooting block foul by T. Warren (drawn by A. Wiggins)
6:24.0,A. Wiggins makes free throw 1 of 2,1,34-38,,
6:24.0,,,34-38,,R. Price enters the game for T. Warren
6:24.0,A. Wiggins makes free throw 2 of 2,1,35-38,,
6:11.0,,,35-40,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
5:53.0,D. Rudez misses 3-pt shot from 25 ft,,35-40,,
5:53.0,Offensive rebound by Team,,35-40,,
5:53.0,,,35-40,,Loose ball foul by A. Len (drawn by K. Towns)
5:53.0,,,35-40,,Phoenix full timeout
5:53.0,,,35-40,,T. Chandler enters the game for A. Len
5:48.0,K. Martin misses 3-pt shot from 25 ft,,35-40,,
5:46.0,Offensive rebound by K. Towns,,35-40,,
5:44.0,K. Towns makes 2-pt shot from 7 ft,2,37-40,,
5:31.0,,,37-40,,Turnover by E. Bledsoe (traveling)
5:20.0,Turnover by R. Rubio (bad pass; steal by E. Bledsoe),,37-40,,
5:16.0,,,37-42,2,R. Price makes 2-pt shot at rim (assist by J. Leuer)
5:03.0,Shooting foul by P. Tucker (drawn by A. Wiggins),,37-42,,
5:03.0,A. Wiggins misses free throw 1 of 2,,37-42,,
5:03.0,Offensive rebound by Team,,37-42,,
5:03.0,,,37-42,,B. Knight enters the game for E. Bledsoe
5:03.0,A. Wiggins misses free throw 2 of 2,,37-42,,
5:02.0,,,37-42,,Defensive rebound by P. Tucker
4:39.0,,,37-42,,P. Tucker misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by K. Towns,,37-42,,
4:25.0,K. Martin misses 2-pt shot from 13 ft,,37-42,,
4:24.0,Offensive rebound by K. Martin,,37-42,,
4:24.0,Shooting foul by B. Knight (drawn by K. Martin),,37-42,,
4:24.0,K. Martin makes free throw 1 of 2,1,38-42,,
4:24.0,K. Martin makes free throw 2 of 2,1,39-42,,
4:06.0,,,39-42,,B. Knight misses 2-pt shot from 6 ft
4:02.0,Defensive rebound by K. Towns,,39-42,,
4:01.0,,,39-42,,Shooting block foul by R. Price (drawn by K. Martin)
4:01.0,K. Martin makes free throw 1 of 2,1,40-42,,
4:01.0,K. Martin makes free throw 2 of 2,1,41-42,,
3:46.0,,,41-44,2,T. Chandler makes 2-pt shot from 6 ft (assist by B. Knight)
3:46.0,,,41-44,,Shooting foul by K. Martin (drawn by T. Chandler)
3:46.0,,,41-45,1,T. Chandler makes free throw 1 of 1
3:34.0,Turnover by A. Wiggins (lost ball; steal by J. Leuer),,41-45,,
3:16.0,,,41-48,3,R. Price makes 3-pt shot from 27 ft (assist by B. Knight)
3:07.0,Minnesota full timeout,,41-48,,
2:59.0,Offensive charge foul by A. Wiggins,,41-48,,
2:59.0,Turnover by A. Wiggins (offensive foul),,41-48,,
2:42.0,,,41-51,3,B. Knight makes 3-pt shot from 25 ft
2:21.0,D. Rudez makes 3-pt shot from 23 ft (assist by K. Towns),3,44-51,,
2:07.0,,,44-53,2,J. Leuer makes 2-pt shot from 1 ft (assist by T. Chandler)
1:47.0,K. Towns misses 2-pt shot from 3 ft,,44-53,,
1:45.0,,,44-53,,Defensive rebound by R. Price
1:27.0,,,44-53,,R. Price misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by K. Towns,,44-53,,
1:17.0,A. Wiggins makes 2-pt shot from 10 ft (assist by R. Rubio),2,46-53,,
1:04.0,,,46-53,,B. Knight misses 3-pt shot from 28 ft
1:04.0,Defensive rebound by Team,,46-53,,
0:52.0,R. Rubio misses 2-pt shot from 2 ft (block by B. Knight),,46-53,,
0:52.0,Offensive rebound by Team,,46-53,,
0:47.0,,,46-53,,Shooting block foul by J. Leuer (drawn by K. Martin)
0:47.0,K. Martin makes free throw 1 of 2,1,47-53,,
0:47.0,,,47-53,,M. Teletovic enters the game for J. Leuer
0:47.0,T. Prince enters the game for A. Wiggins,,47-53,,
0:47.0,A. Payne enters the game for K. Towns,,47-53,,
0:47.0,,,47-53,,E. Bledsoe enters the game for P. Tucker
0:47.0,K. Martin misses free throw 2 of 2,,47-53,,
0:46.0,,,47-53,,Defensive rebound by E. Bledsoe
0:25.0,,,47-55,2,E. Bledsoe makes 2-pt shot from 20 ft (assist by R. Price)
0:04.0,Shooting foul by T. Chandler (drawn by K. Martin),,47-55,,
0:04.0,K. Martin makes free throw 1 of 3,1,48-55,,
0:04.0,K. Martin makes free throw 2 of 3,1,49-55,,
0:04.0,,,49-55,,D. Booker enters the game for T. Chandler
0:04.0,Z. LaVine enters the game for A. Payne,,49-55,,
0:04.0,,,49-55,,Phoenix full timeout
0:04.0,K. Martin misses free throw 3 of 3,,49-55,,
0:03.0,,,49-55,,Defensive rebound by E. Bledsoe
0:00.0,,,49-55,,Turnover by E. Bledsoe (bad pass; steal by R. Rubio)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Garnett misses 2-pt shot from 1 ft,,49-55,,
11:44.0,Offensive rebound by K. Garnett,,49-55,,
11:35.0,K. Garnett misses 2-pt shot from 18 ft,,49-55,,
11:32.0,,,49-55,,Defensive rebound by B. Knight
11:20.0,,,49-57,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
11:09.0,Turnover by R. Rubio (bad pass; steal by P. Tucker),,49-57,,
11:04.0,,,49-59,2,J. Leuer makes 2-pt shot at rim (assist by B. Knight)
10:42.0,K. Towns makes 2-pt shot at rim (assist by K. Martin),2,51-59,,
10:30.0,,,51-61,2,B. Knight makes 2-pt shot from 1 ft (assist by E. Bledsoe)
10:16.0,K. Martin misses 2-pt shot from 19 ft,,51-61,,
10:13.0,,,51-61,,Defensive rebound by P. Tucker
10:06.0,,,51-61,,Turnover by E. Bledsoe (bad pass; steal by K. Garnett)
10:03.0,K. Martin makes 2-pt shot at rim (assist by R. Rubio),2,53-61,,
9:43.0,,,53-61,,B. Knight misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by Team,,53-61,,
9:29.0,K. Towns makes 2-pt shot from 3 ft (assist by K. Garnett),2,55-61,,
9:17.0,,,55-63,2,E. Bledsoe makes 2-pt shot from 3 ft (assist by A. Len)
8:57.0,K. Martin misses 2-pt shot from 17 ft,,55-63,,
8:56.0,,,55-63,,Defensive rebound by Team
8:56.0,Loose ball foul by K. Garnett (drawn by J. Leuer),,55-63,,
8:32.0,,,55-63,,P. Tucker misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by K. Towns,,55-63,,
8:26.0,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio),3,58-63,,
8:25.0,,,58-63,,Phoenix full timeout
8:11.0,,,58-63,,E. Bledsoe misses 2-pt shot from 2 ft
8:08.0,,,58-63,,Offensive rebound by A. Len
8:08.0,,,58-65,2,A. Len makes 2-pt shot at rim
7:50.0,K. Towns misses 2-pt shot from 8 ft,,58-65,,
7:48.0,Offensive rebound by K. Garnett,,58-65,,
7:45.0,A. Wiggins misses 3-pt shot from 25 ft,,58-65,,
7:43.0,,,58-65,,Defensive rebound by A. Len
7:25.0,,,58-65,,A. Len misses 2-pt shot from 8 ft
7:22.0,,,58-65,,Offensive rebound by P. Tucker
7:22.0,,,58-65,,P. Tucker misses 2-pt shot from 1 ft
7:20.0,,,58-65,,Offensive rebound by P. Tucker
7:12.0,,,58-65,,J. Leuer misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by A. Wiggins,,58-65,,
6:57.0,K. Towns misses 2-pt shot from 7 ft,,58-65,,
6:55.0,,,58-65,,Defensive rebound by A. Len
6:48.0,,,58-65,,Turnover by E. Bledsoe (bad pass)
6:33.0,Offensive foul by K. Towns,,58-65,,
6:33.0,Turnover by K. Towns (offensive foul),,58-65,,
6:33.0,N. Bjelica enters the game for K. Garnett,,58-65,,
6:21.0,,,58-67,2,J. Leuer makes 2-pt shot from 17 ft (assist by A. Len)
6:08.0,Turnover by R. Rubio (bad pass; steal by B. Knight),,58-67,,
6:05.0,,,58-69,2,B. Knight makes 2-pt shot at rim
6:05.0,Minnesota full timeout,,58-69,,
5:50.0,Turnover by R. Rubio (bad pass; steal by E. Bledsoe),,58-69,,
5:45.0,,,58-71,2,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe)
5:31.0,A. Wiggins misses 2-pt shot from 7 ft (block by E. Bledsoe),,58-71,,
5:31.0,Offensive rebound by K. Towns,,58-71,,
5:25.0,A. Wiggins makes 2-pt shot from 5 ft (assist by K. Towns),2,60-71,,
5:25.0,Shooting foul by P. Tucker (drawn by A. Wiggins),,60-71,,
5:25.0,A. Wiggins makes free throw 1 of 1,1,61-71,,
5:12.0,,,61-73,2,A. Len makes 2-pt shot at rim (assist by J. Leuer)
4:49.0,N. Bjelica misses 3-pt shot from 25 ft,,61-73,,
4:46.0,,,61-73,,Defensive rebound by P. Tucker
4:40.0,,,61-73,,B. Knight misses 2-pt shot from 23 ft
4:38.0,Defensive rebound by Team,,61-73,,
4:38.0,Z. LaVine enters the game for R. Rubio,,61-73,,
4:38.0,G. Dieng enters the game for K. Towns,,61-73,,
4:17.0,Turnover by N. Bjelica (bad pass; steal by J. Leuer),,61-73,,
4:11.0,,,61-75,2,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe)
3:46.0,Z. LaVine makes 3-pt shot from 25 ft (assist by A. Wiggins),3,64-75,,
3:32.0,,,64-77,2,J. Leuer makes 2-pt shot from 12 ft (assist by E. Bledsoe)
3:10.0,Z. LaVine misses 2-pt shot from 9 ft (block by E. Bledsoe),,64-77,,
3:07.0,,,64-77,,Defensive rebound by E. Bledsoe
3:01.0,,,64-77,,J. Leuer misses 2-pt shot from 8 ft
2:58.0,Defensive rebound by G. Dieng,,64-77,,
2:51.0,Z. LaVine misses 2-pt shot from 3 ft (block by E. Bledsoe),,64-77,,
2:49.0,Offensive rebound by N. Bjelica,,64-77,,
2:49.0,N. Bjelica misses 2-pt shot from 1 ft (block by B. Knight),,64-77,,
2:49.0,Offensive rebound by N. Bjelica,,64-77,,
2:49.0,N. Bjelica misses 2-pt shot from 1 ft (block by A. Len),,64-77,,
2:48.0,,,64-77,,Defensive rebound by A. Len
2:48.0,,,64-77,,Phoenix full timeout
2:48.0,,,64-77,,T. Chandler enters the game for J. Leuer
2:48.0,,,64-77,,M. Teletovic enters the game for A. Len
2:48.0,,,64-77,,D. Booker enters the game for B. Knight
2:48.0,S. Muhammad enters the game for K. Martin,,64-77,,
2:48.0,D. Rudez enters the game for N. Bjelica,,64-77,,
2:30.0,,,64-77,,P. Tucker misses 2-pt shot from 3 ft
2:28.0,,,64-77,,Offensive rebound by T. Chandler
2:28.0,,,64-77,,T. Chandler misses 2-pt shot at rim
2:28.0,,,64-77,,Offensive rebound by P. Tucker
2:28.0,Loose ball foul by G. Dieng (drawn by P. Tucker),,64-77,,
2:28.0,,,64-77,,R. Price enters the game for E. Bledsoe
2:10.0,,,64-79,2,M. Teletovic makes 2-pt shot from 4 ft
1:57.0,Turnover by Z. LaVine (lost ball; steal by R. Price),,64-79,,
1:54.0,,,64-81,2,M. Teletovic makes 2-pt shot at rim (assist by R. Price)
1:54.0,Minnesota full timeout,,64-81,,
1:39.0,Turnover by D. Rudez (bad pass; steal by P. Tucker),,64-81,,
1:30.0,,,64-83,2,M. Teletovic makes 2-pt shot from 4 ft (assist by R. Price)
1:20.0,,,64-83,,Personal foul by R. Price (drawn by Z. LaVine)
1:11.0,Turnover by Z. LaVine (bad pass; steal by R. Price),,64-83,,
1:05.0,A. Miller enters the game for A. Wiggins,,64-83,,
1:05.0,Jump ball: Z. LaVine vs. R. Price (A. Miller gains possession),,,,Jump ball: Z. LaVine vs. R. Price (A. Miller gains possession)
1:05.0,,,64-83,,Turnover by D. Booker (bad pass; steal by S. Muhammad)
0:50.0,Turnover by D. Rudez (step out of bounds),,64-83,,
0:34.0,,,64-85,2,M. Teletovic makes 2-pt shot from 3 ft
0:34.0,,,64-85,,Shooting foul by D. Rudez (drawn by M. Teletovic)
0:34.0,,,64-85,,M. Teletovic misses free throw 1 of 1
0:33.0,Defensive rebound by G. Dieng,,64-85,,
0:17.0,,,64-85,,Personal foul by D. Booker (drawn by Z. LaVine)
0:17.0,Z. LaVine makes free throw 1 of 2,1,65-85,,
0:17.0,Z. LaVine makes free throw 2 of 2,1,66-85,,
0:00.0,,,66-85,,D. Booker misses 2-pt shot from 16 ft
0:00.0,,,66-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,66-85,,R. Price misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by Team,,66-85,,
11:29.0,Z. LaVine misses 2-pt shot from 21 ft,,66-85,,
11:28.0,,,66-85,,Defensive rebound by Team
11:03.0,,,66-85,,M. Teletovic misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by Team,,66-85,,
10:59.0,,,66-85,,Personal block foul by R. Price (drawn by Z. LaVine)
10:50.0,D. Rudez makes 2-pt shot at rim (assist by A. Miller),2,68-85,,
10:32.0,,,68-85,,R. Price misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by Z. LaVine,,68-85,,
10:22.0,G. Dieng makes 2-pt shot from 3 ft (assist by Z. LaVine),2,70-85,,
10:03.0,,,70-85,,D. Booker misses 2-pt shot from 8 ft
10:03.0,,,70-85,,Offensive rebound by Team
10:03.0,Loose ball foul by S. Muhammad (drawn by T. Chandler),,70-85,,
10:03.0,,,70-85,,A. Len enters the game for T. Chandler
10:03.0,,,70-85,,E. Bledsoe enters the game for R. Price
9:57.0,,,70-85,,A. Len misses 2-pt shot from 16 ft
9:55.0,Defensive rebound by S. Muhammad,,70-85,,
9:39.0,G. Dieng misses 2-pt shot from 1 ft,,70-85,,
9:36.0,,,70-85,,Defensive rebound by M. Teletovic
9:32.0,,,70-85,,D. Booker misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by G. Dieng,,70-85,,
9:18.0,Z. LaVine makes 2-pt shot from 1 ft,2,72-85,,
9:18.0,,,72-85,,Phoenix full timeout
9:03.0,,,72-85,,T. Warren misses 2-pt shot from 4 ft (block by G. Dieng)
9:00.0,Defensive rebound by A. Miller,,72-85,,
8:55.0,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Miller),2,74-85,,
8:54.0,Violation by Team (delay of game),,74-85,,
8:36.0,,,74-85,,A. Len misses 2-pt shot from 15 ft (block by G. Dieng)
8:33.0,,,74-85,,Offensive rebound by A. Len
8:31.0,,,74-85,,E. Bledsoe misses 3-pt shot from 25 ft
8:29.0,,,74-85,,Offensive rebound by T. Warren
8:27.0,,,74-85,,T. Warren misses 2-pt shot from 3 ft
8:26.0,,,74-85,,Offensive rebound by T. Warren
8:25.0,,,74-85,,T. Warren misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by Team,,74-85,,
8:24.0,,,74-85,,J. Leuer enters the game for M. Teletovic
8:24.0,,,74-85,,B. Knight enters the game for D. Booker
8:14.0,Shooting foul by T. Warren (drawn by S. Muhammad),,74-85,,
8:14.0,S. Muhammad misses free throw 1 of 2,,74-85,,
8:14.0,Offensive rebound by Team,,74-85,,
8:14.0,,,74-85,,P. Tucker enters the game for T. Warren
8:14.0,S. Muhammad makes free throw 2 of 2,1,75-85,,
7:53.0,,,75-88,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
7:39.0,Turnover by D. Rudez (bad pass; steal by E. Bledsoe),,75-88,,
7:36.0,,,75-90,2,E. Bledsoe makes 2-pt shot at rim
