time,Detroit,pts.away,score,pts.home,San Antonio
9:36.0,,,54-60,2,T. Duncan makes 2-pt shot from 5 ft (assist by D. Green)
9:36.0,Detroit full timeout,,54-60,,
9:22.0,Turnover by A. Drummond (lost ball),,54-60,,
9:02.0,,,54-60,,K. Leonard misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by M. Morris,,54-60,,
8:51.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,54-60,,
8:50.0,,,54-60,,Defensive rebound by L. Aldridge
8:44.0,,,54-62,2,T. Parker makes 2-pt shot at rim
8:33.0,R. Jackson misses 2-pt shot from 1 ft,,54-62,,
8:32.0,,,54-62,,Defensive rebound by T. Duncan
8:20.0,,,54-62,,T. Parker misses 2-pt shot from 17 ft
8:19.0,Defensive rebound by K. Caldwell-Pope,,54-62,,
8:15.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,54-62,,
8:13.0,,,54-62,,Defensive rebound by K. Leonard
8:02.0,,,54-64,2,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard)
7:43.0,T. Harris makes 2-pt shot at rim,2,56-64,,
7:27.0,,,56-64,,L. Aldridge misses 2-pt shot from 16 ft
7:27.0,Defensive rebound by A. Drummond,,56-64,,
7:21.0,,,56-64,,Personal foul by K. Leonard (drawn by T. Harris)
7:13.0,A. Drummond misses 3-pt shot at rim,,56-64,,
7:13.0,,,56-64,,Defensive rebound by Team
6:50.0,,,56-66,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green)
6:37.0,Shooting foul by T. Duncan (drawn by A. Drummond),,56-66,,
6:37.0,A. Drummond misses free throw 1 of 2,,56-66,,
6:37.0,Offensive rebound by Team,,56-66,,
6:37.0,A. Drummond misses free throw 2 of 2,,56-66,,
6:36.0,,,56-66,,Defensive rebound by K. Leonard
6:22.0,,,56-68,2,T. Duncan makes 2-pt shot from 1 ft (assist by L. Aldridge)
6:07.0,M. Morris misses 2-pt shot from 15 ft,,56-68,,
6:06.0,,,56-68,,Defensive rebound by L. Aldridge
5:59.0,,,56-68,,D. Green misses 3-pt shot from 24 ft
5:57.0,,,56-68,,Offensive rebound by T. Duncan
5:39.0,,,56-68,,T. Parker misses 3-pt shot from 22 ft
5:38.0,Defensive rebound by A. Drummond,,56-68,,
5:38.0,,,56-68,,Personal foul by D. Green (drawn by A. Drummond)
5:24.0,R. Jackson misses 2-pt shot at rim,,56-68,,
5:23.0,Offensive rebound by A. Drummond,,56-68,,
5:22.0,Shooting foul by L. Aldridge (drawn by A. Drummond),,56-68,,
5:22.0,A. Drummond misses free throw 1 of 2,,56-68,,
5:22.0,Offensive rebound by Team,,56-68,,
5:22.0,A. Drummond makes free throw 2 of 2,1,57-68,,
5:07.0,,,57-68,,K. Leonard misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by M. Morris,,57-68,,
5:00.0,Turnover by T. Harris (bad pass; steal by K. Leonard),,57-68,,
4:50.0,,,57-68,,San Antonio full timeout
4:50.0,A. Baynes enters the game for M. Morris,,57-68,,
4:41.0,,,57-70,2,L. Aldridge makes 2-pt shot from 18 ft
4:41.0,,,57-70,,Shooting foul by A. Baynes (drawn by L. Aldridge)
4:41.0,,,57-70,,D. West enters the game for T. Duncan
4:41.0,,,57-71,1,L. Aldridge makes free throw 1 of 1
4:21.0,A. Baynes makes 2-pt shot at rim (assist by A. Drummond),2,59-71,,
3:55.0,,,59-71,,D. West misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by A. Drummond,,59-71,,
3:51.0,,,59-71,,Personal take foul by T. Parker (drawn by R. Jackson)
3:51.0,R. Jackson makes free throw 1 of 2,1,60-71,,
3:51.0,,,60-71,,P. Mills enters the game for T. Parker
3:51.0,R. Jackson makes free throw 2 of 2,1,61-71,,
3:32.0,,,61-71,,K. Leonard misses 2-pt shot from 8 ft
3:31.0,Defensive rebound by T. Harris,,61-71,,
3:13.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,61-71,,
3:12.0,,,61-71,,Defensive rebound by L. Aldridge
3:01.0,,,61-73,2,K. Leonard makes 2-pt shot from 15 ft (assist by P. Mills)
2:42.0,T. Harris misses 2-pt shot from 1 ft (block by D. West),,61-73,,
2:42.0,Offensive rebound by Team,,61-73,,
2:42.0,S. Blake enters the game for R. Jackson,,61-73,,
2:42.0,,,61-73,,K. Anderson enters the game for D. Green
2:35.0,Shooting foul by L. Aldridge (drawn by K. Caldwell-Pope),,61-73,,
2:35.0,K. Caldwell-Pope misses free throw 1 of 2,,61-73,,
2:35.0,Offensive rebound by Team,,61-73,,
2:35.0,K. Caldwell-Pope makes free throw 2 of 2,1,62-73,,
2:18.0,,,62-73,,K. Leonard misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by A. Drummond,,62-73,,
2:10.0,T. Harris misses 2-pt shot from 15 ft,,62-73,,
2:09.0,Offensive rebound by A. Drummond,,62-73,,
2:06.0,Turnover by A. Drummond (bad pass; steal by P. Mills),,62-73,,
2:01.0,,,62-75,2,P. Mills makes 2-pt shot from 1 ft
1:41.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-75,,
1:40.0,,,62-75,,Defensive rebound by L. Aldridge
1:25.0,,,62-77,2,L. Aldridge makes 2-pt shot from 17 ft (assist by P. Mills)
1:07.0,A. Baynes misses 2-pt shot from 14 ft,,62-77,,
1:06.0,Offensive rebound by A. Drummond,,62-77,,
1:06.0,Shooting foul by L. Aldridge (drawn by A. Drummond),,62-77,,
1:06.0,A. Drummond misses free throw 1 of 2,,62-77,,
1:06.0,Offensive rebound by Team,,62-77,,
1:06.0,,,62-77,,A. Miller enters the game for K. Leonard
1:06.0,A. Drummond misses free throw 2 of 2,,62-77,,
1:05.0,,,62-77,,Defensive rebound by K. Anderson
0:52.0,,,62-77,,P. Mills misses 2-pt shot from 19 ft
0:52.0,,,62-77,,Offensive rebound by A. Miller
0:36.0,,,62-77,,L. Aldridge misses 2-pt shot from 18 ft
0:35.0,Defensive rebound by T. Harris,,62-77,,
0:26.0,Turnover by A. Baynes (bad pass; steal by K. Anderson),,62-77,,
0:08.0,,,62-77,,Shooting foul by A. Drummond (drawn by L. Aldridge)
0:08.0,,,62-78,1,L. Aldridge makes free throw 1 of 2
0:08.0,R. Bullock enters the game for A. Drummond,,62-78,,
0:08.0,,,62-78,,D. Green enters the game for D. West
0:08.0,,,62-79,1,L. Aldridge makes free throw 2 of 2
0:01.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Blake),2,64-79,,
0:01.0,Shooting foul by P. Mills (drawn by K. Caldwell-Pope),,64-79,,
0:01.0,,,64-79,,D. West enters the game for L. Aldridge
0:01.0,K. Caldwell-Pope makes free throw 1 of 1,1,65-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:54.0,Personal foul by A. Baynes (drawn by D. West),,65-79,,
11:44.0,,,65-79,,P. Mills misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by Team,,65-79,,
11:32.0,D. Hilliard misses 2-pt shot from 5 ft,,65-79,,
11:32.0,Offensive rebound by Team,,65-79,,
11:32.0,,,65-79,,Loose ball foul by D. Green (drawn by A. Baynes)
11:21.0,A. Baynes misses 2-pt shot from 7 ft (block by D. Green),,65-79,,
11:19.0,,,65-79,,Defensive rebound by A. Miller
10:58.0,,,65-81,2,P. Mills makes 2-pt shot from 18 ft (assist by A. Miller)
10:50.0,,,65-81,,Personal foul by B. Diaw (drawn by M. Morris)
10:36.0,Shooting foul by A. Miller (drawn by R. Bullock),,65-81,,
10:36.0,R. Bullock makes free throw 1 of 3,1,66-81,,
10:36.0,R. Bullock misses free throw 2 of 3,,66-81,,
10:36.0,Offensive rebound by Team,,66-81,,
10:36.0,R. Bullock makes free throw 3 of 3,1,67-81,,
10:11.0,,,67-81,,D. West misses 2-pt shot from 21 ft
10:11.0,Defensive rebound by R. Bullock,,67-81,,
9:52.0,M. Morris misses 2-pt shot from 1 ft,,67-81,,
9:51.0,Offensive rebound by A. Baynes,,67-81,,
9:47.0,A. Baynes makes 2-pt shot at rim,2,69-81,,
9:33.0,,,69-81,,B. Diaw misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by A. Baynes,,69-81,,
9:23.0,D. Hilliard makes 3-pt shot from 24 ft (assist by S. Blake),3,72-81,,
9:23.0,,,72-81,,San Antonio full timeout
9:23.0,,,72-81,,K. Anderson enters the game for D. Green
9:23.0,,,72-81,,K. Leonard enters the game for B. Diaw
8:58.0,,,72-83,2,D. West makes 2-pt shot from 2 ft
8:31.0,S. Blake misses 3-pt shot from 34 ft (block by K. Anderson),,72-83,,
8:31.0,Offensive rebound by Team,,72-83,,
8:31.0,Turnover by Team (shot clock),,72-83,,
8:08.0,,,72-85,2,K. Leonard makes 2-pt shot from 15 ft
8:00.0,,,72-85,,Personal foul by K. Anderson (drawn by M. Morris)
8:00.0,T. Harris enters the game for A. Baynes,,72-85,,
8:00.0,R. Jackson enters the game for S. Blake,,72-85,,
8:00.0,A. Drummond enters the game for D. Hilliard,,72-85,,
8:00.0,,,72-85,,D. Green enters the game for A. Miller
8:00.0,,,72-85,,L. Aldridge enters the game for D. West
7:54.0,Turnover by R. Jackson (bad pass; steal by K. Leonard),,72-85,,
7:50.0,,,72-87,2,K. Leonard makes 2-pt shot at rim
7:47.0,Detroit full timeout,,72-87,,
7:47.0,K. Caldwell-Pope enters the game for R. Bullock,,72-87,,
7:47.0,,,72-87,,T. Parker enters the game for P. Mills
7:40.0,M. Morris misses 3-pt shot from 26 ft,,72-87,,
7:39.0,Offensive rebound by Team,,72-87,,
7:28.0,M. Morris misses 2-pt shot from 1 ft (block by K. Anderson),,72-87,,
7:28.0,Offensive rebound by Team,,72-87,,
7:20.0,R. Jackson makes 2-pt shot from 11 ft,2,74-87,,
7:01.0,Personal block foul by A. Drummond (drawn by L. Aldridge),,74-87,,
6:43.0,,,74-87,,K. Leonard misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by K. Caldwell-Pope,,74-87,,
6:32.0,M. Morris misses 3-pt shot from 23 ft,,74-87,,
6:31.0,,,74-87,,Defensive rebound by L. Aldridge
6:18.0,,,74-87,,K. Anderson misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by Team,,74-87,,
6:03.0,T. Harris misses 2-pt shot from 11 ft,,74-87,,
6:02.0,,,74-87,,Defensive rebound by K. Leonard
5:40.0,,,74-89,2,L. Aldridge makes 2-pt shot from 18 ft (assist by K. Leonard)
5:18.0,M. Morris makes 2-pt shot at rim,2,76-89,,
4:54.0,,,76-89,,Shooting foul by T. Harris (drawn by K. Anderson)
4:54.0,,,76-90,1,K. Anderson makes free throw 1 of 2
4:54.0,,,76-91,1,K. Anderson makes free throw 2 of 2
4:46.0,,,76-91,,Personal foul by K. Anderson (drawn by M. Morris)
4:46.0,M. Morris makes free throw 1 of 2,1,77-91,,
4:46.0,,,77-91,,R. Butler enters the game for K. Anderson
4:46.0,M. Morris makes free throw 2 of 2,1,78-91,,
4:30.0,,,78-93,2,K. Leonard makes 2-pt shot from 8 ft (assist by L. Aldridge)
4:11.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,80-93,,
3:47.0,,,80-95,2,K. Leonard makes 2-pt shot from 6 ft (assist by T. Parker)
3:31.0,T. Harris misses 2-pt shot from 1 ft,,80-95,,
3:30.0,,,80-95,,Defensive rebound by T. Parker
3:15.0,,,80-95,,L. Aldridge misses 2-pt shot from 15 ft
3:15.0,Defensive rebound by R. Jackson,,80-95,,
3:07.0,R. Jackson misses 2-pt shot from 15 ft,,80-95,,
3:06.0,,,80-95,,Defensive rebound by Team
3:06.0,,,80-95,,D. West enters the game for L. Aldridge
2:51.0,,,80-95,,K. Leonard misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by R. Jackson,,80-95,,
2:45.0,R. Jackson misses 2-pt shot from 1 ft,,80-95,,
2:43.0,,,80-95,,Defensive rebound by D. West
2:33.0,,,80-95,,Turnover by D. Green (lost ball)
2:33.0,Official timeout,,80-95,,
2:33.0,,,80-95,,J. Simmons enters the game for K. Leonard
2:33.0,,,80-95,,A. Miller enters the game for D. Green
2:33.0,,,80-95,,K. Anderson enters the game for T. Parker
2:18.0,Shooting foul by A. Miller (drawn by A. Drummond),,80-95,,
2:18.0,A. Drummond misses free throw 1 of 2,,80-95,,
2:18.0,Offensive rebound by Team,,80-95,,
2:18.0,A. Drummond misses free throw 2 of 2,,80-95,,
2:17.0,,,80-95,,Defensive rebound by D. West
1:50.0,,,80-95,,K. Anderson misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by A. Drummond,,80-95,,
1:46.0,,,80-95,,Personal foul by K. Anderson (drawn by T. Harris)
1:46.0,T. Harris makes free throw 1 of 2,1,81-95,,
1:46.0,S. Blake enters the game for M. Morris,,81-95,,
1:46.0,R. Bullock enters the game for A. Drummond,,81-95,,
1:46.0,A. Baynes enters the game for K. Caldwell-Pope,,81-95,,
1:46.0,D. Hilliard enters the game for R. Jackson,,81-95,,
1:46.0,,,81-95,,B. Marjanovic enters the game for D. West
1:46.0,T. Harris misses free throw 2 of 2,,81-95,,
1:45.0,,,81-95,,Defensive rebound by K. Anderson
1:23.0,,,81-95,,R. Butler misses 3-pt shot from 22 ft
1:22.0,,,81-95,,Offensive rebound by B. Marjanovic
1:10.0,,,81-97,2,J. Simmons makes 2-pt shot from 1 ft (assist by A. Miller)
0:54.0,D. Hilliard misses 3-pt shot from 24 ft,,81-97,,
0:53.0,Offensive rebound by A. Baynes,,81-97,,
0:36.0,S. Blake misses 2-pt shot from 15 ft (block by B. Marjanovic),,81-97,,
0:34.0,,,81-97,,Defensive rebound by K. Anderson
0:21.0,,,81-97,,K. Anderson misses 2-pt shot at rim
0:20.0,Defensive rebound by R. Bullock,,81-97,,
0:05.0,Turnover by S. Blake (bad pass; steal by R. Butler),,81-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
