time,Detroit,pts.away,score,pts.home,Memphis
0:01.0,,,24-21,2,M. Chalmers makes 2-pt shot from 1 ft
0:00.0,S. Johnson misses 3-pt shot from 77 ft,,24-21,,
0:00.0,Offensive rebound by Team,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,24-24,3,M. Barnes makes 3-pt shot from 26 ft (assist by E. Williams)
11:16.0,A. Tolliver misses 3-pt shot from 26 ft,,24-24,,
11:14.0,,,24-24,,Defensive rebound by J. Green
10:55.0,,,24-24,,V. Carter misses 2-pt shot from 7 ft
10:54.0,Defensive rebound by A. Baynes,,24-24,,
10:37.0,S. Johnson makes 3-pt shot from 24 ft (assist by B. Jennings),3,27-24,,
10:22.0,,,27-24,,E. Williams misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by S. Johnson,,27-24,,
10:15.0,B. Jennings makes 3-pt shot from 25 ft,3,30-24,,
10:07.0,,,30-24,,Memphis full timeout
9:59.0,,,30-24,,Shooting foul by A. Baynes (drawn by J. Green)
9:59.0,,,30-26,2,J. Green makes 2-pt shot from 1 ft
9:59.0,,,30-27,1,J. Green makes free throw 1 of 1
9:59.0,Turnover by M. Morris (inbound),,30-27,,
9:49.0,,,30-27,,Turnover by M. Gasol (bad pass)
9:33.0,M. Morris misses 3-pt shot from 25 ft,,30-27,,
9:31.0,,,30-27,,Defensive rebound by M. Gasol
9:16.0,,,30-27,,M. Gasol misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by A. Tolliver,,30-27,,
9:14.0,,,30-27,,Personal foul by M. Gasol (drawn by A. Tolliver)
9:14.0,,,30-27,,J. Green enters the game for M. Gasol
9:14.0,,,30-27,,M. Chalmers enters the game for E. Williams
9:04.0,Turnover by S. Johnson (lost ball; steal by M. Chalmers),,30-27,,
9:00.0,,,30-27,,Offensive foul by V. Carter
9:00.0,,,30-27,,Turnover by V. Carter (offensive foul)
8:44.0,B. Jennings misses 3-pt shot from 22 ft,,30-27,,
8:44.0,,,30-27,,Defensive rebound by V. Carter
8:37.0,,,30-27,,J. Green misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by Team,,30-27,,
8:24.0,Turnover by M. Morris (bad pass),,30-27,,
8:24.0,,,30-27,,Turnover by J. Green (bad pass)
8:10.0,S. Johnson makes 2-pt shot at rim,2,32-27,,
7:55.0,,,32-29,2,J. Green makes 2-pt shot from 16 ft (assist by M. Chalmers)
7:34.0,Offensive foul by A. Baynes,,32-29,,
7:34.0,Turnover by A. Baynes (offensive foul),,32-29,,
7:34.0,,,32-29,,T. Allen enters the game for V. Carter
7:21.0,,,32-31,2,J. Green makes 2-pt shot from 1 ft
6:57.0,Turnover by A. Baynes (lost ball; steal by M. Barnes),,32-31,,
6:46.0,,,32-34,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Green)
6:38.0,Detroit full timeout,,32-34,,
6:38.0,A. Drummond enters the game for S. Johnson,,32-34,,
6:38.0,K. Caldwell-Pope enters the game for B. Jennings,,32-34,,
6:38.0,R. Jackson enters the game for A. Baynes,,32-34,,
6:34.0,,,32-34,,Personal foul by J. Green (drawn by A. Drummond)
6:25.0,,,32-34,,Personal foul by M. Chalmers (drawn by R. Jackson)
6:18.0,A. Drummond makes 2-pt shot from 3 ft (assist by R. Jackson),2,34-34,,
5:58.0,,,34-34,,Shooting foul by M. Morris (drawn by J. Green)
5:58.0,,,34-35,1,J. Green makes free throw 1 of 2
5:58.0,,,34-36,1,J. Green makes free throw 2 of 2
5:35.0,M. Morris misses 3-pt shot from 25 ft,,34-36,,
5:32.0,,,34-36,,Defensive rebound by T. Allen
5:26.0,,,34-36,,T. Allen misses 2-pt shot at rim (block by A. Drummond)
5:22.0,,,34-36,,Offensive rebound by T. Allen
5:19.0,,,34-36,,Offensive foul by J. Green
5:19.0,,,34-36,,Turnover by J. Green (offensive foul)
4:54.0,A. Tolliver makes 3-pt shot from 24 ft (assist by A. Drummond),3,37-36,,
4:39.0,,,37-36,,J. Green misses 2-pt shot from 20 ft
4:39.0,Defensive rebound by A. Tolliver,,37-36,,
4:30.0,Turnover by K. Caldwell-Pope (bad pass),,37-36,,
4:30.0,E. Ilyasova enters the game for A. Tolliver,,37-36,,
4:30.0,,,37-36,,M. Gasol enters the game for J. Green
4:30.0,,,37-36,,Z. Randolph enters the game for M. Barnes
4:24.0,,,37-36,,M. Chalmers misses 2-pt shot from 10 ft
4:22.0,Defensive rebound by A. Drummond,,37-36,,
4:16.0,R. Jackson makes 2-pt shot from 1 ft,2,39-36,,
3:54.0,,,39-36,,J. Green misses 2-pt shot from 11 ft
3:51.0,Defensive rebound by A. Drummond,,39-36,,
3:45.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,41-36,,
3:22.0,,,41-38,2,M. Gasol makes 2-pt shot from 5 ft (assist by J. Green)
3:22.0,,,41-38,,Shooting foul by A. Drummond (drawn by M. Gasol)
3:22.0,,,41-39,1,M. Gasol makes free throw 1 of 1
2:56.0,R. Jackson misses 3-pt shot from 25 ft,,41-39,,
2:55.0,,,41-39,,Defensive rebound by T. Allen
2:50.0,,,41-39,,Turnover by T. Allen (lost ball; steal by E. Ilyasova)
2:35.0,Turnover by A. Drummond (lost ball; steal by T. Allen),,41-39,,
2:27.0,,,41-39,,T. Allen misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by M. Morris,,41-39,,
2:21.0,E. Ilyasova misses 2-pt shot from 2 ft (block by M. Gasol),,41-39,,
2:19.0,,,41-39,,Defensive rebound by Z. Randolph
2:14.0,,,41-41,2,T. Allen makes 2-pt shot at rim (assist by M. Chalmers)
1:57.0,Shooting foul by M. Gasol (drawn by M. Morris),,41-41,,
1:57.0,Detroit full timeout,,41-41,,
1:57.0,,,41-41,,Technical foul by M. Gasol (drawn by M. Morris)
1:57.0,A. Baynes enters the game for E. Ilyasova,,41-41,,
1:57.0,A. Tolliver enters the game for A. Drummond,,41-41,,
1:57.0,R. Jackson makes technical free throw,1,42-41,,
1:57.0,,,42-41,,C. Lee enters the game for M. Gasol
1:57.0,M. Morris makes free throw 1 of 2,1,43-41,,
1:57.0,M. Morris misses free throw 2 of 2,,43-41,,
1:56.0,,,43-41,,Defensive rebound by C. Lee
1:35.0,,,43-44,3,J. Green makes 3-pt shot from 25 ft (assist by Z. Randolph)
1:21.0,Offensive foul by A. Baynes,,43-44,,
1:21.0,Turnover by A. Baynes (offensive foul),,43-44,,
1:21.0,J. Anthony enters the game for A. Baynes,,43-44,,
1:04.0,,,43-44,,Z. Randolph misses 2-pt shot from 20 ft
1:04.0,,,43-44,,Offensive rebound by J. Green
0:52.0,,,43-46,2,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Chalmers)
0:42.0,Turnover by R. Jackson (bad pass; steal by T. Allen),,43-46,,
0:27.0,,,43-46,,C. Lee misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by M. Morris,,43-46,,
0:23.0,Turnover by M. Morris (bad pass; steal by M. Chalmers),,43-46,,
0:15.0,,,43-46,,Memphis full timeout
0:15.0,,,43-46,,M. Barnes enters the game for T. Allen
0:03.0,,,43-48,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Chalmers)
0:00.0,R. Jackson misses 3-pt shot from 27 ft,,43-48,,
0:00.0,Offensive rebound by Team,,43-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,43-50,2,M. Gasol makes 2-pt shot from 4 ft (assist by T. Allen)
11:26.0,Shooting foul by C. Lee (drawn by K. Caldwell-Pope),,43-50,,
11:26.0,K. Caldwell-Pope makes free throw 1 of 2,1,44-50,,
11:26.0,K. Caldwell-Pope makes free throw 2 of 2,1,45-50,,
11:08.0,,,45-50,,Turnover by C. Lee (traveling)
10:56.0,Turnover by M. Morris (bad pass; steal by M. Chalmers),,45-50,,
10:50.0,,,45-50,,Turnover by M. Chalmers (bad pass)
10:35.0,A. Drummond makes 2-pt shot from 4 ft (assist by M. Morris),2,47-50,,
10:18.0,,,47-52,2,M. Gasol makes 2-pt shot from 6 ft (assist by C. Lee)
9:59.0,Turnover by K. Caldwell-Pope (bad pass; steal by T. Allen),,47-52,,
9:44.0,,,47-52,,M. Gasol misses 2-pt shot from 18 ft
9:44.0,Defensive rebound by K. Caldwell-Pope,,47-52,,
9:31.0,A. Drummond misses 2-pt shot from 10 ft (block by M. Gasol),,47-52,,
9:29.0,Offensive rebound by A. Drummond,,47-52,,
9:29.0,Shooting foul by M. Chalmers (drawn by A. Drummond),,47-52,,
9:29.0,A. Drummond misses free throw 1 of 2,,47-52,,
9:29.0,Offensive rebound by Team,,47-52,,
9:29.0,A. Drummond misses free throw 2 of 2,,47-52,,
9:28.0,,,47-52,,Defensive rebound by T. Allen
9:06.0,,,47-52,,M. Chalmers misses 3-pt shot from 24 ft
9:06.0,,,47-52,,Offensive rebound by T. Allen
9:03.0,,,47-52,,Shooting foul by R. Jackson (drawn by Z. Randolph)
9:03.0,,,47-52,,Z. Randolph misses free throw 1 of 3
9:03.0,,,47-52,,Offensive rebound by Team
9:03.0,,,47-52,,Z. Randolph misses free throw 2 of 3
9:03.0,,,47-52,,Offensive rebound by Team
9:03.0,,,47-53,1,Z. Randolph makes free throw 3 of 3
8:44.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,49-53,,
8:21.0,,,49-53,,M. Chalmers misses 2-pt shot from 11 ft
8:20.0,,,49-53,,Offensive rebound by Team
8:08.0,,,49-53,,M. Gasol misses 2-pt shot from 13 ft
8:08.0,,,49-53,,Offensive rebound by Team
8:08.0,Loose ball foul by E. Ilyasova (drawn by Z. Randolph),,49-53,,
8:06.0,Personal foul by R. Jackson (drawn by M. Chalmers),,49-53,,
7:47.0,,,49-53,,M. Gasol misses 2-pt shot from 5 ft (block by A. Drummond)
7:44.0,,,49-53,,Offensive rebound by Z. Randolph
7:44.0,,,49-55,2,Z. Randolph makes 2-pt shot at rim
7:29.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,52-55,,
7:08.0,Personal foul by A. Drummond (drawn by M. Gasol),,52-55,,
7:00.0,,,52-57,2,M. Gasol makes 2-pt shot from 12 ft (assist by M. Chalmers)
6:50.0,Technical foul by R. Jackson,,52-57,,
6:50.0,,,52-58,1,C. Lee makes technical free throw
6:39.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson),3,55-58,,
6:27.0,,,55-58,,Offensive foul by M. Gasol
6:27.0,,,55-58,,Turnover by M. Gasol (offensive foul)
6:18.0,A. Drummond makes 2-pt shot at rim (assist by E. Ilyasova),2,57-58,,
5:57.0,,,57-60,2,M. Gasol makes 2-pt shot at rim
5:57.0,,,57-60,,Shooting foul by A. Drummond (drawn by M. Gasol)
5:57.0,,,57-60,,Memphis full timeout
5:57.0,A. Baynes enters the game for A. Drummond,,57-60,,
5:57.0,,,57-61,1,M. Gasol makes free throw 1 of 1
5:44.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,57-61,,
5:43.0,,,57-61,,Defensive rebound by M. Gasol
5:26.0,,,57-63,2,M. Gasol makes 2-pt shot from 7 ft
5:11.0,R. Jackson makes 2-pt shot from 7 ft,2,59-63,,
4:52.0,,,59-63,,M. Gasol misses 2-pt shot from 19 ft
4:51.0,Defensive rebound by A. Baynes,,59-63,,
4:34.0,R. Jackson makes 2-pt shot from 16 ft,2,61-63,,
4:19.0,,,61-63,,Z. Randolph misses 2-pt shot from 18 ft
4:18.0,Defensive rebound by R. Jackson,,61-63,,
4:12.0,E. Ilyasova misses 2-pt shot at rim,,61-63,,
4:09.0,,,61-63,,Defensive rebound by Z. Randolph
4:01.0,Personal foul by R. Jackson (drawn by C. Lee),,61-63,,
4:01.0,,,61-64,1,C. Lee makes free throw 1 of 2
4:01.0,S. Johnson enters the game for R. Jackson,,61-64,,
4:01.0,B. Jennings enters the game for M. Morris,,61-64,,
4:01.0,,,61-64,,J. Green enters the game for M. Gasol
4:01.0,,,61-65,1,C. Lee makes free throw 2 of 2
3:49.0,S. Johnson misses 3-pt shot from 24 ft,,61-65,,
3:49.0,Offensive rebound by Team,,61-65,,
3:49.0,,,61-65,,Loose ball foul by J. Green (drawn by A. Baynes)
3:42.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Chalmers),,61-65,,
3:39.0,,,61-65,,Shooting foul by K. Caldwell-Pope (drawn by C. Lee)
3:39.0,,,61-65,,C. Lee misses free throw 1 of 2
3:39.0,,,61-65,,Offensive rebound by Team
3:39.0,,,61-66,1,C. Lee makes free throw 2 of 2
3:21.0,Turnover by A. Baynes (lost ball; steal by Z. Randolph),,61-66,,
3:04.0,,,61-66,,M. Barnes enters the game for T. Allen
3:04.0,,,61-66,,Shooting foul by K. Caldwell-Pope (drawn by C. Lee)
3:04.0,,,61-67,1,C. Lee makes free throw 1 of 2
3:04.0,,,61-68,1,C. Lee makes free throw 2 of 2
2:57.0,,,61-68,,Personal foul by C. Lee (drawn by K. Caldwell-Pope)
2:57.0,Detroit full timeout,,61-68,,
2:52.0,S. Johnson misses 2-pt shot from 1 ft,,61-68,,
2:50.0,Offensive rebound by E. Ilyasova,,61-68,,
2:48.0,E. Ilyasova misses 2-pt shot from 1 ft,,61-68,,
2:47.0,,,61-68,,Defensive rebound by M. Barnes
2:33.0,,,61-71,3,M. Chalmers makes 3-pt shot from 25 ft (assist by Z. Randolph)
2:16.0,B. Jennings makes 2-pt shot at rim,2,63-71,,
1:53.0,,,63-71,,J. Green misses 2-pt shot from 11 ft
1:53.0,Defensive rebound by Team,,63-71,,
1:53.0,,,63-71,,Loose ball foul by Z. Randolph (drawn by A. Baynes)
1:53.0,A. Baynes misses free throw 1 of 2,,63-71,,
1:53.0,Offensive rebound by Team,,63-71,,
1:53.0,A. Baynes makes free throw 2 of 2,1,64-71,,
1:45.0,,,64-71,,Turnover by C. Lee (bad pass; steal by S. Johnson)
1:40.0,S. Johnson misses 2-pt shot at rim,,64-71,,
1:37.0,,,64-71,,Defensive rebound by J. Green
1:31.0,,,64-74,3,M. Chalmers makes 3-pt shot from 25 ft (assist by Z. Randolph)
1:11.0,A. Baynes misses 2-pt shot from 20 ft,,64-74,,
1:11.0,Offensive rebound by E. Ilyasova,,64-74,,
1:11.0,,,64-74,,Personal foul by M. Barnes (drawn by E. Ilyasova)
1:11.0,E. Ilyasova makes free throw 1 of 2,1,65-74,,
1:11.0,E. Ilyasova makes free throw 2 of 2,1,66-74,,
0:57.0,,,66-76,2,Z. Randolph makes 2-pt shot from 5 ft
0:47.0,Shooting foul by Z. Randolph (drawn by A. Baynes),,66-76,,
0:47.0,A. Baynes makes free throw 1 of 2,1,67-76,,
0:47.0,A. Baynes makes free throw 2 of 2,1,68-76,,
0:29.0,,,68-79,3,M. Barnes makes 3-pt shot from 25 ft (assist by M. Chalmers)
0:10.0,S. Johnson makes 3-pt shot from 24 ft (assist by B. Jennings),3,71-79,,
0:01.0,,,71-79,,M. Chalmers misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by K. Caldwell-Pope,,71-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by S. Johnson (lost ball),,71-79,,
11:32.0,,,71-81,2,J. Green makes 2-pt shot from 12 ft (assist by M. Gasol)
11:10.0,M. Morris makes 2-pt shot from 13 ft,2,73-81,,
10:46.0,,,73-84,3,M. Barnes makes 3-pt shot from 26 ft (assist by M. Gasol)
10:29.0,Turnover by B. Jennings (bad pass; steal by M. Gasol),,73-84,,
10:26.0,,,73-84,,Shooting foul by A. Tolliver (drawn by J. Green)
10:26.0,,,73-85,1,J. Green makes free throw 1 of 2
10:26.0,,,73-86,1,J. Green makes free throw 2 of 2
10:09.0,S. Johnson makes 3-pt shot from 25 ft,3,76-86,,
9:54.0,,,76-86,,Turnover by M. Gasol (bad pass; steal by S. Johnson)
9:51.0,S. Johnson makes 2-pt shot at rim,2,78-86,,
9:32.0,,,78-86,,M. Gasol misses 2-pt shot from 6 ft
9:31.0,Defensive rebound by A. Drummond,,78-86,,
9:14.0,A. Tolliver makes 3-pt shot from 25 ft (assist by M. Morris),3,81-86,,
8:54.0,,,81-86,,C. Lee misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by S. Johnson,,81-86,,
8:34.0,M. Morris makes 2-pt shot from 16 ft,2,83-86,,
8:34.0,,,83-86,,Memphis full timeout
8:34.0,,,83-86,,T. Allen enters the game for C. Lee
8:34.0,,,83-86,,M. Chalmers enters the game for E. Williams
8:16.0,Violation by A. Drummond (def goaltending),,83-86,,
8:16.0,,,83-88,2,M. Chalmers makes 2-pt shot at rim
8:03.0,S. Johnson makes 3-pt shot from 23 ft (assist by M. Morris),3,86-88,,
7:48.0,,,86-88,,Turnover by J. Green (traveling)
7:31.0,M. Morris makes 3-pt shot from 24 ft,3,89-88,,
7:19.0,,,89-88,,Turnover by M. Chalmers (bad pass)
7:19.0,,,89-88,,Loose ball foul by M. Gasol (drawn by A. Drummond)
7:02.0,A. Tolliver makes 2-pt shot from 2 ft,2,91-88,,
6:45.0,,,91-88,,J. Green misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by B. Jennings,,91-88,,
6:38.0,Shooting foul by M. Chalmers (drawn by B. Jennings),,91-88,,
6:38.0,B. Jennings makes free throw 1 of 2,1,92-88,,
6:38.0,B. Jennings makes free throw 2 of 2,1,93-88,,
6:19.0,,,93-88,,M. Gasol misses 2-pt shot from 7 ft
6:17.0,Defensive rebound by M. Morris,,93-88,,
6:04.0,S. Johnson misses 3-pt shot from 23 ft,,93-88,,
6:03.0,,,93-88,,Defensive rebound by T. Allen
5:54.0,,,93-88,,M. Chalmers misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by A. Drummond,,93-88,,
5:42.0,B. Jennings makes 3-pt shot from 25 ft,3,96-88,,
5:14.0,,,96-90,2,M. Gasol makes 2-pt shot from 13 ft
4:55.0,A. Drummond misses 2-pt shot at rim,,96-90,,
4:54.0,,,96-90,,Defensive rebound by M. Barnes
4:48.0,,,96-93,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Chalmers)
4:26.0,M. Morris makes 2-pt shot from 5 ft,2,98-93,,
4:09.0,Official timeout,,98-93,,
4:09.0,,,98-93,,Z. Randolph enters the game for J. Green
4:07.0,,,98-95,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Chalmers)
3:42.0,Turnover by M. Morris (lost ball),,98-95,,
3:27.0,,,98-95,,Shooting foul by A. Drummond (drawn by M. Gasol)
3:27.0,,,98-95,,M. Gasol misses free throw 1 of 2
3:27.0,,,98-95,,Offensive rebound by Team
3:27.0,,,98-96,1,M. Gasol makes free throw 2 of 2
3:07.0,S. Johnson makes 3-pt shot from 27 ft,3,101-96,,
2:46.0,,,101-96,,Turnover by T. Allen (offensive goaltending)
2:46.0,Detroit full timeout,,101-96,,
2:27.0,S. Johnson misses 2-pt shot from 15 ft,,101-96,,
2:25.0,,,101-96,,Defensive rebound by M. Chalmers
2:03.0,,,101-96,,M. Gasol misses 2-pt shot from 20 ft
2:03.0,,,101-96,,Offensive rebound by Team
2:03.0,,,101-96,,Turnover by Team (shot clock)
1:49.0,A. Tolliver misses 3-pt shot from 23 ft,,101-96,,
1:46.0,,,101-96,,Defensive rebound by M. Chalmers
1:36.0,,,101-98,2,M. Chalmers makes 2-pt shot from 2 ft
1:17.0,M. Morris misses 2-pt shot from 14 ft,,101-98,,
1:16.0,,,101-98,,Defensive rebound by M. Gasol
1:00.0,,,101-98,,M. Gasol misses 2-pt shot from 8 ft
0:59.0,Defensive rebound by A. Drummond,,101-98,,
0:59.0,,,101-98,,Personal foul by T. Allen (drawn by A. Drummond)
0:59.0,A. Baynes enters the game for A. Drummond,,101-98,,
0:38.0,B. Jennings misses 3-pt shot from 25 ft,,101-98,,
0:37.0,,,101-98,,Defensive rebound by M. Barnes
0:29.0,,,101-98,,Shooting foul by B. Jennings (drawn by M. Chalmers)
0:29.0,,,101-99,1,M. Chalmers makes free throw 1 of 3
0:29.0,,,101-100,1,M. Chalmers makes free throw 2 of 3
0:29.0,,,101-101,1,M. Chalmers makes free throw 3 of 3
0:08.0,Turnover by M. Morris (lost ball; steal by M. Barnes),,101-101,,
0:01.0,,,101-103,2,M. Chalmers makes 2-pt shot from 14 ft
0:01.0,,,101-103,,Shooting foul by A. Baynes (drawn by M. Chalmers)
0:01.0,,,101-103,,M. Chalmers misses free throw 1 of 1
0:00.0,,,101-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
