time,Phoenix,pts.away,score,pts.home,Philadelphia
11:46.0,,,24-31,,R. Covington misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by M. Morris,,24-31,,
11:33.0,D. Booker makes 2-pt shot from 17 ft (assist by M. Teletovic),2,26-31,,
11:09.0,,,26-33,2,T. McConnell makes 2-pt shot from 6 ft
11:00.0,,,26-33,,Personal foul by N. Stauskas (drawn by D. Booker)
10:59.0,Turnover by T. Warren (bad pass; steal by T. McConnell),,26-33,,
10:55.0,,,26-33,,T. McConnell misses 2-pt shot at rim (block by L. Brown)
10:54.0,,,26-33,,Offensive rebound by R. Covington
10:53.0,,,26-35,2,R. Covington makes 2-pt shot from 2 ft
10:28.0,Shooting foul by R. Covington (drawn by M. Teletovic),,26-35,,
10:28.0,M. Teletovic makes free throw 1 of 2,1,27-35,,
10:28.0,A. Goodwin enters the game for L. Brown,,27-35,,
10:28.0,,,27-35,,J. Grant enters the game for R. Holmes
10:28.0,,,27-35,,I. Canaan enters the game for N. Stauskas
10:28.0,M. Teletovic makes free throw 2 of 2,1,28-35,,
10:13.0,,,28-35,,Offensive foul by R. Covington
10:13.0,,,28-35,,Turnover by R. Covington (offensive foul)
9:52.0,Turnover by M. Morris (step out of bounds),,28-35,,
9:35.0,,,28-35,,I. Canaan misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by M. Morris,,28-35,,
9:16.0,A. Goodwin makes 2-pt shot at rim (assist by D. Booker),2,30-35,,
9:10.0,,,30-35,,Philadelphia full timeout
8:54.0,,,30-37,2,T. McConnell makes 2-pt shot from 5 ft
8:42.0,Offensive foul by M. Morris,,30-37,,
8:42.0,Turnover by M. Morris (offensive foul),,30-37,,
8:28.0,,,30-39,2,I. Canaan makes 2-pt shot from 2 ft (assist by J. Grant)
8:14.0,M. Teletovic makes 2-pt shot from 2 ft (assist by M. Morris),2,32-39,,
7:57.0,,,32-41,2,T. McConnell makes 2-pt shot from 1 ft (assist by J. Grant)
7:40.0,D. Booker misses 2-pt shot from 17 ft,,32-41,,
7:38.0,,,32-41,,Defensive rebound by T. McConnell
7:28.0,Personal foul by A. Goodwin (drawn by J. Grant),,32-41,,
7:28.0,,,32-41,,I. Smith enters the game for T. McConnell
7:28.0,,,32-41,,N. Noel enters the game for H. Thompson
7:28.0,T. Chandler enters the game for M. Teletovic,,32-41,,
7:28.0,S. Weems enters the game for A. Goodwin,,32-41,,
7:13.0,,,32-41,,I. Canaan misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by T. Chandler,,32-41,,
7:07.0,D. Booker misses 2-pt shot at rim,,32-41,,
7:03.0,,,32-41,,Defensive rebound by N. Noel
6:58.0,,,32-41,,R. Covington misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by D. Booker,,32-41,,
6:50.0,,,32-41,,Personal foul by R. Covington (drawn by M. Morris)
6:50.0,,,32-41,,N. Stauskas enters the game for R. Covington
6:44.0,Shooting foul by N. Noel (drawn by T. Chandler),,32-41,,
6:44.0,T. Chandler makes free throw 1 of 2,1,33-41,,
6:44.0,T. Chandler misses free throw 2 of 2,,33-41,,
6:42.0,,,33-41,,Defensive rebound by J. Grant
6:23.0,,,33-43,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
6:03.0,Turnover by T. Chandler (bad pass),,33-43,,
6:03.0,P. Tucker enters the game for T. Warren,,33-43,,
5:44.0,,,33-46,3,I. Canaan makes 3-pt shot from 25 ft
5:24.0,P. Tucker misses 2-pt shot from 7 ft,,33-46,,
5:23.0,Offensive rebound by T. Chandler,,33-46,,
5:23.0,,,33-46,,Personal foul by J. Grant (drawn by T. Chandler)
5:23.0,Official timeout,,33-46,,
5:23.0,A. Len enters the game for M. Morris,,33-46,,
5:23.0,T. Chandler makes free throw 1 of 2,1,34-46,,
5:23.0,T. Chandler makes free throw 2 of 2,1,35-46,,
5:04.0,Personal foul by P. Tucker (drawn by J. Grant),,35-46,,
4:49.0,,,35-46,,I. Smith misses 2-pt shot from 19 ft
4:47.0,,,35-46,,Offensive rebound by N. Noel
4:38.0,,,35-46,,I. Canaan misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by D. Booker,,35-46,,
4:19.0,D. Booker makes 2-pt shot from 2 ft (assist by P. Tucker),2,37-46,,
4:09.0,,,37-46,,Turnover by N. Noel (bad pass)
4:09.0,,,37-46,,H. Thompson enters the game for I. Canaan
4:09.0,,,37-46,,R. Holmes enters the game for J. Grant
3:47.0,A. Len makes 2-pt shot at rim (assist by S. Weems),2,39-46,,
3:34.0,,,39-46,,Shooting foul by T. Chandler (drawn by R. Holmes)
3:34.0,,,39-47,1,R. Holmes makes free throw 1 of 2
3:34.0,,,39-48,1,R. Holmes makes free throw 2 of 2
3:26.0,Shooting foul by R. Holmes (drawn by A. Len),,39-48,,
3:26.0,A. Len makes free throw 1 of 2,1,40-48,,
3:26.0,A. Len makes free throw 2 of 2,1,41-48,,
3:13.0,,,41-48,,I. Smith misses 2-pt shot from 13 ft
3:10.0,Defensive rebound by P. Tucker,,41-48,,
3:08.0,D. Booker makes 2-pt shot at rim (assist by P. Tucker),2,43-48,,
2:45.0,,,43-48,,I. Smith misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by A. Len,,43-48,,
2:35.0,S. Weems makes 2-pt shot from 17 ft,2,45-48,,
2:18.0,,,45-48,,Shooting foul by D. Booker (drawn by N. Stauskas)
2:18.0,Phoenix full timeout,,45-48,,
2:18.0,,,45-49,1,N. Stauskas makes free throw 1 of 2
2:18.0,,,45-50,1,N. Stauskas makes free throw 2 of 2
2:01.0,P. Tucker misses 2-pt shot from 17 ft,,45-50,,
1:59.0,,,45-50,,Defensive rebound by N. Noel
1:47.0,,,45-50,,N. Noel misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by T. Chandler,,45-50,,
1:42.0,Turnover by P. Tucker (step out of bounds),,45-50,,
1:30.0,,,45-50,,H. Thompson misses 2-pt shot from 4 ft
1:28.0,,,45-50,,Offensive rebound by H. Thompson
1:26.0,,,45-50,,H. Thompson misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by T. Chandler,,45-50,,
1:18.0,A. Len misses 2-pt shot from 5 ft,,45-50,,
1:15.0,,,45-50,,Defensive rebound by N. Noel
1:09.0,Personal foul by P. Tucker (drawn by N. Stauskas),,45-50,,
1:09.0,,,45-50,,N. Stauskas misses free throw 1 of 2
1:09.0,,,45-50,,Offensive rebound by Team
1:09.0,,,45-51,1,N. Stauskas makes free throw 2 of 2
0:59.0,S. Weems misses 2-pt shot from 18 ft,,45-51,,
0:57.0,Offensive rebound by A. Len,,45-51,,
0:39.0,D. Booker misses 2-pt shot from 5 ft (block by N. Noel),,45-51,,
0:36.0,,,45-51,,Defensive rebound by H. Thompson
0:33.0,,,45-53,2,N. Stauskas makes 2-pt shot from 2 ft (assist by I. Smith)
0:08.0,D. Booker misses 2-pt shot from 16 ft,,45-53,,
0:06.0,,,45-53,,Defensive rebound by R. Holmes
0:03.0,Personal foul by D. Booker (drawn by I. Smith),,45-53,,
0:03.0,,,45-54,1,I. Smith makes free throw 1 of 2
0:03.0,,,45-54,,J. Grant enters the game for N. Stauskas
0:03.0,,,45-54,,T. McConnell enters the game for R. Holmes
0:03.0,,,45-54,,I. Smith misses free throw 2 of 2
0:03.0,Defensive rebound by A. Len,,45-54,,
0:00.0,S. Weems misses 3-pt shot from 39 ft,,45-54,,
0:00.0,Offensive rebound by Team,,45-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,45-56,2,N. Noel makes 2-pt shot at rim (assist by J. Grant)
11:23.0,Turnover by A. Len (lost ball; steal by N. Noel),,45-56,,
11:21.0,Personal foul by P. Tucker (drawn by I. Smith),,45-56,,
11:07.0,,,45-56,,J. Grant misses 2-pt shot from 10 ft
11:06.0,Defensive rebound by A. Len,,45-56,,
11:05.0,,,45-56,,Personal foul by N. Noel (drawn by A. Goodwin)
11:02.0,Shooting foul by I. Smith (drawn by A. Goodwin),,45-56,,
11:02.0,A. Goodwin misses free throw 1 of 2,,45-56,,
11:02.0,Offensive rebound by Team,,45-56,,
11:02.0,A. Goodwin misses free throw 2 of 2,,45-56,,
11:02.0,,,45-56,,Defensive rebound by J. Grant
10:49.0,,,45-58,2,I. Smith makes 2-pt shot from 11 ft (assist by N. Noel)
10:34.0,Shooting foul by N. Noel (drawn by A. Len),,45-58,,
10:34.0,A. Len makes free throw 1 of 2,1,46-58,,
10:34.0,A. Len makes free throw 2 of 2,1,47-58,,
10:22.0,,,47-61,3,R. Covington makes 3-pt shot from 23 ft (assist by N. Stauskas)
10:14.0,Turnover by T. Chandler (bad pass; steal by N. Stauskas),,47-61,,
10:10.0,,,47-61,,Shooting foul by D. Booker (drawn by N. Stauskas)
10:10.0,,,47-62,1,N. Stauskas makes free throw 1 of 2
10:10.0,,,47-63,1,N. Stauskas makes free throw 2 of 2
9:56.0,D. Booker misses 2-pt shot from 9 ft,,47-63,,
9:54.0,,,47-63,,Defensive rebound by N. Stauskas
9:45.0,,,47-63,,R. Covington misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by A. Len,,47-63,,
9:36.0,T. Chandler misses 2-pt shot at rim,,47-63,,
9:34.0,,,47-63,,Defensive rebound by N. Stauskas
9:32.0,Personal foul by A. Goodwin (drawn by J. Grant),,47-63,,
9:26.0,,,47-63,,Offensive foul by J. Grant
9:26.0,,,47-63,,Turnover by J. Grant (offensive foul)
9:13.0,Turnover by A. Goodwin (bad pass; steal by J. Grant),,47-63,,
8:55.0,,,47-65,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
8:53.0,Phoenix full timeout,,47-65,,
8:53.0,M. Teletovic enters the game for T. Chandler,,47-65,,
8:39.0,A. Goodwin makes 2-pt shot from 2 ft (assist by D. Booker),2,49-65,,
8:31.0,,,49-65,,Turnover by J. Grant (bad pass; steal by P. Tucker)
8:21.0,Turnover by P. Tucker (bad pass; steal by N. Noel),,49-65,,
8:19.0,Personal foul by A. Goodwin (drawn by J. Grant),,49-65,,
8:19.0,S. Weems enters the game for A. Goodwin,,49-65,,
8:01.0,,,49-68,3,R. Covington makes 3-pt shot from 26 ft (assist by N. Stauskas)
7:34.0,S. Weems makes 3-pt shot from 26 ft (assist by D. Booker),3,52-68,,
7:22.0,,,52-68,,I. Smith misses 2-pt shot from 20 ft
7:20.0,Defensive rebound by D. Booker,,52-68,,
7:16.0,D. Booker misses 2-pt shot from 3 ft,,52-68,,
7:14.0,Offensive rebound by Team,,52-68,,
7:14.0,,,52-68,,H. Thompson enters the game for J. Grant
7:14.0,T. Warren enters the game for D. Booker,,52-68,,
7:08.0,A. Len makes 2-pt shot from 18 ft (assist by T. Warren),2,54-68,,
6:51.0,,,54-68,,I. Smith misses 2-pt shot from 21 ft
6:50.0,Defensive rebound by P. Tucker,,54-68,,
6:36.0,S. Weems makes 2-pt shot at rim,2,56-68,,
6:36.0,,,56-68,,Philadelphia full timeout
6:36.0,,,56-68,,I. Canaan enters the game for N. Stauskas
6:18.0,,,56-68,,Turnover by R. Covington (lost ball; steal by P. Tucker)
6:14.0,Shooting foul by N. Noel (drawn by P. Tucker),,56-68,,
6:14.0,P. Tucker makes free throw 1 of 2,1,57-68,,
6:14.0,,,57-68,,R. Holmes enters the game for N. Noel
6:14.0,P. Tucker makes free throw 2 of 2,1,58-68,,
6:01.0,,,58-68,,R. Holmes misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by A. Len,,58-68,,
5:55.0,S. Weems makes 2-pt shot from 1 ft (assist by P. Tucker),2,60-68,,
5:26.0,,,60-68,,R. Holmes misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by P. Tucker,,60-68,,
5:21.0,P. Tucker misses 2-pt shot from 3 ft,,60-68,,
5:20.0,Offensive rebound by A. Len,,60-68,,
5:19.0,A. Len misses 2-pt shot from 1 ft,,60-68,,
5:18.0,,,60-68,,Defensive rebound by R. Holmes
5:06.0,,,60-68,,I. Smith misses 2-pt shot from 3 ft (block by A. Len)
5:06.0,Defensive rebound by S. Weems,,60-68,,
4:57.0,M. Teletovic misses 3-pt shot from 24 ft,,60-68,,
4:57.0,,,60-68,,Defensive rebound by H. Thompson
4:54.0,,,60-71,3,H. Thompson makes 3-pt shot from 25 ft
4:31.0,Offensive foul by T. Warren,,60-71,,
4:31.0,Turnover by T. Warren (offensive foul),,60-71,,
4:31.0,,,60-71,,N. Stauskas enters the game for R. Covington
4:19.0,,,60-71,,Shooting foul by S. Weems (drawn by I. Smith)
4:19.0,,,60-72,1,I. Smith makes free throw 1 of 2
4:19.0,,,60-72,,I. Smith misses free throw 2 of 2
4:13.0,Defensive rebound by T. Warren,,60-72,,
4:09.0,Shooting foul by R. Holmes (drawn by P. Tucker),,60-72,,
4:09.0,P. Tucker makes free throw 1 of 2,1,61-72,,
4:09.0,P. Tucker makes free throw 2 of 2,1,62-72,,
3:49.0,,,62-72,,R. Holmes misses 2-pt shot from 3 ft (block by P. Tucker)
3:49.0,,,62-72,,Offensive rebound by Team
3:45.0,,,62-72,,R. Holmes misses 2-pt shot from 4 ft
3:43.0,Defensive rebound by M. Teletovic,,62-72,,
3:35.0,Turnover by S. Weems (bad pass; steal by I. Canaan),,62-72,,
3:27.0,,,62-74,2,N. Stauskas makes 2-pt shot from 1 ft (assist by I. Smith)
3:26.0,,,62-74,,Personal foul by I. Smith (drawn by P. Tucker)
3:26.0,P. Tucker misses free throw 1 of 2,,62-74,,
3:26.0,Offensive rebound by Team,,62-74,,
3:26.0,,,62-74,,T. McConnell enters the game for I. Smith
3:26.0,M. Morris enters the game for A. Len,,62-74,,
3:26.0,P. Tucker misses free throw 2 of 2,,62-74,,
3:22.0,,,62-74,,Defensive rebound by T. McConnell
3:17.0,,,62-76,2,I. Canaan makes 2-pt shot from 2 ft (assist by T. McConnell)
3:08.0,T. Warren makes 2-pt shot from 15 ft,2,64-76,,
3:02.0,,,64-76,,Philadelphia full timeout
3:02.0,,,64-76,,R. Covington enters the game for I. Canaan
2:54.0,Personal foul by S. Weems (drawn by T. McConnell),,64-76,,
2:54.0,,,64-76,,T. McConnell misses free throw 1 of 2
2:54.0,,,64-76,,Offensive rebound by Team
2:54.0,,,64-76,,T. McConnell misses free throw 2 of 2
2:49.0,Defensive rebound by T. Warren,,64-76,,
2:39.0,M. Teletovic misses 3-pt shot from 28 ft,,64-76,,
2:37.0,,,64-76,,Defensive rebound by R. Holmes
2:32.0,,,64-76,,Turnover by T. McConnell (step out of bounds)
2:15.0,M. Teletovic misses 3-pt shot from 25 ft,,64-76,,
2:14.0,,,64-76,,Defensive rebound by T. McConnell
2:08.0,,,64-76,,R. Covington misses 3-pt shot from 25 ft
2:05.0,,,64-76,,Offensive rebound by R. Holmes
2:03.0,,,64-76,,R. Holmes misses 2-pt shot from 3 ft
2:01.0,Defensive rebound by M. Morris,,64-76,,
1:55.0,M. Teletovic makes 3-pt shot from 27 ft (assist by T. Warren),3,67-76,,
1:41.0,,,67-78,2,N. Stauskas makes 2-pt shot from 2 ft
1:41.0,,,67-78,,Shooting foul by P. Tucker (drawn by N. Stauskas)
1:41.0,,,67-79,1,N. Stauskas makes free throw 1 of 1
1:28.0,T. Warren misses 2-pt shot from 3 ft,,67-79,,
1:27.0,Offensive rebound by T. Warren,,67-79,,
1:27.0,T. Warren misses 2-pt shot from 3 ft (block by R. Holmes),,67-79,,
1:27.0,Offensive rebound by Team,,67-79,,
1:27.0,,,67-79,,J. Grant enters the game for N. Stauskas
1:19.0,M. Morris makes 2-pt shot from 15 ft,2,69-79,,
0:55.0,,,69-81,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
0:41.0,Shooting foul by R. Holmes (drawn by M. Morris),,69-81,,
0:41.0,M. Morris makes free throw 1 of 2,1,70-81,,
0:41.0,M. Morris makes free throw 2 of 2,1,71-81,,
0:35.0,Personal foul by S. Weems (drawn by T. McConnell),,71-81,,
0:35.0,,,71-81,,T. McConnell misses free throw 1 of 2
0:35.0,,,71-81,,Offensive rebound by Team
0:35.0,,,71-82,1,T. McConnell makes free throw 2 of 2
0:23.0,,,71-82,,Personal foul by R. Holmes (drawn by M. Morris)
0:23.0,M. Morris misses free throw 1 of 2,,71-82,,
0:23.0,Offensive rebound by Team,,71-82,,
0:23.0,,,71-82,,N. Stauskas enters the game for R. Holmes
0:23.0,A. Len enters the game for M. Teletovic,,71-82,,
0:23.0,M. Morris misses free throw 2 of 2,,71-82,,
0:22.0,,,71-82,,Defensive rebound by R. Covington
0:00.0,,,71-84,2,R. Covington makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by A. Goodwin (bad pass; steal by T. McConnell),,71-84,,
11:30.0,,,71-87,3,J. Grant makes 3-pt shot from 23 ft (assist by N. Stauskas)
11:18.0,A. Goodwin makes 2-pt shot from 1 ft,2,73-87,,
10:58.0,,,73-87,,Shooting foul by T. Warren (drawn by H. Thompson)
10:58.0,,,73-87,,H. Thompson misses free throw 1 of 3
10:58.0,,,73-87,,Offensive rebound by Team
10:58.0,,,73-88,1,H. Thompson makes free throw 2 of 3
10:58.0,,,73-89,1,H. Thompson makes free throw 3 of 3
10:39.0,,,73-89,,Personal block foul by J. Grant (drawn by M. Morris)
10:39.0,D. Booker enters the game for P. Tucker,,73-89,,
10:35.0,Shooting foul by N. Noel (drawn by A. Goodwin),,73-89,,
10:35.0,A. Goodwin makes free throw 1 of 2,1,74-89,,
10:35.0,,,74-89,,R. Holmes enters the game for N. Noel
10:35.0,A. Goodwin makes free throw 2 of 2,1,75-89,,
10:20.0,,,75-89,,T. McConnell misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by M. Morris,,75-89,,
10:10.0,D. Booker misses 3-pt shot from 24 ft,,75-89,,
10:07.0,Offensive rebound by M. Morris,,75-89,,
10:07.0,M. Morris makes 2-pt shot from 1 ft,2,77-89,,
9:45.0,,,77-91,2,R. Holmes makes 2-pt shot from 1 ft (assist by N. Stauskas)
9:41.0,,,77-91,,Personal foul by T. McConnell (drawn by A. Goodwin)
9:38.0,Turnover by A. Goodwin (lost ball; steal by T. McConnell),,77-91,,
9:35.0,Personal foul by M. Morris (drawn by T. McConnell),,77-91,,
9:27.0,,,77-91,,Shooting foul by A. Len (drawn by J. Grant)
9:27.0,,,77-91,,J. Grant misses free throw 1 of 2
9:27.0,,,77-91,,Offensive rebound by Team
9:27.0,,,77-92,1,J. Grant makes free throw 2 of 2
9:11.0,M. Morris misses 2-pt shot from 8 ft,,77-92,,
9:10.0,,,77-92,,Defensive rebound by R. Holmes
9:02.0,,,77-92,,H. Thompson misses 3-pt shot from 26 ft
9:00.0,Defensive rebound by A. Goodwin,,77-92,,
8:57.0,M. Morris makes 2-pt shot at rim (assist by A. Goodwin),2,79-92,,
8:50.0,,,79-92,,Philadelphia full timeout
8:35.0,Personal foul by M. Morris (drawn by J. Grant),,79-92,,
8:26.0,,,79-94,2,T. McConnell makes 2-pt shot from 14 ft
7:59.0,M. Morris misses 2-pt shot from 18 ft,,79-94,,
7:58.0,Offensive rebound by A. Len,,79-94,,
7:52.0,A. Goodwin makes 2-pt shot from 1 ft (assist by D. Booker),2,81-94,,
7:43.0,,,81-94,,Turnover by J. Grant (lost ball; steal by M. Morris)
7:36.0,D. Booker makes 3-pt shot from 25 ft (assist by A. Goodwin),3,84-94,,
7:16.0,,,84-94,,T. McConnell misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by M. Morris,,84-94,,
7:07.0,A. Goodwin makes 2-pt shot from 17 ft,2,86-94,,
7:06.0,,,86-94,,Philadelphia full timeout
7:06.0,,,86-94,,I. Smith enters the game for T. McConnell
7:06.0,,,86-94,,R. Covington enters the game for J. Grant
7:06.0,S. Weems enters the game for T. Warren,,86-94,,
7:06.0,,,86-94,,N. Noel enters the game for R. Holmes
