time,Atlanta,pts.away,score,pts.home,Indiana
0:30.0,,,25-21,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
0:09.0,A. Horford makes 2-pt shot from 1 ft,2,27-21,,
0:02.0,,,27-21,,P. George misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by T. Sefolosha,,27-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by D. Schroder (bad pass; steal by S. Hill),,27-21,,
11:38.0,,,27-23,2,S. Hill makes 2-pt shot from 2 ft
11:11.0,D. Schroder misses 3-pt shot from 24 ft,,27-23,,
11:10.0,,,27-23,,Defensive rebound by C. Budinger
11:03.0,,,27-23,,Offensive foul by J. Hill
11:03.0,,,27-23,,Turnover by J. Hill (offensive foul)
10:46.0,Shooting foul by J. Hill (drawn by A. Horford),,27-23,,
10:46.0,A. Horford misses free throw 1 of 2,,27-23,,
10:46.0,Offensive rebound by Team,,27-23,,
10:46.0,A. Horford misses free throw 2 of 2,,27-23,,
10:46.0,,,27-23,,Defensive rebound by J. Hill
10:23.0,,,27-23,,S. Hill misses 2-pt shot from 15 ft
10:22.0,Defensive rebound by L. Patterson,,27-23,,
10:10.0,K. Korver misses 3-pt shot from 24 ft,,27-23,,
10:09.0,,,27-23,,Defensive rebound by S. Hill
10:04.0,Shooting block foul by L. Patterson (drawn by R. Stuckey),,27-23,,
10:04.0,,,27-24,1,R. Stuckey makes free throw 1 of 2
10:04.0,,,27-25,1,R. Stuckey makes free throw 2 of 2
9:51.0,Turnover by L. Patterson (bad pass; steal by G. Hill),,27-25,,
9:45.0,,,27-27,2,C. Budinger makes 2-pt shot from 2 ft
9:44.0,Atlanta full timeout,,27-27,,
9:44.0,J. Teague enters the game for K. Korver,,27-27,,
9:44.0,K. Korver enters the game for M. Scott,,27-27,,
9:44.0,M. Muscala enters the game for D. Schroder,,27-27,,
9:33.0,A. Horford misses 2-pt shot from 3 ft,,27-27,,
9:32.0,,,27-27,,Defensive rebound by S. Hill
9:30.0,Personal foul by J. Teague (drawn by G. Hill),,27-27,,
9:19.0,,,27-27,,C. Budinger misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by A. Horford,,27-27,,
8:56.0,A. Horford misses 2-pt shot from 5 ft,,27-27,,
8:54.0,Offensive rebound by A. Horford,,27-27,,
8:54.0,A. Horford makes 2-pt shot from 1 ft,2,29-27,,
8:40.0,,,29-29,2,C. Budinger makes 2-pt shot at rim (assist by R. Stuckey)
8:24.0,Turnover by L. Patterson (bad pass; steal by G. Hill),,29-29,,
8:23.0,Personal foul by L. Patterson (drawn by G. Hill),,29-29,,
8:04.0,,,29-29,,S. Hill misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by K. Korver,,29-29,,
7:53.0,Shooting foul by R. Stuckey (drawn by J. Teague),,29-29,,
7:53.0,J. Teague makes free throw 1 of 2,1,30-29,,
7:53.0,P. Millsap enters the game for A. Horford,,30-29,,
7:53.0,J. Teague makes free throw 2 of 2,1,31-29,,
7:32.0,,,31-29,,J. Hill misses 2-pt shot from 21 ft
7:32.0,Defensive rebound by K. Korver,,31-29,,
7:23.0,P. Millsap misses 2-pt shot from 3 ft,,31-29,,
7:23.0,,,31-29,,Defensive rebound by C. Budinger
7:07.0,,,31-31,2,J. Hill makes 2-pt shot from 9 ft
6:41.0,J. Teague misses 2-pt shot from 8 ft (block by G. Hill),,31-31,,
6:41.0,Offensive rebound by Team,,31-31,,
6:41.0,Turnover by Team (shot clock),,31-31,,
6:41.0,,,31-31,,L. Allen enters the game for S. Hill
6:21.0,,,31-31,,R. Stuckey misses 2-pt shot from 23 ft
6:19.0,Defensive rebound by P. Millsap,,31-31,,
6:10.0,K. Korver misses 3-pt shot from 24 ft,,31-31,,
6:10.0,,,31-31,,Defensive rebound by Team
6:10.0,K. Bazemore enters the game for L. Patterson,,31-31,,
6:10.0,T. Sefolosha enters the game for K. Korver,,31-31,,
5:55.0,Official timeout,,31-31,,
5:55.0,,,31-31,,M. Ellis enters the game for G. Hill
5:43.0,,,31-34,3,M. Ellis makes 3-pt shot from 25 ft
5:24.0,Turnover by T. Sefolosha (traveling),,31-34,,
5:05.0,,,31-34,,R. Stuckey misses 2-pt shot from 19 ft
5:04.0,Defensive rebound by P. Millsap,,31-34,,
4:45.0,Turnover by P. Millsap (lost ball; steal by C. Budinger),,31-34,,
4:27.0,,,31-36,2,C. Budinger makes 2-pt shot from 4 ft
4:13.0,J. Teague makes 2-pt shot from 1 ft,2,33-36,,
3:56.0,,,33-36,,L. Allen misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by T. Sefolosha,,33-36,,
3:38.0,P. Millsap makes 3-pt shot from 22 ft (assist by T. Sefolosha),3,36-36,,
3:37.0,,,36-36,,Indiana full timeout
3:37.0,,,36-36,,G. Hill enters the game for J. Hill
3:37.0,,,36-36,,P. George enters the game for R. Stuckey
3:37.0,,,36-36,,I. Mahinmi enters the game for C. Budinger
3:19.0,,,36-38,2,M. Ellis makes 2-pt shot from 3 ft
2:59.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,38-38,,
2:48.0,,,38-38,,L. Allen misses 2-pt shot from 12 ft
2:47.0,Defensive rebound by T. Sefolosha,,38-38,,
2:31.0,Turnover by P. Millsap (lost ball; steal by M. Ellis),,38-38,,
2:25.0,,,38-38,,M. Ellis misses 2-pt shot from 3 ft
2:23.0,,,38-38,,Offensive rebound by G. Hill
2:17.0,,,38-41,3,G. Hill makes 3-pt shot from 24 ft
2:04.0,M. Muscala misses 2-pt shot at rim,,38-41,,
2:04.0,,,38-41,,Defensive rebound by G. Hill
1:44.0,,,38-43,2,I. Mahinmi makes 2-pt shot from 2 ft
1:44.0,,,38-43,,Shooting foul by M. Muscala (drawn by I. Mahinmi)
1:44.0,A. Horford enters the game for M. Muscala,,38-43,,
1:44.0,,,38-44,1,I. Mahinmi makes free throw 1 of 1
1:37.0,Turnover by J. Teague (bad pass; steal by G. Hill),,38-44,,
1:26.0,,,38-44,,I. Mahinmi misses 2-pt shot from 4 ft (block by P. Millsap)
1:24.0,,,38-44,,Offensive rebound by I. Mahinmi
1:23.0,,,38-46,2,I. Mahinmi makes 2-pt shot from 1 ft
1:21.0,Atlanta full timeout,,38-46,,
1:21.0,K. Korver enters the game for T. Sefolosha,,38-46,,
1:06.0,Turnover by K. Korver (lost ball; steal by P. George),,38-46,,
1:02.0,,,38-46,,Shooting foul by J. Teague (drawn by I. Mahinmi)
1:02.0,,,38-47,1,I. Mahinmi makes free throw 1 of 2
1:02.0,,,38-48,1,I. Mahinmi makes free throw 2 of 2
0:52.0,A. Horford makes 2-pt shot from 21 ft (assist by J. Teague),2,40-48,,
0:45.0,,,40-48,,Shooting foul by J. Teague (drawn by G. Hill)
0:45.0,,,40-49,1,G. Hill makes free throw 1 of 2
0:45.0,,,40-49,,G. Hill misses free throw 2 of 2
0:45.0,,,40-49,,Offensive rebound by L. Allen
0:39.0,,,40-52,3,P. George makes 3-pt shot from 23 ft
0:16.0,K. Bazemore misses 2-pt shot at rim,,40-52,,
0:15.0,,,40-52,,Defensive rebound by I. Mahinmi
0:02.0,,,40-52,,M. Ellis misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by K. Bazemore,,40-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Horford misses 3-pt shot from 24 ft,,40-52,,
11:43.0,,,40-52,,Defensive rebound by I. Mahinmi
11:21.0,,,40-52,,G. Hill misses 3-pt shot from 24 ft
11:21.0,,,40-52,,Offensive rebound by I. Mahinmi
11:08.0,,,40-52,,Turnover by G. Hill (lost ball; steal by P. Millsap)
11:02.0,P. Millsap makes 2-pt shot from 2 ft (assist by K. Bazemore),2,42-52,,
10:38.0,,,42-52,,P. George misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by K. Bazemore,,42-52,,
10:29.0,Shooting foul by I. Mahinmi (drawn by P. Millsap),,42-52,,
10:29.0,P. Millsap makes free throw 1 of 2,1,43-52,,
10:29.0,P. Millsap makes free throw 2 of 2,1,44-52,,
10:17.0,,,44-54,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis)
10:06.0,K. Korver makes 2-pt shot from 21 ft (assist by P. Millsap),2,46-54,,
9:39.0,,,46-54,,G. Hill misses 2-pt shot from 11 ft
9:39.0,Defensive rebound by P. Millsap,,46-54,,
9:25.0,P. Millsap makes 3-pt shot from 26 ft (assist by K. Bazemore),3,49-54,,
9:10.0,,,49-56,2,M. Ellis makes 2-pt shot from 6 ft
8:55.0,A. Horford misses 2-pt shot from 19 ft,,49-56,,
8:55.0,,,49-56,,Defensive rebound by P. George
8:46.0,,,49-56,,P. George misses 2-pt shot from 14 ft
8:45.0,Defensive rebound by J. Teague,,49-56,,
8:37.0,J. Teague misses 2-pt shot from 3 ft (block by M. Ellis),,49-56,,
8:36.0,Offensive rebound by A. Horford,,49-56,,
8:32.0,K. Korver misses 3-pt shot from 23 ft,,49-56,,
8:32.0,,,49-56,,Defensive rebound by L. Allen
8:22.0,,,49-56,,G. Hill misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by A. Horford,,49-56,,
8:09.0,Turnover by P. Millsap (bad pass; steal by L. Allen),,49-56,,
8:03.0,,,49-56,,G. Hill misses 2-pt shot from 2 ft (block by K. Bazemore)
8:01.0,Defensive rebound by A. Horford,,49-56,,
7:50.0,Shooting foul by P. George (drawn by J. Teague),,49-56,,
7:50.0,J. Teague makes free throw 1 of 2,1,50-56,,
7:50.0,J. Teague makes free throw 2 of 2,1,51-56,,
7:27.0,,,51-56,,Turnover by L. Allen (lost ball; steal by P. Millsap)
7:21.0,K. Bazemore misses 2-pt shot from 16 ft,,51-56,,
7:20.0,Offensive rebound by A. Horford,,51-56,,
7:20.0,A. Horford makes 2-pt shot from 1 ft,2,53-56,,
7:20.0,,,53-56,,Indiana full timeout
6:59.0,,,53-56,,L. Allen misses 2-pt shot from 3 ft (block by K. Bazemore)
6:59.0,,,53-56,,Offensive rebound by Team
6:57.0,,,53-56,,Turnover by L. Allen (lost ball)
6:49.0,K. Korver misses 3-pt shot from 25 ft,,53-56,,
6:47.0,,,53-56,,Defensive rebound by P. George
6:42.0,,,53-56,,Offensive charge foul by P. George
6:42.0,,,53-56,,Turnover by P. George (offensive foul)
6:33.0,Shooting foul by L. Allen (drawn by J. Teague),,53-56,,
6:33.0,J. Teague makes free throw 1 of 2,1,54-56,,
6:33.0,T. Sefolosha enters the game for K. Korver,,54-56,,
6:33.0,J. Teague makes free throw 2 of 2,1,55-56,,
6:13.0,,,55-56,,Turnover by M. Ellis (lost ball; steal by P. Millsap)
6:10.0,Shooting foul by L. Allen (drawn by J. Teague),,55-56,,
6:10.0,J. Teague misses free throw 1 of 2,,55-56,,
6:10.0,Offensive rebound by Team,,55-56,,
6:10.0,,,55-56,,J. Hill enters the game for L. Allen
6:10.0,J. Teague misses free throw 2 of 2,,55-56,,
6:10.0,,,55-56,,Defensive rebound by J. Hill
5:56.0,,,55-56,,P. George misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by J. Teague,,55-56,,
5:51.0,J. Teague misses 2-pt shot from 1 ft,,55-56,,
5:50.0,,,55-56,,Defensive rebound by P. George
5:31.0,,,55-58,2,M. Ellis makes 2-pt shot from 3 ft
5:08.0,P. Millsap makes 2-pt shot from 2 ft (assist by K. Bazemore),2,57-58,,
4:55.0,,,57-60,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by P. George)
4:41.0,P. Millsap misses 3-pt shot from 25 ft,,57-60,,
4:40.0,Offensive rebound by P. Millsap,,57-60,,
4:35.0,J. Teague makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,60-60,,
4:21.0,,,60-62,2,M. Ellis makes 2-pt shot from 1 ft (assist by J. Hill)
4:03.0,J. Teague misses 2-pt shot from 2 ft,,60-62,,
4:02.0,Offensive rebound by K. Bazemore,,60-62,,
3:54.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap),2,62-62,,
3:42.0,,,62-64,2,J. Hill makes 2-pt shot from 1 ft (assist by I. Mahinmi)
3:42.0,Atlanta full timeout,,62-64,,
3:42.0,,,62-64,,R. Stuckey enters the game for I. Mahinmi
3:42.0,,,62-64,,S. Hill enters the game for G. Hill
3:42.0,M. Scott enters the game for K. Bazemore,,62-64,,
3:42.0,D. Schroder enters the game for A. Horford,,62-64,,
3:31.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,64-64,,
3:18.0,,,64-64,,Turnover by S. Hill (bad pass; steal by M. Scott)
3:13.0,P. Millsap misses 2-pt shot from 1 ft,,64-64,,
3:13.0,,,64-64,,Defensive rebound by Team
3:06.0,,,64-64,,M. Ellis misses 2-pt shot at rim
3:05.0,,,64-64,,Offensive rebound by M. Ellis
3:05.0,,,64-66,2,M. Ellis makes 2-pt shot at rim
2:48.0,D. Schroder misses 2-pt shot from 9 ft,,64-66,,
2:47.0,,,64-66,,Defensive rebound by Team
2:34.0,,,64-69,3,M. Ellis makes 3-pt shot from 25 ft
2:20.0,D. Schroder misses 3-pt shot from 25 ft,,64-69,,
2:19.0,Offensive rebound by T. Sefolosha,,64-69,,
2:08.0,D. Schroder makes 2-pt shot from 1 ft,2,66-69,,
1:50.0,,,66-71,2,J. Hill makes 2-pt shot from 2 ft (assist by P. George)
1:50.0,,,66-71,,Shooting foul by M. Scott (drawn by J. Hill)
1:50.0,,,66-72,1,J. Hill makes free throw 1 of 1
1:37.0,P. Millsap misses 3-pt shot from 24 ft,,66-72,,
1:36.0,Offensive rebound by Team,,66-72,,
1:36.0,K. Korver enters the game for J. Teague,,66-72,,
1:22.0,D. Schroder misses 2-pt shot from 3 ft,,66-72,,
1:21.0,,,66-72,,Defensive rebound by J. Hill
1:15.0,,,66-74,2,R. Stuckey makes 2-pt shot from 1 ft
1:00.0,P. Millsap misses 2-pt shot from 2 ft (block by J. Hill),,66-74,,
0:59.0,,,66-74,,Defensive rebound by R. Stuckey
0:49.0,,,66-74,,P. George misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by P. Millsap,,66-74,,
0:39.0,K. Korver misses 3-pt shot from 24 ft,,66-74,,
0:39.0,Offensive rebound by M. Scott,,66-74,,
0:32.0,Turnover by D. Schroder (lost ball; steal by P. George),,66-74,,
0:08.0,,,66-74,,M. Ellis misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by D. Schroder,,66-74,,
0:01.0,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder),2,68-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,68-74,,J. Hill misses 2-pt shot from 18 ft (block by A. Horford)
11:36.0,,,68-74,,Offensive rebound by Team
11:36.0,,,68-74,,Turnover by Team (shot clock)
11:15.0,D. Schroder misses 2-pt shot from 12 ft,,68-74,,
11:14.0,,,68-74,,Defensive rebound by J. Hill
11:10.0,,,68-74,,R. Stuckey misses 2-pt shot from 2 ft (block by K. Korver)
11:10.0,,,68-74,,Offensive rebound by Team
11:10.0,L. Patterson enters the game for D. Schroder,,68-74,,
11:09.0,,,68-74,,Turnover by S. Hill (bad pass; steal by L. Patterson)
11:01.0,T. Sefolosha misses 2-pt shot from 13 ft,,68-74,,
11:00.0,,,68-74,,Defensive rebound by S. Hill
10:52.0,,,68-76,2,C. Budinger makes 2-pt shot from 1 ft (assist by S. Hill)
10:32.0,L. Patterson makes 3-pt shot from 24 ft,3,71-76,,
10:12.0,,,71-76,,Shooting foul by M. Scott (drawn by J. Hill)
10:12.0,,,71-76,,J. Hill misses free throw 1 of 2
10:12.0,,,71-76,,Offensive rebound by Team
10:12.0,,,71-76,,J. Hill misses free throw 2 of 2
10:12.0,Defensive rebound by M. Scott,,71-76,,
9:58.0,A. Horford makes 2-pt shot from 5 ft,2,73-76,,
9:32.0,,,73-78,2,C. Budinger makes 2-pt shot from 14 ft
9:25.0,,,73-78,,Personal foul by G. Hill (drawn by L. Patterson)
9:17.0,K. Korver misses 3-pt shot from 24 ft,,73-78,,
9:17.0,,,73-78,,Defensive rebound by J. Hill
9:03.0,,,73-80,2,S. Hill makes 2-pt shot from 5 ft
8:46.0,,,73-80,,Personal block foul by C. Budinger (drawn by T. Sefolosha)
8:46.0,Official timeout,,73-80,,
8:46.0,J. Teague enters the game for T. Sefolosha,,73-80,,
8:46.0,P. Millsap enters the game for M. Scott,,73-80,,
8:33.0,Turnover by J. Teague (lost ball; steal by J. Hill),,73-80,,
8:28.0,,,73-82,2,S. Hill makes 2-pt shot from 3 ft
8:01.0,L. Patterson misses 2-pt shot from 21 ft,,73-82,,
8:00.0,Offensive rebound by P. Millsap,,73-82,,
8:00.0,P. Millsap makes 2-pt shot from 1 ft,2,75-82,,
7:43.0,,,75-82,,Turnover by J. Hill (lost ball; steal by P. Millsap)
7:38.0,Turnover by A. Horford (lost ball; steal by C. Budinger),,75-82,,
7:23.0,,,75-82,,Shooting foul by K. Korver (drawn by J. Hill)
7:23.0,,,75-82,,J. Hill misses free throw 1 of 2
7:23.0,,,75-82,,Offensive rebound by Team
7:23.0,K. Bazemore enters the game for K. Korver,,75-82,,
7:23.0,,,75-82,,J. Hill misses free throw 2 of 2
7:23.0,Defensive rebound by A. Horford,,75-82,,
7:04.0,L. Patterson makes 2-pt shot from 2 ft,2,77-82,,
6:54.0,,,77-84,2,R. Stuckey makes 2-pt shot from 15 ft
6:38.0,Turnover by K. Bazemore (bad pass; steal by S. Hill),,77-84,,
6:29.0,,,77-86,2,S. Hill makes 2-pt shot from 3 ft
6:20.0,Atlanta full timeout,,77-86,,
6:20.0,,,77-86,,M. Ellis enters the game for G. Hill
6:20.0,,,77-86,,I. Mahinmi enters the game for J. Hill
6:20.0,T. Sefolosha enters the game for A. Horford,,77-86,,
6:20.0,M. Scott enters the game for L. Patterson,,77-86,,
6:14.0,Turnover by J. Teague (bad pass),,77-86,,
6:06.0,,,77-86,,Turnover by M. Ellis (bad pass; steal by J. Teague)
6:06.0,,,77-86,,Personal foul by I. Mahinmi (drawn by J. Teague)
6:06.0,,,77-86,,P. George enters the game for C. Budinger
5:54.0,P. Millsap misses 2-pt shot from 18 ft,,77-86,,
5:53.0,,,77-86,,Defensive rebound by R. Stuckey
5:44.0,,,77-86,,R. Stuckey misses 2-pt shot from 3 ft
5:43.0,,,77-86,,Offensive rebound by I. Mahinmi
5:28.0,,,77-86,,R. Stuckey misses 3-pt shot from 22 ft
5:28.0,Defensive rebound by Team,,77-86,,
5:28.0,,,77-86,,Loose ball foul by P. George (drawn by M. Scott)
5:10.0,T. Sefolosha misses 3-pt shot from 25 ft,,77-86,,
5:10.0,,,77-86,,Defensive rebound by R. Stuckey
5:01.0,,,77-86,,I. Mahinmi misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by K. Bazemore,,77-86,,
4:57.0,Turnover by K. Bazemore (bad pass; steal by R. Stuckey),,77-86,,
4:37.0,,,77-86,,M. Ellis misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by T. Sefolosha,,77-86,,
4:31.0,Shooting foul by R. Stuckey (drawn by J. Teague),,77-86,,
4:31.0,J. Teague misses free throw 1 of 2,,77-86,,
4:31.0,Offensive rebound by Team,,77-86,,
4:31.0,K. Korver enters the game for M. Scott,,77-86,,
4:31.0,J. Teague makes free throw 2 of 2,1,78-86,,
4:26.0,,,78-86,,Indiana full timeout
4:26.0,,,78-86,,G. Hill enters the game for R. Stuckey
4:17.0,,,78-86,,Turnover by P. George (bad pass; steal by T. Sefolosha)
4:13.0,T. Sefolosha makes 2-pt shot from 2 ft,2,80-86,,
3:51.0,,,80-88,2,G. Hill makes 2-pt shot from 9 ft
3:37.0,K. Korver misses 3-pt shot from 24 ft,,80-88,,
3:36.0,,,80-88,,Defensive rebound by P. George
3:23.0,,,80-90,2,S. Hill makes 2-pt shot at rim
3:10.0,Turnover by J. Teague (bad pass; steal by G. Hill),,80-90,,
2:59.0,,,80-90,,M. Ellis misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by T. Sefolosha,,80-90,,
2:53.0,,,80-90,,Personal foul by P. George (drawn by T. Sefolosha)
2:53.0,T. Sefolosha makes free throw 1 of 2,1,81-90,,
2:53.0,A. Horford enters the game for K. Korver,,81-90,,
2:53.0,T. Sefolosha makes free throw 2 of 2,1,82-90,,
2:39.0,,,82-90,,M. Ellis misses 2-pt shot from 3 ft
2:39.0,Defensive rebound by T. Sefolosha,,82-90,,
2:34.0,,,82-90,,Personal foul by P. George (drawn by K. Bazemore)
2:34.0,K. Bazemore makes free throw 1 of 2,1,83-90,,
2:34.0,K. Bazemore makes free throw 2 of 2,1,84-90,,
2:15.0,,,84-90,,I. Mahinmi misses 2-pt shot from 10 ft
2:14.0,,,84-90,,Offensive rebound by Team
1:58.0,,,84-90,,P. George misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by P. Millsap,,84-90,,
1:43.0,Atlanta full timeout,,84-90,,
