time,Oklahoma City,pts.away,score,pts.home,New Orleans
6:41.0,S. Ibaka misses 2-pt shot from 15 ft,,44-46,,
6:40.0,,,44-46,,Defensive rebound by A. Ajinca
6:32.0,,,44-46,,N. Cole misses 2-pt shot from 1 ft
6:30.0,,,44-46,,Offensive rebound by R. Anderson
6:30.0,,,44-46,,R. Anderson misses 2-pt shot at rim
6:28.0,,,44-46,,Offensive rebound by R. Anderson
6:28.0,,,44-46,,Shooting foul by S. Ibaka (drawn by R. Anderson)
6:28.0,,,44-47,1,R. Anderson makes free throw 1 of 2
6:28.0,A. Roberson enters the game for K. Singler,,44-47,,
6:28.0,D. Waiters enters the game for K. Durant,,44-47,,
6:28.0,,,44-48,1,R. Anderson makes free throw 2 of 2
6:16.0,R. Westbrook makes 2-pt shot from 2 ft,2,46-48,,
5:55.0,,,46-48,,R. Anderson misses 2-pt shot from 8 ft
5:54.0,Defensive rebound by S. Ibaka,,46-48,,
5:46.0,R. Foye misses 3-pt shot from 26 ft,,46-48,,
5:45.0,,,46-48,,Defensive rebound by A. Ajinca
5:31.0,,,46-48,,N. Cole misses 2-pt shot from 16 ft
5:30.0,Defensive rebound by R. Foye,,46-48,,
5:20.0,S. Ibaka makes 2-pt shot from 1 ft (assist by D. Waiters),2,48-48,,
5:03.0,,,48-48,,N. Cole misses 2-pt shot from 10 ft
5:00.0,,,48-48,,Offensive rebound by R. Anderson
5:00.0,,,48-48,,R. Anderson misses 2-pt shot at rim
4:58.0,,,48-48,,Offensive rebound by N. Cole
4:57.0,,,48-48,,Turnover by N. Cole (lost ball; steal by D. Waiters)
4:57.0,,,48-48,,Loose ball foul by N. Cole (drawn by D. Waiters)
4:57.0,,,48-48,,A. Davis enters the game for A. Ajinca
4:57.0,S. Adams enters the game for R. Foye,,48-48,,
4:43.0,R. Westbrook misses 2-pt shot from 17 ft,,48-48,,
4:42.0,,,48-48,,Defensive rebound by N. Cole
4:27.0,,,48-48,,A. Davis misses 2-pt shot from 9 ft
4:26.0,,,48-48,,Offensive rebound by R. Anderson
4:26.0,,,48-50,2,R. Anderson makes 2-pt shot from 1 ft
4:12.0,R. Westbrook makes 2-pt shot from 2 ft,2,50-50,,
4:12.0,Shooting foul by A. Davis (drawn by R. Westbrook),,50-50,,
4:12.0,R. Westbrook makes free throw 1 of 1,1,51-50,,
3:59.0,,,51-52,2,R. Anderson makes 2-pt shot from 2 ft
3:47.0,Shooting foul by R. Anderson (drawn by R. Westbrook),,51-52,,
