time,Orlando,pts.away,score,pts.home,LA Lakers
5:48.0,,,35-31,,N. Young enters the game for B. Bass
5:48.0,,,35-31,,R. Hibbert enters the game for L. Nance
5:48.0,,,35-31,,J. Randle enters the game for M. World Peace
5:31.0,,,35-31,,J. Randle misses 2-pt shot from 5 ft
5:29.0,Defensive rebound by V. Oladipo,,35-31,,
5:19.0,J. Smith misses 2-pt shot from 17 ft,,35-31,,
5:18.0,,,35-31,,Defensive rebound by R. Hibbert
5:08.0,,,35-31,,Turnover by M. Huertas (lost ball; steal by C. Watson)
5:03.0,V. Oladipo misses 2-pt shot from 1 ft (block by R. Hibbert),,35-31,,
5:03.0,Offensive rebound by Team,,35-31,,
4:53.0,E. Fournier makes 2-pt shot from 1 ft (assist by C. Watson),2,37-31,,
4:37.0,,,37-34,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
4:22.0,Shooting foul by R. Hibbert (drawn by C. Watson),,37-34,,
4:22.0,C. Watson makes free throw 1 of 2,1,38-34,,
4:22.0,C. Watson makes free throw 2 of 2,1,39-34,,
4:06.0,,,39-34,,N. Young misses 2-pt shot from 17 ft
4:06.0,,,39-34,,Offensive rebound by Team
4:06.0,Loose ball foul by J. Smith,,39-34,,
4:06.0,,,39-34,,J. Clarkson enters the game for M. Huertas
4:06.0,E. Ilyasova enters the game for J. Smith,,39-34,,
3:46.0,,,39-34,,D. Russell misses 2-pt shot from 2 ft
3:43.0,Defensive rebound by C. Watson,,39-34,,
3:39.0,E. Fournier misses 3-pt shot from 25 ft,,39-34,,
3:37.0,,,39-34,,Defensive rebound by J. Randle
3:17.0,,,39-37,3,J. Clarkson makes 3-pt shot from 27 ft
3:01.0,A. Gordon makes 2-pt shot at rim (assist by C. Watson),2,41-37,,
2:35.0,,,41-37,,N. Young misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by A. Gordon,,41-37,,
2:26.0,E. Fournier makes 3-pt shot from 24 ft (assist by C. Watson),3,44-37,,
2:16.0,Personal foul by E. Ilyasova,,44-37,,
2:16.0,Orlando full timeout,,44-37,,
2:16.0,,,44-38,1,R. Hibbert makes free throw 1 of 2
2:16.0,,,44-39,1,R. Hibbert makes free throw 2 of 2
2:09.0,,,44-39,,Personal foul by J. Clarkson
2:00.0,E. Fournier misses 3-pt shot from 24 ft,,44-39,,
1:59.0,,,44-39,,Defensive rebound by J. Randle
1:47.0,,,44-41,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
1:47.0,,,44-41,,Shooting foul by A. Gordon (drawn by J. Randle)
1:47.0,,,44-41,,J. Randle misses free throw 1 of 1
1:43.0,,,44-41,,Offensive rebound by R. Hibbert
1:42.0,,,44-43,2,R. Hibbert makes 2-pt shot at rim
1:23.0,E. Fournier makes 2-pt shot from 4 ft,2,46-43,,
1:23.0,Shooting foul by J. Randle (drawn by E. Fournier),,46-43,,
1:23.0,E. Fournier makes free throw 1 of 1,1,47-43,,
1:08.0,,,47-43,,Shooting foul by E. Ilyasova (drawn by R. Hibbert)
1:08.0,,,47-43,,R. Hibbert misses free throw 1 of 2
1:08.0,,,47-43,,Offensive rebound by Team
1:08.0,,,47-43,,R. Hibbert misses free throw 2 of 2
1:05.0,Defensive rebound by A. Gordon,,47-43,,
0:50.0,E. Fournier makes 2-pt shot from 1 ft,2,49-43,,
0:43.0,,,49-43,,D. Russell misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by E. Fournier,,49-43,,
0:37.0,Shooting foul by D. Russell (drawn by V. Oladipo),,49-43,,
0:37.0,V. Oladipo makes free throw 1 of 2,1,50-43,,
0:37.0,V. Oladipo makes free throw 2 of 2,1,51-43,,
0:14.0,,,51-45,2,D. Russell makes 2-pt shot from 5 ft (assist by R. Hibbert)
0:00.0,Turnover by V. Oladipo (traveling),,51-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,E. Payton misses 2-pt shot from 17 ft,,51-45,,
11:41.0,,,51-45,,Defensive rebound by J. Clarkson
11:18.0,,,51-47,2,D. Russell makes 2-pt shot from 2 ft (assist by N. Young)
11:03.0,V. Oladipo makes 2-pt shot from 18 ft (assist by E. Payton),2,53-47,,
10:47.0,,,53-49,2,R. Hibbert makes 2-pt shot from 19 ft (assist by J. Clarkson)
10:20.0,V. Oladipo misses 2-pt shot from 18 ft,,53-49,,
10:18.0,,,53-49,,Defensive rebound by J. Clarkson
10:06.0,Personal foul by V. Oladipo,,53-49,,
9:59.0,,,53-51,2,D. Russell makes 2-pt shot from 2 ft
9:44.0,J. Smith makes 2-pt shot from 7 ft (assist by V. Oladipo),2,55-51,,
9:24.0,Personal foul by J. Smith,,55-51,,
9:20.0,,,55-53,2,D. Russell makes 2-pt shot from 1 ft
9:20.0,,,55-53,,Shooting foul by E. Payton (drawn by D. Russell)
9:20.0,,,55-54,1,D. Russell makes free throw 1 of 1
8:56.0,Turnover by Team (shot clock),,55-54,,
8:32.0,,,55-54,,J. Clarkson misses 3-pt shot from 31 ft
8:31.0,Defensive rebound by E. Fournier,,55-54,,
8:25.0,Shooting foul by R. Hibbert (drawn by A. Gordon),,55-54,,
8:25.0,A. Gordon misses free throw 1 of 2,,55-54,,
8:25.0,Offensive rebound by Team,,55-54,,
8:25.0,C. Watson enters the game for E. Payton,,55-54,,
8:25.0,A. Gordon makes free throw 2 of 2,1,56-54,,
8:10.0,,,56-54,,Turnover by D. Russell (lost ball; steal by A. Gordon)
8:05.0,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo),2,58-54,,
7:49.0,Personal foul by J. Smith,,58-54,,
7:49.0,D. Dedmon enters the game for J. Smith,,58-54,,
7:39.0,,,58-56,2,D. Russell makes 2-pt shot from 7 ft
7:21.0,V. Oladipo makes 2-pt shot from 4 ft,2,60-56,,
7:07.0,,,60-58,2,J. Clarkson makes 2-pt shot from 7 ft (assist by R. Hibbert)
6:55.0,,,60-58,,Personal foul by J. Clarkson
6:50.0,Shooting foul by R. Hibbert (drawn by E. Fournier),,60-58,,
6:50.0,E. Fournier misses free throw 1 of 2,,60-58,,
6:50.0,Offensive rebound by Team,,60-58,,
6:50.0,E. Fournier makes free throw 2 of 2,1,61-58,,
6:35.0,,,61-60,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
6:35.0,,,61-60,,Shooting foul by A. Gordon (drawn by J. Randle)
6:35.0,,,61-61,1,J. Randle makes free throw 1 of 1
6:35.0,Technical foul by D. Dedmon,,61-61,,
6:35.0,,,61-62,1,J. Clarkson makes technical free throw
6:26.0,Turnover by C. Watson (lost ball; steal by D. Russell),,61-62,,
6:20.0,,,61-64,2,D. Russell makes 2-pt shot from 3 ft
6:09.0,E. Fournier makes 2-pt shot from 8 ft,2,63-64,,
5:56.0,,,63-64,,D. Russell misses 2-pt shot from 16 ft
5:55.0,,,63-64,,Offensive rebound by J. Randle
5:55.0,,,63-64,,Shooting foul by D. Dedmon (drawn by J. Randle)
5:55.0,,,63-64,,LA Lakers full timeout
5:55.0,,,63-64,,M. World Peace enters the game for N. Young
5:55.0,,,63-65,1,J. Randle makes free throw 1 of 2
5:55.0,,,63-66,1,J. Randle makes free throw 2 of 2
5:48.0,Offensive foul by C. Watson,,63-66,,
5:48.0,Turnover by C. Watson (offensive foul),,63-66,,
5:43.0,Personal foul by E. Fournier,,63-66,,
5:43.0,,,63-66,,M. World Peace misses free throw 1 of 2
5:43.0,,,63-66,,Offensive rebound by Team
5:43.0,,,63-67,1,M. World Peace makes free throw 2 of 2
5:37.0,,,63-67,,Personal foul by M. World Peace
5:31.0,,,63-67,,Personal foul by M. World Peace
5:31.0,E. Fournier makes free throw 1 of 2,1,64-67,,
5:31.0,E. Ilyasova enters the game for A. Gordon,,64-67,,
5:31.0,E. Fournier makes free throw 2 of 2,1,65-67,,
5:13.0,,,65-70,3,J. Clarkson makes 3-pt shot from 24 ft
5:01.0,,,65-70,,Personal foul by M. World Peace
5:01.0,V. Oladipo makes free throw 1 of 2,1,66-70,,
5:01.0,V. Oladipo makes free throw 2 of 2,1,67-70,,
4:50.0,,,67-70,,J. Clarkson misses 3-pt shot from 25 ft
4:48.0,,,67-70,,Offensive rebound by J. Randle
4:43.0,,,67-72,2,J. Randle makes 2-pt shot at rim
4:30.0,Turnover by E. Fournier (lost ball; steal by J. Randle),,67-72,,
4:27.0,,,67-74,2,J. Randle makes 2-pt shot at rim
4:26.0,Orlando full timeout,,67-74,,
4:26.0,,,67-74,,B. Bass enters the game for R. Hibbert
4:03.0,E. Fournier makes 2-pt shot from 5 ft (assist by E. Ilyasova),2,69-74,,
3:51.0,Personal foul by E. Ilyasova,,69-74,,
3:51.0,,,69-75,1,J. Randle makes free throw 1 of 2
3:51.0,,,69-75,,M. Huertas enters the game for J. Clarkson
3:51.0,,,69-76,1,J. Randle makes free throw 2 of 2
3:43.0,E. Ilyasova misses 3-pt shot from 25 ft,,69-76,,
3:43.0,,,69-76,,Defensive rebound by Team
3:20.0,,,69-79,3,M. Huertas makes 3-pt shot from 25 ft (assist by M. World Peace)
3:04.0,,,69-79,,Personal foul by J. Randle
3:04.0,C. Watson misses free throw 1 of 2,,69-79,,
3:04.0,Offensive rebound by Team,,69-79,,
3:04.0,A. Nicholson enters the game for E. Ilyasova,,69-79,,
3:04.0,C. Watson makes free throw 2 of 2,1,70-79,,
2:55.0,,,70-79,,Turnover by M. Huertas (lost ball; steal by D. Dedmon)
2:49.0,,,70-79,,L. Nance enters the game for J. Randle
2:34.0,V. Oladipo makes 3-pt shot from 25 ft,3,73-79,,
2:17.0,,,73-79,,B. Bass misses 2-pt shot at rim (block by V. Oladipo)
2:15.0,Defensive rebound by D. Dedmon,,73-79,,
2:12.0,Shooting foul by D. Russell (drawn by C. Watson),,73-79,,
2:12.0,C. Watson makes free throw 1 of 2,1,74-79,,
2:12.0,,,74-79,,R. Kelly enters the game for M. World Peace
2:12.0,M. Hezonja enters the game for E. Fournier,,74-79,,
2:12.0,C. Watson makes free throw 2 of 2,1,75-79,,
1:55.0,,,75-82,3,D. Russell makes 3-pt shot from 26 ft (assist by M. Huertas)
1:43.0,V. Oladipo misses 2-pt shot from 20 ft,,75-82,,
1:42.0,,,75-82,,Defensive rebound by M. Huertas
1:24.0,,,75-82,,R. Kelly misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by D. Dedmon,,75-82,,
1:03.0,Turnover by V. Oladipo (lost ball; steal by D. Russell),,75-82,,
0:58.0,,,75-82,,D. Russell misses 3-pt shot from 24 ft
0:56.0,,,75-82,,Offensive rebound by L. Nance
0:55.0,,,75-82,,L. Nance misses 2-pt shot at rim
0:53.0,,,75-82,,Offensive rebound by R. Kelly
0:53.0,,,75-82,,Shooting foul by C. Watson (drawn by R. Kelly)
0:53.0,,,75-83,1,R. Kelly makes free throw 1 of 2
0:53.0,,,75-84,1,R. Kelly makes free throw 2 of 2
0:43.0,C. Watson misses 2-pt shot from 19 ft,,75-84,,
0:40.0,,,75-84,,Defensive rebound by L. Nance
0:23.0,,,75-84,,D. Russell misses 2-pt shot from 16 ft
0:22.0,Defensive rebound by V. Oladipo,,75-84,,
0:01.0,V. Oladipo makes 2-pt shot from 18 ft,2,77-84,,
0:01.0,,,77-84,,L. Nance misses 3-pt shot from 60 ft
0:00.0,,,77-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-84,,Turnover by L. Nance (traveling)
11:31.0,A. Nicholson makes 2-pt shot from 3 ft,2,79-84,,
11:13.0,,,79-84,,M. Huertas misses 3-pt shot from 23 ft
11:12.0,,,79-84,,Offensive rebound by L. Nance
11:10.0,,,79-86,2,B. Bass makes 2-pt shot at rim (assist by D. Russell)
10:55.0,A. Nicholson misses 2-pt shot from 7 ft,,79-86,,
10:53.0,,,79-86,,Defensive rebound by M. Huertas
10:50.0,,,79-86,,Turnover by M. Huertas (bad pass)
10:32.0,J. Smith makes 2-pt shot from 15 ft (assist by E. Fournier),2,81-86,,
10:05.0,,,81-88,2,B. Bass makes 2-pt shot from 5 ft
9:46.0,M. Hezonja misses 2-pt shot from 16 ft,,81-88,,
9:45.0,,,81-88,,Defensive rebound by L. Nance
9:37.0,Personal foul by M. Hezonja,,81-88,,
9:37.0,,,81-88,,J. Clarkson enters the game for D. Russell
9:27.0,,,81-90,2,L. Nance makes 2-pt shot from 4 ft (assist by B. Bass)
9:17.0,J. Smith makes 2-pt shot from 18 ft (assist by E. Payton),2,83-90,,
8:57.0,,,83-92,2,J. Clarkson makes 2-pt shot from 9 ft (assist by M. Huertas)
8:46.0,,,83-92,,Personal foul by J. Clarkson
8:46.0,Official timeout,,83-92,,
8:29.0,E. Fournier misses 3-pt shot from 27 ft,,83-92,,
8:27.0,,,83-92,,Defensive rebound by M. Huertas
8:22.0,,,83-92,,L. Nance misses 2-pt shot at rim
8:18.0,Defensive rebound by E. Fournier,,83-92,,
8:12.0,A. Nicholson misses 3-pt shot from 26 ft,,83-92,,
8:11.0,,,83-92,,Defensive rebound by B. Bass
7:56.0,,,83-94,2,L. Nance makes 2-pt shot from 19 ft (assist by M. Huertas)
7:40.0,J. Smith misses 2-pt shot from 18 ft,,83-94,,
7:38.0,,,83-94,,Defensive rebound by M. Huertas
7:33.0,,,83-94,,Turnover by M. Huertas (bad pass)
7:33.0,V. Oladipo enters the game for M. Hezonja,,83-94,,
7:17.0,Jump ball: L. Nance vs. A. Nicholson (M. Huertas gains possession),,,,Jump ball: L. Nance vs. A. Nicholson (M. Huertas gains possession)
7:17.0,Turnover by A. Nicholson (lost ball; steal by L. Nance),,83-94,,
7:11.0,,,83-96,2,J. Clarkson makes 2-pt shot from 1 ft (assist by M. Huertas)
7:11.0,,,83-96,,Violation by Team (jump ball)
6:50.0,E. Payton misses 2-pt shot from 8 ft,,83-96,,
6:47.0,,,83-96,,Defensive rebound by L. Nance
6:33.0,,,83-96,,Turnover by M. Huertas (lost ball)
6:33.0,A. Gordon enters the game for A. Nicholson,,83-96,,
6:18.0,Turnover by J. Smith (lost ball; steal by L. Nance),,83-96,,
6:18.0,Personal take foul by E. Fournier,,83-96,,
6:18.0,C. Watson enters the game for E. Payton,,83-96,,
6:05.0,,,83-96,,Turnover by M. Huertas (traveling)
5:55.0,,,83-96,,Personal foul by R. Kelly
5:55.0,,,83-96,,LA Lakers full timeout
5:45.0,Shooting foul by R. Kelly (drawn by E. Fournier),,83-96,,
5:45.0,E. Fournier makes free throw 1 of 2,1,84-96,,
5:45.0,E. Fournier makes free throw 2 of 2,1,85-96,,
5:32.0,,,85-96,,L. Nance misses 2-pt shot at rim (block by A. Gordon)
5:29.0,Defensive rebound by C. Watson,,85-96,,
5:13.0,V. Oladipo makes 2-pt shot from 12 ft,2,87-96,,
5:02.0,,,87-96,,Offensive foul by L. Nance
5:02.0,,,87-96,,Turnover by L. Nance (offensive foul)
5:02.0,,,87-96,,M. World Peace enters the game for R. Kelly
4:36.0,C. Watson misses 2-pt shot from 2 ft,,87-96,,
4:34.0,,,87-96,,Defensive rebound by M. World Peace
4:30.0,,,87-96,,Shooting foul by J. Smith (drawn by B. Bass)
4:30.0,,,87-97,1,B. Bass makes free throw 1 of 2
4:30.0,,,87-97,,J. Randle enters the game for L. Nance
4:30.0,,,87-97,,D. Russell enters the game for M. Huertas
4:30.0,,,87-98,1,B. Bass makes free throw 2 of 2
4:15.0,C. Watson misses 3-pt shot from 25 ft,,87-98,,
4:14.0,,,87-98,,Defensive rebound by J. Randle
3:59.0,,,87-100,2,J. Randle makes 2-pt shot from 1 ft (assist by M. World Peace)
3:46.0,J. Smith misses 2-pt shot from 20 ft,,87-100,,
3:44.0,Offensive rebound by C. Watson,,87-100,,
3:41.0,Shooting foul by M. World Peace (drawn by C. Watson),,87-100,,
3:41.0,C. Watson makes free throw 1 of 2,1,88-100,,
3:41.0,C. Watson misses free throw 2 of 2,,88-100,,
3:40.0,,,88-100,,Defensive rebound by J. Randle
3:24.0,,,88-100,,J. Clarkson misses 3-pt shot from 23 ft
3:23.0,,,88-100,,Offensive rebound by D. Russell
3:01.0,,,88-100,,J. Randle misses 3-pt shot from 26 ft
3:01.0,,,88-100,,Offensive rebound by Team
3:01.0,Loose ball foul by E. Fournier,,88-100,,
2:46.0,,,88-103,3,J. Clarkson makes 3-pt shot from 26 ft
2:45.0,Orlando full timeout,,88-103,,
2:45.0,,,88-103,,L. Nance enters the game for B. Bass
2:34.0,J. Smith makes 2-pt shot from 1 ft (assist by A. Gordon),2,90-103,,
2:34.0,Shooting foul by J. Randle (drawn by J. Smith),,90-103,,
2:34.0,J. Smith misses free throw 1 of 1,,90-103,,
2:33.0,,,90-103,,Defensive rebound by L. Nance
2:15.0,,,90-103,,Turnover by J. Randle (bad pass)
2:09.0,C. Watson makes 2-pt shot at rim,2,92-103,,
1:59.0,,,92-103,,Shooting foul by J. Smith (drawn by D. Russell)
1:59.0,E. Ilyasova enters the game for J. Smith,,92-103,,
1:59.0,,,92-104,1,D. Russell makes free throw 1 of 2
1:59.0,,,92-104,,D. Russell misses free throw 2 of 2
1:58.0,Defensive rebound by E. Ilyasova,,92-104,,
1:50.0,V. Oladipo misses 2-pt shot from 1 ft (block by M. World Peace),,92-104,,
1:48.0,,,92-104,,Defensive rebound by J. Randle
1:44.0,,,92-106,2,D. Russell makes 2-pt shot from 8 ft
1:44.0,,,92-106,,Shooting foul by E. Ilyasova (drawn by D. Russell)
1:44.0,,,92-107,1,D. Russell makes free throw 1 of 1
1:44.0,Orlando full timeout,,92-107,,
1:44.0,D. Marble enters the game for E. Fournier,,92-107,,
1:44.0,M. Hezonja enters the game for A. Gordon,,92-107,,
1:44.0,A. Nicholson enters the game for V. Oladipo,,92-107,,
1:44.0,S. Napier enters the game for E. Ilyasova,,92-107,,
