time,Utah,pts.away,score,pts.home,Denver
10:29.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,24-31,,
10:12.0,,,24-31,,D. Arthur misses 2-pt shot from 17 ft
10:12.0,,,24-31,,Offensive rebound by N. Jokic
10:07.0,,,24-33,2,N. Jokic makes 2-pt shot from 3 ft
9:55.0,T. Lyles misses 2-pt shot from 18 ft,,24-33,,
9:54.0,,,24-33,,Defensive rebound by R. Foye
9:50.0,Personal foul by T. Lyles (drawn by N. Jokic),,24-33,,
9:50.0,D. Favors enters the game for T. Lyles,,24-33,,
9:44.0,,,24-33,,N. Jokic misses 2-pt shot from 11 ft
9:43.0,Defensive rebound by G. Hayward,,24-33,,
9:23.0,Turnover by T. Booker (traveling),,24-33,,
9:10.0,,,24-33,,N. Jokic misses 2-pt shot from 5 ft
9:09.0,Defensive rebound by T. Booker,,24-33,,
8:53.0,,,24-33,,Personal foul by D. Arthur (drawn by D. Favors)
8:42.0,Offensive charge foul by T. Burke,,24-33,,
8:42.0,Turnover by T. Burke (offensive foul),,24-33,,
8:25.0,,,24-33,,N. Jokic misses 2-pt shot from 1 ft
8:25.0,Defensive rebound by D. Favors,,24-33,,
8:04.0,D. Favors misses 2-pt shot from 13 ft,,24-33,,
8:02.0,Offensive rebound by T. Booker,,24-33,,
7:56.0,D. Favors makes 2-pt shot from 2 ft (assist by T. Booker),2,26-33,,
7:45.0,,,26-35,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Nelson)
7:38.0,T. Booker makes 3-pt shot from 25 ft (assist by J. Ingles),3,29-35,,
7:38.0,,,29-35,,Denver full timeout
7:38.0,R. Hood enters the game for T. Burke,,29-35,,
7:38.0,A. Burks enters the game for J. Ingles,,29-35,,
7:38.0,,,29-35,,J. Hickson enters the game for D. Arthur
7:38.0,,,29-35,,K. Faried enters the game for N. Jokic
7:16.0,,,29-35,,W. Barton misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by T. Booker,,29-35,,
7:02.0,G. Hayward misses 3-pt shot from 24 ft,,29-35,,
7:01.0,,,29-35,,Defensive rebound by J. Hickson
6:56.0,Personal foul by T. Booker (drawn by K. Faried),,29-35,,
6:56.0,,,29-35,,D. Gallinari enters the game for W. Barton
6:56.0,R. Gobert enters the game for T. Booker,,29-35,,
6:44.0,,,29-35,,D. Gallinari misses 2-pt shot from 2 ft
6:44.0,,,29-35,,Offensive rebound by D. Gallinari
6:44.0,,,29-35,,Shooting foul by R. Gobert (drawn by D. Gallinari)
6:44.0,,,29-37,2,D. Gallinari makes 2-pt shot from 2 ft
6:44.0,,,29-38,1,D. Gallinari makes free throw 1 of 1
6:26.0,R. Hood misses 3-pt shot from 24 ft,,29-38,,
6:25.0,,,29-38,,Defensive rebound by R. Foye
6:22.0,,,29-38,,Shooting foul by R. Hood (drawn by D. Gallinari)
6:22.0,,,29-39,1,D. Gallinari makes free throw 1 of 2
6:22.0,J. Ingles enters the game for R. Hood,,29-39,,
6:22.0,,,29-40,1,D. Gallinari makes free throw 2 of 2
6:03.0,A. Burks misses 2-pt shot from 12 ft,,29-40,,
6:02.0,,,29-40,,Defensive rebound by J. Hickson
5:49.0,,,29-40,,Turnover by J. Hickson (bad pass; steal by G. Hayward)
5:39.0,A. Burks makes 3-pt shot from 23 ft (assist by G. Hayward),3,32-40,,
5:14.0,,,32-40,,R. Foye misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by Team,,32-40,,
5:12.0,,,32-40,,E. Mudiay enters the game for J. Nelson
5:12.0,,,32-40,,G. Harris enters the game for R. Foye
4:58.0,G. Hayward makes 2-pt shot from 19 ft (assist by A. Burks),2,34-40,,
4:31.0,,,34-40,,Turnover by E. Mudiay (bad pass)
4:15.0,A. Burks misses 3-pt shot from 24 ft,,34-40,,
4:15.0,Offensive rebound by R. Gobert,,34-40,,
4:15.0,Shooting foul by J. Hickson (drawn by R. Gobert),,34-40,,
4:15.0,R. Gobert makes free throw 1 of 2,1,35-40,,
4:15.0,R. Gobert misses free throw 2 of 2,,35-40,,
4:14.0,,,35-40,,Defensive rebound by J. Hickson
4:08.0,,,35-40,,Denver full timeout
3:55.0,,,35-40,,J. Hickson misses 2-pt shot from 6 ft (block by R. Gobert)
3:54.0,Defensive rebound by Team,,35-40,,
3:53.0,,,35-40,,Loose ball foul by K. Faried (drawn by J. Ingles)
3:36.0,G. Hayward misses 2-pt shot from 18 ft,,35-40,,
3:34.0,,,35-40,,Defensive rebound by Team
3:12.0,,,35-40,,K. Faried misses 2-pt shot from 3 ft
3:12.0,Defensive rebound by R. Gobert,,35-40,,
3:12.0,,,35-40,,Loose ball foul by D. Gallinari (drawn by R. Gobert)
3:12.0,T. Booker enters the game for D. Favors,,35-40,,
2:46.0,Turnover by Team (shot clock),,35-40,,
2:46.0,Official timeout,,35-40,,
2:32.0,,,35-42,2,J. Hickson makes 2-pt shot from 1 ft (assist by D. Gallinari)
2:15.0,G. Hayward misses 3-pt shot from 23 ft,,35-42,,
2:14.0,,,35-42,,Defensive rebound by K. Faried
2:06.0,T. Burke enters the game for G. Hayward,,35-42,,
2:06.0,,,35-42,,Denver full timeout
1:53.0,,,35-42,,J. Hickson misses 2-pt shot from 16 ft
1:52.0,,,35-42,,Offensive rebound by J. Hickson
1:39.0,,,35-42,,G. Harris misses 2-pt shot from 2 ft
1:39.0,Defensive rebound by Team,,35-42,,
1:28.0,A. Burks makes 2-pt shot from 15 ft,2,37-42,,
1:20.0,,,37-42,,K. Faried misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by R. Gobert,,37-42,,
1:07.0,T. Burke misses 3-pt shot from 25 ft,,37-42,,
1:06.0,,,37-42,,Defensive rebound by K. Faried
0:56.0,,,37-42,,E. Mudiay misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by T. Booker,,37-42,,
0:38.0,J. Ingles makes 3-pt shot from 24 ft (assist by A. Burks),3,40-42,,
0:25.0,,,40-42,,Loose ball foul by J. Hickson (drawn by R. Gobert)
0:25.0,,,40-42,,Turnover by J. Hickson (offensive foul)
0:25.0,R. Gobert misses free throw 1 of 2,,40-42,,
0:25.0,Offensive rebound by Team,,40-42,,
0:25.0,,,40-42,,J. Nelson enters the game for J. Hickson
0:25.0,C. Johnson enters the game for T. Burke,,40-42,,
0:25.0,R. Gobert misses free throw 2 of 2,,40-42,,
0:24.0,,,40-42,,Defensive rebound by K. Faried
0:01.0,,,40-42,,Turnover by Team (shot clock)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,40-44,2,D. Gallinari makes 2-pt shot from 17 ft
11:15.0,R. Neto misses 2-pt shot from 10 ft,,40-44,,
11:13.0,,,40-44,,Defensive rebound by J. Hickson
11:04.0,,,40-44,,E. Mudiay misses 2-pt shot from 2 ft (block by R. Gobert)
11:03.0,Defensive rebound by R. Neto,,40-44,,
11:00.0,Jump ball: D. Gallinari vs. G. Hayward (R. Neto gains possession),,,,Jump ball: D. Gallinari vs. G. Hayward (R. Neto gains possession)
10:48.0,A. Burks makes 2-pt shot at rim,2,42-44,,
10:37.0,,,42-44,,Shooting foul by R. Neto (drawn by J. Hickson)
10:37.0,,,42-44,,J. Hickson misses free throw 1 of 2
10:37.0,,,42-44,,Offensive rebound by Team
10:37.0,,,42-44,,J. Hickson misses free throw 2 of 2
10:36.0,,,42-44,,Offensive rebound by D. Gallinari
10:25.0,,,42-46,2,D. Gallinari makes 2-pt shot at rim
10:06.0,G. Hayward makes 2-pt shot from 1 ft,2,44-46,,
9:53.0,,,44-46,,Turnover by G. Harris (step out of bounds)
9:53.0,Turnover by A. Burks (traveling),,44-46,,
9:30.0,,,44-46,,J. Hickson misses 2-pt shot from 1 ft (block by R. Neto)
9:28.0,Defensive rebound by T. Booker,,44-46,,
9:20.0,T. Booker makes 2-pt shot from 2 ft,2,46-46,,
9:05.0,,,46-46,,G. Harris misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by R. Gobert,,46-46,,
8:53.0,R. Neto misses 3-pt shot from 26 ft,,46-46,,
8:52.0,,,46-46,,Defensive rebound by D. Gallinari
8:47.0,,,46-46,,Turnover by J. Hickson (bad pass; steal by T. Booker)
8:34.0,T. Booker misses 2-pt shot from 4 ft (block by G. Harris),,46-46,,
8:34.0,,,46-46,,Defensive rebound by E. Mudiay
8:34.0,Personal foul by R. Neto (drawn by E. Mudiay),,46-46,,
8:34.0,J. Ingles enters the game for R. Neto,,46-46,,
8:22.0,,,46-46,,Shooting foul by T. Booker (drawn by K. Faried)
8:22.0,,,46-46,,K. Faried misses free throw 1 of 2
8:22.0,,,46-46,,Offensive rebound by Team
8:22.0,,,46-47,1,K. Faried makes free throw 2 of 2
8:09.0,A. Burks misses 2-pt shot from 1 ft,,46-47,,
8:08.0,,,46-47,,Defensive rebound by K. Faried
7:52.0,,,46-49,2,E. Mudiay makes 2-pt shot from 20 ft (assist by J. Hickson)
7:40.0,Shooting foul by D. Gallinari (drawn by R. Gobert),,46-49,,
7:40.0,R. Gobert misses free throw 1 of 2,,46-49,,
7:40.0,Offensive rebound by Team,,46-49,,
7:40.0,R. Gobert makes free throw 2 of 2,1,47-49,,
7:23.0,,,47-49,,E. Mudiay misses 2-pt shot from 6 ft
7:19.0,,,47-49,,Offensive rebound by E. Mudiay
7:19.0,,,47-51,2,D. Gallinari makes 2-pt shot from 1 ft
7:01.0,J. Ingles misses 2-pt shot from 16 ft,,47-51,,
7:00.0,,,47-51,,Defensive rebound by K. Faried
6:56.0,,,47-53,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
6:55.0,Utah full timeout,,47-53,,
6:55.0,Violation by Team (jump ball),,47-53,,
6:37.0,Shooting foul by K. Faried (drawn by G. Hayward),,47-53,,
6:37.0,G. Hayward makes free throw 1 of 2,1,48-53,,
6:37.0,G. Hayward makes free throw 2 of 2,1,49-53,,
6:26.0,,,49-53,,Shooting foul by A. Burks (drawn by E. Mudiay)
6:26.0,,,49-54,1,E. Mudiay makes free throw 1 of 2
6:26.0,,,49-54,,E. Mudiay misses free throw 2 of 2
6:24.0,Defensive rebound by R. Gobert,,49-54,,
6:04.0,G. Hayward misses 2-pt shot from 20 ft,,49-54,,
6:02.0,,,49-54,,Defensive rebound by G. Harris
5:49.0,,,49-54,,D. Gallinari misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by G. Hayward,,49-54,,
5:35.0,J. Ingles misses 3-pt shot from 25 ft,,49-54,,
5:35.0,,,49-54,,Defensive rebound by K. Faried
5:24.0,,,49-54,,K. Faried misses 2-pt shot at rim (block by R. Gobert)
5:22.0,Defensive rebound by A. Burks,,49-54,,
5:18.0,J. Ingles makes 2-pt shot from 1 ft (assist by A. Burks),2,51-54,,
4:51.0,,,51-54,,D. Gallinari misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by R. Gobert,,51-54,,
4:42.0,A. Burks makes 2-pt shot from 17 ft,2,53-54,,
4:42.0,,,53-54,,Denver full timeout
4:42.0,T. Burke enters the game for A. Burks,,53-54,,
4:42.0,R. Hood enters the game for T. Booker,,53-54,,
4:42.0,T. Lyles enters the game for J. Ingles,,53-54,,
4:42.0,,,53-54,,Violation by Team (jump ball)
4:34.0,,,53-54,,Shooting foul by T. Lyles (drawn by J. Hickson)
4:34.0,,,53-54,,J. Hickson misses free throw 1 of 2
4:34.0,,,53-54,,Offensive rebound by Team
4:34.0,,,53-54,,J. Hickson misses free throw 2 of 2
4:33.0,Defensive rebound by Team,,53-54,,
4:33.0,,,53-54,,Loose ball foul by K. Faried (drawn by T. Lyles)
4:17.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,56-54,,
3:56.0,,,56-56,2,D. Gallinari makes 2-pt shot from 2 ft
3:44.0,T. Lyles makes 2-pt shot from 1 ft (assist by G. Hayward),2,58-56,,
3:34.0,,,58-56,,Turnover by G. Harris (lost ball; steal by T. Lyles)
3:29.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,60-56,,
3:18.0,,,60-56,,Denver full timeout
3:18.0,,,60-56,,W. Barton enters the game for K. Faried
3:18.0,,,60-56,,N. Jokic enters the game for J. Hickson
3:18.0,,,60-56,,J. Nelson enters the game for G. Harris
3:18.0,,,60-56,,R. Foye enters the game for E. Mudiay
3:18.0,T. Booker enters the game for R. Gobert,,60-56,,
3:10.0,,,60-56,,Shooting foul by T. Lyles (drawn by R. Foye)
3:10.0,,,60-57,1,R. Foye makes free throw 1 of 2
3:10.0,,,60-58,1,R. Foye makes free throw 2 of 2
2:52.0,T. Burke misses 2-pt shot from 18 ft,,60-58,,
2:51.0,,,60-58,,Defensive rebound by D. Gallinari
2:38.0,,,60-61,3,R. Foye makes 3-pt shot from 24 ft (assist by J. Nelson)
2:28.0,,,60-61,,Personal foul by W. Barton (drawn by R. Hood)
2:28.0,J. Ingles enters the game for T. Lyles,,60-61,,
2:17.0,G. Hayward misses 2-pt shot from 12 ft,,60-61,,
2:15.0,,,60-61,,Defensive rebound by N. Jokic
2:04.0,,,60-61,,R. Foye misses 3-pt shot from 27 ft
2:02.0,Defensive rebound by G. Hayward,,60-61,,
1:40.0,T. Burke misses 2-pt shot from 12 ft,,60-61,,
1:40.0,,,60-61,,Defensive rebound by W. Barton
1:19.0,,,60-61,,R. Foye misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by T. Burke,,60-61,,
1:05.0,T. Burke misses 2-pt shot from 2 ft (block by D. Gallinari),,60-61,,
1:02.0,,,60-61,,Defensive rebound by J. Nelson
0:55.0,Personal foul by T. Booker (drawn by N. Jokic),,60-61,,
0:55.0,,,60-62,1,N. Jokic makes free throw 1 of 2
0:55.0,A. Burks enters the game for G. Hayward,,60-62,,
0:55.0,,,60-62,,N. Jokic misses free throw 2 of 2
0:54.0,Defensive rebound by T. Booker,,60-62,,
0:41.0,A. Burks makes 2-pt shot from 3 ft,2,62-62,,
0:29.0,,,62-62,,J. Nelson misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by J. Ingles,,62-62,,
0:08.0,J. Ingles makes 3-pt shot from 23 ft (assist by A. Burks),3,65-62,,
0:02.0,,,65-62,,Shooting foul by T. Burke (drawn by J. Nelson)
0:02.0,,,65-63,1,J. Nelson makes free throw 1 of 3
0:02.0,,,65-64,1,J. Nelson makes free throw 2 of 3
0:02.0,R. Gobert enters the game for J. Ingles,,65-64,,
0:02.0,,,65-64,,J. Nelson misses free throw 3 of 3
0:02.0,,,65-64,,Offensive rebound by Team
0:02.0,J. Ingles enters the game for T. Burke,,65-64,,
0:00.0,,,65-64,,R. Foye misses 3-pt shot from 26 ft
0:00.0,,,65-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,A. Burks misses 2-pt shot from 4 ft,,65-64,,
11:42.0,,,65-64,,Defensive rebound by D. Arthur
11:38.0,,,65-64,,R. Foye misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by R. Gobert,,65-64,,
11:36.0,,,65-64,,Personal foul by N. Jokic (drawn by R. Gobert)
11:22.0,Turnover by R. Hood (bad pass; steal by D. Arthur),,65-64,,
11:16.0,,,65-64,,W. Barton misses 2-pt shot from 2 ft (block by R. Hood)
11:14.0,Defensive rebound by R. Gobert,,65-64,,
11:04.0,T. Booker misses 2-pt shot from 4 ft,,65-64,,
11:03.0,,,65-64,,Defensive rebound by D. Arthur
10:58.0,Personal foul by A. Burks (drawn by J. Nelson),,65-64,,
10:58.0,T. Burke enters the game for J. Ingles,,65-64,,
10:44.0,,,65-64,,D. Arthur misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by Team,,65-64,,
10:20.0,Turnover by T. Burke (bad pass; steal by D. Arthur),,65-64,,
10:12.0,,,65-66,2,W. Barton makes 2-pt shot from 12 ft
9:53.0,Turnover by A. Burks (lost ball),,65-66,,
9:36.0,,,65-66,,Turnover by J. Nelson (bad pass; steal by T. Burke)
9:36.0,,,65-66,,Clear path foul by D. Arthur
9:36.0,T. Burke makes clear path free throw 1 of 2,1,66-66,,
9:36.0,T. Burke makes clear path free throw 2 of 2,1,67-66,,
9:36.0,G. Hayward enters the game for A. Burks,,67-66,,
9:20.0,T. Burke makes 3-pt shot from 26 ft (assist by R. Hood),3,70-66,,
8:56.0,,,70-66,,J. Nelson misses 2-pt shot from 21 ft
8:55.0,Defensive rebound by R. Gobert,,70-66,,
8:47.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Hood),2,72-66,,
8:32.0,,,72-69,3,R. Foye makes 3-pt shot from 24 ft (assist by D. Arthur)
8:10.0,T. Burke misses 3-pt shot from 25 ft,,72-69,,
8:07.0,Offensive rebound by T. Booker,,72-69,,
8:06.0,T. Booker makes 2-pt shot from 1 ft,2,74-69,,
7:58.0,,,74-69,,Shooting foul by R. Hood (drawn by W. Barton)
7:58.0,Official timeout,,74-69,,
7:58.0,J. Ingles enters the game for R. Gobert,,74-69,,
7:58.0,,,74-69,,D. Gallinari enters the game for R. Foye
7:58.0,,,74-70,1,W. Barton makes free throw 1 of 2
7:58.0,,,74-71,1,W. Barton makes free throw 2 of 2
7:40.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Hood),2,76-71,,
7:28.0,,,76-71,,W. Barton misses 3-pt shot from 25 ft
7:24.0,,,76-71,,Offensive rebound by D. Arthur
7:16.0,,,76-71,,D. Gallinari misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by R. Hood,,76-71,,
6:54.0,T. Burke misses 3-pt shot from 23 ft,,76-71,,
6:53.0,Offensive rebound by T. Booker,,76-71,,
6:49.0,T. Burke makes 2-pt shot from 1 ft (assist by T. Booker),2,78-71,,
6:49.0,,,78-71,,Denver full timeout
6:49.0,,,78-71,,K. Faried enters the game for N. Jokic
6:49.0,,,78-71,,E. Mudiay enters the game for W. Barton
6:49.0,A. Burks enters the game for T. Burke,,78-71,,
6:34.0,,,78-73,2,J. Nelson makes 2-pt shot from 16 ft
6:16.0,R. Hood makes 3-pt shot from 25 ft,3,81-73,,
6:04.0,,,81-73,,J. Nelson misses 3-pt shot from 26 ft
6:03.0,,,81-73,,Offensive rebound by D. Arthur
6:00.0,,,81-73,,D. Arthur misses 2-pt shot from 4 ft (block by T. Booker)
5:59.0,Defensive rebound by A. Burks,,81-73,,
5:54.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,84-73,,
5:54.0,,,84-73,,Technical foul by D. Arthur
5:54.0,A. Burks makes technical free throw,1,85-73,,
5:54.0,R. Gobert enters the game for T. Booker,,85-73,,
5:54.0,,,85-73,,W. Barton enters the game for D. Arthur
5:41.0,,,85-73,,Turnover by J. Nelson (traveling)
5:21.0,R. Gobert makes 2-pt shot at rim (assist by A. Burks),2,87-73,,
5:07.0,,,87-73,,Turnover by E. Mudiay (bad pass)
5:07.0,T. Burke enters the game for R. Hood,,87-73,,
5:07.0,,,87-73,,G. Harris enters the game for J. Nelson
4:52.0,G. Hayward makes 2-pt shot at rim (assist by R. Gobert),2,89-73,,
4:52.0,,,89-73,,Denver full timeout
4:39.0,,,89-73,,D. Gallinari misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by R. Gobert,,89-73,,
4:17.0,Shooting foul by K. Faried (drawn by R. Gobert),,89-73,,
4:17.0,R. Gobert misses free throw 1 of 2,,89-73,,
4:17.0,Offensive rebound by Team,,89-73,,
4:17.0,R. Hood enters the game for T. Burke,,89-73,,
4:17.0,R. Gobert makes free throw 2 of 2,1,90-73,,
4:04.0,,,90-75,2,G. Harris makes 2-pt shot from 15 ft (assist by K. Faried)
3:46.0,R. Hood misses 2-pt shot from 19 ft,,90-75,,
3:45.0,,,90-75,,Defensive rebound by W. Barton
3:33.0,,,90-78,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
3:13.0,A. Burks misses 2-pt shot from 12 ft,,90-78,,
3:12.0,,,90-78,,Defensive rebound by Team
2:57.0,,,90-78,,W. Barton misses 2-pt shot from 14 ft
2:56.0,,,90-78,,Offensive rebound by W. Barton
