time,Milwaukee,pts.away,score,pts.home,Boston
7:10.0,,,10-16,1,A. Johnson makes free throw 2 of 2
6:52.0,Turnover by G. Antetokounmpo (bad pass),,10-16,,
6:40.0,Personal foul by O. Mayo (drawn by A. Johnson),,10-16,,
6:29.0,,,10-16,,Turnover by I. Thomas (bad pass)
6:24.0,M. Plumlee makes 2-pt shot at rim (assist by J. Parker),2,12-16,,
6:08.0,,,12-16,,J. Sullinger misses 2-pt shot from 21 ft
6:07.0,,,12-16,,Offensive rebound by A. Johnson
6:07.0,,,12-16,,A. Johnson misses 2-pt shot at rim
6:06.0,Defensive rebound by G. Antetokounmpo,,12-16,,
5:56.0,G. Antetokounmpo makes 2-pt shot at rim,2,14-16,,
5:56.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,14-16,,
5:56.0,,,14-16,,Boston full timeout
5:56.0,G. Monroe enters the game for M. Plumlee,,14-16,,
5:56.0,G. Antetokounmpo makes free throw 1 of 1,1,15-16,,
5:38.0,,,15-16,,J. Crowder misses 3-pt shot from 23 ft
5:36.0,,,15-16,,Offensive rebound by J. Sullinger
5:33.0,,,15-16,,I. Thomas misses 3-pt shot from 25 ft
5:32.0,,,15-16,,Offensive rebound by A. Johnson
5:32.0,,,15-18,2,A. Johnson makes 2-pt shot at rim
5:17.0,Turnover by O. Mayo (lost ball; steal by I. Thomas),,15-18,,
5:16.0,Personal foul by O. Mayo (drawn by J. Crowder),,15-18,,
5:16.0,M. Carter-Williams enters the game for O. Mayo,,15-18,,
5:16.0,,,15-18,,M. Smart enters the game for J. Sullinger
5:16.0,,,15-18,,E. Turner enters the game for A. Bradley
5:02.0,,,15-20,2,A. Johnson makes 2-pt shot at rim (assist by E. Turner)
4:48.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,15-20,,
4:46.0,Offensive rebound by G. Monroe,,15-20,,
4:45.0,G. Monroe makes 2-pt shot at rim,2,17-20,,
4:39.0,,,17-22,2,I. Thomas makes 2-pt shot at rim
4:22.0,Turnover by K. Middleton (bad pass; steal by M. Smart),,17-22,,
4:13.0,,,17-22,,Turnover by J. Crowder (bad pass)
4:01.0,M. Carter-Williams misses 3-pt shot from 24 ft,,17-22,,
4:00.0,,,17-22,,Defensive rebound by A. Johnson
3:47.0,,,17-24,2,E. Turner makes 2-pt shot from 10 ft
3:33.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,19-24,,
3:20.0,,,19-26,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Johnson)
3:19.0,Milwaukee full timeout,,19-26,,
3:06.0,M. Carter-Williams misses 2-pt shot from 6 ft,,19-26,,
3:05.0,Offensive rebound by J. Parker,,19-26,,
3:05.0,J. Parker misses 2-pt shot at rim,,19-26,,
3:04.0,,,19-26,,Defensive rebound by J. Crowder
2:44.0,,,19-26,,Turnover by J. Crowder (bad pass; steal by K. Middleton)
2:40.0,Shooting foul by M. Smart (drawn by J. Parker),,19-26,,
2:40.0,J. Parker makes free throw 1 of 2,1,20-26,,
2:40.0,J. Parker makes free throw 2 of 2,1,21-26,,
2:27.0,,,21-28,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
2:12.0,,,21-28,,Personal foul by M. Smart (drawn by K. Middleton)
2:12.0,,,21-28,,J. Jerebko enters the game for I. Thomas
2:03.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,23-28,,
1:45.0,,,23-30,2,J. Crowder makes 2-pt shot from 14 ft
1:45.0,,,23-30,,Shooting foul by G. Antetokounmpo (drawn by J. Crowder)
1:45.0,R. Vaughn enters the game for G. Antetokounmpo,,23-30,,
1:45.0,,,23-31,1,J. Crowder makes free throw 1 of 1
1:25.0,K. Middleton misses 2-pt shot from 9 ft,,23-31,,
1:24.0,,,23-31,,Defensive rebound by J. Jerebko
1:19.0,,,23-33,2,J. Crowder makes 2-pt shot from 20 ft
1:08.0,J. Parker misses 2-pt shot from 17 ft,,23-33,,
1:07.0,,,23-33,,Defensive rebound by J. Jerebko
0:54.0,,,23-33,,E. Turner misses 2-pt shot from 10 ft
0:52.0,Defensive rebound by R. Vaughn,,23-33,,
0:38.0,G. Monroe makes 2-pt shot at rim,2,25-33,,
0:26.0,,,25-33,,Shooting foul by K. Middleton (drawn by E. Turner)
0:26.0,,,25-34,1,E. Turner makes free throw 1 of 2
0:26.0,,,25-35,1,E. Turner makes free throw 2 of 2
0:02.0,G. Monroe misses 2-pt shot from 17 ft,,25-35,,
0:02.0,Offensive rebound by Team,,25-35,,
0:02.0,Turnover by Team (shot clock),,25-35,,
0:02.0,,,25-35,,J. Sullinger enters the game for A. Johnson
0:00.0,,,25-35,,J. Jerebko misses 3-pt shot from 27 ft
0:00.0,,,25-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,M. Carter-Williams misses 2-pt shot from 21 ft,,25-35,,
11:49.0,,,25-35,,Defensive rebound by M. Smart
11:36.0,,,25-37,2,J. Jerebko makes 2-pt shot from 22 ft (assist by M. Smart)
11:15.0,G. Monroe misses 2-pt shot from 8 ft,,25-37,,
11:14.0,,,25-37,,Defensive rebound by J. Jerebko
11:05.0,Personal foul by O. Mayo (drawn by M. Smart),,25-37,,
11:02.0,Personal foul by J. O'Bryant (drawn by E. Turner),,25-37,,
11:02.0,T. Ennis enters the game for O. Mayo,,25-37,,
10:53.0,Personal foul by T. Ennis (drawn by T. Zeller),,25-37,,
10:50.0,,,25-37,,Turnover by J. Jerebko (traveling)
10:37.0,R. Vaughn misses 2-pt shot from 1 ft,,25-37,,
10:36.0,Offensive rebound by J. O'Bryant,,25-37,,
10:36.0,J. O'Bryant misses 2-pt shot from 1 ft,,25-37,,
10:35.0,Offensive rebound by Team,,25-37,,
10:35.0,,,25-37,,Loose ball foul by J. Jerebko (drawn by J. O'Bryant)
10:24.0,G. Monroe makes 2-pt shot at rim,2,27-37,,
10:07.0,,,27-37,,M. Smart misses 2-pt shot from 4 ft
10:06.0,Defensive rebound by R. Vaughn,,27-37,,
9:57.0,Turnover by T. Ennis (traveling),,27-37,,
9:48.0,,,27-39,2,A. Bradley makes 2-pt shot from 18 ft (assist by T. Zeller)
9:48.0,,,27-39,,Shooting foul by R. Vaughn (drawn by A. Bradley)
9:48.0,,,27-40,1,A. Bradley makes free throw 1 of 1
9:22.0,T. Ennis misses 2-pt shot from 2 ft (block by J. Jerebko),,27-40,,
9:21.0,,,27-40,,Defensive rebound by J. Jerebko
9:18.0,,,27-42,2,A. Bradley makes 2-pt shot at rim (assist by J. Jerebko)
9:09.0,Milwaukee full timeout,,27-42,,
8:59.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,29-42,,
8:44.0,,,29-42,,J. Jerebko misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by G. Monroe,,29-42,,
8:35.0,,,29-42,,Personal foul by M. Smart (drawn by R. Vaughn)
8:30.0,,,29-42,,Personal foul by T. Zeller (drawn by G. Monroe)
8:22.0,R. Vaughn misses 2-pt shot from 5 ft (block by T. Zeller),,29-42,,
8:21.0,,,29-42,,Defensive rebound by Team
8:08.0,,,29-42,,Shooting foul by J. O'Bryant (drawn by E. Turner)
8:08.0,,,29-43,1,E. Turner makes free throw 1 of 2
8:08.0,,,29-44,1,E. Turner makes free throw 2 of 2
7:59.0,M. Carter-Williams misses 2-pt shot from 16 ft,,29-44,,
7:58.0,,,29-44,,Defensive rebound by Team
7:58.0,Loose ball foul by J. O'Bryant (drawn by J. Jerebko),,29-44,,
7:58.0,,,29-45,1,J. Jerebko makes free throw 1 of 2
7:58.0,S. Novak enters the game for J. O'Bryant,,29-45,,
7:58.0,,,29-46,1,J. Jerebko makes free throw 2 of 2
7:45.0,R. Vaughn makes 2-pt shot at rim (assist by G. Monroe),2,31-46,,
7:36.0,,,31-46,,T. Zeller misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by S. Novak,,31-46,,
7:29.0,S. Novak misses 3-pt shot from 26 ft,,31-46,,
7:28.0,,,31-46,,Defensive rebound by E. Turner
7:22.0,,,31-48,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
7:08.0,T. Ennis makes 2-pt shot from 2 ft,2,33-48,,
6:52.0,,,33-48,,Turnover by T. Zeller (lost ball; steal by T. Ennis)
6:38.0,R. Vaughn makes 3-pt shot from 23 ft (assist by T. Ennis),3,36-48,,
6:18.0,,,36-48,,J. Jerebko misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by M. Carter-Williams,,36-48,,
6:11.0,M. Carter-Williams makes 2-pt shot from 7 ft,2,38-48,,
6:11.0,,,38-48,,Boston full timeout
6:11.0,,,38-48,,I. Thomas enters the game for M. Smart
6:11.0,K. Middleton enters the game for T. Ennis,,38-48,,
6:01.0,,,38-48,,Turnover by E. Turner (bad pass; steal by K. Middleton)
5:56.0,R. Vaughn misses 3-pt shot from 25 ft,,38-48,,
5:55.0,,,38-48,,Defensive rebound by A. Bradley
5:48.0,,,38-48,,A. Bradley misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by M. Carter-Williams,,38-48,,
5:36.0,Offensive foul by M. Carter-Williams,,38-48,,
5:36.0,Turnover by M. Carter-Williams (offensive foul),,38-48,,
5:36.0,,,38-48,,J. Sullinger enters the game for T. Zeller
5:28.0,,,38-48,,Turnover by J. Sullinger (dbl dribble)
5:22.0,Shooting foul by E. Turner (drawn by K. Middleton),,38-48,,
5:22.0,K. Middleton makes free throw 1 of 2,1,39-48,,
5:22.0,,,39-48,,J. Crowder enters the game for J. Jerebko
5:22.0,K. Middleton makes free throw 2 of 2,1,40-48,,
5:09.0,,,40-48,,J. Crowder misses 2-pt shot from 3 ft
5:08.0,Defensive rebound by K. Middleton,,40-48,,
4:59.0,S. Novak misses 3-pt shot from 25 ft,,40-48,,
4:58.0,,,40-48,,Defensive rebound by J. Crowder
4:53.0,,,40-50,2,I. Thomas makes 2-pt shot from 1 ft
4:53.0,,,40-50,,Shooting foul by G. Monroe (drawn by I. Thomas)
4:53.0,M. Plumlee enters the game for G. Monroe,,40-50,,
4:53.0,J. Parker enters the game for S. Novak,,40-50,,
4:53.0,,,40-50,,A. Johnson enters the game for E. Turner
4:53.0,,,40-50,,I. Thomas misses free throw 1 of 1
4:53.0,Defensive rebound by J. Parker,,40-50,,
4:37.0,,,40-50,,Personal foul by J. Crowder (drawn by M. Carter-Williams)
4:37.0,M. Carter-Williams makes free throw 1 of 2,1,41-50,,
4:37.0,M. Carter-Williams makes free throw 2 of 2,1,42-50,,
4:24.0,,,42-50,,Turnover by A. Bradley (lost ball; steal by R. Vaughn)
4:18.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,44-50,,
4:07.0,,,44-50,,J. Sullinger misses 2-pt shot from 20 ft
4:06.0,Defensive rebound by J. Parker,,44-50,,
3:58.0,Shooting foul by A. Johnson (drawn by M. Plumlee),,44-50,,
3:58.0,M. Plumlee misses free throw 1 of 2,,44-50,,
3:58.0,Offensive rebound by Team,,44-50,,
3:58.0,M. Plumlee makes free throw 2 of 2,1,45-50,,
3:43.0,,,45-50,,I. Thomas misses 2-pt shot from 6 ft
3:42.0,,,45-50,,Offensive rebound by J. Sullinger
3:42.0,,,45-50,,Shooting foul by M. Carter-Williams (drawn by J. Sullinger)
3:42.0,,,45-51,1,J. Sullinger makes free throw 1 of 2
3:42.0,G. Antetokounmpo enters the game for R. Vaughn,,45-51,,
3:42.0,,,45-52,1,J. Sullinger makes free throw 2 of 2
3:29.0,Turnover by K. Middleton (bad pass; steal by A. Johnson),,45-52,,
3:21.0,,,45-52,,Offensive charge foul by J. Crowder
3:21.0,,,45-52,,Turnover by J. Crowder (offensive foul)
3:07.0,M. Carter-Williams misses 2-pt shot from 11 ft,,45-52,,
3:06.0,,,45-52,,Defensive rebound by J. Sullinger
3:00.0,,,45-54,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
2:39.0,K. Middleton makes 2-pt shot from 1 ft,2,47-54,,
2:39.0,Shooting foul by I. Thomas (drawn by K. Middleton),,47-54,,
2:39.0,Official timeout,,47-54,,
2:39.0,,,47-54,,E. Turner enters the game for J. Crowder
2:39.0,K. Middleton makes free throw 1 of 1,1,48-54,,
2:22.0,,,48-56,2,J. Sullinger makes 2-pt shot from 7 ft
2:06.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,48-56,,
2:05.0,Offensive rebound by G. Antetokounmpo,,48-56,,
2:05.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,48-56,,
2:04.0,,,48-56,,Defensive rebound by J. Sullinger
1:51.0,,,48-58,2,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas)
1:29.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,48-58,,
1:28.0,,,48-58,,Defensive rebound by A. Bradley
1:21.0,,,48-58,,Turnover by E. Turner (bad pass; steal by K. Middleton)
1:14.0,Shooting foul by E. Turner (drawn by G. Antetokounmpo),,48-58,,
1:14.0,G. Antetokounmpo misses free throw 1 of 2,,48-58,,
1:14.0,Offensive rebound by Team,,48-58,,
1:14.0,G. Antetokounmpo makes free throw 2 of 2,1,49-58,,
0:58.0,,,49-58,,J. Sullinger misses 2-pt shot from 3 ft (block by M. Plumlee)
0:57.0,Defensive rebound by M. Plumlee,,49-58,,
0:49.0,M. Carter-Williams misses 2-pt shot from 16 ft,,49-58,,
0:48.0,,,49-58,,Defensive rebound by A. Johnson
0:32.0,,,49-60,2,A. Johnson makes 2-pt shot at rim (assist by E. Turner)
0:22.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,51-60,,
0:22.0,Shooting foul by A. Johnson (drawn by J. Parker),,51-60,,
0:22.0,R. Vaughn enters the game for G. Antetokounmpo,,51-60,,
0:22.0,J. Parker makes free throw 1 of 1,1,52-60,,
0:03.0,,,52-62,2,I. Thomas makes 2-pt shot from 1 ft
0:02.0,Turnover by M. Plumlee (bad pass; steal by E. Turner),,52-62,,
0:01.0,,,52-62,,I. Thomas misses 2-pt shot from 1 ft
0:00.0,,,52-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,54-62,,
11:31.0,,,54-62,,A. Bradley misses 2-pt shot from 16 ft
11:30.0,Defensive rebound by J. Parker,,54-62,,
11:19.0,J. Parker misses 2-pt shot from 9 ft,,54-62,,
11:18.0,,,54-62,,Defensive rebound by J. Crowder
11:10.0,,,54-64,2,I. Thomas makes 2-pt shot from 8 ft
11:01.0,,,54-64,,Personal foul by J. Crowder (drawn by G. Antetokounmpo)
10:47.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Bradley),,54-64,,
10:42.0,,,54-66,2,A. Bradley makes 2-pt shot from 1 ft
10:32.0,Shooting foul by A. Johnson (drawn by J. Parker),,54-66,,
10:32.0,J. Parker makes free throw 1 of 2,1,55-66,,
10:32.0,J. Parker misses free throw 2 of 2,,55-66,,
10:32.0,,,55-66,,Defensive rebound by J. Crowder
10:17.0,,,55-69,3,J. Crowder makes 3-pt shot from 24 ft
10:03.0,K. Middleton misses 3-pt shot from 26 ft,,55-69,,
10:02.0,,,55-69,,Defensive rebound by J. Sullinger
9:49.0,,,55-71,2,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas)
9:20.0,O. Mayo misses 3-pt shot from 23 ft,,55-71,,
9:19.0,,,55-71,,Defensive rebound by J. Crowder
9:08.0,,,55-73,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
9:08.0,Milwaukee full timeout,,55-73,,
9:08.0,M. Carter-Williams enters the game for J. Parker,,55-73,,
9:08.0,S. Novak enters the game for M. Plumlee,,55-73,,
9:08.0,G. Monroe enters the game for O. Mayo,,55-73,,
8:45.0,Shooting foul by J. Crowder (drawn by G. Monroe),,55-73,,
8:45.0,G. Monroe misses free throw 1 of 2,,55-73,,
8:45.0,Offensive rebound by Team,,55-73,,
8:45.0,,,55-73,,Technical foul by J. Crowder (drawn by G. Monroe)
8:45.0,,,55-73,,M. Smart enters the game for J. Crowder
8:45.0,,,55-73,,E. Turner enters the game for A. Johnson
8:45.0,K. Middleton makes technical free throw,1,56-73,,
8:45.0,G. Monroe makes free throw 2 of 2,1,57-73,,
8:22.0,,,57-73,,I. Thomas misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by Team,,57-73,,
8:04.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,59-73,,
7:49.0,,,59-73,,I. Thomas misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
7:49.0,,,59-73,,Offensive rebound by Team
7:41.0,,,59-73,,M. Smart misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
7:40.0,Defensive rebound by G. Antetokounmpo,,59-73,,
7:36.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,61-73,,
7:14.0,,,61-73,,I. Thomas misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by G. Antetokounmpo,,61-73,,
7:01.0,K. Middleton makes 2-pt shot from 7 ft,2,63-73,,
7:00.0,,,63-73,,Boston full timeout
6:47.0,Shooting block foul by G. Antetokounmpo (drawn by A. Bradley),,63-73,,
6:47.0,Technical foul by G. Antetokounmpo (drawn by A. Bradley),,63-73,,
6:47.0,,,63-74,1,I. Thomas makes technical free throw
6:47.0,,,63-75,1,A. Bradley makes free throw 1 of 2
6:47.0,,,63-76,1,A. Bradley makes free throw 2 of 2
6:33.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,65-76,,
6:18.0,,,65-76,,Shooting foul by G. Monroe (drawn by M. Smart)
6:18.0,,,65-77,1,M. Smart makes free throw 1 of 2
6:18.0,,,65-78,1,M. Smart makes free throw 2 of 2
6:04.0,,,65-78,,Personal foul by M. Smart (drawn by K. Middleton)
5:58.0,Turnover by K. Middleton (bad pass; steal by E. Turner),,65-78,,
5:55.0,Personal foul by K. Middleton (drawn by E. Turner),,65-78,,
5:55.0,,,65-78,,J. Jerebko enters the game for M. Smart
5:48.0,Personal foul by M. Carter-Williams (drawn by I. Thomas),,65-78,,
5:45.0,Personal foul by M. Carter-Williams (drawn by I. Thomas),,65-78,,
5:45.0,,,65-79,1,I. Thomas makes free throw 1 of 2
5:45.0,,,65-80,1,I. Thomas makes free throw 2 of 2
5:35.0,M. Carter-Williams misses 2-pt shot from 9 ft,,65-80,,
5:34.0,,,65-80,,Defensive rebound by E. Turner
5:26.0,,,65-82,2,J. Sullinger makes 2-pt shot from 1 ft (assist by E. Turner)
5:09.0,,,65-82,,Personal foul by J. Jerebko (drawn by G. Antetokounmpo)
5:09.0,G. Antetokounmpo misses free throw 1 of 2,,65-82,,
5:09.0,Offensive rebound by Team,,65-82,,
5:09.0,J. Parker enters the game for S. Novak,,65-82,,
5:09.0,G. Antetokounmpo misses free throw 2 of 2,,65-82,,
5:09.0,,,65-82,,Defensive rebound by Team
4:46.0,,,65-82,,E. Turner misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by K. Middleton,,65-82,,
4:38.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,67-82,,
4:23.0,,,67-85,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Jerebko)
4:09.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,69-85,,
3:48.0,,,69-85,,I. Thomas misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by K. Middleton,,69-85,,
3:39.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,71-85,,
3:13.0,,,71-87,2,I. Thomas makes 2-pt shot from 19 ft
2:54.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,71-87,,
2:53.0,,,71-87,,Defensive rebound by Team
2:53.0,,,71-87,,R. Hunter enters the game for A. Bradley
2:53.0,O. Mayo enters the game for M. Carter-Williams,,71-87,,
2:41.0,,,71-87,,J. Jerebko misses 2-pt shot at rim (block by G. Monroe)
2:40.0,Defensive rebound by Team,,71-87,,
2:31.0,J. Parker misses 2-pt shot from 9 ft,,71-87,,
2:30.0,,,71-87,,Defensive rebound by J. Sullinger
2:29.0,Personal foul by J. Parker (drawn by I. Thomas),,71-87,,
2:29.0,,,71-87,,I. Thomas misses free throw 1 of 2
2:29.0,,,71-87,,Offensive rebound by Team
2:29.0,,,71-87,,A. Johnson enters the game for J. Sullinger
2:29.0,,,71-88,1,I. Thomas makes free throw 2 of 2
2:09.0,Milwaukee full timeout,,71-88,,
2:07.0,Turnover by O. Mayo (bad pass; steal by I. Thomas),,71-88,,
2:01.0,,,71-88,,R. Hunter misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by G. Monroe,,71-88,,
1:45.0,K. Middleton misses 2-pt shot from 1 ft (block by A. Johnson),,71-88,,
1:44.0,,,71-88,,Defensive rebound by E. Turner
1:31.0,,,71-88,,Shooting foul by J. Parker (drawn by A. Johnson)
1:31.0,,,71-88,,A. Johnson misses free throw 1 of 2
1:31.0,,,71-88,,Offensive rebound by Team
1:31.0,,,71-88,,A. Johnson misses free throw 2 of 2
1:31.0,Defensive rebound by Team,,71-88,,
1:13.0,J. Parker makes 2-pt shot at rim (assist by G. Monroe),2,73-88,,
0:56.0,,,73-88,,I. Thomas misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by Team,,73-88,,
0:38.0,G. Monroe misses 2-pt shot from 6 ft,,73-88,,
0:37.0,,,73-88,,Defensive rebound by E. Turner
0:30.0,,,73-88,,E. Turner misses 2-pt shot at rim (block by G. Antetokounmpo)
0:29.0,,,73-88,,Offensive rebound by J. Jerebko
0:21.0,,,73-88,,J. Sullinger enters the game for A. Johnson
0:14.0,,,73-88,,J. Sullinger misses 2-pt shot from 5 ft
0:13.0,,,73-88,,Offensive rebound by J. Sullinger
0:12.0,,,73-88,,J. Sullinger misses 2-pt shot from 3 ft
0:11.0,Defensive rebound by K. Middleton,,73-88,,
0:01.0,K. Middleton misses 2-pt shot from 7 ft,,73-88,,
0:01.0,,,73-88,,Defensive rebound by J. Sullinger
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,73-88,,E. Turner misses 2-pt shot at rim
11:49.0,Defensive rebound by G. Monroe,,73-88,,
11:38.0,G. Monroe makes 2-pt shot from 4 ft,2,75-88,,
11:38.0,Shooting foul by E. Turner (drawn by G. Monroe),,75-88,,
11:38.0,G. Monroe makes free throw 1 of 1,1,76-88,,
11:21.0,,,76-88,,A. Johnson misses 2-pt shot from 7 ft (block by G. Monroe)
11:20.0,Defensive rebound by R. Vaughn,,76-88,,
11:12.0,,,76-88,,M. Smart enters the game for R. Hunter
10:59.0,O. Mayo makes 3-pt shot from 26 ft (assist by G. Monroe),3,79-88,,
10:40.0,,,79-88,,A. Bradley misses 3-pt shot from 22 ft
10:39.0,,,79-88,,Offensive rebound by A. Bradley
10:37.0,,,79-90,2,A. Bradley makes 2-pt shot from 1 ft
10:14.0,R. Vaughn misses 2-pt shot from 9 ft,,79-90,,
10:13.0,Offensive rebound by J. Parker,,79-90,,
10:12.0,Shooting foul by J. Jerebko (drawn by J. Parker),,79-90,,
10:12.0,J. Parker makes free throw 1 of 2,1,80-90,,
10:12.0,J. Parker makes free throw 2 of 2,1,81-90,,
9:55.0,,,81-92,2,E. Turner makes 2-pt shot from 14 ft
9:40.0,G. Monroe makes 2-pt shot from 7 ft (assist by O. Mayo),2,83-92,,
9:29.0,,,83-92,,M. Smart misses 2-pt shot at rim
9:28.0,Defensive rebound by Team,,83-92,,
9:28.0,M. Carter-Williams enters the game for R. Vaughn,,83-92,,
9:28.0,Jump ball: J. Parker vs. M. Smart (O. Mayo gains possession),,,,Jump ball: J. Parker vs. M. Smart (O. Mayo gains possession)
9:17.0,Turnover by M. Carter-Williams (bad pass; steal by E. Turner),,83-92,,
9:12.0,,,83-92,,E. Turner misses 2-pt shot at rim (block by O. Mayo)
9:11.0,Defensive rebound by G. Monroe,,83-92,,
8:51.0,G. Monroe makes 2-pt shot from 17 ft (assist by K. Middleton),2,85-92,,
8:49.0,,,85-92,,Boston full timeout
8:49.0,,,85-92,,J. Sullinger enters the game for A. Johnson
8:31.0,,,85-92,,Shooting foul by O. Mayo (drawn by J. Sullinger)
8:31.0,,,85-93,1,J. Sullinger makes free throw 1 of 2
8:31.0,,,85-94,1,J. Sullinger makes free throw 2 of 2
8:16.0,G. Monroe misses 2-pt shot from 2 ft,,85-94,,
