time,Boston,pts.away,score,pts.home,Indiana
10:50.0,,,18-23,,G. Hill misses 2-pt shot from 15 ft
10:48.0,,,18-23,,Offensive rebound by M. Turner
10:48.0,,,18-23,,M. Turner misses 2-pt shot at rim
10:48.0,Defensive rebound by D. Lee,,18-23,,
10:39.0,T. Rozier misses 2-pt shot from 9 ft,,18-23,,
10:39.0,Offensive rebound by T. Rozier,,18-23,,
10:37.0,Turnover by T. Rozier (lost ball),,18-23,,
10:29.0,Shooting block foul by T. Rozier (drawn by G. Hill),,18-23,,
10:29.0,,,18-23,,G. Hill misses free throw 1 of 2
10:29.0,,,18-23,,Offensive rebound by Team
10:29.0,,,18-24,1,G. Hill makes free throw 2 of 2
10:18.0,Turnover by T. Rozier (bad pass; steal by G. Hill),,18-24,,
10:04.0,,,18-24,,C. Budinger misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by T. Rozier,,18-24,,
9:58.0,T. Rozier misses 2-pt shot at rim,,18-24,,
9:57.0,Offensive rebound by K. Olynyk,,18-24,,
9:57.0,K. Olynyk misses 2-pt shot from 1 ft,,18-24,,
9:55.0,,,18-24,,Defensive rebound by C. Budinger
9:46.0,,,18-24,,Turnover by G. Robinson (lost ball)
9:34.0,T. Rozier misses 2-pt shot at rim,,18-24,,
9:33.0,,,18-24,,Defensive rebound by G. Hill
9:20.0,,,18-24,,Shooting foul by K. Olynyk (drawn by G. Hill)
9:20.0,,,18-24,,G. Hill misses free throw 1 of 2
9:20.0,,,18-24,,Offensive rebound by Team
9:20.0,I. Thomas enters the game for T. Rozier,,18-24,,
9:20.0,R. Hunter enters the game for K. Olynyk,,18-24,,
9:20.0,,,18-24,,G. Hill misses free throw 2 of 2
9:20.0,Defensive rebound by E. Turner,,18-24,,
9:09.0,I. Thomas misses 2-pt shot from 1 ft,,18-24,,
9:08.0,Offensive rebound by D. Lee,,18-24,,
9:07.0,Shooting foul by M. Turner (drawn by D. Lee),,18-24,,
9:07.0,D. Lee misses free throw 1 of 2,,18-24,,
9:07.0,Offensive rebound by Team,,18-24,,
9:07.0,D. Lee makes free throw 2 of 2,1,19-24,,
8:52.0,,,19-24,,R. Stuckey misses 2-pt shot from 1 ft
8:52.0,,,19-24,,Offensive rebound by Team
8:52.0,Official timeout,,19-24,,
8:36.0,,,19-24,,Turnover by C. Budinger (traveling)
8:25.0,D. Lee makes 2-pt shot from 1 ft (assist by E. Turner),2,21-24,,
8:10.0,,,21-24,,C. Budinger misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by D. Lee,,21-24,,
8:02.0,J. Jerebko makes 2-pt shot at rim (assist by E. Turner),2,23-24,,
7:41.0,,,23-24,,Shooting foul by R. Hunter (drawn by G. Robinson)
7:41.0,,,23-25,1,G. Robinson makes free throw 1 of 2
7:41.0,,,23-25,,G. Robinson misses free throw 2 of 2
7:41.0,Defensive rebound by J. Jerebko,,23-25,,
7:29.0,E. Turner misses 2-pt shot from 16 ft,,23-25,,
7:28.0,,,23-25,,Defensive rebound by M. Turner
7:20.0,,,23-25,,G. Hill misses 2-pt shot from 18 ft
7:18.0,Defensive rebound by E. Turner,,23-25,,
7:16.0,Turnover by E. Turner (bad pass; steal by G. Robinson),,23-25,,
7:14.0,,,23-27,2,G. Robinson makes 2-pt shot at rim
7:14.0,,,23-27,,Shooting foul by E. Turner (drawn by G. Robinson)
7:14.0,,,23-28,1,G. Robinson makes free throw 1 of 1
7:07.0,I. Thomas makes 2-pt shot from 7 ft,2,25-28,,
6:44.0,,,25-28,,Shooting foul by D. Lee (drawn by M. Turner)
6:44.0,,,25-29,1,M. Turner makes free throw 1 of 2
6:44.0,,,25-30,1,M. Turner makes free throw 2 of 2
6:33.0,E. Turner misses 3-pt shot from 25 ft,,25-30,,
6:31.0,Offensive rebound by Team,,25-30,,
6:26.0,Turnover by I. Thomas (bad pass; steal by C. Budinger),,25-30,,
6:20.0,,,25-32,2,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Budinger)
6:08.0,I. Thomas makes 2-pt shot from 1 ft,2,27-32,,
5:51.0,,,27-32,,Indiana full timeout
5:51.0,,,27-32,,J. Hill enters the game for M. Turner
5:51.0,J. Sullinger enters the game for E. Turner,,27-32,,
5:51.0,J. Crowder enters the game for J. Jerebko,,27-32,,
5:51.0,A. Johnson enters the game for D. Lee,,27-32,,
5:40.0,,,27-32,,G. Robinson misses 2-pt shot from 16 ft
5:39.0,,,27-32,,Offensive rebound by C. Budinger
5:39.0,,,27-32,,C. Budinger misses 2-pt shot from 1 ft
5:38.0,Defensive rebound by J. Crowder,,27-32,,
5:23.0,R. Hunter makes 2-pt shot from 19 ft (assist by I. Thomas),2,29-32,,
5:16.0,,,29-32,,L. Allen enters the game for C. Budinger
5:07.0,,,29-32,,Turnover by J. Hill (lost ball; steal by J. Crowder)
5:03.0,I. Thomas makes 2-pt shot at rim,2,31-32,,
5:03.0,,,31-32,,Shooting block foul by R. Stuckey (drawn by I. Thomas)
5:03.0,,,31-32,,P. George enters the game for G. Robinson
5:03.0,,,31-32,,M. Ellis enters the game for R. Stuckey
5:03.0,I. Thomas makes free throw 1 of 1,1,32-32,,
4:49.0,,,32-32,,P. George misses 2-pt shot from 20 ft
4:48.0,Defensive rebound by J. Crowder,,32-32,,
4:43.0,I. Thomas misses 2-pt shot from 18 ft,,32-32,,
4:43.0,,,32-32,,Defensive rebound by J. Hill
4:28.0,,,32-35,3,G. Hill makes 3-pt shot from 26 ft (assist by M. Ellis)
4:14.0,Turnover by A. Johnson (bad pass; steal by G. Hill),,32-35,,
3:55.0,,,32-35,,M. Ellis misses 3-pt shot from 23 ft
3:54.0,,,32-35,,Offensive rebound by L. Allen
3:50.0,,,32-35,,G. Hill misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by J. Crowder,,32-35,,
3:43.0,Shooting foul by P. George (drawn by A. Johnson),,32-35,,
3:43.0,A. Johnson makes free throw 1 of 2,1,33-35,,
3:43.0,A. Bradley enters the game for R. Hunter,,33-35,,
3:43.0,A. Johnson makes free throw 2 of 2,1,34-35,,
3:26.0,,,34-35,,J. Hill misses 2-pt shot from 18 ft
3:25.0,,,34-35,,Offensive rebound by Team
3:02.0,,,34-38,3,M. Ellis makes 3-pt shot from 23 ft (assist by G. Hill)
2:55.0,I. Thomas misses 2-pt shot from 1 ft,,34-38,,
2:54.0,,,34-38,,Defensive rebound by J. Hill
2:45.0,,,34-38,,M. Ellis misses 3-pt shot from 24 ft
2:44.0,,,34-38,,Offensive rebound by P. George
2:39.0,Personal foul by J. Sullinger (drawn by P. George),,34-38,,
2:39.0,Boston full timeout,,34-38,,
2:39.0,,,34-38,,R. Stuckey enters the game for G. Hill
2:39.0,,,34-38,,P. George misses free throw 1 of 2
2:39.0,,,34-38,,Offensive rebound by Team
2:39.0,K. Olynyk enters the game for A. Johnson,,34-38,,
2:39.0,,,34-39,1,P. George makes free throw 2 of 2
2:24.0,Turnover by I. Thomas (step out of bounds),,34-39,,
2:13.0,,,34-42,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
1:57.0,K. Olynyk misses 3-pt shot from 24 ft,,34-42,,
1:57.0,,,34-42,,Defensive rebound by M. Ellis
1:50.0,,,34-44,2,J. Hill makes 2-pt shot at rim (assist by M. Ellis)
1:42.0,,,34-44,,Personal foul by M. Ellis (drawn by I. Thomas)
1:35.0,Shooting foul by L. Allen (drawn by I. Thomas),,34-44,,
1:35.0,I. Thomas makes free throw 1 of 2,1,35-44,,
1:35.0,,,35-44,,G. Hill enters the game for M. Ellis
1:35.0,I. Thomas makes free throw 2 of 2,1,36-44,,
1:27.0,,,36-44,,Turnover by G. Hill (bad pass)
1:27.0,,,36-44,,G. Robinson enters the game for R. Stuckey
1:20.0,Shooting foul by L. Allen (drawn by I. Thomas),,36-44,,
1:20.0,I. Thomas makes free throw 1 of 2,1,37-44,,
1:20.0,I. Thomas makes free throw 2 of 2,1,38-44,,
1:10.0,,,38-44,,L. Allen misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by A. Bradley,,38-44,,
1:02.0,A. Bradley misses 2-pt shot from 1 ft,,38-44,,
1:00.0,Offensive rebound by J. Sullinger,,38-44,,
1:00.0,J. Sullinger makes 2-pt shot at rim,2,40-44,,
0:42.0,,,40-44,,G. Hill misses 3-pt shot from 22 ft
0:40.0,,,40-44,,Offensive rebound by L. Allen
0:36.0,,,40-47,3,P. George makes 3-pt shot from 26 ft (assist by L. Allen)
0:29.0,I. Thomas makes 3-pt shot from 26 ft (assist by A. Bradley),3,43-47,,
0:29.0,,,43-47,,Indiana full timeout
0:29.0,J. Jerebko enters the game for I. Thomas,,43-47,,
0:29.0,A. Johnson enters the game for K. Olynyk,,43-47,,
0:29.0,,,43-47,,M. Ellis enters the game for G. Hill
0:29.0,,,43-47,,Violation by Team (delay of game)
0:10.0,,,43-47,,M. Ellis misses 2-pt shot from 16 ft
0:09.0,,,43-47,,Offensive rebound by M. Ellis
0:04.0,,,43-47,,P. George misses 3-pt shot from 25 ft
0:03.0,,,43-47,,Offensive rebound by J. Hill
0:01.0,,,43-49,2,J. Hill makes 2-pt shot from 11 ft
0:01.0,Boston full timeout,,43-49,,
0:01.0,I. Thomas enters the game for A. Johnson,,43-49,,
0:01.0,R. Hunter enters the game for J. Jerebko,,43-49,,
0:01.0,,,43-49,,G. Hill enters the game for L. Allen
0:01.0,,,43-49,,C. Budinger enters the game for M. Ellis
0:01.0,Turnover by J. Crowder (inbound),,43-49,,
0:01.0,E. Turner enters the game for I. Thomas,,43-49,,
0:01.0,A. Johnson enters the game for R. Hunter,,43-49,,
0:01.0,,,43-49,,L. Allen enters the game for C. Budinger
0:00.0,,,43-49,,P. George misses 2-pt shot from 14 ft (block by J. Sullinger)
0:00.0,,,43-49,,Offensive rebound by P. George
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,J. Sullinger misses 2-pt shot from 19 ft,,43-49,,
11:49.0,,,43-49,,Defensive rebound by G. Hill
11:28.0,,,43-49,,L. Allen misses 2-pt shot from 7 ft
11:27.0,Defensive rebound by A. Johnson,,43-49,,
11:13.0,J. Crowder makes 3-pt shot from 26 ft (assist by J. Sullinger),3,46-49,,
10:50.0,,,46-49,,J. Hill misses 2-pt shot from 11 ft
10:49.0,,,46-49,,Offensive rebound by L. Allen
10:49.0,Personal foul by A. Johnson (drawn by L. Allen),,46-49,,
10:40.0,,,46-52,3,P. George makes 3-pt shot from 26 ft
10:26.0,J. Crowder misses 2-pt shot from 20 ft,,46-52,,
10:25.0,,,46-52,,Defensive rebound by P. George
10:10.0,,,46-55,3,P. George makes 3-pt shot from 27 ft (assist by M. Ellis)
9:54.0,Shooting foul by P. George (drawn by J. Crowder),,46-55,,
9:54.0,J. Crowder makes free throw 1 of 2,1,47-55,,
9:54.0,J. Crowder makes free throw 2 of 2,1,48-55,,
9:41.0,,,48-55,,Offensive foul by J. Hill
9:41.0,,,48-55,,Turnover by J. Hill (offensive foul)
9:30.0,I. Thomas makes 2-pt shot from 1 ft,2,50-55,,
9:14.0,,,50-55,,Shooting foul by A. Bradley (drawn by G. Hill)
9:14.0,,,50-56,1,G. Hill makes free throw 1 of 2
9:14.0,,,50-57,1,G. Hill makes free throw 2 of 2
9:03.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas),2,52-57,,
8:48.0,,,52-57,,Turnover by P. George (lost ball; steal by A. Bradley)
8:48.0,,,52-57,,Loose ball foul by P. George (drawn by J. Crowder)
8:39.0,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley),2,54-57,,
8:39.0,,,54-57,,Indiana full timeout
8:20.0,,,54-57,,P. George misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by A. Johnson,,54-57,,
8:01.0,A. Johnson misses 2-pt shot from 1 ft,,54-57,,
8:00.0,Offensive rebound by J. Sullinger,,54-57,,
8:00.0,J. Sullinger misses 2-pt shot from 1 ft,,54-57,,
7:59.0,,,54-57,,Defensive rebound by P. George
7:45.0,,,54-57,,G. Hill misses 2-pt shot from 6 ft
7:43.0,,,54-57,,Offensive rebound by L. Allen
7:41.0,,,54-57,,L. Allen misses 2-pt shot from 3 ft
7:40.0,Defensive rebound by A. Johnson,,54-57,,
7:34.0,I. Thomas misses 3-pt shot from 25 ft,,54-57,,
7:32.0,Offensive rebound by I. Thomas,,54-57,,
7:29.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,56-57,,
7:12.0,,,56-59,2,L. Allen makes 2-pt shot at rim (assist by G. Hill)
6:49.0,J. Sullinger misses 2-pt shot from 1 ft,,56-59,,
6:49.0,,,56-59,,Defensive rebound by L. Allen
6:43.0,Personal foul by J. Sullinger (drawn by G. Hill),,56-59,,
6:33.0,,,56-59,,M. Ellis misses 2-pt shot from 10 ft
6:32.0,Defensive rebound by J. Sullinger,,56-59,,
6:31.0,,,56-59,,Personal foul by P. George (drawn by I. Thomas)
6:31.0,,,56-59,,C. Budinger enters the game for P. George
6:18.0,I. Thomas misses 2-pt shot from 6 ft,,56-59,,
6:17.0,Offensive rebound by J. Sullinger,,56-59,,
6:17.0,Shooting foul by J. Hill (drawn by J. Sullinger),,56-59,,
6:17.0,J. Sullinger makes free throw 1 of 2,1,57-59,,
6:17.0,J. Sullinger makes free throw 2 of 2,1,58-59,,
5:57.0,,,58-59,,J. Hill misses 2-pt shot from 18 ft
5:56.0,Defensive rebound by J. Crowder,,58-59,,
5:56.0,,,58-59,,Loose ball foul by L. Allen (drawn by J. Crowder)
5:56.0,J. Crowder makes free throw 1 of 2,1,59-59,,
5:56.0,J. Crowder misses free throw 2 of 2,,59-59,,
5:56.0,,,59-59,,Defensive rebound by J. Hill
5:33.0,,,59-59,,M. Ellis misses 2-pt shot from 6 ft
5:32.0,,,59-59,,Offensive rebound by J. Hill
5:30.0,,,59-61,2,J. Hill makes 2-pt shot at rim
5:19.0,Turnover by A. Bradley (bad pass; steal by J. Hill),,59-61,,
5:09.0,,,59-61,,C. Budinger misses 3-pt shot from 24 ft
5:07.0,,,59-61,,Offensive rebound by L. Allen
5:07.0,,,59-61,,L. Allen misses 2-pt shot at rim
5:07.0,Defensive rebound by J. Sullinger,,59-61,,
4:55.0,J. Sullinger makes 3-pt shot from 26 ft (assist by I. Thomas),3,62-61,,
4:38.0,,,62-63,2,J. Hill makes 2-pt shot from 16 ft (assist by M. Ellis)
4:16.0,Turnover by I. Thomas (lost ball; steal by J. Hill),,62-63,,
4:10.0,,,62-65,2,C. Budinger makes 2-pt shot from 1 ft (assist by G. Hill)
3:46.0,J. Sullinger misses 3-pt shot from 26 ft,,62-65,,
3:44.0,,,62-65,,Defensive rebound by L. Allen
3:38.0,,,62-65,,Turnover by M. Ellis (bad pass; steal by I. Thomas)
3:36.0,Shooting foul by L. Allen (drawn by J. Crowder),,62-65,,
3:36.0,J. Crowder misses free throw 1 of 2,,62-65,,
3:36.0,Offensive rebound by Team,,62-65,,
3:36.0,,,62-65,,R. Stuckey enters the game for L. Allen
3:36.0,,,62-65,,M. Turner enters the game for J. Hill
3:36.0,,,62-65,,G. Robinson enters the game for G. Hill
3:36.0,E. Turner enters the game for A. Johnson,,62-65,,
3:36.0,J. Jerebko enters the game for J. Sullinger,,62-65,,
3:36.0,D. Lee enters the game for I. Thomas,,62-65,,
3:36.0,J. Crowder makes free throw 2 of 2,1,63-65,,
3:18.0,,,63-67,2,C. Budinger makes 2-pt shot from 1 ft
3:05.0,E. Turner makes 2-pt shot from 18 ft,2,65-67,,
2:51.0,,,65-69,2,M. Ellis makes 2-pt shot from 20 ft
2:35.0,A. Bradley makes 2-pt shot from 19 ft,2,67-69,,
2:14.0,,,67-71,2,M. Ellis makes 2-pt shot from 18 ft
2:00.0,Turnover by D. Lee (bad pass; steal by M. Ellis),,67-71,,
1:52.0,,,67-71,,M. Ellis misses 2-pt shot from 8 ft
1:51.0,Defensive rebound by J. Jerebko,,67-71,,
1:38.0,E. Turner makes 2-pt shot from 16 ft,2,69-71,,
1:25.0,,,69-73,2,R. Stuckey makes 2-pt shot from 19 ft (assist by M. Turner)
1:17.0,Boston full timeout,,69-73,,
1:17.0,R. Hunter enters the game for J. Crowder,,69-73,,
1:10.0,A. Bradley misses 3-pt shot from 25 ft,,69-73,,
1:10.0,,,69-73,,Defensive rebound by R. Stuckey
0:55.0,,,69-73,,R. Stuckey misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by J. Jerebko,,69-73,,
0:45.0,D. Lee makes 2-pt shot at rim (assist by E. Turner),2,71-73,,
0:45.0,Shooting foul by C. Budinger (drawn by D. Lee),,71-73,,
0:45.0,D. Lee makes free throw 1 of 1,1,72-73,,
0:36.0,Personal foul by D. Lee (drawn by M. Turner),,72-73,,
0:28.0,,,72-73,,M. Ellis misses 2-pt shot from 11 ft
0:27.0,Defensive rebound by D. Lee,,72-73,,
0:02.0,E. Turner misses 2-pt shot from 13 ft,,72-73,,
0:01.0,,,72-73,,Defensive rebound by M. Ellis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,72-73,,Offensive charge foul by G. Hill
11:45.0,,,72-73,,Turnover by G. Hill (offensive foul)
11:31.0,D. Lee misses 2-pt shot from 8 ft,,72-73,,
11:30.0,,,72-73,,Defensive rebound by G. Robinson
11:18.0,Personal foul by J. Jerebko (drawn by G. Hill),,72-73,,
11:09.0,,,72-73,,R. Stuckey misses 2-pt shot from 16 ft
11:08.0,,,72-73,,Offensive rebound by G. Robinson
11:08.0,,,72-75,2,G. Robinson makes 2-pt shot at rim
10:52.0,D. Lee makes 2-pt shot from 1 ft (assist by E. Turner),2,74-75,,
10:30.0,I. Thomas enters the game for A. Bradley,,74-75,,
10:30.0,Jump ball: R. Hunter vs. R. Stuckey (G. Robinson gains possession),,,,Jump ball: R. Hunter vs. R. Stuckey (G. Robinson gains possession)
10:25.0,,,74-77,2,G. Robinson makes 2-pt shot from 18 ft
10:11.0,D. Lee misses 2-pt shot from 5 ft,,74-77,,
10:11.0,,,74-77,,Defensive rebound by C. Budinger
9:55.0,,,74-77,,Shooting foul by R. Hunter (drawn by M. Turner)
9:55.0,,,74-78,1,M. Turner makes free throw 1 of 2
9:55.0,,,74-78,,M. Turner misses free throw 2 of 2
9:55.0,Defensive rebound by E. Turner,,74-78,,
9:38.0,J. Jerebko makes 2-pt shot from 10 ft (assist by I. Thomas),2,76-78,,
9:20.0,,,76-78,,R. Stuckey misses 2-pt shot from 20 ft
9:20.0,,,76-78,,Offensive rebound by M. Turner
9:20.0,Personal foul by J. Jerebko (drawn by M. Turner),,76-78,,
9:16.0,,,76-78,,M. Turner misses 2-pt shot from 6 ft (block by E. Turner)
9:15.0,Defensive rebound by E. Turner,,76-78,,
9:12.0,,,76-78,,Personal foul by G. Hill (drawn by J. Jerebko)
9:02.0,R. Hunter misses 3-pt shot from 24 ft,,76-78,,
9:01.0,Offensive rebound by D. Lee,,76-78,,
8:57.0,I. Thomas makes 3-pt shot from 25 ft (assist by D. Lee),3,79-78,,
8:39.0,,,79-78,,Turnover by G. Hill (lost ball)
8:39.0,Official timeout,,79-78,,
8:39.0,,,79-78,,P. George enters the game for C. Budinger
8:21.0,Turnover by J. Jerebko (lost ball),,79-78,,
8:08.0,,,79-78,,Turnover by R. Stuckey (bad pass; steal by I. Thomas)
8:06.0,,,79-78,,Personal foul by R. Stuckey (drawn by I. Thomas)
7:52.0,E. Turner makes 3-pt shot from 25 ft (assist by I. Thomas),3,82-78,,
7:34.0,,,82-78,,Shooting foul by R. Hunter (drawn by G. Robinson)
7:34.0,,,82-79,1,G. Robinson makes free throw 1 of 2
7:34.0,,,82-80,1,G. Robinson makes free throw 2 of 2
7:22.0,Turnover by I. Thomas (bad pass),,82-80,,
7:09.0,,,82-83,3,R. Stuckey makes 3-pt shot from 26 ft (assist by P. George)
6:58.0,E. Turner misses 2-pt shot from 19 ft,,82-83,,
6:56.0,Offensive rebound by J. Jerebko,,82-83,,
