time,Houston,pts.away,score,pts.home,Sacramento
7:37.0,J. Harden makes free throw 2 of 2,1,14-4,,
7:20.0,,,14-4,,R. Gay misses 2-pt shot from 10 ft
7:19.0,Defensive rebound by C. Capela,,14-4,,
7:11.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,16-4,,
6:55.0,,,16-4,,M. Belinelli misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by T. Lawson,,16-4,,
6:44.0,Shooting foul by K. Koufos (drawn by T. Ariza),,16-4,,
6:44.0,T. Ariza makes free throw 1 of 2,1,17-4,,
6:44.0,T. Ariza makes free throw 2 of 2,1,18-4,,
6:21.0,,,18-4,,R. Rondo misses 2-pt shot from 10 ft
6:21.0,,,18-4,,Offensive rebound by K. Koufos
6:20.0,,,18-4,,K. Koufos misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by T. Ariza,,18-4,,
6:15.0,Turnover by M. Thornton (step out of bounds),,18-4,,
6:09.0,,,18-4,,Turnover by R. Rondo (lost ball)
6:00.0,Shooting foul by R. Gay (drawn by J. Harden),,18-4,,
6:00.0,J. Harden makes free throw 1 of 2,1,19-4,,
6:00.0,,,19-4,,O. Casspi enters the game for R. Gay
6:00.0,J. Terry enters the game for C. Capela,,19-4,,
6:00.0,C. Hayes enters the game for T. Lawson,,19-4,,
6:00.0,J. Harden misses free throw 2 of 2,,19-4,,
5:59.0,,,19-4,,Defensive rebound by K. Koufos
5:48.0,,,19-4,,K. Koufos misses 2-pt shot from 2 ft
5:46.0,,,19-4,,Offensive rebound by K. Koufos
5:46.0,,,19-4,,K. Koufos misses 2-pt shot from 1 ft
5:44.0,,,19-4,,Offensive rebound by R. Rondo
5:44.0,,,19-6,2,R. Rondo makes 2-pt shot from 1 ft
5:41.0,Turnover by C. Hayes (bad pass; steal by R. Rondo),,19-6,,
5:39.0,,,19-6,,Turnover by R. Rondo (bad pass; steal by T. Ariza)
5:25.0,M. Thornton misses 3-pt shot from 23 ft,,19-6,,
5:25.0,,,19-6,,Defensive rebound by K. Koufos
5:14.0,,,19-6,,J. Anderson misses 2-pt shot from 10 ft
5:14.0,Defensive rebound by M. Thornton,,19-6,,
5:08.0,T. Ariza misses 2-pt shot from 2 ft,,19-6,,
5:07.0,Offensive rebound by T. Ariza,,19-6,,
5:06.0,T. Ariza makes 2-pt shot from 2 ft,2,21-6,,
4:41.0,,,21-6,,O. Casspi misses 2-pt shot from 1 ft
4:41.0,,,21-6,,Offensive rebound by K. Koufos
4:38.0,,,21-8,2,K. Koufos makes 2-pt shot from 2 ft
4:36.0,,,21-8,,Violation by Team (jump ball)
4:26.0,,,21-8,,Shooting block foul by K. Koufos (drawn by J. Harden)
4:26.0,J. Harden misses free throw 1 of 2,,21-8,,
4:26.0,Offensive rebound by Team,,21-8,,
4:26.0,,,21-8,,W. Cauley-Stein enters the game for K. Koufos
4:26.0,,,21-8,,D. Collison enters the game for M. Belinelli
4:26.0,C. Brewer enters the game for M. Thornton,,21-8,,
4:26.0,J. Harden makes free throw 2 of 2,1,22-8,,
4:12.0,,,22-8,,W. Cauley-Stein misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by C. Hayes,,22-8,,
4:02.0,Turnover by J. Harden (lost ball),,22-8,,
3:59.0,Jump ball: W. Cauley-Stein vs. J. Harden (R. Rondo gains possession),,,,Jump ball: W. Cauley-Stein vs. J. Harden (R. Rondo gains possession)
3:54.0,,,22-10,2,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo)
3:41.0,J. Harden misses 2-pt shot from 20 ft,,22-10,,
3:41.0,,,22-10,,Defensive rebound by J. Anderson
3:33.0,,,22-10,,R. Rondo misses 2-pt shot from 18 ft
3:32.0,,,22-10,,Offensive rebound by J. Anderson
3:32.0,,,22-10,,Shooting foul by C. Hayes (drawn by J. Anderson)
3:32.0,,,22-11,1,J. Anderson makes free throw 1 of 2
3:32.0,,,22-12,1,J. Anderson makes free throw 2 of 2
3:17.0,Turnover by J. Harden (bad pass),,22-12,,
3:16.0,,,22-12,,B. McLemore enters the game for J. Anderson
3:03.0,T. Lawson enters the game for J. Harden,,22-12,,
2:58.0,,,22-14,2,D. Collison makes 2-pt shot from 12 ft
2:38.0,J. Terry misses 3-pt shot from 23 ft,,22-14,,
2:37.0,,,22-14,,Defensive rebound by B. McLemore
2:31.0,,,22-14,,Shooting foul by T. Ariza (drawn by W. Cauley-Stein)
2:31.0,Houston full timeout,,22-14,,
2:31.0,M. Thornton enters the game for T. Ariza,,22-14,,
2:31.0,C. Capela enters the game for C. Hayes,,22-14,,
2:31.0,,,22-14,,W. Cauley-Stein misses free throw 1 of 2
2:31.0,,,22-14,,Offensive rebound by Team
2:31.0,,,22-15,1,W. Cauley-Stein makes free throw 2 of 2
2:10.0,M. Thornton misses 2-pt shot from 21 ft,,22-15,,
2:10.0,,,22-15,,Defensive rebound by B. McLemore
1:59.0,,,22-15,,D. Collison misses 2-pt shot from 3 ft
1:58.0,,,22-15,,Offensive rebound by W. Cauley-Stein
1:56.0,,,22-15,,W. Cauley-Stein misses 2-pt shot from 2 ft
1:55.0,,,22-15,,Offensive rebound by Team
1:54.0,Personal foul by C. Brewer (drawn by O. Casspi),,22-15,,
1:54.0,,,22-16,1,O. Casspi makes free throw 1 of 2
1:54.0,,,22-16,,O. Casspi misses free throw 2 of 2
1:53.0,Defensive rebound by C. Capela,,22-16,,
1:34.0,Turnover by T. Lawson (bad pass; steal by W. Cauley-Stein),,22-16,,
1:29.0,,,22-18,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Collison)
1:17.0,M. Thornton makes 3-pt shot from 23 ft (assist by C. Brewer),3,25-18,,
1:04.0,Personal foul by T. Lawson (drawn by O. Casspi),,25-18,,
1:04.0,,,25-19,1,O. Casspi makes free throw 1 of 2
1:04.0,,,25-20,1,O. Casspi makes free throw 2 of 2
0:50.0,C. Capela misses 2-pt shot from 3 ft,,25-20,,
0:49.0,,,25-20,,Defensive rebound by O. Casspi
0:43.0,,,25-20,,D. Collison misses 2-pt shot from 4 ft (block by C. Capela)
0:41.0,Defensive rebound by T. Lawson,,25-20,,
0:39.0,C. Brewer makes 2-pt shot at rim (assist by M. Thornton),2,27-20,,
0:32.0,,,27-23,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo)
0:17.0,J. Terry makes 2-pt shot from 17 ft,2,29-23,,
0:01.0,,,29-23,,Turnover by B. McLemore (lost ball; steal by M. Thornton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by C. Capela (bad pass),,29-23,,
11:31.0,,,29-26,3,B. McLemore makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
11:09.0,C. Capela misses 2-pt shot from 3 ft,,29-26,,
11:07.0,,,29-26,,Defensive rebound by O. Casspi
11:07.0,Personal foul by C. Capela (drawn by O. Casspi),,29-26,,
11:07.0,J. Harden enters the game for J. Terry,,29-26,,
10:49.0,,,29-26,,Turnover by O. Casspi (bad pass; steal by C. Brewer)
10:44.0,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela),2,31-26,,
10:29.0,,,31-28,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore)
10:17.0,M. Thornton misses 3-pt shot from 23 ft,,31-28,,
10:17.0,,,31-28,,Defensive rebound by B. McLemore
10:09.0,,,31-28,,D. Collison misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by M. Thornton,,31-28,,
9:56.0,T. Lawson misses 2-pt shot from 20 ft,,31-28,,
9:56.0,,,31-28,,Defensive rebound by W. Cauley-Stein
9:51.0,,,31-30,2,D. Collison makes 2-pt shot from 1 ft (assist by B. McLemore)
9:37.0,J. Harden misses 2-pt shot from 12 ft,,31-30,,
9:36.0,Offensive rebound by M. Thornton,,31-30,,
9:34.0,M. Thornton makes 2-pt shot from 5 ft,2,33-30,,
9:20.0,,,33-32,2,O. Casspi makes 2-pt shot from 7 ft
9:15.0,,,33-32,,Personal foul by B. McLemore (drawn by C. Brewer)
9:15.0,,,33-32,,K. Koufos enters the game for W. Cauley-Stein
9:15.0,C. Hayes enters the game for C. Capela,,33-32,,
9:08.0,C. Hayes makes 2-pt shot from 2 ft (assist by J. Harden),2,35-32,,
8:45.0,,,35-32,,D. Collison misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by Team,,35-32,,
8:44.0,Official timeout,,35-32,,
8:28.0,C. Hayes misses 2-pt shot from 8 ft,,35-32,,
8:27.0,Offensive rebound by T. Lawson,,35-32,,
8:19.0,Turnover by J. Harden (bad pass; steal by D. Collison),,35-32,,
8:16.0,,,35-32,,Shooting foul by T. Lawson (drawn by D. Collison)
8:16.0,,,35-33,1,D. Collison makes free throw 1 of 2
8:16.0,,,35-34,1,D. Collison makes free throw 2 of 2
8:04.0,Offensive foul by C. Hayes,,35-34,,
8:04.0,Turnover by C. Hayes (offensive foul),,35-34,,
8:04.0,T. Ariza enters the game for C. Brewer,,35-34,,
8:04.0,,,35-34,,R. Gay enters the game for O. Casspi
7:46.0,,,35-34,,R. Gay misses 2-pt shot from 6 ft
7:45.0,Defensive rebound by T. Ariza,,35-34,,
7:34.0,J. Harden misses 3-pt shot from 24 ft,,35-34,,
7:33.0,,,35-34,,Defensive rebound by K. Koufos
7:25.0,,,35-37,3,D. Collison makes 3-pt shot from 23 ft (assist by M. Belinelli)
7:15.0,J. Harden makes 2-pt shot from 5 ft,2,37-37,,
7:06.0,,,37-37,,D. Collison misses 2-pt shot from 16 ft
7:06.0,Defensive rebound by T. Ariza,,37-37,,
6:56.0,,,37-37,,Violation by B. McLemore (def goaltending)
6:56.0,J. Harden makes 2-pt shot from 7 ft,2,39-37,,
6:56.0,Shooting foul by D. Collison (drawn by J. Harden),,39-37,,
6:56.0,C. Capela enters the game for C. Hayes,,39-37,,
6:56.0,J. Harden makes free throw 1 of 1,1,40-37,,
6:33.0,,,40-37,,R. Gay misses 2-pt shot from 7 ft (block by C. Capela)
6:32.0,Defensive rebound by C. Capela,,40-37,,
6:27.0,M. Thornton misses 2-pt shot from 2 ft,,40-37,,
6:26.0,Offensive rebound by C. Capela,,40-37,,
6:26.0,C. Capela makes 2-pt shot at rim,2,42-37,,
6:16.0,,,42-37,,R. Gay misses 2-pt shot from 4 ft (block by C. Capela)
6:14.0,Defensive rebound by T. Lawson,,42-37,,
6:10.0,M. Thornton misses 3-pt shot from 25 ft,,42-37,,
6:09.0,,,42-37,,Defensive rebound by R. Gay
6:03.0,,,42-37,,D. Collison misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by T. Ariza,,42-37,,
5:51.0,T. Lawson makes 3-pt shot from 24 ft (assist by C. Capela),3,45-37,,
5:50.0,,,45-37,,Sacramento full timeout
5:50.0,,,45-37,,R. Rondo enters the game for D. Collison
5:41.0,,,45-37,,Offensive foul by R. Gay
5:41.0,,,45-37,,Turnover by R. Gay (offensive foul)
5:33.0,Offensive foul by C. Capela,,45-37,,
5:33.0,Turnover by C. Capela (offensive foul),,45-37,,
5:33.0,,,45-37,,O. Casspi enters the game for R. Gay
5:33.0,C. Hayes enters the game for C. Capela,,45-37,,
5:10.0,,,45-39,2,R. Rondo makes 2-pt shot from 18 ft (assist by M. Belinelli)
4:49.0,J. Harden makes 2-pt shot from 11 ft,2,47-39,,
4:45.0,,,47-41,2,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo)
4:23.0,Turnover by T. Lawson (bad pass; steal by R. Rondo),,47-41,,
4:12.0,,,47-41,,R. Rondo misses 2-pt shot from 13 ft
4:12.0,Defensive rebound by C. Hayes,,47-41,,
4:09.0,J. Harden makes 2-pt shot from 4 ft,2,49-41,,
4:09.0,Shooting foul by O. Casspi (drawn by J. Harden),,49-41,,
4:09.0,,,49-41,,J. Anderson enters the game for B. McLemore
4:09.0,J. Harden makes free throw 1 of 1,1,50-41,,
3:56.0,,,50-41,,M. Belinelli misses 3-pt shot from 24 ft
3:55.0,,,50-41,,Offensive rebound by R. Rondo
3:49.0,,,50-43,2,M. Belinelli makes 2-pt shot from 1 ft (assist by R. Rondo)
3:34.0,T. Lawson makes 2-pt shot from 2 ft (assist by C. Hayes),2,52-43,,
3:18.0,,,52-43,,M. Belinelli misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by Team,,52-43,,
3:18.0,Houston full timeout,,52-43,,
3:18.0,,,52-43,,W. Cauley-Stein enters the game for K. Koufos
3:18.0,,,52-43,,D. Collison enters the game for M. Belinelli
3:18.0,C. Brewer enters the game for M. Thornton,,52-43,,
3:18.0,J. Terry enters the game for T. Lawson,,52-43,,
3:09.0,J. Harden makes 2-pt shot from 2 ft (assist by C. Hayes),2,54-43,,
2:44.0,,,54-43,,R. Rondo misses 2-pt shot from 17 ft
2:44.0,,,54-43,,Offensive rebound by W. Cauley-Stein
2:39.0,,,54-43,,O. Casspi misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by C. Hayes,,54-43,,
2:29.0,J. Harden misses 3-pt shot from 24 ft,,54-43,,
2:27.0,,,54-43,,Defensive rebound by J. Anderson
2:17.0,,,54-45,2,R. Rondo makes 2-pt shot from 20 ft (assist by D. Collison)
2:04.0,Turnover by C. Hayes (lost ball; steal by O. Casspi),,54-45,,
1:58.0,,,54-47,2,R. Rondo makes 2-pt shot from 1 ft (assist by O. Casspi)
1:39.0,,,54-47,,Shooting block foul by W. Cauley-Stein (drawn by C. Hayes)
1:39.0,C. Hayes makes free throw 1 of 2,1,55-47,,
1:39.0,,,55-47,,B. McLemore enters the game for J. Anderson
1:39.0,C. Hayes makes free throw 2 of 2,1,56-47,,
1:21.0,,,56-47,,D. Collison misses 3-pt shot from 24 ft
1:21.0,,,56-47,,Offensive rebound by Team
1:21.0,Loose ball foul by C. Brewer (drawn by O. Casspi),,56-47,,
1:12.0,,,56-49,2,O. Casspi makes 2-pt shot from 4 ft
1:03.0,Turnover by C. Brewer (bad pass; steal by R. Rondo),,56-49,,
1:00.0,Personal foul by C. Hayes (drawn by R. Rondo),,56-49,,
1:00.0,,,56-50,1,B. McLemore makes free throw 1 of 2
1:00.0,M. Harrell enters the game for J. Terry,,56-50,,
1:00.0,T. Lawson enters the game for C. Hayes,,56-50,,
1:00.0,M. Thornton enters the game for C. Brewer,,56-50,,
1:00.0,,,56-50,,B. McLemore misses free throw 2 of 2
0:58.0,Defensive rebound by T. Ariza,,56-50,,
0:45.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Lawson),3,59-50,,
0:27.0,,,59-50,,Turnover by D. Collison (bad pass; steal by J. Harden)
0:23.0,J. Harden makes 2-pt shot from 2 ft,2,61-50,,
0:01.0,,,61-50,,B. McLemore misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. Harden,,61-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,T. Ariza misses 2-pt shot from 17 ft,,61-50,,
11:41.0,,,61-50,,Defensive rebound by R. Rondo
11:32.0,,,61-50,,Turnover by R. Rondo (bad pass; steal by T. Ariza)
11:28.0,T. Ariza makes 2-pt shot from 1 ft,2,63-50,,
10:58.0,,,63-50,,R. Rondo misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by C. Capela,,63-50,,
10:38.0,M. Thornton misses 3-pt shot from 23 ft,,63-50,,
10:37.0,,,63-50,,Defensive rebound by R. Gay
10:31.0,Personal foul by T. Lawson (drawn by M. Belinelli),,63-50,,
10:17.0,,,63-50,,R. Rondo misses 2-pt shot from 5 ft (block by C. Capela)
10:17.0,,,63-50,,Offensive rebound by Team
10:14.0,,,63-50,,M. Belinelli misses 2-pt shot from 15 ft
10:14.0,,,63-50,,Offensive rebound by K. Koufos
10:12.0,,,63-52,2,K. Koufos makes 2-pt shot from 4 ft
9:54.0,T. Ariza makes 3-pt shot from 24 ft (assist by T. Lawson),3,66-52,,
9:36.0,,,66-52,,Shooting foul by C. Capela (drawn by R. Gay)
9:36.0,,,66-52,,R. Gay misses free throw 1 of 2
9:36.0,,,66-52,,Offensive rebound by Team
9:36.0,C. Hayes enters the game for C. Capela,,66-52,,
9:36.0,,,66-53,1,R. Gay makes free throw 2 of 2
9:20.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,69-53,,
9:00.0,,,69-53,,R. Gay misses 2-pt shot from 10 ft
8:59.0,Defensive rebound by C. Hayes,,69-53,,
8:47.0,T. Ariza misses 3-pt shot from 23 ft,,69-53,,
8:46.0,,,69-53,,Defensive rebound by R. Rondo
8:40.0,,,69-53,,M. Belinelli misses 2-pt shot from 18 ft
8:39.0,Defensive rebound by C. Hayes,,69-53,,
8:31.0,T. Lawson misses 2-pt shot from 2 ft (block by K. Koufos),,69-53,,
8:31.0,,,69-53,,Defensive rebound by R. Rondo
8:31.0,Personal foul by M. Thornton (drawn by R. Rondo),,69-53,,
8:15.0,,,69-53,,J. Anderson misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by C. Hayes,,69-53,,
8:07.0,M. Thornton misses 3-pt shot from 24 ft,,69-53,,
8:07.0,,,69-53,,Defensive rebound by J. Anderson
7:46.0,,,69-53,,R. Rondo misses 2-pt shot from 19 ft
7:46.0,Defensive rebound by C. Hayes,,69-53,,
7:32.0,J. Harden makes 2-pt shot from 15 ft,2,71-53,,
7:31.0,,,71-53,,Sacramento full timeout
7:13.0,,,71-55,2,R. Rondo makes 2-pt shot from 2 ft (assist by R. Gay)
6:58.0,M. Thornton misses 3-pt shot from 23 ft,,71-55,,
6:58.0,,,71-55,,Defensive rebound by R. Rondo
6:45.0,,,71-55,,R. Gay misses 2-pt shot from 1 ft
6:45.0,Defensive rebound by M. Thornton,,71-55,,
6:35.0,T. Lawson makes 3-pt shot from 23 ft (assist by J. Harden),3,74-55,,
6:26.0,,,74-57,2,R. Rondo makes 2-pt shot from 1 ft
6:10.0,Turnover by J. Harden (lost ball; steal by K. Koufos),,74-57,,
6:04.0,,,74-57,,J. Anderson misses 3-pt shot from 25 ft
6:04.0,,,74-57,,Offensive rebound by R. Rondo
5:59.0,,,74-57,,M. Belinelli misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by J. Harden,,74-57,,
5:50.0,T. Lawson makes 3-pt shot from 25 ft (assist by J. Harden),3,77-57,,
5:26.0,Shooting block foul by C. Hayes (drawn by M. Belinelli),,77-57,,
5:26.0,,,77-57,,M. Belinelli misses free throw 1 of 2
5:26.0,,,77-57,,Offensive rebound by Team
5:26.0,,,77-57,,W. Cauley-Stein enters the game for J. Anderson
5:26.0,,,77-57,,B. McLemore enters the game for K. Koufos
5:26.0,,,77-57,,D. Collison enters the game for R. Rondo
5:26.0,C. Brewer enters the game for M. Thornton,,77-57,,
5:26.0,M. Harrell enters the game for C. Hayes,,77-57,,
5:26.0,,,77-58,1,M. Belinelli makes free throw 2 of 2
5:16.0,Turnover by J. Harden (bad pass; steal by B. McLemore),,77-58,,
5:14.0,Personal foul by T. Ariza (drawn by B. McLemore),,77-58,,
5:14.0,,,77-58,,O. Casspi enters the game for M. Belinelli
5:14.0,,,77-59,1,B. McLemore makes free throw 1 of 2
5:14.0,,,77-60,1,B. McLemore makes free throw 2 of 2
4:52.0,J. Harden makes 3-pt shot from 24 ft,3,80-60,,
4:37.0,,,80-62,2,R. Gay makes 2-pt shot from 6 ft
4:16.0,J. Harden misses 3-pt shot from 24 ft,,80-62,,
4:16.0,,,80-62,,Defensive rebound by R. Gay
4:06.0,,,80-62,,B. McLemore misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by J. Harden,,80-62,,
4:03.0,Shooting foul by O. Casspi (drawn by M. Harrell),,80-62,,
4:03.0,M. Harrell makes free throw 1 of 2,1,81-62,,
4:03.0,J. Terry enters the game for T. Ariza,,81-62,,
4:03.0,M. Thornton enters the game for T. Lawson,,81-62,,
4:03.0,M. Harrell misses free throw 2 of 2,,81-62,,
4:01.0,,,81-62,,Defensive rebound by W. Cauley-Stein
3:53.0,,,81-62,,Turnover by D. Collison (lost ball)
3:45.0,Turnover by J. Harden (bad pass; steal by O. Casspi),,81-62,,
3:40.0,,,81-64,2,O. Casspi makes 2-pt shot from 1 ft (assist by R. Gay)
3:40.0,,,81-64,,Shooting foul by M. Thornton (drawn by O. Casspi)
3:40.0,,,81-65,1,O. Casspi makes free throw 1 of 1
3:19.0,Turnover by J. Terry (bad pass; steal by W. Cauley-Stein),,81-65,,
3:10.0,,,81-65,,B. McLemore misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by Team,,81-65,,
3:09.0,,,81-65,,S. Curry enters the game for R. Gay
3:09.0,Houston full timeout,,81-65,,
2:48.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,83-65,,
2:47.0,Technical foul by M. Harrell,,83-65,,
2:47.0,,,83-65,,D. Collison misses technical free throw
2:47.0,,,83-65,,Offensive rebound by Team
2:32.0,,,83-67,2,O. Casspi makes 2-pt shot from 3 ft (assist by B. McLemore)
2:13.0,J. Terry misses 3-pt shot from 23 ft,,83-67,,
2:13.0,Offensive rebound by C. Brewer,,83-67,,
2:13.0,Shooting foul by O. Casspi (drawn by C. Brewer),,83-67,,
2:13.0,C. Brewer makes free throw 1 of 2,1,84-67,,
2:13.0,T. Lawson enters the game for J. Harden,,84-67,,
2:13.0,C. Brewer makes free throw 2 of 2,1,85-67,,
2:02.0,,,85-67,,Turnover by B. McLemore (dbl dribble)
1:49.0,Turnover by M. Harrell (3 sec),,85-67,,
1:48.0,Shooting block foul by C. Brewer (drawn by B. McLemore),,85-67,,
1:48.0,,,85-68,1,B. McLemore makes free throw 1 of 2
1:48.0,,,85-68,,B. McLemore misses free throw 2 of 2
1:47.0,Defensive rebound by J. Terry,,85-68,,
1:36.0,Turnover by T. Lawson (bad pass; steal by B. McLemore),,85-68,,
1:31.0,,,85-70,2,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore)
1:18.0,M. Harrell misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,85-70,,
1:16.0,Offensive rebound by M. Harrell,,85-70,,
1:15.0,M. Harrell misses 2-pt shot from 2 ft,,85-70,,
1:13.0,Offensive rebound by M. Harrell,,85-70,,
1:11.0,Turnover by M. Harrell (bad pass; steal by B. McLemore),,85-70,,
1:08.0,,,85-72,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
0:46.0,T. Lawson misses 2-pt shot from 17 ft,,85-72,,
0:45.0,Offensive rebound by M. Thornton,,85-72,,
0:45.0,M. Thornton misses 2-pt shot at rim,,85-72,,
0:44.0,,,85-72,,Defensive rebound by B. McLemore
0:35.0,,,85-75,3,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison)
0:17.0,M. Harrell misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,85-75,,
0:15.0,Offensive rebound by T. Lawson,,85-75,,
0:11.0,T. Lawson misses 3-pt shot from 25 ft,,85-75,,
0:11.0,,,85-75,,Defensive rebound by Team
0:01.0,,,85-78,3,D. Collison makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-78,,D. Collison misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by C. Capela,,85-78,,
11:30.0,,,85-78,,Personal foul by O. Casspi (drawn by J. Harden)
11:20.0,Turnover by T. Ariza (lost ball; steal by D. Collison),,85-78,,
11:14.0,,,85-81,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Collison)
10:57.0,T. Ariza misses 3-pt shot from 23 ft,,85-81,,
10:57.0,,,85-81,,Defensive rebound by W. Cauley-Stein
10:48.0,,,85-83,2,S. Curry makes 2-pt shot from 2 ft
10:45.0,Houston full timeout,,85-83,,
10:21.0,J. Harden misses 2-pt shot from 4 ft,,85-83,,
10:20.0,Offensive rebound by C. Capela,,85-83,,
10:19.0,C. Capela makes 2-pt shot at rim,2,87-83,,
10:02.0,,,87-86,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Collison)
9:53.0,,,87-86,,Shooting block foul by W. Cauley-Stein (drawn by J. Harden)
9:53.0,J. Harden makes free throw 1 of 2,1,88-86,,
9:53.0,J. Harden misses free throw 2 of 2,,88-86,,
9:51.0,,,88-86,,Defensive rebound by Team
9:41.0,Personal foul by M. Thornton (drawn by S. Curry),,88-86,,
9:32.0,,,88-86,,B. McLemore misses 2-pt shot from 23 ft
9:31.0,Defensive rebound by J. Harden,,88-86,,
9:24.0,J. Harden makes 3-pt shot from 25 ft,3,91-86,,
9:12.0,Personal foul by T. Lawson (drawn by D. Collison),,91-86,,
9:11.0,,,91-86,,Turnover by D. Collison (lost ball; steal by T. Lawson)
9:06.0,T. Lawson makes 2-pt shot from 1 ft,2,93-86,,
8:35.0,,,93-86,,B. McLemore misses 3-pt shot from 25 ft
8:35.0,,,93-86,,Offensive rebound by W. Cauley-Stein
8:31.0,,,93-86,,Turnover by B. McLemore (bad pass)
8:18.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,96-86,,
8:17.0,,,96-86,,Sacramento full timeout
8:17.0,,,96-86,,R. Gay enters the game for W. Cauley-Stein
