time,Denver,pts.away,score,pts.home,Boston
5:39.0,,,11-13,,J. Sullinger misses 2-pt shot at rim (block by N. Jokic)
5:37.0,,,11-13,,Offensive rebound by A. Johnson
5:29.0,,,11-16,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder)
5:27.0,Denver full timeout,,11-16,,
5:27.0,D. Arthur enters the game for K. Faried,,11-16,,
5:27.0,J. Nurkic enters the game for N. Jokic,,11-16,,
5:12.0,,,11-16,,Personal foul by A. Bradley (drawn by D. Gallinari)
5:09.0,,,11-16,,Personal foul by A. Johnson (drawn by D. Gallinari)
4:58.0,D. Arthur misses 3-pt shot from 26 ft,,11-16,,
4:56.0,,,11-16,,Defensive rebound by J. Sullinger
4:50.0,,,11-19,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder)
4:31.0,G. Harris makes 2-pt shot from 21 ft (assist by D. Arthur),2,13-19,,
4:10.0,,,13-19,,J. Sullinger misses 2-pt shot from 5 ft
4:09.0,Defensive rebound by G. Harris,,13-19,,
3:56.0,D. Gallinari misses 2-pt shot at rim,,13-19,,
3:54.0,Offensive rebound by J. Nurkic,,13-19,,
3:47.0,D. Gallinari makes 2-pt shot at rim (assist by J. Nurkic),2,15-19,,
3:27.0,,,15-19,,J. Crowder misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by E. Mudiay,,15-19,,
3:17.0,J. Nurkic misses 2-pt shot from 4 ft,,15-19,,
3:16.0,,,15-19,,Defensive rebound by J. Sullinger
3:13.0,,,15-19,,Turnover by I. Thomas (lost ball; steal by G. Harris)
3:12.0,,,15-19,,Loose ball foul by I. Thomas (drawn by G. Harris)
3:12.0,G. Harris makes free throw 1 of 2,1,16-19,,
3:12.0,,,16-19,,E. Turner enters the game for J. Sullinger
3:12.0,,,16-19,,M. Smart enters the game for A. Bradley
3:12.0,G. Harris makes free throw 2 of 2,1,17-19,,
3:01.0,,,17-19,,M. Smart misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by D. Arthur,,17-19,,
2:54.0,Turnover by G. Harris (lost ball),,17-19,,
2:54.0,,,17-19,,Boston full timeout
2:54.0,W. Barton enters the game for G. Harris,,17-19,,
2:40.0,,,17-19,,I. Thomas misses 2-pt shot from 13 ft
2:39.0,Defensive rebound by D. Gallinari,,17-19,,
2:20.0,J. Nurkic misses 2-pt shot from 5 ft,,17-19,,
2:19.0,,,17-19,,Defensive rebound by E. Turner
2:11.0,,,17-21,2,E. Turner makes 2-pt shot from 15 ft
1:51.0,E. Mudiay makes 2-pt shot at rim,2,19-21,,
1:41.0,,,19-23,2,J. Crowder makes 2-pt shot from 13 ft (assist by A. Johnson)
1:24.0,D. Gallinari makes 2-pt shot at rim,2,21-23,,
1:16.0,,,21-23,,Shooting foul by D. Arthur (drawn by J. Crowder)
1:16.0,,,21-24,1,J. Crowder makes free throw 1 of 2
1:16.0,,,21-24,,K. Olynyk enters the game for I. Thomas
1:16.0,,,21-25,1,J. Crowder makes free throw 2 of 2
1:02.0,E. Mudiay misses 2-pt shot from 7 ft,,21-25,,
1:01.0,,,21-25,,Defensive rebound by A. Johnson
0:50.0,,,21-25,,M. Smart misses 2-pt shot from 11 ft
0:49.0,,,21-25,,Offensive rebound by A. Johnson
0:49.0,,,21-27,2,A. Johnson makes 2-pt shot at rim
0:39.0,Turnover by E. Mudiay (bad pass; steal by A. Johnson),,21-27,,
0:35.0,,,21-27,,Shooting foul by D. Arthur (drawn by M. Smart)
0:35.0,,,21-28,1,M. Smart makes free throw 1 of 2
0:35.0,R. Foye enters the game for E. Mudiay,,21-28,,
0:35.0,S. Kilpatrick enters the game for D. Gallinari,,21-28,,
0:35.0,,,21-29,1,M. Smart makes free throw 2 of 2
0:24.0,Turnover by W. Barton (bad pass; steal by A. Johnson),,21-29,,
0:01.0,,,21-29,,E. Turner misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by W. Barton,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-29,,T. Zeller misses 2-pt shot from 13 ft
11:42.0,Defensive rebound by J. Nurkic,,21-29,,
11:27.0,J. Nurkic misses 2-pt shot from 3 ft,,21-29,,
11:27.0,,,21-29,,Defensive rebound by T. Zeller
11:21.0,,,21-29,,K. Olynyk misses 2-pt shot from 5 ft (block by R. Foye)
11:19.0,Defensive rebound by D. Arthur,,21-29,,
11:16.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by W. Barton),2,23-29,,
10:52.0,,,23-29,,A. Bradley misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by J. Nurkic,,23-29,,
10:38.0,D. Arthur misses 2-pt shot from 18 ft,,23-29,,
10:37.0,,,23-29,,Defensive rebound by M. Smart
10:25.0,,,23-31,2,K. Olynyk makes 2-pt shot from 11 ft
10:13.0,J. Nurkic makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,25-31,,
10:13.0,Shooting foul by T. Zeller (drawn by J. Nurkic),,25-31,,
10:13.0,J. Nurkic misses free throw 1 of 1,,25-31,,
10:13.0,,,25-31,,Defensive rebound by K. Olynyk
9:54.0,,,25-31,,Turnover by T. Zeller (traveling)
9:41.0,W. Barton makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,28-31,,
9:27.0,,,28-33,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
9:16.0,D. Arthur misses 3-pt shot from 25 ft,,28-33,,
9:15.0,Offensive rebound by J. Nurkic,,28-33,,
9:14.0,Turnover by J. Nurkic (lost ball),,28-33,,
9:01.0,,,28-36,3,K. Olynyk makes 3-pt shot from 26 ft (assist by E. Turner)
8:51.0,Denver full timeout,,28-36,,
8:51.0,N. Jokic enters the game for J. Nurkic,,28-36,,
8:43.0,Turnover by D. Arthur (step out of bounds),,28-36,,
8:30.0,Violation by W. Barton (kicked ball),,28-36,,
8:28.0,Personal foul by W. Barton (drawn by E. Turner),,28-36,,
8:14.0,,,28-38,2,A. Bradley makes 2-pt shot from 1 ft
8:06.0,Turnover by S. Kilpatrick (lost ball; steal by A. Bradley),,28-38,,
7:57.0,,,28-38,,T. Zeller misses 2-pt shot from 6 ft
7:56.0,,,28-38,,Offensive rebound by K. Olynyk
7:56.0,,,28-38,,K. Olynyk misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by W. Barton,,28-38,,
7:50.0,W. Barton makes 2-pt shot from 15 ft,2,30-38,,
7:33.0,,,30-38,,Shooting foul by W. Barton (drawn by K. Olynyk)
7:33.0,,,30-39,1,K. Olynyk makes free throw 1 of 2
7:33.0,M. Miller enters the game for D. Arthur,,30-39,,
7:33.0,,,30-39,,J. Jerebko enters the game for T. Zeller
7:33.0,,,30-40,1,K. Olynyk makes free throw 2 of 2
7:21.0,W. Barton misses 2-pt shot from 16 ft,,30-40,,
7:20.0,,,30-40,,Defensive rebound by Team
7:10.0,,,30-40,,M. Smart misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by M. Miller,,30-40,,
6:57.0,Turnover by W. Barton (lost ball; steal by E. Turner),,30-40,,
6:48.0,,,30-40,,Offensive foul by E. Turner
6:48.0,,,30-40,,Turnover by E. Turner (offensive foul)
6:48.0,G. Harris enters the game for W. Barton,,30-40,,
6:37.0,R. Foye misses 2-pt shot from 5 ft,,30-40,,
6:36.0,,,30-40,,Defensive rebound by E. Turner
6:28.0,,,30-40,,K. Olynyk misses 2-pt shot at rim
6:27.0,Defensive rebound by N. Jokic,,30-40,,
6:04.0,N. Jokic misses 2-pt shot from 9 ft,,30-40,,
6:03.0,,,30-40,,Defensive rebound by J. Jerebko
5:56.0,,,30-40,,K. Olynyk misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by G. Harris,,30-40,,
5:50.0,Offensive foul by N. Jokic,,30-40,,
5:50.0,Turnover by N. Jokic (offensive foul),,30-40,,
5:50.0,Official timeout,,30-40,,
5:50.0,D. Gallinari enters the game for R. Foye,,30-40,,
5:50.0,E. Mudiay enters the game for S. Kilpatrick,,30-40,,
5:33.0,,,30-40,,E. Turner misses 2-pt shot from 8 ft
5:32.0,,,30-40,,Offensive rebound by J. Jerebko
5:29.0,,,30-40,,Turnover by J. Jerebko (bad pass; steal by G. Harris)
5:25.0,Turnover by G. Harris (lost ball; steal by M. Smart),,30-40,,
5:19.0,,,30-43,3,A. Bradley makes 3-pt shot from 24 ft (assist by M. Smart)
5:04.0,E. Mudiay makes 2-pt shot from 2 ft,2,32-43,,
4:55.0,,,32-45,2,J. Jerebko makes 2-pt shot from 1 ft (assist by E. Turner)
4:55.0,Denver full timeout,,32-45,,
4:55.0,K. Faried enters the game for N. Jokic,,32-45,,
4:55.0,,,32-45,,I. Thomas enters the game for M. Smart
4:55.0,,,32-45,,J. Sullinger enters the game for K. Olynyk
4:44.0,Shooting foul by J. Sullinger (drawn by K. Faried),,32-45,,
4:44.0,K. Faried misses free throw 1 of 2,,32-45,,
4:44.0,Offensive rebound by Team,,32-45,,
4:44.0,K. Faried makes free throw 2 of 2,1,33-45,,
4:30.0,,,33-45,,A. Bradley misses 2-pt shot from 20 ft (block by D. Gallinari)
4:29.0,Defensive rebound by K. Faried,,33-45,,
4:25.0,D. Gallinari makes 2-pt shot at rim (assist by K. Faried),2,35-45,,
4:10.0,,,35-48,3,A. Bradley makes 3-pt shot from 22 ft (assist by J. Sullinger)
3:56.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,37-48,,
3:40.0,,,37-48,,J. Jerebko misses 2-pt shot from 20 ft
3:39.0,Defensive rebound by K. Faried,,37-48,,
3:24.0,D. Gallinari makes 2-pt shot at rim (assist by M. Miller),2,39-48,,
3:23.0,,,39-48,,Boston full timeout
3:23.0,,,39-48,,A. Johnson enters the game for J. Sullinger
3:23.0,,,39-48,,J. Crowder enters the game for E. Turner
3:23.0,,,39-48,,M. Smart enters the game for J. Jerebko
3:07.0,,,39-48,,I. Thomas misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by G. Harris,,39-48,,
2:58.0,D. Gallinari misses 2-pt shot from 2 ft (block by J. Crowder),,39-48,,
2:56.0,Offensive rebound by K. Faried,,39-48,,
2:43.0,Turnover by E. Mudiay (lost ball; steal by A. Bradley),,39-48,,
2:42.0,Personal foul by E. Mudiay (drawn by A. Bradley),,39-48,,
2:30.0,,,39-48,,A. Bradley misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by G. Harris,,39-48,,
2:22.0,G. Harris makes 2-pt shot at rim,2,41-48,,
2:13.0,,,41-48,,Shooting foul by K. Faried (drawn by I. Thomas)
2:13.0,,,41-48,,I. Thomas misses free throw 1 of 2
2:13.0,,,41-48,,Offensive rebound by Team
2:13.0,,,41-49,1,I. Thomas makes free throw 2 of 2
1:58.0,,,41-49,,Personal foul by I. Thomas (drawn by G. Harris)
1:47.0,E. Mudiay misses 3-pt shot from 24 ft,,41-49,,
1:46.0,,,41-49,,Defensive rebound by A. Johnson
1:37.0,,,41-51,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
1:29.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,43-51,,
1:17.0,,,43-51,,Shooting foul by D. Gallinari (drawn by M. Smart)
1:17.0,,,43-52,1,M. Smart makes free throw 1 of 2
1:17.0,,,43-52,,E. Turner enters the game for A. Bradley
1:17.0,W. Barton enters the game for K. Faried,,43-52,,
1:17.0,,,43-53,1,M. Smart makes free throw 2 of 2
1:00.0,D. Gallinari makes 2-pt shot from 22 ft (assist by W. Barton),2,45-53,,
0:47.0,,,45-53,,Turnover by I. Thomas (lost ball)
0:28.0,E. Mudiay misses 2-pt shot from 14 ft,,45-53,,
0:27.0,,,45-53,,Defensive rebound by J. Crowder
0:05.0,,,45-53,,Shooting foul by G. Harris (drawn by I. Thomas)
0:05.0,,,45-54,1,I. Thomas makes free throw 1 of 2
0:05.0,,,45-54,,J. Jerebko enters the game for A. Johnson
0:05.0,,,45-55,1,I. Thomas makes free throw 2 of 2
0:03.0,Turnover by M. Miller (bad pass; steal by M. Smart),,45-55,,
0:00.0,,,45-55,,J. Crowder misses 3-pt shot from 24 ft
0:00.0,,,45-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,45-55,,A. Johnson misses 2-pt shot from 7 ft
11:34.0,Defensive rebound by K. Faried,,45-55,,
11:21.0,Shooting foul by J. Sullinger (drawn by E. Mudiay),,45-55,,
11:21.0,E. Mudiay makes free throw 1 of 2,1,46-55,,
11:21.0,E. Mudiay makes free throw 2 of 2,1,47-55,,
11:07.0,,,47-55,,J. Sullinger misses 2-pt shot from 5 ft (block by K. Faried)
11:06.0,Defensive rebound by G. Harris,,47-55,,
11:03.0,E. Mudiay makes 2-pt shot at rim,2,49-55,,
10:50.0,,,49-55,,A. Bradley misses 3-pt shot from 26 ft
10:49.0,,,49-55,,Offensive rebound by J. Sullinger
10:48.0,,,49-55,,J. Sullinger misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by N. Jokic,,49-55,,
10:40.0,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay),2,51-55,,
10:40.0,,,51-55,,Boston full timeout
10:25.0,,,51-58,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Bradley)
10:05.0,K. Faried makes 2-pt shot at rim (assist by N. Jokic),2,53-58,,
9:41.0,,,53-61,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson)
9:27.0,D. Gallinari misses 2-pt shot at rim,,53-61,,
9:24.0,,,53-61,,Defensive rebound by J. Crowder
9:21.0,,,53-63,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Crowder)
9:13.0,G. Harris misses 3-pt shot from 24 ft,,53-63,,
9:12.0,,,53-63,,Defensive rebound by A. Johnson
9:03.0,,,53-63,,I. Thomas misses 3-pt shot from 25 ft
9:02.0,,,53-63,,Offensive rebound by J. Sullinger
9:01.0,,,53-63,,Shooting foul by N. Jokic (drawn by J. Sullinger)
9:01.0,,,53-64,1,J. Sullinger makes free throw 1 of 2
9:01.0,,,53-65,1,J. Sullinger makes free throw 2 of 2
8:42.0,D. Gallinari misses 3-pt shot from 23 ft,,53-65,,
8:41.0,Offensive rebound by N. Jokic,,53-65,,
8:36.0,Shooting foul by J. Sullinger (drawn by G. Harris),,53-65,,
8:36.0,G. Harris makes free throw 1 of 2,1,54-65,,
8:36.0,G. Harris makes free throw 2 of 2,1,55-65,,
8:19.0,,,55-65,,J. Sullinger misses 2-pt shot from 10 ft
8:19.0,,,55-65,,Offensive rebound by Team
8:19.0,Loose ball foul by E. Mudiay (drawn by A. Bradley),,55-65,,
8:12.0,,,55-67,2,J. Sullinger makes 2-pt shot from 1 ft (assist by I. Thomas)
7:46.0,D. Gallinari misses 2-pt shot from 6 ft (block by J. Crowder),,55-67,,
7:45.0,,,55-67,,Defensive rebound by J. Crowder
7:29.0,,,55-67,,I. Thomas misses 2-pt shot from 1 ft
7:28.0,Defensive rebound by N. Jokic,,55-67,,
7:08.0,E. Mudiay misses 2-pt shot from 12 ft,,55-67,,
7:07.0,,,55-67,,Defensive rebound by J. Sullinger
6:57.0,,,55-67,,A. Bradley misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by K. Faried,,55-67,,
6:48.0,N. Jokic misses 2-pt shot from 4 ft (block by A. Bradley),,55-67,,
6:47.0,,,55-67,,Defensive rebound by J. Sullinger
6:42.0,Violation by K. Faried (def goaltending),,55-67,,
6:42.0,,,55-69,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
6:42.0,Denver full timeout,,55-69,,
6:27.0,G. Harris makes 2-pt shot from 19 ft (assist by N. Jokic),2,57-69,,
6:10.0,,,57-69,,A. Bradley misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by N. Jokic,,57-69,,
5:52.0,E. Mudiay misses 2-pt shot from 1 ft,,57-69,,
5:50.0,,,57-69,,Defensive rebound by A. Johnson
5:46.0,,,57-71,2,I. Thomas makes 2-pt shot from 22 ft
5:29.0,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried),3,60-71,,
5:14.0,,,60-71,,J. Crowder misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by G. Harris,,60-71,,
5:05.0,G. Harris misses 3-pt shot from 25 ft,,60-71,,
5:04.0,Offensive rebound by K. Faried,,60-71,,
5:04.0,K. Faried misses 2-pt shot from 2 ft,,60-71,,
5:02.0,,,60-71,,Defensive rebound by J. Sullinger
4:58.0,,,60-71,,I. Thomas misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by E. Mudiay,,60-71,,
4:52.0,,,60-71,,Shooting block foul by J. Sullinger (drawn by D. Gallinari)
4:52.0,D. Gallinari makes free throw 1 of 2,1,61-71,,
4:52.0,W. Barton enters the game for N. Jokic,,61-71,,
4:52.0,,,61-71,,M. Smart enters the game for J. Sullinger
4:52.0,,,61-71,,E. Turner enters the game for J. Crowder
4:52.0,D. Gallinari makes free throw 2 of 2,1,62-71,,
4:39.0,,,62-73,2,I. Thomas makes 2-pt shot at rim (assist by A. Johnson)
4:26.0,Shooting foul by A. Bradley (drawn by E. Mudiay),,62-73,,
4:26.0,E. Mudiay makes free throw 1 of 2,1,63-73,,
4:26.0,,,63-73,,J. Crowder enters the game for A. Bradley
4:26.0,E. Mudiay makes free throw 2 of 2,1,64-73,,
4:16.0,,,64-73,,J. Crowder misses 2-pt shot from 20 ft
4:15.0,Defensive rebound by D. Gallinari,,64-73,,
4:06.0,Turnover by D. Gallinari (bad pass),,64-73,,
3:56.0,,,64-73,,I. Thomas misses 2-pt shot at rim
3:55.0,Defensive rebound by K. Faried,,64-73,,
3:49.0,Turnover by E. Mudiay (bad pass; steal by J. Crowder),,64-73,,
3:48.0,Personal foul by E. Mudiay (drawn by I. Thomas),,64-73,,
3:25.0,,,64-73,,J. Crowder misses 2-pt shot from 4 ft
3:24.0,,,64-73,,Offensive rebound by A. Johnson
3:23.0,,,64-75,2,A. Johnson makes 2-pt shot at rim
3:04.0,,,64-75,,Personal foul by J. Crowder (drawn by D. Gallinari)
3:04.0,D. Gallinari makes free throw 1 of 2,1,65-75,,
3:04.0,R. Foye enters the game for E. Mudiay,,65-75,,
3:04.0,D. Gallinari makes free throw 2 of 2,1,66-75,,
2:52.0,,,66-75,,J. Crowder misses 3-pt shot from 23 ft
2:51.0,Defensive rebound by W. Barton,,66-75,,
2:42.0,W. Barton makes 2-pt shot from 16 ft,2,68-75,,
2:31.0,,,68-75,,M. Smart misses 3-pt shot from 25 ft (block by W. Barton)
2:30.0,Defensive rebound by R. Foye,,68-75,,
2:17.0,W. Barton makes 2-pt shot at rim,2,70-75,,
2:02.0,,,70-77,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
1:44.0,D. Gallinari misses 3-pt shot from 24 ft,,70-77,,
1:43.0,,,70-77,,Defensive rebound by I. Thomas
1:40.0,,,70-77,,Shooting foul by R. Foye (drawn by I. Thomas)
1:40.0,,,70-78,1,I. Thomas makes free throw 1 of 2
1:40.0,,,70-78,,K. Olynyk enters the game for A. Johnson
1:40.0,J. Nurkic enters the game for K. Faried,,70-78,,
1:40.0,,,70-79,1,I. Thomas makes free throw 2 of 2
1:25.0,G. Harris misses 3-pt shot from 22 ft,,70-79,,
1:24.0,,,70-79,,Defensive rebound by K. Olynyk
1:05.0,,,70-79,,K. Olynyk misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by W. Barton,,70-79,,
0:51.0,,,70-79,,Personal foul by K. Olynyk (drawn by J. Nurkic)
0:51.0,J. Nurkic misses free throw 1 of 2,,70-79,,
0:51.0,Offensive rebound by Team,,70-79,,
0:51.0,M. Miller enters the game for D. Gallinari,,70-79,,
0:51.0,J. Nurkic misses free throw 2 of 2,,70-79,,
0:51.0,,,70-79,,Defensive rebound by K. Olynyk
0:36.0,,,70-81,2,E. Turner makes 2-pt shot from 1 ft (assist by M. Smart)
0:26.0,Turnover by R. Foye (bad pass; steal by M. Smart),,70-81,,
0:23.0,Personal foul by M. Miller (drawn by J. Crowder),,70-81,,
0:23.0,Denver full timeout,,70-81,,
0:23.0,,,70-81,,J. Sullinger enters the game for K. Olynyk
0:23.0,,,70-82,1,J. Crowder makes free throw 1 of 2
0:23.0,,,70-83,1,J. Crowder makes free throw 2 of 2
0:07.0,,,70-83,,Personal foul by I. Thomas (drawn by W. Barton)
0:07.0,W. Barton makes free throw 1 of 2,1,71-83,,
0:07.0,,,71-83,,K. Olynyk enters the game for J. Sullinger
0:07.0,S. Kilpatrick enters the game for J. Nurkic,,71-83,,
0:07.0,W. Barton misses free throw 2 of 2,,71-83,,
0:07.0,,,71-83,,Defensive rebound by K. Olynyk
0:01.0,,,71-85,2,K. Olynyk makes 2-pt shot from 1 ft
0:01.0,,,71-85,,Shooting foul by M. Miller (drawn by K. Olynyk)
0:01.0,,,71-85,,J. Jerebko enters the game for J. Crowder
0:01.0,J. Nurkic enters the game for S. Kilpatrick,,71-85,,
0:01.0,,,71-86,1,K. Olynyk makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,J. Nurkic misses 2-pt shot from 5 ft,,71-86,,
11:48.0,,,71-86,,Defensive rebound by A. Bradley
11:47.0,Personal foul by J. Nurkic (drawn by A. Bradley),,71-86,,
11:36.0,,,71-86,,M. Smart misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by J. Nurkic,,71-86,,
11:24.0,M. Miller misses 2-pt shot from 14 ft,,71-86,,
11:23.0,,,71-86,,Defensive rebound by E. Turner
11:22.0,Personal foul by J. Nurkic (drawn by E. Turner),,71-86,,
11:12.0,,,71-89,3,K. Olynyk makes 3-pt shot from 25 ft (assist by E. Turner)
10:58.0,R. Foye misses 2-pt shot from 20 ft,,71-89,,
10:57.0,,,71-89,,Defensive rebound by K. Olynyk
10:40.0,,,71-89,,K. Olynyk misses 2-pt shot from 5 ft (block by J. Nurkic)
10:39.0,,,71-89,,Offensive rebound by Team
10:31.0,,,71-91,2,E. Turner makes 2-pt shot from 22 ft (assist by K. Olynyk)
10:13.0,W. Barton misses 2-pt shot from 9 ft,,71-91,,
10:12.0,,,71-91,,Defensive rebound by M. Smart
10:10.0,,,71-93,2,E. Turner makes 2-pt shot at rim (assist by M. Smart)
10:10.0,Denver full timeout,,71-93,,
10:10.0,N. Jokic enters the game for J. Nurkic,,71-93,,
9:56.0,S. Kilpatrick misses 3-pt shot from 25 ft,,71-93,,
9:55.0,,,71-93,,Defensive rebound by A. Bradley
9:40.0,,,71-93,,Turnover by A. Bradley (bad pass; steal by N. Jokic)
9:34.0,Shooting foul by M. Smart (drawn by W. Barton),,71-93,,
9:34.0,W. Barton makes 2-pt shot at rim,2,73-93,,
9:34.0,W. Barton makes free throw 1 of 1,1,74-93,,
9:22.0,,,74-93,,Turnover by E. Turner (bad pass)
9:12.0,,,74-93,,Personal block foul by K. Olynyk (drawn by R. Foye)
9:00.0,R. Foye misses 3-pt shot from 23 ft,,74-93,,
8:59.0,,,74-93,,Defensive rebound by K. Olynyk
8:47.0,,,74-95,2,E. Turner makes 2-pt shot from 13 ft
8:37.0,Shooting foul by M. Smart (drawn by N. Jokic),,74-95,,
8:37.0,N. Jokic misses free throw 1 of 2,,74-95,,
8:37.0,Offensive rebound by Team,,74-95,,
8:37.0,N. Jokic makes free throw 2 of 2,1,75-95,,
8:35.0,Personal take foul by M. Miller (drawn by E. Turner),,75-95,,
8:35.0,K. Faried enters the game for N. Jokic,,75-95,,
8:14.0,,,75-95,,K. Olynyk misses 2-pt shot from 10 ft
8:13.0,Defensive rebound by K. Faried,,75-95,,
8:02.0,R. Foye misses 3-pt shot from 23 ft,,75-95,,
