time,Washington,pts.away,score,pts.home,LA Lakers
4:19.0,M. Thornton misses 3-pt shot from 24 ft,,43-34,,
4:16.0,,,43-34,,Defensive rebound by J. Randle
4:10.0,,,43-36,2,K. Bryant makes 2-pt shot from 1 ft
4:10.0,,,43-36,,Shooting foul by M. Thornton (drawn by K. Bryant)
4:10.0,J. Hickson enters the game for N. Hilario,,43-36,,
4:10.0,O. Porter enters the game for M. Thornton,,43-36,,
4:10.0,,,43-37,1,K. Bryant makes free throw 1 of 1
3:57.0,J. Wall misses 2-pt shot from 2 ft,,43-37,,
3:56.0,,,43-37,,Defensive rebound by R. Hibbert
3:43.0,,,43-37,,D. Russell misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by M. Gortat,,43-37,,
3:36.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,45-37,,
3:33.0,Technical foul by J. Wall,,45-37,,
3:33.0,,,45-38,1,K. Bryant makes technical free throw
3:20.0,,,45-38,,Turnover by K. Bryant (lost ball; steal by O. Porter)
3:16.0,Shooting foul by R. Hibbert (drawn by R. Sessions),,45-38,,
3:16.0,R. Sessions makes free throw 1 of 2,1,46-38,,
3:16.0,R. Sessions makes free throw 2 of 2,1,47-38,,
2:53.0,,,47-40,2,D. Russell makes 2-pt shot from 13 ft (assist by J. Randle)
2:38.0,,,47-40,,Personal foul by J. Clarkson
2:38.0,Washington full timeout,,47-40,,
2:38.0,J. Hickson misses free throw 1 of 2,,47-40,,
2:38.0,Offensive rebound by Team,,47-40,,
2:38.0,J. Hickson misses free throw 2 of 2,,47-40,,
2:37.0,,,47-40,,Defensive rebound by J. Clarkson
2:14.0,,,47-42,2,J. Randle makes 2-pt shot from 11 ft
1:58.0,J. Wall misses 2-pt shot from 18 ft,,47-42,,
1:57.0,Offensive rebound by J. Hickson,,47-42,,
1:47.0,J. Wall misses 3-pt shot from 26 ft,,47-42,,
1:45.0,,,47-42,,Defensive rebound by Team
1:34.0,,,47-42,,J. Clarkson misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by Team,,47-42,,
1:21.0,R. Sessions misses 3-pt shot from 26 ft,,47-42,,
1:20.0,,,47-42,,Defensive rebound by R. Hibbert
1:05.0,,,47-42,,J. Clarkson misses 2-pt shot from 5 ft
1:03.0,Defensive rebound by J. Hickson,,47-42,,
0:59.0,J. Wall makes 2-pt shot from 2 ft,2,49-42,,
0:59.0,Shooting foul by R. Hibbert (drawn by J. Wall),,49-42,,
0:59.0,B. Beal enters the game for R. Sessions,,49-42,,
0:59.0,J. Wall makes free throw 1 of 1,1,50-42,,
0:45.0,,,50-44,2,K. Bryant makes 2-pt shot from 13 ft (assist by D. Russell)
0:38.0,Turnover by J. Wall (lost ball; steal by J. Randle),,50-44,,
0:36.0,Personal take foul by J. Hickson,,50-44,,
0:26.0,,,50-44,,R. Hibbert misses 2-pt shot from 19 ft
0:24.0,,,50-44,,Offensive rebound by J. Clarkson
0:23.0,,,50-44,,K. Bryant misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by B. Beal,,50-44,,
0:03.0,Turnover by J. Wall (lost ball; steal by J. Randle),,50-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-44,,D. Russell misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by B. Beal,,50-44,,
11:22.0,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall),3,53-44,,
11:02.0,,,53-46,2,J. Randle makes 2-pt shot from 1 ft
10:50.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,55-46,,
10:30.0,,,55-46,,J. Clarkson misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by M. Gortat,,55-46,,
10:25.0,Turnover by J. Wall (bad pass),,55-46,,
10:08.0,,,55-46,,J. Randle misses 2-pt shot from 6 ft
10:07.0,Defensive rebound by B. Beal,,55-46,,
9:52.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,57-46,,
9:34.0,,,57-46,,D. Russell misses 2-pt shot from 9 ft
9:31.0,,,57-46,,Offensive rebound by D. Russell
9:31.0,,,57-48,2,D. Russell makes 2-pt shot at rim
9:20.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall),2,59-48,,
9:06.0,,,59-48,,K. Bryant misses 2-pt shot from 16 ft
9:05.0,Defensive rebound by M. Gortat,,59-48,,
8:53.0,Shooting foul by R. Hibbert (drawn by N. Hilario),,59-48,,
8:53.0,N. Hilario makes free throw 1 of 2,1,60-48,,
8:53.0,N. Hilario makes free throw 2 of 2,1,61-48,,
8:46.0,,,61-50,2,K. Bryant makes 2-pt shot from 11 ft (assist by D. Russell)
8:25.0,,,61-50,,Personal foul by J. Randle
8:20.0,O. Porter makes 2-pt shot from 12 ft,2,63-50,,
8:00.0,,,63-50,,K. Bryant misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by O. Porter,,63-50,,
7:54.0,B. Beal misses 3-pt shot from 22 ft,,63-50,,
7:53.0,Offensive rebound by Team,,63-50,,
7:53.0,,,63-50,,Loose ball foul by R. Hibbert
7:48.0,O. Porter misses 2-pt shot from 14 ft,,63-50,,
7:46.0,,,63-50,,Defensive rebound by R. Hibbert
7:35.0,,,63-50,,D. Russell misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by J. Wall,,63-50,,
7:27.0,M. Gortat misses 2-pt shot from 10 ft,,63-50,,
7:25.0,,,63-50,,Defensive rebound by J. Randle
7:06.0,,,63-52,2,R. Hibbert makes 2-pt shot from 19 ft (assist by K. Bryant)
6:45.0,J. Wall makes 2-pt shot from 17 ft,2,65-52,,
6:40.0,Personal foul by O. Porter,,65-52,,
6:34.0,,,65-52,,Turnover by K. Bryant (lost ball; steal by B. Beal)
6:20.0,N. Hilario misses 3-pt shot from 24 ft,,65-52,,
6:19.0,Offensive rebound by O. Porter,,65-52,,
6:16.0,Shooting foul by R. Hibbert (drawn by M. Gortat),,65-52,,
6:16.0,M. Gortat makes free throw 1 of 2,1,66-52,,
6:16.0,,,66-52,,L. Williams enters the game for J. Clarkson
6:16.0,M. Gortat makes free throw 2 of 2,1,67-52,,
5:51.0,,,67-52,,D. Russell misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by N. Hilario,,67-52,,
5:42.0,J. Wall misses 2-pt shot from 19 ft,,67-52,,
5:39.0,,,67-52,,Defensive rebound by L. Williams
5:33.0,,,67-54,2,L. Williams makes 2-pt shot from 4 ft
5:15.0,Turnover by O. Porter (bad pass),,67-54,,
5:15.0,,,67-54,,LA Lakers full timeout
5:15.0,,,67-54,,B. Bass enters the game for R. Hibbert
5:15.0,J. Hickson enters the game for N. Hilario,,67-54,,
5:06.0,,,67-54,,L. Williams misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by O. Porter,,67-54,,
4:41.0,J. Hickson makes 2-pt shot from 10 ft (assist by B. Beal),2,69-54,,
4:25.0,,,69-54,,Turnover by B. Bass (3 sec)
4:25.0,,,69-54,,L. Nance enters the game for K. Bryant
4:11.0,B. Beal misses 2-pt shot from 18 ft,,69-54,,
4:07.0,,,69-54,,Defensive rebound by D. Russell
4:05.0,,,69-56,2,D. Russell makes 2-pt shot from 2 ft
4:05.0,,,69-56,,Shooting foul by O. Porter (drawn by D. Russell)
4:05.0,G. Temple enters the game for B. Beal,,69-56,,
4:05.0,,,69-57,1,D. Russell makes free throw 1 of 1
3:52.0,J. Wall makes 2-pt shot from 1 ft,2,71-57,,
3:41.0,,,71-57,,D. Russell misses 2-pt shot from 18 ft
3:37.0,Defensive rebound by J. Wall,,71-57,,
3:29.0,O. Porter misses 3-pt shot from 24 ft,,71-57,,
3:27.0,Offensive rebound by M. Gortat,,71-57,,
3:23.0,J. Wall misses 3-pt shot from 27 ft,,71-57,,
3:21.0,,,71-57,,Defensive rebound by L. Nance
3:06.0,,,71-57,,L. Williams misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by J. Hickson,,71-57,,
3:03.0,Turnover by J. Hickson (lost ball; steal by D. Russell),,71-57,,
2:58.0,,,71-57,,Offensive charge foul by J. Randle
2:58.0,,,71-57,,Turnover by J. Randle (offensive foul)
2:58.0,Washington full timeout,,71-57,,
2:58.0,,,71-57,,Technical foul by J. Randle
2:58.0,,,71-57,,M. Huertas enters the game for D. Russell
2:58.0,J. Wall makes technical free throw,1,72-57,,
2:41.0,Turnover by O. Porter (bad pass),,72-57,,
2:26.0,,,72-57,,R. Kelly enters the game for J. Randle
2:17.0,,,72-57,,R. Kelly misses 3-pt shot from 27 ft
2:16.0,,,72-57,,Offensive rebound by B. Bass
2:15.0,,,72-57,,B. Bass misses 2-pt shot from 1 ft
2:13.0,Defensive rebound by J. Hickson,,72-57,,
2:08.0,J. Hickson makes 2-pt shot at rim (assist by J. Wall),2,74-57,,
2:00.0,,,74-57,,M. Huertas misses 2-pt shot from 9 ft
1:56.0,Defensive rebound by J. Hickson,,74-57,,
1:46.0,Shooting foul by L. Williams (drawn by J. Hickson),,74-57,,
1:46.0,J. Hickson misses free throw 1 of 2,,74-57,,
1:46.0,Offensive rebound by Team,,74-57,,
1:46.0,R. Sessions enters the game for J. Wall,,74-57,,
1:46.0,J. Hickson misses free throw 2 of 2,,74-57,,
1:45.0,,,74-57,,Defensive rebound by B. Bass
1:31.0,Personal foul by G. Temple,,74-57,,
1:24.0,,,74-57,,M. Huertas misses 2-pt shot from 18 ft
1:21.0,Defensive rebound by M. Gortat,,74-57,,
1:09.0,Shooting foul by L. Nance (drawn by J. Hickson),,74-57,,
1:09.0,J. Hickson misses free throw 1 of 2,,74-57,,
1:09.0,Offensive rebound by Team,,74-57,,
1:09.0,J. Hickson makes free throw 2 of 2,1,75-57,,
0:44.0,,,75-57,,M. Huertas misses 2-pt shot from 1 ft
0:43.0,,,75-57,,Offensive rebound by L. Nance
0:43.0,,,75-59,2,L. Nance makes 2-pt shot at rim
0:38.0,G. Temple makes 2-pt shot from 2 ft,2,77-59,,
0:27.0,,,77-59,,L. Williams misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by R. Sessions,,77-59,,
0:04.0,Turnover by R. Sessions (lost ball; steal by M. Huertas),,77-59,,
0:01.0,,,77-59,,L. Williams misses 3-pt shot from 41 ft
0:00.0,,,77-59,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by R. Kelly (drawn by J. Hickson),,77-59,,
11:42.0,J. Hickson misses free throw 1 of 2,,77-59,,
11:42.0,Offensive rebound by Team,,77-59,,
11:42.0,J. Hickson makes free throw 2 of 2,1,78-59,,
11:29.0,,,78-59,,Turnover by M. Huertas (lost ball; steal by N. Hilario)
11:16.0,J. Hickson makes 2-pt shot at rim,2,80-59,,
11:05.0,,,80-61,2,L. Nance makes 2-pt shot from 6 ft (assist by B. Bass)
10:53.0,R. Sessions misses 2-pt shot from 4 ft,,80-61,,
10:51.0,Offensive rebound by R. Sessions,,80-61,,
10:44.0,B. Beal makes 3-pt shot from 24 ft,3,83-61,,
10:25.0,,,83-61,,Turnover by R. Kelly (lost ball)
10:16.0,Shooting foul by L. Williams (drawn by B. Beal),,83-61,,
10:16.0,B. Beal makes free throw 1 of 2,1,84-61,,
10:16.0,B. Beal misses free throw 2 of 2,,84-61,,
10:15.0,,,84-61,,Defensive rebound by B. Bass
10:01.0,,,84-61,,Shooting foul by N. Hilario (drawn by L. Williams)
10:01.0,,,84-61,,L. Williams misses free throw 1 of 3
10:01.0,,,84-61,,Offensive rebound by Team
10:01.0,,,84-62,1,L. Williams makes free throw 2 of 3
10:01.0,,,84-63,1,L. Williams makes free throw 3 of 3
9:55.0,,,84-63,,Personal foul by L. Williams
9:44.0,J. Hickson makes 2-pt shot from 1 ft (assist by B. Beal),2,86-63,,
9:29.0,,,86-63,,Turnover by L. Williams (lost ball; steal by J. Hickson)
9:28.0,,,86-63,,Personal take foul by M. Huertas
9:28.0,,,86-63,,T. Black enters the game for B. Bass
9:21.0,Turnover by J. Hickson (traveling),,86-63,,
9:07.0,,,86-63,,L. Nance misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by B. Beal,,86-63,,
8:52.0,Turnover by B. Beal (lost ball; steal by L. Nance),,86-63,,
8:47.0,,,86-63,,T. Black misses 2-pt shot at rim
8:46.0,Defensive rebound by R. Sessions,,86-63,,
8:44.0,Shooting foul by R. Kelly (drawn by J. Hickson),,86-63,,
8:44.0,Official timeout,,86-63,,
8:44.0,J. Hickson misses free throw 1 of 2,,86-63,,
8:44.0,Offensive rebound by Team,,86-63,,
8:44.0,J. Hickson makes free throw 2 of 2,1,87-63,,
8:36.0,,,87-63,,Shooting foul by J. Hickson (drawn by L. Nance)
8:36.0,,,87-63,,L. Nance misses free throw 1 of 2
8:36.0,,,87-63,,Offensive rebound by Team
8:36.0,,,87-64,1,L. Nance makes free throw 2 of 2
8:21.0,Shooting foul by R. Kelly (drawn by B. Beal),,87-64,,
8:21.0,B. Beal misses free throw 1 of 2,,87-64,,
8:21.0,Offensive rebound by Team,,87-64,,
8:21.0,B. Beal misses free throw 2 of 2,,87-64,,
8:18.0,,,87-64,,Defensive rebound by R. Kelly
7:59.0,Personal block foul by N. Hilario,,87-64,,
7:49.0,,,87-66,2,M. Huertas makes 2-pt shot from 9 ft
7:31.0,Turnover by N. Hilario (lost ball; steal by L. Nance),,87-66,,
7:26.0,,,87-68,2,M. Huertas makes 2-pt shot from 4 ft (assist by L. Nance)
7:04.0,Shooting foul by R. Kelly (drawn by J. Hickson),,87-68,,
7:04.0,J. Hickson makes free throw 1 of 2,1,88-68,,
7:04.0,,,88-68,,J. Clarkson enters the game for L. Williams
7:04.0,J. Hickson misses free throw 2 of 2,,88-68,,
6:59.0,,,88-68,,Defensive rebound by R. Kelly
6:48.0,,,88-70,2,T. Black makes 2-pt shot at rim (assist by M. Huertas)
6:20.0,R. Sessions misses 2-pt shot from 10 ft,,88-70,,
6:20.0,,,88-70,,Defensive rebound by Team
6:20.0,Loose ball foul by J. Hickson,,88-70,,
6:20.0,,,88-70,,J. Randle enters the game for R. Kelly
6:12.0,,,88-72,2,J. Clarkson makes 2-pt shot from 1 ft (assist by M. Huertas)
5:45.0,N. Hilario makes 2-pt shot from 1 ft,2,90-72,,
5:28.0,,,90-75,3,M. Huertas makes 3-pt shot from 24 ft
5:11.0,R. Sessions misses 2-pt shot from 9 ft,,90-75,,
5:07.0,,,90-75,,Defensive rebound by J. Randle
4:56.0,,,90-77,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
4:55.0,Washington full timeout,,90-77,,
4:55.0,M. Gortat enters the game for G. Temple,,90-77,,
4:55.0,O. Porter enters the game for R. Sessions,,90-77,,
4:55.0,J. Wall enters the game for J. Hickson,,90-77,,
4:55.0,,,90-77,,D. Russell enters the game for M. Huertas
4:36.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,93-77,,
4:19.0,,,93-77,,D. Russell misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by Team,,93-77,,
4:18.0,,,93-77,,Loose ball foul by T. Black
4:18.0,M. Gortat makes free throw 1 of 2,1,94-77,,
4:18.0,M. Gortat makes free throw 2 of 2,1,95-77,,
4:00.0,,,95-77,,T. Black misses 2-pt shot from 6 ft (block by M. Gortat)
3:58.0,Defensive rebound by B. Beal,,95-77,,
3:42.0,N. Hilario misses 2-pt shot from 5 ft,,95-77,,
3:40.0,,,95-77,,Defensive rebound by J. Randle
3:35.0,,,95-77,,J. Randle misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by O. Porter,,95-77,,
3:14.0,J. Wall misses 3-pt shot from 26 ft,,95-77,,
3:11.0,,,95-77,,Defensive rebound by J. Randle
3:05.0,J. Hickson enters the game for N. Hilario,,95-77,,
2:54.0,,,95-77,,D. Russell misses 2-pt shot from 5 ft (block by M. Gortat)
2:53.0,,,95-77,,Offensive rebound by J. Randle
2:52.0,,,95-79,2,J. Randle makes 2-pt shot from 2 ft
2:31.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,97-79,,
2:16.0,,,97-79,,Shooting foul by J. Wall (drawn by D. Russell)
2:16.0,,,97-79,,LA Lakers full timeout
2:16.0,M. Thornton enters the game for B. Beal,,97-79,,
