time,Orlando,pts.away,score,pts.home,Minnesota
5:33.0,,,10-4,,Turnover by A. Wiggins (lost ball)
5:15.0,N. Vucevic misses 2-pt shot from 4 ft,,10-4,,
5:14.0,Offensive rebound by N. Vucevic,,10-4,,
5:11.0,N. Vucevic makes 2-pt shot from 5 ft,2,12-4,,
4:57.0,,,12-4,,K. Towns misses 2-pt shot from 20 ft
4:56.0,,,12-4,,Offensive rebound by N. Bjelica
4:47.0,,,12-6,2,K. Towns makes 2-pt shot from 8 ft
4:33.0,Turnover by N. Vucevic (bad pass),,12-6,,
4:33.0,A. Nicholson enters the game for C. Frye,,12-6,,
4:33.0,V. Oladipo enters the game for E. Fournier,,12-6,,
4:33.0,,,12-6,,G. Dieng enters the game for K. Towns
4:21.0,,,12-6,,A. Wiggins misses 2-pt shot from 19 ft
4:20.0,Defensive rebound by E. Payton,,12-6,,
4:16.0,,,12-6,,Personal foul by N. Bjelica (drawn by T. Harris)
4:16.0,T. Harris makes free throw 1 of 2,1,13-6,,
4:16.0,T. Harris misses free throw 2 of 2,,13-6,,
4:16.0,,,13-6,,Defensive rebound by G. Dieng
4:01.0,Personal foul by V. Oladipo (drawn by K. Martin),,13-6,,
4:01.0,,,13-6,,Z. LaVine enters the game for R. Rubio
4:01.0,,,13-6,,S. Muhammad enters the game for K. Martin
3:56.0,,,13-8,2,A. Wiggins makes 2-pt shot from 19 ft (assist by Z. LaVine)
3:39.0,N. Vucevic misses 2-pt shot from 17 ft,,13-8,,
3:38.0,,,13-8,,Defensive rebound by Z. LaVine
3:24.0,,,13-8,,Z. LaVine misses 2-pt shot from 6 ft
3:23.0,Defensive rebound by Team,,13-8,,
3:23.0,Orlando full timeout,,13-8,,
3:10.0,E. Payton makes 2-pt shot from 12 ft (assist by V. Oladipo),2,15-8,,
2:54.0,,,15-8,,S. Muhammad misses 2-pt shot from 9 ft
2:53.0,Defensive rebound by T. Harris,,15-8,,
2:42.0,A. Nicholson makes 2-pt shot from 8 ft,2,17-8,,
2:23.0,,,17-10,2,A. Wiggins makes 2-pt shot from 6 ft
2:23.0,,,17-10,,Shooting foul by N. Vucevic (drawn by A. Wiggins)
2:23.0,A. Gordon enters the game for T. Harris,,17-10,,
2:23.0,J. Smith enters the game for N. Vucevic,,17-10,,
2:23.0,S. Napier enters the game for E. Payton,,17-10,,
2:23.0,,,17-10,,A. Wiggins misses free throw 1 of 1
2:22.0,Defensive rebound by S. Napier,,17-10,,
2:06.0,A. Gordon misses 2-pt shot at rim,,17-10,,
2:05.0,,,17-10,,Defensive rebound by Z. LaVine
1:51.0,,,17-10,,G. Dieng misses 2-pt shot from 7 ft
1:50.0,Defensive rebound by A. Gordon,,17-10,,
1:29.0,A. Gordon makes 2-pt shot from 10 ft,2,19-10,,
1:12.0,,,19-10,,Shooting foul by A. Gordon (drawn by A. Wiggins)
1:12.0,,,19-10,,A. Wiggins misses free throw 1 of 2
1:12.0,,,19-10,,Offensive rebound by Team
1:12.0,,,19-11,1,A. Wiggins makes free throw 2 of 2
0:58.0,V. Oladipo misses 2-pt shot from 19 ft,,19-11,,
0:57.0,,,19-11,,Defensive rebound by S. Muhammad
0:54.0,,,19-11,,Turnover by S. Muhammad (lost ball; steal by V. Oladipo)
0:35.0,A. Nicholson makes 2-pt shot at rim (assist by S. Napier),2,21-11,,
0:20.0,Violation by A. Gordon (def goaltending),,21-11,,
0:20.0,,,21-13,2,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng)
0:20.0,,,21-13,,Shooting foul by A. Gordon (drawn by S. Muhammad)
0:20.0,,,21-13,,T. Prince enters the game for A. Wiggins
0:20.0,,,21-14,1,S. Muhammad makes free throw 1 of 1
0:09.0,,,21-14,,Personal take foul by S. Muhammad (drawn by V. Oladipo)
0:02.0,S. Napier misses 2-pt shot from 21 ft,,21-14,,
0:01.0,Offensive rebound by A. Nicholson,,21-14,,
0:00.0,A. Nicholson misses 2-pt shot from 10 ft,,21-14,,
0:00.0,Offensive rebound by Team,,21-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-14,,S. Muhammad misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by A. Nicholson,,21-14,,
11:31.0,A. Nicholson misses 2-pt shot from 3 ft,,21-14,,
11:30.0,,,21-14,,Defensive rebound by G. Dieng
11:17.0,,,21-16,2,S. Muhammad makes 2-pt shot from 2 ft (assist by N. Bjelica)
10:57.0,Shooting foul by N. Bjelica (drawn by J. Smith),,21-16,,
10:57.0,J. Smith makes free throw 1 of 2,1,22-16,,
10:57.0,J. Smith makes free throw 2 of 2,1,23-16,,
10:45.0,Personal foul by S. Napier (drawn by Z. LaVine),,23-16,,
10:41.0,,,23-16,,Turnover by Z. LaVine (bad pass; steal by V. Oladipo)
10:36.0,S. Napier misses 2-pt shot from 2 ft,,23-16,,
10:34.0,Offensive rebound by V. Oladipo,,23-16,,
10:31.0,V. Oladipo makes 2-pt shot at rim,2,25-16,,
10:16.0,Personal foul by J. Smith (drawn by G. Dieng),,25-16,,
10:07.0,,,25-19,3,N. Bjelica makes 3-pt shot from 25 ft (assist by Z. LaVine)
9:45.0,A. Gordon misses 3-pt shot from 23 ft,,25-19,,
9:43.0,Offensive rebound by J. Smith,,25-19,,
9:43.0,J. Smith makes 2-pt shot from 2 ft,2,27-19,,
9:21.0,,,27-21,2,G. Dieng makes 2-pt shot from 15 ft (assist by T. Prince)
9:06.0,A. Gordon makes 3-pt shot from 23 ft (assist by V. Oladipo),3,30-21,,
8:47.0,,,30-23,2,G. Dieng makes 2-pt shot from 2 ft (assist by Z. LaVine)
8:31.0,S. Napier misses 3-pt shot from 23 ft,,30-23,,
8:30.0,,,30-23,,Defensive rebound by G. Dieng
8:22.0,,,30-23,,S. Muhammad misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by A. Gordon,,30-23,,
8:16.0,V. Oladipo misses 2-pt shot from 1 ft,,30-23,,
8:15.0,,,30-23,,Defensive rebound by N. Bjelica
8:10.0,,,30-23,,Minnesota full timeout
8:06.0,,,30-23,,Shooting foul by J. Smith (drawn by Z. LaVine)
8:06.0,,,30-24,1,Z. LaVine makes free throw 1 of 2
8:06.0,N. Vucevic enters the game for J. Smith,,30-24,,
8:06.0,E. Payton enters the game for S. Napier,,30-24,,
8:06.0,T. Harris enters the game for A. Gordon,,30-24,,
8:06.0,,,30-25,1,Z. LaVine makes free throw 2 of 2
7:45.0,A. Nicholson misses 2-pt shot from 12 ft,,30-25,,
7:43.0,Offensive rebound by N. Vucevic,,30-25,,
7:35.0,Shooting foul by S. Muhammad (drawn by T. Harris),,30-25,,
7:35.0,T. Harris makes free throw 1 of 2,1,31-25,,
7:35.0,T. Harris makes free throw 2 of 2,1,32-25,,
7:19.0,,,32-25,,Z. LaVine misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by A. Nicholson,,32-25,,
7:04.0,A. Nicholson makes 2-pt shot from 8 ft (assist by T. Harris),2,34-25,,
6:47.0,,,34-25,,N. Bjelica misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by N. Vucevic,,34-25,,
6:38.0,A. Nicholson makes 2-pt shot from 1 ft (assist by N. Vucevic),2,36-25,,
6:36.0,,,36-25,,Minnesota full timeout
6:36.0,E. Fournier enters the game for V. Oladipo,,36-25,,
6:36.0,,,36-25,,A. Wiggins enters the game for T. Prince
6:36.0,,,36-25,,K. Towns enters the game for N. Bjelica
6:24.0,,,36-25,,S. Muhammad misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by N. Vucevic,,36-25,,
6:08.0,A. Nicholson makes 2-pt shot from 5 ft (assist by N. Vucevic),2,38-25,,
5:48.0,,,38-27,2,Z. LaVine makes 2-pt shot from 1 ft (assist by A. Wiggins)
5:30.0,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic),2,40-27,,
5:30.0,Shooting foul by A. Wiggins (drawn by E. Payton),,40-27,,
5:30.0,,,40-27,,R. Rubio enters the game for S. Muhammad
5:30.0,E. Payton misses free throw 1 of 1,,40-27,,
5:30.0,,,40-27,,Defensive rebound by K. Towns
5:19.0,,,40-27,,Turnover by G. Dieng (bad pass)
5:06.0,Turnover by T. Harris (lost ball; steal by R. Rubio),,40-27,,
5:02.0,,,40-27,,Z. LaVine misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by E. Payton,,40-27,,
4:55.0,T. Harris misses 2-pt shot from 2 ft (block by G. Dieng),,40-27,,
4:54.0,Offensive rebound by T. Harris,,40-27,,
4:52.0,Turnover by T. Harris (bad pass; steal by K. Towns),,40-27,,
4:51.0,,,40-27,,Turnover by R. Rubio (traveling)
4:40.0,A. Nicholson makes 2-pt shot from 6 ft,2,42-27,,
4:24.0,,,42-27,,K. Towns misses 2-pt shot from 19 ft
4:23.0,Defensive rebound by E. Fournier,,42-27,,
4:12.0,Turnover by A. Nicholson (bad pass; steal by R. Rubio),,42-27,,
4:08.0,,,42-29,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
3:47.0,Offensive charge foul by E. Payton,,42-29,,
3:47.0,Turnover by E. Payton (offensive foul),,42-29,,
3:47.0,,,42-29,,K. Martin enters the game for Z. LaVine
3:37.0,,,42-29,,Shooting foul by T. Harris (drawn by A. Wiggins)
3:37.0,,,42-30,1,A. Wiggins makes free throw 1 of 2
3:37.0,C. Frye enters the game for A. Nicholson,,42-30,,
3:37.0,V. Oladipo enters the game for E. Payton,,42-30,,
3:37.0,,,42-31,1,A. Wiggins makes free throw 2 of 2
3:21.0,Shooting foul by G. Dieng (drawn by E. Fournier),,42-31,,
3:21.0,E. Fournier misses free throw 1 of 2,,42-31,,
3:21.0,Offensive rebound by Team,,42-31,,
3:21.0,,,42-31,,K. Garnett enters the game for G. Dieng
3:21.0,E. Fournier makes free throw 2 of 2,1,43-31,,
3:14.0,,,43-31,,Offensive foul by K. Garnett
3:14.0,,,43-31,,Turnover by K. Garnett (offensive foul)
3:14.0,Orlando full timeout,,43-31,,
3:00.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,45-31,,
2:43.0,,,45-33,2,A. Wiggins makes 2-pt shot from 12 ft
2:27.0,T. Harris misses 2-pt shot from 1 ft (block by K. Garnett),,45-33,,
2:26.0,Offensive rebound by T. Harris,,45-33,,
2:25.0,T. Harris misses 2-pt shot from 3 ft (block by K. Garnett),,45-33,,
2:24.0,Offensive rebound by Team,,45-33,,
2:14.0,T. Harris makes 3-pt shot from 24 ft (assist by C. Frye),3,48-33,,
1:52.0,,,48-35,2,A. Wiggins makes 2-pt shot from 21 ft
1:40.0,Turnover by C. Frye (bad pass),,48-35,,
1:27.0,,,48-35,,K. Garnett misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by V. Oladipo,,48-35,,
1:11.0,N. Vucevic makes 2-pt shot from 8 ft (assist by V. Oladipo),2,50-35,,
0:56.0,,,50-38,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
0:41.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,52-38,,
0:36.0,Personal foul by C. Frye (drawn by K. Garnett),,52-38,,
0:36.0,,,52-39,1,K. Garnett makes free throw 1 of 2
0:36.0,,,52-40,1,K. Garnett makes free throw 2 of 2
0:26.0,V. Oladipo misses 2-pt shot from 15 ft,,52-40,,
0:24.0,,,52-40,,Defensive rebound by A. Wiggins
0:10.0,Personal foul by V. Oladipo (drawn by R. Rubio),,52-40,,
0:10.0,,,52-40,,R. Rubio misses free throw 1 of 2
0:10.0,,,52-40,,Offensive rebound by Team
0:10.0,,,52-41,1,R. Rubio makes free throw 2 of 2
0:04.0,E. Fournier makes 2-pt shot from 2 ft,2,54-41,,
0:01.0,,,54-41,,R. Rubio misses 3-pt shot from 32 ft
0:00.0,,,54-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,54-43,2,K. Martin makes 2-pt shot from 13 ft
11:24.0,N. Vucevic misses 2-pt shot from 13 ft,,54-43,,
11:21.0,,,54-43,,Defensive rebound by R. Rubio
11:17.0,Personal foul by E. Fournier (drawn by R. Rubio),,54-43,,
11:03.0,,,54-43,,Shooting foul by E. Fournier (drawn by K. Martin)
11:03.0,,,54-44,1,K. Martin makes free throw 1 of 2
11:03.0,,,54-45,1,K. Martin makes free throw 2 of 2
10:53.0,,,54-45,,Personal foul by K. Towns (drawn by N. Vucevic)
10:46.0,N. Vucevic misses 2-pt shot from 20 ft,,54-45,,
10:45.0,,,54-45,,Defensive rebound by K. Garnett
10:29.0,,,54-45,,K. Towns misses 2-pt shot from 7 ft
10:28.0,Defensive rebound by C. Frye,,54-45,,
10:18.0,Shooting foul by K. Martin (drawn by E. Fournier),,54-45,,
10:18.0,E. Fournier makes free throw 1 of 2,1,55-45,,
10:18.0,E. Fournier makes free throw 2 of 2,1,56-45,,
9:58.0,,,56-45,,Turnover by K. Martin (bad pass; steal by T. Harris)
9:54.0,T. Harris misses 2-pt shot from 2 ft (block by A. Wiggins),,56-45,,
9:52.0,,,56-45,,Defensive rebound by A. Wiggins
9:40.0,,,56-45,,K. Towns misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by N. Vucevic,,56-45,,
9:32.0,C. Frye misses 2-pt shot from 14 ft,,56-45,,
9:31.0,,,56-45,,Defensive rebound by R. Rubio
9:23.0,,,56-45,,R. Rubio misses 2-pt shot from 19 ft
9:22.0,Defensive rebound by C. Frye,,56-45,,
9:08.0,,,56-45,,Personal foul by R. Rubio (drawn by C. Frye)
9:01.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton),2,58-45,,
8:42.0,,,58-45,,A. Wiggins misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by N. Vucevic,,58-45,,
8:30.0,T. Harris makes 3-pt shot from 22 ft (assist by E. Fournier),3,61-45,,
8:30.0,,,61-45,,Minnesota full timeout
8:11.0,,,61-47,2,A. Wiggins makes 2-pt shot from 8 ft
7:48.0,E. Payton misses 2-pt shot from 12 ft,,61-47,,
7:47.0,,,61-47,,Defensive rebound by R. Rubio
7:46.0,Personal foul by E. Payton (drawn by R. Rubio),,61-47,,
7:38.0,,,61-47,,Offensive foul by K. Towns
7:38.0,,,61-47,,Turnover by K. Towns (offensive foul)
7:23.0,E. Payton makes 2-pt shot from 19 ft,2,63-47,,
6:57.0,,,63-49,2,K. Martin makes 2-pt shot from 19 ft (assist by A. Wiggins)
6:39.0,E. Fournier makes 3-pt shot from 25 ft,3,66-49,,
6:17.0,,,66-49,,K. Martin misses 2-pt shot from 7 ft
6:16.0,,,66-49,,Offensive rebound by K. Towns
6:15.0,,,66-49,,Shooting foul by C. Frye (drawn by K. Towns)
6:15.0,,,66-50,1,K. Towns makes free throw 1 of 2
6:15.0,,,66-50,,N. Bjelica enters the game for K. Garnett
6:15.0,A. Nicholson enters the game for C. Frye,,66-50,,
6:15.0,,,66-51,1,K. Towns makes free throw 2 of 2
5:59.0,N. Vucevic makes 2-pt shot from 7 ft,2,68-51,,
5:37.0,,,68-53,2,A. Wiggins makes 2-pt shot from 15 ft
5:21.0,T. Harris makes 2-pt shot from 18 ft,2,70-53,,
5:06.0,,,70-56,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
4:51.0,Offensive foul by E. Fournier,,70-56,,
4:51.0,Turnover by E. Fournier (offensive foul),,70-56,,
4:37.0,,,70-58,2,A. Wiggins makes 2-pt shot from 1 ft
4:17.0,E. Payton misses 3-pt shot from 24 ft,,70-58,,
4:16.0,,,70-58,,Defensive rebound by Team
4:16.0,V. Oladipo enters the game for E. Fournier,,70-58,,
4:16.0,A. Gordon enters the game for T. Harris,,70-58,,
4:16.0,,,70-58,,Z. LaVine enters the game for R. Rubio
4:00.0,,,70-58,,K. Towns misses 2-pt shot from 4 ft
3:59.0,Defensive rebound by N. Vucevic,,70-58,,
3:59.0,,,70-58,,Personal foul by N. Bjelica (drawn by N. Vucevic)
3:51.0,,,70-58,,Personal foul by K. Martin (drawn by V. Oladipo)
3:51.0,V. Oladipo makes free throw 1 of 2,1,71-58,,
3:51.0,,,71-58,,G. Dieng enters the game for K. Towns
3:51.0,V. Oladipo makes free throw 2 of 2,1,72-58,,
3:31.0,,,72-61,3,K. Martin makes 3-pt shot from 25 ft (assist by Z. LaVine)
3:15.0,Turnover by N. Vucevic (lost ball; steal by G. Dieng),,72-61,,
3:11.0,,,72-63,2,G. Dieng makes 2-pt shot at rim
2:56.0,Orlando full timeout,,72-63,,
2:50.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,74-63,,
2:30.0,,,74-63,,Turnover by Z. LaVine (bad pass; steal by N. Vucevic)
2:12.0,V. Oladipo misses 3-pt shot from 24 ft,,74-63,,
2:12.0,,,74-63,,Defensive rebound by N. Bjelica
2:05.0,Personal foul by V. Oladipo (drawn by K. Martin),,74-63,,
2:05.0,,,74-64,1,K. Martin makes free throw 1 of 2
2:05.0,,,74-65,1,K. Martin makes free throw 2 of 2
1:51.0,V. Oladipo makes 2-pt shot from 20 ft (assist by E. Payton),2,76-65,,
1:32.0,,,76-65,,Z. LaVine misses 3-pt shot from 27 ft
1:30.0,,,76-65,,Offensive rebound by Team
1:30.0,Loose ball foul by N. Vucevic (drawn by K. Martin),,76-65,,
1:30.0,,,76-66,1,K. Martin makes free throw 1 of 2
1:30.0,J. Smith enters the game for N. Vucevic,,76-66,,
1:30.0,,,76-67,1,K. Martin makes free throw 2 of 2
1:09.0,A. Gordon misses 2-pt shot from 9 ft,,76-67,,
1:08.0,,,76-67,,Defensive rebound by N. Bjelica
0:49.0,,,76-67,,K. Martin misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by E. Payton,,76-67,,
0:39.0,E. Payton misses 2-pt shot from 2 ft (block by G. Dieng),,76-67,,
0:39.0,Offensive rebound by Team,,76-67,,
0:39.0,,,76-67,,T. Prince enters the game for A. Wiggins
0:39.0,,,76-67,,S. Muhammad enters the game for K. Martin
0:35.0,A. Gordon misses 3-pt shot from 22 ft,,76-67,,
0:34.0,,,76-67,,Defensive rebound by N. Bjelica
0:12.0,,,76-67,,N. Bjelica misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by E. Payton,,76-67,,
0:01.0,E. Payton misses 2-pt shot from 19 ft,,76-67,,
0:00.0,,,76-67,,Defensive rebound by S. Muhammad
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Nicholson misses 2-pt shot from 10 ft,,76-67,,
11:46.0,,,76-67,,Defensive rebound by G. Dieng
11:32.0,,,76-69,2,S. Muhammad makes 2-pt shot from 4 ft (assist by Z. LaVine)
11:32.0,,,76-69,,Shooting foul by J. Smith (drawn by S. Muhammad)
11:32.0,,,76-69,,S. Muhammad misses free throw 1 of 1
11:31.0,Defensive rebound by A. Nicholson,,76-69,,
11:20.0,Turnover by V. Oladipo (bad pass; steal by N. Bjelica),,76-69,,
10:58.0,,,76-69,,G. Dieng misses 2-pt shot from 2 ft (block by A. Gordon)
10:58.0,Jump ball: G. Dieng vs. A. Gordon (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. A. Gordon (Z. LaVine gains possession)
10:58.0,,,76-69,,Offensive rebound by Team
10:54.0,,,76-69,,Z. LaVine misses 2-pt shot from 18 ft
10:53.0,,,76-69,,Offensive rebound by N. Bjelica
10:53.0,,,76-69,,Turnover by Team (shot clock)
10:40.0,V. Oladipo makes 2-pt shot from 5 ft,2,78-69,,
10:20.0,,,78-69,,N. Bjelica misses 2-pt shot from 5 ft
10:18.0,,,78-69,,Offensive rebound by N. Bjelica
10:16.0,,,78-69,,N. Bjelica misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by Team,,78-69,,
10:02.0,E. Fournier misses 2-pt shot from 2 ft (block by N. Bjelica),,78-69,,
10:00.0,,,78-69,,Defensive rebound by Z. LaVine
9:55.0,,,78-69,,S. Muhammad misses 2-pt shot from 2 ft (block by V. Oladipo)
9:54.0,,,78-69,,Offensive rebound by Z. LaVine
9:54.0,,,78-71,2,Z. LaVine makes 2-pt shot at rim
9:31.0,A. Gordon makes 2-pt shot from 18 ft,2,80-71,,
9:24.0,Personal foul by J. Smith (drawn by G. Dieng),,80-71,,
9:24.0,T. Harris enters the game for A. Gordon,,80-71,,
9:13.0,Shooting block foul by J. Smith (drawn by Z. LaVine),,80-71,,
9:13.0,,,80-72,1,Z. LaVine makes free throw 1 of 2
9:13.0,N. Vucevic enters the game for J. Smith,,80-72,,
9:13.0,,,80-73,1,Z. LaVine makes free throw 2 of 2
8:52.0,E. Fournier misses 3-pt shot from 25 ft,,80-73,,
8:51.0,,,80-73,,Defensive rebound by Z. LaVine
8:39.0,,,80-75,2,S. Muhammad makes 2-pt shot at rim
8:11.0,V. Oladipo misses 2-pt shot from 4 ft (block by G. Dieng),,80-75,,
8:10.0,,,80-75,,Defensive rebound by Team
8:10.0,,,80-75,,Minnesota full timeout
8:10.0,E. Payton enters the game for V. Oladipo,,80-75,,
8:02.0,Shooting block foul by N. Vucevic (drawn by Z. LaVine),,80-75,,
8:02.0,,,80-76,1,Z. LaVine makes free throw 1 of 2
8:02.0,,,80-77,1,Z. LaVine makes free throw 2 of 2
7:43.0,N. Vucevic makes 2-pt shot from 1 ft,2,82-77,,
7:29.0,,,82-79,2,T. Prince makes 2-pt shot from 21 ft (assist by N. Bjelica)
7:12.0,E. Payton misses 2-pt shot from 1 ft (block by Z. LaVine),,82-79,,
7:11.0,Offensive rebound by E. Payton,,82-79,,
7:10.0,E. Payton makes 2-pt shot at rim,2,84-79,,
6:58.0,,,84-81,2,Z. LaVine makes 2-pt shot from 1 ft
6:37.0,,,84-81,,A. Wiggins enters the game for S. Muhammad
6:36.0,Turnover by N. Vucevic (traveling),,84-81,,
6:21.0,,,84-81,,T. Prince misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by E. Payton,,84-81,,
6:04.0,,,84-81,,Personal foul by A. Wiggins (drawn by T. Harris)
6:00.0,E. Payton makes 2-pt shot from 1 ft,2,86-81,,
6:00.0,Shooting foul by Z. LaVine (drawn by E. Payton),,86-81,,
6:00.0,E. Payton misses free throw 1 of 1,,86-81,,
6:00.0,,,86-81,,Defensive rebound by N. Bjelica
5:54.0,,,86-81,,Minnesota full timeout
5:54.0,V. Oladipo enters the game for E. Fournier,,86-81,,
5:54.0,,,86-81,,R. Rubio enters the game for T. Prince
5:40.0,,,86-81,,Shooting foul by E. Payton (drawn by G. Dieng)
5:40.0,,,86-82,1,G. Dieng makes free throw 1 of 2
5:40.0,,,86-83,1,G. Dieng makes free throw 2 of 2
5:40.0,Turnover by N. Vucevic (bad pass; steal by R. Rubio),,86-83,,
5:39.0,Loose ball foul by E. Payton (drawn by G. Dieng),,86-83,,
5:39.0,,,86-84,1,R. Rubio makes free throw 1 of 2
5:39.0,,,86-85,1,R. Rubio makes free throw 2 of 2
5:16.0,N. Vucevic misses 2-pt shot from 7 ft,,86-85,,
5:15.0,Offensive rebound by A. Nicholson,,86-85,,
5:15.0,Shooting foul by G. Dieng (drawn by A. Nicholson),,86-85,,
5:15.0,A. Nicholson misses free throw 1 of 2,,86-85,,
5:15.0,Offensive rebound by Team,,86-85,,
5:15.0,,,86-85,,K. Garnett enters the game for N. Bjelica
5:15.0,A. Nicholson makes free throw 2 of 2,1,87-85,,
