time,Phoenix,pts.away,score,pts.home,Atlanta
11:49.0,Turnover by A. Goodwin (lost ball; steal by D. Schroder),,38-28,,
11:42.0,Personal foul by J. Jenkins,,38-28,,
11:42.0,R. Price enters the game for A. Goodwin,,38-28,,
11:34.0,,,38-28,,Turnover by D. Schroder (bad pass)
11:22.0,M. Teletovic misses 3-pt shot from 24 ft,,38-28,,
11:21.0,,,38-28,,Defensive rebound by T. Sefolosha
11:08.0,,,38-28,,A. Horford misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by J. Jenkins,,38-28,,
10:57.0,M. Teletovic misses 2-pt shot from 15 ft,,38-28,,
10:57.0,Offensive rebound by A. Williams,,38-28,,
10:57.0,Shooting foul by D. Schroder (drawn by A. Williams),,38-28,,
10:57.0,A. Williams makes free throw 1 of 2,1,39-28,,
10:57.0,A. Williams misses free throw 2 of 2,,39-28,,
10:56.0,,,39-28,,Defensive rebound by T. Sefolosha
10:40.0,,,39-28,,Turnover by M. Scott (lost ball; steal by J. Jenkins)
10:35.0,J. Jenkins misses 2-pt shot from 1 ft,,39-28,,
10:33.0,,,39-28,,Defensive rebound by A. Horford
10:27.0,,,39-28,,D. Schroder misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by M. Teletovic,,39-28,,
10:19.0,Turnover by R. Price (lost ball; steal by T. Sefolosha),,39-28,,
10:15.0,,,39-30,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder)
9:52.0,Shooting foul by A. Horford (drawn by C. Budinger),,39-30,,
9:52.0,C. Budinger misses free throw 1 of 2,,39-30,,
9:52.0,Offensive rebound by Team,,39-30,,
9:52.0,,,39-30,,K. Korver enters the game for T. Sefolosha
9:52.0,A. Goodwin enters the game for R. Price,,39-30,,
9:52.0,C. Budinger misses free throw 2 of 2,,39-30,,
9:50.0,,,39-30,,Defensive rebound by M. Scott
9:42.0,,,39-30,,M. Scott misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by J. Jenkins,,39-30,,
9:29.0,A. Williams misses 2-pt shot at rim,,39-30,,
9:27.0,,,39-30,,Defensive rebound by A. Horford
9:19.0,,,39-30,,K. Korver misses 3-pt shot from 23 ft
9:18.0,,,39-30,,Offensive rebound by A. Horford
9:06.0,,,39-30,,D. Schroder misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by A. Williams,,39-30,,
8:56.0,J. Jenkins misses 2-pt shot from 21 ft,,39-30,,
8:54.0,,,39-30,,Defensive rebound by Team
8:54.0,Official timeout,,39-30,,
8:54.0,T. Chandler enters the game for A. Williams,,39-30,,
8:54.0,,,39-30,,J. Teague enters the game for T. Hardaway
8:54.0,,,39-30,,P. Millsap enters the game for D. Schroder
8:54.0,,,39-30,,K. Bazemore enters the game for M. Scott
8:34.0,,,39-32,2,K. Bazemore makes 2-pt shot from 20 ft (assist by P. Millsap)
8:23.0,M. Teletovic makes 3-pt shot from 25 ft (assist by C. Budinger),3,42-32,,
8:12.0,Personal foul by C. Budinger,,42-32,,
8:12.0,P. Tucker enters the game for C. Budinger,,42-32,,
8:08.0,,,42-32,,Shooting foul by P. Tucker (drawn by P. Millsap)
8:08.0,,,42-32,,P. Millsap misses free throw 1 of 2
8:08.0,,,42-32,,Offensive rebound by Team
8:08.0,,,42-33,1,P. Millsap makes free throw 2 of 2
7:55.0,T. Chandler makes 2-pt shot from 1 ft (assist by J. Jenkins),2,44-33,,
7:42.0,,,44-33,,J. Teague misses 2-pt shot from 6 ft
7:41.0,Defensive rebound by A. Goodwin,,44-33,,
7:33.0,Shooting foul by K. Korver (drawn by T. Chandler),,44-33,,
7:33.0,T. Chandler makes free throw 1 of 2,1,45-33,,
7:33.0,T. Chandler makes free throw 2 of 2,1,46-33,,
7:10.0,,,46-35,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
7:01.0,Turnover by A. Goodwin (lost ball; steal by P. Millsap),,46-35,,
6:55.0,,,46-37,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver)
6:45.0,Turnover by T. Chandler (bad pass),,46-37,,
6:36.0,,,46-37,,K. Korver misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by T. Chandler,,46-37,,
6:27.0,Turnover by A. Goodwin (bad pass),,46-37,,
6:17.0,,,46-37,,J. Teague misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by M. Teletovic,,46-37,,
5:58.0,A. Goodwin misses 3-pt shot from 25 ft,,46-37,,
5:55.0,,,46-37,,Defensive rebound by K. Bazemore
5:48.0,,,46-37,,A. Horford misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by M. Teletovic,,46-37,,
5:42.0,J. Jenkins misses 3-pt shot from 25 ft,,46-37,,
5:40.0,,,46-37,,Defensive rebound by J. Teague
5:36.0,,,46-37,,Atlanta full timeout
5:36.0,D. Booker enters the game for A. Goodwin,,46-37,,
5:36.0,R. Price enters the game for J. Jenkins,,46-37,,
5:36.0,,,46-37,,M. Scott enters the game for A. Horford
5:18.0,,,46-37,,K. Bazemore misses 3-pt shot from 22 ft
5:17.0,,,46-37,,Offensive rebound by P. Millsap
5:12.0,,,46-40,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
5:00.0,Shooting foul by P. Millsap (drawn by T. Chandler),,46-40,,
5:00.0,T. Chandler misses free throw 1 of 2,,46-40,,
5:00.0,Offensive rebound by Team,,46-40,,
5:00.0,T. Chandler misses free throw 2 of 2,,46-40,,
4:59.0,,,46-40,,Defensive rebound by P. Millsap
4:50.0,,,46-40,,Offensive charge foul by K. Bazemore
4:50.0,,,46-40,,Turnover by K. Bazemore (offensive foul)
4:28.0,R. Price makes 3-pt shot from 25 ft (assist by M. Teletovic),3,49-40,,
4:07.0,,,49-42,2,M. Scott makes 2-pt shot from 7 ft (assist by P. Millsap)
3:54.0,P. Tucker misses 2-pt shot from 1 ft,,49-42,,
3:51.0,Offensive rebound by R. Price,,49-42,,
3:50.0,Turnover by R. Price (lost ball; steal by J. Teague),,49-42,,
3:38.0,,,49-42,,P. Millsap misses 2-pt shot from 11 ft
3:34.0,,,49-42,,Offensive rebound by K. Bazemore
3:34.0,,,49-42,,K. Bazemore misses 2-pt shot from 1 ft
3:33.0,Defensive rebound by D. Booker,,49-42,,
3:26.0,T. Chandler makes 2-pt shot at rim (assist by R. Price),2,51-42,,
3:03.0,,,51-42,,K. Bazemore misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by Team,,51-42,,
3:02.0,,,51-42,,Loose ball foul by M. Scott
3:02.0,M. Teletovic makes free throw 1 of 2,1,52-42,,
3:02.0,,,52-42,,T. Sefolosha enters the game for M. Scott
3:02.0,,,52-42,,A. Horford enters the game for K. Bazemore
3:02.0,M. Teletovic misses free throw 2 of 2,,52-42,,
3:00.0,,,52-42,,Defensive rebound by T. Sefolosha
2:50.0,,,52-42,,Turnover by J. Teague (lost ball; steal by R. Price)
2:43.0,D. Booker makes 2-pt shot from 6 ft (assist by P. Tucker),2,54-42,,
2:43.0,,,54-42,,Atlanta full timeout
2:43.0,Phoenix full timeout,,54-42,,
2:43.0,A. Len enters the game for M. Teletovic,,54-42,,
2:43.0,,,54-42,,K. Bazemore enters the game for T. Sefolosha
2:23.0,,,54-42,,A. Horford misses 2-pt shot from 4 ft (block by T. Chandler)
2:21.0,,,54-42,,Offensive rebound by P. Millsap
2:19.0,,,54-42,,Turnover by Team (shot clock)
2:01.0,R. Price misses 3-pt shot from 24 ft,,54-42,,
1:59.0,Offensive rebound by T. Chandler,,54-42,,
1:43.0,P. Tucker misses 2-pt shot from 4 ft,,54-42,,
1:42.0,Offensive rebound by P. Tucker,,54-42,,
1:41.0,Turnover by P. Tucker (3 sec),,54-42,,
1:25.0,,,54-42,,Turnover by A. Horford (lost ball; steal by R. Price)
1:23.0,Shooting foul by K. Korver (drawn by R. Price),,54-42,,
1:23.0,R. Price makes free throw 1 of 2,1,55-42,,
1:23.0,R. Price makes free throw 2 of 2,1,56-42,,
1:09.0,,,56-42,,Turnover by J. Teague (lost ball; steal by P. Tucker)
0:59.0,D. Booker misses 2-pt shot from 7 ft,,56-42,,
0:59.0,,,56-42,,Defensive rebound by Team
0:59.0,Loose ball foul by A. Len,,56-42,,
0:49.0,,,56-44,2,J. Teague makes 2-pt shot from 1 ft
0:31.0,T. Chandler misses 2-pt shot from 7 ft,,56-44,,
0:28.0,,,56-44,,Defensive rebound by A. Horford
0:14.0,,,56-44,,J. Teague misses 2-pt shot from 16 ft
0:13.0,Defensive rebound by P. Tucker,,56-44,,
0:03.0,Turnover by R. Price (lost ball; steal by P. Millsap),,56-44,,
0:00.0,,,56-44,,P. Millsap misses 3-pt shot from 62 ft
0:00.0,,,56-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Len misses 2-pt shot from 11 ft,,56-44,,
11:40.0,Offensive rebound by T. Chandler,,56-44,,
11:37.0,R. Price misses 3-pt shot from 24 ft,,56-44,,
11:37.0,Offensive rebound by Team,,56-44,,
11:37.0,,,56-44,,Loose ball foul by K. Korver
11:24.0,A. Len misses 2-pt shot at rim,,56-44,,
11:22.0,,,56-44,,Defensive rebound by P. Millsap
11:14.0,,,56-44,,K. Bazemore misses 2-pt shot from 21 ft
11:13.0,Defensive rebound by T. Chandler,,56-44,,
11:07.0,Turnover by A. Len (lost ball; steal by K. Bazemore),,56-44,,
11:03.0,,,56-46,2,K. Bazemore makes 2-pt shot at rim
10:49.0,A. Len misses 2-pt shot from 4 ft,,56-46,,
10:47.0,,,56-46,,Defensive rebound by P. Millsap
10:34.0,,,56-46,,A. Horford misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by D. Booker,,56-46,,
10:23.0,D. Booker misses 2-pt shot from 16 ft,,56-46,,
10:22.0,,,56-46,,Defensive rebound by P. Millsap
10:16.0,,,56-48,2,J. Teague makes 2-pt shot from 1 ft
10:16.0,,,56-48,,Shooting foul by D. Booker (drawn by J. Teague)
10:16.0,,,56-49,1,J. Teague makes free throw 1 of 1
10:12.0,Phoenix full timeout,,56-49,,
10:01.0,P. Tucker misses 3-pt shot from 23 ft,,56-49,,
9:58.0,,,56-49,,Defensive rebound by J. Teague
9:51.0,,,56-49,,J. Teague misses 2-pt shot from 3 ft
9:50.0,,,56-49,,Offensive rebound by A. Horford
9:50.0,,,56-49,,A. Horford misses 2-pt shot at rim
9:49.0,Defensive rebound by D. Booker,,56-49,,
9:41.0,D. Booker makes 3-pt shot from 24 ft,3,59-49,,
9:31.0,Personal foul by D. Booker,,59-49,,
9:25.0,,,59-49,,Offensive foul by P. Millsap
9:25.0,,,59-49,,Turnover by P. Millsap (offensive foul)
9:15.0,,,59-49,,Personal foul by K. Bazemore
9:07.0,Shooting foul by K. Bazemore (drawn by D. Booker),,59-49,,
9:07.0,,,59-49,,Technical foul by K. Bazemore
9:07.0,D. Booker makes technical free throw,1,60-49,,
9:07.0,D. Booker makes free throw 1 of 3,1,61-49,,
9:07.0,D. Booker misses free throw 2 of 3,,61-49,,
9:07.0,Offensive rebound by Team,,61-49,,
9:07.0,D. Booker makes free throw 3 of 3,1,62-49,,
8:55.0,,,62-49,,Shooting foul by T. Chandler (drawn by P. Millsap)
8:55.0,,,62-50,1,P. Millsap makes free throw 1 of 2
8:55.0,,,62-51,1,P. Millsap makes free throw 2 of 2
8:40.0,Turnover by A. Len (lost ball; steal by P. Millsap),,62-51,,
8:40.0,Jump ball: K. Korver vs. R. Price,,,,Jump ball: K. Korver vs. R. Price
8:25.0,,,62-51,,K. Korver misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by T. Chandler,,62-51,,
8:11.0,P. Tucker misses 2-pt shot from 2 ft,,62-51,,
8:10.0,,,62-51,,Defensive rebound by P. Millsap
8:05.0,,,62-54,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
7:47.0,D. Booker misses 3-pt shot from 24 ft,,62-54,,
7:45.0,Offensive rebound by P. Tucker,,62-54,,
7:35.0,D. Booker misses 2-pt shot from 14 ft,,62-54,,
7:35.0,Offensive rebound by P. Tucker,,62-54,,
7:35.0,,,62-54,,Personal foul by K. Korver
7:35.0,,,62-54,,T. Sefolosha enters the game for K. Korver
7:29.0,Turnover by R. Price (lost ball; steal by A. Horford),,62-54,,
7:24.0,,,62-56,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford)
7:24.0,,,62-56,,Shooting foul by T. Chandler (drawn by T. Sefolosha)
7:24.0,,,62-57,1,T. Sefolosha makes free throw 1 of 1
7:02.0,Turnover by P. Tucker (bad pass),,62-57,,
6:51.0,,,62-57,,A. Horford misses 2-pt shot from 7 ft
6:48.0,Defensive rebound by A. Len,,62-57,,
6:37.0,Offensive foul by T. Chandler,,62-57,,
6:37.0,Turnover by T. Chandler (offensive foul),,62-57,,
6:17.0,,,62-60,3,K. Bazemore makes 3-pt shot from 24 ft (assist by T. Sefolosha)
6:06.0,Shooting foul by A. Horford (drawn by D. Booker),,62-60,,
6:06.0,D. Booker makes free throw 1 of 2,1,63-60,,
6:06.0,M. Teletovic enters the game for A. Len,,63-60,,
6:06.0,D. Booker makes free throw 2 of 2,1,64-60,,
5:52.0,,,64-60,,Shooting foul by R. Price (drawn by P. Millsap)
5:52.0,,,64-61,1,P. Millsap makes free throw 1 of 2
5:52.0,,,64-61,,P. Millsap misses free throw 2 of 2
5:50.0,Defensive rebound by R. Price,,64-61,,
5:40.0,Shooting foul by A. Horford (drawn by T. Chandler),,64-61,,
5:40.0,T. Chandler makes free throw 1 of 2,1,65-61,,
5:40.0,,,65-61,,Atlanta full timeout
5:40.0,T. Chandler makes free throw 2 of 2,1,66-61,,
5:20.0,,,66-61,,A. Horford misses 2-pt shot from 9 ft
5:18.0,Defensive rebound by T. Chandler,,66-61,,
5:06.0,M. Teletovic misses 3-pt shot from 25 ft,,66-61,,
5:05.0,,,66-61,,Defensive rebound by K. Bazemore
4:57.0,,,66-61,,J. Teague misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by P. Tucker,,66-61,,
4:34.0,D. Booker misses 2-pt shot from 16 ft,,66-61,,
4:33.0,,,66-61,,Defensive rebound by P. Millsap
4:24.0,,,66-64,3,K. Bazemore makes 3-pt shot from 25 ft (assist by P. Millsap)
4:03.0,D. Booker misses 2-pt shot from 19 ft,,66-64,,
3:59.0,A. Len enters the game for T. Chandler,,66-64,,
3:59.0,,,66-64,,D. Schroder enters the game for J. Teague
3:59.0,Jump ball: D. Booker vs. A. Horford,,,,Jump ball: D. Booker vs. A. Horford
3:59.0,Offensive rebound by Team,,66-64,,
3:59.0,,,66-64,,Violation by Team (jump ball)
3:59.0,A. Goodwin enters the game for R. Price,,66-64,,
3:59.0,,,66-64,,K. Humphries enters the game for A. Horford
3:55.0,M. Teletovic misses 3-pt shot from 24 ft,,66-64,,
3:54.0,,,66-64,,Defensive rebound by K. Bazemore
3:46.0,,,66-64,,K. Humphries misses 3-pt shot from 23 ft
3:44.0,,,66-64,,Offensive rebound by T. Sefolosha
3:39.0,,,66-64,,Turnover by D. Schroder (lost ball; steal by M. Teletovic)
3:29.0,,,66-64,,Violation by Team (delay of game)
3:22.0,Turnover by A. Len (lost ball; steal by K. Bazemore),,66-64,,
3:16.0,,,66-66,2,K. Bazemore makes 2-pt shot from 1 ft
2:52.0,D. Booker makes 2-pt shot at rim,2,68-66,,
2:33.0,,,68-66,,Turnover by K. Humphries (lost ball; steal by A. Len)
2:27.0,A. Goodwin misses 2-pt shot at rim (block by P. Millsap),,68-66,,
2:26.0,,,68-66,,Defensive rebound by K. Bazemore
2:19.0,,,68-66,,D. Schroder misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by P. Tucker,,68-66,,
1:58.0,D. Booker makes 2-pt shot from 18 ft,2,70-66,,
1:32.0,,,70-66,,P. Millsap misses 2-pt shot from 3 ft
1:32.0,Defensive rebound by Team,,70-66,,
1:32.0,,,70-66,,M. Scott enters the game for P. Millsap
1:32.0,,,70-66,,T. Hardaway enters the game for K. Bazemore
1:32.0,,,70-66,,A. Horford enters the game for K. Humphries
1:14.0,Shooting foul by T. Sefolosha (drawn by D. Booker),,70-66,,
1:14.0,D. Booker misses free throw 1 of 2,,70-66,,
1:14.0,Offensive rebound by Team,,70-66,,
1:14.0,J. Jenkins enters the game for P. Tucker,,70-66,,
1:14.0,D. Booker makes free throw 2 of 2,1,71-66,,
0:52.0,,,71-66,,D. Schroder misses 2-pt shot from 2 ft
0:51.0,,,71-66,,Offensive rebound by A. Horford
0:51.0,,,71-66,,A. Horford misses 2-pt shot at rim
0:50.0,,,71-66,,Offensive rebound by A. Horford
0:50.0,,,71-68,2,A. Horford makes 2-pt shot at rim
0:42.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,73-68,,
0:32.0,,,73-68,,D. Schroder misses 2-pt shot from 1 ft (block by A. Len)
0:30.0,Defensive rebound by A. Len,,73-68,,
0:09.0,A. Goodwin misses 2-pt shot from 21 ft,,73-68,,
0:07.0,,,73-68,,Defensive rebound by A. Horford
0:02.0,,,73-70,2,T. Sefolosha makes 2-pt shot from 1 ft
0:00.0,Turnover by D. Booker (traveling),,73-70,,
0:00.0,,,73-70,,K. Korver enters the game for D. Schroder
0:00.0,R. Price enters the game for D. Booker,,73-70,,
0:00.0,P. Tucker enters the game for A. Goodwin,,73-70,,
0:00.0,T. Chandler enters the game for J. Jenkins,,73-70,,
0:00.0,,,73-70,,M. Scott misses 2-pt shot from 20 ft
0:00.0,,,73-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,73-72,2,D. Schroder makes 2-pt shot from 17 ft (assist by A. Horford)
11:28.0,Shooting foul by A. Horford (drawn by A. Goodwin),,73-72,,
11:28.0,A. Goodwin misses free throw 1 of 2,,73-72,,
11:28.0,Offensive rebound by Team,,73-72,,
11:28.0,A. Goodwin misses free throw 2 of 2,,73-72,,
11:27.0,,,73-72,,Defensive rebound by T. Hardaway
11:20.0,,,73-72,,Turnover by A. Horford (lost ball; steal by M. Teletovic)
11:13.0,M. Teletovic misses 3-pt shot from 25 ft,,73-72,,
11:10.0,,,73-72,,Defensive rebound by A. Horford
11:07.0,,,73-72,,M. Scott misses 2-pt shot at rim (block by A. Goodwin)
11:07.0,,,73-72,,Offensive rebound by Team
11:03.0,,,73-75,3,A. Horford makes 3-pt shot from 24 ft (assist by T. Hardaway)
10:54.0,Turnover by A. Goodwin (lost ball; steal by D. Schroder),,73-75,,
10:52.0,,,73-77,2,D. Schroder makes 2-pt shot from 1 ft
10:52.0,Phoenix full timeout,,73-77,,
10:52.0,T. Chandler enters the game for A. Goodwin,,73-77,,
10:52.0,R. Price enters the game for J. Jenkins,,73-77,,
10:52.0,D. Booker enters the game for C. Budinger,,73-77,,
10:37.0,Turnover by M. Teletovic (lost ball; steal by M. Scott),,73-77,,
10:32.0,,,73-77,,Shooting foul by A. Len (drawn by T. Hardaway)
10:32.0,,,73-78,1,T. Hardaway makes free throw 1 of 2
10:32.0,,,73-79,1,T. Hardaway makes free throw 2 of 2
10:13.0,M. Teletovic makes 2-pt shot from 9 ft,2,75-79,,
10:00.0,,,75-82,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
9:43.0,D. Booker makes 2-pt shot from 8 ft,2,77-82,,
9:26.0,,,77-82,,A. Horford misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by M. Teletovic,,77-82,,
9:17.0,D. Booker makes 2-pt shot from 17 ft,2,79-82,,
9:02.0,,,79-82,,D. Schroder misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by A. Len,,79-82,,
8:52.0,D. Booker misses 3-pt shot from 24 ft,,79-82,,
8:50.0,Offensive rebound by M. Teletovic,,79-82,,
8:42.0,Shooting foul by T. Hardaway (drawn by D. Booker),,79-82,,
8:42.0,D. Booker misses free throw 1 of 2,,79-82,,
8:42.0,Offensive rebound by Team,,79-82,,
8:42.0,,,79-82,,P. Millsap enters the game for A. Horford
8:42.0,D. Booker misses free throw 2 of 2,,79-82,,
8:40.0,Offensive rebound by A. Len,,79-82,,
8:34.0,M. Teletovic misses 2-pt shot at rim (block by P. Millsap),,79-82,,
8:33.0,,,79-82,,Defensive rebound by M. Scott
8:33.0,Personal foul by D. Booker,,79-82,,
8:30.0,Personal foul by R. Price,,79-82,,
