time,Cleveland,pts.away,score,pts.home,Oklahoma City
1:44.0,,,25-26,,C. Payne enters the game for R. Westbrook
1:27.0,L. James misses 2-pt shot from 5 ft,,25-26,,
1:26.0,,,25-26,,Defensive rebound by E. Kanter
1:16.0,,,25-26,,K. Durant misses 2-pt shot from 2 ft
1:16.0,,,25-26,,Offensive rebound by Team
1:09.0,,,25-28,2,K. Durant makes 2-pt shot from 6 ft
0:59.0,,,25-28,,Personal foul by R. Foye (drawn by T. Mozgov)
0:49.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,27-28,,
0:38.0,,,27-28,,K. Durant misses 3-pt shot from 24 ft
0:37.0,Defensive rebound by R. Jefferson,,27-28,,
0:20.0,K. Love misses 2-pt shot from 5 ft (block by S. Adams),,27-28,,
0:19.0,,,27-28,,Defensive rebound by S. Adams
0:00.0,,,27-28,,K. Durant misses 2-pt shot from 13 ft
0:00.0,,,27-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Smith misses 3-pt shot from 23 ft,,27-28,,
11:42.0,,,27-28,,Defensive rebound by C. Payne
11:26.0,,,27-28,,C. Payne misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by R. Jefferson,,27-28,,
11:14.0,Turnover by M. Dellavedova (lost ball; steal by C. Payne),,27-28,,
10:58.0,,,27-28,,E. Kanter misses 2-pt shot from 13 ft
10:58.0,Defensive rebound by T. Thompson,,27-28,,
10:45.0,R. Jefferson makes 3-pt shot from 22 ft,3,30-28,,
10:17.0,,,30-28,,E. Kanter misses 2-pt shot from 15 ft
10:17.0,Defensive rebound by T. Thompson,,30-28,,
9:56.0,Turnover by M. Dellavedova (bad pass; steal by C. Payne),,30-28,,
9:48.0,,,30-28,,Turnover by C. Payne (bad pass; steal by R. Jefferson)
9:45.0,,,30-28,,Shooting block foul by N. Collison (drawn by R. Jefferson)
9:45.0,R. Jefferson makes free throw 1 of 2,1,31-28,,
9:45.0,,,31-28,,D. Waiters enters the game for R. Foye
9:45.0,R. Jefferson makes free throw 2 of 2,1,32-28,,
9:34.0,,,32-28,,Shooting foul by T. Mozgov (drawn by C. Payne)
9:34.0,,,32-29,1,C. Payne makes free throw 1 of 2
9:34.0,,,32-30,1,C. Payne makes free throw 2 of 2
9:18.0,T. Mozgov makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,34-30,,
9:07.0,Personal foul by R. Jefferson (drawn by N. Collison),,34-30,,
9:07.0,,,34-30,,R. Westbrook enters the game for C. Payne
8:56.0,,,34-30,,A. Morrow misses 2-pt shot from 8 ft
8:55.0,,,34-30,,Offensive rebound by N. Collison
8:55.0,,,34-32,2,N. Collison makes 2-pt shot at rim
8:44.0,,,34-32,,Personal foul by D. Waiters (drawn by R. Jefferson)
8:44.0,Official timeout,,34-32,,
8:44.0,,,34-32,,S. Ibaka enters the game for N. Collison
8:31.0,T. Mozgov misses 2-pt shot from 1 ft,,34-32,,
8:30.0,,,34-32,,Defensive rebound by E. Kanter
8:24.0,,,34-34,2,R. Westbrook makes 2-pt shot from 1 ft
8:24.0,Violation by R. Jefferson (def goaltending),,34-34,,
8:10.0,M. Dellavedova misses 2-pt shot from 10 ft,,34-34,,
8:08.0,Offensive rebound by T. Mozgov,,34-34,,
8:04.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Thompson),3,37-34,,
7:50.0,L. James enters the game for R. Jefferson,,37-34,,
7:50.0,K. Love enters the game for T. Thompson,,37-34,,
7:47.0,,,37-34,,A. Morrow misses 3-pt shot from 25 ft
7:46.0,,,37-34,,Offensive rebound by E. Kanter
7:45.0,,,37-34,,Shooting foul by T. Mozgov (drawn by E. Kanter)
7:45.0,,,37-34,,E. Kanter misses free throw 1 of 2
7:45.0,,,37-34,,Offensive rebound by Team
7:45.0,,,37-34,,K. Durant enters the game for A. Morrow
7:45.0,,,37-35,1,E. Kanter makes free throw 2 of 2
7:26.0,L. James misses 2-pt shot from 8 ft,,37-35,,
7:25.0,,,37-35,,Defensive rebound by E. Kanter
7:16.0,,,37-35,,E. Kanter misses 2-pt shot at rim
7:16.0,Defensive rebound by L. James,,37-35,,
7:08.0,Turnover by T. Mozgov (lost ball; steal by S. Ibaka),,37-35,,
7:02.0,,,37-37,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:44.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,39-37,,
6:31.0,,,39-39,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
6:14.0,L. James makes 3-pt shot from 24 ft (assist by K. Love),3,42-39,,
6:01.0,,,42-39,,R. Westbrook misses 2-pt shot from 12 ft
5:59.0,,,42-39,,Offensive rebound by R. Westbrook
5:59.0,,,42-39,,R. Westbrook misses 2-pt shot at rim
5:59.0,Defensive rebound by K. Love,,42-39,,
5:53.0,L. James makes 2-pt shot at rim,2,44-39,,
5:48.0,,,44-39,,Oklahoma City full timeout
5:46.0,,,44-39,,S. Adams enters the game for E. Kanter
5:46.0,T. Thompson enters the game for T. Mozgov,,44-39,,
5:35.0,,,44-39,,S. Ibaka misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by L. James,,44-39,,
5:30.0,K. Love makes 2-pt shot at rim (assist by L. James),2,46-39,,
5:10.0,,,46-39,,S. Ibaka misses 2-pt shot from 5 ft
5:10.0,,,46-39,,Offensive rebound by S. Ibaka
5:05.0,,,46-41,2,S. Ibaka makes 2-pt shot from 3 ft
4:53.0,Offensive foul by J. Smith,,46-41,,
4:53.0,Turnover by J. Smith (offensive foul),,46-41,,
4:53.0,R. Jefferson enters the game for J. Smith,,46-41,,
4:44.0,,,46-41,,K. Durant misses 2-pt shot from 17 ft
4:43.0,Defensive rebound by K. Love,,46-41,,
4:34.0,L. James makes 2-pt shot from 16 ft,2,48-41,,
4:12.0,,,48-41,,Turnover by S. Adams (3 sec)
4:00.0,L. James misses 3-pt shot from 24 ft,,48-41,,
3:59.0,,,48-41,,Defensive rebound by R. Westbrook
3:53.0,,,48-44,3,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:41.0,,,48-44,,R. Foye enters the game for D. Waiters
3:41.0,J. Jones enters the game for M. Dellavedova,,48-44,,
3:37.0,R. Jefferson makes 3-pt shot from 22 ft (assist by K. Love),3,51-44,,
3:24.0,,,51-44,,S. Adams misses 2-pt shot at rim
3:24.0,Defensive rebound by K. Love,,51-44,,
3:22.0,,,51-44,,Violation by K. Durant (kicked ball)
3:22.0,Cleveland full timeout,,51-44,,
3:12.0,K. Love misses 3-pt shot from 24 ft,,51-44,,
3:12.0,,,51-44,,Defensive rebound by R. Westbrook
3:06.0,,,51-46,2,R. Westbrook makes 2-pt shot from 1 ft
2:42.0,L. James makes 2-pt shot from 1 ft,2,53-46,,
2:24.0,,,53-48,2,S. Ibaka makes 2-pt shot from 5 ft (assist by R. Westbrook)
2:07.0,L. James makes 2-pt shot from 10 ft,2,55-48,,
2:07.0,Shooting foul by R. Foye (drawn by L. James),,55-48,,
2:07.0,L. James makes free throw 1 of 1,1,56-48,,
1:46.0,,,56-51,3,R. Westbrook makes 3-pt shot from 25 ft (assist by R. Foye)
1:30.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,58-51,,
1:10.0,,,58-51,,Turnover by K. Durant (lost ball; steal by L. James)
1:03.0,Shooting foul by S. Adams (drawn by K. Love),,58-51,,
1:03.0,K. Love makes free throw 1 of 2,1,59-51,,
1:03.0,K. Love makes free throw 2 of 2,1,60-51,,
0:56.0,,,60-53,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
0:56.0,,,60-53,,Shooting foul by L. James (drawn by S. Ibaka)
0:56.0,,,60-53,,N. Collison enters the game for S. Adams
0:56.0,,,60-53,,S. Ibaka misses free throw 1 of 1
0:56.0,Defensive rebound by T. Thompson,,60-53,,
0:34.0,,,60-53,,Personal foul by R. Foye (drawn by R. Jefferson)
0:34.0,,,60-53,,Oklahoma City full timeout
0:34.0,R. Jefferson makes free throw 1 of 2,1,61-53,,
0:34.0,M. Dellavedova enters the game for J. Jones,,61-53,,
0:34.0,R. Jefferson makes free throw 2 of 2,1,62-53,,
0:28.0,,,62-53,,K. Durant misses 2-pt shot from 4 ft
0:27.0,Defensive rebound by R. Jefferson,,62-53,,
0:03.0,L. James misses 2-pt shot from 11 ft,,62-53,,
0:02.0,,,62-53,,Defensive rebound by K. Durant
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,T. Thompson misses 2-pt shot from 2 ft (block by K. Durant),,62-53,,
11:42.0,Offensive rebound by T. Thompson,,62-53,,
11:41.0,T. Thompson misses 2-pt shot from 4 ft (block by S. Ibaka),,62-53,,
11:41.0,Offensive rebound by Team,,62-53,,
11:38.0,J. Smith misses 2-pt shot at rim,,62-53,,
11:38.0,Offensive rebound by T. Thompson,,62-53,,
11:38.0,Shooting foul by S. Adams (drawn by T. Thompson),,62-53,,
11:38.0,T. Thompson makes free throw 1 of 2,1,63-53,,
11:38.0,T. Thompson misses free throw 2 of 2,,63-53,,
11:37.0,,,63-53,,Defensive rebound by S. Adams
11:18.0,,,63-53,,Shooting foul by L. James (drawn by K. Durant)
11:18.0,,,63-53,,K. Durant misses free throw 1 of 2
11:18.0,,,63-53,,Offensive rebound by Team
11:18.0,,,63-54,1,K. Durant makes free throw 2 of 2
11:01.0,K. Love misses 2-pt shot from 5 ft,,63-54,,
11:01.0,,,63-54,,Defensive rebound by K. Durant
10:52.0,,,63-56,2,S. Ibaka makes 2-pt shot from 19 ft (assist by D. Waiters)
10:28.0,L. James misses 2-pt shot from 1 ft,,63-56,,
10:28.0,Offensive rebound by T. Thompson,,63-56,,
10:28.0,,,63-56,,Personal foul by R. Westbrook (drawn by T. Thompson)
10:22.0,Turnover by M. Dellavedova (lost ball; steal by R. Westbrook),,63-56,,
10:18.0,,,63-58,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
10:18.0,Cleveland full timeout,,63-58,,
10:09.0,Turnover by L. James (bad pass; steal by S. Adams),,63-58,,
9:59.0,,,63-58,,D. Waiters misses 2-pt shot from 18 ft
9:58.0,,,63-58,,Offensive rebound by R. Westbrook
9:51.0,,,63-58,,S. Ibaka misses 3-pt shot from 22 ft
9:50.0,Defensive rebound by M. Dellavedova,,63-58,,
9:48.0,,,63-58,,Personal foul by R. Westbrook (drawn by M. Dellavedova)
9:31.0,Shooting foul by S. Ibaka (drawn by K. Love),,63-58,,
9:31.0,K. Love makes free throw 1 of 2,1,64-58,,
9:31.0,K. Love misses free throw 2 of 2,,64-58,,
9:30.0,,,64-58,,Defensive rebound by R. Westbrook
9:19.0,,,64-58,,D. Waiters misses 2-pt shot from 18 ft
9:18.0,Defensive rebound by K. Love,,64-58,,
9:04.0,L. James misses 2-pt shot from 14 ft,,64-58,,
9:03.0,,,64-58,,Defensive rebound by D. Waiters
8:57.0,,,64-58,,R. Westbrook misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by J. Smith,,64-58,,
8:50.0,Shooting foul by S. Ibaka (drawn by K. Love),,64-58,,
8:50.0,K. Love makes free throw 1 of 2,1,65-58,,
8:50.0,K. Love makes free throw 2 of 2,1,66-58,,
8:42.0,Personal foul by T. Thompson (drawn by S. Adams),,66-58,,
8:32.0,,,66-58,,K. Durant misses 2-pt shot at rim
8:31.0,,,66-58,,Offensive rebound by K. Durant
8:31.0,,,66-60,2,K. Durant makes 2-pt shot at rim
8:15.0,L. James misses 2-pt shot from 3 ft,,66-60,,
8:15.0,,,66-60,,Defensive rebound by S. Adams
8:09.0,,,66-62,2,R. Westbrook makes 2-pt shot at rim
7:51.0,M. Dellavedova makes 2-pt shot from 6 ft,2,68-62,,
7:36.0,,,68-62,,S. Ibaka misses 2-pt shot from 8 ft
7:36.0,Defensive rebound by Team,,68-62,,
7:36.0,,,68-62,,Loose ball foul by S. Adams (drawn by T. Thompson)
7:36.0,T. Thompson makes free throw 1 of 2,1,69-62,,
7:36.0,,,69-62,,E. Kanter enters the game for S. Adams
7:36.0,T. Thompson makes free throw 2 of 2,1,70-62,,
7:23.0,Personal foul by L. James (drawn by K. Durant),,70-62,,
7:14.0,,,70-62,,Turnover by K. Durant (bad pass; steal by L. James)
7:14.0,,,70-62,,Personal foul by K. Durant (drawn by K. Love)
7:14.0,K. Love makes free throw 1 of 2,1,71-62,,
7:14.0,K. Love makes free throw 2 of 2,1,72-62,,
6:48.0,,,72-62,,D. Waiters misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by T. Thompson,,72-62,,
6:43.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,75-62,,
6:42.0,,,75-62,,Oklahoma City full timeout
6:33.0,,,75-62,,K. Durant misses 2-pt shot from 19 ft
6:31.0,,,75-62,,Offensive rebound by S. Ibaka
6:23.0,,,75-62,,S. Ibaka misses 2-pt shot from 18 ft
6:23.0,Defensive rebound by J. Smith,,75-62,,
6:02.0,K. Love misses 3-pt shot from 23 ft,,75-62,,
6:02.0,Offensive rebound by T. Thompson,,75-62,,
5:58.0,J. Smith misses 3-pt shot from 25 ft,,75-62,,
5:57.0,Offensive rebound by K. Love,,75-62,,
5:54.0,K. Love makes 2-pt shot at rim,2,77-62,,
5:40.0,,,77-64,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
5:22.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,80-64,,
5:06.0,,,80-67,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Ibaka)
4:47.0,T. Thompson makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,82-67,,
4:23.0,,,82-67,,D. Waiters misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by L. James,,82-67,,
4:16.0,Turnover by L. James (bad pass; steal by E. Kanter),,82-67,,
4:12.0,,,82-67,,Turnover by D. Waiters (traveling)
4:12.0,R. Jefferson enters the game for M. Dellavedova,,82-67,,
4:03.0,,,82-67,,Personal foul by K. Durant (drawn by K. Love)
4:03.0,K. Love makes free throw 1 of 2,1,83-67,,
4:03.0,K. Love makes free throw 2 of 2,1,84-67,,
3:53.0,,,84-67,,K. Durant misses 3-pt shot from 23 ft
3:53.0,Defensive rebound by K. Love,,84-67,,
3:30.0,L. James makes 2-pt shot from 14 ft,2,86-67,,
3:18.0,,,86-69,2,R. Westbrook makes 2-pt shot from 11 ft
3:07.0,,,86-69,,Personal foul by S. Ibaka (drawn by K. Love)
3:07.0,K. Love makes free throw 1 of 2,1,87-69,,
3:07.0,K. Love makes free throw 2 of 2,1,88-69,,
2:49.0,,,88-69,,K. Durant misses 2-pt shot from 15 ft
2:48.0,,,88-69,,Offensive rebound by R. Westbrook
2:42.0,,,88-69,,R. Westbrook misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by L. James,,88-69,,
2:23.0,L. James makes 3-pt shot from 25 ft (assist by K. Love),3,91-69,,
2:11.0,Personal foul by R. Jefferson (drawn by R. Westbrook),,91-69,,
2:02.0,,,91-69,,Offensive charge foul by E. Kanter
2:02.0,,,91-69,,Turnover by E. Kanter (offensive foul)
1:40.0,K. Love makes 2-pt shot from 4 ft,2,93-69,,
1:40.0,,,93-69,,Oklahoma City full timeout
1:40.0,,,93-69,,C. Payne enters the game for R. Westbrook
1:24.0,,,93-69,,K. Durant misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by Team,,93-69,,
1:24.0,,,93-69,,Loose ball foul by E. Kanter (drawn by T. Thompson)
1:24.0,T. Thompson makes free throw 1 of 2,1,94-69,,
1:24.0,T. Mozgov enters the game for K. Love,,94-69,,
1:24.0,T. Thompson makes free throw 2 of 2,1,95-69,,
1:09.0,,,95-69,,S. Ibaka misses 2-pt shot from 16 ft
1:08.0,Defensive rebound by R. Jefferson,,95-69,,
0:51.0,L. James misses 3-pt shot from 24 ft,,95-69,,
0:50.0,Offensive rebound by L. James,,95-69,,
0:43.0,T. Mozgov misses 2-pt shot at rim (block by S. Ibaka),,95-69,,
0:42.0,,,95-69,,Defensive rebound by D. Waiters
0:39.0,,,95-69,,Shooting foul by R. Jefferson (drawn by D. Waiters)
0:39.0,,,95-70,1,D. Waiters makes free throw 1 of 2
0:39.0,,,95-71,1,D. Waiters makes free throw 2 of 2
0:21.0,Offensive foul by T. Mozgov,,95-71,,
0:21.0,Turnover by T. Mozgov (offensive foul),,95-71,,
0:21.0,M. Dellavedova enters the game for L. James,,95-71,,
0:02.0,,,95-73,2,E. Kanter makes 2-pt shot from 3 ft (assist by K. Durant)
0:00.0,R. Jefferson misses 3-pt shot from 31 ft,,95-73,,
0:00.0,Offensive rebound by Team,,95-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,95-73,,C. Payne misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by R. Jefferson,,95-73,,
11:32.0,Turnover by L. James (bad pass; steal by K. Singler),,95-73,,
11:28.0,,,95-75,2,C. Payne makes 2-pt shot from 1 ft (assist by K. Singler)
11:08.0,L. James misses 3-pt shot from 24 ft,,95-75,,
11:07.0,,,95-75,,Defensive rebound by N. Collison
10:50.0,,,95-77,2,N. Collison makes 2-pt shot from 3 ft (assist by C. Payne)
10:27.0,T. Mozgov makes 2-pt shot from 17 ft (assist by M. Dellavedova),2,97-77,,
10:06.0,,,97-79,2,C. Payne makes 2-pt shot from 8 ft
9:52.0,Shooting foul by N. Collison (drawn by T. Mozgov),,97-79,,
9:52.0,T. Mozgov misses free throw 1 of 2,,97-79,,
9:52.0,Offensive rebound by Team,,97-79,,
9:52.0,K. Love enters the game for J. Smith,,97-79,,
9:52.0,,,97-79,,S. Adams enters the game for E. Kanter
9:52.0,T. Mozgov makes free throw 2 of 2,1,98-79,,
9:35.0,,,98-79,,K. Singler misses 3-pt shot from 22 ft
9:34.0,,,98-79,,Offensive rebound by S. Adams
9:31.0,,,98-81,2,A. Morrow makes 2-pt shot from 5 ft
9:12.0,R. Jefferson makes 3-pt shot from 22 ft (assist by L. James),3,101-81,,
8:55.0,,,101-81,,Turnover by K. Singler (bad pass; steal by L. James)
8:47.0,M. Dellavedova misses 3-pt shot from 27 ft,,101-81,,
8:46.0,,,101-81,,Defensive rebound by S. Adams
8:37.0,,,101-81,,C. Payne misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by T. Mozgov,,101-81,,
8:31.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,103-81,,
8:31.0,,,103-81,,Oklahoma City full timeout
8:31.0,,,103-81,,R. Westbrook enters the game for C. Payne
8:31.0,J. Smith enters the game for L. James,,103-81,,
8:24.0,,,103-81,,A. Morrow misses 3-pt shot from 24 ft
8:24.0,,,103-81,,Offensive rebound by S. Adams
8:24.0,Personal foul by T. Mozgov (drawn by S. Adams),,103-81,,
8:12.0,,,103-81,,R. Westbrook misses 2-pt shot from 10 ft
8:12.0,Defensive rebound by K. Love,,103-81,,
8:03.0,,,103-81,,Personal foul by R. Westbrook (drawn by M. Dellavedova)
7:53.0,K. Love misses 3-pt shot from 24 ft,,103-81,,
7:52.0,Offensive rebound by T. Mozgov,,103-81,,
7:29.0,K. Love misses 2-pt shot from 12 ft,,103-81,,
7:28.0,,,103-81,,Defensive rebound by S. Adams
7:10.0,,,103-81,,R. Westbrook misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by T. Mozgov,,103-81,,
6:50.0,J. Smith misses 2-pt shot from 15 ft,,103-81,,
6:50.0,,,103-81,,Defensive rebound by R. Westbrook
6:46.0,,,103-81,,Shooting foul by M. Dellavedova (drawn by R. Westbrook)
6:46.0,,,103-82,1,R. Westbrook makes free throw 1 of 2
6:46.0,,,103-82,,K. Durant enters the game for K. Singler
6:46.0,,,103-82,,R. Westbrook misses free throw 2 of 2
6:45.0,,,103-82,,Offensive rebound by Team
6:45.0,Loose ball foul by T. Mozgov (drawn by S. Adams),,103-82,,
6:45.0,Technical foul by K. Love,,103-82,,
6:45.0,,,103-83,1,K. Durant makes technical free throw
6:45.0,T. Thompson enters the game for T. Mozgov,,103-83,,
6:43.0,Violation by K. Love (kicked ball),,103-83,,
6:38.0,,,103-86,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:27.0,,,103-86,,Personal foul by K. Durant (drawn by R. Jefferson)
6:16.0,K. Love makes 2-pt shot from 11 ft,2,105-86,,
6:02.0,,,105-86,,Turnover by K. Durant (lost ball)
5:43.0,J. Smith misses 2-pt shot from 17 ft,,105-86,,
5:41.0,Offensive rebound by K. Love,,105-86,,
5:41.0,K. Love makes 2-pt shot from 1 ft,2,107-86,,
5:17.0,,,107-88,2,A. Morrow makes 2-pt shot from 12 ft (assist by K. Durant)
5:10.0,Cleveland full timeout,,107-88,,
5:10.0,,,107-88,,D. Waiters enters the game for K. Durant
5:10.0,,,107-88,,R. Foye enters the game for R. Westbrook
5:10.0,L. James enters the game for R. Jefferson,,107-88,,
5:00.0,K. Love makes 2-pt shot from 18 ft (assist by L. James),2,109-88,,
4:42.0,,,109-88,,R. Foye misses 2-pt shot from 21 ft
4:41.0,,,109-88,,Offensive rebound by Team
4:33.0,,,109-88,,A. Morrow misses 2-pt shot from 19 ft
4:32.0,,,109-88,,Offensive rebound by A. Morrow
4:29.0,,,109-88,,A. Morrow misses 2-pt shot from 18 ft
4:29.0,Defensive rebound by T. Thompson,,109-88,,
4:05.0,J. Smith misses 3-pt shot from 24 ft,,109-88,,
4:05.0,,,109-88,,Defensive rebound by N. Collison
3:44.0,,,109-88,,R. Foye misses 2-pt shot from 20 ft
3:44.0,,,109-88,,Offensive rebound by D. Waiters
3:40.0,,,109-90,2,D. Waiters makes 2-pt shot from 15 ft
