time,Minnesota,pts.away,score,pts.home,Portland
7:17.0,,,12-8,,Personal foul by A. Aminu (drawn by R. Rubio)
7:07.0,A. Wiggins misses 2-pt shot from 2 ft,,12-8,,
7:07.0,,,12-8,,Defensive rebound by C. McCollum
7:00.0,,,12-8,,C. McCollum misses 2-pt shot from 3 ft
6:59.0,,,12-8,,Offensive rebound by A. Aminu
6:59.0,,,12-10,2,A. Aminu makes 2-pt shot from 1 ft
6:50.0,Minnesota full timeout,,12-10,,
6:50.0,,,12-10,,A. Crabbe enters the game for A. Aminu
6:40.0,K. Towns misses 3-pt shot from 24 ft,,12-10,,
6:40.0,,,12-10,,Defensive rebound by A. Crabbe
6:23.0,,,12-10,,N. Vonleh misses 3-pt shot from 22 ft
6:22.0,Defensive rebound by K. Towns,,12-10,,
6:08.0,A. Wiggins makes 2-pt shot from 3 ft,2,14-10,,
5:44.0,,,14-10,,Turnover by D. Lillard (bad pass; steal by T. Prince)
5:21.0,G. Dieng misses 2-pt shot from 20 ft,,14-10,,
5:21.0,,,14-10,,Defensive rebound by Team
5:21.0,S. Muhammad enters the game for T. Prince,,14-10,,
5:21.0,,,14-10,,G. Henderson enters the game for C. McCollum
5:09.0,,,14-10,,Shooting foul by R. Rubio (drawn by D. Lillard)
5:09.0,,,14-10,,D. Lillard misses free throw 1 of 2
5:09.0,,,14-10,,Offensive rebound by Team
5:09.0,,,14-11,1,D. Lillard makes free throw 2 of 2
4:54.0,K. Towns makes 2-pt shot from 21 ft (assist by R. Rubio),2,16-11,,
4:42.0,,,16-11,,D. Lillard misses 2-pt shot from 3 ft
4:42.0,Defensive rebound by R. Rubio,,16-11,,
4:42.0,,,16-11,,Personal foul by M. Plumlee (drawn by R. Rubio)
4:42.0,R. Rubio makes free throw 1 of 2,1,17-11,,
4:42.0,,,17-11,,M. Leonard enters the game for M. Plumlee
4:42.0,,,17-11,,E. Davis enters the game for N. Vonleh
4:42.0,R. Rubio makes free throw 2 of 2,1,18-11,,
4:26.0,,,18-11,,G. Henderson misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by A. Wiggins,,18-11,,
4:13.0,G. Dieng misses 3-pt shot from 23 ft,,18-11,,
4:13.0,,,18-11,,Defensive rebound by Team
4:13.0,Z. LaVine enters the game for R. Rubio,,18-11,,
3:56.0,,,18-11,,D. Lillard misses 3-pt shot from 22 ft
3:56.0,Defensive rebound by G. Dieng,,18-11,,
3:45.0,Z. LaVine misses 2-pt shot from 21 ft,,18-11,,
3:44.0,Offensive rebound by A. Wiggins,,18-11,,
3:42.0,Shooting foul by M. Leonard (drawn by A. Wiggins),,18-11,,
3:42.0,A. Wiggins misses free throw 1 of 2,,18-11,,
3:42.0,Offensive rebound by Team,,18-11,,
3:42.0,A. Wiggins makes free throw 2 of 2,1,19-11,,
3:26.0,,,19-13,2,D. Lillard makes 2-pt shot from 1 ft
3:09.0,,,19-13,,Personal foul by A. Crabbe (drawn by G. Dieng)
3:09.0,G. Dieng makes free throw 1 of 2,1,20-13,,
3:09.0,N. Bjelica enters the game for K. Towns,,20-13,,
3:09.0,G. Dieng makes free throw 2 of 2,1,21-13,,
2:51.0,,,21-13,,Shooting foul by S. Muhammad (drawn by G. Henderson)
2:51.0,,,21-13,,Portland full timeout
2:51.0,T. Prince enters the game for A. Wiggins,,21-13,,
2:51.0,,,21-14,1,G. Henderson makes free throw 1 of 2
2:51.0,,,21-15,1,G. Henderson makes free throw 2 of 2
2:36.0,Turnover by S. Muhammad (lost ball; steal by G. Henderson),,21-15,,
2:36.0,Personal foul by S. Muhammad (drawn by G. Henderson),,21-15,,
2:14.0,,,21-17,2,D. Lillard makes 2-pt shot from 16 ft
1:55.0,Turnover by S. Muhammad (traveling),,21-17,,
1:55.0,N. Pekovic enters the game for G. Dieng,,21-17,,
1:34.0,,,21-17,,Shooting foul by S. Muhammad (drawn by G. Henderson)
1:34.0,,,21-18,1,G. Henderson makes free throw 1 of 2
1:34.0,A. Wiggins enters the game for S. Muhammad,,21-18,,
1:34.0,,,21-19,1,G. Henderson makes free throw 2 of 2
1:13.0,T. Prince misses 2-pt shot from 5 ft,,21-19,,
1:13.0,Offensive rebound by Team,,21-19,,
1:10.0,A. Wiggins misses 2-pt shot from 7 ft,,21-19,,
1:07.0,Offensive rebound by A. Wiggins,,21-19,,
0:57.0,Z. LaVine misses 2-pt shot from 20 ft,,21-19,,
0:56.0,Offensive rebound by A. Wiggins,,21-19,,
0:50.0,Turnover by N. Bjelica (bad pass; steal by A. Crabbe),,21-19,,
0:46.0,,,21-21,2,A. Crabbe makes 2-pt shot from 1 ft
0:28.0,Z. LaVine misses 3-pt shot from 22 ft,,21-21,,
0:26.0,Offensive rebound by N. Pekovic,,21-21,,
0:20.0,A. Wiggins misses 2-pt shot from 19 ft,,21-21,,
0:20.0,,,21-21,,Defensive rebound by A. Crabbe
0:02.0,,,21-21,,D. Lillard misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by N. Pekovic,,21-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,N. Pekovic misses 2-pt shot from 5 ft,,21-21,,
11:46.0,,,21-21,,Defensive rebound by G. Henderson
11:32.0,,,21-21,,Turnover by C. McCollum (step out of bounds)
11:18.0,Z. LaVine makes 2-pt shot from 2 ft (assist by N. Bjelica),2,23-21,,
10:59.0,,,23-21,,A. Crabbe misses 3-pt shot from 22 ft
10:59.0,Defensive rebound by T. Prince,,23-21,,
10:36.0,N. Bjelica misses 2-pt shot from 21 ft,,23-21,,
10:35.0,,,23-21,,Defensive rebound by A. Crabbe
10:28.0,,,23-21,,Shooting foul by N. Pekovic (drawn by C. McCollum)
10:28.0,,,23-23,2,C. McCollum makes 2-pt shot from 3 ft
10:28.0,,,23-24,1,C. McCollum makes free throw 1 of 1
10:03.0,A. Miller makes 2-pt shot from 15 ft,2,25-24,,
9:51.0,,,25-26,2,G. Henderson makes 2-pt shot at rim (assist by E. Davis)
9:33.0,Z. LaVine misses 2-pt shot from 17 ft,,25-26,,
9:32.0,,,25-26,,Defensive rebound by M. Leonard
9:23.0,,,25-26,,Turnover by C. McCollum (bad pass; steal by T. Prince)
9:17.0,Z. LaVine misses 2-pt shot from 1 ft,,25-26,,
9:16.0,Offensive rebound by N. Bjelica,,25-26,,
9:16.0,N. Bjelica makes 2-pt shot at rim,2,27-26,,
8:57.0,,,27-26,,Shooting foul by N. Bjelica (drawn by E. Davis)
8:57.0,Official timeout,,27-26,,
8:57.0,,,27-27,1,E. Davis makes free throw 1 of 2
8:57.0,,,27-28,1,E. Davis makes free throw 2 of 2
8:36.0,A. Miller makes 2-pt shot from 13 ft,2,29-28,,
8:20.0,,,29-30,2,E. Davis makes 2-pt shot from 3 ft (assist by C. McCollum)
8:20.0,,,29-30,,Shooting foul by Z. LaVine (drawn by E. Davis)
8:20.0,,,29-30,,A. Aminu enters the game for A. Crabbe
8:20.0,,,29-30,,E. Davis misses free throw 1 of 1
8:19.0,Defensive rebound by N. Bjelica,,29-30,,
7:56.0,T. Prince misses 2-pt shot from 3 ft (block by A. Aminu),,29-30,,
7:55.0,Offensive rebound by A. Miller,,29-30,,
7:55.0,Turnover by Team (shot clock),,29-30,,
7:31.0,,,29-30,,G. Henderson misses 3-pt shot from 22 ft
7:31.0,Defensive rebound by N. Pekovic,,29-30,,
7:30.0,,,29-30,,Personal foul by M. Leonard (drawn by N. Pekovic)
7:30.0,A. Wiggins enters the game for N. Pekovic,,29-30,,
7:30.0,G. Dieng enters the game for N. Bjelica,,29-30,,
7:14.0,Offensive foul by A. Miller,,29-30,,
7:14.0,Turnover by A. Miller (offensive foul),,29-30,,
7:04.0,,,29-30,,C. McCollum misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by Team,,29-30,,
7:04.0,Minnesota full timeout,,29-30,,
7:04.0,K. Towns enters the game for A. Wiggins,,29-30,,
6:51.0,Turnover by A. Miller (bad pass; steal by C. McCollum),,29-30,,
6:39.0,,,29-30,,M. Leonard misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by G. Dieng,,29-30,,
6:18.0,Z. LaVine misses 2-pt shot from 17 ft,,29-30,,
6:17.0,,,29-30,,Defensive rebound by A. Aminu
6:04.0,,,29-30,,M. Leonard misses 3-pt shot from 23 ft
6:04.0,,,29-30,,Offensive rebound by Team
6:04.0,Loose ball foul by G. Dieng (drawn by E. Davis),,29-30,,
6:04.0,R. Rubio enters the game for A. Miller,,29-30,,
6:04.0,A. Wiggins enters the game for Z. LaVine,,29-30,,
6:04.0,,,29-30,,M. Plumlee enters the game for E. Davis
5:56.0,,,29-30,,C. McCollum misses 2-pt shot from 8 ft
5:55.0,Defensive rebound by Team,,29-30,,
5:33.0,K. Towns misses 2-pt shot from 17 ft,,29-30,,
5:32.0,,,29-30,,Defensive rebound by A. Aminu
5:24.0,,,29-32,2,C. McCollum makes 2-pt shot from 1 ft
5:09.0,A. Wiggins misses 3-pt shot from 22 ft,,29-32,,
5:08.0,,,29-32,,Defensive rebound by M. Leonard
5:04.0,,,29-32,,Turnover by M. Leonard (bad pass; steal by T. Prince)
4:48.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,31-32,,
4:20.0,,,31-34,2,C. McCollum makes 2-pt shot from 22 ft
4:01.0,T. Prince misses 2-pt shot from 20 ft,,31-34,,
4:00.0,,,31-34,,Defensive rebound by A. Aminu
3:51.0,,,31-37,3,M. Leonard makes 3-pt shot from 22 ft (assist by A. Aminu)
3:29.0,G. Dieng misses 2-pt shot at rim,,31-37,,
3:29.0,Offensive rebound by K. Towns,,31-37,,
3:29.0,K. Towns makes 2-pt shot at rim,2,33-37,,
3:26.0,,,33-37,,Portland full timeout
3:26.0,,,33-37,,D. Lillard enters the game for C. McCollum
3:26.0,,,33-37,,A. Crabbe enters the game for G. Henderson
3:13.0,,,33-39,2,A. Crabbe makes 2-pt shot from 4 ft (assist by D. Lillard)
2:59.0,K. Towns misses 2-pt shot from 19 ft,,33-39,,
2:59.0,,,33-39,,Defensive rebound by D. Lillard
2:42.0,,,33-39,,M. Leonard misses 2-pt shot from 18 ft (block by K. Towns)
2:41.0,Defensive rebound by A. Wiggins,,33-39,,
2:37.0,A. Wiggins misses 2-pt shot from 1 ft (block by A. Aminu),,33-39,,
2:37.0,Offensive rebound by Team,,33-39,,
2:37.0,,,33-39,,N. Vonleh enters the game for M. Leonard
2:30.0,R. Rubio makes 2-pt shot from 18 ft,2,35-39,,
2:30.0,Shooting foul by D. Lillard (drawn by R. Rubio),,35-39,,
2:30.0,R. Rubio misses free throw 1 of 1,,35-39,,
2:28.0,,,35-39,,Defensive rebound by N. Vonleh
2:22.0,,,35-41,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
2:04.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,37-41,,
1:47.0,,,37-43,2,A. Crabbe makes 2-pt shot from 13 ft (assist by D. Lillard)
1:26.0,K. Towns misses 2-pt shot from 7 ft (block by M. Plumlee),,37-43,,
1:26.0,,,37-43,,Defensive rebound by Team
1:21.0,Personal foul by R. Rubio (drawn by D. Lillard),,37-43,,
1:21.0,,,37-44,1,D. Lillard makes free throw 1 of 2
1:21.0,,,37-45,1,D. Lillard makes free throw 2 of 2
1:08.0,A. Wiggins misses 3-pt shot from 24 ft,,37-45,,
1:07.0,,,37-45,,Defensive rebound by M. Plumlee
0:55.0,,,37-45,,A. Aminu misses 2-pt shot from 19 ft
0:54.0,Defensive rebound by K. Towns,,37-45,,
0:44.0,,,37-45,,M. Leonard enters the game for N. Vonleh
0:32.0,A. Wiggins misses 2-pt shot from 1 ft,,37-45,,
0:31.0,Offensive rebound by K. Towns,,37-45,,
0:31.0,K. Towns makes 2-pt shot from 1 ft,2,39-45,,
0:27.0,,,39-48,3,D. Lillard makes 3-pt shot from 24 ft
0:05.0,R. Rubio misses 2-pt shot from 20 ft,,39-48,,
0:04.0,,,39-48,,Defensive rebound by A. Aminu
0:01.0,,,39-48,,Turnover by A. Aminu (bad pass; steal by R. Rubio)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Shooting foul by D. Lillard (drawn by R. Rubio),,39-48,,
11:42.0,R. Rubio misses free throw 1 of 2,,39-48,,
11:42.0,Offensive rebound by Team,,39-48,,
11:42.0,R. Rubio misses free throw 2 of 2,,39-48,,
11:42.0,,,39-48,,Defensive rebound by N. Vonleh
11:32.0,,,39-48,,D. Lillard misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by G. Dieng,,39-48,,
11:28.0,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng),2,41-48,,
11:13.0,,,41-48,,A. Aminu misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by A. Wiggins,,41-48,,
10:52.0,K. Towns makes 2-pt shot from 12 ft (assist by R. Rubio),2,43-48,,
10:31.0,,,43-48,,C. McCollum misses 2-pt shot from 8 ft (block by G. Dieng)
10:30.0,Defensive rebound by G. Dieng,,43-48,,
10:19.0,G. Dieng makes 2-pt shot from 4 ft (assist by R. Rubio),2,45-48,,
10:19.0,,,45-48,,Portland full timeout
9:54.0,,,45-48,,C. McCollum misses 2-pt shot from 11 ft
9:53.0,,,45-48,,Offensive rebound by N. Vonleh
9:53.0,,,45-48,,N. Vonleh misses 2-pt shot at rim
9:52.0,Defensive rebound by R. Rubio,,45-48,,
9:39.0,Turnover by G. Dieng (3 sec),,45-48,,
9:22.0,,,45-50,2,C. McCollum makes 2-pt shot from 17 ft
9:20.0,Minnesota full timeout,,45-50,,
9:07.0,A. Wiggins misses 2-pt shot from 7 ft,,45-50,,
9:06.0,,,45-50,,Defensive rebound by N. Vonleh
8:59.0,,,45-50,,M. Plumlee misses 2-pt shot from 2 ft (block by K. Towns)
8:58.0,Defensive rebound by R. Rubio,,45-50,,
8:51.0,K. Towns misses 2-pt shot from 8 ft,,45-50,,
8:50.0,Offensive rebound by K. Towns,,45-50,,
8:50.0,Shooting foul by M. Plumlee (drawn by K. Towns),,45-50,,
8:50.0,K. Towns misses free throw 1 of 2,,45-50,,
8:50.0,Offensive rebound by Team,,45-50,,
8:50.0,K. Towns misses free throw 2 of 2,,45-50,,
8:49.0,,,45-50,,Defensive rebound by N. Vonleh
8:25.0,,,45-52,2,C. McCollum makes 2-pt shot from 17 ft
7:56.0,T. Prince makes 2-pt shot from 13 ft,2,47-52,,
7:38.0,,,47-52,,C. McCollum misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by G. Dieng,,47-52,,
7:26.0,G. Dieng makes 2-pt shot from 15 ft (assist by R. Rubio),2,49-52,,
7:03.0,,,49-52,,M. Plumlee misses 2-pt shot from 12 ft
7:02.0,,,49-52,,Offensive rebound by M. Plumlee
6:56.0,,,49-54,2,D. Lillard makes 2-pt shot from 15 ft (assist by M. Plumlee)
6:35.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,51-54,,
6:15.0,,,51-56,2,C. McCollum makes 2-pt shot from 1 ft
5:54.0,Turnover by K. Towns (offensive goaltending),,51-56,,
5:40.0,,,51-56,,D. Lillard misses 2-pt shot from 3 ft (block by K. Towns)
5:39.0,Defensive rebound by G. Dieng,,51-56,,
5:28.0,Shooting foul by C. McCollum (drawn by A. Wiggins),,51-56,,
5:28.0,A. Wiggins makes free throw 1 of 2,1,52-56,,
5:28.0,S. Muhammad enters the game for T. Prince,,52-56,,
5:28.0,,,52-56,,M. Leonard enters the game for N. Vonleh
5:28.0,,,52-56,,A. Crabbe enters the game for C. McCollum
5:28.0,A. Wiggins makes free throw 2 of 2,1,53-56,,
5:12.0,Personal foul by G. Dieng (drawn by M. Plumlee),,53-56,,
5:09.0,,,53-56,,Offensive foul by A. Crabbe
5:09.0,,,53-56,,Turnover by A. Crabbe (offensive foul)
4:57.0,K. Towns misses 2-pt shot from 2 ft (block by M. Leonard),,53-56,,
4:56.0,Offensive rebound by K. Towns,,53-56,,
4:56.0,Shooting foul by M. Leonard (drawn by K. Towns),,53-56,,
4:56.0,K. Towns makes free throw 1 of 2,1,54-56,,
4:56.0,,,54-56,,E. Davis enters the game for M. Plumlee
4:56.0,K. Towns makes free throw 2 of 2,1,55-56,,
4:39.0,,,55-56,,A. Aminu misses 2-pt shot from 5 ft
4:38.0,Defensive rebound by R. Rubio,,55-56,,
4:23.0,Turnover by A. Wiggins (lost ball; steal by D. Lillard),,55-56,,
4:17.0,,,55-56,,Turnover by A. Crabbe (traveling)
4:05.0,G. Dieng makes 2-pt shot from 5 ft,2,57-56,,
3:48.0,,,57-59,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
3:30.0,,,57-59,,Personal foul by D. Lillard (drawn by A. Wiggins)
3:30.0,A. Wiggins misses free throw 1 of 2,,57-59,,
3:30.0,Offensive rebound by Team,,57-59,,
3:30.0,Z. LaVine enters the game for R. Rubio,,57-59,,
3:30.0,,,57-59,,G. Henderson enters the game for A. Aminu
3:30.0,,,57-59,,C. McCollum enters the game for D. Lillard
3:30.0,A. Wiggins makes free throw 2 of 2,1,58-59,,
3:09.0,,,58-59,,M. Leonard misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by G. Dieng,,58-59,,
2:55.0,K. Towns misses 2-pt shot from 15 ft,,58-59,,
2:55.0,,,58-59,,Defensive rebound by M. Leonard
2:47.0,,,58-59,,C. McCollum misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by K. Towns,,58-59,,
2:24.0,G. Dieng makes 2-pt shot from 2 ft (assist by K. Towns),2,60-59,,
2:06.0,,,60-59,,A. Crabbe misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by K. Towns,,60-59,,
1:54.0,A. Wiggins misses 2-pt shot from 1 ft,,60-59,,
1:53.0,,,60-59,,Defensive rebound by E. Davis
1:48.0,,,60-61,2,A. Crabbe makes 2-pt shot from 1 ft (assist by E. Davis)
1:25.0,S. Muhammad misses 3-pt shot from 25 ft,,60-61,,
1:24.0,Offensive rebound by A. Wiggins,,60-61,,
1:24.0,Shooting foul by E. Davis (drawn by A. Wiggins),,60-61,,
1:24.0,A. Wiggins makes free throw 1 of 2,1,61-61,,
1:24.0,N. Bjelica enters the game for K. Towns,,61-61,,
1:24.0,A. Wiggins makes free throw 2 of 2,1,62-61,,
0:59.0,,,62-61,,C. McCollum misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by N. Bjelica,,62-61,,
0:54.0,Z. LaVine makes 2-pt shot at rim,2,64-61,,
0:54.0,Shooting foul by A. Crabbe (drawn by Z. LaVine),,64-61,,
0:54.0,A. Miller enters the game for A. Wiggins,,64-61,,
0:54.0,Z. LaVine makes free throw 1 of 1,1,65-61,,
0:34.0,,,65-61,,M. Leonard misses 2-pt shot at rim
0:34.0,Defensive rebound by G. Dieng,,65-61,,
0:11.0,S. Muhammad misses 3-pt shot from 23 ft,,65-61,,
0:10.0,,,65-61,,Defensive rebound by M. Leonard
0:08.0,Personal foul by N. Bjelica (drawn by G. Henderson),,65-61,,
0:00.0,,,65-63,2,C. McCollum makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,65-65,2,C. McCollum makes 2-pt shot from 9 ft
11:32.0,Z. LaVine makes 2-pt shot from 2 ft,2,67-65,,
11:15.0,,,67-65,,Turnover by A. Crabbe (lost ball; steal by N. Bjelica)
11:05.0,K. Towns makes 2-pt shot from 15 ft (assist by Z. LaVine),2,69-65,,
10:47.0,,,69-65,,G. Henderson misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by K. Towns,,69-65,,
10:39.0,,,69-65,,Personal foul by G. Henderson (drawn by S. Muhammad)
10:36.0,Turnover by K. Towns (traveling),,69-65,,
10:19.0,,,69-65,,Shooting foul by N. Bjelica (drawn by E. Davis)
10:19.0,,,69-66,1,E. Davis makes free throw 1 of 2
10:19.0,,,69-67,1,E. Davis makes free throw 2 of 2
10:05.0,Offensive charge foul by Z. LaVine,,69-67,,
10:05.0,Turnover by Z. LaVine (offensive foul),,69-67,,
9:52.0,,,69-67,,Shooting foul by A. Miller (drawn by E. Davis)
9:52.0,,,69-68,1,E. Davis makes free throw 1 of 2
9:52.0,,,69-69,1,E. Davis makes free throw 2 of 2
9:38.0,S. Muhammad misses 2-pt shot from 3 ft,,69-69,,
9:38.0,,,69-69,,Defensive rebound by E. Davis
9:31.0,,,69-69,,A. Crabbe misses 2-pt shot from 22 ft
9:30.0,,,69-69,,Offensive rebound by M. Leonard
9:26.0,,,69-72,3,G. Henderson makes 3-pt shot from 22 ft (assist by M. Leonard)
9:10.0,,,69-72,,Personal foul by A. Crabbe (drawn by N. Bjelica)
9:10.0,G. Dieng enters the game for N. Bjelica,,69-72,,
9:10.0,,,69-72,,A. Aminu enters the game for A. Crabbe
8:56.0,K. Towns makes 3-pt shot from 24 ft (assist by A. Miller),3,72-72,,
8:39.0,,,72-74,2,G. Henderson makes 2-pt shot from 21 ft
8:26.0,Turnover by A. Miller (bad pass),,72-74,,
8:26.0,Official timeout,,72-74,,
8:26.0,,,72-74,,D. Lillard enters the game for C. McCollum
8:26.0,T. Prince enters the game for S. Muhammad,,72-74,,
8:12.0,,,72-74,,G. Henderson misses 2-pt shot from 14 ft
8:12.0,,,72-74,,Offensive rebound by A. Aminu
8:12.0,,,72-74,,A. Aminu misses 2-pt shot at rim
8:10.0,Defensive rebound by A. Miller,,72-74,,
8:02.0,Turnover by T. Prince (bad pass),,72-74,,
7:47.0,,,72-76,2,D. Lillard makes 2-pt shot from 19 ft
7:29.0,A. Miller makes 2-pt shot from 17 ft,2,74-76,,
7:14.0,,,74-76,,D. Lillard misses 3-pt shot from 27 ft
7:12.0,,,74-76,,Offensive rebound by E. Davis
7:07.0,,,74-76,,G. Henderson misses 3-pt shot from 22 ft
7:06.0,,,74-76,,Offensive rebound by D. Lillard
6:48.0,,,74-79,3,A. Aminu makes 3-pt shot from 22 ft (assist by G. Henderson)
6:34.0,Turnover by A. Miller (lost ball),,74-79,,
6:34.0,R. Rubio enters the game for A. Miller,,74-79,,
6:34.0,A. Wiggins enters the game for T. Prince,,74-79,,
6:12.0,,,74-81,2,M. Leonard makes 2-pt shot at rim (assist by A. Aminu)
6:11.0,Minnesota full timeout,,74-81,,
5:55.0,Z. LaVine misses 3-pt shot from 24 ft,,74-81,,
5:55.0,,,74-81,,Defensive rebound by Team
5:42.0,,,74-81,,Turnover by M. Leonard (bad pass; steal by Z. LaVine)
5:29.0,A. Wiggins misses 3-pt shot from 23 ft,,74-81,,
5:27.0,,,74-81,,Defensive rebound by E. Davis
5:08.0,,,74-84,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
4:50.0,Shooting foul by M. Leonard (drawn by A. Wiggins),,74-84,,
4:50.0,A. Wiggins makes free throw 1 of 2,1,75-84,,
4:50.0,A. Wiggins makes free throw 2 of 2,1,76-84,,
4:37.0,Personal foul by Z. LaVine (drawn by D. Lillard),,76-84,,
4:32.0,,,76-84,,Shooting foul by R. Rubio (drawn by D. Lillard)
4:32.0,,,76-85,1,D. Lillard makes free throw 1 of 2
4:32.0,,,76-86,1,D. Lillard makes free throw 2 of 2
4:17.0,A. Wiggins misses 2-pt shot from 7 ft,,76-86,,
4:16.0,,,76-86,,Defensive rebound by G. Henderson
4:07.0,,,76-86,,Shooting foul by Z. LaVine (drawn by D. Lillard)
4:07.0,,,76-87,1,D. Lillard makes free throw 1 of 2
4:07.0,Minnesota full timeout,,76-87,,
4:07.0,,,76-87,,C. McCollum enters the game for G. Henderson
4:07.0,,,76-88,1,D. Lillard makes free throw 2 of 2
3:51.0,Z. LaVine makes 2-pt shot from 21 ft (assist by G. Dieng),2,78-88,,
3:33.0,,,78-88,,D. Lillard misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by Z. LaVine,,78-88,,
3:20.0,G. Dieng misses 3-pt shot from 23 ft,,78-88,,
3:19.0,,,78-88,,Defensive rebound by D. Lillard
3:07.0,,,78-88,,C. McCollum misses 2-pt shot from 16 ft
3:05.0,Defensive rebound by Z. LaVine,,78-88,,
2:56.0,Turnover by A. Wiggins (bad pass; steal by E. Davis),,78-88,,
2:51.0,,,78-90,2,M. Leonard makes 2-pt shot from 3 ft (assist by D. Lillard)
2:35.0,K. Towns misses 2-pt shot from 3 ft,,78-90,,
2:34.0,,,78-90,,Defensive rebound by M. Leonard
2:32.0,,,78-90,,Turnover by M. Leonard (lost ball; steal by R. Rubio)
