time,Utah,pts.away,score,pts.home,Oklahoma City
5:20.0,,,11-8,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
5:14.0,Utah full timeout,,11-8,,
5:14.0,,,11-8,,D. Waiters enters the game for A. Roberson
4:51.0,A. Burks misses 2-pt shot from 6 ft,,11-8,,
4:49.0,Offensive rebound by A. Burks,,11-8,,
4:41.0,T. Lyles misses 2-pt shot from 1 ft,,11-8,,
4:40.0,Offensive rebound by T. Lyles,,11-8,,
4:38.0,T. Lyles misses 2-pt shot from 1 ft,,11-8,,
4:34.0,Offensive rebound by D. Favors,,11-8,,
4:34.0,D. Favors makes 2-pt shot at rim,2,13-8,,
4:21.0,,,13-8,,Turnover by R. Westbrook (bad pass; steal by R. Hood)
4:15.0,R. Hood makes 2-pt shot from 1 ft,2,15-8,,
3:54.0,,,15-10,2,R. Westbrook makes 2-pt shot from 18 ft (assist by S. Ibaka)
3:40.0,A. Burks makes 2-pt shot from 2 ft,2,17-10,,
3:23.0,T. Burke enters the game for R. Hood,,17-10,,
3:23.0,T. Booker enters the game for T. Lyles,,17-10,,
3:23.0,,,17-10,,N. Collison enters the game for S. Ibaka
3:16.0,,,17-13,3,D. Waiters makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:01.0,A. Burks misses 2-pt shot from 3 ft (block by S. Adams),,17-13,,
3:01.0,Offensive rebound by Team,,17-13,,
3:01.0,E. Millsap enters the game for A. Burks,,17-13,,
3:01.0,,,17-13,,D. Augustin enters the game for R. Westbrook
3:01.0,,,17-13,,E. Kanter enters the game for S. Adams
2:52.0,D. Favors misses 2-pt shot from 14 ft,,17-13,,
2:52.0,,,17-13,,Defensive rebound by Team
2:52.0,Loose ball foul by T. Booker (drawn by N. Collison),,17-13,,
2:52.0,,,17-13,,Oklahoma City full timeout
2:34.0,,,17-16,3,D. Waiters makes 3-pt shot from 22 ft (assist by K. Durant)
2:08.0,E. Millsap misses 2-pt shot from 4 ft,,17-16,,
2:08.0,Offensive rebound by Team,,17-16,,
2:02.0,,,17-16,,Personal foul by N. Collison (drawn by T. Burke)
2:02.0,J. Withey enters the game for D. Favors,,17-16,,
1:46.0,G. Hayward misses 3-pt shot from 25 ft,,17-16,,
1:46.0,Offensive rebound by J. Withey,,17-16,,
1:34.0,G. Hayward makes 2-pt shot from 16 ft,2,19-16,,
1:17.0,,,19-16,,N. Collison misses 2-pt shot at rim
1:17.0,Defensive rebound by J. Withey,,19-16,,
1:06.0,E. Millsap misses 3-pt shot from 22 ft,,19-16,,
1:04.0,,,19-16,,Defensive rebound by E. Kanter
0:51.0,,,19-16,,D. Waiters misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by G. Hayward,,19-16,,
0:42.0,E. Millsap misses 3-pt shot from 22 ft,,19-16,,
0:41.0,,,19-16,,Defensive rebound by K. Durant
0:35.0,,,19-16,,D. Waiters misses 2-pt shot from 3 ft
0:34.0,,,19-16,,Offensive rebound by D. Waiters
0:34.0,,,19-16,,D. Waiters misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by Team,,19-16,,
0:12.0,J. Withey makes 2-pt shot from 11 ft (assist by E. Millsap),2,21-16,,
0:00.0,,,21-16,,Turnover by K. Durant (lost ball; steal by G. Hayward)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-16,,N. Collison misses 2-pt shot from 3 ft
11:37.0,Defensive rebound by J. Withey,,21-16,,
11:26.0,Shooting foul by E. Kanter (drawn by R. Hood),,21-16,,
11:26.0,R. Hood makes free throw 1 of 2,1,22-16,,
11:26.0,R. Hood makes free throw 2 of 2,1,23-16,,
11:17.0,Personal foul by J. Withey (drawn by E. Kanter),,23-16,,
11:09.0,,,23-19,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Waiters)
10:41.0,T. Burke makes 2-pt shot at rim,2,25-19,,
10:14.0,,,25-21,2,E. Kanter makes 2-pt shot from 9 ft (assist by D. Waiters)
9:49.0,R. Hood makes 3-pt shot from 24 ft (assist by E. Millsap),3,28-21,,
9:32.0,,,28-21,,Turnover by D. Waiters (bad pass; steal by T. Booker)
9:26.0,E. Millsap makes 2-pt shot at rim (assist by T. Booker),2,30-21,,
8:59.0,,,30-21,,E. Kanter misses 2-pt shot from 12 ft
8:59.0,Defensive rebound by T. Booker,,30-21,,
8:52.0,T. Burke makes 2-pt shot from 16 ft,2,32-21,,
8:52.0,Shooting foul by D. Augustin (drawn by T. Burke),,32-21,,
8:52.0,Official timeout,,32-21,,
8:52.0,,,32-21,,R. Westbrook enters the game for D. Augustin
8:52.0,,,32-21,,S. Ibaka enters the game for N. Collison
8:52.0,J. Ingles enters the game for E. Millsap,,32-21,,
8:52.0,T. Burke makes free throw 1 of 1,1,33-21,,
8:32.0,,,33-21,,A. Morrow misses 3-pt shot from 23 ft
8:32.0,,,33-21,,Offensive rebound by S. Ibaka
8:24.0,,,33-23,2,E. Kanter makes 2-pt shot at rim (assist by D. Waiters)
8:06.0,Offensive foul by T. Booker,,33-23,,
8:06.0,Turnover by T. Booker (offensive foul),,33-23,,
8:06.0,D. Favors enters the game for T. Booker,,33-23,,
8:06.0,T. Lyles enters the game for J. Withey,,33-23,,
7:47.0,,,33-23,,Shooting foul by T. Burke (drawn by R. Westbrook)
7:47.0,,,33-24,1,R. Westbrook makes free throw 1 of 2
7:47.0,,,33-24,,R. Westbrook misses free throw 2 of 2
7:45.0,Defensive rebound by T. Burke,,33-24,,
7:31.0,T. Burke misses 2-pt shot from 12 ft (block by E. Kanter),,33-24,,
7:30.0,,,33-24,,Defensive rebound by R. Westbrook
7:23.0,,,33-24,,R. Westbrook misses 2-pt shot from 1 ft (block by T. Lyles)
7:23.0,,,33-24,,Offensive rebound by E. Kanter
7:13.0,,,33-24,,A. Morrow misses 2-pt shot from 23 ft
7:11.0,Defensive rebound by Team,,33-24,,
7:11.0,A. Burks enters the game for R. Hood,,33-24,,
6:49.0,D. Favors makes 2-pt shot from 9 ft,2,35-24,,
6:29.0,,,35-26,2,E. Kanter makes 2-pt shot from 12 ft (assist by R. Westbrook)
6:11.0,A. Burks misses 2-pt shot from 15 ft,,35-26,,
6:10.0,,,35-26,,Defensive rebound by R. Westbrook
6:06.0,,,35-28,2,R. Westbrook makes 2-pt shot from 1 ft
6:06.0,,,35-28,,Shooting foul by T. Lyles (drawn by R. Westbrook)
6:06.0,,,35-28,,K. Durant enters the game for A. Morrow
6:06.0,,,35-28,,S. Adams enters the game for E. Kanter
6:06.0,G. Hayward enters the game for J. Ingles,,35-28,,
6:06.0,E. Millsap enters the game for T. Burke,,35-28,,
6:06.0,,,35-29,1,R. Westbrook makes free throw 1 of 1
5:46.0,D. Favors misses 2-pt shot from 5 ft (block by S. Ibaka),,35-29,,
5:44.0,Offensive rebound by D. Favors,,35-29,,
5:43.0,D. Favors makes 2-pt shot from 1 ft,2,37-29,,
5:33.0,,,37-29,,R. Westbrook misses 2-pt shot from 11 ft
5:32.0,Defensive rebound by T. Lyles,,37-29,,
5:22.0,D. Favors misses 2-pt shot from 11 ft,,37-29,,
5:21.0,,,37-29,,Defensive rebound by S. Ibaka
5:02.0,,,37-29,,S. Adams misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by D. Favors,,37-29,,
4:53.0,Offensive foul by G. Hayward,,37-29,,
4:53.0,Turnover by G. Hayward (offensive foul),,37-29,,
4:53.0,,,37-29,,Oklahoma City full timeout
4:53.0,,,37-29,,A. Roberson enters the game for D. Waiters
4:40.0,,,37-29,,Turnover by K. Durant (lost ball; steal by E. Millsap)
4:26.0,A. Burks makes 2-pt shot from 15 ft,2,39-29,,
4:11.0,,,39-29,,K. Durant misses 2-pt shot from 4 ft
4:10.0,,,39-29,,Offensive rebound by S. Adams
4:10.0,,,39-29,,S. Adams misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by T. Lyles,,39-29,,
4:01.0,G. Hayward makes 3-pt shot from 23 ft (assist by T. Lyles),3,42-29,,
4:00.0,,,42-29,,Oklahoma City full timeout
4:00.0,,,42-29,,D. Waiters enters the game for S. Adams
3:50.0,,,42-29,,S. Ibaka misses 2-pt shot from 20 ft
3:49.0,Defensive rebound by Team,,42-29,,
3:37.0,G. Hayward makes 2-pt shot from 2 ft,2,44-29,,
3:37.0,Shooting foul by A. Roberson (drawn by G. Hayward),,44-29,,
3:37.0,G. Hayward misses free throw 1 of 1,,44-29,,
3:37.0,,,44-29,,Defensive rebound by K. Durant
3:23.0,,,44-29,,D. Waiters misses 2-pt shot from 14 ft
3:18.0,Jump ball: T. Lyles vs. A. Roberson (E. Millsap gains possession),,,,Jump ball: T. Lyles vs. A. Roberson (E. Millsap gains possession)
3:18.0,Defensive rebound by T. Lyles,,44-29,,
2:58.0,A. Burks misses 2-pt shot from 20 ft,,44-29,,
2:58.0,,,44-29,,Defensive rebound by Team
2:58.0,,,44-29,,A. Morrow enters the game for A. Roberson
2:50.0,,,44-29,,Shooting foul by T. Lyles (drawn by S. Ibaka)
2:50.0,,,44-30,1,S. Ibaka makes free throw 1 of 2
2:50.0,R. Hood enters the game for T. Lyles,,44-30,,
2:50.0,,,44-31,1,S. Ibaka makes free throw 2 of 2
2:39.0,G. Hayward misses 3-pt shot from 24 ft,,44-31,,
2:39.0,,,44-31,,Defensive rebound by A. Morrow
2:24.0,,,44-31,,S. Ibaka misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by A. Burks,,44-31,,
2:21.0,,,44-31,,Personal foul by R. Westbrook (drawn by A. Burks)
2:21.0,,,44-31,,Technical foul by R. Westbrook (drawn by A. Burks)
2:21.0,A. Burks makes technical free throw,1,45-31,,
2:21.0,Utah full timeout,,45-31,,
2:11.0,Turnover by R. Hood (lost ball; steal by A. Morrow),,45-31,,
2:09.0,Personal foul by E. Millsap (drawn by A. Morrow),,45-31,,
2:09.0,,,45-32,1,A. Morrow makes free throw 1 of 2
2:09.0,,,45-33,1,A. Morrow makes free throw 2 of 2
1:55.0,A. Burks makes 3-pt shot from 23 ft,3,48-33,,
1:37.0,,,48-33,,R. Westbrook misses 2-pt shot from 16 ft
1:36.0,Defensive rebound by Team,,48-33,,
1:21.0,E. Millsap misses 2-pt shot from 3 ft (block by A. Morrow),,48-33,,
1:20.0,,,48-33,,Defensive rebound by A. Morrow
1:16.0,,,48-33,,Shooting foul by A. Burks (drawn by R. Westbrook)
1:16.0,,,48-34,1,R. Westbrook makes free throw 1 of 2
1:16.0,,,48-35,1,R. Westbrook makes free throw 2 of 2
0:57.0,R. Hood makes 3-pt shot from 24 ft (assist by E. Millsap),3,51-35,,
0:50.0,Personal foul by E. Millsap (drawn by R. Westbrook),,51-35,,
0:50.0,,,51-35,,R. Westbrook misses free throw 1 of 2
0:50.0,,,51-35,,Offensive rebound by Team
0:50.0,,,51-36,1,R. Westbrook makes free throw 2 of 2
0:33.0,G. Hayward misses 2-pt shot from 16 ft,,51-36,,
0:32.0,,,51-36,,Defensive rebound by R. Westbrook
0:27.0,,,51-36,,Turnover by K. Durant (lost ball)
0:05.0,A. Burks misses 2-pt shot from 3 ft (block by K. Durant),,51-36,,
0:03.0,,,51-36,,Defensive rebound by R. Westbrook
0:01.0,,,51-36,,Oklahoma City full timeout
0:01.0,J. Withey enters the game for A. Burks,,51-36,,
0:00.0,,,51-38,2,R. Westbrook makes 2-pt shot from 15 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,51-40,2,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook)
11:21.0,R. Hood makes 2-pt shot from 17 ft,2,53-40,,
11:07.0,,,53-40,,Shooting foul by G. Hayward (drawn by K. Durant)
11:07.0,,,53-41,1,K. Durant makes free throw 1 of 2
11:07.0,,,53-42,1,K. Durant makes free throw 2 of 2
10:48.0,A. Burks misses 3-pt shot from 24 ft,,53-42,,
10:48.0,,,53-42,,Defensive rebound by S. Adams
10:42.0,,,53-44,2,R. Westbrook makes 2-pt shot from 15 ft
10:18.0,R. Hood misses 2-pt shot from 5 ft,,53-44,,
10:18.0,,,53-44,,Defensive rebound by S. Ibaka
10:12.0,,,53-46,2,R. Westbrook makes 2-pt shot from 3 ft
10:12.0,,,53-46,,Shooting foul by T. Lyles (drawn by R. Westbrook)
10:12.0,,,53-47,1,R. Westbrook makes free throw 1 of 1
9:53.0,G. Hayward misses 2-pt shot from 12 ft,,53-47,,
9:53.0,,,53-47,,Defensive rebound by R. Westbrook
9:47.0,,,53-50,3,K. Durant makes 3-pt shot from 26 ft
9:46.0,Utah full timeout,,53-50,,
9:33.0,Shooting foul by A. Roberson (drawn by G. Hayward),,53-50,,
9:33.0,G. Hayward makes free throw 1 of 2,1,54-50,,
9:33.0,G. Hayward makes free throw 2 of 2,1,55-50,,
9:19.0,,,55-50,,Turnover by A. Roberson (traveling)
9:02.0,G. Hayward makes 2-pt shot from 18 ft,2,57-50,,
8:42.0,,,57-53,3,K. Durant makes 3-pt shot from 25 ft (assist by A. Roberson)
8:24.0,Shooting foul by S. Ibaka (drawn by A. Burks),,57-53,,
8:24.0,A. Burks misses free throw 1 of 2,,57-53,,
8:24.0,Offensive rebound by Team,,57-53,,
8:24.0,A. Burks makes free throw 2 of 2,1,58-53,,
8:08.0,,,58-53,,Shooting foul by G. Hayward (drawn by K. Durant)
8:08.0,,,58-54,1,K. Durant makes free throw 1 of 2
8:08.0,,,58-55,1,K. Durant makes free throw 2 of 2
7:50.0,R. Hood misses 2-pt shot from 3 ft,,58-55,,
7:45.0,Offensive rebound by T. Lyles,,58-55,,
7:38.0,Turnover by A. Burks (bad pass; steal by R. Westbrook),,58-55,,
7:32.0,,,58-55,,Shooting foul by D. Favors (drawn by R. Westbrook)
7:32.0,,,58-57,2,R. Westbrook makes 2-pt shot from 5 ft
7:32.0,E. Millsap enters the game for R. Hood,,58-57,,
7:32.0,,,58-58,1,R. Westbrook makes free throw 1 of 1
7:10.0,Turnover by T. Lyles (bad pass; steal by K. Durant),,58-58,,
7:00.0,,,58-60,2,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant)
7:00.0,,,58-60,,Shooting foul by D. Favors (drawn by S. Adams)
7:00.0,T. Booker enters the game for T. Lyles,,58-60,,
7:00.0,,,58-61,1,S. Adams makes free throw 1 of 1
6:49.0,Turnover by G. Hayward (lost ball; steal by A. Roberson),,58-61,,
6:45.0,,,58-63,2,A. Roberson makes 2-pt shot at rim
6:44.0,Utah full timeout,,58-63,,
6:37.0,,,58-63,,Personal foul by A. Roberson (drawn by G. Hayward)
6:26.0,A. Burks makes 2-pt shot from 1 ft,2,60-63,,
6:19.0,,,60-63,,S. Ibaka misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by E. Millsap,,60-63,,
6:02.0,D. Favors misses 2-pt shot at rim (block by S. Ibaka),,60-63,,
6:01.0,Offensive rebound by T. Booker,,60-63,,
6:01.0,T. Booker misses 2-pt shot from 1 ft,,60-63,,
6:00.0,,,60-63,,Defensive rebound by S. Adams
5:56.0,,,60-63,,Shooting foul by T. Booker (drawn by K. Durant)
5:56.0,,,60-64,1,K. Durant makes free throw 1 of 2
5:56.0,,,60-64,,D. Waiters enters the game for A. Roberson
5:56.0,,,60-64,,K. Durant misses free throw 2 of 2
5:55.0,Defensive rebound by D. Favors,,60-64,,
5:43.0,T. Booker makes 2-pt shot from 1 ft (assist by E. Millsap),2,62-64,,
5:19.0,,,62-66,2,K. Durant makes 2-pt shot from 1 ft
5:10.0,D. Favors misses 2-pt shot from 18 ft,,62-66,,
5:10.0,,,62-66,,Defensive rebound by R. Westbrook
4:56.0,,,62-69,3,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:38.0,Shooting foul by K. Durant (drawn by G. Hayward),,62-69,,
4:38.0,G. Hayward makes free throw 1 of 2,1,63-69,,
4:38.0,G. Hayward makes free throw 2 of 2,1,64-69,,
4:21.0,,,64-69,,Turnover by S. Adams (3 sec)
4:00.0,T. Booker makes 2-pt shot from 13 ft (assist by G. Hayward),2,66-69,,
3:46.0,,,66-69,,R. Westbrook misses 2-pt shot from 10 ft
3:45.0,Defensive rebound by E. Millsap,,66-69,,
3:36.0,A. Burks makes 2-pt shot from 1 ft,2,68-69,,
3:36.0,Shooting foul by S. Adams (drawn by A. Burks),,68-69,,
3:36.0,A. Burks makes free throw 1 of 1,1,69-69,,
3:25.0,Personal foul by A. Burks (drawn by K. Durant),,69-69,,
3:25.0,,,69-70,1,K. Durant makes free throw 1 of 2
3:25.0,,,69-70,,D. Augustin enters the game for R. Westbrook
3:25.0,,,69-70,,N. Collison enters the game for S. Ibaka
3:25.0,,,69-71,1,K. Durant makes free throw 2 of 2
3:07.0,A. Burks makes 2-pt shot from 21 ft,2,71-71,,
2:41.0,,,71-71,,K. Durant misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by A. Burks,,71-71,,
2:27.0,Shooting foul by K. Durant (drawn by A. Burks),,71-71,,
2:27.0,A. Burks misses free throw 1 of 2,,71-71,,
2:27.0,Offensive rebound by Team,,71-71,,
2:27.0,R. Hood enters the game for D. Favors,,71-71,,
2:27.0,J. Withey enters the game for E. Millsap,,71-71,,
2:27.0,,,71-71,,E. Kanter enters the game for S. Adams
2:27.0,A. Burks misses free throw 2 of 2,,71-71,,
2:27.0,,,71-71,,Defensive rebound by E. Kanter
2:13.0,T. Burke enters the game for A. Burks,,71-71,,
2:06.0,,,71-71,,E. Kanter misses 2-pt shot from 8 ft
2:06.0,Defensive rebound by J. Withey,,71-71,,
1:41.0,G. Hayward makes 2-pt shot from 4 ft (assist by T. Burke),2,73-71,,
1:13.0,,,73-71,,D. Waiters misses 3-pt shot from 23 ft
1:12.0,Defensive rebound by R. Hood,,73-71,,
1:08.0,,,73-71,,Flagrant foul type 1 by N. Collison (drawn by R. Hood)
1:08.0,R. Hood makes flagrant free throw 1 of 2,1,74-71,,
1:08.0,R. Hood misses flagrant free throw 2 of 2,,74-71,,
1:08.0,Offensive rebound by Team,,74-71,,
0:59.0,R. Hood misses 3-pt shot from 24 ft,,74-71,,
0:59.0,Offensive rebound by Team,,74-71,,
0:44.0,T. Burke makes 2-pt shot from 9 ft,2,76-71,,
0:33.0,,,76-71,,K. Durant misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by Team,,76-71,,
0:19.0,G. Hayward misses 2-pt shot from 10 ft,,76-71,,
0:18.0,,,76-71,,Defensive rebound by E. Kanter
0:00.0,,,76-71,,K. Durant misses 3-pt shot from 25 ft
0:00.0,,,76-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,R. Hood makes 3-pt shot from 22 ft (assist by J. Ingles),3,79-71,,
11:17.0,,,79-73,2,E. Kanter makes 2-pt shot from 9 ft
10:54.0,T. Burke makes 3-pt shot from 25 ft (assist by R. Hood),3,82-73,,
10:43.0,Personal foul by T. Booker (drawn by E. Kanter),,82-73,,
10:43.0,T. Lyles enters the game for T. Booker,,82-73,,
10:32.0,,,82-73,,Shooting foul by J. Withey (drawn by E. Kanter)
10:32.0,,,82-74,1,E. Kanter makes free throw 1 of 2
10:32.0,,,82-75,1,E. Kanter makes free throw 2 of 2
10:20.0,Turnover by R. Hood (traveling),,82-75,,
10:11.0,Personal foul by T. Lyles (drawn by E. Kanter),,82-75,,
10:11.0,T. Booker enters the game for T. Lyles,,82-75,,
9:59.0,,,82-75,,Shooting foul by J. Withey (drawn by N. Collison)
9:59.0,,,82-76,1,N. Collison makes free throw 1 of 2
9:59.0,T. Lyles enters the game for J. Withey,,82-76,,
9:59.0,,,82-77,1,N. Collison makes free throw 2 of 2
9:45.0,J. Ingles misses 3-pt shot from 26 ft,,82-77,,
9:45.0,,,82-77,,Defensive rebound by E. Kanter
9:31.0,,,82-79,2,D. Waiters makes 2-pt shot from 1 ft
9:10.0,J. Ingles misses 3-pt shot from 25 ft,,82-79,,
9:10.0,,,82-79,,Defensive rebound by E. Kanter
8:56.0,,,82-79,,Turnover by E. Kanter (bad pass)
8:56.0,Official timeout,,82-79,,
8:56.0,,,82-79,,S. Ibaka enters the game for N. Collison
8:56.0,,,82-79,,R. Westbrook enters the game for D. Augustin
8:56.0,E. Millsap enters the game for T. Lyles,,82-79,,
8:56.0,D. Favors enters the game for J. Ingles,,82-79,,
8:34.0,D. Favors makes 2-pt shot from 12 ft,2,84-79,,
8:13.0,,,84-79,,Turnover by S. Ibaka (lost ball; steal by T. Burke)
7:53.0,D. Favors misses 2-pt shot from 14 ft,,84-79,,
7:52.0,Offensive rebound by E. Millsap,,84-79,,
7:33.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,86-79,,
7:31.0,,,86-79,,Oklahoma City full timeout
7:31.0,,,86-79,,K. Durant enters the game for E. Kanter
7:31.0,,,86-79,,S. Adams enters the game for A. Morrow
7:20.0,,,86-79,,R. Westbrook misses 2-pt shot from 14 ft
7:19.0,,,86-79,,Offensive rebound by S. Ibaka
7:15.0,,,86-79,,K. Durant misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by R. Hood,,86-79,,
6:49.0,R. Hood misses 2-pt shot from 1 ft,,86-79,,
6:48.0,Offensive rebound by R. Hood,,86-79,,
6:48.0,R. Hood makes 2-pt shot from 1 ft,2,88-79,,
6:34.0,,,88-81,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
6:06.0,R. Hood misses 3-pt shot from 29 ft,,88-81,,
6:06.0,Offensive rebound by Team,,88-81,,
6:06.0,Turnover by Team (shot clock),,88-81,,
6:06.0,G. Hayward enters the game for R. Hood,,88-81,,
6:06.0,A. Burks enters the game for T. Burke,,88-81,,
5:53.0,,,88-81,,Shooting foul by D. Favors (drawn by K. Durant)
5:53.0,,,88-82,1,K. Durant makes free throw 1 of 2
5:53.0,,,88-83,1,K. Durant makes free throw 2 of 2
5:47.0,,,88-83,,Personal foul by S. Adams (drawn by E. Millsap)
5:34.0,G. Hayward misses 2-pt shot from 20 ft,,88-83,,
5:33.0,Offensive rebound by T. Booker,,88-83,,
5:33.0,Shooting foul by R. Westbrook (drawn by T. Booker),,88-83,,
5:33.0,T. Booker misses free throw 1 of 2,,88-83,,
5:33.0,Offensive rebound by Team,,88-83,,
5:33.0,T. Booker misses free throw 2 of 2,,88-83,,
5:32.0,,,88-83,,Defensive rebound by S. Adams
5:12.0,,,88-85,2,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant)
4:57.0,A. Burks misses 2-pt shot from 1 ft (block by R. Westbrook),,88-85,,
4:57.0,Offensive rebound by Team,,88-85,,
4:46.0,E. Millsap misses 3-pt shot from 22 ft,,88-85,,
4:45.0,,,88-85,,Defensive rebound by R. Westbrook
4:39.0,,,88-85,,R. Westbrook misses 2-pt shot from 2 ft
4:39.0,Defensive rebound by Team,,88-85,,
4:22.0,D. Favors makes 2-pt shot at rim (assist by A. Burks),2,90-85,,
4:01.0,,,90-85,,R. Westbrook misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by E. Millsap,,90-85,,
3:46.0,A. Burks misses 2-pt shot from 1 ft (block by S. Ibaka),,90-85,,
3:45.0,Offensive rebound by D. Favors,,90-85,,
3:45.0,D. Favors misses 2-pt shot from 1 ft (block by S. Adams),,90-85,,
3:42.0,Offensive rebound by E. Millsap,,90-85,,
3:37.0,Turnover by E. Millsap (bad pass; steal by S. Ibaka),,90-85,,
3:32.0,,,90-87,2,K. Durant makes 2-pt shot at rim (assist by D. Waiters)
3:31.0,Utah full timeout,,90-87,,
3:31.0,R. Hood enters the game for E. Millsap,,90-87,,
3:16.0,G. Hayward misses 2-pt shot at rim (block by S. Ibaka),,90-87,,
3:15.0,Offensive rebound by D. Favors,,90-87,,
3:09.0,A. Burks makes 3-pt shot from 25 ft,3,93-87,,
2:48.0,,,93-89,2,K. Durant makes 2-pt shot from 9 ft
2:28.0,Shooting foul by K. Durant (drawn by G. Hayward),,93-89,,
2:28.0,G. Hayward misses free throw 1 of 2,,93-89,,
2:28.0,Offensive rebound by Team,,93-89,,
2:28.0,G. Hayward makes free throw 2 of 2,1,94-89,,
2:13.0,,,94-89,,D. Waiters misses 2-pt shot from 5 ft
2:12.0,,,94-89,,Offensive rebound by D. Waiters
2:04.0,,,94-89,,R. Westbrook misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by Team,,94-89,,
1:44.0,A. Burks misses 2-pt shot from 17 ft,,94-89,,
1:44.0,,,94-89,,Defensive rebound by S. Adams
1:29.0,,,94-91,2,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant)
1:08.0,G. Hayward misses 2-pt shot from 16 ft,,94-91,,
1:06.0,,,94-91,,Defensive rebound by D. Waiters
