time,Golden State,pts.away,score,pts.home,Charlotte
7:30.0,K. Thompson misses 2-pt shot from 6 ft (block by P. Hairston),,15-9,,
7:30.0,Offensive rebound by Team,,15-9,,
7:22.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,18-9,,
7:15.0,,,18-9,,Charlotte full timeout
7:15.0,,,18-9,,J. Lamb enters the game for P. Hairston
7:05.0,,,18-9,,C. Zeller misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by D. Green,,18-9,,
6:48.0,D. Green misses 3-pt shot from 23 ft,,18-9,,
6:47.0,,,18-9,,Defensive rebound by C. Zeller
6:41.0,,,18-9,,Shooting foul by K. Thompson (drawn by N. Batum)
6:41.0,,,18-10,1,N. Batum makes free throw 1 of 2
6:41.0,,,18-11,1,N. Batum makes free throw 2 of 2
6:23.0,K. Thompson misses 3-pt shot from 24 ft,,18-11,,
6:21.0,Offensive rebound by A. Bogut,,18-11,,
6:21.0,A. Bogut makes 2-pt shot at rim,2,20-11,,
6:00.0,,,20-11,,K. Walker misses 3-pt shot from 24 ft
5:58.0,,,20-11,,Offensive rebound by M. Williams
5:55.0,,,20-11,,J. Lamb misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by A. Bogut,,20-11,,
5:44.0,S. Curry makes 3-pt shot from 24 ft,3,23-11,,
5:29.0,,,23-13,2,C. Zeller makes 2-pt shot from 20 ft
5:21.0,S. Curry makes 3-pt shot from 30 ft,3,26-13,,
5:05.0,,,26-13,,J. Lamb misses 2-pt shot from 4 ft
5:03.0,Defensive rebound by A. Bogut,,26-13,,
4:57.0,S. Curry misses 3-pt shot from 30 ft,,26-13,,
4:56.0,,,26-13,,Defensive rebound by N. Batum
4:48.0,,,26-13,,K. Walker misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by A. Bogut,,26-13,,
4:36.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,28-13,,
4:23.0,,,28-15,2,N. Batum makes 2-pt shot from 17 ft
4:17.0,Golden State full timeout,,28-15,,
4:17.0,,,28-15,,F. Kaminsky enters the game for M. Williams
4:17.0,A. Iguodala enters the game for B. Rush,,28-15,,
4:17.0,F. Ezeli enters the game for A. Bogut,,28-15,,
3:58.0,F. Ezeli misses 2-pt shot from 7 ft,,28-15,,
3:56.0,,,28-15,,Defensive rebound by K. Walker
3:49.0,,,28-18,3,J. Lamb makes 3-pt shot from 25 ft
3:41.0,D. Green misses 2-pt shot from 8 ft,,28-18,,
3:39.0,Offensive rebound by F. Ezeli,,28-18,,
3:35.0,K. Thompson misses 3-pt shot from 26 ft,,28-18,,
3:34.0,,,28-18,,Defensive rebound by K. Walker
3:21.0,,,28-18,,J. Lamb misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by F. Ezeli,,28-18,,
3:09.0,,,28-18,,Personal foul by N. Batum (drawn by D. Green)
3:09.0,S. Livingston enters the game for K. Thompson,,28-18,,
3:09.0,,,28-18,,S. Hawes enters the game for C. Zeller
3:01.0,F. Ezeli misses 2-pt shot from 1 ft (block by N. Batum),,28-18,,
3:01.0,,,28-18,,Defensive rebound by Team
2:45.0,Personal foul by S. Livingston (drawn by J. Lamb),,28-18,,
2:39.0,,,28-18,,N. Batum misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by S. Curry,,28-18,,
2:36.0,Turnover by S. Curry (lost ball),,28-18,,
2:21.0,,,28-18,,K. Walker misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by D. Green,,28-18,,
2:18.0,Turnover by D. Green (bad pass),,28-18,,
2:05.0,,,28-18,,F. Kaminsky misses 2-pt shot from 1 ft
2:02.0,Defensive rebound by F. Ezeli,,28-18,,
1:57.0,Turnover by S. Curry (bad pass),,28-18,,
1:40.0,,,28-18,,Shooting foul by D. Green (drawn by F. Kaminsky)
1:40.0,,,28-19,1,F. Kaminsky makes free throw 1 of 2
1:40.0,,,28-19,,J. Lin enters the game for N. Batum
1:40.0,,,28-20,1,F. Kaminsky makes free throw 2 of 2
1:30.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,30-20,,
1:09.0,,,30-20,,S. Hawes misses 2-pt shot from 8 ft
1:08.0,Defensive rebound by D. Green,,30-20,,
1:02.0,D. Green misses 2-pt shot from 3 ft,,30-20,,
1:01.0,,,30-20,,Defensive rebound by S. Hawes
0:57.0,,,30-22,2,J. Lamb makes 2-pt shot from 9 ft (assist by J. Lin)
0:50.0,Turnover by S. Curry (bad pass),,30-22,,
0:50.0,Loose ball foul by A. Iguodala (drawn by J. Lin),,30-22,,
0:50.0,,,30-22,,J. Lin misses free throw 1 of 2
0:50.0,,,30-22,,Offensive rebound by Team
0:50.0,,,30-23,1,J. Lin makes free throw 2 of 2
0:38.0,S. Curry misses 3-pt shot from 25 ft,,30-23,,
0:37.0,Offensive rebound by F. Ezeli,,30-23,,
0:37.0,F. Ezeli makes 2-pt shot at rim,2,32-23,,
0:17.0,,,32-23,,K. Walker misses 2-pt shot from 10 ft
0:15.0,Defensive rebound by D. Green,,32-23,,
0:03.0,A. Iguodala misses 3-pt shot from 23 ft,,32-23,,
0:01.0,,,32-23,,Defensive rebound by S. Hawes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,32-25,2,M. Williams makes 2-pt shot from 1 ft (assist by S. Hawes)
11:31.0,M. Speights makes 2-pt shot from 18 ft (assist by L. Barbosa),2,34-25,,
11:14.0,Personal foul by L. Barbosa (drawn by F. Kaminsky),,34-25,,
11:05.0,,,34-25,,J. Lamb misses 2-pt shot from 16 ft
11:04.0,Defensive rebound by S. Livingston,,34-25,,
10:51.0,Turnover by F. Ezeli (bad pass; steal by J. Lin),,34-25,,
10:41.0,,,34-25,,S. Hawes misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by M. Speights,,34-25,,
10:32.0,L. Barbosa makes 2-pt shot from 10 ft,2,36-25,,
10:18.0,,,36-25,,Turnover by J. Lamb (bad pass)
10:18.0,,,36-25,,Loose ball foul by J. Lin (drawn by L. Barbosa)
10:01.0,S. Livingston makes 2-pt shot from 14 ft,2,38-25,,
9:52.0,,,38-25,,Offensive charge foul by J. Lin
9:52.0,,,38-25,,Turnover by J. Lin (offensive foul)
9:52.0,J. McAdoo enters the game for F. Ezeli,,38-25,,
9:34.0,M. Speights misses 2-pt shot from 19 ft,,38-25,,
9:32.0,Offensive rebound by A. Iguodala,,38-25,,
9:28.0,A. Iguodala misses 2-pt shot at rim,,38-25,,
9:27.0,Offensive rebound by A. Iguodala,,38-25,,
9:24.0,J. McAdoo misses 2-pt shot from 1 ft (block by F. Kaminsky),,38-25,,
9:22.0,Offensive rebound by A. Iguodala,,38-25,,
9:15.0,A. Iguodala makes 3-pt shot from 22 ft (assist by L. Barbosa),3,41-25,,
9:11.0,,,41-25,,Charlotte full timeout
8:59.0,,,41-25,,Shooting foul by J. McAdoo (drawn by J. Lamb)
8:59.0,,,41-25,,J. Lamb misses free throw 1 of 2
8:59.0,,,41-25,,Offensive rebound by Team
8:59.0,,,41-26,1,J. Lamb makes free throw 2 of 2
8:46.0,J. McAdoo makes 2-pt shot at rim (assist by M. Speights),2,43-26,,
8:32.0,,,43-26,,Shooting foul by L. Barbosa (drawn by J. Lin)
8:32.0,,,43-26,,J. Lin misses free throw 1 of 2
8:32.0,,,43-26,,Offensive rebound by Team
8:32.0,,,43-27,1,J. Lin makes free throw 2 of 2
8:17.0,L. Barbosa misses 2-pt shot from 1 ft,,43-27,,
8:16.0,,,43-27,,Defensive rebound by S. Hawes
8:07.0,,,43-30,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by J. Lin)
7:52.0,,,43-30,,B. Roberts enters the game for J. Lin
7:52.0,,,43-30,,N. Batum enters the game for J. Lamb
7:52.0,K. Thompson enters the game for A. Iguodala,,43-30,,
7:47.0,M. Speights makes 2-pt shot from 20 ft (assist by S. Livingston),2,45-30,,
7:29.0,,,45-32,2,S. Hawes makes 2-pt shot from 1 ft (assist by F. Kaminsky)
7:17.0,M. Speights misses 2-pt shot from 16 ft,,45-32,,
7:16.0,,,45-32,,Defensive rebound by N. Batum
7:03.0,,,45-34,2,S. Hawes makes 2-pt shot from 8 ft
6:49.0,K. Thompson misses 3-pt shot from 25 ft,,45-34,,
6:49.0,,,45-34,,Defensive rebound by Team
6:49.0,Loose ball foul by M. Speights (drawn by S. Hawes),,45-34,,
6:49.0,Golden State full timeout,,45-34,,
6:49.0,A. Bogut enters the game for L. Barbosa,,45-34,,
6:49.0,D. Green enters the game for M. Speights,,45-34,,
6:49.0,S. Curry enters the game for J. McAdoo,,45-34,,
6:49.0,,,45-34,,K. Walker enters the game for F. Kaminsky
6:27.0,,,45-34,,K. Walker misses 2-pt shot at rim
6:25.0,,,45-34,,Offensive rebound by K. Walker
6:20.0,,,45-34,,M. Williams misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by D. Green,,45-34,,
6:13.0,Shooting foul by S. Hawes (drawn by K. Thompson),,45-34,,
6:13.0,K. Thompson makes free throw 1 of 2,1,46-34,,
6:13.0,K. Thompson misses free throw 2 of 2,,46-34,,
6:12.0,,,46-34,,Defensive rebound by M. Williams
5:55.0,,,46-34,,Turnover by N. Batum (bad pass; steal by K. Thompson)
5:50.0,D. Green makes 2-pt shot from 1 ft,2,48-34,,
5:35.0,,,48-34,,N. Batum misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by A. Bogut,,48-34,,
5:15.0,K. Thompson misses 2-pt shot from 1 ft,,48-34,,
5:13.0,,,48-34,,Defensive rebound by M. Williams
5:03.0,,,48-36,2,S. Hawes makes 2-pt shot from 9 ft (assist by B. Roberts)
4:42.0,D. Green misses 3-pt shot from 25 ft,,48-36,,
4:41.0,,,48-36,,Defensive rebound by B. Roberts
4:32.0,,,48-36,,M. Williams misses 2-pt shot from 20 ft
4:31.0,Defensive rebound by A. Bogut,,48-36,,
4:21.0,Turnover by D. Green (bad pass; steal by M. Williams),,48-36,,
4:21.0,Clear path foul by D. Green,,48-36,,
4:21.0,,,48-37,1,M. Williams makes clear path free throw 1 of 2
4:21.0,,,48-38,1,M. Williams makes clear path free throw 2 of 2
4:21.0,,,48-38,,T. Hansbrough enters the game for S. Hawes
4:18.0,I. Clark enters the game for S. Livingston,,48-38,,
4:06.0,,,48-40,2,N. Batum makes 2-pt shot from 10 ft
3:47.0,D. Green misses 2-pt shot from 1 ft,,48-40,,
3:44.0,Offensive rebound by I. Clark,,48-40,,
3:32.0,K. Thompson misses 2-pt shot at rim (block by M. Williams),,48-40,,
3:30.0,,,48-40,,Defensive rebound by N. Batum
3:23.0,,,48-40,,N. Batum misses 3-pt shot from 28 ft
3:22.0,Defensive rebound by S. Curry,,48-40,,
3:18.0,S. Curry makes 2-pt shot from 2 ft,2,50-40,,
3:18.0,Shooting foul by B. Roberts (drawn by S. Curry),,50-40,,
3:18.0,S. Curry makes free throw 1 of 1,1,51-40,,
2:57.0,,,51-40,,K. Walker misses 2-pt shot from 16 ft
2:56.0,Defensive rebound by D. Green,,51-40,,
2:50.0,I. Clark makes 2-pt shot from 1 ft (assist by D. Green),2,53-40,,
2:33.0,,,53-40,,N. Batum misses 2-pt shot from 2 ft (block by K. Thompson)
2:30.0,,,53-40,,Offensive rebound by T. Hansbrough
2:30.0,,,53-42,2,T. Hansbrough makes 2-pt shot from 1 ft
2:18.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,56-42,,
1:51.0,,,56-44,2,B. Roberts makes 2-pt shot from 15 ft (assist by N. Batum)
1:39.0,Turnover by S. Curry (bad pass),,56-44,,
1:39.0,Official timeout,,56-44,,
1:20.0,,,56-46,2,T. Hansbrough makes 2-pt shot from 2 ft (assist by N. Batum)
1:08.0,,,56-46,,Violation by M. Williams (kicked ball)
1:00.0,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry),2,58-46,,
0:43.0,,,58-49,3,B. Roberts makes 3-pt shot from 25 ft (assist by T. Hansbrough)
0:34.0,K. Thompson misses 3-pt shot from 25 ft,,58-49,,
0:32.0,,,58-49,,Defensive rebound by T. Hansbrough
0:28.0,Personal foul by K. Thompson (drawn by N. Batum),,58-49,,
0:28.0,,,58-50,1,N. Batum makes free throw 1 of 2
0:28.0,,,58-51,1,N. Batum makes free throw 2 of 2
0:07.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,60-51,,
0:00.0,,,60-51,,K. Walker misses 2-pt shot from 16 ft
0:00.0,,,60-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,60-51,,M. Williams misses 2-pt shot from 19 ft (block by D. Green)
11:45.0,Defensive rebound by K. Thompson,,60-51,,
11:30.0,Turnover by D. Green (bad pass; steal by N. Batum),,60-51,,
11:25.0,,,60-53,2,N. Batum makes 2-pt shot at rim
11:10.0,K. Thompson makes 3-pt shot from 25 ft,3,63-53,,
10:53.0,,,63-53,,N. Batum misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by D. Green,,63-53,,
10:36.0,D. Green misses 3-pt shot from 25 ft,,63-53,,
10:35.0,,,63-53,,Defensive rebound by M. Williams
10:27.0,,,63-55,2,K. Walker makes 2-pt shot from 17 ft
10:11.0,S. Curry makes 2-pt shot from 1 ft,2,65-55,,
9:53.0,,,65-55,,C. Zeller misses 2-pt shot from 1 ft (block by D. Green)
9:53.0,,,65-55,,Offensive rebound by Team
9:46.0,,,65-55,,J. Lamb misses 2-pt shot from 1 ft
9:45.0,,,65-55,,Offensive rebound by J. Lamb
9:39.0,,,65-55,,M. Williams misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by D. Green,,65-55,,
9:32.0,,,65-55,,Personal foul by K. Walker (drawn by S. Curry)
9:26.0,Turnover by K. Thompson (lost ball; steal by N. Batum),,65-55,,
9:19.0,,,65-55,,K. Walker misses 3-pt shot from 25 ft
9:18.0,,,65-55,,Offensive rebound by C. Zeller
9:09.0,,,65-55,,N. Batum misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by Team,,65-55,,
9:09.0,,,65-55,,Loose ball foul by C. Zeller (drawn by A. Bogut)
8:44.0,Turnover by Team (shot clock),,65-55,,
8:32.0,,,65-55,,Offensive foul by N. Batum
8:32.0,,,65-55,,Turnover by N. Batum (offensive foul)
8:14.0,S. Curry makes 2-pt shot from 1 ft,2,67-55,,
8:08.0,,,67-55,,K. Walker misses 2-pt shot from 1 ft (block by A. Bogut)
8:06.0,Defensive rebound by K. Thompson,,67-55,,
7:54.0,B. Rush makes 2-pt shot at rim (assist by D. Green),2,69-55,,
7:33.0,,,69-55,,C. Zeller misses 2-pt shot from 1 ft (block by B. Rush)
7:33.0,Defensive rebound by Team,,69-55,,
7:26.0,Shooting foul by K. Walker (drawn by S. Curry),,69-55,,
7:26.0,S. Curry makes free throw 1 of 3,1,70-55,,
7:26.0,S. Curry makes free throw 2 of 3,1,71-55,,
7:26.0,S. Curry makes free throw 3 of 3,1,72-55,,
7:02.0,,,72-57,2,J. Lamb makes 2-pt shot from 2 ft
6:58.0,Offensive charge foul by S. Curry,,72-57,,
6:58.0,Turnover by S. Curry (offensive foul),,72-57,,
6:50.0,,,72-57,,K. Walker misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by D. Green,,72-57,,
6:49.0,Turnover by D. Green (step out of bounds),,72-57,,
6:37.0,,,72-60,3,J. Lamb makes 3-pt shot from 23 ft
6:25.0,Turnover by D. Green (lost ball; steal by N. Batum),,72-60,,
6:17.0,,,72-62,2,J. Lamb makes 2-pt shot at rim (assist by K. Walker)
5:56.0,S. Curry misses 2-pt shot from 13 ft,,72-62,,
5:55.0,,,72-62,,Defensive rebound by J. Lamb
5:43.0,,,72-62,,M. Williams misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by S. Curry,,72-62,,
5:18.0,K. Thompson misses 2-pt shot from 1 ft (block by N. Batum),,72-62,,
5:16.0,,,72-62,,Defensive rebound by C. Zeller
5:12.0,,,72-64,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
5:12.0,Golden State full timeout,,72-64,,
5:12.0,,,72-64,,F. Kaminsky enters the game for M. Williams
5:12.0,A. Iguodala enters the game for B. Rush,,72-64,,
4:55.0,S. Curry makes 2-pt shot at rim (assist by A. Iguodala),2,74-64,,
4:31.0,,,74-64,,J. Lamb misses 3-pt shot from 25 ft
4:29.0,,,74-64,,Offensive rebound by N. Batum
4:26.0,,,74-64,,K. Walker misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by Team,,74-64,,
4:26.0,,,74-64,,Loose ball foul by F. Kaminsky (drawn by K. Thompson)
4:05.0,D. Green misses 3-pt shot from 25 ft,,74-64,,
4:03.0,Offensive rebound by A. Bogut,,74-64,,
3:59.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut),3,77-64,,
3:42.0,Personal foul by A. Iguodala (drawn by J. Lamb),,77-64,,
3:42.0,F. Ezeli enters the game for A. Bogut,,77-64,,
3:42.0,,,77-64,,S. Hawes enters the game for C. Zeller
3:28.0,,,77-64,,S. Hawes misses 3-pt shot from 23 ft
3:26.0,Defensive rebound by D. Green,,77-64,,
3:18.0,Shooting foul by F. Kaminsky (drawn by D. Green),,77-64,,
3:18.0,D. Green misses free throw 1 of 2,,77-64,,
3:18.0,Offensive rebound by Team,,77-64,,
3:18.0,D. Green misses free throw 2 of 2,,77-64,,
3:17.0,,,77-64,,Defensive rebound by N. Batum
3:04.0,,,77-66,2,N. Batum makes 2-pt shot from 8 ft
3:04.0,,,77-66,,Shooting foul by K. Thompson (drawn by N. Batum)
3:04.0,,,77-66,,N. Batum misses free throw 1 of 1
3:01.0,Defensive rebound by D. Green,,77-66,,
2:48.0,F. Ezeli misses 2-pt shot from 13 ft,,77-66,,
2:47.0,,,77-66,,Defensive rebound by J. Lamb
2:39.0,,,77-66,,Turnover by J. Lamb (lost ball; steal by A. Iguodala)
2:34.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,79-66,,
2:09.0,,,79-66,,J. Lamb misses 2-pt shot from 2 ft (block by A. Iguodala)
2:07.0,,,79-66,,Offensive rebound by J. Lamb
2:07.0,,,79-66,,J. Lamb misses 2-pt shot from 7 ft
2:07.0,Defensive rebound by Team,,79-66,,
2:07.0,,,79-66,,Charlotte full timeout
2:07.0,S. Livingston enters the game for K. Thompson,,79-66,,
2:07.0,,,79-66,,J. Lin enters the game for J. Lamb
1:53.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,82-66,,
1:35.0,,,82-68,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
1:29.0,S. Curry makes 3-pt shot from 29 ft,3,85-68,,
1:09.0,,,85-70,2,F. Kaminsky makes 2-pt shot at rim (assist by S. Hawes)
0:58.0,S. Curry makes 2-pt shot from 1 ft,2,87-70,,
0:43.0,,,87-70,,Turnover by S. Hawes (traveling)
0:33.0,S. Curry makes 3-pt shot from 28 ft (assist by S. Livingston),3,90-70,,
0:14.0,,,90-70,,K. Walker misses 2-pt shot from 1 ft
0:14.0,,,90-70,,Offensive rebound by S. Hawes
0:14.0,,,90-72,2,S. Hawes makes 2-pt shot at rim
0:03.0,S. Curry makes 3-pt shot from 30 ft,3,93-72,,
0:00.0,,,93-72,,K. Walker misses 3-pt shot from 53 ft
0:00.0,,,93-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston),2,95-72,,
11:26.0,,,95-72,,B. Roberts misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by S. Livingston,,95-72,,
11:20.0,F. Ezeli makes 2-pt shot from 1 ft (assist by A. Iguodala),2,97-72,,
11:20.0,Shooting foul by F. Kaminsky (drawn by F. Ezeli),,97-72,,
11:20.0,F. Ezeli makes free throw 1 of 1,1,98-72,,
10:58.0,,,98-72,,F. Kaminsky misses 2-pt shot from 19 ft
10:57.0,,,98-72,,Offensive rebound by S. Hawes
10:52.0,,,98-72,,J. Lin misses 3-pt shot from 26 ft
10:51.0,,,98-72,,Offensive rebound by F. Kaminsky
10:46.0,,,98-75,3,J. Lin makes 3-pt shot from 26 ft (assist by B. Roberts)
10:26.0,L. Barbosa misses 2-pt shot from 15 ft,,98-75,,
10:25.0,,,98-75,,Defensive rebound by B. Roberts
10:17.0,,,98-75,,Shooting foul by F. Ezeli (drawn by F. Kaminsky)
10:17.0,,,98-75,,F. Kaminsky misses free throw 1 of 2
10:17.0,,,98-75,,Offensive rebound by Team
10:17.0,,,98-76,1,F. Kaminsky makes free throw 2 of 2
10:02.0,A. Iguodala makes 2-pt shot from 18 ft (assist by M. Speights),2,100-76,,
9:43.0,,,100-76,,S. Hawes misses 2-pt shot from 12 ft
9:42.0,Defensive rebound by M. Speights,,100-76,,
9:28.0,F. Ezeli makes 2-pt shot at rim (assist by S. Livingston),2,102-76,,
9:15.0,,,102-79,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Williams)
8:48.0,A. Iguodala makes 3-pt shot from 26 ft (assist by M. Speights),3,105-79,,
8:36.0,,,105-79,,B. Roberts misses 2-pt shot from 10 ft
8:34.0,Defensive rebound by F. Ezeli,,105-79,,
8:24.0,S. Livingston misses 2-pt shot from 7 ft,,105-79,,
8:23.0,,,105-79,,Defensive rebound by B. Roberts
8:22.0,Personal foul by M. Speights (drawn by B. Roberts),,105-79,,
8:22.0,Official timeout,,105-79,,
8:22.0,,,105-79,,T. Daniels enters the game for M. Williams
8:10.0,,,105-79,,F. Kaminsky misses 2-pt shot from 6 ft
8:08.0,Defensive rebound by S. Livingston,,105-79,,
7:50.0,A. Iguodala misses 3-pt shot from 23 ft,,105-79,,
7:49.0,,,105-79,,Defensive rebound by B. Roberts
7:43.0,,,105-82,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by B. Roberts)
7:15.0,M. Speights misses 2-pt shot from 4 ft (block by J. Lin),,105-82,,
7:14.0,Offensive rebound by Team,,105-82,,
7:14.0,Turnover by Team (shot clock),,105-82,,
7:02.0,,,105-84,2,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lin)
6:42.0,F. Ezeli misses 2-pt shot from 10 ft,,105-84,,
6:41.0,,,105-84,,Defensive rebound by B. Roberts
6:31.0,,,105-84,,Shooting foul by F. Ezeli (drawn by S. Hawes)
6:31.0,,,105-85,1,S. Hawes makes free throw 1 of 2
6:31.0,K. Thompson enters the game for A. Iguodala,,105-85,,
6:31.0,,,105-85,,A. Harrison enters the game for J. Lin
6:31.0,,,105-86,1,S. Hawes makes free throw 2 of 2
6:19.0,L. Barbosa misses 3-pt shot from 24 ft,,105-86,,
6:19.0,Offensive rebound by F. Ezeli,,105-86,,
6:19.0,Shooting foul by F. Kaminsky (drawn by F. Ezeli),,105-86,,
6:19.0,F. Ezeli makes free throw 1 of 2,1,106-86,,
6:19.0,,,106-86,,T. Hansbrough enters the game for S. Hawes
6:19.0,F. Ezeli makes free throw 2 of 2,1,107-86,,
6:08.0,,,107-86,,B. Roberts misses 2-pt shot from 16 ft
6:07.0,Defensive rebound by M. Speights,,107-86,,
5:57.0,M. Speights misses 2-pt shot from 21 ft,,107-86,,
5:57.0,,,107-86,,Defensive rebound by Team
5:57.0,Loose ball foul by F. Ezeli (drawn by F. Kaminsky),,107-86,,
5:57.0,,,107-86,,Charlotte full timeout
5:57.0,J. Thompson enters the game for F. Ezeli,,107-86,,
5:57.0,J. McAdoo enters the game for L. Barbosa,,107-86,,
5:57.0,B. Rush enters the game for M. Speights,,107-86,,
5:35.0,,,107-86,,T. Daniels misses 3-pt shot from 27 ft
5:34.0,Defensive rebound by B. Rush,,107-86,,
5:20.0,Turnover by K. Thompson (lost ball; steal by T. Hansbrough),,107-86,,
5:14.0,,,107-88,2,T. Hansbrough makes 2-pt shot at rim
4:58.0,K. Thompson misses 3-pt shot from 25 ft,,107-88,,
4:58.0,,,107-88,,Defensive rebound by B. Roberts
4:53.0,,,107-90,2,A. Harrison makes 2-pt shot from 1 ft (assist by B. Roberts)
4:29.0,B. Rush makes 3-pt shot from 27 ft (assist by S. Livingston),3,110-90,,
4:12.0,,,110-90,,T. Daniels misses 3-pt shot from 28 ft
4:10.0,Defensive rebound by J. Thompson,,110-90,,
4:01.0,Turnover by J. McAdoo (lost ball; steal by T. Daniels),,110-90,,
4:01.0,Personal foul by S. Livingston (drawn by T. Daniels),,110-90,,
4:01.0,,,110-91,1,T. Daniels makes free throw 1 of 2
4:01.0,I. Clark enters the game for K. Thompson,,110-91,,
4:01.0,,,110-92,1,T. Daniels makes free throw 2 of 2
3:49.0,Turnover by I. Clark (bad pass; steal by B. Roberts),,110-92,,
3:41.0,,,110-95,3,T. Daniels makes 3-pt shot from 24 ft (assist by B. Roberts)
3:26.0,Turnover by J. Thompson (lost ball; steal by T. Hansbrough),,110-95,,
3:26.0,Personal foul by J. Thompson (drawn by T. Hansbrough),,110-95,,
3:26.0,Golden State full timeout,,110-95,,
